Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Scullin (88866)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
Mill Park Heights		57	1.85		120	3.89		15	0.49		5	0.16		2	0.06		1	0.03		39	1.27		692	22.45		9	0.29		1	0.03		1842	59.77		15	0.49		228	7.40		0	0.00		1	0.03		54	1.75		0	0.00		1	0.03		3082	93.71		207	6.29		3289	3.83
Norris Bank		57	1.69		101	3.00		27	0.80		1	0.03		2	0.06		2	0.06		36	1.07		846	25.09		15	0.44		2	0.06		1903	56.44		17	0.50		284	8.42		0	0.00		2	0.06		77	2.28		0	0.00		0	0.00		3372	90.72		345	9.28		3717	4.33
Plenty		23	3.31		11	1.58		10	1.44		1	0.14		0	0.00		0	0.00		11	1.58		375	53.96		3	0.43		0	0.00		173	24.89		3	0.43		53	7.63		0	0.00		0	0.00		32	4.60		0	0.00		0	0.00		695	96.39		26	3.61		721	0.84
South Morang		43	1.88		59	2.57		23	1.00		2	0.09		1	0.04		0	0.00		42	1.83		871	37.99		7	0.31		4	0.17		978	42.65		14	0.61		177	7.72		1	0.04		4	0.17		66	2.88		0	0.00		1	0.04		2293	94.79		126	5.21		2419	2.82
The Stables		76	1.84		146	3.53		45	1.09		5	0.12		3	0.07		0	0.00		60	1.45		1079	26.12		13	0.31		2	0.05		2284	55.29		14	0.34		301	7.29		0	0.00		3	0.07		98	2.37		2	0.05		0	0.00		4131	91.50		384	8.50		4515	5.26
Thomastown		18	1.90		28	2.96		12	1.27		0	0.00		0	0.00		0	0.00		14	1.48		169	17.85		5	0.53		0	0.00		638	67.37		4	0.42		46	4.86		0	0.00		1	0.11		11	1.16		1	0.11		0	0.00		947	90.88		95	9.12		1042	1.21
Thomastown East		34	1.59		89	4.17		14	0.66		5	0.23		2	0.09		0	0.00		38	1.78		326	15.29		9	0.42		3	0.14		1459	68.43		9	0.42		111	5.21		0	0.00		1	0.05		31	1.45		1	0.05		0	0.00		2132	90.88		214	9.12		2346	2.73
Thomastown Meadows		45	2.00		108	4.80		11	0.49		4	0.18		1	0.04		1	0.04		15	0.67		261	11.59		4	0.18		1	0.04		1662	73.83		8	0.36		103	4.58		0	0.00		2	0.09		25	1.11		0	0.00		0	0.00		2251	91.21		217	8.79		2468	2.87
Thomastown West		66	1.44		246	5.35		21	0.46		4	0.09		3	0.07		1	0.02		49	1.07		585	12.73		13	0.28		5	0.11		3310	72.05		10	0.22		183	3.98		1	0.02		2	0.04		93	2.02		2	0.04		0	0.00		4594	89.08		563	10.92		5157	6.01
Watsonia North		69	1.99		97	2.79		38	1.09		4	0.12		0	0.00		1	0.03		52	1.50		1214	34.96		6	0.17		0	0.00		1529	44.03		17	0.49		315	9.07		0	0.00		1	0.03		130	3.74		0	0.00		0	0.00		3473	93.76		231	6.24		3704	4.31
Special Hospitals		5	3.33		3	2.00		0	0.00		0	0.00		0	0.00		0	0.00		3	2.00		57	38.00		0	0.00		0	0.00		77	51.33		0	0.00		3	2.00		0	0.00		0	0.00		2	1.33		0	0.00		0	0.00		150	97.40		4	2.60		154	0.18
Total Ordinary		1229	1.77		2480	3.57		621	0.89		86	0.12		28	0.04		29	0.04		957	1.38		17387	25.01		226	0.33		43	0.06		40040	57.60		274	0.39		4420	6.36		8	0.01		35	0.05		1617	2.33		26	0.04		10	0.01		69516	91.99		6055	8.01		75571	88.02
ABSENT		134	2.68		257	5.13		61	1.22		3	0.06		4	0.08		1	0.02		77	1.54		1509	30.14		17	0.34		6	0.12		2312	46.18		23	0.46		363	7.25		2	0.04		9	0.18		227	4.53		2	0.04		0	0.00		5007	95.55		233	4.45		5240	6.10
POSTAL		72	3.27		58	2.64		51	2.32		1	0.05		3	0.14		0	0.00		46	2.09		619	28.15		6	0.27		2	0.09		1145	52.07		9	0.41		137	6.23		0	0.00		3	0.14		47	2.14		0	0.00		0	0.00		2199	97.99		45	2.01		2244	2.61
PRE_POLL		64	3.11		64	3.11		27	1.31		5	0.24		1	0.05		0	0.00		31	1.51		636	30.89		15	0.73		9	0.44		973	47.26		13	0.63		145	7.04		0	0.00		2	0.10		71	3.45		2	0.10		1	0.05		2059	97.40		55	2.60		2114	2.46
PROVISIONAL		18	2.85		41	6.49		3	0.47		2	0.32		1	0.16		2	0.32		7	1.11		137	21.68		1	0.16		0	0.00		368	58.23		4	0.63		32	5.06		0	0.00		1	0.16		14	2.22		1	0.16		0	0.00		632	91.86		56	8.14		688	0.80
Division Summary		1517	1.91		2900	3.65		763	0.96		97	0.12		37	0.05		32	0.04		1118	1.41		20288	25.55		265	0.33		60	0.08		44838	56.46		323	0.41		5097	6.42		10	0.01		50	0.06		1976	2.49		31	0.04		11	0.01		79413	92.49		6444	7.51		85857	96.61
