House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Melbourne																							
				TANNER			FERRARI			JOLLY			CURR			FRANTZESKOS			MCKENNA				
	FIRST			1449	50.47		15	0.52		59	2.06		537	18.70		531	18.50		280	9.75		2871	
	SECOND			7	46.67			Excluded		3	20.00		4	26.67		1	6.67		0	0.00		15	
		TOTAL		1456	50.71					62	2.16		541	18.84		532	18.53		280	9.75		2871	
	THIRD			8	12.90						Excluded		46	74.19		3	4.84		5	8.06		62	
		TOTAL		1464	50.99								587	20.45		535	18.63		285	9.93		2871	
	FOURTH			46	16.14								210	73.68		29	10.18			Excluded		285	
		TOTAL		1510	52.59								797	27.76		564	19.64					2871	
	FIFTH			716	89.84									Excluded		81	10.16					797	
		TOTAL		2226	77.53											645	22.47					2871	
				Elected																			
																							
Fitzroy                                                        																							
	FIRST			1043	58.40		11	0.62		44	2.46		300	16.80		234	13.10		154	8.62		1786	
	SECOND			5	45.45			Excluded		3	27.27		2	18.18		1	9.09		0	0.00		11	
		TOTAL		1048	58.68					47	2.63		302	16.91		235	13.16		154	8.62		1786	
	THIRD			14	29.79						Excluded		29	61.70		2	4.26		2	4.26		47	
		TOTAL		1062	59.46								331	18.53		237	13.27		156	8.73		1786	
	FOURTH			34	21.79								105	67.31		17	10.90			Excluded		156	
		TOTAL		1096	61.37								436	24.41		254	14.22					1786	
	FIFTH			390	89.45									Excluded		46	10.55					436	
		TOTAL		1486	83.20											300	16.80					1786	
				Elected																			
																							
Fitzroy Central                                                																							
	FIRST			234	36.28		3	0.47		21	3.26		171	26.51		148	22.95		68	10.54		645	
	SECOND			1	33.33			Excluded		1	33.33		1	33.33		0	0.00		0	0.00		3	
		TOTAL		235	36.43					22	3.41		172	26.67		148	22.95		68	10.54		645	
	THIRD			6	27.27						Excluded		15	68.18		0	0.00		1	4.55		22	
		TOTAL		241	37.36								187	28.99		148	22.95		69	10.70		645	
	FOURTH			18	26.09								43	62.32		8	11.59			Excluded		69	
		TOTAL		259	40.16								230	35.66		156	24.19					645	
	FIFTH			199	86.52									Excluded		31	13.48					230	
		TOTAL		458	71.01											187	28.99					645	
				Elected																			
																							
Fitzroy East                                                   																							
	FIRST			901	42.48		10	0.47		23	1.08		622	29.33		329	15.51		236	11.13		2121	
	SECOND			4	40.00			Excluded		2	20.00		1	10.00		3	30.00		0	0.00		10	
		TOTAL		905	42.67					25	1.18		623	29.37		332	15.65		236	11.13		2121	
	THIRD			2	8.00						Excluded		19	76.00		2	8.00		2	8.00		25	
		TOTAL		907	42.76								642	30.27		334	15.75		238	11.22		2121	
	FOURTH			54	22.69								155	65.13		29	12.18			Excluded		238	
		TOTAL		961	45.31								797	37.58		363	17.11					2121	
	FIFTH			738	92.60									Excluded		59	7.40					797	
		TOTAL		1699	80.10											422	19.90					2121	
				Elected																			
																							
Fitzroy North                                                  																							
	FIRST			1275	43.63		8	0.27		83	2.84		765	26.18		516	17.66		275	9.41		2922	
	SECOND			3	37.50			Excluded		1	12.50		1	12.50		2	25.00		1	12.50		8	
		TOTAL		1278	43.74					84	2.87		766	26.21		518	17.73		276	9.45		2922	
	THIRD			13	15.48						Excluded		63	75.00		2	2.38		6	7.14		84	
		TOTAL		1291	44.18								829	28.37		520	17.80		282	9.65		2922	
	FOURTH			56	19.86								192	68.09		34	12.06			Excluded		282	
		TOTAL		1347	46.10								1021	34.94		554	18.96					2922	
	FIFTH			929	90.99									Excluded		92	9.01					1021	
		TOTAL		2276	77.89											646	22.11					2922	
				Elected																			
																							
Flemington                                                     																							
	FIRST			1585	61.15		16	0.62		35	1.35		237	9.14		492	18.98		227	8.76		2592	
	SECOND			6	37.50			Excluded		3	18.75		2	12.50		3	18.75		2	12.50		16	
		TOTAL		1591	61.38					38	1.47		239	9.22		495	19.10		229	8.83		2592	
	THIRD			9	23.68						Excluded		25	65.79		0	0.00		4	10.53		38	
		TOTAL		1600	61.73								264	10.19		495	19.10		233	8.99		2592	
	FOURTH			57	24.46								152	65.24		24	10.30			Excluded		233	
		TOTAL		1657	63.93								416	16.05		519	20.02					2592	
	FIFTH			348	83.65									Excluded		68	16.35					416	
		TOTAL		2005	77.35											587	22.65					2592	
				Elected																			
																							
Hotham Hill                                                    																							
	FIRST			730	75.57		4	0.41		6	0.62		72	7.45		121	12.53		33	3.42		966	
	SECOND			0	0.00			Excluded		3	75.00		0	0.00		0	0.00		1	25.00		4	
		TOTAL		730	75.57					9	0.93		72	7.45		121	12.53		34	3.52		966	
	THIRD			2	22.22						Excluded		5	55.56		1	11.11		1	11.11		9	
		TOTAL		732	75.78								77	7.97		122	12.63		35	3.62		966	
	FOURTH			10	28.57								15	42.86		10	28.57			Excluded		35	
		TOTAL		742	76.81								92	9.52		132	13.66					966	
	FIFTH			86	93.48									Excluded		6	6.52					92	
		TOTAL		828	85.71											138	14.29					966	
				Elected																			
																							
Kensington                                                     																							
	FIRST			1162	51.55		16	0.71		23	1.02		262	11.62		569	25.24		222	9.85		2254	
	SECOND			4	25.00			Excluded		10	62.50		0	0.00		2	12.50		0	0.00		16	
		TOTAL		1166	51.73					33	1.46		262	11.62		571	25.33		222	9.85		2254	
	THIRD			3	9.09						Excluded		23	69.70		3	9.09		4	12.12		33	
		TOTAL		1169	51.86								285	12.64		574	25.47		226	10.03		2254	
	FOURTH			41	18.14								150	66.37		35	15.49			Excluded		226	
		TOTAL		1210	53.68								435	19.30		609	27.02					2254	
	FIFTH			348	80.00									Excluded		87	20.00					435	
		TOTAL		1558	69.12											696	30.88					2254	
				Elected																			
																							
Melbourne (Melbourne)                                          																							
	FIRST			784	34.86		20	0.89		36	1.60		340	15.12		806	35.84		263	11.69		2249	
	SECOND			4	20.00			Excluded		10	50.00		2	10.00		2	10.00		2	10.00		20	
		TOTAL		788	35.04					46	2.05		342	15.21		808	35.93		265	11.78		2249	
	THIRD			8	17.39						Excluded		32	69.57		3	6.52		3	6.52		46	
		TOTAL		796	35.39								374	16.63		811	36.06		268	11.92		2249	
	FOURTH			78	29.10								137	51.12		53	19.78			Excluded		268	
		TOTAL		874	38.86								511	22.72		864	38.42					2249	
	FIFTH			435	85.13									Excluded		76	14.87					511	
		TOTAL		1309	58.20											940	41.80					2249	
				Elected																			
																							
Merri                                                          																							
	FIRST			592	48.01		4	0.32		21	1.70		275	22.30		228	18.49		113	9.16		1233	
	SECOND			1	25.00			Excluded		1	25.00		0	0.00		2	50.00		0	0.00		4	
		TOTAL		593	48.09					22	1.78		275	22.30		230	18.65		113	9.16		1233	
	THIRD			2	9.09						Excluded		13	59.09		4	18.18		3	13.64		22	
		TOTAL		595	48.26								288	23.36		234	18.98		116	9.41		1233	
	FOURTH			26	22.41								79	68.10		11	9.48			Excluded		116	
		TOTAL		621	50.36								367	29.76		245	19.87					1233	
	FIFTH			328	89.37									Excluded		39	10.63					367	
		TOTAL		949	76.97											284	23.03					1233	
				Elected																			
																							
Newmarket                                                      																							
	FIRST			1021	52.52		13	0.67		13	0.67		230	11.83		445	22.89		222	11.42		1944	
	SECOND			6	46.15			Excluded		3	23.08		0	0.00		4	30.77		0	0.00		13	
		TOTAL		1027	52.83					16	0.82		230	11.83		449	23.10		222	11.42		1944	
	THIRD			4	25.00						Excluded		9	56.25		1	6.25		2	12.50		16	
		TOTAL		1031	53.03								239	12.29		450	23.15		224	11.52		1944	
	FOURTH			46	20.54								156	69.64		22	9.82			Excluded		224	
		TOTAL		1077	55.40								395	20.32		472	24.28					1944	
	FIFTH			327	82.78									Excluded		68	17.22					395	
		TOTAL		1404	72.22											540	27.78					1944	
				Elected																			
																							
North Melbourne                                                																							
	FIRST			873	42.94		18	0.89		37	1.82		356	17.51		519	25.53		230	11.31		2033	
	SECOND			3	16.67			Excluded		5	27.78		4	22.22		5	27.78		1	5.56		18	
		TOTAL		876	43.09					42	2.07		360	17.71		524	25.77		231	11.36		2033	
	THIRD			9	21.43						Excluded		23	54.76		6	14.29		4	9.52		42	
		TOTAL		885	43.53								383	18.84		530	26.07		235	11.56		2033	
	FOURTH			38	16.17								160	68.09		37	15.74			Excluded		235	
		TOTAL		923	45.40								543	26.71		567	27.89					2033	
	FIFTH			475	87.48									Excluded		68	12.52					543	
		TOTAL		1398	68.77											635	31.23					2033	
				Elected																			
																							
North Melbourne Central                                        																							
	FIRST			637	45.70		15	1.08		15	1.08		251	18.01		328	23.53		148	10.62		1394	
	SECOND			4	26.67			Excluded		1	6.67		8	53.33		1	6.67		1	6.67		15	
		TOTAL		641	45.98					16	1.15		259	18.58		329	23.60		149	10.69		1394	
	THIRD			4	25.00						Excluded		11	68.75		1	6.25		0	0.00		16	
		TOTAL		645	46.27								270	19.37		330	23.67		149	10.69		1394	
	FOURTH			42	28.19								94	63.09		13	8.72			Excluded		149	
		TOTAL		687	49.28								364	26.11		343	24.61					1394	
	FIFTH			317	87.09									Excluded		47	12.91					364	
		TOTAL		1004	72.02											390	27.98					1394	
				Elected																			
																							
Parkville                                                      																							
	FIRST			443	33.84		9	0.69		17	1.30		285	21.77		417	31.86		138	10.54		1309	
	SECOND			1	11.11			Excluded		5	55.56		1	11.11		1	11.11		1	11.11		9	
		TOTAL		444	33.92					22	1.68		286	21.85		418	31.93		139	10.62		1309	
	THIRD			6	27.27						Excluded		12	54.55		4	18.18		0	0.00		22	
		TOTAL		450	34.38								298	22.77		422	32.24		139	10.62		1309	
	FOURTH			28	20.14								87	62.59		24	17.27			Excluded		139	
		TOTAL		478	36.52								385	29.41		446	34.07					1309	
	FIFTH			339	88.05									Excluded		46	11.95					385	
		TOTAL		817	62.41											492	37.59					1309	
				Elected																			
																							
Richmond                                                       																							
	FIRST			1423	41.25		23	0.67		46	1.33		485	14.06		1143	33.13		330	9.57		3450	
	SECOND			3	13.04			Excluded		8	34.78		4	17.39		6	26.09		2	8.70		23	
		TOTAL		1426	41.33					54	1.57		489	14.17		1149	33.30		332	9.62		3450	
	THIRD			13	24.07						Excluded		33	61.11		5	9.26		3	5.56		54	
		TOTAL		1439	41.71								522	15.13		1154	33.45		335	9.71		3450	
	FOURTH			75	22.39								221	65.97		39	11.64			Excluded		335	
		TOTAL		1514	43.88								743	21.54		1193	34.58					3450	
	FIFTH			623	83.85									Excluded		120	16.15					743	
		TOTAL		2137	61.94											1313	38.06					3450	
				Elected																			
																							
Richmond Central                                               																							
	FIRST			1033	50.54		7	0.34		12	0.59		218	10.67		547	26.76		227	11.11		2044	
	SECOND			3	42.86			Excluded		2	28.57		1	14.29		0	0.00		1	14.29		7	
		TOTAL		1036	50.68					14	0.68		219	10.71		547	26.76		228	11.15		2044	
	THIRD			4	28.57						Excluded		6	42.86		1	7.14		3	21.43		14	
		TOTAL		1040	50.88								225	11.01		548	26.81		231	11.30		2044	
	FOURTH			49	21.21								157	67.97		25	10.82			Excluded		231	
		TOTAL		1089	53.28								382	18.69		573	28.03					2044	
	FIFTH			298	78.01									Excluded		84	21.99					382	
		TOTAL		1387	67.86											657	32.14					2044	
				Elected																			
																							
Richmond East                                                  																							
	FIRST			1232	46.39		9	0.34		38	1.43		310	11.67		860	32.38		207	7.79		2656	
	SECOND			2	22.22			Excluded		1	11.11		2	22.22		1	11.11		3	33.33		9	
		TOTAL		1234	46.46					39	1.47		312	11.75		861	32.42		210	7.91		2656	
	THIRD			12	30.77						Excluded		21	53.85		4	10.26		2	5.13		39	
		TOTAL		1246	46.91								333	12.54		865	32.57		212	7.98		2656	
	FOURTH			46	21.70								136	64.15		30	14.15			Excluded		212	
		TOTAL		1292	48.64								469	17.66		895	33.70					2656	
	FIFTH			373	79.53									Excluded		96	20.47					469	
		TOTAL		1665	62.69											991	37.31					2656	
				Elected																			
																							
Richmond North                                                 																							
	FIRST			815	79.51		5	0.49		10	0.98		36	3.51		116	11.32		43	4.20		1025	
	SECOND			1	20.00			Excluded		0	0.00		2	40.00		2	40.00		0	0.00		5	
		TOTAL		816	79.61					10	0.98		38	3.71		118	11.51		43	4.20		1025	
	THIRD			4	40.00						Excluded		6	60.00		0	0.00		0	0.00		10	
		TOTAL		820	80.00								44	4.29		118	11.51		43	4.20		1025	
	FOURTH			13	30.23								28	65.12		2	4.65			Excluded		43	
		TOTAL		833	81.27								72	7.02		120	11.71					1025	
	FIFTH			55	76.39									Excluded		17	23.61					72	
		TOTAL		888	86.63											137	13.37					1025	
				Elected																			
																							
Richmond South                                                 																							
	FIRST			641	40.83		6	0.38		23	1.46		219	13.95		546	34.78		135	8.60		1570	
	SECOND			1	16.67			Excluded		2	33.33		2	33.33		1	16.67		0	0.00		6	
		TOTAL		642	40.89					25	1.59		221	14.08		547	34.84		135	8.60		1570	
	THIRD			4	16.00						Excluded		14	56.00		3	12.00		4	16.00		25	
		TOTAL		646	41.15								235	14.97		550	35.03		139	8.85		1570	
	FOURTH			41	29.50								68	48.92		30	21.58			Excluded		139	
		TOTAL		687	43.76								303	19.30		580	36.94					1570	
	FIFTH			244	80.53									Excluded		59	19.47					303	
		TOTAL		931	59.30											639	40.70					1570	
				Elected																			
																							
Richmond West                                                  																							
	FIRST			1006	75.81		3	0.23		26	1.96		64	4.82		164	12.36		64	4.82		1327	
	SECOND			2	66.67			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		3	
		TOTAL		1008	75.96					26	1.96		65	4.90		164	12.36		64	4.82		1327	
	THIRD			4	15.38						Excluded		18	69.23		2	7.69		2	7.69		26	
		TOTAL		1012	76.26								83	6.25		166	12.51		66	4.97		1327	
	FOURTH			16	24.24								33	50.00		17	25.76			Excluded		66	
		TOTAL		1028	77.47								116	8.74		183	13.79					1327	
	FIFTH			96	82.76									Excluded		20	17.24					116	
		TOTAL		1124	84.70											203	15.30					1327	
				Elected																			
																							
Special Hospital Team 1                                        																							
	FIRST			29	76.32		0	0.00		1	2.63		0	0.00		8	21.05		0	0.00		38	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		29	76.32					1	2.63		0	0.00		8	21.05		0	0.00		38	
	THIRD			1	100.00						Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		30	78.95								0	0.00		8	21.05		0	0.00		38	
	FOURTH			0	0.00								0	0.00		0	0.00			Excluded		0	
		TOTAL		30	78.95								0	0.00		8	21.05					38	
	FIFTH			0	0.00									Excluded		0	0.00					0	
		TOTAL		30	78.95											8	21.05					38	
				Elected																			
																							
Special Hospital Team 2                                        																							
	FIRST			15	60.00		0	0.00		1	4.00		3	12.00		6	24.00		0	0.00		25	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		15	60.00					1	4.00		3	12.00		6	24.00		0	0.00		25	
	THIRD			0	0.00						Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		15	60.00								4	16.00		6	24.00		0	0.00		25	
	FOURTH			0	0.00								0	0.00		0	0.00			Excluded		0	
		TOTAL		15	60.00								4	16.00		6	24.00					25	
	FIFTH			1	25.00									Excluded		3	75.00					4	
		TOTAL		16	64.00											9	36.00					25	
				Elected																			
																							
Special Hospital Team 3                                        																							
	FIRST			22	78.57		0	0.00		0	0.00		0	0.00		6	21.43		0	0.00		28	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
