House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Melbourne Ports																				
				CHIPP			BECK			DANBY			KAVANAGH			MCLORINAN				
	THIRD				Excluded					52	26.26		118	59.60		28	14.14		198	
		TOTAL								886	35.44		299	11.96		1315	52.60		2500	
	FOURTH									224	74.92			Excluded		75	25.08		299	
		TOTAL								1110	44.40					1390	55.60		2500	
										Elected										
																				
Caulfield South                                                																				
	FIRST			137	8.49		9	0.56		586	36.31		128	7.93		754	46.72		1614	
	SECOND			2	22.22			Excluded		3	33.33		3	33.33		1	11.11		9	
		TOTAL		139	8.61					589	36.49		131	8.12		755	46.78		1614	
	THIRD				Excluded					26	18.71		91	65.47		22	15.83		139	
		TOTAL								615	38.10		222	13.75		777	48.14		1614	
	FOURTH									177	79.73			Excluded		45	20.27		222	
		TOTAL								792	49.07					822	50.93		1614	
										Elected										
																				
Caulfield Upper                                                																				
	FIRST			207	8.38		4	0.16		920	37.25		220	8.91		1119	45.30		2470	
	SECOND			4	100.00			Excluded		0	0.00		0	0.00		0	0.00		4	
		TOTAL		211	8.54					920	37.25		220	8.91		1119	45.30		2470	
	THIRD				Excluded					55	26.07		134	63.51		22	10.43		211	
		TOTAL								975	39.47		354	14.33		1141	46.19		2470	
	FOURTH									284	80.23			Excluded		70	19.77		354	
		TOTAL								1259	50.97					1211	49.03		2470	
										Elected										
																				
Caulfield West                                                 																				
	FIRST			89	7.79		1	0.09		379	33.19		85	7.44		588	51.49		1142	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1	
		TOTAL		89	7.79					379	33.19		85	7.44		589	51.58		1142	
	THIRD				Excluded					14	15.73		63	70.79		12	13.48		89	
		TOTAL								393	34.41		148	12.96		601	52.63		1142	
	FOURTH									108	72.97			Excluded		40	27.03		148	
		TOTAL								501	43.87					641	56.13		1142	
										Elected										
																				
Elsternwick                                                    																				
	FIRST			345	10.86		11	0.35		1231	38.74		322	10.13		1269	39.93		3178	
	SECOND			3	27.27			Excluded		3	27.27		4	36.36		1	9.09		11	
		TOTAL		348	10.95					1234	38.83		326	10.26		1270	39.96		3178	
	THIRD				Excluded					72	20.69		243	69.83		33	9.48		348	
		TOTAL								1306	41.10		569	17.90		1303	41.00		3178	
	FOURTH									458	80.49			Excluded		111	19.51		569	
		TOTAL								1764	55.51					1414	44.49		3178	
										Elected										
																				
Elsternwick North                                              																				
	FIRST			66	6.57		1	0.10		446	44.38		104	10.35		388	38.61		1005	
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		67	6.67					446	44.38		104	10.35		388	38.61		1005	
	THIRD				Excluded					26	38.81		35	52.24		6	8.96		67	
		TOTAL								472	46.97		139	13.83		394	39.20		1005	
	FOURTH									107	76.98			Excluded		32	23.02		139	
		TOTAL								579	57.61					426	42.39		1005	
										Elected										
																				
Elwood                                                         																				
	FIRST			308	11.83		8	0.31		905	34.75		420	16.13		963	36.98		2604	
	SECOND			1	12.50			Excluded		2	25.00		3	37.50		2	25.00		8	
		TOTAL		309	11.87					907	34.83		423	16.24		965	37.06		2604	
	THIRD				Excluded					68	22.01		213	68.93		28	9.06		309	
		TOTAL								975	37.44		636	24.42		993	38.13		2604	
	FOURTH									531	83.49			Excluded		105	16.51		636	
		TOTAL								1506	57.83					1098	42.17		2604	
										Elected										
																				
Elwood North                                                   																				
	FIRST			345	11.58		7	0.23		1140	38.27		506	16.99		981	32.93		2979	
	SECOND			3	42.86			Excluded		1	14.29		1	14.29		2	28.57		7	
		TOTAL		348	11.68					1141	38.30		507	17.02		983	33.00		2979	
	THIRD				Excluded					81	23.28		234	67.24		33	9.48		348	
		TOTAL								1222	41.02		741	24.87		1016	34.11		2979	
	FOURTH									608	82.05			Excluded		133	17.95		741	
		TOTAL								1830	61.43					1149	38.57		2979	
										Elected										
																				
Emerald Hill                                                   																				
	FIRST			210	9.40		6	0.27		858	38.39		220	9.84		941	42.10		2235	
	SECOND			3	50.00			Excluded		0	0.00		2	33.33		1	16.67		6	
		TOTAL		213	9.53					858	38.39		222	9.93		942	42.15		2235	
	THIRD				Excluded					58	27.23		131	61.50		24	11.27		213	
		TOTAL								916	40.98		353	15.79		966	43.22		2235	
	FOURTH									275	77.90			Excluded		78	22.10		353	
		TOTAL								1191	53.29					1044	46.71		2235	
										Elected										
																				
Fawkner Park (Melbourne Ports)                                 																				
	FIRST			201	8.97		11	0.49		583	26.03		248	11.07		1197	53.44		2240	
	SECOND			2	18.18			Excluded		3	27.27		3	27.27		3	27.27		11	
		TOTAL		203	9.06					586	26.16		251	11.21		1200	53.57		2240	
	THIRD				Excluded					37	18.23		132	65.02		34	16.75		203	
		TOTAL								623	27.81		383	17.10		1234	55.09		2240	
	FOURTH									305	79.63			Excluded		78	20.37		383	
		TOTAL								928	41.43					1312	58.57		2240	
										Elected										
																				
Graham                                                         																				
	FIRST			108	6.98		3	0.19		702	45.38		118	7.63		616	39.82		1547	
	SECOND			1	33.33			Excluded		1	33.33		0	0.00		1	33.33		3	
		TOTAL		109	7.05					703	45.44		118	7.63		617	39.88		1547	
	THIRD				Excluded					34	31.19		62	56.88		13	11.93		109	
		TOTAL								737	47.64		180	11.64		630	40.72		1547	
	FOURTH									141	78.33			Excluded		39	21.67		180	
		TOTAL								878	56.76					669	43.24		1547	
										Elected										
																				
Kerferd                                                        																				
	FIRST			306	7.13		13	0.30		1495	34.85		502	11.70		1974	46.01		4290	
	SECOND			5	38.46			Excluded		2	15.38		3	23.08		3	23.08		13	
		TOTAL		311	7.25					1497	34.90		505	11.77		1977	46.08		4290	
	THIRD				Excluded					80	25.72		193	62.06		38	12.22		311	
		TOTAL								1577	36.76		698	16.27		2015	46.97		4290	
	FOURTH									547	78.37			Excluded		151	21.63		698	
		TOTAL								2124	49.51					2166	50.49		4290	
										Elected										
																				
Melbourne (Melbourne Ports)                                    																				
	FIRST			107	14.12		0	0.00		234	30.87		97	12.80		320	42.22		758	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		107	14.12					234	30.87		97	12.80		320	42.22		758	
	THIRD				Excluded					28	26.17		62	57.94		17	15.89		107	
		TOTAL								262	34.56		159	20.98		337	44.46		758	
	FOURTH									123	77.36			Excluded		36	22.64		159	
		TOTAL								385	50.79					373	49.21		758	
										Elected										
																				
Middle Park                                                    																				
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00					0	0.00		0	0.00		0	0.00		0	
	THIRD				Excluded					0	0.00		0	0.00		0	0.00		0	
		TOTAL								0	0.00		0	0.00		0	0.00		0	
	FOURTH									0	0.00			Excluded		0	0.00		0	
		TOTAL								0	0.00					0	0.00		0	
										Elected										
																				
Port Melbourne                                                 																				
	FIRST			236	7.74		6	0.20		1316	43.13		284	9.31		1209	39.63		3051	
	SECOND			4	66.67			Excluded		1	16.67		1	16.67		0	0.00		6	
		TOTAL		240	7.87					1317	43.17		285	9.34		1209	39.63		3051	
	THIRD				Excluded					71	29.58		133	55.42		36	15.00		240	
		TOTAL								1388	45.49		418	13.70		1245	40.81		3051	
	FOURTH									344	82.30			Excluded		74	17.70		418	
		TOTAL								1732	56.77					1319	43.23		3051	
										Elected										
																				
Redan Central                                                  																				
	FIRST			152	10.40		9	0.62		580	39.67		243	16.62		478	32.69		1462	
	SECOND			4	44.44			Excluded		1	11.11		3	33.33		1	11.11		9	
		TOTAL		156	10.67					581	39.74		246	16.83		479	32.76		1462	
	THIRD				Excluded					36	23.08		97	62.18		23	14.74		156	
		TOTAL								617	42.20		343	23.46		502	34.34		1462	
	FOURTH									284	82.80			Excluded		59	17.20		343	
		TOTAL								901	61.63					561	38.37		1462	
										Elected										
																				
Ripponlea East                                                 																				
	FIRST			90	8.36		7	0.65		417	38.72		121	11.23		442	41.04		1077	
	SECOND			2	28.57			Excluded		0	0.00		5	71.43		0	0.00		7	
		TOTAL		92	8.54					417	38.72		126	11.70		442	41.04		1077	
	THIRD				Excluded					19	20.65		62	67.39		11	11.96		92	
		TOTAL								436	40.48		188	17.46		453	42.06		1077	
	FOURTH									162	86.17			Excluded		26	13.83		188	
		TOTAL								598	55.52					479	44.48		1077	
										Elected										
																				
Ripponlea North                                                																				
	FIRST			143	9.81		6	0.41		654	44.89		207	14.21		447	30.68		1457	
	SECOND			1	16.67			Excluded		3	50.00		2	33.33		0	0.00		6	
		TOTAL		144	9.88					657	45.09		209	14.34		447	30.68		1457	
	THIRD				Excluded					48	33.33		79	54.86		17	11.81		144	
		TOTAL								705	48.39		288	19.77		464	31.85		1457	
	FOURTH									250	86.81			Excluded		38	13.19		288	
		TOTAL								955	65.55					502	34.45		1457	
										Elected										
																				
Sandridge                                                      																				
	FIRST			49	4.77		2	0.19		714	69.52		40	3.89		222	21.62		1027	
	SECOND			0	0.00			Excluded		1	50.00		1	50.00		0	0.00		2	
		TOTAL		49	4.77					715	69.62		41	3.99		222	21.62		1027	
	THIRD				Excluded					11	22.45		31	63.27		7	14.29		49	
		TOTAL								726	70.69		72	7.01		229	22.30		1027	
	FOURTH									57	79.17			Excluded		15	20.83		72	
		TOTAL								783	76.24					244	23.76		1027	
										Elected										
																				
South Melbourne                                                																				
	FIRST			235	8.34		17	0.60		1138	40.38		265	9.40		1163	41.27		2818	
	SECOND			6	35.29			Excluded		2	11.76		2	11.76		7	41.18		17	
		TOTAL		241	8.55					1140	40.45		267	9.47		1170	41.52		2818	
	THIRD				Excluded					68	28.22		137	56.85		36	14.94		241	
		TOTAL								1208	42.87		404	14.34		1206	42.80		2818	
	FOURTH									318	78.71			Excluded		86	21.29		404	
		TOTAL								1526	54.15					1292	45.85		2818	
										Elected										
																				
St Kilda                                                       																				
	FIRST			476	12.25		16	0.41		1661	42.74		629	16.19		1104	28.41		3886	
	SECOND			11	68.75			Excluded		2	12.50		2	12.50		1	6.25		16	
		TOTAL		487	12.53					1663	42.79		631	16.24		1105	28.44		3886	
	THIRD				Excluded					134	27.52		308	63.24		45	9.24		487	
		TOTAL								1797	46.24		939	24.16		1150	29.59		3886	
	FOURTH									781	83.17			Excluded		158	16.83		939	
		TOTAL								2578	66.34					1308	33.66		3886	
										Elected										
																				
St Kilda Beach                                                 																				
	FIRST			205	12.09		9	0.53		713	42.06		328	19.35		440	25.96		1695	
	SECOND			4	44.44			Excluded		2	22.22		3	33.33		0	0.00		9	
		TOTAL		209	12.33					715	42.18		331	19.53		440	25.96		1695	
	THIRD				Excluded					47	22.49		144	68.90		18	8.61		209	
		TOTAL								762	44.96		475	28.02		458	27.02		1695	
	FOURTH									394	82.95			Excluded		81	17.05		475	
		TOTAL								1156	68.20					539	31.80		1695	
										Elected										
																				
St Kilda North                                                 																				
	FIRST			265	13.67		6	0.31		801	41.31		247	12.74		620	31.98		1939	
	SECOND			0	0.00			Excluded		2	33.33		1	16.67		3	50.00		6	
		TOTAL		265	13.67					803	41.41		248	12.79		623	32.13		1939	
	THIRD				Excluded					70	26.42		165	62.26		30	11.32		265	
		TOTAL								873	45.02		413	21.30		653	33.68		1939	
	FOURTH									361	87.41			Excluded		52	12.59		413	
		TOTAL								1234	63.64					705	36.36		1939	
										Elected										
																				
St Kilda Park                                                  																				
	FIRST			200	10.29		7	0.36		759	39.04		367	18.88		611	31.43		1944	
	SECOND			1	14.29			Excluded		2	28.57		3	42.86		1	14.29		7	
		TOTAL		201	10.34					761	39.15		370	19.03		612	31.48		1944	
	THIRD				Excluded					53	26.37		124	61.69		24	11.94		201	
		TOTAL								814	41.87		494	25.41		636	32.72		1944	
	FOURTH									427	86.44			Excluded		67	13.56		494	
		TOTAL								1241	63.84					703	36.16		1944	
										Elected										
																				
St Kilda South                                                 																				
	FIRST			208	10.62		6	0.31		863	44.08		330	16.85		551	28.14		1958	
	SECOND			0	0.00			Excluded		3	50.00		3	50.00		0	0.00		6	
		TOTAL		208	10.62					866	44.23		333	17.01		551	28.14		1958	
	THIRD				Excluded					44	21.15		146	70.19		18	8.65		208	
		TOTAL								910	46.48		479	24.46		569	29.06		1958	
	FOURTH									415	86.64			Excluded		64	13.36		479	
		TOTAL								1325	67.67					633	32.33		1958	
										Elected										
																				
Special Hospital Team 1                                        																				
	FIRST			4	1.70		4	1.70		110	46.81		3	1.28		114	48.51		235	
	SECOND			2	50.00			Excluded		1	25.00		1	25.00		0	0.00		4	
		TOTAL		6	2.55					111	47.23		4	1.70		114	48.51		235	
	THIRD				Excluded					6	100.00		0	0.00		0	0.00		6	
		TOTAL								117	49.79		4	1.70		114	48.51		235	
	FOURTH									3	75.00			Excluded		1	25.00		4	
		TOTAL								120	51.06					115	48.94		235	
										Elected										
																				
Special Hospital Team 2                                        																				
	FIRST			7	8.75		1	1.25		42	52.50		0	0.00		30	37.50		80	
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		8	10.00					42	52.50		0	0.00		30	37.50		80	
	THIRD				Excluded					5	62.50		1	12.50		2	25.00		8	
		TOTAL								47	58.75		1	1.25		32	40.00		80	
	FOURTH									1	100.00			Excluded		0	0.00		1	
		TOTAL								48	60.00					32	40.00		80	
										Elected										
																				
ABSENT																				
	FIRST			811	13.00		40	0.64		1906	30.55		967	15.50		2515	40.31		6239	
	SECOND			10	25.00			Excluded		14	35.00		11	27.50		5	12.50		40	
		TOTAL		821	13.16					1920	30.77		978	15.68		2520	40.39		6239	
	THIRD				Excluded					269	32.76		414	50.43		138	16.81		821	
		TOTAL								2189	35.09		1392	22.31		2658	42.60		6239	
	FOURTH									1029	73.92			Excluded		363	26.08		1392	
		TOTAL								3218	51.58					3021	48.42		6239	
										Elected										
																				
POSTAL																				
	FIRST			289	5.26		27	0.49		2524	45.92		248	4.51		2409	43.82		5497	
	SECOND			6	22.22			Excluded		1	3.70		10	37.04		10	37.04		27	
		TOTAL		295	5.37					2525	45.93		258	4.69		2419	44.01		5497	
	THIRD				Excluded					114	38.64		127	43.05		54	18.31		295	
		TOTAL								2639	48.01		385	7.00		2473	44.99		5497	
	FOURTH									299	77.66			Excluded		86	22.34		385	
		TOTAL								2938	53.45					2559	46.55		5497	
										Elected										
																				
PRE POLL																				
	FIRST			495	8.78		26	0.46		2377	42.16		546	9.68		2194	38.91		5638	
	SECOND			11	42.31			Excluded		3	11.54		8	30.77		4	15.38		26	
		TOTAL		506	8.97					2380	42.21		554	9.83		2198	38.99		5638	
	THIRD				Excluded					170	33.60		247	48.81		89	17.59		506	
		TOTAL								2550	45.23		801	14.21		2287	40.56		5638	
	FOURTH									629	78.53			Excluded		172	21.47		801	
		TOTAL								3179	56.39					2459	43.61		5638	
										Elected										
																				
PROVISIONAL																				
	FIRST			86	12.57		5	0.73		258	37.72		108	15.79		227	33.19		684	
	SECOND			1	20.00			Excluded		2	40.00		1	20.00		1	20.00		5	
		TOTAL		87	12.72					260	38.01		109	15.94		228	33.33		684	
	THIRD				Excluded					30	34.48		49	56.32		8	9.20		87	
		TOTAL								290	42.40		158	23.10		236	34.50		684	
	FOURTH									124	78.48			Excluded		34	21.52		158	
		TOTAL								414	60.53					270	39.47		684	
										Elected										
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
