Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Kooyong (87128)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
Glenferrie South		29	2.14		12	0.89		8	0.59		0	0.00		1	0.07		0	0.00		11	0.81		807	59.69		5	0.37		0	0.00		178	13.17		9	0.67		130	9.62		1	0.07		0	0.00		157	11.61		0	0.00		4	0.30		1352	95.35		66	4.65		1418	1.71
Hartwell		16	0.83		19	0.98		28	1.45		0	0.00		0	0.00		0	0.00		5	0.26		877	45.42		8	0.41		1	0.05		488	25.27		9	0.47		236	12.22		1	0.05		0	0.00		241	12.48		1	0.05		1	0.05		1931	95.41		93	4.59		2024	2.44
Hawthorn		47	1.80		23	0.88		39	1.49		3	0.11		0	0.00		0	0.00		30	1.15		1156	44.24		10	0.38		1	0.04		593	22.69		12	0.46		313	11.98		0	0.00		2	0.08		381	14.58		1	0.04		2	0.08		2613	94.98		138	5.02		2751	3.32
Highfield Park		38	1.99		34	1.78		15	0.78		1	0.05		0	0.00		0	0.00		22	1.15		886	46.31		2	0.10		2	0.10		473	24.73		9	0.47		238	12.44		0	0.00		1	0.05		192	10.04		0	0.00		0	0.00		1913	95.46		91	4.54		2004	2.42
Hyde Park		33	2.74		23	1.91		12	1.00		1	0.08		0	0.00		0	0.00		8	0.66		506	42.03		8	0.66		0	0.00		319	26.50		5	0.42		134	11.13		0	0.00		3	0.25		150	12.46		0	0.00		2	0.17		1204	94.06		76	5.94		1280	1.54
Kew		45	1.32		41	1.20		58	1.70		0	0.00		4	0.12		1	0.03		33	0.97		1396	40.93		17	0.50		0	0.00		924	27.09		20	0.59		453	13.28		0	0.00		3	0.09		407	11.93		6	0.18		3	0.09		3411	94.72		190	5.28		3601	4.35
Kew East		26	1.80		22	1.52		19	1.32		2	0.14		2	0.14		1	0.07		14	0.97		632	43.80		9	0.62		0	0.00		402	27.86		9	0.62		164	11.37		0	0.00		0	0.00		141	9.77		0	0.00		0	0.00		1443	93.88		94	6.12		1537	1.85
Kew North		42	1.81		33	1.42		35	1.51		2	0.09		4	0.17		2	0.09		23	0.99		1024	44.06		12	0.52		0	0.00		627	26.98		3	0.13		237	10.20		0	0.00		0	0.00		278	11.96		0	0.00		2	0.09		2324	93.52		161	6.48		2485	3.00
Kew South		38	1.60		20	0.84		36	1.51		0	0.00		0	0.00		0	0.00		13	0.55		1174	49.39		15	0.63		0	0.00		457	19.23		20	0.84		279	11.74		0	0.00		1	0.04		320	13.46		1	0.04		3	0.13		2377	96.94		75	3.06		2452	2.96
Melbourne (Kooyong)		5	2.91		5	2.91		1	0.58		0	0.00		0	0.00		0	0.00		3	1.74		63	36.63		1	0.58		0	0.00		45	26.16		0	0.00		23	13.37		0	0.00		0	0.00		26	15.12		0	0.00		0	0.00		172	97.73		4	2.27		176	0.21
Studley Park		28	1.82		8	0.52		8	0.52		0	0.00		3	0.19		0	0.00		16	1.04		872	56.59		4	0.26		0	0.00		256	16.61		1	0.06		161	10.45		0	0.00		1	0.06		183	11.88		0	0.00		0	0.00		1541	95.06		80	4.94		1621	1.96
Surrey Hills West		35	2.57		16	1.17		15	1.10		0	0.00		0	0.00		1	0.07		13	0.95		637	46.70		5	0.37		0	0.00		274	20.09		8	0.59		167	12.24		1	0.07		2	0.15		189	13.86		1	0.07		0	0.00		1364	96.06		56	3.94		1420	1.71
Willison		28	2.44		16	1.40		11	0.96		0	0.00		0	0.00		0	0.00		11	0.96		612	53.40		5	0.44		0	0.00		232	20.24		6	0.52		130	11.34		0	0.00		0	0.00		94	8.20		0	0.00		1	0.09		1146	95.90		49	4.10		1195	1.44
Special Hospitals		8	1.45		10	1.81		3	0.54		0	0.00		0	0.00		0	0.00		2	0.36		354	64.01		0	0.00		0	0.00		143	25.86		2	0.36		14	2.53		0	0.00		0	0.00		17	3.07		0	0.00		0	0.00		553	95.84		24	4.16		577	0.70
Total Ordinary		1184	1.82		818	1.26		686	1.06		30	0.05		33	0.05		10	0.02		611	0.94		31909	49.13		296	0.46		15	0.02		14359	22.11		294	0.45		7265	11.19		8	0.01		46	0.07		7306	11.25		29	0.04		43	0.07		64942	95.11		3338	4.89		68280	82.39
ABSENT		176	2.77		103	1.62		92	1.45		5	0.08		2	0.03		1	0.02		65	1.02		2845	44.85		29	0.46		3	0.05		1280	20.18		29	0.46		840	13.24		2	0.03		9	0.14		848	13.37		7	0.11		7	0.11		6343	97.95		133	2.05		6476	7.81
POSTAL		141	3.83		43	1.17		42	1.14		1	0.03		0	0.00		1	0.03		55	1.49		2153	58.47		26	0.71		1	0.03		695	18.88		19	0.52		319	8.66		0	0.00		2	0.05		182	4.94		1	0.03		1	0.03		3682	98.08		72	1.92		3754	4.53
PRE_POLL		73	1.96		47	1.26		32	0.86		1	0.03		1	0.03		0	0.00		29	0.78		1884	50.63		26	0.70		0	0.00		852	22.90		14	0.38		469	12.60		1	0.03		5	0.13		285	7.66		0	0.00		2	0.05		3721	98.39		61	1.61		3782	4.56
PROVISIONAL		16	2.83		7	1.24		8	1.42		1	0.18		0	0.00		1	0.18		3	0.53		254	44.96		5	0.88		0	0.00		121	21.42		0	0.00		72	12.74		0	0.00		2	0.35		74	13.10		1	0.18		0	0.00		565	96.91		18	3.09		583	0.70
Division Summary		1590	2.01		1018	1.28		860	1.09		38	0.05		36	0.05		13	0.02		763	0.96		39045	49.27		382	0.48		19	0.02		17307	21.84		356	0.45		8965	11.31		11	0.01		64	0.08		8695	10.97		38	0.05		53	0.07		79253	95.63		3622	4.37		82875	95.12
