House of Representatives - 2001 Election: Victoria																						
Distribution of Preferences																						
By Polling Place																						
Aston																						
				LEVICK			PEARCE			KENDALL			BOLAND			MITCHELL			KIR			
	FIRST			1	2.08		23	47.92		3	6.25		17	35.42		0	0.00		4	8.33		48
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		1	2.08		23	47.92		3	6.25		17	35.42					4	8.33		48
	THIRD				Excluded		0	0.00		1	100.00		0	0.00					0	0.00		1
		TOTAL					23	47.92		4	8.33		17	35.42					4	8.33		48
	FOURTH						0	0.00		1	25.00		3	75.00						Excluded		4
		TOTAL					23	47.92		5	10.42		20	41.67								48
	FIFTH						4	80.00			Excluded		1	20.00								5
		TOTAL					27	56.25					21	43.75								48
							Elected															
																						
Morack                                                         																						
	FIRST			19	0.85		1199	53.46		158	7.04		711	31.70		13	0.58		143	6.38		2243
	SECOND			7	53.85		2	15.38		1	7.69		3	23.08			Excluded		0	0.00		13
		TOTAL		26	1.16		1201	53.54		159	7.09		714	31.83					143	6.38		2243
	THIRD				Excluded		13	50.00		4	15.38		7	26.92					2	7.69		26
		TOTAL					1214	54.12		163	7.27		721	32.14					145	6.46		2243
	FOURTH						25	17.24		91	62.76		29	20.00						Excluded		145
		TOTAL					1239	55.24		254	11.32		750	33.44								2243
	FIFTH						101	39.76			Excluded		153	60.24								254
		TOTAL					1340	59.74					903	40.26								2243
							Elected															
																						
Mountain Gate                                                  																						
	FIRST			45	1.29		1568	45.08		315	9.06		1397	40.17		11	0.32		142	4.08		3478
	SECOND			2	18.18		5	45.45		0	0.00		0	0.00			Excluded		4	36.36		11
		TOTAL		47	1.35		1573	45.23		315	9.06		1397	40.17					146	4.20		3478
	THIRD				Excluded		28	59.57		10	21.28		3	6.38					6	12.77		47
		TOTAL					1601	46.03		325	9.34		1400	40.25					152	4.37		3478
	FOURTH						24	15.79		84	55.26		44	28.95						Excluded		152
		TOTAL					1625	46.72		409	11.76		1444	41.52								3478
	FIFTH						173	42.30			Excluded		236	57.70								409
		TOTAL					1798	51.70					1680	48.30								3478
							Elected															
																						
Park Ridge                                                     																						
	FIRST			39	1.78		1069	48.90		163	7.46		869	39.75		5	0.23		41	1.88		2186
	SECOND			0	0.00		1	20.00		0	0.00		3	60.00			Excluded		1	20.00		5
		TOTAL		39	1.78		1070	48.95		163	7.46		872	39.89					42	1.92		2186
	THIRD				Excluded		32	82.05		4	10.26		1	2.56					2	5.13		39
		TOTAL					1102	50.41		167	7.64		873	39.94					44	2.01		2186
	FOURTH						7	15.91		22	50.00		15	34.09						Excluded		44
		TOTAL					1109	50.73		189	8.65		888	40.62								2186
	FIFTH						91	48.15			Excluded		98	51.85								189
		TOTAL					1200	54.89					986	45.11								2186
							Elected															
																						
Parkmore                                                       																						
	FIRST			42	1.65		1143	44.93		166	6.53		1068	41.98		8	0.31		117	4.60		2544
	SECOND			1	12.50		0	0.00		1	12.50		2	25.00			Excluded		4	50.00		8
		TOTAL		43	1.69		1143	44.93		167	6.56		1070	42.06					121	4.76		2544
	THIRD				Excluded		22	51.16		7	16.28		9	20.93					5	11.63		43
		TOTAL					1165	45.79		174	6.84		1079	42.41					126	4.95		2544
	FOURTH						23	18.25		74	58.73		29	23.02						Excluded		126
		TOTAL					1188	46.70		248	9.75		1108	43.55								2544
	FIFTH						97	39.11			Excluded		151	60.89								248
		TOTAL					1285	50.51					1259	49.49								2544
							Elected															
																						
Rowville                                                       																						
	FIRST			49	1.14		2188	50.98		269	6.27		1671	38.93		10	0.23		105	2.45		4292
	SECOND			2	20.00		2	20.00		2	20.00		1	10.00			Excluded		3	30.00		10
		TOTAL		51	1.19		2190	51.03		271	6.31		1672	38.96					108	2.52		4292
	THIRD				Excluded		26	50.98		8	15.69		9	17.65					8	15.69		51
		TOTAL					2216	51.63		279	6.50		1681	39.17					116	2.70		4292
	FOURTH						22	18.97		63	54.31		31	26.72						Excluded		116
		TOTAL					2238	52.14		342	7.97		1712	39.89								4292
	FIFTH						146	42.69			Excluded		196	57.31								342
		TOTAL					2384	55.55					1908	44.45								4292
							Elected															
																						
Rowville East                                                  																						
	FIRST			23	0.72		1598	50.03		240	7.51		1260	39.45		4	0.13		69	2.16		3194
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		4	100.00		4
		TOTAL		23	0.72		1598	50.03		240	7.51		1260	39.45					73	2.29		3194
	THIRD				Excluded		16	69.57		1	4.35		3	13.04					3	13.04		23
		TOTAL					1614	50.53		241	7.55		1263	39.54					76	2.38		3194
	FOURTH						22	28.95		31	40.79		23	30.26						Excluded		76
		TOTAL					1636	51.22		272	8.52		1286	40.26								3194
	FIFTH						135	49.63			Excluded		137	50.37								272
		TOTAL					1771	55.45					1423	44.55								3194
							Elected															
																						
Scoresby                                                       																						
	FIRST			45	1.52		1398	47.25		230	7.77		1189	40.18		9	0.30		88	2.97		2959
	SECOND			1	11.11		2	22.22		2	22.22		1	11.11			Excluded		3	33.33		9
		TOTAL		46	1.55		1400	47.31		232	7.84		1190	40.22					91	3.08		2959
	THIRD				Excluded		26	56.52		1	2.17		11	23.91					8	17.39		46
		TOTAL					1426	48.19		233	7.87		1201	40.59					99	3.35		2959
	FOURTH						21	21.21		44	44.44		34	34.34						Excluded		99
		TOTAL					1447	48.90		277	9.36		1235	41.74								2959
	FIFTH						129	46.57			Excluded		148	53.43								277
		TOTAL					1576	53.26					1383	46.74								2959
							Elected															
																						
Scoresby East                                                  																						
	FIRST			15	1.30		619	53.55		96	8.30		382	33.04		2	0.17		42	3.63		1156
	SECOND			2	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2
		TOTAL		17	1.47		619	53.55		96	8.30		382	33.04					42	3.63		1156
	THIRD				Excluded		13	76.47		1	5.88		0	0.00					3	17.65		17
		TOTAL					632	54.67		97	8.39		382	33.04					45	3.89		1156
	FOURTH						12	26.67		20	44.44		13	28.89						Excluded		45
		TOTAL					644	55.71		117	10.12		395	34.17								1156
	FIFTH						54	46.15			Excluded		63	53.85								117
		TOTAL					698	60.38					458	39.62								1156
							Elected															
																						
Studfield East                                                 																						
	FIRST			31	1.07		1314	45.36		207	7.15		1224	42.25		9	0.31		112	3.87		2897
	SECOND			2	22.22		2	22.22		2	22.22		1	11.11			Excluded		2	22.22		9
		TOTAL		33	1.14		1316	45.43		209	7.21		1225	42.29					114	3.94		2897
	THIRD				Excluded		21	63.64		5	15.15		3	9.09					4	12.12		33
		TOTAL					1337	46.15		214	7.39		1228	42.39					118	4.07		2897
	FOURTH						22	18.64		61	51.69		35	29.66						Excluded		118
		TOTAL					1359	46.91		275	9.49		1263	43.60								2897
	FIFTH						106	38.55			Excluded		169	61.45								275
		TOTAL					1465	50.57					1432	49.43								2897
							Elected															
																						
Templeton                                                      																						
	FIRST			8	0.42		926	48.81		114	6.01		794	41.86		7	0.37		48	2.53		1897
	SECOND			0	0.00		2	28.57		1	14.29		2	28.57			Excluded		2	28.57		7
		TOTAL		8	0.42		928	48.92		115	6.06		796	41.96					50	2.64		1897
	THIRD				Excluded		7	87.50		0	0.00		1	12.50					0	0.00		8
		TOTAL					935	49.29		115	6.06		797	42.01					50	2.64		1897
	FOURTH						10	20.00		21	42.00		19	38.00						Excluded		50
		TOTAL					945	49.82		136	7.17		816	43.02								1897
	FIFTH						61	44.85			Excluded		75	55.15								136
		TOTAL					1006	53.03					891	46.97								1897
							Elected															
																						
Vermont                                                        																						
	FIRST			10	1.20		418	50.12		88	10.55		271	32.49		2	0.24		45	5.40		834
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2
		TOTAL		11	1.32		418	50.12		88	10.55		271	32.49					46	5.52		834
	THIRD				Excluded		9	81.82		1	9.09		0	0.00					1	9.09		11
		TOTAL					427	51.20		89	10.67		271	32.49					47	5.64		834
	FOURTH						6	12.77		22	46.81		19	40.43						Excluded		47
		TOTAL					433	51.92		111	13.31		290	34.77								834
	FIFTH						48	43.24			Excluded		63	56.76								111
		TOTAL					481	57.67					353	42.33								834
							Elected															
																						
Wantirna                                                       																						
	FIRST			19	0.93		1099	53.53		130	6.33		746	36.34		1	0.05		58	2.83		2053
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		19	0.93		1099	53.53		130	6.33		746	36.34					59	2.87		2053
	THIRD				Excluded		14	73.68		0	0.00		2	10.53					3	15.79		19
		TOTAL					1113	54.21		130	6.33		748	36.43					62	3.02		2053
	FOURTH						13	20.97		32	51.61		17	27.42						Excluded		62
		TOTAL					1126	54.85		162	7.89		765	37.26								2053
	FIFTH						69	42.59			Excluded		93	57.41								162
		TOTAL					1195	58.21					858	41.79								2053
							Elected															
																						
Wantirna Heights                                               																						
	FIRST			16	1.26		664	52.41		76	6.00		464	36.62		8	0.63		39	3.08		1267
	SECOND			2	25.00		2	25.00		2	25.00		0	0.00			Excluded		2	25.00		8
		TOTAL		18	1.42		666	52.57		78	6.16		464	36.62					41	3.24		1267
	THIRD				Excluded		12	66.67		5	27.78		0	0.00					1	5.56		18
		TOTAL					678	53.51		83	6.55		464	36.62					42	3.31		1267
	FOURTH						7	16.67		23	54.76		12	28.57						Excluded		42
		TOTAL					685	54.06		106	8.37		476	37.57								1267
	FIFTH						48	45.28			Excluded		58	54.72								106
		TOTAL					733	57.85					534	42.15								1267
							Elected															
																						
Wantirna High                                                  																						
	FIRST			37	1.15		1720	53.55		213	6.63		1130	35.18		16	0.50		96	2.99		3212
	SECOND			5	31.25		3	18.75		2	12.50		0	0.00			Excluded		6	37.50		16
		TOTAL		42	1.31		1723	53.64		215	6.69		1130	35.18					102	3.18		3212
	THIRD				Excluded		21	50.00		7	16.67		7	16.67					7	16.67		42
		TOTAL					1744	54.30		222	6.91		1137	35.40					109	3.39		3212
	FOURTH						18	16.51		60	55.05		31	28.44						Excluded		109
		TOTAL					1762	54.86		282	8.78		1168	36.36								3212
	FIFTH						124	43.97			Excluded		158	56.03								282
		TOTAL					1886	58.72					1326	41.28								3212
							Elected															
																						
Wantirna South                                                 																						
	FIRST			26	1.09		1237	51.93		176	7.39		888	37.28		6	0.25		49	2.06		2382
	SECOND			0	0.00		1	16.67		0	0.00		1	16.67			Excluded		4	66.67		6
		TOTAL		26	1.09		1238	51.97		176	7.39		889	37.32					53	2.23		2382
	THIRD				Excluded		18	69.23		6	23.08		0	0.00					2	7.69		26
		TOTAL					1256	52.73		182	7.64		889	37.32					55	2.31		2382
	FOURTH						8	14.55		26	47.27		21	38.18						Excluded		55
		TOTAL					1264	53.06		208	8.73		910	38.20								2382
	FIFTH						97	46.63			Excluded		111	53.37								208
		TOTAL					1361	57.14					1021	42.86								2382
							Elected															
																						
Weeden Heights                                                 																						
	FIRST			23	0.92		1370	54.67		152	6.07		866	34.56		7	0.28		88	3.51		2506
	SECOND			2	28.57		2	28.57		0	0.00		1	14.29			Excluded		2	28.57		7
		TOTAL		25	1.00		1372	54.75		152	6.07		867	34.60					90	3.59		2506
	THIRD				Excluded		17	68.00		3	12.00		1	4.00					4	16.00		25
		TOTAL					1389	55.43		155	6.19		868	34.64					94	3.75		2506
	FOURTH						14	14.89		57	60.64		23	24.47						Excluded		94
		TOTAL					1403	55.99		212	8.46		891	35.55								2506
	FIFTH						86	40.57			Excluded		126	59.43								212
		TOTAL					1489	59.42					1017	40.58								2506
							Elected															
																						
Special Hospital Team 1                                        																						
	FIRST			3	3.95		52	68.42		0	0.00		21	27.63		0	0.00		0	0.00		76
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		3	3.95		52	68.42		0	0.00		21	27.63					0	0.00		76
	THIRD				Excluded		3	100.00		0	0.00		0	0.00					0	0.00		3
		TOTAL					55	72.37		0	0.00		21	27.63					0	0.00		76
	FOURTH						0	0.00		0	0.00		0	0.00						Excluded		0
		TOTAL					55	72.37		0	0.00		21	27.63								76
	FIFTH						0	0.00			Excluded		0	0.00								0
		TOTAL					55	72.37					21	27.63								76
							Elected															
																						
Special Hospital Team 2                                        																						
	FIRST			4	4.88		61	74.39		2	2.44		13	15.85		0	0.00		2	2.44		82
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		4	4.88		61	74.39		2	2.44		13	15.85					2	2.44		82
	THIRD				Excluded		2	50.00		1	25.00		1	25.00					0	0.00		4
		TOTAL					63	76.83		3	3.66		14	17.07					2	2.44		82
	FOURTH						0	0.00		0	0.00		2	100.00						Excluded		2
		TOTAL					63	76.83		3	3.66		16	19.51								82
	FIFTH						1	33.33			Excluded		2	66.67								3
		TOTAL					64	78.05					18	21.95								82
							Elected															
																						
Special Hospital Team 3                                        																						
	FIRST			0	0.00		56	60.87		2	2.17		33	35.87		0	0.00		1	1.09		92
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		0	0.00		56	60.87		2	2.17		33	35.87					1	1.09		92
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0
		TOTAL					56	60.87		2	2.17		33	35.87					1	1.09		92
	FOURTH						0	0.00		0	0.00		1	100.00						Excluded		1
		TOTAL					56	60.87		2	2.17		34	36.96								92
	FIFTH						1	50.00			Excluded		1	50.00								2
		TOTAL					57	61.96					35	38.04								92
							Elected															
																						
ABSENT																						
	FIRST			82	2.04		1932	48.02		429	10.66		1277	31.74		24	0.60		279	6.94		4023
	SECOND			2	8.33		3	12.50		5	20.83		5	20.83			Excluded		9	37.50		24
		TOTAL		84	2.09		1935	48.10		434	10.79		1282	31.87					288	7.16		4023
	THIRD				Excluded		48	57.14		14	16.67		13	15.48					9	10.71		84
		TOTAL					1983	49.29		448	11.14		1295	32.19					297	7.38		4023
	FOURTH						50	16.84		144	48.48		103	34.68						Excluded		297
		TOTAL					2033	50.53		592	14.72		1398	34.75								4023
	FIFTH						225	38.01			Excluded		367	61.99								592
		TOTAL					2258	56.13					1765	43.87								4023
							Elected															
																						
POSTAL																						
	FIRST			74	1.47		2921	57.99		252	5.00		1674	33.23		19	0.38		97	1.93		5037
	SECOND			7	36.84		1	5.26		3	15.79		3	15.79			Excluded		5	26.32		19
		TOTAL		81	1.61		2922	58.01		255	5.06		1677	33.29					102	2.03		5037
	THIRD				Excluded		39	48.15		8	9.88		13	16.05					21	25.93		81
		TOTAL					2961	58.78		263	5.22		1690	33.55					123	2.44		5037
	FOURTH						28	22.76		62	50.41		33	26.83						Excluded		123
		TOTAL					2989	59.34		325	6.45		1723	34.21								5037
	FIFTH						131	40.31			Excluded		194	59.69								325
		TOTAL					3120	61.94					1917	38.06								5037
							Elected															
																						
PRE POLL																						
	FIRST			40	1.37		1520	52.07		217	7.43		1006	34.46		18	0.62		118	4.04		2919
	SECOND			3	16.67		3	16.67		4	22.22		2	11.11			Excluded		6	33.33		18
		TOTAL		43	1.47		1523	52.18		221	7.57		1008	34.53					124	4.25		2919
	THIRD				Excluded		30	69.77		5	11.63		4	9.30					4	9.30		43
		TOTAL					1553	53.20		226	7.74		1012	34.67					128	4.39		2919
	FOURTH						25	19.53		65	50.78		38	29.69						Excluded		128
		TOTAL					1578	54.06		291	9.97		1050	35.97								2919
	FIFTH						99	34.02			Excluded		192	65.98								291
		TOTAL					1677	57.45					1242	42.55								2919
							Elected															
																						
PROVISIONAL																						
	FIRST			6	2.88		100	48.08		11	5.29		84	40.38		0	0.00		7	3.37		208
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		6	2.88		100	48.08		11	5.29		84	40.38					7	3.37		208
	THIRD				Excluded		2	33.33		2	33.33		0	0.00					2	33.33		6
		TOTAL					102	49.04		13	6.25		84	40.38					9	4.33		208
	FOURTH						1	11.11		6	66.67		2	22.22						Excluded		9
		TOTAL					103	49.52		19	9.13		86	41.35								208
	FIFTH						13	68.42			Excluded		6	31.58								19
		TOTAL					116	55.77					92	44.23								208
							Elected															
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
