House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
McEwen																							
				SALTER			ROMAGNESI			MACLEOD			BAILEY			LODWICK			CARDEN				
		TOTAL					173	8.46		1025	50.15		846	41.39								2044	
	FIFTH							Excluded		134	77.46		39	22.54								173	
		TOTAL								1159	56.70		885	43.30								2044	
													Elected										
																							
Buxton                                                         																							
	FIRST			3	1.22		10	4.08		68	27.76		155	63.27		0	0.00		9	3.67		245	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	1.22		10	4.08		68	27.76		155	63.27					9	3.67		245	
	THIRD				Excluded		0	0.00		0	0.00		3	100.00					0	0.00		3	
		TOTAL					10	4.08		68	27.76		158	64.49					9	3.67		245	
	FOURTH						5	55.56		2	22.22		2	22.22						Excluded		9	
		TOTAL					15	6.12		70	28.57		160	65.31								245	
	FIFTH							Excluded		14	93.33		1	6.67								15	
		TOTAL								84	34.29		161	65.71								245	
													Elected										
																							
Christmas Hills                                                																							
	FIRST			4	3.13		18	14.06		53	41.41		39	30.47		5	3.91		9	7.03		128	
	SECOND			1	20.00		3	60.00		1	20.00		0	0.00			Excluded		0	0.00		5	
		TOTAL		5	3.91		21	16.41		54	42.19		39	30.47					9	7.03		128	
	THIRD				Excluded		1	20.00		2	40.00		0	0.00					2	40.00		5	
		TOTAL					22	17.19		56	43.75		39	30.47					11	8.59		128	
	FOURTH						2	18.18		8	72.73		1	9.09						Excluded		11	
		TOTAL					24	18.75		64	50.00		40	31.25								128	
	FIFTH							Excluded		21	87.50		3	12.50								24	
		TOTAL								85	66.41		43	33.59								128	
													Elected										
																							
Clonbinane                                                     																							
	FIRST			6	2.60		9	3.90		115	49.78		81	35.06		9	3.90		11	4.76		231	
	SECOND			0	0.00		3	33.33		0	0.00		1	11.11			Excluded		5	55.56		9	
		TOTAL		6	2.60		12	5.19		115	49.78		82	35.50					16	6.93		231	
	THIRD				Excluded		2	33.33		1	16.67		2	33.33					1	16.67		6	
		TOTAL					14	6.06		116	50.22		84	36.36					17	7.36		231	
	FOURTH						7	41.18		7	41.18		3	17.65						Excluded		17	
		TOTAL					21	9.09		123	53.25		87	37.66								231	
	FIFTH							Excluded		17	80.95		4	19.05								21	
		TOTAL								140	60.61		91	39.39								231	
													Elected										
																							
Craigieburn                                                    																							
	FIRST			111	2.33		140	2.94		2872	60.25		1426	29.91		54	1.13		164	3.44		4767	
	SECOND			9	16.67		8	14.81		10	18.52		11	20.37			Excluded		16	29.63		54	
		TOTAL		120	2.52		148	3.10		2882	60.46		1437	30.14					180	3.78		4767	
	THIRD				Excluded		46	38.33		26	21.67		37	30.83					11	9.17		120	
		TOTAL					194	4.07		2908	61.00		1474	30.92					191	4.01		4767	
	FOURTH						74	38.74		53	27.75		64	33.51						Excluded		191	
		TOTAL					268	5.62		2961	62.11		1538	32.26								4767	
	FIFTH							Excluded		203	75.75		65	24.25								268	
		TOTAL								3164	66.37		1603	33.63								4767	
													Elected										
																							
Craigieburn South                                              																							
	FIRST			89	3.65		89	3.65		1480	60.66		665	27.25		20	0.82		97	3.98		2440	
	SECOND			2	10.00		3	15.00		4	20.00		2	10.00			Excluded		9	45.00		20	
		TOTAL		91	3.73		92	3.77		1484	60.82		667	27.34					106	4.34		2440	
	THIRD				Excluded		34	37.36		27	29.67		19	20.88					11	12.09		91	
		TOTAL					126	5.16		1511	61.93		686	28.11					117	4.80		2440	
	FOURTH						56	47.86		35	29.91		26	22.22						Excluded		117	
		TOTAL					182	7.46		1546	63.36		712	29.18								2440	
	FIFTH							Excluded		132	72.53		50	27.47								182	
		TOTAL								1678	68.77		762	31.23								2440	
													Elected										
																							
Diamond Creek                                                  																							
	FIRST			58	2.13		151	5.54		1023	37.50		1250	45.82		28	1.03		218	7.99		2728	
	SECOND			3	10.71		4	14.29		6	21.43		5	17.86			Excluded		10	35.71		28	
		TOTAL		61	2.24		155	5.68		1029	37.72		1255	46.00					228	8.36		2728	
	THIRD				Excluded		18	29.51		9	14.75		32	52.46					2	3.28		61	
		TOTAL					173	6.34		1038	38.05		1287	47.18					230	8.43		2728	
	FOURTH						145	63.04		47	20.43		38	16.52						Excluded		230	
		TOTAL					318	11.66		1085	39.77		1325	48.57								2728	
	FIFTH							Excluded		232	72.96		86	27.04								318	
		TOTAL								1317	48.28		1411	51.72								2728	
													Elected										
																							
Diamond Creek East                                             																							
	FIRST			67	2.58		130	5.01		964	37.15		1279	49.29		26	1.00		129	4.97		2595	
	SECOND			3	11.54		6	23.08		2	7.69		6	23.08			Excluded		9	34.62		26	
		TOTAL		70	2.70		136	5.24		966	37.23		1285	49.52					138	5.32		2595	
	THIRD				Excluded		22	31.43		13	18.57		32	45.71					3	4.29		70	
		TOTAL					158	6.09		979	37.73		1317	50.75					141	5.43		2595	
	FOURTH						75	53.19		29	20.57		37	26.24						Excluded		141	
		TOTAL					233	8.98		1008	38.84		1354	52.18								2595	
	FIFTH							Excluded		172	73.82		61	26.18								233	
		TOTAL								1180	45.47		1415	54.53								2595	
													Elected										
																							
Dixons Creek                                                   																							
	FIRST			7	3.41		12	5.85		41	20.00		129	62.93		3	1.46		13	6.34		205	
	SECOND			1	33.33		1	33.33		0	0.00		1	33.33			Excluded		0	0.00		3	
		TOTAL		8	3.90		13	6.34		41	20.00		130	63.41					13	6.34		205	
	THIRD				Excluded		2	25.00		3	37.50		3	37.50					0	0.00		8	
		TOTAL					15	7.32		44	21.46		133	64.88					13	6.34		205	
	FOURTH						5	38.46		3	23.08		5	38.46						Excluded		13	
		TOTAL					20	9.76		47	22.93		138	67.32								205	
	FIFTH							Excluded		14	70.00		6	30.00								20	
		TOTAL								61	29.76		144	70.24								205	
													Elected										
																							
Don Valley                                                     																							
	FIRST			10	4.00		8	3.20		74	29.60		146	58.40		1	0.40		11	4.40		250	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		10	4.00		9	3.60		74	29.60		146	58.40					11	4.40		250	
	THIRD				Excluded		3	30.00		0	0.00		7	70.00					0	0.00		10	
		TOTAL					12	4.80		74	29.60		153	61.20					11	4.40		250	
	FOURTH						5	45.45		5	45.45		1	9.09						Excluded		11	
		TOTAL					17	6.80		79	31.60		154	61.60								250	
	FIFTH							Excluded		15	88.24		2	11.76								17	
		TOTAL								94	37.60		156	62.40								250	
													Elected										
																							
Doreen                                                         																							
	FIRST			3	0.70		18	4.20		93	21.68		285	66.43		11	2.56		19	4.43		429	
	SECOND			0	0.00		3	27.27		1	9.09		4	36.36			Excluded		3	27.27		11	
		TOTAL		3	0.70		21	4.90		94	21.91		289	67.37					22	5.13		429	
	THIRD				Excluded		1	33.33		1	33.33		0	0.00					1	33.33		3	
		TOTAL					22	5.13		95	22.14		289	67.37					23	5.36		429	
	FOURTH						12	52.17		6	26.09		5	21.74						Excluded		23	
		TOTAL					34	7.93		101	23.54		294	68.53								429	
	FIFTH							Excluded		22	64.71		12	35.29								34	
		TOTAL								123	28.67		306	71.33								429	
													Elected										
																							
Eden Park                                                      																							
	FIRST			10	1.85		16	2.96		206	38.08		280	51.76		5	0.92		24	4.44		541	
	SECOND			0	0.00		2	40.00		0	0.00		2	40.00			Excluded		1	20.00		5	
		TOTAL		10	1.85		18	3.33		206	38.08		282	52.13					25	4.62		541	
	THIRD				Excluded		2	20.00		4	40.00		2	20.00					2	20.00		10	
		TOTAL					20	3.70		210	38.82		284	52.50					27	4.99		541	
	FOURTH						10	37.04		10	37.04		7	25.93						Excluded		27	
		TOTAL					30	5.55		220	40.67		291	53.79								541	
	FIFTH							Excluded		21	70.00		9	30.00								30	
		TOTAL								241	44.55		300	55.45								541	
													Elected										
																							
Eildon                                                         																							
	FIRST			15	2.73		9	1.64		189	34.36		273	49.64		6	1.09		58	10.55		550	
	SECOND			0	0.00		0	0.00		1	16.67		2	33.33			Excluded		3	50.00		6	
		TOTAL		15	2.73		9	1.64		190	34.55		275	50.00					61	11.09		550	
	THIRD				Excluded		3	20.00		5	33.33		6	40.00					1	6.67		15	
		TOTAL					12	2.18		195	35.45		281	51.09					62	11.27		550	
	FOURTH						43	69.35		6	9.68		13	20.97						Excluded		62	
		TOTAL					55	10.00		201	36.55		294	53.45								550	
	FIFTH							Excluded		33	60.00		22	40.00								55	
		TOTAL								234	42.55		316	57.45								550	
													Elected										
																							
Flowerdale                                                     																							
	FIRST			7	1.91		21	5.72		152	41.42		168	45.78		5	1.36		14	3.81		367	
	SECOND			0	0.00		2	40.00		2	40.00		1	20.00			Excluded		0	0.00		5	
		TOTAL		7	1.91		23	6.27		154	41.96		169	46.05					14	3.81		367	
	THIRD				Excluded		1	14.29		1	14.29		4	57.14					1	14.29		7	
		TOTAL					24	6.54		155	42.23		173	47.14					15	4.09		367	
	FOURTH						7	46.67		5	33.33		3	20.00						Excluded		15	
		TOTAL					31	8.45		160	43.60		176	47.96								367	
	FIFTH							Excluded		28	90.32		3	9.68								31	
		TOTAL								188	51.23		179	48.77								367	
													Elected										
																							
Gladysdale                                                     																							
	FIRST			11	3.07		23	6.42		131	36.59		175	48.88		5	1.40		13	3.63		358	
	SECOND			0	0.00		2	40.00		0	0.00		2	40.00			Excluded		1	20.00		5	
		TOTAL		11	3.07		25	6.98		131	36.59		177	49.44					14	3.91		358	
	THIRD				Excluded		2	18.18		4	36.36		3	27.27					2	18.18		11	
		TOTAL					27	7.54		135	37.71		180	50.28					16	4.47		358	
	FOURTH						9	56.25		3	18.75		4	25.00						Excluded		16	
		TOTAL					36	10.06		138	38.55		184	51.40								358	
	FIFTH							Excluded		25	69.44		11	30.56								36	
		TOTAL								163	45.53		195	54.47								358	
													Elected										
																							
Glenburn                                                       																							
	FIRST			20	8.44		14	5.91		62	26.16		129	54.43		3	1.27		9	3.80		237	
	SECOND			1	33.33		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		3	
		TOTAL		21	8.86		14	5.91		62	26.16		131	55.27					9	3.80		237	
	THIRD				Excluded		9	42.86		1	4.76		9	42.86					2	9.52		21	
		TOTAL					23	9.70		63	26.58		140	59.07					11	4.64		237	
	FOURTH						7	63.64		4	36.36		0	0.00						Excluded		11	
		TOTAL					30	12.66		67	28.27		140	59.07								237	
	FIFTH							Excluded		22	73.33		8	26.67								30	
		TOTAL								89	37.55		148	62.45								237	
													Elected										
																							
Healesville                                                    																							
	FIRST			114	3.37		330	9.77		1273	37.69		1413	41.83		45	1.33		203	6.01		3378	
	SECOND			6	13.33		12	26.67		5	11.11		13	28.89			Excluded		9	20.00		45	
		TOTAL		120	3.55		342	10.12		1278	37.83		1426	42.21					212	6.28		3378	
	THIRD				Excluded		30	25.00		23	19.17		57	47.50					10	8.33		120	
		TOTAL					372	11.01		1301	38.51		1483	43.90					222	6.57		3378	
	FOURTH						151	68.02		36	16.22		35	15.77						Excluded		222	
		TOTAL					523	15.48		1337	39.58		1518	44.94								3378	
	FIFTH							Excluded		396	75.72		127	24.28								523	
		TOTAL								1733	51.30		1645	48.70								3378	
													Elected										
																							
Hoddles Creek                                                  																							
	FIRST			7	2.23		20	6.37		77	24.52		184	58.60		4	1.27		22	7.01		314	
	SECOND			0	0.00		2	50.00		0	0.00		1	25.00			Excluded		1	25.00		4	
		TOTAL		7	2.23		22	7.01		77	24.52		185	58.92					23	7.32		314	
	THIRD				Excluded		1	14.29		0	0.00		6	85.71					0	0.00		7	
		TOTAL					23	7.32		77	24.52		191	60.83					23	7.32		314	
	FOURTH						12	52.17		7	30.43		4	17.39						Excluded		23	
		TOTAL					35	11.15		84	26.75		195	62.10								314	
	FIFTH							Excluded		21	60.00		14	40.00								35	
		TOTAL								105	33.44		209	66.56								314	
													Elected										
																							
Hurstbridge                                                    																							
	FIRST			27	1.23		257	11.73		895	40.85		884	40.35		19	0.87		109	4.97		2191	
	SECOND			3	15.79		7	36.84		2	10.53		2	10.53			Excluded		5	26.32		19	
		TOTAL		30	1.37		264	12.05		897	40.94		886	40.44					114	5.20		2191	
	THIRD				Excluded		9	30.00		6	20.00		11	36.67					4	13.33		30	
		TOTAL					273	12.46		903	41.21		897	40.94					118	5.39		2191	
	FOURTH						42	35.59		39	33.05		37	31.36						Excluded		118	
		TOTAL					315	14.38		942	42.99		934	42.63								2191	
	FIFTH							Excluded		260	82.54		55	17.46								315	
		TOTAL								1202	54.86		989	45.14								2191	
													Elected										
																							
Jamieson                                                       																							
	FIRST			16	7.02		6	2.63		75	32.89		125	54.82		1	0.44		5	2.19		228	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		17	7.46		6	2.63		75	32.89		125	54.82					5	2.19		228	
	THIRD				Excluded		5	29.41		3	17.65		7	41.18					2	11.76		17	
		TOTAL					11	4.82		78	34.21		132	57.89					7	3.07		228	
	FOURTH						4	57.14		1	14.29		2	28.57						Excluded		7	
		TOTAL					15	6.58		79	34.65		134	58.77								228	
	FIFTH							Excluded		12	80.00		3	20.00								15	
		TOTAL								91	39.91		137	60.09								228	
													Elected										
																							
Kalkallo                                                       																							
	FIRST			6	3.77		3	1.89		54	33.96		90	56.60		4	2.52		2	1.26		159	
	SECOND			0	0.00		0	0.00		3	75.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		6	3.77		3	1.89		57	35.85		90	56.60					3	1.89		159	
	THIRD				Excluded		4	66.67		1	16.67		0	0.00					1	16.67		6	
		TOTAL					7	4.40		58	36.48		90	56.60					4	2.52		159	
	FOURTH						2	50.00		1	25.00		1	25.00						Excluded		4	
		TOTAL					9	5.66		59	37.11		91	57.23								159	
	FIFTH							Excluded		6	66.67		3	33.33								9	
		TOTAL								65	40.88		94	59.12								159	
													Elected										
																							
Kangaroo Ground                                                																							
	FIRST			8	0.98		134	16.34		204	24.88		434	52.93		9	1.10		31	3.78		820	
	SECOND			0	0.00		1	11.11		1	11.11		6	66.67			Excluded		1	11.11		9	
		TOTAL		8	0.98		135	16.46		205	25.00		440	53.66					32	3.90		820	
	THIRD				Excluded		0	0.00		1	12.50		7	87.50					0	0.00		8	
		TOTAL					135	16.46		206	25.12		447	54.51					32	3.90		820	
	FOURTH						13	40.63		10	31.25		9	28.13						Excluded		32	
		TOTAL					148	18.05		216	26.34		456	55.61								820	
	FIFTH							Excluded		128	86.49		20	13.51								148	
		TOTAL								344	41.95		476	58.05								820	
													Elected										
																							
Kilmore                                                        																							
	FIRST			57	2.18		111	4.24		967	36.92		1306	49.87		32	1.22		146	5.57		2619	
	SECOND			2	6.25		6	18.75		6	18.75		7	21.88			Excluded		11	34.38		32	
		TOTAL		59	2.25		117	4.47		973	37.15		1313	50.13					157	5.99		2619	
	THIRD				Excluded		21	35.59		10	16.95		22	37.29					6	10.17		59	
		TOTAL					138	5.27		983	37.53		1335	50.97					163	6.22		2619	
	FOURTH						90	55.21		44	26.99		29	17.79						Excluded		163	
		TOTAL					228	8.71		1027	39.21		1364	52.08								2619	
	FIFTH							Excluded		149	65.35		79	34.65								228	
		TOTAL								1176	44.90		1443	55.10								2619	
													Elected										
																							
Kinglake                                                       																							
	FIRST			29	3.97		95	13.00		325	44.46		227	31.05		7	0.96		48	6.57		731	
	SECOND			0	0.00		1	14.29		1	14.29		2	28.57			Excluded		3	42.86		7	
		TOTAL		29	3.97		96	13.13		326	44.60		229	31.33					51	6.98		731	
	THIRD				Excluded		13	44.83		4	13.79		8	27.59					4	13.79		29	
		TOTAL					109	14.91		330	45.14		237	32.42					55	7.52		731	
	FOURTH						28	50.91		18	32.73		9	16.36						Excluded		55	
		TOTAL					137	18.74		348	47.61		246	33.65								731	
	FIFTH							Excluded		112	81.75		25	18.25								137	
		TOTAL								460	62.93		271	37.07								731	
													Elected										
																							
Kinglake West                                                  																							
	FIRST			16	1.99		40	4.97		361	44.84		337	41.86		9	1.12		42	5.22		805	
	SECOND			0	0.00		3	33.33		2	22.22		1	11.11			Excluded		3	33.33		9	
		TOTAL		16	1.99		43	5.34		363	45.09		338	41.99					45	5.59		805	
	THIRD				Excluded		9	56.25		0	0.00		6	37.50					1	6.25		16	
		TOTAL					52	6.46		363	45.09		344	42.73					46	5.71		805	
	FOURTH						12	26.09		24	52.17		10	21.74						Excluded		46	
		TOTAL					64	7.95		387	48.07		354	43.98								805	
	FIFTH							Excluded		46	71.88		18	28.13								64	
		TOTAL								433	53.79		372	46.21								805	
													Elected										
																							
Launching Place                                                																							
	FIRST			25	2.41		62	5.98		413	39.86		468	45.17		19	1.83		49	4.73		1036	
	SECOND			3	15.79		1	5.26		2	10.53		6	31.58			Excluded		7	36.84		19	
		TOTAL		28	2.70		63	6.08		415	40.06		474	45.75					56	5.41		1036	
	THIRD				Excluded		9	32.14		5	17.86		10	35.71					4	14.29		28	
		TOTAL					72	6.95		420	40.54		484	46.72					60	5.79		1036	
	FOURTH						29	48.33		19	31.67		12	20.00						Excluded		60	
		TOTAL					101	9.75		439	42.37		496	47.88								1036	
	FIFTH							Excluded		75	74.26		26	25.74								101	
		TOTAL								514	49.61		522	50.39								1036	
													Elected										
																							
Longwood                                                       																							
	FIRST			7	3.87		6	3.31		54	29.83		102	56.35		5	2.76		7	3.87		181	
	SECOND			1	20.00		2	40.00		0	0.00		1	20.00			Excluded		1	20.00		5	
		TOTAL		8	4.42		8	4.42		54	29.83		103	56.91					8	4.42		181	
	THIRD				Excluded		2	25.00		1	12.50		4	50.00					1	12.50		8	
		TOTAL					10	5.52		55	30.39		107	59.12					9	4.97		181	
	FOURTH						3	33.33		5	55.56		1	11.11						Excluded		9	
		TOTAL					13	7.18		60	33.15		108	59.67								181	
	FIFTH							Excluded		9	69.23		4	30.77								13	
		TOTAL								69	38.12		112	61.88								181	
													Elected										
																							
Mansfield                                                      																							
	FIRST			79	3.24		143	5.87		679	27.85		1399	57.38		29	1.19		109	4.47		2438	
	SECOND			5	17.24		7	24.14		4	13.79		8	27.59			Excluded		5	17.24		29	
		TOTAL		84	3.45		150	6.15		683	28.01		1407	57.71					114	4.68		2438	
	THIRD				Excluded		18	21.43		16	19.05		35	41.67					15	17.86		84	
		TOTAL					168	6.89		699	28.67		1442	59.15					129	5.29		2438	
	FOURTH						86	66.67		16	12.40		27	20.93						Excluded		129	
		TOTAL					254	10.42		715	29.33		1469	60.25								2438	
	FIFTH							Excluded		191	75.20		63	24.80								254	
		TOTAL								906	37.16		1532	62.84								2438	
													Elected										
																							
Marysville                                                     																							
	FIRST			5	1.34		28	7.51		132	35.39		193	51.74		6	1.61		9	2.41		373	
	SECOND			0	0.00		0	0.00		4	66.67		2	33.33			Excluded		0	0.00		6	
		TOTAL		5	1.34		28	7.51		136	36.46		195	52.28					9	2.41		373	
	THIRD				Excluded		5	100.00		0	0.00		0	0.00					0	0.00		5	
		TOTAL					33	8.85		136	36.46		195	52.28					9	2.41		373	
	FOURTH						4	44.44		3	33.33		2	22.22						Excluded		9	
		TOTAL					37	9.92		139	37.27		197	52.82								373	
	FIFTH							Excluded		31	83.78		6	16.22								37	
		TOTAL								170	45.58		203	54.42								373	
													Elected										
																							
Melbourne (McEwen)                                             																							
	FIRST			0	0.00		8	10.26		27	34.62		32	41.03		0	0.00		11	14.10		78	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		8	10.26		27	34.62		32	41.03					11	14.10		78	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					8	10.26		27	34.62		32	41.03					11	14.10		78	
	FOURTH						5	45.45		4	36.36		2	18.18						Excluded		11	
		TOTAL					13	16.67		31	39.74		34	43.59								78	
	FIFTH							Excluded		8	61.54		5	38.46								13	
		TOTAL								39	50.00		39	50.00								78	
													Elected										
																							
Mernda                                                         																							
	FIRST			17	2.94		14	2.42		225	38.93		302	52.25		7	1.21		13	2.25		578	
	SECOND			2	28.57		2	28.57		0	0.00		1	14.29			Excluded		2	28.57		7	
		TOTAL		19	3.29		16	2.77		225	38.93		303	52.42					15	2.60		578	
	THIRD				Excluded		6	31.58		4	21.05		8	42.11					1	5.26		19	
		TOTAL					22	3.81		229	39.62		311	53.81					16	2.77		578	
	FOURTH						6	37.50		5	31.25		5	31.25						Excluded		16	
		TOTAL					28	4.84		234	40.48		316	54.67								578	
	FIFTH							Excluded		21	75.00		7	25.00								28	
		TOTAL								255	44.12		323	55.88								578	
													Elected										
																							
Merrijig                                                       																							
	FIRST			5	2.22		19	8.44		65	28.89		126	56.00		2	0.89		8	3.56		225	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		5	2.22		19	8.44		66	29.33		126	56.00					9	4.00		225	
	THIRD				Excluded		0	0.00		1	20.00		3	60.00					1	20.00		5	
		TOTAL					19	8.44		67	29.78		129	57.33					10	4.44		225	
	FOURTH						6	60.00		2	20.00		2	20.00						Excluded		10	
		TOTAL					25	11.11		69	30.67		131	58.22								225	
	FIFTH							Excluded		18	72.00		7	28.00								25	
		TOTAL								87	38.67		138	61.33								225	
													Elected										
																							
Merton                                                         																							
	FIRST			2	1.75		1	0.88		24	21.05		84	73.68		1	0.88		2	1.75		114	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		2	1.75		1	0.88		24	21.05		85	74.56					2	1.75		114	
	THIRD				Excluded		1	50.00		0	0.00		0	0.00					1	50.00		2	
		TOTAL					2	1.75		24	21.05		85	74.56					3	2.63		114	
	FOURTH						1	33.33		1	33.33		1	33.33						Excluded		3	
		TOTAL					3	2.63		25	21.93		86	75.44								114	
	FIFTH							Excluded		3	100.00		0	0.00								3	
		TOTAL								28	24.56		86	75.44								114	
													Elected										
																							
Mickleham                                                      																							
	FIRST			29	5.20		21	3.76		183	32.80		306	54.84		7	1.25		12	2.15		558	
	SECOND			0	0.00		4	57.14		1	14.29		1	14.29			Excluded		1	14.29		7	
		TOTAL		29	5.20		25	4.48		184	32.97		307	55.02					13	2.33		558	
	THIRD				Excluded		2	6.90		3	10.34		22	75.86					2	6.90		29	
		TOTAL					27	4.84		187	33.51		329	58.96					15	2.69		558	
	FOURTH						9	60.00		3	20.00		3	20.00						Excluded		15	
		TOTAL					36	6.45		190	34.05		332	59.50								558	
	FIFTH							Excluded		24	66.67		12	33.33								36	
		TOTAL								214	38.35		344	61.65								558	
													Elected										
																							
Mill Park Lakes                                                																							
	FIRST			4	1.08		5	1.36		208	56.37		138	37.40		2	0.54		12	3.25		369	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		4	1.08		5	1.36		208	56.37		138	37.40					14	3.79		369	
	THIRD				Excluded		2	50.00		0	0.00		2	50.00					0	0.00		4	
		TOTAL					7	1.90		208	56.37		140	37.94					14	3.79		369	
	FOURTH						8	57.14		6	42.86		0	0.00						Excluded		14	
		TOTAL					15	4.07		214	57.99		140	37.94								369	
	FIFTH							Excluded		7	46.67		8	53.33								15	
