House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Menzies																				
				WATSON			ANDREWS			GRIFFIN			RYAN			VASILOPOULOS				
							Elected													
																				
Ringwood North (Menzies)                                       																				
	FIRST			70	7.23		613	63.33		11	1.14		78	8.06		196	20.25		968	
	SECOND			4	36.36		5	45.45			Excluded		0	0.00		2	18.18		11	
		TOTAL		74	7.64		618	63.84					78	8.06		198	20.45		968	
	THIRD				Excluded		19	25.68					13	17.57		42	56.76		74	
		TOTAL					637	65.81					91	9.40		240	24.79		968	
	FOURTH						51	56.04						Excluded		40	43.96		91	
		TOTAL					688	71.07								280	28.93		968	
							Elected													
																				
Serpell                                                        																				
	FIRST			130	4.15		1850	59.12		45	1.44		131	4.19		973	31.10		3129	
	SECOND			11	24.44		10	22.22			Excluded		13	28.89		11	24.44		45	
		TOTAL		141	4.51		1860	59.44					144	4.60		984	31.45		3129	
	THIRD				Excluded		32	22.70					64	45.39		45	31.91		141	
		TOTAL					1892	60.47					208	6.65		1029	32.89		3129	
	FOURTH						73	35.10						Excluded		135	64.90		208	
		TOTAL					1965	62.80								1164	37.20		3129	
							Elected													
																				
Templestowe                                                    																				
	FIRST			93	5.29		1025	58.30		13	0.74		112	6.37		515	29.29		1758	
	SECOND			4	30.77		5	38.46			Excluded		3	23.08		1	7.69		13	
		TOTAL		97	5.52		1030	58.59					115	6.54		516	29.35		1758	
	THIRD				Excluded		35	36.08					26	26.80		36	37.11		97	
		TOTAL					1065	60.58					141	8.02		552	31.40		1758	
	FOURTH						55	39.01						Excluded		86	60.99		141	
		TOTAL					1120	63.71								638	36.29		1758	
							Elected													
																				
Templestowe Heights                                            																				
	FIRST			322	6.39		2566	50.95		55	1.09		367	7.29		1726	34.27		5036	
	SECOND			16	29.09		15	27.27			Excluded		14	25.45		10	18.18		55	
		TOTAL		338	6.71		2581	51.25					381	7.57		1736	34.47		5036	
	THIRD				Excluded		75	22.19					197	58.28		66	19.53		338	
		TOTAL					2656	52.74					578	11.48		1802	35.78		5036	
	FOURTH						248	42.91						Excluded		330	57.09		578	
		TOTAL					2904	57.66								2132	42.34		5036	
							Elected													
																				
Templestowe Park                                               																				
	FIRST			80	3.02		1607	60.71		27	1.02		224	8.46		709	26.79		2647	
	SECOND			8	29.63		6	22.22			Excluded		5	18.52		8	29.63		27	
		TOTAL		88	3.32		1613	60.94					229	8.65		717	27.09		2647	
	THIRD				Excluded		17	19.32					54	61.36		17	19.32		88	
		TOTAL					1630	61.58					283	10.69		734	27.73		2647	
	FOURTH						142	50.18						Excluded		141	49.82		283	
		TOTAL					1772	66.94								875	33.06		2647	
							Elected													
																				
Templestowe Valley                                             																				
	FIRST			109	6.70		812	49.91		15	0.92		87	5.35		604	37.12		1627	
	SECOND			7	46.67		5	33.33			Excluded		2	13.33		1	6.67		15	
		TOTAL		116	7.13		817	50.22					89	5.47		605	37.19		1627	
	THIRD				Excluded		27	23.28					54	46.55		35	30.17		116	
		TOTAL					844	51.87					143	8.79		640	39.34		1627	
	FOURTH						50	34.97						Excluded		93	65.03		143	
		TOTAL					894	54.95								733	45.05		1627	
							Elected													
																				
The Pines                                                      																				
	FIRST			57	3.60		942	59.47		20	1.26		78	4.92		487	30.74		1584	
	SECOND			6	30.00		6	30.00			Excluded		3	15.00		5	25.00		20	
		TOTAL		63	3.98		948	59.85					81	5.11		492	31.06		1584	
	THIRD				Excluded		18	28.57					32	50.79		13	20.63		63	
		TOTAL					966	60.98					113	7.13		505	31.88		1584	
	FOURTH						32	28.32						Excluded		81	71.68		113	
		TOTAL					998	63.01								586	36.99		1584	
							Elected													
																				
Tunstall                                                       																				
	FIRST			80	5.71		728	51.93		19	1.36		67	4.78		508	36.23		1402	
	SECOND			4	21.05		6	31.58			Excluded		6	31.58		3	15.79		19	
		TOTAL		84	5.99		734	52.35					73	5.21		511	36.45		1402	
	THIRD				Excluded		20	23.81					46	54.76		18	21.43		84	
		TOTAL					754	53.78					119	8.49		529	37.73		1402	
	FOURTH						39	32.77						Excluded		80	67.23		119	
		TOTAL					793	56.56								609	43.44		1402	
							Elected													
																				
Warrandyte                                                     																				
	FIRST			342	13.14		1332	51.19		28	1.08		210	8.07		690	26.52		2602	
	SECOND			9	32.14		7	25.00			Excluded		7	25.00		5	17.86		28	
		TOTAL		351	13.49		1339	51.46					217	8.34		695	26.71		2602	
	THIRD				Excluded		38	10.83					227	64.67		86	24.50		351	
		TOTAL					1377	52.92					444	17.06		781	30.02		2602	
	FOURTH						139	31.31						Excluded		305	68.69		444	
		TOTAL					1516	58.26								1086	41.74		2602	
							Elected													
																				
Warrandyte South                                               																				
	FIRST			38	9.00		264	62.56		9	2.13		23	5.45		88	20.85		422	
	SECOND			0	0.00		3	33.33			Excluded		1	11.11		5	55.56		9	
		TOTAL		38	9.00		267	63.27					24	5.69		93	22.04		422	
	THIRD				Excluded		10	26.32					20	52.63		8	21.05		38	
		TOTAL					277	65.64					44	10.43		101	23.93		422	
	FOURTH						15	34.09						Excluded		29	65.91		44	
		TOTAL					292	69.19								130	30.81		422	
							Elected													
																				
Warranwood                                                     																				
	FIRST			137	6.20		1240	56.08		25	1.13		197	8.91		612	27.68		2211	
	SECOND			6	24.00		6	24.00			Excluded		6	24.00		7	28.00		25	
		TOTAL		143	6.47		1246	56.35					203	9.18		619	28.00		2211	
	THIRD				Excluded		28	19.58					86	60.14		29	20.28		143	
		TOTAL					1274	57.62					289	13.07		648	29.31		2211	
	FOURTH						134	46.37						Excluded		155	53.63		289	
		TOTAL					1408	63.68								803	36.32		2211	
							Elected													
																				
Wonga Park                                                     																				
	FIRST			121	6.75		1181	65.90		28	1.56		124	6.92		338	18.86		1792	
	SECOND			11	39.29		8	28.57			Excluded		6	21.43		3	10.71		28	
		TOTAL		132	7.37		1189	66.35					130	7.25		341	19.03		1792	
	THIRD				Excluded		31	23.48					66	50.00		35	26.52		132	
		TOTAL					1220	68.08					196	10.94		376	20.98		1792	
	FOURTH						101	51.53						Excluded		95	48.47		196	
		TOTAL					1321	73.72								471	26.28		1792	
							Elected													
																				
Yarraleen                                                      																				
	FIRST			102	5.14		996	50.23		28	1.41		114	5.75		743	37.47		1983	
	SECOND			10	35.71		8	28.57			Excluded		3	10.71		7	25.00		28	
		TOTAL		112	5.65		1004	50.63					117	5.90		750	37.82		1983	
	THIRD				Excluded		31	27.68					53	47.32		28	25.00		112	
		TOTAL					1035	52.19					170	8.57		778	39.23		1983	
	FOURTH						75	44.12						Excluded		95	55.88		170	
		TOTAL					1110	55.98								873	44.02		1983	
							Elected													
																				
Special Hospital Team 1                                        																				
	FIRST			10	3.85		208	80.00		5	1.92		7	2.69		30	11.54		260	
	SECOND			2	40.00		0	0.00			Excluded		2	40.00		1	20.00		5	
		TOTAL		12	4.62		208	80.00					9	3.46		31	11.92		260	
	THIRD				Excluded		6	50.00					5	41.67		1	8.33		12	
		TOTAL					214	82.31					14	5.38		32	12.31		260	
	FOURTH						5	35.71						Excluded		9	64.29		14	
		TOTAL					219	84.23								41	15.77		260	
							Elected													
																				
Special Hospital Team 2                                        																				
	FIRST			12	5.41		143	64.41		5	2.25		1	0.45		61	27.48		222	
	SECOND			2	40.00		1	20.00			Excluded		1	20.00		1	20.00		5	
		TOTAL		14	6.31		144	64.86					2	0.90		62	27.93		222	
	THIRD				Excluded		7	50.00					2	14.29		5	35.71		14	
		TOTAL					151	68.02					4	1.80		67	30.18		222	
	FOURTH						2	50.00						Excluded		2	50.00		4	
		TOTAL					153	68.92								69	31.08		222	
							Elected													
																				
Special Hospital Team 3                                        																				
	FIRST			4	2.37		111	65.68		1	0.59		4	2.37		49	28.99		169	
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		4	2.37		111	65.68					5	2.96		49	28.99		169	
	THIRD				Excluded		1	25.00					0	0.00		3	75.00		4	
		TOTAL					112	66.27					5	2.96		52	30.77		169	
	FOURTH						1	20.00						Excluded		4	80.00		5	
		TOTAL					113	66.86								56	33.14		169	
							Elected													
																				
ABSENT																				
	FIRST			421	8.88		2384	50.31		154	3.25		476	10.04		1304	27.52		4739	
	SECOND			35	22.73		38	24.68			Excluded		28	18.18		53	34.42		154	
		TOTAL		456	9.62		2422	51.11					504	10.64		1357	28.63		4739	
	THIRD				Excluded		111	24.34					229	50.22		116	25.44		456	
		TOTAL					2533	53.45					733	15.47		1473	31.08		4739	
	FOURTH						271	36.97						Excluded		462	63.03		733	
		TOTAL					2804	59.17								1935	40.83		4739	
							Elected													
																				
POSTAL																				
	FIRST			116	3.64		2076	65.10		59	1.85		171	5.36		767	24.05		3189	
	SECOND			12	20.34		14	23.73			Excluded		16	27.12		17	28.81		59	
		TOTAL		128	4.01		2090	65.54					187	5.86		784	24.58		3189	
	THIRD				Excluded		34	26.56					64	50.00		30	23.44		128	
		TOTAL					2124	66.60					251	7.87		814	25.53		3189	
	FOURTH						96	38.25						Excluded		155	61.75		251	
		TOTAL					2220	69.61								969	30.39		3189	
							Elected													
																				
PRE POLL																				
	FIRST			187	5.32		1951	55.46		92	2.62		223	6.34		1065	30.27		3518	
	SECOND			14	15.22		24	26.09			Excluded		25	27.17		29	31.52		92	
		TOTAL		201	5.71		1975	56.14					248	7.05		1094	31.10		3518	
	THIRD				Excluded		46	22.89					109	54.23		46	22.89		201	
		TOTAL					2021	57.45					357	10.15		1140	32.40		3518	
	FOURTH						127	35.57						Excluded		230	64.43		357	
		TOTAL					2148	61.06								1370	38.94		3518	
							Elected													
																				
PROVISIONAL																				
	FIRST			13	4.55		147	51.40		4	1.40		21	7.34		101	35.31		286	
	SECOND			2	50.00		1	25.00			Excluded		0	0.00		1	25.00		4	
		TOTAL		15	5.24		148	51.75					21	7.34		102	35.66		286	
	THIRD				Excluded		8	53.33					6	40.00		1	6.67		15	
		TOTAL					156	54.55					27	9.44		103	36.01		286	
	FOURTH						10	37.04						Excluded		17	62.96		27	
		TOTAL					166	58.04								120	41.96		286	
							Elected													
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
