House of Representatives - 2001 Election: Victoria 																						
Distribution of Preferences																						
By Polling Place																						
Wills																						
				ISHERWOOD			GLANZ			DI NATALE			THOMSON			VALASINAVICIUS			STONE			
													Elected									
																						
Brunswick North West                                           																						
	FIRST			17	1.42		33	2.76		163	13.62		652	54.47		257	21.47		75	6.27		1197
	SECOND			3	9.09			Excluded		21	63.64		7	21.21		0	0.00		2	6.06		33
		TOTAL		20	1.67					184	15.37		659	55.05		257	21.47		77	6.43		1197
	THIRD				Excluded					16	80.00		1	5.00		3	15.00		0	0.00		20
		TOTAL								200	16.71		660	55.14		260	21.72		77	6.43		1197
	FOURTH									34	44.16		28	36.36		15	19.48			Excluded		77
		TOTAL								234	19.55		688	57.48		275	22.97					1197
	FIFTH										Excluded		207	88.46		27	11.54					234
		TOTAL											895	74.77		302	25.23					1197
													Elected									
																						
Coburg                                                         																						
	FIRST			51	2.49		43	2.10		168	8.21		1293	63.17		393	19.20		99	4.84		2047
	SECOND			13	30.23			Excluded		17	39.53		9	20.93		2	4.65		2	4.65		43
		TOTAL		64	3.13					185	9.04		1302	63.61		395	19.30		101	4.93		2047
	THIRD				Excluded					49	76.56		5	7.81		3	4.69		7	10.94		64
		TOTAL								234	11.43		1307	63.85		398	19.44		108	5.28		2047
	FOURTH									50	46.30		39	36.11		19	17.59			Excluded		108
		TOTAL								284	13.87		1346	65.75		417	20.37					2047
	FIFTH										Excluded		236	83.10		48	16.90					284
		TOTAL											1582	77.28		465	22.72					2047
													Elected									
																						
Coburg East                                                    																						
	FIRST			40	2.08		25	1.30		233	12.14		1096	57.08		444	23.13		82	4.27		1920
	SECOND			6	24.00			Excluded		15	60.00		4	16.00		0	0.00		0	0.00		25
		TOTAL		46	2.40					248	12.92		1100	57.29		444	23.13		82	4.27		1920
	THIRD				Excluded					33	71.74		6	13.04		3	6.52		4	8.70		46
		TOTAL								281	14.64		1106	57.60		447	23.28		86	4.48		1920
	FOURTH									41	47.67		34	39.53		11	12.79			Excluded		86
		TOTAL								322	16.77		1140	59.38		458	23.85					1920
	FIFTH										Excluded		281	87.27		41	12.73					322
		TOTAL											1421	74.01		499	25.99					1920
													Elected									
																						
Coburg North                                                   																						
	FIRST			64	2.27		47	1.67		231	8.19		1789	63.44		541	19.18		148	5.25		2820
	SECOND			6	12.77			Excluded		31	65.96		8	17.02		2	4.26		0	0.00		47
		TOTAL		70	2.48					262	9.29		1797	63.72		543	19.26		148	5.25		2820
	THIRD				Excluded					40	57.14		20	28.57		6	8.57		4	5.71		70
		TOTAL								302	10.71		1817	64.43		549	19.47		152	5.39		2820
	FOURTH									75	49.34		51	33.55		26	17.11			Excluded		152
		TOTAL								377	13.37		1868	66.24		575	20.39					2820
	FIFTH										Excluded		327	86.74		50	13.26					377
		TOTAL											2195	77.84		625	22.16					2820
													Elected									
																						
Coburg South                                                   																						
	FIRST			10	1.52		10	1.52		47	7.15		422	64.23		141	21.46		27	4.11		657
	SECOND			1	10.00			Excluded		5	50.00		3	30.00		0	0.00		1	10.00		10
		TOTAL		11	1.67					52	7.91		425	64.69		141	21.46		28	4.26		657
	THIRD				Excluded					7	63.64		4	36.36		0	0.00		0	0.00		11
		TOTAL								59	8.98		429	65.30		141	21.46		28	4.26		657
	FOURTH									10	35.71		5	17.86		13	46.43			Excluded		28
		TOTAL								69	10.50		434	66.06		154	23.44					657
	FIFTH										Excluded		62	89.86		7	10.14					69
		TOTAL											496	75.49		161	24.51					657
													Elected									
																						
Coburg West                                                    																						
	FIRST			71	1.96		41	1.13		389	10.73		2047	56.45		774	21.35		304	8.38		3626
	SECOND			8	19.51			Excluded		28	68.29		2	4.88		0	0.00		3	7.32		41
		TOTAL		79	2.18					417	11.50		2049	56.51		774	21.35		307	8.47		3626
	THIRD				Excluded					49	62.03		13	16.46		8	10.13		9	11.39		79
		TOTAL								466	12.85		2062	56.87		782	21.57		316	8.71		3626
	FOURTH									205	64.87		72	22.78		39	12.34			Excluded		316
		TOTAL								671	18.51		2134	58.85		821	22.64					3626
	FIFTH										Excluded		566	84.35		105	15.65					671
		TOTAL											2700	74.46		926	25.54					3626
													Elected									
																						
Essendon (Wills)                                               																						
	FIRST			4	0.33		11	0.91		90	7.43		529	43.65		508	41.91		70	5.78		1212
	SECOND			2	18.18			Excluded		3	27.27		1	9.09		2	18.18		3	27.27		11
		TOTAL		6	0.50					93	7.67		530	43.73		510	42.08		73	6.02		1212
	THIRD				Excluded					5	83.33		0	0.00		1	16.67		0	0.00		6
		TOTAL								98	8.09		530	43.73		511	42.16		73	6.02		1212
	FOURTH									25	34.25		22	30.14		26	35.62			Excluded		73
		TOTAL								123	10.15		552	45.54		537	44.31					1212
	FIFTH										Excluded		88	71.54		35	28.46					123
		TOTAL											640	52.81		572	47.19					1212
													Elected									
																						
Essendon North                                                 																						
	FIRST			14	1.21		5	0.43		56	4.85		535	46.32		462	40.00		83	7.19		1155
	SECOND			1	20.00			Excluded		3	60.00		0	0.00		0	0.00		1	20.00		5
		TOTAL		15	1.30					59	5.11		535	46.32		462	40.00		84	7.27		1155
	THIRD				Excluded					8	53.33		1	6.67		3	20.00		3	20.00		15
		TOTAL								67	5.80		536	46.41		465	40.26		87	7.53		1155
	FOURTH									42	48.28		21	24.14		24	27.59			Excluded		87
		TOTAL								109	9.44		557	48.23		489	42.34					1155
	FIFTH										Excluded		84	77.06		25	22.94					109
		TOTAL											641	55.50		514	44.50					1155
													Elected									
																						
Essendon South                                                 																						
	FIRST			28	0.97		16	0.56		246	8.56		1274	44.33		1069	37.20		241	8.39		2874
	SECOND			3	18.75			Excluded		7	43.75		3	18.75		1	6.25		2	12.50		16
		TOTAL		31	1.08					253	8.80		1277	44.43		1070	37.23		243	8.46		2874
	THIRD				Excluded					18	58.06		4	12.90		4	12.90		5	16.13		31
		TOTAL								271	9.43		1281	44.57		1074	37.37		248	8.63		2874
	FOURTH									147	59.27		54	21.77		47	18.95			Excluded		248
		TOTAL								418	14.54		1335	46.45		1121	39.00					2874
	FIFTH										Excluded		314	75.12		104	24.88					418
		TOTAL											1649	57.38		1225	42.62					2874
													Elected									
																						
Fawkner East                                                   																						
	FIRST			42	2.17		26	1.34		88	4.55		1376	71.15		340	17.58		62	3.21		1934
	SECOND			7	26.92			Excluded		12	46.15		6	23.08		0	0.00		1	3.85		26
		TOTAL		49	2.53					100	5.17		1382	71.46		340	17.58		63	3.26		1934
	THIRD				Excluded					20	40.82		13	26.53		9	18.37		7	14.29		49
		TOTAL								120	6.20		1395	72.13		349	18.05		70	3.62		1934
	FOURTH									26	37.14		25	35.71		19	27.14			Excluded		70
		TOTAL								146	7.55		1420	73.42		368	19.03					1934
	FIFTH										Excluded		120	82.19		26	17.81					146
		TOTAL											1540	79.63		394	20.37					1934
													Elected									
																						
Fawkner North                                                  																						
	FIRST			56	2.10		27	1.01		143	5.36		1826	68.44		520	19.49		96	3.60		2668
	SECOND			7	25.93			Excluded		12	44.44		6	22.22		1	3.70		1	3.70		27
		TOTAL		63	2.36					155	5.81		1832	68.67		521	19.53		97	3.64		2668
	THIRD				Excluded					40	63.49		7	11.11		6	9.52		10	15.87		63
		TOTAL								195	7.31		1839	68.93		527	19.75		107	4.01		2668
	FOURTH									33	30.84		45	42.06		29	27.10			Excluded		107
		TOTAL								228	8.55		1884	70.61		556	20.84					2668
	FIFTH										Excluded		190	83.33		38	16.67					228
		TOTAL											2074	77.74		594	22.26					2668
													Elected									
																						
Gaffney                                                        																						
	FIRST			5	1.00		16	3.20		15	3.00		273	54.60		166	33.20		25	5.00		500
	SECOND			3	18.75			Excluded		11	68.75		1	6.25		1	6.25		0	0.00		16
		TOTAL		8	1.60					26	5.20		274	54.80		167	33.40		25	5.00		500
	THIRD				Excluded					6	75.00		1	12.50		0	0.00		1	12.50		8
		TOTAL								32	6.40		275	55.00		167	33.40		26	5.20		500
	FOURTH									10	38.46		10	38.46		6	23.08			Excluded		26
		TOTAL								42	8.40		285	57.00		173	34.60					500
	FIFTH										Excluded		33	78.57		9	21.43					42
		TOTAL											318	63.60		182	36.40					500
													Elected									
																						
Glenbervie                                                     																						
	FIRST			6	0.69		4	0.46		60	6.90		403	46.32		347	39.89		50	5.75		870
	SECOND			0	0.00			Excluded		3	75.00		1	25.00		0	0.00		0	0.00		4
		TOTAL		6	0.69					63	7.24		404	46.44		347	39.89		50	5.75		870
	THIRD				Excluded					5	83.33		1	16.67		0	0.00		0	0.00		6
		TOTAL								68	7.82		405	46.55		347	39.89		50	5.75		870
	FOURTH									17	34.00		18	36.00		15	30.00			Excluded		50
		TOTAL								85	9.77		423	48.62		362	41.61					870
	FIFTH										Excluded		69	81.18		16	18.82					85
		TOTAL											492	56.55		378	43.45					870
													Elected									
																						
Glenroy                                                        																						
	FIRST			15	1.02		31	2.12		53	3.62		865	59.04		424	28.94		77	5.26		1465
	SECOND			3	9.68			Excluded		20	64.52		7	22.58		1	3.23		0	0.00		31
		TOTAL		18	1.23					73	4.98		872	59.52		425	29.01		77	5.26		1465
	THIRD				Excluded					9	50.00		6	33.33		2	11.11		1	5.56		18
		TOTAL								82	5.60		878	59.93		427	29.15		78	5.32		1465
	FOURTH									30	38.46		23	29.49		25	32.05			Excluded		78
		TOTAL								112	7.65		901	61.50		452	30.85					1465
	FIFTH										Excluded		97	86.61		15	13.39					112
		TOTAL											998	68.12		467	31.88					1465
													Elected									
																						
Glenroy Central                                                																						
	FIRST			32	1.84		27	1.55		63	3.62		1052	60.43		475	27.28		92	5.28		1741
	SECOND			4	14.81			Excluded		18	66.67		3	11.11		1	3.70		1	3.70		27
		TOTAL		36	2.07					81	4.65		1055	60.60		476	27.34		93	5.34		1741
	THIRD				Excluded					28	77.78		4	11.11		2	5.56		2	5.56		36
		TOTAL								109	6.26		1059	60.83		478	27.46		95	5.46		1741
	FOURTH									31	32.63		36	37.89		28	29.47			Excluded		95
		TOTAL								140	8.04		1095	62.89		506	29.06					1741
	FIFTH										Excluded		117	83.57		23	16.43					140
		TOTAL											1212	69.62		529	30.38					1741
													Elected									
																						
Glenroy East                                                   																						
	FIRST			43	2.08		35	1.69		47	2.27		1306	63.03		507	24.47		134	6.47		2072
	SECOND			6	17.14			Excluded		20	57.14		9	25.71		0	0.00		0	0.00		35
		TOTAL		49	2.36					67	3.23		1315	63.47		507	24.47		134	6.47		2072
	THIRD				Excluded					36	73.47		10	20.41		3	6.12		0	0.00		49
		TOTAL								103	4.97		1325	63.95		510	24.61		134	6.47		2072
	FOURTH									84	62.69		21	15.67		29	21.64			Excluded		134
		TOTAL								187	9.03		1346	64.96		539	26.01					2072
	FIFTH										Excluded		149	79.68		38	20.32					187
		TOTAL											1495	72.15		577	27.85					2072
													Elected									
																						
Glenroy North                                                  																						
	FIRST			31	1.84		22	1.30		55	3.26		1232	72.99		295	17.48		53	3.14		1688
	SECOND			6	27.27			Excluded		9	40.91		6	27.27		0	0.00		1	4.55		22
		TOTAL		37	2.19					64	3.79		1238	73.34		295	17.48		54	3.20		1688
	THIRD				Excluded					29	78.38		5	13.51		2	5.41		1	2.70		37
		TOTAL								93	5.51		1243	73.64		297	17.59		55	3.26		1688
	FOURTH									24	43.64		16	29.09		15	27.27			Excluded		55
		TOTAL								117	6.93		1259	74.59		312	18.48					1688
	FIFTH										Excluded		91	77.78		26	22.22					117
		TOTAL											1350	79.98		338	20.02					1688
													Elected									
																						
Gowrie Park                                                    																						
	FIRST			36	2.53		27	1.90		51	3.58		986	69.24		280	19.66		44	3.09		1424
	SECOND			3	11.11			Excluded		18	66.67		4	14.81		1	3.70		1	3.70		27
		TOTAL		39	2.74					69	4.85		990	69.52		281	19.73		45	3.16		1424
	THIRD				Excluded					29	74.36		2	5.13		5	12.82		3	7.69		39
		TOTAL								98	6.88		992	69.66		286	20.08		48	3.37		1424
	FOURTH									20	41.67		21	43.75		7	14.58			Excluded		48
		TOTAL								118	8.29		1013	71.14		293	20.58					1424
	FIFTH										Excluded		95	80.51		23	19.49					118
		TOTAL											1108	77.81		316	22.19					1424
													Elected									
																						
Hadfield                                                       																						
	FIRST			21	1.74		15	1.24		45	3.73		787	65.20		291	24.11		48	3.98		1207
	SECOND			8	53.33			Excluded		2	13.33		2	13.33		1	6.67		2	13.33		15
		TOTAL		29	2.40					47	3.89		789	65.37		292	24.19		50	4.14		1207
	THIRD				Excluded					13	44.83		10	34.48		4	13.79		2	6.90		29
		TOTAL								60	4.97		799	66.20		296	24.52		52	4.31		1207
	FOURTH									13	25.00		22	42.31		17	32.69			Excluded		52
		TOTAL								73	6.05		821	68.02		313	25.93					1207
	FIFTH										Excluded		54	73.97		19	26.03					73
		TOTAL											875	72.49		332	27.51					1207
													Elected									
																						
Lake Park                                                      																						
	FIRST			2	0.58		3	0.86		13	3.75		256	73.78		63	18.16		10	2.88		347
	SECOND			1	33.33			Excluded		2	66.67		0	0.00		0	0.00		0	0.00		3
		TOTAL		3	0.86					15	4.32		256	73.78		63	18.16		10	2.88		347
	THIRD				Excluded					2	66.67		0	0.00		1	33.33		0	0.00		3
		TOTAL								17	4.90		256	73.78		64	18.44		10	2.88		347
	FOURTH									5	50.00		3	30.00		2	20.00			Excluded		10
		TOTAL								22	6.34		259	74.64		66	19.02					347
	FIFTH										Excluded		19	86.36		3	13.64					22
		TOTAL											278	80.12		69	19.88					347
													Elected									
																						
Melbourne (Wills)                                              																						
	FIRST			5	4.55		2	1.82		16	14.55		49	44.55		23	20.91		15	13.64		110
	SECOND			0	0.00			Excluded		2	100.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		5	4.55					18	16.36		49	44.55		23	20.91		15	13.64		110
	THIRD				Excluded					3	60.00		2	40.00		0	0.00		0	0.00		5
		TOTAL								21	19.09		51	46.36		23	20.91		15	13.64		110
	FOURTH									7	46.67		4	26.67		4	26.67			Excluded		15
		TOTAL								28	25.45		55	50.00		27	24.55					110
	FIFTH										Excluded		22	78.57		6	21.43					28
		TOTAL											77	70.00		33	30.00					110
													Elected									
																						
Melville                                                       																						
	FIRST			7	0.78		18	2.01		96	10.71		519	57.92		208	23.21		48	5.36		896
	SECOND			0	0.00			Excluded		12	66.67		3	16.67		0	0.00		3	16.67		18
		TOTAL		7	0.78					108	12.05		522	58.26		208	23.21		51	5.69		896
	THIRD				Excluded					5	71.43		1	14.29		0	0.00		1	14.29		7
		TOTAL								113	12.61		523	58.37		208	23.21		52	5.80		896
	FOURTH									27	51.92		15	28.85		10	19.23			Excluded		52
		TOTAL								140	15.63		538	60.04		218	24.33					896
	FIFTH										Excluded		111	79.29		29	20.71					140
		TOTAL											649	72.43		247	27.57					896
													Elected									
																						
Merlynston                                                     																						
	FIRST			28	2.73		4	0.39		36	3.51		662	64.59		252	24.59		43	4.20		1025
	SECOND			2	50.00			Excluded		1	25.00		1	25.00		0	0.00		0	0.00		4
		TOTAL		30	2.93					37	3.61		663	64.68		252	24.59		43	4.20		1025
	THIRD				Excluded					23	76.67		4	13.33		2	6.67		1	3.33		30
		TOTAL								60	5.85		667	65.07		254	24.78		44	4.29		1025
	FOURTH									16	36.36		17	38.64		11	25.00			Excluded		44
		TOTAL								76	7.41		684	66.73		265	25.85					1025
	FIFTH										Excluded		63	82.89		13	17.11					76
		TOTAL											747	72.88		278	27.12					1025
													Elected									
																						
Mitchell                                                       																						
	FIRST			22	1.51		31	2.12		185	12.67		877	60.07		263	18.01		82	5.62		1460
	SECOND			9	29.03			Excluded		20	64.52		0	0.00		1	3.23		1	3.23		31
		TOTAL		31	2.12					205	14.04		877	60.07		264	18.08		83	5.68		1460
	THIRD				Excluded					23	74.19		3	9.68		3	9.68		2	6.45		31
		TOTAL								228	15.62		880	60.27		267	18.29		85	5.82		1460
	FOURTH									29	34.12		33	38.82		23	27.06			Excluded		85
		TOTAL								257	17.60		913	62.53		290	19.86					1460
	FIFTH										Excluded		231	89.88		26	10.12					257
		TOTAL											1144	78.36		316	21.64					1460
													Elected									
																						
Moomba Park                                                    																						
	FIRST			50	2.79		29	1.62		58	3.23		1146	63.92		444	24.76		66	3.68		1793
	SECOND			6	20.69			Excluded		15	51.72		8	27.59		0	0.00		0	0.00		29
		TOTAL		56	3.12					73	4.07		1154	64.36		444	24.76		66	3.68		1793
	THIRD				Excluded					34	60.71		9	16.07		6	10.71		7	12.50		56
		TOTAL								107	5.97		1163	64.86		450	25.10		73	4.07		1793
	FOURTH									30	41.10		32	43.84		11	15.07			Excluded		73
		TOTAL								137	7.64		1195	66.65		461	25.71					1793
	FIFTH										Excluded		106	77.37		31	22.63					137
		TOTAL											1301	72.56		492	27.44					1793
													Elected									
																						
Moonee Ponds North                                             																						
	FIRST			30	1.40		11	0.51		182	8.50		1074	50.14		635	29.65		210	9.80		2142
	SECOND			3	27.27			Excluded		7	63.64		0	0.00		0	0.00		1	9.09		11
		TOTAL		33	1.54					189	8.82		1074	50.14		635	29.65		211	9.85		2142
	THIRD				Excluded					26	78.79		3	9.09		0	0.00		4	12.12		33
		TOTAL								215	10.04		1077	50.28		635	29.65		215	10.04		2142
	FOURTH									152	70.70		32	14.88		31	14.42			Excluded		215
		TOTAL								367	17.13		1109	51.77		666	31.09					2142
	FIFTH										Excluded		302	82.29		65	17.71					367
		TOTAL											1411	65.87		731	34.13					2142
													Elected									
																						
Moreland                                                       																						
	FIRST			36	1.72		27	1.29		281	13.41		1229	58.64		428	20.42		95	4.53		2096
	SECOND			4	14.81			Excluded		17	62.96		4	14.81		1	3.70		1	3.70		27
		TOTAL		40	1.91					298	14.22		1233	58.83		429	20.47		96	4.58		2096
	THIRD				Excluded					29	72.50		9	22.50		1	2.50		1	2.50		40
		TOTAL								327	15.60		1242	59.26		430	20.52		97	4.63		2096
	FOURTH									43	44.33		41	42.27		13	13.40			Excluded		97
		TOTAL								370	17.65		1283	61.21		443	21.14					2096
	FIFTH										Excluded		326	88.11		44	11.89					370
		TOTAL											1609	76.77		487	23.23					2096
													Elected									
																						
Pascoe Vale                                                    																						
	FIRST			46	1.21		37	0.98		121	3.19		2174	57.30		1098	28.94		318	8.38		3794
	SECOND			3	8.11			Excluded		20	54.05		10	27.03		2	5.41		2	5.41		37
		TOTAL		49	1.29					141	3.72		2184	57.56		1100	28.99		320	8.43		3794
	THIRD				Excluded					37	75.51		4	8.16		4	8.16		4	8.16		49
		TOTAL								178	4.69		2188	57.67		1104	29.10		324	8.54		3794
	FOURTH									207	63.89		74	22.84		43	13.27			Excluded		324
		TOTAL								385	10.15		2262	59.62		1147	30.23					3794
	FIFTH										Excluded		290	75.32		95	24.68					385
		TOTAL											2552	67.26		1242	32.74					3794
													Elected									
																						
Pascoe Vale Central                                            																						
	FIRST			9	1.09		8	0.97		39	4.74		478	58.15		240	29.20		48	5.84		822
	SECOND			0	0.00			Excluded		3	37.50		3	37.50		2	25.00		0	0.00		8
		TOTAL		9	1.09					42	5.11		481	58.52		242	29.44		48	5.84		822
	THIRD				Excluded					6	66.67		0	0.00		1	11.11		2	22.22		9
		TOTAL								48	5.84		481	58.52		243	29.56		50	6.08		822
	FOURTH									21	42.00		19	38.00		10	20.00			Excluded		50
		TOTAL								69	8.39		500	60.83		253	30.78					822
	FIFTH										Excluded		60	86.96		9	13.04					69
		TOTAL											560	68.13		262	31.87					822
													Elected									
																						
Pascoe Vale North                                              																						
	FIRST			42	1.85		31	1.37		118	5.20		1379	60.78		574	25.30		125	5.51		2269
	SECOND			10	32.26			Excluded		15	48.39		2	6.45		1	3.23		3	9.68		31
		TOTAL		52	2.29					133	5.86		1381	60.86		575	25.34		128	5.64		2269
	THIRD				Excluded					33	63.46		8	15.38		6	11.54		5	9.62		52
		TOTAL								166	7.32		1389	61.22		581	25.61		133	5.86		2269
	FOURTH									72	54.14		37	27.82		24	18.05			Excluded		133
		TOTAL								238	10.49		1426	62.85		605	26.66					2269
	FIFTH										Excluded		197	82.77		41	17.23					238
		TOTAL											1623	71.53		646	28.47					2269
													Elected									
																						
Pascoe Vale South                                              																						
	FIRST			32	1.06		23	0.77		219	7.29		1609	53.53		890	29.61		233	7.75		3006
	SECOND			4	17.39			Excluded		10	43.48		7	30.43		0	0.00		2	8.70		23
		TOTAL		36	1.20					229	7.62		1616	53.76		890	29.61		235	7.82		3006
	THIRD				Excluded					24	66.67		0	0.00		9	25.00		3	8.33		36
		TOTAL								253	8.42		1616	53.76		899	29.91		238	7.92		3006
	FOURTH									123	51.68		55	23.11		60	25.21			Excluded		238
		TOTAL								376	12.51		1671	55.59		959	31.90					3006
	FIFTH										Excluded		312	82.98		64	17.02					376
		TOTAL											1983	65.97		1023	34.03					3006
													Elected									
																						
Pascoe Vale West                                               																						
	FIRST			24	1.61		17	1.14		55	3.69		843	56.54		497	33.33		55	3.69		1491
	SECOND			8	47.06			Excluded		6	35.29		1	5.88		1	5.88		1	5.88		17
		TOTAL		32	2.15					61	4.09		844	56.61		498	33.40		56	3.76		1491
	THIRD				Excluded					22	68.75		4	12.50		6	18.75		0	0.00		32
		TOTAL								83	5.57		848	56.87		504	33.80		56	3.76		1491
	FOURTH									19	33.93		24	42.86		13	23.21			Excluded		56
		TOTAL								102	6.84		872	58.48		517	34.67					1491
	FIFTH										Excluded		75	73.53		27	26.47					102
		TOTAL											947	63.51		544	36.49					1491
													Elected									
																						
Strathmore                                                     																						
	FIRST			21	0.78		13	0.48		129	4.79		1048	38.94		1259	46.79		221	8.21		2691
	SECOND			7	53.85			Excluded		1	7.69		2	15.38		3	23.08		0	0.00		13
		TOTAL		28	1.04					130	4.83		1050	39.02		1262	46.90		221	8.21		2691
	THIRD				Excluded					17	60.71		3	10.71		7	25.00		1	3.57		28
		TOTAL								147	5.46		1053	39.13		1269	47.16		222	8.25		2691
	FOURTH									153	68.92		36	16.22		33	14.86			Excluded		222
		TOTAL								300	11.15		1089	40.47		1302	48.38					2691
	FIFTH										Excluded		225	75.00		75	25.00					300
		TOTAL											1314	48.83		1377	51.17					2691
													Elected									
																						
Strathmore North                                               																						
	FIRST			19	0.94		10	0.49		76	3.74		1012	49.85		816	40.20		97	4.78		2030
	SECOND			2	20.00			Excluded		4	40.00		2	20.00		1	10.00		1	10.00		10
		TOTAL		21	1.03					80	3.94		1014	49.95		817	40.25		98	4.83		2030
	THIRD				Excluded					16	76.19		2	9.52		1	4.76		2	9.52		21
		TOTAL								96	4.73		1016	50.05		818	40.30		100	4.93		2030
	FOURTH									40	40.00		33	33.00		27	27.00			Excluded		100
		TOTAL								136	6.70		1049	51.67		845	41.63					2030
	FIFTH										Excluded		106	77.94		30	22.06					136
		TOTAL											1155	56.90		875	43.10					2030
													Elected									
																						
Strathmore South                                               																						
	FIRST			5	0.62		1	0.12		44	5.42		306	37.68		393	48.40		63	7.76		812
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		5	0.62					45	5.54		306	37.68		393	48.40		63	7.76		812
	THIRD				Excluded					3	60.00		0	0.00		1	20.00		1	20.00		5
		TOTAL								48	5.91		306	37.68		394	48.52		64	7.88		812
	FOURTH									27	42.19		20	31.25		17	26.56			Excluded		64
		TOTAL								75	9.24		326	40.15		411	50.62					812
	FIFTH										Excluded		59	78.67		16	21.33					75
		TOTAL											385	47.41		427	52.59					812
													Elected									
																						
Special Hospital Team 1                                        																						
	FIRST			1	7.14		1	7.14		0	0.00		6	42.86		6	42.86		0	0.00		14
	SECOND			0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		1	7.14					1	7.14		6	42.86		6	42.86		0	0.00		14
	THIRD				Excluded					1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL								2	14.29		6	42.86		6	42.86		0	0.00		14
	FOURTH									0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL								2	14.29		6	42.86		6	42.86					14
	FIFTH										Excluded		1	50.00		1	50.00					2
		TOTAL											7	50.00		7	50.00					14
													Elected									
																						
ABSENT																						
	FIRST			174	3.24		98	1.82		671	12.49		2396	44.61		1449	26.98		583	10.85		5371
	SECOND			34	34.69			Excluded		39	39.80		13	13.27		5	5.10		7	7.14		98
		TOTAL		208	3.87					710	13.22		2409	44.85		1454	27.07		590	10.98		5371
	THIRD				Excluded					111	53.37		72	34.62		14	6.73		11	5.29		208
		TOTAL								821	15.29		2481	46.19		1468	27.33		601	11.19		5371
	FOURTH									278	46.26		205	34.11		118	19.63			Excluded		601
		TOTAL								1099	20.46		2686	50.01		1586	29.53					5371
	FIFTH										Excluded		880	80.07		219	19.93					1099
		TOTAL											3566	66.39		1805	33.61					5371
													Elected									
																						
POSTAL																						
	FIRST			33	1.20		20	0.73		103	3.75		1447	52.73		974	35.50		167	6.09		2744
	SECOND			9	45.00			Excluded		6	30.00		3	15.00		1	5.00		1	5.00		20
		TOTAL		42	1.53					109	3.97		1450	52.84		975	35.53		168	6.12		2744
	THIRD				Excluded					26	61.90		4	9.52		7	16.67		5	11.90		42
		TOTAL								135	4.92		1454	52.99		982	35.79		173	6.30		2744
	FOURTH									78	45.09		55	31.79		40	23.12			Excluded		173
		TOTAL								213	7.76		1509	54.99		1022	37.24					2744
	FIFTH										Excluded		156	73.24		57	26.76					213
		TOTAL											1665	60.68		1079	39.32					2744
													Elected									
																						
PRE POLL																						
	FIRST			73	2.09		32	0.92		259	7.41		1775	50.76		1119	32.00		239	6.83		3497
	SECOND			15	46.88			Excluded		10	31.25		3	9.38		0	0.00		4	12.50		32
		TOTAL		88	2.52					269	7.69		1778	50.84		1119	32.00		243	6.95		3497
