House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Goldstein																				
				KEMP			POWNING			NEWELL			STEGLEY			PUSZKA				
	FIRST			564	45.74		456	36.98		84	6.81		63	5.11		66	5.35		1233	
	SECOND			7	11.11		5	7.94		37	58.73			Excluded		14	22.22		63	
		TOTAL		571	46.31		461	37.39		121	9.81					80	6.49		1233	
	THIRD			15	18.75		25	31.25		40	50.00						Excluded		80	
		TOTAL		586	47.53		486	39.42		161	13.06								1233	
	FOURTH			42	26.09		119	73.91			Excluded								161	
		TOTAL		628	50.93		605	49.07											1233	
				Elected																
																				
Bentleigh West                                                 																				
	FIRST			842	43.36		696	35.84		169	8.70		121	6.23		114	5.87		1942	
	SECOND			9	7.44		16	13.22		70	57.85			Excluded		26	21.49		121	
		TOTAL		851	43.82		712	36.66		239	12.31					140	7.21		1942	
	THIRD			13	9.29		42	30.00		85	60.71						Excluded		140	
		TOTAL		864	44.49		754	38.83		324	16.68								1942	
	FOURTH			132	40.74		192	59.26			Excluded								324	
		TOTAL		996	51.29		946	48.71											1942	
				Elected																
																				
Black Rock                                                     																				
	FIRST			957	56.00		420	24.58		115	6.73		84	4.92		133	7.78		1709	
	SECOND			10	11.90		10	11.90		54	64.29			Excluded		10	11.90		84	
		TOTAL		967	56.58		430	25.16		169	9.89					143	8.37		1709	
	THIRD			15	10.49		31	21.68		97	67.83						Excluded		143	
		TOTAL		982	57.46		461	26.97		266	15.56								1709	
	FOURTH			79	29.70		187	70.30			Excluded								266	
		TOTAL		1061	62.08		648	37.92											1709	
				Elected																
																				
Black Rock South                                               																				
	FIRST			1045	62.88		341	20.52		98	5.90		97	5.84		81	4.87		1662	
	SECOND			9	9.28		17	17.53		52	53.61			Excluded		19	19.59		97	
		TOTAL		1054	63.42		358	21.54		150	9.03					100	6.02		1662	
	THIRD			13	13.00		27	27.00		60	60.00						Excluded		100	
		TOTAL		1067	64.20		385	23.16		210	12.64								1662	
	FOURTH			87	41.43		123	58.57			Excluded								210	
		TOTAL		1154	69.43		508	30.57											1662	
				Elected																
																				
Brighton                                                       																				
	FIRST			2312	61.08		719	19.00		246	6.50		259	6.84		249	6.58		3785	
	SECOND			44	16.99		25	9.65		139	53.67			Excluded		51	19.69		259	
		TOTAL		2356	62.25		744	19.66		385	10.17					300	7.93		3785	
	THIRD			36	12.00		63	21.00		201	67.00						Excluded		300	
		TOTAL		2392	63.20		807	21.32		586	15.48								3785	
	FOURTH			197	33.62		389	66.38			Excluded								586	
		TOTAL		2589	68.40		1196	31.60											3785	
				Elected																
																				
Brighton Beach                                                 																				
	FIRST			1318	68.04		258	13.32		89	4.59		154	7.95		118	6.09		1937	
	SECOND			25	16.23		20	12.99		81	52.60			Excluded		28	18.18		154	
		TOTAL		1343	69.33		278	14.35		170	8.78					146	7.54		1937	
	THIRD			19	13.01		22	15.07		105	71.92						Excluded		146	
		TOTAL		1362	70.31		300	15.49		275	14.20								1937	
	FOURTH			103	37.45		172	62.55			Excluded								275	
		TOTAL		1465	75.63		472	24.37											1937	
				Elected																
																				
Brighton East                                                  																				
	FIRST			1071	55.15		508	26.16		142	7.31		103	5.30		118	6.08		1942	
	SECOND			15	14.56		10	9.71		56	54.37			Excluded		22	21.36		103	
		TOTAL		1086	55.92		518	26.67		198	10.20					140	7.21		1942	
	THIRD			10	7.14		25	17.86		105	75.00						Excluded		140	
		TOTAL		1096	56.44		543	27.96		303	15.60								1942	
	FOURTH			97	32.01		206	67.99			Excluded								303	
		TOTAL		1193	61.43		749	38.57											1942	
				Elected																
																				
Brighton High                                                  																				
	FIRST			591	55.81		241	22.76		79	7.46		97	9.16		51	4.82		1059	
	SECOND			12	12.37		22	22.68		43	44.33			Excluded		20	20.62		97	
		TOTAL		603	56.94		263	24.83		122	11.52					71	6.70		1059	
	THIRD			12	16.90		19	26.76		40	56.34						Excluded		71	
		TOTAL		615	58.07		282	26.63		162	15.30								1059	
	FOURTH			71	43.83		91	56.17			Excluded								162	
		TOTAL		686	64.78		373	35.22											1059	
				Elected																
																				
Carnegie                                                       																				
	FIRST			502	37.02		533	39.31		117	8.63		75	5.53		129	9.51		1356	
	SECOND			9	12.00		7	9.33		38	50.67			Excluded		21	28.00		75	
		TOTAL		511	37.68		540	39.82		155	11.43					150	11.06		1356	
	THIRD			9	6.00		33	22.00		108	72.00						Excluded		150	
		TOTAL		520	38.35		573	42.26		263	19.40								1356	
	FOURTH			62	23.57		201	76.43			Excluded								263	
		TOTAL		582	42.92		774	57.08											1356	
				Elected																
																				
Cheltenham (Goldstein)                                         																				
	FIRST			577	50.79		347	30.55		79	6.95		70	6.16		63	5.55		1136	
	SECOND			8	11.43		11	15.71		41	58.57			Excluded		10	14.29		70	
		TOTAL		585	51.50		358	31.51		120	10.56					73	6.43		1136	
	THIRD			11	15.07		18	24.66		44	60.27						Excluded		73	
		TOTAL		596	52.46		376	33.10		164	14.44								1136	
	FOURTH			41	25.00		123	75.00			Excluded								164	
		TOTAL		637	56.07		499	43.93											1136	
				Elected																
																				
Cheltenham West                                                																				
	FIRST			337	40.90		288	34.95		71	8.62		71	8.62		57	6.92		824	
	SECOND			2	2.82		8	11.27		46	64.79			Excluded		15	21.13		71	
		TOTAL		339	41.14		296	35.92		117	14.20					72	8.74		824	
	THIRD			8	11.11		20	27.78		44	61.11						Excluded		72	
		TOTAL		347	42.11		316	38.35		161	19.54								824	
	FOURTH			58	36.02		103	63.98			Excluded								161	
		TOTAL		405	49.15		419	50.85											824	
				Elected																
																				
Dendy                                                          																				
	FIRST			1576	62.94		483	19.29		175	6.99		149	5.95		121	4.83		2504	
	SECOND			25	16.78		24	16.11		70	46.98			Excluded		30	20.13		149	
		TOTAL		1601	63.94		507	20.25		245	9.78					151	6.03		2504	
	THIRD			31	20.53		22	14.57		98	64.90						Excluded		151	
		TOTAL		1632	65.18		529	21.13		343	13.70								2504	
	FOURTH			134	39.07		209	60.93			Excluded								343	
		TOTAL		1766	70.53		738	29.47											2504	
				Elected																
																				
Elsternwick South                                              																				
	FIRST			482	46.26		280	26.87		72	6.91		95	9.12		113	10.84		1042	
	SECOND			17	17.89		15	15.79		44	46.32			Excluded		19	20.00		95	
		TOTAL		499	47.89		295	28.31		116	11.13					132	12.67		1042	
	THIRD			14	10.61		32	24.24		86	65.15						Excluded		132	
		TOTAL		513	49.23		327	31.38		202	19.39								1042	
	FOURTH			64	31.68		138	68.32			Excluded								202	
		TOTAL		577	55.37		465	44.63											1042	
				Elected																
																				
Gardenvale                                                     																				
	FIRST			1546	60.49		417	16.31		170	6.65		221	8.65		202	7.90		2556	
	SECOND			31	14.03		25	11.31		112	50.68			Excluded		53	23.98		221	
		TOTAL		1577	61.70		442	17.29		282	11.03					255	9.98		2556	
	THIRD			34	13.33		43	16.86		178	69.80						Excluded		255	
		TOTAL		1611	63.03		485	18.97		460	18.00								2556	
	FOURTH			156	33.91		304	66.09			Excluded								460	
		TOTAL		1767	69.13		789	30.87											2556	
				Elected																
																				
Glenhuntly                                                     																				
	FIRST			1541	53.10		872	30.05		196	6.75		119	4.10		174	6.00		2902	
	SECOND			11	9.24		7	5.88		72	60.50			Excluded		29	24.37		119	
		TOTAL		1552	53.48		879	30.29		268	9.24					203	7.00		2902	
	THIRD			28	13.79		44	21.67		131	64.53						Excluded		203	
		TOTAL		1580	54.45		923	31.81		399	13.75								2902	
	FOURTH			137	34.34		262	65.66			Excluded								399	
		TOTAL		1717	59.17		1185	40.83											2902	
				Elected																
																				
Glenhuntly East                                                																				
	FIRST			920	40.23		900	39.35		182	7.96		117	5.12		168	7.35		2287	
	SECOND			10	8.55		19	16.24		73	62.39			Excluded		15	12.82		117	
		TOTAL		930	40.66		919	40.18		255	11.15					183	8.00		2287	
	THIRD			11	6.01		35	19.13		137	74.86						Excluded		183	
		TOTAL		941	41.15		954	41.71		392	17.14								2287	
	FOURTH			100	25.51		292	74.49			Excluded								392	
		TOTAL		1041	45.52		1246	54.48											2287	
				Elected																
																				
Hampton                                                        																				
	FIRST			1415	53.90		632	24.08		203	7.73		173	6.59		202	7.70		2625	
	SECOND			19	10.98		18	10.40		89	51.45			Excluded		47	27.17		173	
		TOTAL		1434	54.63		650	24.76		292	11.12					249	9.49		2625	
	THIRD			25	10.04		66	26.51		158	63.45						Excluded		249	
		TOTAL		1459	55.58		716	27.28		450	17.14								2625	
	FOURTH			142	31.56		308	68.44			Excluded								450	
		TOTAL		1601	60.99		1024	39.01											2625	
				Elected																
																				
Hampton Central                                                																				
	FIRST			722	47.88		427	28.32		111	7.36		117	7.76		131	8.69		1508	
	SECOND			13	11.11		20	17.09		56	47.86			Excluded		28	23.93		117	
		TOTAL		735	48.74		447	29.64		167	11.07					159	10.54		1508	
	THIRD			12	7.55		31	19.50		116	72.96						Excluded		159	
		TOTAL		747	49.54		478	31.70		283	18.77								1508	
	FOURTH			76	26.86		207	73.14			Excluded								283	
		TOTAL		823	54.58		685	45.42											1508	
				Elected																
																				
Hemming                                                        																				
	FIRST			200	42.74		188	40.17		21	4.49		37	7.91		22	4.70		468	
	SECOND			1	2.70		2	5.41		26	70.27			Excluded		8	21.62		37	
		TOTAL		201	42.95		190	40.60		47	10.04					30	6.41		468	
	THIRD			4	13.33		11	36.67		15	50.00						Excluded		30	
		TOTAL		205	43.80		201	42.95		62	13.25								468	
	FOURTH			17	27.42		45	72.58			Excluded								62	
		TOTAL		222	47.44		246	52.56											468	
				Elected																
																				
Highett                                                        																				
	FIRST			936	39.69		976	41.39		198	8.40		124	5.26		124	5.26		2358	
	SECOND			14	11.29		16	12.90		65	52.42			Excluded		29	23.39		124	
		TOTAL		950	40.29		992	42.07		263	11.15					153	6.49		2358	
	THIRD			19	12.42		24	15.69		110	71.90						Excluded		153	
		TOTAL		969	41.09		1016	43.09		373	15.82								2358	
	FOURTH			130	34.85		243	65.15			Excluded								373	
		TOTAL		1099	46.61		1259	53.39											2358	
				Elected																
																				
Highett West                                                   																				
	FIRST			882	46.27		612	32.11		172	9.02		134	7.03		106	5.56		1906	
	SECOND			9	6.72		21	15.67		83	61.94			Excluded		21	15.67		134	
		TOTAL		891	46.75		633	33.21		255	13.38					127	6.66		1906	
	THIRD			9	7.09		34	26.77		84	66.14						Excluded		127	
		TOTAL		900	47.22		667	34.99		339	17.79								1906	
	FOURTH			111	32.74		228	67.26			Excluded								339	
		TOTAL		1011	53.04		895	46.96											1906	
				Elected																
																				
Holloway                                                       																				
	FIRST			571	54.33		261	24.83		84	7.99		70	6.66		65	6.18		1051	
	SECOND			11	15.71		6	8.57		30	42.86			Excluded		23	32.86		70	
		TOTAL		582	55.38		267	25.40		114	10.85					88	8.37		1051	
	THIRD			6	6.82		21	23.86		61	69.32						Excluded		88	
		TOTAL		588	55.95		288	27.40		175	16.65								1051	
	FOURTH			71	40.57		104	59.43			Excluded								175	
		TOTAL		659	62.70		392	37.30											1051	
				Elected																
																				
Landcox                                                        																				
	FIRST			684	50.33		367	27.01		120	8.83		95	6.99		93	6.84		1359	
	SECOND			15	15.79		17	17.89		46	48.42			Excluded		17	17.89		95	
		TOTAL		699	51.43		384	28.26		166	12.21					110	8.09		1359	
	THIRD			10	9.09		30	27.27		70	63.64						Excluded		110	
		TOTAL		709	52.17		414	30.46		236	17.37								1359	
	FOURTH			73	30.93		163	69.07			Excluded								236	
		TOTAL		782	57.54		577	42.46											1359	
				Elected																
																				
Ludstone                                                       																				
	FIRST			1018	47.04		673	31.10		203	9.38		143	6.61		127	5.87		2164	
	SECOND			24	16.78		16	11.19		74	51.75			Excluded		29	20.28		143	
		TOTAL		1042	48.15		689	31.84		277	12.80					156	7.21		2164	
	THIRD			14	8.97		42	26.92		100	64.10						Excluded		156	
		TOTAL		1056	48.80		731	33.78		377	17.42								2164	
	FOURTH			122	32.36		255	67.64			Excluded								377	
		TOTAL		1178	54.44		986	45.56											2164	
				Elected																
																				
McKinnon                                                       																				
	FIRST			1268	45.88		960	34.73		174	6.30		179	6.48		183	6.62		2764	
	SECOND			27	15.08		22	12.29		91	50.84			Excluded		39	21.79		179	
		TOTAL		1295	46.85		982	35.53		265	9.59					222	8.03		2764	
	THIRD			17	7.66		50	22.52		155	69.82						Excluded		222	
		TOTAL		1312	47.47		1032	37.34		420	15.20								2764	
	FOURTH			131	31.19		289	68.81			Excluded								420	
		TOTAL		1443	52.21		1321	47.79											2764	
				Elected																
																				
McKinnon East                                                  																				
	FIRST			708	41.72		644	37.95		140	8.25		73	4.30		132	7.78		1697	
	SECOND			8	10.96		15	20.55		35	47.95			Excluded		15	20.55		73	
		TOTAL		716	42.19		659	38.83		175	10.31					147	8.66		1697	
	THIRD			10	6.80		29	19.73		108	73.47						Excluded		147	
		TOTAL		726	42.78		688	40.54		283	16.68								1697	
	FOURTH			84	29.68		199	70.32			Excluded								283	
		TOTAL		810	47.73		887	52.27											1697	
				Elected																
																				
Melbourne (Goldstein)                                          																				
	FIRST			50	53.76		22	23.66		8	8.60		4	4.30		9	9.68		93	
	SECOND			1	25.00		0	0.00		1	25.00			Excluded		2	50.00		4	
		TOTAL		51	54.84		22	23.66		9	9.68					11	11.83		93	
	THIRD			2	18.18		2	18.18		7	63.64						Excluded		11	
		TOTAL		53	56.99		24	25.81		16	17.20								93	
	FOURTH			4	25.00		12	75.00			Excluded								16	
		TOTAL		57	61.29		36	38.71											93	
				Elected																
																				
Middle Brighton                                                																				
	FIRST			1750	66.19		402	15.20		161	6.09		182	6.88		149	5.64		2644	
	SECOND			37	20.33		19	10.44		95	52.20			Excluded		31	17.03		182	
		TOTAL		1787	67.59		421	15.92		256	9.68					180	6.81		2644	
	THIRD			13	7.22		49	27.22		118	65.56						Excluded		180	
		TOTAL		1800	68.08		470	17.78		374	14.15								2644	
	FOURTH			144	38.50		230	61.50			Excluded								374	
		TOTAL		1944	73.52		700	26.48											2644	
				Elected																
																				
Moorabbin West                                                 																				
	FIRST			641	39.45		684	42.09		137	8.43		98	6.03		65	4.00		1625	
	SECOND			9	9.18		5	5.10		67	68.37			Excluded		17	17.35		98	
		TOTAL		650	40.00		689	42.40		204	12.55					82	5.05		1625	
	THIRD			7	8.54		24	29.27		51	62.20						Excluded		82	
		TOTAL		657	40.43		713	43.88		255	15.69								1625	
	FOURTH			91	35.69		164	64.31			Excluded								255	
		TOTAL		748	46.03		877	53.97											1625	
				Elected																
																				
Ormond                                                         																				
	FIRST			576	41.38		541	38.86		122	8.76		67	4.81		86	6.18		1392	
	SECOND			9	13.43		10	14.93		37	55.22			Excluded		11	16.42		67	
		TOTAL		585	42.03		551	39.58		159	11.42					97	6.97		1392	
	THIRD			7	7.22		16	16.49		74	76.29						Excluded		97	
		TOTAL		592	42.53		567	40.73		233	16.74								1392	
	FOURTH			61	26.18		172	73.82			Excluded								233	
		TOTAL		653	46.91		739	53.09											1392	
				Elected																
																				
Ormond West                                                    																				
	FIRST			800	45.07		614	34.59		158	8.90		114	6.42		89	5.01		1775	
	SECOND			12	10.53		16	14.04		57	50.00			Excluded		29	25.44		114	
		TOTAL		812	45.75		630	35.49		215	12.11					118	6.65		1775	
	THIRD			10	8.47		30	25.42		78	66.10						Excluded		118	
		TOTAL		822	46.31		660	37.18		293	16.51								1775	
	FOURTH			102	34.81		191	65.19			Excluded								293	
		TOTAL		924	52.06		851	47.94											1775	
				Elected																
																				
Sandringham                                                    																				
	FIRST			946	51.84		462	25.32		153	8.38		124	6.79		140	7.67		1825	
	SECOND			13	10.48		18	14.52		67	54.03			Excluded		26	20.97		124	
		TOTAL		959	52.55		480	26.30		220	12.05					166	9.10		1825	
	THIRD			14	8.43		33	19.88		119	71.69						Excluded		166	
		TOTAL		973	53.32		513	28.11		339	18.58								1825	
	FOURTH			109	32.15		230	67.85			Excluded								339	
		TOTAL		1082	59.29		743	40.71											1825	
				Elected																
																				
Sandringham North                                              																				
	FIRST			815	48.92		456	27.37		133	7.98		115	6.90		147	8.82		1666	
	SECOND			8	6.96		15	13.04		67	58.26			Excluded		25	21.74		115	
		TOTAL		823	49.40		471	28.27		200	12.00					172	10.32		1666	
	THIRD			13	7.56		37	21.51		122	70.93						Excluded		172	
		TOTAL		836	50.18		508	30.49		322	19.33								1666	
	FOURTH			86	26.71		236	73.29			Excluded								322	
		TOTAL		922	55.34		744	44.66											1666	
				Elected																
																				
Special Hospital Team 1                                        																				
	FIRST			69	62.16		31	27.93		6	5.41		2	1.80		3	2.70		111	
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		69	62.16		31	27.93		7	6.31					4	3.60		111	
	THIRD			0	0.00		1	25.00		3	75.00						Excluded		4	
		TOTAL		69	62.16		32	28.83		10	9.01								111	
	FOURTH			2	20.00		8	80.00			Excluded								10	
		TOTAL		71	63.96		40	36.04											111	
				Elected																
																				
Special Hospital Team 2                                        																				
	FIRST			128	66.67		50	26.04		6	3.13		3	1.56		5	2.60		192	
	SECOND			1	33.33		1	33.33		0	0.00			Excluded		1	33.33		3	
		TOTAL		129	67.19		51	26.56		6	3.13					6	3.13		192	
	THIRD			0	0.00		0	0.00		6	100.00						Excluded		6	
		TOTAL		129	67.19		51	26.56		12	6.25								192	
	FOURTH			1	8.33		11	91.67			Excluded								12	
		TOTAL		130	67.71		62	32.29											192	
				Elected																
																				
ABSENT																				
	FIRST			2483	48.21		1404	27.26		545	10.58		181	3.51		537	10.43		5150	
	SECOND			34	18.78		33	18.23		53	29.28			Excluded		61	33.70		181	
		TOTAL		2517	48.87		1437	27.90		598	11.61					598	11.61		5150	
	THIRD			99	16.56		136	22.74		363	60.70						Excluded		598	
		TOTAL		2616	50.80		1573	30.54		961	18.66								5150	
	FOURTH			304	31.63		657	68.37			Excluded								961	
		TOTAL		2920	56.70		2230	43.30											5150	
				Elected																
																				
POSTAL																				
	FIRST			2658	65.45		909	22.38		238	5.86		130	3.20		126	3.10		4061	
	SECOND			28	21.54		26	20.00		33	25.38			Excluded		43	33.08		130	
		TOTAL		2686	66.14		935	23.02		271	6.67					169	4.16		4061	
	THIRD			21	12.43		44	26.04		104	61.54						Excluded		169	
		TOTAL		2707	66.66		979	24.11		375	9.23								4061	
	FOURTH			113	30.13		262	69.87			Excluded								375	
		TOTAL		2820	69.44		1241	30.56											4061	
				Elected																
																				
PRE POLL																				
	FIRST			2182	55.59		1038	26.45		278	7.08		197	5.02		230	5.86		3925	
	SECOND			32	16.24		33	16.75		79	40.10			Excluded		53	26.90		197	
		TOTAL		2214	56.41		1071	27.29		357	9.10					283	7.21		3925	
	THIRD			47	16.61		49	17.31		187	66.08						Excluded		283	
		TOTAL		2261	57.61		1120	28.54		544	13.86								3925	
	FOURTH			156	28.68		388	71.32			Excluded								544	
		TOTAL		2417	61.58		1508	38.42											3925	
				Elected																
																				
PROVISIONAL																				
	FIRST			175	51.78		93	27.51		34	10.06		15	4.44		21	6.21		338	
	SECOND			4	26.67		1	6.67		7	46.67			Excluded		3	20.00		15	
		TOTAL		179	52.96		94	27.81		41	12.13					24	7.10		338	
	THIRD			1	4.17		5	20.83		18	75.00						Excluded		24	
		TOTAL		180	53.25		99	29.29		59	17.46								338	
	FOURTH			18	30.51		41	69.49			Excluded								59	
		TOTAL		198	58.58		140	41.42											338	
				Elected																
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
