House of Representatives - 2001 Election: Victoria																	
Distribution of Preferences																	
By Polling Place																	
Lalor																	
				HOWE			MCCONNELL			BRIFFA			GILLARD				
	THIRD				Excluded		3	23.08					10	76.92		13	
		TOTAL					33	40.74					48	59.26		81	
													Elected				
																	
Mossfiel                                                       																	
	FIRST			329	7.82		1333	31.67		164	3.90		2383	56.62		4209	
	SECOND			43	26.22		25	15.24			Excluded		96	58.54		164	
		TOTAL		372	8.84		1358	32.26					2479	58.90		4209	
	THIRD				Excluded		137	36.83					235	63.17		372	
		TOTAL					1495	35.52					2714	64.48		4209	
													Elected				
																	
Point Cook                                                     																	
	FIRST			7	7.45		40	42.55		8	8.51		39	41.49		94	
	SECOND			3	37.50		5	62.50			Excluded		0	0.00		8	
		TOTAL		10	10.64		45	47.87					39	41.49		94	
	THIRD				Excluded		4	40.00					6	60.00		10	
		TOTAL					49	52.13					45	47.87		94	
													Elected				
																	
Seabrook                                                       																	
	FIRST			252	7.24		1118	32.11		99	2.84		2013	57.81		3482	
	SECOND			50	50.51		16	16.16			Excluded		33	33.33		99	
		TOTAL		302	8.67		1134	32.57					2046	58.76		3482	
	THIRD				Excluded		132	43.71					170	56.29		302	
		TOTAL					1266	36.36					2216	63.64		3482	
													Elected				
																	
Seaholme                                                       																	
	FIRST			192	7.66		830	33.12		185	7.38		1299	51.84		2506	
	SECOND			69	37.30		16	8.65			Excluded		100	54.05		185	
		TOTAL		261	10.42		846	33.76					1399	55.83		2506	
	THIRD				Excluded		93	35.63					168	64.37		261	
		TOTAL					939	37.47					1567	62.53		2506	
													Elected				
																	
The Grange                                                     																	
	FIRST			132	5.90		702	31.35		72	3.22		1333	59.54		2239	
	SECOND			35	48.61		8	11.11			Excluded		29	40.28		72	
		TOTAL		167	7.46		710	31.71					1362	60.83		2239	
	THIRD				Excluded		78	46.71					89	53.29		167	
		TOTAL					788	35.19					1451	64.81		2239	
													Elected				
																	
Thomas Chirnside                                               																	
	FIRST			96	5.80		564	34.10		45	2.72		949	57.38		1654	
	SECOND			20	44.44		7	15.56			Excluded		18	40.00		45	
		TOTAL		116	7.01		571	34.52					967	58.46		1654	
	THIRD				Excluded		45	38.79					71	61.21		116	
		TOTAL					616	37.24					1038	62.76		1654	
													Elected				
																	
Werribee                                                       																	
	FIRST			249	7.99		1371	44.00		137	4.40		1359	43.61		3116	
	SECOND			53	38.69		21	15.33			Excluded		63	45.99		137	
		TOTAL		302	9.69		1392	44.67					1422	45.64		3116	
	THIRD				Excluded		131	43.38					171	56.62		302	
		TOTAL					1523	48.88					1593	51.12		3116	
													Elected				
																	
Werribee Central                                               																	
	FIRST			177	7.66		956	41.37		110	4.76		1068	46.21		2311	
	SECOND			32	29.09		15	13.64			Excluded		63	57.27		110	
		TOTAL		209	9.04		971	42.02					1131	48.94		2311	
	THIRD				Excluded		99	47.37					110	52.63		209	
		TOTAL					1070	46.30					1241	53.70		2311	
													Elected				
																	
Werribee South                                                 																	
	FIRST			48	5.61		486	56.84		27	3.16		294	34.39		855	
	SECOND			18	66.67		2	7.41			Excluded		7	25.93		27	
		TOTAL		66	7.72		488	57.08					301	35.20		855	
	THIRD				Excluded		33	50.00					33	50.00		66	
		TOTAL					521	60.94					334	39.06		855	
													Elected				
																	
Westgrove                                                      																	
	FIRST			145	8.02		471	26.04		58	3.21		1135	62.74		1809	
	SECOND			30	51.72		7	12.07			Excluded		21	36.21		58	
		TOTAL		175	9.67		478	26.42					1156	63.90		1809	
	THIRD				Excluded		73	41.71					102	58.29		175	
		TOTAL					551	30.46					1258	69.54		1809	
													Elected				
																	
Woodville                                                      																	
	FIRST			236	7.86		1013	33.73		119	3.96		1635	54.45		3003	
	SECOND			43	36.13		13	10.92			Excluded		63	52.94		119	
		TOTAL		279	9.29		1026	34.17					1698	56.54		3003	
	THIRD				Excluded		103	36.92					176	63.08		279	
		TOTAL					1129	37.60					1874	62.40		3003	
													Elected				
																	
Special Hospital Team 1                                        																	
	FIRST			3	15.79		6	31.58		1	5.26		9	47.37		19	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		3	15.79		7	36.84					9	47.37		19	
	THIRD				Excluded		2	66.67					1	33.33		3	
		TOTAL					9	47.37					10	52.63		19	
													Elected				
																	
ABSENT																	
	FIRST			385	9.67		1189	29.87		261	6.56		2145	53.89		3980	
	SECOND			130	49.81		44	16.86			Excluded		87	33.33		261	
		TOTAL		515	12.94		1233	30.98					2232	56.08		3980	
	THIRD				Excluded		234	45.44					281	54.56		515	
		TOTAL					1467	36.86					2513	63.14		3980	
													Elected				
																	
POSTAL																	
	FIRST			104	5.14		682	33.68		81	4.00		1158	57.19		2025	
	SECOND			42	51.85		12	14.81			Excluded		27	33.33		81	
		TOTAL		146	7.21		694	34.27					1185	58.52		2025	
	THIRD				Excluded		65	44.52					81	55.48		146	
		TOTAL					759	37.48					1266	62.52		2025	
													Elected				
																	
PRE POLL																	
	FIRST			325	6.87		1639	34.62		171	3.61		2599	54.90		4734	
	SECOND			78	45.61		28	16.37			Excluded		65	38.01		171	
		TOTAL		403	8.51		1667	35.21					2664	56.27		4734	
	THIRD				Excluded		183	45.41					220	54.59		403	
		TOTAL					1850	39.08					2884	60.92		4734	
													Elected				
																	
PROVISIONAL																	
	FIRST			43	8.16		137	26.00		31	5.88		316	59.96		527	
	SECOND			17	54.84		6	19.35			Excluded		8	25.81		31	
		TOTAL		60	11.39		143	27.13					324	61.48		527	
	THIRD				Excluded		25	41.67					35	58.33		60	
		TOTAL					168	31.88					359	68.12		527	
													Elected				
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
