House of Representatives - 2001 Election: Victoria																						
Distribution of Preferences																						
By Polling Place																						
Batman																						
				BHATHAL			FERGUSON			KNEEBONE			LYNCH			DAVIES			BARWICK			
		TOTAL		41	3.72		764	69.27		38	3.45		5	0.45		255	23.12					1103
	THIRD			0	0.00		0	0.00		1	20.00			Excluded		4	80.00					5
		TOTAL		41	3.72		764	69.27		39	3.54					259	23.48					1103
	FOURTH			20	51.28		17	43.59			Excluded					2	5.13					39
		TOTAL		61	5.53		781	70.81								261	23.66					1103
	FIFTH				Excluded		53	86.89								8	13.11					61
		TOTAL					834	75.61								269	24.39					1103
							Elected															
																						
Croxton                                                        																						
	FIRST			278	19.16		829	57.13		107	7.37		18	1.24		217	14.96		2	0.14		1451
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		1	50.00			Excluded		2
		TOTAL		278	19.16		830	57.20		107	7.37		18	1.24		218	15.02					1451
	THIRD			13	72.22		4	22.22		1	5.56			Excluded		0	0.00					18
		TOTAL		291	20.06		834	57.48		108	7.44					218	15.02					1451
	FOURTH			67	62.04		28	25.93			Excluded					13	12.04					108
		TOTAL		358	24.67		862	59.41								231	15.92					1451
	FIFTH				Excluded		317	88.55								41	11.45					358
		TOTAL					1179	81.25								272	18.75					1451
							Elected															
																						
Faircote                                                       																						
	FIRST			52	9.87		321	60.91		24	4.55		6	1.14		123	23.34		1	0.19		527
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		53	10.06		321	60.91		24	4.55		6	1.14		123	23.34					527
	THIRD			2	33.33		1	16.67		1	16.67			Excluded		2	33.33					6
		TOTAL		55	10.44		322	61.10		25	4.74					125	23.72					527
	FOURTH			9	36.00		12	48.00			Excluded					4	16.00					25
		TOTAL		64	12.14		334	63.38								129	24.48					527
	FIFTH				Excluded		58	90.63								6	9.38					64
		TOTAL					392	74.38								135	25.62					527
							Elected															
																						
Fairfield                                                      																						
	FIRST			417	19.74		1074	50.85		153	7.24		30	1.42		435	20.60		3	0.14		2112
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33		1	33.33			Excluded		3
		TOTAL		417	19.74		1075	50.90		153	7.24		31	1.47		436	20.64					2112
	THIRD			19	61.29		3	9.68		6	19.35			Excluded		3	9.68					31
		TOTAL		436	20.64		1078	51.04		159	7.53					439	20.79					2112
	FOURTH			92	57.86		49	30.82			Excluded					18	11.32					159
		TOTAL		528	25.00		1127	53.36								457	21.64					2112
	FIFTH				Excluded		459	86.93								69	13.07					528
		TOTAL					1586	75.09								526	24.91					2112
							Elected															
																						
Fairfield North                                                																						
	FIRST			213	19.42		557	50.77		69	6.29		9	0.82		246	22.42		3	0.27		1097
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		3	100.00			Excluded		3
		TOTAL		213	19.42		557	50.77		69	6.29		9	0.82		249	22.70					1097
	THIRD			7	77.78		1	11.11		0	0.00			Excluded		1	11.11					9
		TOTAL		220	20.05		558	50.87		69	6.29					250	22.79					1097
	FOURTH			40	57.97		21	30.43			Excluded					8	11.59					69
		TOTAL		260	23.70		579	52.78								258	23.52					1097
	FIFTH				Excluded		231	88.85								29	11.15					260
		TOTAL					810	73.84								287	26.16					1097
							Elected															
																						
Keon Park                                                      																						
	FIRST			42	5.28		519	65.20		34	4.27		7	0.88		190	23.87		4	0.50		796
	SECOND			0	0.00		1	25.00		0	0.00		2	50.00		1	25.00			Excluded		4
		TOTAL		42	5.28		520	65.33		34	4.27		9	1.13		191	23.99					796
	THIRD			5	55.56		1	11.11		1	11.11			Excluded		2	22.22					9
		TOTAL		47	5.90		521	65.45		35	4.40					193	24.25					796
	FOURTH			12	34.29		16	45.71			Excluded					7	20.00					35
		TOTAL		59	7.41		537	67.46								200	25.13					796
	FIFTH				Excluded		41	69.49								18	30.51					59
		TOTAL					578	72.61								218	27.39					796
							Elected															
																						
Kingsbury                                                      																						
	FIRST			129	6.78		1154	60.67		104	5.47		15	0.79		489	25.71		11	0.58		1902
	SECOND			2	18.18		3	27.27		1	9.09		3	27.27		2	18.18			Excluded		11
		TOTAL		131	6.89		1157	60.83		105	5.52		18	0.95		491	25.81					1902
	THIRD			5	27.78		7	38.89		3	16.67			Excluded		3	16.67					18
		TOTAL		136	7.15		1164	61.20		108	5.68					494	25.97					1902
	FOURTH			60	55.56		32	29.63			Excluded					16	14.81					108
		TOTAL		196	10.30		1196	62.88								510	26.81					1902
	FIFTH				Excluded		160	81.63								36	18.37					196
		TOTAL					1356	71.29								546	28.71					1902
							Elected															
																						
Melbourne (Batman)                                             																						
	FIRST			29	24.17		44	36.67		20	16.67		4	3.33		23	19.17		0	0.00		120
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		29	24.17		44	36.67		20	16.67		4	3.33		23	19.17					120
	THIRD			2	50.00		0	0.00		2	50.00			Excluded		0	0.00					4
		TOTAL		31	25.83		44	36.67		22	18.33					23	19.17					120
	FOURTH			12	54.55		8	36.36			Excluded					2	9.09					22
		TOTAL		43	35.83		52	43.33								25	20.83					120
	FIFTH				Excluded		41	95.35								2	4.65					43
		TOTAL					93	77.50								27	22.50					120
							Elected															
																						
Merrilands                                                     																						
	FIRST			77	4.17		1322	71.65		62	3.36		17	0.92		361	19.57		6	0.33		1845
	SECOND			0	0.00		4	66.67		0	0.00		0	0.00		2	33.33			Excluded		6
		TOTAL		77	4.17		1326	71.87		62	3.36		17	0.92		363	19.67					1845
	THIRD			6	35.29		5	29.41		4	23.53			Excluded		2	11.76					17
		TOTAL		83	4.50		1331	72.14		66	3.58					365	19.78					1845
	FOURTH			28	42.42		29	43.94			Excluded					9	13.64					66
		TOTAL		111	6.02		1360	73.71								374	20.27					1845
	FIFTH				Excluded		92	82.88								19	17.12					111
		TOTAL					1452	78.70								393	21.30					1845
							Elected															
																						
Murray                                                         																						
	FIRST			142	11.54		710	57.72		47	3.82		13	1.06		314	25.53		4	0.33		1230
	SECOND			0	0.00		1	25.00		0	0.00		0	0.00		3	75.00			Excluded		4
		TOTAL		142	11.54		711	57.80		47	3.82		13	1.06		317	25.77					1230
	THIRD			7	53.85		0	0.00		3	23.08			Excluded		3	23.08					13
		TOTAL		149	12.11		711	57.80		50	4.07					320	26.02					1230
	FOURTH			23	46.00		22	44.00			Excluded					5	10.00					50
		TOTAL		172	13.98		733	59.59								325	26.42					1230
	FIFTH				Excluded		154	89.53								18	10.47					172
		TOTAL					887	72.11								343	27.89					1230
							Elected															
																						
Newlands                                                       																						
	FIRST			129	9.14		898	63.60		69	4.89		18	1.27		293	20.75		5	0.35		1412
	SECOND			0	0.00		0	0.00		0	0.00		2	40.00		3	60.00			Excluded		5
		TOTAL		129	9.14		898	63.60		69	4.89		20	1.42		296	20.96					1412
	THIRD			13	65.00		2	10.00		4	20.00			Excluded		1	5.00					20
		TOTAL		142	10.06		900	63.74		73	5.17					297	21.03					1412
	FOURTH			33	45.21		28	38.36			Excluded					12	16.44					73
		TOTAL		175	12.39		928	65.72								309	21.88					1412
	FIFTH				Excluded		156	89.14								19	10.86					175
		TOTAL					1084	76.77								328	23.23					1412
							Elected															
																						
Northcote                                                      																						
	FIRST			708	21.12		1692	50.48		314	9.37		81	2.42		545	16.26		12	0.36		3352
	SECOND			1	8.33		2	16.67		3	25.00		3	25.00		3	25.00			Excluded		12
		TOTAL		709	21.15		1694	50.54		317	9.46		84	2.51		548	16.35					3352
	THIRD			58	69.05		7	8.33		14	16.67			Excluded		5	5.95					84
		TOTAL		767	22.88		1701	50.75		331	9.87					553	16.50					3352
	FOURTH			207	62.54		95	28.70			Excluded					29	8.76					331
		TOTAL		974	29.06		1796	53.58								582	17.36					3352
	FIFTH				Excluded		900	92.40								74	7.60					974
		TOTAL					2696	80.43								656	19.57					3352
							Elected															
																						
Northcote North                                                																						
	FIRST			213	13.49		932	59.02		111	7.03		22	1.39		299	18.94		2	0.13		1579
	SECOND			1	50.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		2
		TOTAL		214	13.55		932	59.02		111	7.03		23	1.46		299	18.94					1579
	THIRD			14	60.87		0	0.00		2	8.70			Excluded		7	30.43					23
		TOTAL		228	14.44		932	59.02		113	7.16					306	19.38					1579
	FOURTH			70	61.95		33	29.20			Excluded					10	8.85					113
		TOTAL		298	18.87		965	61.11								316	20.01					1579
	FIFTH				Excluded		268	89.93								30	10.07					298
		TOTAL					1233	78.09								346	21.91					1579
							Elected															
																						
Northcote South                                                																						
	FIRST			579	22.46		1378	53.45		175	6.79		32	1.24		410	15.90		4	0.16		2578
	SECOND			1	25.00		0	0.00		0	0.00		1	25.00		2	50.00			Excluded		4
		TOTAL		580	22.50		1378	53.45		175	6.79		33	1.28		412	15.98					2578
	THIRD			20	60.61		6	18.18		5	15.15			Excluded		2	6.06					33
		TOTAL		600	23.27		1384	53.69		180	6.98					414	16.06					2578
	FOURTH			133	73.89		34	18.89			Excluded					13	7.22					180
		TOTAL		733	28.43		1418	55.00								427	16.56					2578
	FIFTH				Excluded		664	90.59								69	9.41					733
		TOTAL					2082	80.76								496	19.24					2578
							Elected															
																						
Northcote West                                                 																						
	FIRST			233	27.80		366	43.68		89	10.62		11	1.31		138	16.47		1	0.12		838
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		234	27.92		366	43.68		89	10.62		11	1.31		138	16.47					838
	THIRD			8	72.73		1	9.09		1	9.09			Excluded		1	9.09					11
		TOTAL		242	28.88		367	43.79		90	10.74					139	16.59					838
	FOURTH			59	65.56		18	20.00			Excluded					13	14.44					90
		TOTAL		301	35.92		385	45.94								152	18.14					838
	FIFTH				Excluded		258	85.71								43	14.29					301
		TOTAL					643	76.73								195	23.27					838
							Elected															
																						
Oakhill                                                        																						
	FIRST			89	7.06		769	61.03		39	3.10		8	0.63		350	27.78		5	0.40		1260
	SECOND			0	0.00		0	0.00		2	40.00		0	0.00		3	60.00			Excluded		5
		TOTAL		89	7.06		769	61.03		41	3.25		8	0.63		353	28.02					1260
	THIRD			1	12.50		2	25.00		2	25.00			Excluded		3	37.50					8
		TOTAL		90	7.14		771	61.19		43	3.41					356	28.25					1260
	FOURTH			21	48.84		16	37.21			Excluded					6	13.95					43
		TOTAL		111	8.81		787	62.46								362	28.73					1260
	FIFTH				Excluded		87	78.38								24	21.62					111
		TOTAL					874	69.37								386	30.63					1260
							Elected															
																						
Preston                                                        																						
	FIRST			134	9.58		908	64.90		61	4.36		21	1.50		266	19.01		9	0.64		1399
	SECOND			3	33.33		0	0.00		1	11.11		2	22.22		3	33.33			Excluded		9
		TOTAL		137	9.79		908	64.90		62	4.43		23	1.64		269	19.23					1399
	THIRD			11	47.83		3	13.04		6	26.09			Excluded		3	13.04					23
		TOTAL		148	10.58		911	65.12		68	4.86					272	19.44					1399
	FOURTH			28	41.18		24	35.29			Excluded					16	23.53					68
		TOTAL		176	12.58		935	66.83								288	20.59					1399
	FIFTH				Excluded		150	85.23								26	14.77					176
		TOTAL					1085	77.56								314	22.44					1399
							Elected															
																						
Preston East                                                   																						
	FIRST			185	7.90		1544	65.93		54	2.31		35	1.49		518	22.12		6	0.26		2342
	SECOND			1	16.67		1	16.67		0	0.00		2	33.33		2	33.33			Excluded		6
		TOTAL		186	7.94		1545	65.97		54	2.31		37	1.58		520	22.20					2342
	THIRD			18	48.65		9	24.32		5	13.51			Excluded		5	13.51					37
		TOTAL		204	8.71		1554	66.35		59	2.52					525	22.42					2342
	FOURTH			31	52.54		25	42.37			Excluded					3	5.08					59
		TOTAL		235	10.03		1579	67.42								528	22.54					2342
	FIFTH				Excluded		219	93.19								16	6.81					235
		TOTAL					1798	76.77								544	23.23					2342
							Elected															
																						
Preston North                                                  																						
	FIRST			40	7.10		384	68.21		23	4.09		0	0.00		111	19.72		5	0.89		563
	SECOND			0	0.00		1	20.00		1	20.00		0	0.00		3	60.00			Excluded		5
		TOTAL		40	7.10		385	68.38		24	4.26		0	0.00		114	20.25					563
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0
		TOTAL		40	7.10		385	68.38		24	4.26					114	20.25					563
	FOURTH			15	62.50		5	20.83			Excluded					4	16.67					24
		TOTAL		55	9.77		390	69.27								118	20.96					563
	FIFTH				Excluded		42	76.36								13	23.64					55
		TOTAL					432	76.73								131	23.27					563
							Elected															
																						
Preston North East                                             																						
	FIRST			108	5.87		1399	76.03		67	3.64		16	0.87		246	13.37		4	0.22		1840
	SECOND			2	50.00		0	0.00		0	0.00		0	0.00		2	50.00			Excluded		4
		TOTAL		110	5.98		1399	76.03		67	3.64		16	0.87		248	13.48					1840
	THIRD			12	75.00		1	6.25		3	18.75			Excluded		0	0.00					16
		TOTAL		122	6.63		1400	76.09		70	3.80					248	13.48					1840
	FOURTH			23	32.86		31	44.29			Excluded					16	22.86					70
		TOTAL		145	7.88		1431	77.77								264	14.35					1840
	FIFTH				Excluded		115	79.31								30	20.69					145
		TOTAL					1546	84.02								294	15.98					1840
							Elected															
																						
Preston South                                                  																						
	FIRST			148	9.77		984	64.95		116	7.66		15	0.99		243	16.04		9	0.59		1515
	SECOND			3	33.33		2	22.22		2	22.22		0	0.00		2	22.22			Excluded		9
		TOTAL		151	9.97		986	65.08		118	7.79		15	0.99		245	16.17					1515
	THIRD			9	60.00		3	20.00		2	13.33			Excluded		1	6.67					15
		TOTAL		160	10.56		989	65.28		120	7.92					246	16.24					1515
	FOURTH			83	69.17		29	24.17			Excluded					8	6.67					120
		TOTAL		243	16.04		1018	67.19								254	16.77					1515
	FIFTH				Excluded		211	86.83								32	13.17					243
		TOTAL					1229	81.12								286	18.88					1515
							Elected															
																						
Preston West                                                   																						
	FIRST			242	9.70		1524	61.06		136	5.45		41	1.64		545	21.83		8	0.32		2496
	SECOND			2	25.00		1	12.50		2	25.00		1	12.50		2	25.00			Excluded		8
		TOTAL		244	9.78		1525	61.10		138	5.53		42	1.68		547	21.92					2496
	THIRD			19	45.24		10	23.81		7	16.67			Excluded		6	14.29					42
		TOTAL		263	10.54		1535	61.50		145	5.81					553	22.16					2496
	FOURTH			69	47.59		62	42.76			Excluded					14	9.66					145
		TOTAL		332	13.30		1597	63.98								567	22.72					2496
	FIFTH				Excluded		290	87.35								42	12.65					332
		TOTAL					1887	75.60								609	24.40					2496
							Elected															
																						
Regent                                                         																						
	FIRST			181	8.40		1371	63.62		126	5.85		23	1.07		450	20.88		4	0.19		2155
	SECOND			1	25.00		1	25.00		1	25.00		1	25.00		0	0.00			Excluded		4
		TOTAL		182	8.45		1372	63.67		127	5.89		24	1.11		450	20.88					2155
	THIRD			9	37.50		7	29.17		0	0.00			Excluded		8	33.33					24
		TOTAL		191	8.86		1379	63.99		127	5.89					458	21.25					2155
	FOURTH			77	60.63		41	32.28			Excluded					9	7.09					127
		TOTAL		268	12.44		1420	65.89								467	21.67					2155
	FIFTH				Excluded		220	82.09								48	17.91					268
		TOTAL					1640	76.10								515	23.90					2155
							Elected															
																						
Regent West                                                    																						
	FIRST			82	8.24		559	56.18		36	3.62		10	1.01		305	30.65		3	0.30		995
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33		1	33.33			Excluded		3
		TOTAL		82	8.24		560	56.28		36	3.62		11	1.11		306	30.75					995
	THIRD			7	63.64		2	18.18		1	9.09			Excluded		1	9.09					11
		TOTAL		89	8.94		562	56.48		37	3.72					307	30.85					995
	FOURTH			18	48.65		16	43.24			Excluded					3	8.11					37
		TOTAL		107	10.75		578	58.09								310	31.16					995
	FIFTH				Excluded		97	90.65								10	9.35					107
		TOTAL					675	67.84								320	32.16					995
							Elected															
																						
Reservoir                                                      																						
	FIRST			106	7.25		899	61.45		64	4.37		14	0.96		371	25.36		9	0.62		1463
	SECOND			1	11.11		4	44.44		0	0.00		4	44.44		0	0.00			Excluded		9
		TOTAL		107	7.31		903	61.72		64	4.37		18	1.23		371	25.36					1463
	THIRD			6	33.33		3	16.67		4	22.22			Excluded		5	27.78					18
		TOTAL		113	7.72		906	61.93		68	4.65					376	25.70					1463
	FOURTH			46	67.65		16	23.53			Excluded					6	8.82					68
		TOTAL		159	10.87		922	63.02								382	26.11					1463
	FIFTH				Excluded		129	81.13								30	18.87					159
		TOTAL					1051	71.84								412	28.16					1463
							Elected															
																						
Reservoir Central                                              																						
	FIRST			126	5.84		1301	60.26		140	6.48		18	0.83		562	26.03		12	0.56		2159
	SECOND			2	16.67		1	8.33		0	0.00		3	25.00		6	50.00			Excluded		12
		TOTAL		128	5.93		1302	60.31		140	6.48		21	0.97		568	26.31					2159
	THIRD			14	66.67		0	0.00		3	14.29			Excluded		4	19.05					21
		TOTAL		142	6.58		1302	60.31		143	6.62					572	26.49					2159
	FOURTH			84	58.74		48	33.57			Excluded					11	7.69					143
		TOTAL		226	10.47		1350	62.53								583	27.00					2159
	FIFTH				Excluded		189	83.63								37	16.37					226
		TOTAL					1539	71.28								620	28.72					2159
							Elected															
																						
Reservoir East                                                 																						
	FIRST			59	6.04		645	66.02		35	3.58		3	0.31		230	23.54		5	0.51		977
	SECOND			3	60.00		0	0.00		0	0.00		1	20.00		1	20.00			Excluded		5
		TOTAL		62	6.35		645	66.02		35	3.58		4	0.41		231	23.64					977
	THIRD			1	25.00		2	50.00		1	25.00			Excluded		0	0.00					4
		TOTAL		63	6.45		647	66.22		36	3.68					231	23.64					977
	FOURTH			18	50.00		14	38.89			Excluded					4	11.11					36
		TOTAL		81	8.29		661	67.66								235	24.05					977
	FIFTH				Excluded		61	75.31								20	24.69					81
		TOTAL					722	73.90								255	26.10					977
							Elected															
																						
Reservoir North                                                																						
	FIRST			148	5.53		1733	64.81		145	5.42		37	1.38		604	22.59		7	0.26		2674
	SECOND			2	28.57		2	28.57		1	14.29		0	0.00		2	28.57			Excluded		7
		TOTAL		150	5.61		1735	64.88		146	5.46		37	1.38		606	22.66					2674
	THIRD			20	54.05		6	16.22		6	16.22			Excluded		5	13.51					37
		TOTAL		170	6.36		1741	65.11		152	5.68					611	22.85					2674
	FOURTH			87	57.24		48	31.58			Excluded					17	11.18					152
		TOTAL		257	9.61		1789	66.90								628	23.49					2674
	FIFTH				Excluded		208	80.93								49	19.07					257
		TOTAL					1997	74.68								677	25.32					2674
							Elected															
																						
Reservoir North East                                           																						
	FIRST			72	5.02		969	67.62		44	3.07		12	0.84		332	23.17		4	0.28		1433
	SECOND			0	0.00		0	0.00		0	0.00		2	50.00		2	50.00			Excluded		4
		TOTAL		72	5.02		969	67.62		44	3.07		14	0.98		334	23.31					1433
	THIRD			4	28.57		3	21.43		6	42.86			Excluded		1	7.14					14
		TOTAL		76	5.30		972	67.83		50	3.49					335	23.38					1433
	FOURTH			17	34.00		22	44.00			Excluded					11	22.00					50
		TOTAL		93	6.49		994	69.36								346	24.15					1433
	FIFTH				Excluded		77	82.80								16	17.20					93
		TOTAL					1071	74.74								362	25.26					1433
							Elected															
																						
Reservoir South                                                																						
	FIRST			55	5.58		601	60.95		38	3.85		6	0.61		280	28.40		6	0.61		986
	SECOND			3	50.00		0	0.00		0	0.00		0	0.00		3	50.00			Excluded		6
		TOTAL		58	5.88		601	60.95		38	3.85		6	0.61		283	28.70					986
	THIRD			4	66.67		0	0.00		0	0.00			Excluded		2	33.33					6
		TOTAL		62	6.29		601	60.95		38	3.85					285	28.90					986
	FOURTH			17	44.74		16	42.11			Excluded					5	13.16					38
		TOTAL		79	8.01		617	62.58								290	29.41					986
	FIFTH				Excluded		75	94.94								4	5.06					79
		TOTAL					692	70.18								294	29.82					986
							Elected															
																						
Reservoir West                                                 																						
	FIRST			77	5.87		796	60.72		51	3.89		14	1.07		368	28.07		5	0.38		1311
	SECOND			1	20.00		2	40.00		1	20.00		1	20.00		0	0.00			Excluded		5
		TOTAL		78	5.95		798	60.87		52	3.97		15	1.14		368	28.07					1311
	THIRD			3	20.00		2	13.33		4	26.67			Excluded		6	40.00					15
		TOTAL		81	6.18		800	61.02		56	4.27					374	28.53					1311
	FOURTH			26	46.43		17	30.36			Excluded					13	23.21					56
		TOTAL		107	8.16		817	62.32								387	29.52					1311
	FIFTH				Excluded		87	81.31								20	18.69					107
		TOTAL					904	68.95								407	31.05					1311
							Elected															
																						
Ruthven                                                        																						
	FIRST			222	6.00		2404	64.96		186	5.03		46	1.24		832	22.48		11	0.30		3701
	SECOND			4	36.36		1	9.09		1	9.09		2	18.18		3	27.27			Excluded		11
		TOTAL		226	6.11		2405	64.98		187	5.05		48	1.30		835	22.56					3701
	THIRD			20	41.67		9	18.75		11	22.92			Excluded		8	16.67					48
		TOTAL		246	6.65		2414	65.23		198	5.35					843	22.78					3701
	FOURTH			101	51.01		71	35.86			Excluded					26	13.13					198
		TOTAL		347	9.38		2485	67.14								869	23.48					3701
	FIFTH				Excluded		283	81.56								64	18.44					347
		TOTAL					2768	74.79								933	25.21					3701
							Elected															
																						
Thornbury                                                      																						
	FIRST			484	16.02		1653	54.72		241	7.98		56	1.85		572	18.93		15	0.50		3021
	SECOND			4	26.67		0	0.00		2	13.33		2	13.33		7	46.67			Excluded		15
		TOTAL		488	16.15		1653	54.72		243	8.04		58	1.92		579	19.17					3021
	THIRD			32	55.17		11	18.97		9	15.52			Excluded		6	10.34					58
		TOTAL		520	17.21		1664	55.08		252	8.34					585	19.36					3021
	FOURTH			164	65.08		67	26.59			Excluded					21	8.33					252
		TOTAL		684	22.64		1731	57.30								606	20.06					3021
	FIFTH				Excluded		612	89.47								72	10.53					684
		TOTAL					2343	77.56								678	22.44					3021
							Elected															
																						
Thornbury East                                                 																						
	FIRST			289	10.66		1654	61.01		162	5.98		41	1.51		554	20.44		11	0.41		2711
	SECOND			2	18.18		1	9.09		1	9.09		0	0.00		7	63.64			Excluded		11
		TOTAL		291	10.73		1655	61.05		163	6.01		41	1.51		561	20.69					2711
	THIRD			22	53.66		8	19.51		6	14.63			Excluded		5	12.20					41
		TOTAL		313	11.55		1663	61.34		169	6.23					566	20.88					2711
	FOURTH			84	49.70		59	34.91			Excluded					26	15.38					169
		TOTAL		397	14.64		1722	63.52								592	21.84					2711
	FIFTH				Excluded		342	86.15								55	13.85					397
		TOTAL					2064	76.13								647	23.87					2711
							Elected															
																						
Thornbury South                                                																						
	FIRST			468	16.75		1498	53.61		245	8.77		41	1.47		535	19.15		7	0.25		2794
	SECOND			4	57.14		1	14.29		0	0.00		1	14.29		1	14.29			Excluded		7
		TOTAL		472	16.89		1499	53.65		245	8.77		42	1.50		536	19.18					2794
	THIRD			26	61.90		7	16.67		8	19.05			Excluded		1	2.38					42
		TOTAL		498	17.82		1506	53.90		253	9.06					537	19.22					2794
	FOURTH			169	66.80		60	23.72			Excluded					24	9.49					253
		TOTAL		667	23.87		1566	56.05								561	20.08					2794
	FIFTH				Excluded		600	89.96								67	10.04					667
		TOTAL					2166	77.52								628	22.48					2794
							Elected															
																						
Westgarth                                                      																						
	FIRST			287	24.14		608	51.14		71	5.97		27	2.27		195	16.40		1	0.08		1189
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1
		TOTAL		287	24.14		608	51.14		71	5.97		28	2.35		195	16.40					1189
	THIRD			21	75.00		2	7.14		3	10.71			Excluded		2	7.14					28
		TOTAL		308	25.90		610	51.30		74	6.22					197	16.57					1189
	FOURTH			32	43.24		40	54.05			Excluded					2	2.70					74
		TOTAL		340	28.60		650	54.67								199	16.74					1189
	FIFTH				Excluded		317	93.24								23	6.76					340
		TOTAL					967	81.33								222	18.67					1189
							Elected															
																						
Special Hospital Team 1                                        																						
	FIRST			13	4.71		158	57.25		5	1.81		4	1.45		94	34.06		2	0.72		276
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		2
		TOTAL		13	4.71		158	57.25		5	1.81		4	1.45		96	34.78					276
	THIRD			2	50.00		1	25.00		0	0.00			Excluded		1	25.00					4
		TOTAL		15	5.43		159	57.61		5	1.81					97	35.14					276
	FOURTH			4	80.00		0	0.00			Excluded					1	20.00					5
		TOTAL		19	6.88		159	57.61								98	35.51					276
	FIFTH				Excluded		18	94.74								1	5.26					19
		TOTAL					177	64.13								99	35.87					276
							Elected															
																						
Special Hospital Team 2                                        																						
	FIRST			2	0.81		88	35.77		6	2.44		2	0.81		148	60.16		0	0.00		246
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		2	0.81		88	35.77		6	2.44		2	0.81		148	60.16					246
	THIRD			0	0.00		0	0.00		1	50.00			Excluded		1	50.00					2
		TOTAL		2	0.81		88	35.77		7	2.85					149	60.57					246
