House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Jagajaga																							
				WIGG			GALLAGHER			JONES			ROBERTS			MACKLIN			SCHOREL-HLAVKA				
		TOTAL		247	7.52					1329	40.44		271	8.25		1439	43.79					3286	
	FOURTH			170	62.73					20	7.38			Excluded		81	29.89					271	
		TOTAL		417	12.69					1349	41.05					1520	46.26					3286	
	FIFTH				Excluded					124	29.74					293	70.26					417	
		TOTAL								1473	44.83					1813	55.17					3286	
																Elected							
																							
Heidelberg North                                               																							
	FIRST			110	4.48		12	0.49		418	17.01		118	4.80		1784	72.58		16	0.65		2458	
	SECOND			4	33.33			Excluded		1	8.33		4	33.33		2	16.67		1	8.33		12	
		TOTAL		114	4.64					419	17.05		122	4.96		1786	72.66		17	0.69		2458	
	THIRD			6	35.29					0	0.00		4	23.53		7	41.18			Excluded		17	
		TOTAL		120	4.88					419	17.05		126	5.13		1793	72.95					2458	
	FOURTH			87	69.05					7	5.56			Excluded		32	25.40					126	
		TOTAL		207	8.42					426	17.33					1825	74.25					2458	
	FIFTH				Excluded					70	33.82					137	66.18					207	
		TOTAL								496	20.18					1962	79.82					2458	
																Elected							
																							
Heidelberg West                                                																							
	FIRST			55	3.98		6	0.43		330	23.86		74	5.35		903	65.29		15	1.08		1383	
	SECOND			0	0.00			Excluded		3	50.00		0	0.00		1	16.67		2	33.33		6	
		TOTAL		55	3.98					333	24.08		74	5.35		904	65.37		17	1.23		1383	
	THIRD			2	11.76					2	11.76		4	23.53		9	52.94			Excluded		17	
		TOTAL		57	4.12					335	24.22		78	5.64		913	66.02					1383	
	FOURTH			51	65.38					4	5.13			Excluded		23	29.49					78	
		TOTAL		108	7.81					339	24.51					936	67.68					1383	
	FIFTH				Excluded					30	27.78					78	72.22					108	
		TOTAL								369	26.68					1014	73.32					1383	
																Elected							
																							
Ivanhoe                                                        																							
	FIRST			209	7.45		8	0.29		1020	36.34		285	10.15		1256	44.75		29	1.03		2807	
	SECOND			1	12.50			Excluded		0	0.00		2	25.00		0	0.00		5	62.50		8	
		TOTAL		210	7.48					1020	36.34		287	10.22		1256	44.75		34	1.21		2807	
	THIRD			5	14.71					8	23.53		15	44.12		6	17.65			Excluded		34	
		TOTAL		215	7.66					1028	36.62		302	10.76		1262	44.96					2807	
	FOURTH			179	59.27					17	5.63			Excluded		106	35.10					302	
		TOTAL		394	14.04					1045	37.23					1368	48.74					2807	
	FIFTH				Excluded					107	27.16					287	72.84					394	
		TOTAL								1152	41.04					1655	58.96					2807	
																Elected							
																							
Ivanhoe East                                                   																							
	FIRST			158	6.65		5	0.21		1170	49.24		197	8.29		837	35.23		9	0.38		2376	
	SECOND			0	0.00			Excluded		1	20.00		0	0.00		1	20.00		3	60.00		5	
		TOTAL		158	6.65					1171	49.28		197	8.29		838	35.27		12	0.51		2376	
	THIRD			1	8.33					4	33.33		6	50.00		1	8.33			Excluded		12	
		TOTAL		159	6.69					1175	49.45		203	8.54		839	35.31					2376	
	FOURTH			107	52.71					21	10.34			Excluded		75	36.95					203	
		TOTAL		266	11.20					1196	50.34					914	38.47					2376	
	FIFTH				Excluded					61	22.93					205	77.07					266	
		TOTAL								1257	52.90					1119	47.10					2376	
																Elected							
																							
Ivanhoe West                                                   																							
	FIRST			54	3.12		8	0.46		448	25.90		104	6.01		1104	63.82		12	0.69		1730	
	SECOND			3	37.50			Excluded		4	50.00		0	0.00		0	0.00		1	12.50		8	
		TOTAL		57	3.29					452	26.13		104	6.01		1104	63.82		13	0.75		1730	
	THIRD			3	23.08					0	0.00		5	38.46		5	38.46			Excluded		13	
		TOTAL		60	3.47					452	26.13		109	6.30		1109	64.10					1730	
	FOURTH			59	54.13					6	5.50			Excluded		44	40.37					109	
		TOTAL		119	6.88					458	26.47					1153	66.65					1730	
	FIFTH				Excluded					30	25.21					89	74.79					119	
		TOTAL								488	28.21					1242	71.79					1730	
																Elected							
																							
Lower Plenty                                                   																							
	FIRST			98	5.08		11	0.57		1074	55.62		110	5.70		619	32.06		19	0.98		1931	
	SECOND			1	9.09			Excluded		2	18.18		5	45.45		0	0.00		3	27.27		11	
		TOTAL		99	5.13					1076	55.72		115	5.96		619	32.06		22	1.14		1931	
	THIRD			5	22.73					3	13.64		7	31.82		7	31.82			Excluded		22	
		TOTAL		104	5.39					1079	55.88		122	6.32		626	32.42					1931	
	FOURTH			76	62.30					13	10.66			Excluded		33	27.05					122	
		TOTAL		180	9.32					1092	56.55					659	34.13					1931	
	FIFTH				Excluded					49	27.22					131	72.78					180	
		TOTAL								1141	59.09					790	40.91					1931	
																Elected							
																							
Macleod                                                        																							
	FIRST			241	7.57		10	0.31		1190	37.40		171	5.37		1547	48.62		23	0.72		3182	
	SECOND			3	30.00			Excluded		1	10.00		4	40.00		0	0.00		2	20.00		10	
		TOTAL		244	7.67					1191	37.43		175	5.50		1547	48.62		25	0.79		3182	
	THIRD			7	28.00					9	36.00		6	24.00		3	12.00			Excluded		25	
		TOTAL		251	7.89					1200	37.71		181	5.69		1550	48.71					3182	
	FOURTH			117	64.64					14	7.73			Excluded		50	27.62					181	
		TOTAL		368	11.57					1214	38.15					1600	50.28					3182	
	FIFTH				Excluded					114	30.98					254	69.02					368	
		TOTAL								1328	41.73					1854	58.27					3182	
																Elected							
																							
Melbourne (Jagajaga)                                           																							
	FIRST			11	10.48		0	0.00		27	25.71		23	21.90		42	40.00		2	1.90		105	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		11	10.48					27	25.71		23	21.90		42	40.00		2	1.90		105	
	THIRD			0	0.00					0	0.00		1	50.00		1	50.00			Excluded		2	
		TOTAL		11	10.48					27	25.71		24	22.86		43	40.95					105	
	FOURTH			12	50.00					3	12.50			Excluded		9	37.50					24	
		TOTAL		23	21.90					30	28.57					52	49.52					105	
	FIFTH				Excluded					10	43.48					13	56.52					23	
		TOTAL								40	38.10					65	61.90					105	
																Elected							
																							
Montmorency                                                    																							
	FIRST			307	8.40		10	0.27		1489	40.74		269	7.36		1548	42.35		32	0.88		3655	
	SECOND			6	60.00			Excluded		0	0.00		1	10.00		2	20.00		1	10.00		10	
		TOTAL		313	8.56					1489	40.74		270	7.39		1550	42.41		33	0.90		3655	
	THIRD			6	18.18					11	33.33		11	33.33		5	15.15			Excluded		33	
		TOTAL		319	8.73					1500	41.04		281	7.69		1555	42.54					3655	
	FOURTH			168	59.79					26	9.25			Excluded		87	30.96					281	
		TOTAL		487	13.32					1526	41.75					1642	44.92					3655	
	FIFTH				Excluded					137	28.13					350	71.87					487	
		TOTAL								1663	45.50					1992	54.50					3655	
																Elected							
																							
Montmorency South                                              																							
	FIRST			149	8.86		3	0.18		653	38.82		128	7.61		740	44.00		9	0.54		1682	
	SECOND			1	33.33			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		3	
		TOTAL		150	8.92					654	38.88		128	7.61		741	44.05		9	0.54		1682	
	THIRD			0	0.00					1	11.11		2	22.22		6	66.67			Excluded		9	
		TOTAL		150	8.92					655	38.94		130	7.73		747	44.41					1682	
	FOURTH			78	60.00					9	6.92			Excluded		43	33.08					130	
		TOTAL		228	13.56					664	39.48					790	46.97					1682	
	FIFTH				Excluded					62	27.19					166	72.81					228	
		TOTAL								726	43.16					956	56.84					1682	
																Elected							
																							
Repatriation Hospital                                          																							
	FIRST			13	4.80		2	0.74		70	25.83		14	5.17		171	63.10		1	0.37		271	
	SECOND			0	0.00			Excluded		1	50.00		1	50.00		0	0.00		0	0.00		2	
		TOTAL		13	4.80					71	26.20		15	5.54		171	63.10		1	0.37		271	
	THIRD			0	0.00					0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		13	4.80					71	26.20		16	5.90		171	63.10					271	
	FOURTH			9	56.25					0	0.00			Excluded		7	43.75					16	
		TOTAL		22	8.12					71	26.20					178	65.68					271	
	FIFTH				Excluded					8	36.36					14	63.64					22	
		TOTAL								79	29.15					192	70.85					271	
																Elected							
																							
Research (Jagajaga)                                            																							
	FIRST			89	6.71		6	0.45		660	49.74		117	8.82		440	33.16		15	1.13		1327	
	SECOND			1	16.67			Excluded		1	16.67		0	0.00		0	0.00		4	66.67		6	
		TOTAL		90	6.78					661	49.81		117	8.82		440	33.16		19	1.43		1327	
	THIRD			2	10.53					5	26.32		5	26.32		7	36.84			Excluded		19	
		TOTAL		92	6.93					666	50.19		122	9.19		447	33.69					1327	
	FOURTH			72	59.02					11	9.02			Excluded		39	31.97					122	
		TOTAL		164	12.36					677	51.02					486	36.62					1327	
	FIFTH				Excluded					55	33.54					109	66.46					164	
		TOTAL								732	55.16					595	44.84					1327	
																Elected							
																							
Rosanna                                                        																							
	FIRST			111	5.31		7	0.33		930	44.48		135	6.46		896	42.85		12	0.57		2091	
	SECOND			0	0.00			Excluded		4	57.14		1	14.29		0	0.00		2	28.57		7	
		TOTAL		111	5.31					934	44.67		136	6.50		896	42.85		14	0.67		2091	
	THIRD			2	14.29					1	7.14		4	28.57		7	50.00			Excluded		14	
		TOTAL		113	5.40					935	44.72		140	6.70		903	43.19					2091	
	FOURTH			91	65.00					8	5.71			Excluded		41	29.29					140	
		TOTAL		204	9.76					943	45.10					944	45.15					2091	
	FIFTH				Excluded					56	27.45					148	72.55					204	
		TOTAL								999	47.78					1092	52.22					2091	
																Elected							
																							
Rosanna East                                                   																							
	FIRST			33	3.53		1	0.11		431	46.10		39	4.17		421	45.03		10	1.07		935	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		33	3.53					431	46.10		39	4.17		421	45.03		11	1.18		935	
	THIRD			8	72.73					2	18.18		0	0.00		1	9.09			Excluded		11	
		TOTAL		41	4.39					433	46.31		39	4.17		422	45.13					935	
	FOURTH			26	66.67					1	2.56			Excluded		12	30.77					39	
		TOTAL		67	7.17					434	46.42					434	46.42					935	
	FIFTH				Excluded					23	34.33					44	65.67					67	
		TOTAL								457	48.88					478	51.12					935	
																Elected							
																							
Telfer Reserve                                                 																							
	FIRST			22	3.96		1	0.18		183	32.97		15	2.70		328	59.10		6	1.08		555	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		22	3.96					183	32.97		15	2.70		328	59.10		7	1.26		555	
	THIRD			2	28.57					1	14.29		1	14.29		3	42.86			Excluded		7	
		TOTAL		24	4.32					184	33.15		16	2.88		331	59.64					555	
	FOURTH			5	31.25					2	12.50			Excluded		9	56.25					16	
		TOTAL		29	5.23					186	33.51					340	61.26					555	
	FIFTH				Excluded					10	34.48					19	65.52					29	
		TOTAL								196	35.32					359	64.68					555	
																Elected							
																							
Viewbank                                                       																							
	FIRST			179	8.11		8	0.36		926	41.94		116	5.25		971	43.98		8	0.36		2208	
	SECOND			3	37.50			Excluded		4	50.00		0	0.00		1	12.50		0	0.00		8	
		TOTAL		182	8.24					930	42.12		116	5.25		972	44.02		8	0.36		2208	
	THIRD			0	0.00					1	12.50		4	50.00		3	37.50			Excluded		8	
		TOTAL		182	8.24					931	42.16		120	5.43		975	44.16					2208	
	FOURTH			69	57.50					11	9.17			Excluded		40	33.33					120	
		TOTAL		251	11.37					942	42.66					1015	45.97					2208	
	FIFTH				Excluded					67	26.69					184	73.31					251	
		TOTAL								1009	45.70					1199	54.30					2208	
																Elected							
																							
Warringal Parklands                                            																							
	FIRST			22	3.31		2	0.30		304	45.71		44	6.62		286	43.01		7	1.05		665	
	SECOND			0	0.00			Excluded		1	50.00		0	0.00		1	50.00		0	0.00		2	
		TOTAL		22	3.31					305	45.86		44	6.62		287	43.16		7	1.05		665	
	THIRD			1	14.29					2	28.57		4	57.14		0	0.00			Excluded		7	
		TOTAL		23	3.46					307	46.17		48	7.22		287	43.16					665	
	FOURTH			26	54.17					6	12.50			Excluded		16	33.33					48	
		TOTAL		49	7.37					313	47.07					303	45.56					665	
	FIFTH				Excluded					13	26.53					36	73.47					49	
		TOTAL								326	49.02					339	50.98					665	
																Elected							
																							
Watsonia                                                       																							
	FIRST			176	6.80		13	0.50		949	36.64		123	4.75		1305	50.39		24	0.93		2590	
	SECOND			5	38.46			Excluded		3	23.08		1	7.69		2	15.38		2	15.38		13	
		TOTAL		181	6.99					952	36.76		124	4.79		1307	50.46		26	1.00		2590	
	THIRD			5	19.23					7	26.92		9	34.62		5	19.23			Excluded		26	
		TOTAL		186	7.18					959	37.03		133	5.14		1312	50.66					2590	
	FOURTH			91	68.42					11	8.27			Excluded		31	23.31					133	
		TOTAL		277	10.69					970	37.45					1343	51.85					2590	
	FIFTH				Excluded					91	32.85					186	67.15					277	
		TOTAL								1061	40.97					1529	59.03					2590	
																Elected							
																							
Watsonia Central                                               																							
	FIRST			52	5.43		2	0.21		333	34.76		47	4.91		514	53.65		10	1.04		958	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		1	50.00		1	50.00		2	
		TOTAL		52	5.43					333	34.76		47	4.91		515	53.76		11	1.15		958	
	THIRD			2	18.18					1	9.09		4	36.36		4	36.36			Excluded		11	
		TOTAL		54	5.64					334	34.86		51	5.32		519	54.18					958	
	FOURTH			27	52.94					5	9.80			Excluded		19	37.25					51	
		TOTAL		81	8.46					339	35.39					538	56.16					958	
	FIFTH				Excluded					29	35.80					52	64.20					81	
		TOTAL								368	38.41					590	61.59					958	
																Elected							
																							
Watsonia South                                                 																							
	FIRST			51	4.35		4	0.34		422	35.98		37	3.15		645	54.99		14	1.19		1173	
	SECOND			1	25.00			Excluded		2	50.00		0	0.00		0	0.00		1	25.00		4	
		TOTAL		52	4.43					424	36.15		37	3.15		645	54.99		15	1.28		1173	
	THIRD			5	33.33					3	20.00		4	26.67		3	20.00			Excluded		15	
		TOTAL		57	4.86					427	36.40		41	3.50		648	55.24					1173	
	FOURTH			17	41.46					3	7.32			Excluded		21	51.22					41	
		TOTAL		74	6.31					430	36.66					669	57.03					1173	
	FIFTH				Excluded					26	35.14					48	64.86					74	
		TOTAL								456	38.87					717	61.13					1173	
																Elected							
																							
Yallambie                                                      																							
	FIRST			191	7.54		2	0.08		1231	48.62		82	3.24		1000	39.49		26	1.03		2532	
	SECOND			1	50.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00		2	
		TOTAL		192	7.58					1231	48.62		82	3.24		1001	39.53		26	1.03		2532	
	THIRD			7	26.92					8	30.77		4	15.38		7	26.92			Excluded		26	
		TOTAL		199	7.86					1239	48.93		86	3.40		1008	39.81					2532	
	FOURTH			46	53.49					10	11.63			Excluded		30	34.88					86	
		TOTAL		245	9.68					1249	49.33					1038	41.00					2532	
	FIFTH				Excluded					103	42.04					142	57.96					245	
		TOTAL								1352	53.40					1180	46.60					2532	
																Elected							
																							
Special Hospital Team 1                                        																							
	FIRST			9	4.31		2	0.96		102	48.80		3	1.44		89	42.58		4	1.91		209	
	SECOND			1	50.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2	
		TOTAL		10	4.78					102	48.80		4	1.91		89	42.58		4	1.91		209	
	THIRD			0	0.00					2	50.00		2	50.00		0	0.00			Excluded		4	
		TOTAL		10	4.78					104	49.76		6	2.87		89	42.58					209	
	FOURTH			4	66.67					0	0.00			Excluded		2	33.33					6	
		TOTAL		14	6.70					104	49.76					91	43.54					209	
	FIFTH				Excluded					9	64.29					5	35.71					14	
		TOTAL								113	54.07					96	45.93					209	
																Elected							
																							
ABSENT																							
	FIRST			451	9.41		32	0.67		1786	37.25		462	9.64		1993	41.56		71	1.48		4795	
	SECOND			17	53.13			Excluded		8	25.00		2	6.25		4	12.50		1	3.13		32	
		TOTAL		468	9.76					1794	37.41		464	9.68		1997	41.65		72	1.50		4795	
	THIRD			15	20.83					11	15.28		26	36.11		20	27.78			Excluded		72	
		TOTAL		483	10.07					1805	37.64		490	10.22		2017	42.06					4795	
	FOURTH			243	49.59					59	12.04			Excluded		188	38.37					490	
		TOTAL		726	15.14					1864	38.87					2205	45.99					4795	
	FIFTH				Excluded					255	35.12					471	64.88					726	
		TOTAL								2119	44.19					2676	55.81					4795	
																Elected							
																							
POSTAL																							
	FIRST			189	4.49		8	0.19		1752	41.65		129	3.07		2094	49.79		34	0.81		4206	
	SECOND			0	0.00			Excluded		3	37.50		1	12.50		2	25.00		2	25.00		8	
		TOTAL		189	4.49					1755	41.73		130	3.09		2096	49.83		36	0.86		4206	
	THIRD			10	27.78					12	33.33		11	30.56		3	8.33			Excluded		36	
		TOTAL		199	4.73					1767	42.01		141	3.35		2099	49.90					4206	
	FOURTH			87	61.70					11	7.80			Excluded		43	30.50					141	
		TOTAL		286	6.80					1778	42.27					2142	50.93					4206	
	FIFTH				Excluded					95	33.22					191	66.78					286	
		TOTAL								1873	44.53					2333	55.47					4206	
																Elected							
																							
PRE POLL																							
	FIRST			215	6.28		14	0.41		1488	43.48		182	5.32		1486	43.42		37	1.08		3422	
	SECOND			6	42.86			Excluded		3	21.43		1	7.14		1	7.14		3	21.43		14	
		TOTAL		221	6.46					1491	43.57		183	5.35		1487	43.45		40	1.17		3422	
	THIRD			12	30.00					7	17.50		11	27.50		10	25.00			Excluded		40	
		TOTAL		233	6.81					1498	43.78		194	5.67		1497	43.75					3422	
	FOURTH			103	53.09					24	12.37			Excluded		67	34.54					194	
		TOTAL		336	9.82					1522	44.48					1564	45.70					3422	
	FIFTH				Excluded					102	30.36					234	69.64					336	
		TOTAL								1624	47.46					1798	52.54					3422	
																Elected							
																							
PROVISIONAL																							
	FIRST			19	7.12		1	0.37		94	35.21		17	6.37		130	48.69		6	2.25		267	
