House of Representatives - 2001 Election: Victoria																																
First Preference Votes and TCP 																																
By Candidate by Polling Place																																

Chisholm (86680)																																
	CLOWES			BENNETT			# BURKE			MURRAY			TANKEY			FORMAL			INFORMAL			TOTAL										
	Ros			James			Anna			John			Howard												Two Candidate Preferred							
	LP			DEM			ALP			NGST			GRN												 CLOWES LP			# BURKE ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Huntingdale	326	32.63		65	6.51		563	56.36		9	0.90		36	3.60		999	95.69		45	4.31		1044	1.27		351	35.14		648	64.86
Kerrimuir	1155	43.00		164	6.11		1200	44.68		21	0.78		146	5.44		2686	96.90		86	3.10		2772	3.36		1219	45.38		1467	54.62
Koonung Heights	1182	46.54		220	8.66		924	36.38		21	0.83		193	7.60		2540	97.28		71	2.72		2611	3.17		1281	50.43		1259	49.57
Manooka	642	41.72		106	6.89		741	48.15		8	0.52		42	2.73		1539	97.16		45	2.84		1584	1.92		674	43.79		865	56.21
Melbourne (Chisholm)	30	34.09		11	12.50		34	38.64		1	1.14		12	13.64		88	95.65		4	4.35		92	0.11		39	44.32		49	55.68
Mont Albert	1150	53.59		159	7.41		639	29.78		8	0.37		190	8.85		2146	97.72		50	2.28		2196	2.66		1242	57.88		904	42.12
Mount Waverley	351	52.70		43	6.46		223	33.48		5	0.75		44	6.61		666	97.65		16	2.35		682	0.83		371	55.71		295	44.29
Mount Waverley South	2085	50.37		243	5.87		1523	36.80		43	1.04		245	5.92		4139	97.16		121	2.84		4260	5.17		2226	53.78		1913	46.22
Oakleigh (Chisholm)	459	31.44		86	5.89		791	54.18		15	1.03		109	7.47		1460	95.30		72	4.70		1532	1.86		507	34.73		953	65.27
Oakleigh East	578	34.49		132	7.88		864	51.55		27	1.61		75	4.47		1676	96.71		57	3.29		1733	2.10		642	38.31		1034	61.69			
Oakleigh North	607	37.31		111	6.82		808	49.66		23	1.41		78	4.79		1627	95.93		69	4.07		1696	2.06		655	40.26		972	59.74			
Pinewood (Chisholm)	1064	48.63		137	6.26		841	38.44		18	0.82		128	5.85		2188	96.90		70	3.10		2258	2.74		1139	52.06		1049	47.94			
Surrey Hills	872	54.16		108	6.71		488	30.31		9	0.56		133	8.26		1610	97.81		36	2.19		1646	2.00		923	57.33		687	42.67			
Sussex Heights	774	37.76		137	6.68		1021	49.80		27	1.32		91	4.44		2050	96.06		84	3.94		2134	2.59		853	41.61		1197	58.39			
Syndal North	1502	50.05		220	7.33		1127	37.55		23	0.77		129	4.30		3001	97.53		76	2.47		3077	3.73		1590	52.98		1411	47.02			
Syndal South	991	52.74		116	6.17		625	33.26		13	0.69		134	7.13		1879	96.91		60	3.09		1939	2.35		1054	56.09		825	43.91			
Tally Ho (Chisholm)	635	47.07		92	6.82		558	41.36		10	0.74		54	4.00		1349	96.84		44	3.16		1393	1.69		680	50.41		669	49.59			
Tyne	508	43.87		74	6.39		489	42.23		8	0.69		79	6.82		1158	97.07		35	2.93		1193	1.45		546	47.15		612	52.85			
Wattle Park	1027	42.67		149	6.19		1009	41.92		15	0.62		207	8.60		2407	97.10		72	2.90		2479	3.01		1103	45.82		1304	54.18			
Waverley North	490	41.14		77	6.47		519	43.58		16	1.34		89	7.47		1191	97.62		29	2.38		1220	1.48		539	45.26		652	54.74			
Special Hospitals	373	70.78		3	0.57		140	26.57		2	0.38		9	1.71		527	96.52		19	3.48		546	0.66		380	72.11		147	27.89			
Total Ordinary	28770	43.34		4293	6.47		28612	43.11		652	0.98		4048	6.10		66375	96.84		2168	3.16		68543	83.17		30991	46.69		35384	53.31			
ABSENT	2313	41.01		587	10.41		2085	36.97		123	2.18		532	9.43		5640	97.01		174	2.99		5814	7.05		2712	48.09		2928	51.91			
POSTAL	2302	50.50		230	5.05		1825	40.04		58	1.27		143	3.14		4558	98.79		56	1.21		4614	5.60		2439	53.51		2119	46.49			
PRE_POLL	1363	43.23		253	8.02		1311	41.58		57	1.81		169	5.36		3153	97.65		76	2.35		3229	3.92		1518	48.14		1635	51.86			
PROVISIONAL	88	41.71		16	7.58		96	45.50		5	2.37		6	2.84		211	96.79		7	3.21		218	0.26		98	46.45		113	53.55			
Division Summary	34836	43.58		5379	6.73		33929	42.44		895	1.12		4898	6.13		79937	96.99		2481	3.01		82418	95.08		37758	47.23		42179	52.77			
																																
																																
																																
																																
																																
