House of Representatives - 2001 Election: Victoria																													
Distribution of Preferences																													
By Polling Place																													
La Trobe																													
				CHARLES			SMITH			HOLLAND			STAINDL			VOIGT			SCOTT			DEAN			ALLEN				
	FIFTH			13	22.81		17	29.82		11	19.30		16	28.07						Excluded								57	
		TOTAL		951	44.44		201	9.39		220	10.28		768	35.89														2140	
	SIXTH			21	10.45			Excluded		126	62.69		54	26.87														201	
		TOTAL		972	45.42					346	16.17		822	38.41														2140	
	SEVENTH			121	34.97						Excluded		225	65.03														346	
		TOTAL		1093	51.07								1047	48.93														2140	
				Elected																									
																													
Ferntree Gully Upper                                           																													
	FIRST			636	37.63		186	11.01		155	9.17		647	38.28		15	0.89		40	2.37		3	0.18		8	0.47		1690	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	100.00		3	
		TOTAL		636	37.63		186	11.01		155	9.17		647	38.28		15	0.89		40	2.37					11	0.65		1690	
	THIRD			0	0.00		5	45.45		2	18.18		3	27.27		0	0.00		1	9.09						Excluded		11	
		TOTAL		636	37.63		191	11.30		157	9.29		650	38.46		15	0.89		41	2.43								1690	
	FOURTH			10	66.67		2	13.33		1	6.67		0	0.00			Excluded		2	13.33								15	
		TOTAL		646	38.22		193	11.42		158	9.35		650	38.46					43	2.54								1690	
	FIFTH			19	44.19		7	16.28		7	16.28		10	23.26						Excluded								43	
		TOTAL		665	39.35		200	11.83		165	9.76		660	39.05														1690	
	SIXTH			14	7.00			Excluded		132	66.00		54	27.00														200	
		TOTAL		679	40.18					297	17.57		714	42.25														1690	
	SEVENTH			78	26.26						Excluded		219	73.74														297	
		TOTAL		757	44.79								933	55.21														1690	
				Elected																									
																													
Ferntree Gully West                                            																													
	FIRST			1197	43.77		135	4.94		224	8.19		1073	39.23		21	0.77		42	1.54		13	0.48		30	1.10		2735	
	SECOND			0	0.00		1	7.69		0	0.00		1	7.69		1	7.69		0	0.00			Excluded		10	76.92		13	
		TOTAL		1197	43.77		136	4.97		224	8.19		1074	39.27		22	0.80		42	1.54					40	1.46		2735	
	THIRD			9	22.50		3	7.50		7	17.50		7	17.50		6	15.00		8	20.00						Excluded		40	
		TOTAL		1206	44.10		139	5.08		231	8.45		1081	39.52		28	1.02		50	1.83								2735	
	FOURTH			10	35.71		4	14.29		3	10.71		6	21.43			Excluded		5	17.86								28	
		TOTAL		1216	44.46		143	5.23		234	8.56		1087	39.74					55	2.01								2735	
	FIFTH			15	27.27		13	23.64		10	18.18		17	30.91						Excluded								55	
		TOTAL		1231	45.01		156	5.70		244	8.92		1104	40.37														2735	
	SIXTH			24	15.38			Excluded		95	60.90		37	23.72														156	
		TOTAL		1255	45.89					339	12.39		1141	41.72														2735	
	SEVENTH			114	33.63						Excluded		225	66.37														339	
		TOTAL		1369	50.05								1366	49.95														2735	
				Elected																									
																													
Ferny Creek                                                    																													
	FIRST			311	40.65		108	14.12		66	8.63		261	34.12		5	0.65		6	0.78		3	0.39		5	0.65		765	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		311	40.65		108	14.12		66	8.63		262	34.25		5	0.65		6	0.78					7	0.92		765	
	THIRD			2	28.57		3	42.86		0	0.00		1	14.29		1	14.29		0	0.00						Excluded		7	
		TOTAL		313	40.92		111	14.51		66	8.63		263	34.38		6	0.78		6	0.78								765	
	FOURTH			5	83.33		1	16.67		0	0.00		0	0.00			Excluded		0	0.00								6	
		TOTAL		318	41.57		112	14.64		66	8.63		263	34.38					6	0.78								765	
	FIFTH			3	50.00		2	33.33		1	16.67		0	0.00						Excluded								6	
		TOTAL		321	41.96		114	14.90		67	8.76		263	34.38														765	
	SIXTH			7	6.14			Excluded		77	67.54		30	26.32														114	
		TOTAL		328	42.88					144	18.82		293	38.30														765	
	SEVENTH			40	27.78						Excluded		104	72.22														144	
		TOTAL		368	48.10								397	51.90														765	
				Elected																									
																													
Gembrook                                                       																													
	FIRST			401	43.68		65	7.08		64	6.97		343	37.36		7	0.76		27	2.94		3	0.33		8	0.87		918	
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		401	43.68		65	7.08		65	7.08		343	37.36		7	0.76		28	3.05					9	0.98		918	
	THIRD			1	11.11		1	11.11		2	22.22		0	0.00		2	22.22		3	33.33						Excluded		9	
		TOTAL		402	43.79		66	7.19		67	7.30		343	37.36		9	0.98		31	3.38								918	
	FOURTH			1	11.11		0	0.00		1	11.11		3	33.33			Excluded		4	44.44								9	
		TOTAL		403	43.90		66	7.19		68	7.41		346	37.69					35	3.81								918	
	FIFTH			12	34.29		11	31.43		3	8.57		9	25.71						Excluded								35	
		TOTAL		415	45.21		77	8.39		71	7.73		355	38.67														918	
	SIXTH			6	7.79			Excluded		56	72.73		15	19.48														77	
		TOTAL		421	45.86					127	13.83		370	40.31														918	
	SEVENTH			34	26.77						Excluded		93	73.23														127	
		TOTAL		455	49.56								463	50.44														918	
				Elected																									
																													
Hallam Valley                                                  																													
	FIRST			1201	45.24		81	3.05		184	6.93		1101	41.47		32	1.21		38	1.43		7	0.26		11	0.41		2655	
	SECOND			0	0.00		1	14.29		0	0.00		1	14.29		0	0.00		0	0.00			Excluded		5	71.43		7	
		TOTAL		1201	45.24		82	3.09		184	6.93		1102	41.51		32	1.21		38	1.43					16	0.60		2655	
	THIRD			1	6.25		4	25.00		0	0.00		4	25.00		3	18.75		4	25.00						Excluded		16	
		TOTAL		1202	45.27		86	3.24		184	6.93		1106	41.66		35	1.32		42	1.58								2655	
	FOURTH			15	42.86		6	17.14		0	0.00		10	28.57			Excluded		4	11.43								35	
		TOTAL		1217	45.84		92	3.47		184	6.93		1116	42.03					46	1.73								2655	
	FIFTH			13	28.26		16	34.78		6	13.04		11	23.91						Excluded								46	
		TOTAL		1230	46.33		108	4.07		190	7.16		1127	42.45														2655	
	SIXTH			24	22.22			Excluded		58	53.70		26	24.07														108	
		TOTAL		1254	47.23					248	9.34		1153	43.43														2655	
	SEVENTH			110	44.35						Excluded		138	55.65														248	
		TOTAL		1364	51.37								1291	48.63														2655	
				Elected																									
																													
Harkaway                                                       																													
	FIRST			385	63.53		45	7.43		25	4.13		125	20.63		11	1.82		10	1.65		2	0.33		3	0.50		606	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		385	63.53		45	7.43		25	4.13		125	20.63		12	1.98		10	1.65					4	0.66		606	
	THIRD			1	25.00		0	0.00		1	25.00		1	25.00		0	0.00		1	25.00						Excluded		4	
		TOTAL		386	63.70		45	7.43		26	4.29		126	20.79		12	1.98		11	1.82								606	
	FOURTH			10	83.33		1	8.33		1	8.33		0	0.00			Excluded		0	0.00								12	
		TOTAL		396	65.35		46	7.59		27	4.46		126	20.79					11	1.82								606	
	FIFTH			2	18.18		6	54.55		1	9.09		2	18.18						Excluded								11	
		TOTAL		398	65.68		52	8.58		28	4.62		128	21.12														606	
	SIXTH			8	15.38			Excluded		27	51.92		17	32.69														52	
		TOTAL		406	67.00					55	9.08		145	23.93														606	
	SEVENTH			25	45.45						Excluded		30	54.55														55	
		TOTAL		431	71.12								175	28.88														606	
				Elected																									
																													
Kallista (La Trobe)                                            																													
	FIRST			102	48.34		42	19.91		13	6.16		54	25.59		0	0.00		0	0.00		0	0.00		0	0.00		211	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
