House of Representatives - 2001 Election: Victoria																															
Distribution of Preferences																															
By Polling Place																															
Bendigo																															
				GIBBONS			BARROW			ZEGERS			PASQUARELLI			LILLEY			SHARKEY			SMITH			RIVENDELL			ARNOLD			
	FIRST			122	49.80		2	0.82		4	1.63		3	1.22		11	4.49		82	33.47		1	0.41		11	4.49		9	3.67		245
	SECOND			1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		2
		TOTAL		123	50.20					4	1.63		3	1.22		11	4.49		82	33.47		1	0.41		12	4.90		9	3.67		245
	THIRD			2	66.67					0	0.00			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		125	51.02					4	1.63					11	4.49		83	33.88		1	0.41		12	4.90		9	3.67		245
	FOURTH			1	11.11					2	22.22					0	0.00		5	55.56		0	0.00		1	11.11			Excluded		9
		TOTAL		126	51.43					6	2.45					11	4.49		88	35.92		1	0.41		13	5.31					245
	FIFTH			2	33.33						Excluded					2	33.33		0	0.00		0	0.00		2	33.33					6
		TOTAL		128	52.24											13	5.31		88	35.92		1	0.41		15	6.12					245
	SIXTH			0	0.00											0	0.00		1	100.00			Excluded		0	0.00					1
		TOTAL		128	52.24											13	5.31		89	36.33					15	6.12					245
	SEVENTH			6	46.15												Excluded		0	0.00					7	53.85					13
		TOTAL		134	54.69														89	36.33					22	8.98					245
	EIGHTH			16	72.73														6	27.27						Excluded					22
		TOTAL		150	61.22														95	38.78											245
				Elected																											
																															
Bendigo Central                                                																															
	FIRST			727	38.40		12	0.63		38	2.01		22	1.16		129	6.81		694	36.66		26	1.37		191	10.09		54	2.85		1893
	SECOND			4	33.33			Excluded		1	8.33		0	0.00		0	0.00		4	33.33		1	8.33		2	16.67		0	0.00		12
		TOTAL		731	38.62					39	2.06		22	1.16		129	6.81		698	36.87		27	1.43		193	10.20		54	2.85		1893
	THIRD			1	4.55					12	54.55			Excluded		2	9.09		4	18.18		2	9.09		1	4.55		0	0.00		22
		TOTAL		732	38.67					51	2.69					131	6.92		702	37.08		29	1.53		194	10.25		54	2.85		1893
	FOURTH			4	7.41					3	5.56					1	1.85		41	75.93		0	0.00		5	9.26			Excluded		54
		TOTAL		736	38.88					54	2.85					132	6.97		743	39.25		29	1.53		199	10.51					1893
	FIFTH			9	16.67						Excluded					10	18.52		8	14.81		20	37.04		7	12.96					54
		TOTAL		745	39.36											142	7.50		751	39.67		49	2.59		206	10.88					1893
	SIXTH			14	28.57											6	12.24		20	40.82			Excluded		9	18.37					49
		TOTAL		759	40.10											148	7.82		771	40.73					215	11.36					1893
	SEVENTH			38	25.68												Excluded		24	16.22					86	58.11					148
		TOTAL		797	42.10														795	42.00					301	15.90					1893
	EIGHTH			242	80.40														59	19.60						Excluded					301
		TOTAL		1039	54.89														854	45.11											1893
				Elected																											
																															
Bendigo East                                                   																															
	FIRST			341	48.92		10	1.43		3	0.43		5	0.72		19	2.73		270	38.74		13	1.87		20	2.87		16	2.30		697
	SECOND			3	30.00			Excluded		3	30.00		1	10.00		0	0.00		1	10.00		1	10.00		1	10.00		0	0.00		10
		TOTAL		344	49.35					6	0.86		6	0.86		19	2.73		271	38.88		14	2.01		21	3.01		16	2.30		697
	THIRD			2	33.33					3	50.00			Excluded		0	0.00		1	16.67		0	0.00		0	0.00		0	0.00		6
		TOTAL		346	49.64					9	1.29					19	2.73		272	39.02		14	2.01		21	3.01		16	2.30		697
	FOURTH			5	31.25					0	0.00					0	0.00		9	56.25		1	6.25		1	6.25			Excluded		16
		TOTAL		351	50.36					9	1.29					19	2.73		281	40.32		15	2.15		22	3.16					697
	FIFTH			2	22.22						Excluded					2	22.22		0	0.00		3	33.33		2	22.22					9
		TOTAL		353	50.65											21	3.01		281	40.32		18	2.58		24	3.44					697
	SIXTH			3	16.67											5	27.78		6	33.33			Excluded		4	22.22					18
		TOTAL		356	51.08											26	3.73		287	41.18					28	4.02					697
	SEVENTH			9	34.62												Excluded		6	23.08					11	42.31					26
		TOTAL		365	52.37														293	42.04					39	5.60					697
	EIGHTH			29	74.36														10	25.64						Excluded					39
		TOTAL		394	56.53														303	43.47											697
				Elected																											
																															
Bendigo North                                                  																															
	FIRST			466	55.81		8	0.96		9	1.08		3	0.36		20	2.40		269	32.22		18	2.16		31	3.71		11	1.32		835
	SECOND			2	25.00			Excluded		1	12.50		0	0.00		0	0.00		4	50.00		0	0.00		1	12.50		0	0.00		8
		TOTAL		468	56.05					10	1.20		3	0.36		20	2.40		273	32.69		18	2.16		32	3.83		11	1.32		835
	THIRD			1	33.33					0	0.00			Excluded		1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		3
		TOTAL		469	56.17					10	1.20					21	2.51		273	32.69		18	2.16		33	3.95		11	1.32		835
	FOURTH			0	0.00					0	0.00					0	0.00		10	90.91		0	0.00		1	9.09			Excluded		11
		TOTAL		469	56.17					10	1.20					21	2.51		283	33.89		18	2.16		34	4.07					835
	FIFTH			2	20.00						Excluded					2	20.00		1	10.00		4	40.00		1	10.00					10
		TOTAL		471	56.41											23	2.75		284	34.01		22	2.63		35	4.19					835
	SIXTH			6	27.27											1	4.55		13	59.09			Excluded		2	9.09					22
		TOTAL		477	57.13											24	2.87		297	35.57					37	4.43					835
	SEVENTH			15	62.50												Excluded		1	4.17					8	33.33					24
		TOTAL		492	58.92														298	35.69					45	5.39					835
	EIGHTH			37	82.22														8	17.78						Excluded					45
		TOTAL		529	63.35														306	36.65											835
				Elected																											
																															
Big Hill                                                       																															
	FIRST			184	36.65		6	1.20		4	0.80		9	1.79		10	1.99		229	45.62		12	2.39		29	5.78		19	3.78		502
	SECOND			4	66.67			Excluded		0	0.00		0	0.00		0	0.00		1	16.67		0	0.00		1	16.67		0	0.00		6
		TOTAL		188	37.45					4	0.80		9	1.79		10	1.99		230	45.82		12	2.39		30	5.98		19	3.78		502
	THIRD			1	11.11					5	55.56			Excluded		0	0.00		2	22.22		1	11.11		0	0.00		0	0.00		9
		TOTAL		189	37.65					9	1.79					10	1.99		232	46.22		13	2.59		30	5.98		19	3.78		502
	FOURTH			1	5.26					0	0.00					0	0.00		13	68.42		2	10.53		3	15.79			Excluded		19
		TOTAL		190	37.85					9	1.79					10	1.99		245	48.80		15	2.99		33	6.57					502
	FIFTH			0	0.00						Excluded					2	22.22		4	44.44		2	22.22		1	11.11					9
		TOTAL		190	37.85											12	2.39		249	49.60		17	3.39		34	6.77					502
	SIXTH			4	23.53											3	17.65		8	47.06			Excluded		2	11.76					17
		TOTAL		194	38.65											15	2.99		257	51.20					36	7.17					502
	SEVENTH			5	33.33												Excluded		5	33.33					5	33.33					15
		TOTAL		199	39.64														262	52.19					41	8.17					502
	EIGHTH			27	65.85														14	34.15						Excluded					41
		TOTAL		226	45.02														276	54.98											502
				Elected																											
																															
Bowenvale                                                      																															
	FIRST			106	43.62		1	0.41		2	0.82		2	0.82		5	2.06		117	48.15		7	2.88		2	0.82		1	0.41		243
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		107	44.03					2	0.82		2	0.82		5	2.06		117	48.15		7	2.88		2	0.82		1	0.41		243
	THIRD			0	0.00					0	0.00			Excluded		0	0.00		0	0.00		2	100.00		0	0.00		0	0.00		2
		TOTAL		107	44.03					2	0.82					5	2.06		117	48.15		9	3.70		2	0.82		1	0.41		243
	FOURTH			0	0.00					0	0.00					0	0.00		1	100.00		0	0.00		0	0.00			Excluded		1
		TOTAL		107	44.03					2	0.82					5	2.06		118	48.56		9	3.70		2	0.82					243
	FIFTH			1	50.00						Excluded					0	0.00		0	0.00		0	0.00		1	50.00					2
		TOTAL		108	44.44											5	2.06		118	48.56		9	3.70		3	1.23					243
	SIXTH			3	33.33											0	0.00		2	22.22			Excluded		4	44.44					9
		TOTAL		111	45.68											5	2.06		120	49.38					7	2.88					243
	SEVENTH			3	60.00												Excluded		1	20.00					1	20.00					5
		TOTAL		114	46.91														121	49.79					8	3.29					243
	EIGHTH			4	50.00														4	50.00						Excluded					8
		TOTAL		118	48.56														125	51.44											243
				Elected																											
																															
Bridgewater                                                    																															
	FIRST			116	27.42		2	0.47		20	4.73		5	1.18		10	2.36		235	55.56		12	2.84		10	2.36		13	3.07		423
	SECOND			0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL		116	27.42					21	4.96		5	1.18		10	2.36		235	55.56		12	2.84		10	2.36		14	3.31		423
	THIRD			0	0.00					1	20.00			Excluded		0	0.00		3	60.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		116	27.42					22	5.20					10	2.36		238	56.26		13	3.07		10	2.36		14	3.31		423
	FOURTH			0	0.00					1	7.14					0	0.00		13	92.86		0	0.00		0	0.00			Excluded		14
		TOTAL		116	27.42					23	5.44					10	2.36		251	59.34		13	3.07		10	2.36					423
	FIFTH			7	30.43						Excluded					0	0.00		2	8.70		12	52.17		2	8.70					23
		TOTAL		123	29.08											10	2.36		253	59.81		25	5.91		12	2.84					423
	SIXTH			6	24.00											3	12.00		15	60.00			Excluded		1	4.00					25
		TOTAL		129	30.50											13	3.07		268	63.36					13	3.07					423
	SEVENTH			3	23.08												Excluded		3	23.08					7	53.85					13
		TOTAL		132	31.21														271	64.07					20	4.73					423
	EIGHTH			13	65.00														7	35.00						Excluded					20
		TOTAL		145	34.28														278	65.72											423
				Elected																											
																															
California Gully                                               																															
	FIRST			576	53.83		26	2.43		16	1.50		8	0.75		27	2.52		308	28.79		37	3.46		38	3.55		34	3.18		1070
	SECOND			4	15.38			Excluded		2	7.69		2	7.69		0	0.00		17	65.38		1	3.85		0	0.00		0	0.00		26
		TOTAL		580	54.21					18	1.68		10	0.93		27	2.52		325	30.37		38	3.55		38	3.55		34	3.18		1070
	THIRD			1	10.00					4	40.00			Excluded		1	10.00		1	10.00		3	30.00		0	0.00		0	0.00		10
		TOTAL		581	54.30					22	2.06					28	2.62		326	30.47		41	3.83		38	3.55		34	3.18		1070
	FOURTH			2	5.88					3	8.82					1	2.94		25	73.53		3	8.82		0	0.00			Excluded		34
		TOTAL		583	54.49					25	2.34					29	2.71		351	32.80		44	4.11		38	3.55					1070
	FIFTH			6	24.00						Excluded					8	32.00		4	16.00		3	12.00		4	16.00					25
		TOTAL		589	55.05											37	3.46		355	33.18		47	4.39		42	3.93					1070
	SIXTH			16	34.04											6	12.77		15	31.91			Excluded		10	21.28					47
		TOTAL		605	56.54											43	4.02		370	34.58					52	4.86					1070
	SEVENTH			19	44.19												Excluded		10	23.26					14	32.56					43
		TOTAL		624	58.32														380	35.51					66	6.17					1070
	EIGHTH			45	68.18														21	31.82						Excluded					66
		TOTAL		669	62.52														401	37.48											1070
				Elected																											
																															
Campbells Creek                                                																															
	FIRST			439	43.68		7	0.70		9	0.90		27	2.69		23	2.29		338	33.63		40	3.98		80	7.96		42	4.18		1005
	SECOND			2	28.57			Excluded		0	0.00		0	0.00		0	0.00		4	57.14		0	0.00		0	0.00		1	14.29		7
		TOTAL		441	43.88					9	0.90		27	2.69		23	2.29		342	34.03		40	3.98		80	7.96		43	4.28		1005
	THIRD			2	7.41					13	48.15			Excluded		1	3.70		4	14.81		5	18.52		2	7.41		0	0.00		27
		TOTAL		443	44.08					22	2.19					24	2.39		346	34.43		45	4.48		82	8.16		43	4.28		1005
	FOURTH			4	9.30					1	2.33					1	2.33		34	79.07		0	0.00		3	6.98			Excluded		43
		TOTAL		447	44.48					23	2.29					25	2.49		380	37.81		45	4.48		85	8.46					1005
	FIFTH			3	13.04						Excluded					2	8.70		11	47.83		5	21.74		2	8.70					23
		TOTAL		450	44.78											27	2.69		391	38.91		50	4.98		87	8.66					1005
	SIXTH			16	32.00											4	8.00		22	44.00			Excluded		8	16.00					50
		TOTAL		466	46.37											31	3.08		413	41.09					95	9.45					1005
	SEVENTH			16	51.61												Excluded		6	19.35					9	29.03					31
		TOTAL		482	47.96														419	41.69					104	10.35					1005
	EIGHTH			82	78.85														22	21.15						Excluded					104
		TOTAL		564	56.12														441	43.88											1005
				Elected																											
																															
Carisbrook                                                     																															
	FIRST			333	43.93		3	0.40		8	1.06		11	1.45		11	1.45		347	45.78		26	3.43		16	2.11		3	0.40		758
	SECOND			1	33.33			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		334	44.06					9	1.19		11	1.45		12	1.58		347	45.78		26	3.43		16	2.11		3	0.40		758
	THIRD			1	9.09					8	72.73			Excluded		0	0.00		0	0.00		2	18.18		0	0.00		0	0.00		11
		TOTAL		335	44.20					17	2.24					12	1.58		347	45.78		28	3.69		16	2.11		3	0.40		758
	FOURTH			0	0.00					0	0.00					0	0.00		2	66.67		0	0.00		1	33.33			Excluded		3
		TOTAL		335	44.20					17	2.24					12	1.58		349	46.04		28	3.69		17	2.24					758
	FIFTH			5	29.41						Excluded					1	5.88		7	41.18		4	23.53		0	0.00					17
		TOTAL		340	44.85											13	1.72		356	46.97		32	4.22		17	2.24					758
	SIXTH			9	28.13											4	12.50		13	40.63			Excluded		6	18.75					32
		TOTAL		349	46.04											17	2.24		369	48.68					23	3.03					758
	SEVENTH			5	29.41												Excluded		4	23.53					8	47.06					17
		TOTAL		354	46.70														373	49.21					31	4.09					758
	EIGHTH			17	54.84														14	45.16						Excluded					31
		TOTAL		371	48.94														387	51.06											758
				Elected																											
																															
Castlemaine                                                    																															
	FIRST			1057	44.69		29	1.23		30	1.27		36	1.52		72	3.04		734	31.04		50	2.11		297	12.56		60	2.54		2365
	SECOND			8	27.59			Excluded		1	3.45		1	3.45		0	0.00		13	44.83		1	3.45		2	6.90		3	10.34		29
		TOTAL		1065	45.03					31	1.31		37	1.56		72	3.04		747	31.59		51	2.16		299	12.64		63	2.66		2365
	THIRD			9	24.32					12	32.43			Excluded		3	8.11		8	21.62		5	13.51		0	0.00		0	0.00		37
		TOTAL		1074	45.41					43	1.82					75	3.17		755	31.92		56	2.37		299	12.64		63	2.66		2365
	FOURTH			6	9.52					3	4.76					1	1.59		49	77.78		1	1.59		3	4.76			Excluded		63
		TOTAL		1080	45.67					46	1.95					76	3.21		804	34.00		57	2.41		302	12.77					2365
	FIFTH			9	19.57						Excluded					7	15.22		11	23.91		14	30.43		5	10.87					46
		TOTAL		1089	46.05											83	3.51		815	34.46		71	3.00		307	12.98					2365
	SIXTH			27	38.03											5	7.04		26	36.62			Excluded		13	18.31					71
		TOTAL		1116	47.19											88	3.72		841	35.56					320	13.53					2365
	SEVENTH			39	44.32												Excluded		20	22.73					29	32.95					88
		TOTAL		1155	48.84														861	36.41					349	14.76					2365
	EIGHTH			318	91.12														31	8.88						Excluded					349
		TOTAL		1473	62.28														892	37.72											2365
				Elected																											
																															
Castlemaine North                                              																															
	FIRST			662	47.69		16	1.15		11	0.79		26	1.87		35	2.52		417	30.04		32	2.31		135	9.73		54	3.89		1388
	SECOND			10	62.50			Excluded		0	0.00		0	0.00		1	6.25		2	12.50		0	0.00		2	12.50		1	6.25		16
		TOTAL		672	48.41					11	0.79		26	1.87		36	2.59		419	30.19		32	2.31		137	9.87		55	3.96		1388
	THIRD			0	0.00					17	65.38			Excluded		1	3.85		4	15.38		1	3.85		2	7.69		1	3.85		26
		TOTAL		672	48.41					28	2.02					37	2.67		423	30.48		33	2.38		139	10.01		56	4.03		1388
	FOURTH			8	14.29					2	3.57					2	3.57		39	69.64		2	3.57		3	5.36			Excluded		56
		TOTAL		680	48.99					30	2.16					39	2.81		462	33.29		35	2.52		142	10.23					1388
	FIFTH			2	6.67						Excluded					6	20.00		14	46.67		7	23.33		1	3.33					30
		TOTAL		682	49.14											45	3.24		476	34.29		42	3.03		143	10.30					1388
	SIXTH			11	26.19											2	4.76		24	57.14			Excluded		5	11.90					42
		TOTAL		693	49.93											47	3.39		500	36.02					148	10.66					1388
	SEVENTH			20	42.55												Excluded		5	10.64					22	46.81					47
		TOTAL		713	51.37														505	36.38					170	12.25					1388
	EIGHTH			154	90.59														16	9.41						Excluded					170
		TOTAL		867	62.46														521	37.54											1388
				Elected																											
																															
Central Deborah                                                																															
	FIRST			281	39.91		2	0.28		6	0.85		4	0.57		32	4.55		295	41.90		19	2.70		55	7.81		10	1.42		704
	SECOND			0	0.00			Excluded		0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		281	39.91					6	0.85		5	0.71		32	4.55		296	42.05		19	2.70		55	7.81		10	1.42		704
	THIRD			0	0.00					2	40.00			Excluded		0	0.00		2	40.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		281	39.91					8	1.14					32	4.55		298	42.33		20	2.84		55	7.81		10	1.42		704
	FOURTH			0	0.00					1	10.00					0	0.00		8	80.00		0	0.00		1	10.00			Excluded		10
		TOTAL		281	39.91					9	1.28					32	4.55		306	43.47		20	2.84		56	7.95					704
	FIFTH			3	33.33						Excluded					1	11.11		4	44.44		1	11.11		0	0.00					9
		TOTAL		284	40.34											33	4.69		310	44.03		21	2.98		56	7.95					704
	SIXTH			4	19.05											4	19.05		6	28.57			Excluded		7	33.33					21
		TOTAL		288	40.91											37	5.26		316	44.89					63	8.95					704
	SEVENTH			15	40.54												Excluded		8	21.62					14	37.84					37
		TOTAL		303	43.04														324	46.02					77	10.94					704
	EIGHTH			63	81.82														14	18.18						Excluded					77
		TOTAL		366	51.99														338	48.01											704
				Elected																											
																															
Chewton                                                        																															
	FIRST			232	48.95		4	0.84		4	0.84		7	1.48		14	2.95		123	25.95		12	2.53		59	12.45		19	4.01		474
	SECOND			1	25.00			Excluded		0	0.00		0	0.00		0	0.00		1	25.00		1	25.00		0	0.00		1	25.00		4
		TOTAL		233	49.16					4	0.84		7	1.48		14	2.95		124	26.16		13	2.74		59	12.45		20	4.22		474
	THIRD			3	42.86					0	0.00			Excluded		1	14.29		1	14.29		0	0.00		2	28.57		0	0.00		7
		TOTAL		236	49.79					4	0.84					15	3.16		125	26.37		13	2.74		61	12.87		20	4.22		474
	FOURTH			2	10.00					1	5.00					1	5.00		12	60.00		1	5.00		3	15.00			Excluded		20
		TOTAL		238	50.21					5	1.05					16	3.38		137	28.90		14	2.95		64	13.50					474
	FIFTH			1	20.00						Excluded					0	0.00		2	40.00		0	0.00		2	40.00					5
		TOTAL		239	50.42											16	3.38		139	29.32		14	2.95		66	13.92					474
	SIXTH			7	50.00											1	7.14		5	35.71			Excluded		1	7.14					14
		TOTAL		246	51.90											17	3.59		144	30.38					67	14.14					474
	SEVENTH			3	17.65												Excluded		2	11.76					12	70.59					17
		TOTAL		249	52.53														146	30.80					79	16.67					474
	EIGHTH			67	84.81														12	15.19						Excluded					79
		TOTAL		316	66.67														158	33.33											474
				Elected																											
																															
Comet Hill                                                     																															
	FIRST			797	52.30		47	3.08		29	1.90		18	1.18		26	1.71		508	33.33		26	1.71		50	3.28		23	1.51		1524
	SECOND			7	14.89			Excluded		4	8.51		0	0.00		1	2.13		30	63.83		2	4.26		1	2.13		2	4.26		47
		TOTAL		804	52.76					33	2.17		18	1.18		27	1.77		538	35.30		28	1.84		51	3.35		25	1.64		1524
	THIRD			6	33.33					5	27.78			Excluded		1	5.56		3	16.67		2	11.11		1	5.56		0	0.00		18
		TOTAL		810	53.15					38	2.49					28	1.84		541	35.50		30	1.97		52	3.41		25	1.64		1524
	FOURTH			0	0.00					0	0.00					0	0.00		17	68.00		2	8.00		6	24.00			Excluded		25
		TOTAL		810	53.15					38	2.49					28	1.84		558	36.61		32	2.10		58	3.81					1524
	FIFTH			5	13.16						Excluded					7	18.42		7	18.42		17	44.74		2	5.26					38
		TOTAL		815	53.48											35	2.30		565	37.07		49	3.22		60	3.94					1524
	SIXTH			14	28.57											9	18.37		18	36.73			Excluded		8	16.33					49
		TOTAL		829	54.40											44	2.89		583	38.25					68	4.46					1524
	SEVENTH			12	27.27												Excluded		8	18.18					24	54.55					44
		TOTAL		841	55.18														591	38.78					92	6.04					1524
	EIGHTH			57	61.96														35	38.04						Excluded					92
		TOTAL		898	58.92														626	41.08											1524
				Elected																											
																															
Dunolly                                                        																															
	FIRST			312	40.73		9	1.17		11	1.44		23	3.00		14	1.83		312	40.73		45	5.87		26	3.39		14	1.83		766
	SECOND			2	22.22			Excluded		1	11.11		1	11.11		0	0.00		3	33.33		1	11.11		1	11.11		0	0.00		9
		TOTAL		314	40.99					12	1.57		24	3.13		14	1.83		315	41.12		46	6.01		27	3.52		14	1.83		766
	THIRD			0	0.00					13	54.17			Excluded		0	0.00		2	8.33		5	20.83		2	8.33		2	8.33		24
		TOTAL		314	40.99					25	3.26					14	1.83		317	41.38		51	6.66		29	3.79		16	2.09		766
	FOURTH			0	0.00					0	0.00					1	6.25		10	62.50		3	18.75		2	12.50			Excluded		16
		TOTAL		314	40.99					25	3.26					15	1.96		327	42.69		54	7.05		31	4.05					766
	FIFTH			6	24.00						Excluded					0	0.00		9	36.00		7	28.00		3	12.00					25
		TOTAL		320	41.78											15	1.96		336	43.86		61	7.96		34	4.44					766
	SIXTH			17	27.87											8	13.11		21	34.43			Excluded		15	24.59					61
		TOTAL		337	43.99											23	3.00		357	46.61					49	6.40					766
	SEVENTH			7	30.43												Excluded		2	8.70					14	60.87					23
		TOTAL		344	44.91														359	46.87					63	8.22					766
	EIGHTH			45	71.43														18	28.57						Excluded					63
		TOTAL		389	50.78														377	49.22											766
				Elected																											
																															
Eaglehawk                                                      																															
	FIRST			1293	49.90		22	0.85		65	2.51		36	1.39		81	3.13		835	32.23		79	3.05		109	4.21		71	2.74		2591
	SECOND			9	40.91			Excluded		1	4.55		1	4.55		3	13.64		7	31.82		1	4.55		0	0.00		0	0.00		22
		TOTAL		1302	50.25					66	2.55		37	1.43		84	3.24		842	32.50		80	3.09		109	4.21		71	2.74		2591
	THIRD			5	13.51					17	45.95			Excluded		2	5.41		5	13.51		6	16.22		2	5.41		0	0.00		37
		TOTAL		1307	50.44					83	3.20					86	3.32		847	32.69		86	3.32		111	4.28		71	2.74		2591
	FOURTH			9	12.68					6	8.45					5	7.04		43	60.56		1	1.41		7	9.86			Excluded		71
		TOTAL		1316	50.79					89	3.43					91	3.51		890	34.35		87	3.36		118	4.55					2591
	FIFTH			18	20.22						Excluded					9	10.11		19	21.35		37	41.57		6	6.74					89
		TOTAL		1334	51.49											100	3.86		909	35.08		124	4.79		124	4.79					2591
	SIXTH			37	29.84											13	10.48		64	51.61			Excluded		10	8.06					124
		TOTAL		1371	52.91											113	4.36		973	37.55					134	5.17					2591
	SEVENTH			19	16.81												Excluded		28	24.78					66	58.41					113
		TOTAL		1390	53.65														1001	38.63					200	7.72					2591
	EIGHTH			166	83.00														34	17.00						Excluded					200
		TOTAL		1556	60.05														1035	39.95											2591
				Elected																											
																															
Eaglehawk North                                                																															
	FIRST			230	54.12		4	0.94		8	1.88		7	1.65		19	4.47		120	28.24		11	2.59		17	4.00		9	2.12		425
	SECOND			2	50.00			Excluded		1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		232	54.59					9	2.12		7	1.65		19	4.47		121	28.47		11	2.59		17	4.00		9	2.12		425
	THIRD			0	0.00					4	57.14			Excluded		0	0.00		1	14.29		1	14.29		1	14.29		0	0.00		7
		TOTAL		232	54.59					13	3.06					19	4.47		122	28.71		12	2.82		18	4.24		9	2.12		425
	FOURTH			0	0.00					0	0.00					1	11.11		4	44.44		2	22.22		2	22.22			Excluded		9
		TOTAL		232	54.59					13	3.06					20	4.71		126	29.65		14	3.29		20	4.71					425
	FIFTH			4	30.77						Excluded					1	7.69		1	7.69		4	30.77		3	23.08					13
		TOTAL		236	55.53											21	4.94		127	29.88		18	4.24		23	5.41					425
	SIXTH			4	22.22											2	11.11		7	38.89			Excluded		5	27.78					18
		TOTAL		240	56.47											23	5.41		134	31.53					28	6.59					425
	SEVENTH			10	43.48												Excluded		2	8.70					11	47.83					23
		TOTAL		250	58.82														136	32.00					39	9.18					425
	EIGHTH			27	69.23														12	30.77						Excluded					39
		TOTAL		277	65.18														148	34.82											425
				Elected																											
																															
Elmore                                                         																															
	FIRST			184	33.03		2	0.36		4	0.72		4	0.72		6	1.08		334	59.96		8	1.44		6	1.08		9	1.62		557
	SECOND			1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		2
		TOTAL		185	33.21					4	0.72		4	0.72		6	1.08		334	59.96		8	1.44		6	1.08		10	1.80		557
	THIRD			0	0.00					2	50.00			Excluded		0	0.00		1	25.00		1	25.00		0	0.00		0	0.00		4
