House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Gellibrand																				
				TANN			ROXON			RICHARDS			FINEY			JORQUERA				
		TOTAL		459	22.40		1134	55.34		184	8.98		272	13.27					2049	
	THIRD			15	8.15		51	27.72			Excluded		118	64.13					184	
		TOTAL		474	23.13		1185	57.83					390	19.03					2049	
	FOURTH			56	14.36		334	85.64						Excluded					390	
		TOTAL		530	25.87		1519	74.13											2049	
							Elected													
																				
South Kingsville                                               																				
	FIRST			297	23.89		755	60.74		107	8.61		67	5.39		17	1.37		1243	
	SECOND			4	23.53		2	11.76		2	11.76		9	52.94			Excluded		17	
		TOTAL		301	24.22		757	60.90		109	8.77		76	6.11					1243	
	THIRD			4	3.67		29	26.61			Excluded		76	69.72					109	
		TOTAL		305	24.54		786	63.23					152	12.23					1243	
	FOURTH			38	25.00		114	75.00						Excluded					152	
		TOTAL		343	27.59		900	72.41											1243	
							Elected													
																				
Spotswood                                                      																				
	FIRST			315	28.02		629	55.96		108	9.61		65	5.78		7	0.62		1124	
	SECOND			1	14.29		0	0.00		1	14.29		5	71.43			Excluded		7	
		TOTAL		316	28.11		629	55.96		109	9.70		70	6.23					1124	
	THIRD			16	14.68		35	32.11			Excluded		58	53.21					109	
		TOTAL		332	29.54		664	59.07					128	11.39					1124	
	FOURTH			27	21.09		101	78.91						Excluded					128	
		TOTAL		359	31.94		765	68.06											1124	
							Elected													
																				
Sunshine                                                       																				
	FIRST			344	22.29		1003	65.00		112	7.26		59	3.82		25	1.62		1543	
	SECOND			0	0.00		8	32.00		2	8.00		15	60.00			Excluded		25	
		TOTAL		344	22.29		1011	65.52		114	7.39		74	4.80					1543	
	THIRD			13	11.40		30	26.32			Excluded		71	62.28					114	
		TOTAL		357	23.14		1041	67.47					145	9.40					1543	
	FOURTH			24	16.55		121	83.45						Excluded					145	
		TOTAL		381	24.69		1162	75.31											1543	
							Elected													
																				
Sunshine North                                                 																				
	FIRST			628	20.50		2152	70.26		144	4.70		104	3.40		35	1.14		3063	
	SECOND			1	2.86		4	11.43		2	5.71		28	80.00			Excluded		35	
		TOTAL		629	20.54		2156	70.39		146	4.77		132	4.31					3063	
	THIRD			23	15.75		43	29.45			Excluded		80	54.79					146	
		TOTAL		652	21.29		2199	71.79					212	6.92					3063	
	FOURTH			30	14.15		182	85.85						Excluded					212	
		TOTAL		682	22.27		2381	77.73											3063	
							Elected													
																				
Sunvale                                                        																				
	FIRST			553	26.15		1315	62.17		149	7.04		64	3.03		34	1.61		2115	
	SECOND			0	0.00		9	26.47		4	11.76		21	61.76			Excluded		34	
		TOTAL		553	26.15		1324	62.60		153	7.23		85	4.02					2115	
	THIRD			20	13.07		44	28.76			Excluded		89	58.17					153	
		TOTAL		573	27.09		1368	64.68					174	8.23					2115	
	FOURTH			40	22.99		134	77.01						Excluded					174	
		TOTAL		613	28.98		1502	71.02											2115	
							Elected													
																				
Tottenham North                                                																				
	FIRST			212	17.39		933	76.54		36	2.95		27	2.21		11	0.90		1219	
	SECOND			2	18.18		3	27.27		3	27.27		3	27.27			Excluded		11	
		TOTAL		214	17.56		936	76.78		39	3.20		30	2.46					1219	
	THIRD			2	5.13		22	56.41			Excluded		15	38.46					39	
		TOTAL		216	17.72		958	78.59					45	3.69					1219	
	FOURTH			12	26.67		33	73.33						Excluded					45	
		TOTAL		228	18.70		991	81.30											1219	
							Elected													
																				
Western Hospital                                               																				
	FIRST			85	23.16		242	65.94		16	4.36		18	4.90		6	1.63		367	
	SECOND			1	16.67		3	50.00		1	16.67		1	16.67			Excluded		6	
		TOTAL		86	23.43		245	66.76		17	4.63		19	5.18					367	
	THIRD			1	5.88		6	35.29			Excluded		10	58.82					17	
		TOTAL		87	23.71		251	68.39					29	7.90					367	
	FOURTH			4	13.79		25	86.21						Excluded					29	
		TOTAL		91	24.80		276	75.20											367	
							Elected													
																				
Williamstown                                                   																				
	FIRST			792	35.14		1060	47.03		153	6.79		236	10.47		13	0.58		2254	
	SECOND			2	15.38		3	23.08		0	0.00		8	61.54			Excluded		13	
		TOTAL		794	35.23		1063	47.16		153	6.79		244	10.83					2254	
	THIRD			16	10.46		41	26.80			Excluded		96	62.75					153	
		TOTAL		810	35.94		1104	48.98					340	15.08					2254	
	FOURTH			48	14.12		292	85.88						Excluded					340	
		TOTAL		858	38.07		1396	61.93											2254	
							Elected													
																				
Williamstown North                                             																				
	FIRST			464	34.27		571	42.17		141	10.41		170	12.56		8	0.59		1354	
	SECOND			0	0.00		1	12.50		1	12.50		6	75.00			Excluded		8	
		TOTAL		464	34.27		572	42.25		142	10.49		176	13.00					1354	
	THIRD			9	6.34		46	32.39			Excluded		87	61.27					142	
		TOTAL		473	34.93		618	45.64					263	19.42					1354	
	FOURTH			48	18.25		215	81.75						Excluded					263	
		TOTAL		521	38.48		833	61.52											1354	
							Elected													
																				
Williamstown South                                             																				
	FIRST			793	32.73		1126	46.47		169	6.97		308	12.71		27	1.11		2423	
	SECOND			4	14.81		1	3.70		4	14.81		18	66.67			Excluded		27	
		TOTAL		797	32.89		1127	46.51		173	7.14		326	13.45					2423	
	THIRD			24	13.87		41	23.70			Excluded		108	62.43					173	
		TOTAL		821	33.88		1168	48.20					434	17.91					2423	
	FOURTH			76	17.51		358	82.49						Excluded					434	
		TOTAL		897	37.02		1526	62.98											2423	
							Elected													
																				
Williamstown West                                              																				
	FIRST			994	41.21		1040	43.12		176	7.30		186	7.71		16	0.66		2412	
	SECOND			2	12.50		2	12.50		2	12.50		10	62.50			Excluded		16	
		TOTAL		996	41.29		1042	43.20		178	7.38		196	8.13					2412	
	THIRD			34	19.10		43	24.16			Excluded		101	56.74					178	
		TOTAL		1030	42.70		1085	44.98					297	12.31					2412	
	FOURTH			78	26.26		219	73.74						Excluded					297	
		TOTAL		1108	45.94		1304	54.06											2412	
							Elected													
																				
Yarraville                                                     																				
	FIRST			344	23.82		807	55.89		132	9.14		142	9.83		19	1.32		1444	
	SECOND			3	15.79		4	21.05		1	5.26		11	57.89			Excluded		19	
		TOTAL		347	24.03		811	56.16		133	9.21		153	10.60					1444	
	THIRD			11	8.27		39	29.32			Excluded		83	62.41					133	
		TOTAL		358	24.79		850	58.86					236	16.34					1444	
	FOURTH			43	18.22		193	81.78						Excluded					236	
		TOTAL		401	27.77		1043	72.23											1444	
							Elected													
																				
Yarraville Central                                             																				
	FIRST			462	23.16		1065	53.38		190	9.52		253	12.68		25	1.25		1995	
	SECOND			5	20.00		3	12.00		3	12.00		14	56.00			Excluded		25	
		TOTAL		467	23.41		1068	53.53		193	9.67		267	13.38					1995	
	THIRD			24	12.44		48	24.87			Excluded		121	62.69					193	
		TOTAL		491	24.61		1116	55.94					388	19.45					1995	
	FOURTH			47	12.11		341	87.89						Excluded					388	
		TOTAL		538	26.97		1457	73.03											1995	
							Elected													
																				
Yarraville South                                               																				
	FIRST			398	27.13		861	58.69		94	6.41		83	5.66		31	2.11		1467	
	SECOND			2	6.45		1	3.23		2	6.45		26	83.87			Excluded		31	
		TOTAL		400	27.27		862	58.76		96	6.54		109	7.43					1467	
	THIRD			9	9.38		25	26.04			Excluded		62	64.58					96	
		TOTAL		409	27.88		887	60.46					171	11.66					1467	
	FOURTH			32	18.71		139	81.29						Excluded					171	
		TOTAL		441	30.06		1026	69.94											1467	
							Elected													
																				
Special Hospital Team 1                                        																				
	FIRST			104	40.00		141	54.23		3	1.15		11	4.23		1	0.38		260	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		105	40.38		141	54.23		3	1.15		11	4.23					260	
	THIRD			0	0.00		1	33.33			Excluded		2	66.67					3	
		TOTAL		105	40.38		142	54.62					13	5.00					260	
	FOURTH			6	46.15		7	53.85						Excluded					13	
		TOTAL		111	42.69		149	57.31											260	
							Elected													
																				
ABSENT																				
	FIRST			1151	25.73		2352	52.58		442	9.88		452	10.11		76	1.70		4473	
	SECOND			20	26.32		9	11.84		9	11.84		38	50.00			Excluded		76	
		TOTAL		1171	26.18		2361	52.78		451	10.08		490	10.95					4473	
	THIRD			75	16.63		200	44.35			Excluded		176	39.02					451	
		TOTAL		1246	27.86		2561	57.25					666	14.89					4473	
	FOURTH			159	23.87		507	76.13						Excluded					666	
		TOTAL		1405	31.41		3068	68.59											4473	
							Elected													
																				
POSTAL																				
	FIRST			718	27.56		1703	65.37		104	3.99		65	2.50		15	0.58		2605	
	SECOND			1	6.67		1	6.67		5	33.33		8	53.33			Excluded		15	
		TOTAL		719	27.60		1704	65.41		109	4.18		73	2.80					2605	
	THIRD			21	19.27		45	41.28			Excluded		43	39.45					109	
		TOTAL		740	28.41		1749	67.14					116	4.45					2605	
	FOURTH			26	22.41		90	77.59						Excluded					116	
		TOTAL		766	29.40		1839	70.60											2605	
							Elected													
																				
PRE POLL																				
	FIRST			820	25.45		1935	60.06		249	7.73		173	5.37		45	1.40		3222	
	SECOND			6	13.33		6	13.33		2	4.44		31	68.89			Excluded		45	
		TOTAL		826	25.64		1941	60.24		251	7.79		204	6.33					3222	
	THIRD			54	21.51		87	34.66			Excluded		110	43.82					251	
		TOTAL		880	27.31		2028	62.94					314	9.75					3222	
	FOURTH			80	25.48		234	74.52						Excluded					314	
		TOTAL		960	29.80		2262	70.20											3222	
							Elected													
																				
PROVISIONAL																				
	FIRST			146	22.12		442	66.97		34	5.15		30	4.55		8	1.21		660	
	SECOND			0	0.00		1	12.50		2	25.00		5	62.50			Excluded		8	
		TOTAL		146	22.12		443	67.12		36	5.45		35	5.30					660	
	THIRD			7	19.44		14	38.89			Excluded		15	41.67					36	
		TOTAL		153	23.18		457	69.24					50	7.58					660	
	FOURTH			13	26.00		37	74.00						Excluded					50	
		TOTAL		166	25.15		494	74.85											660	
							Elected													
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
