House of Representatives - 2001 Election: Victoria																															
Distribution of Preferences 																															
By Polling Place																															
Calwell																															
				ABBOTTO			THEOPHANOUS			BOCHI			LIVESAY			VAMVAKINOU			YOHANNA			BARKER			DERVISH			BULLER			
		TOTAL														1708	45.95											2009	54.05		3717
																Elected															
																															
Keilor Downs                                                   																															
	FIRST			79	2.82		367	13.09		18	0.64		153	5.46		1376	49.07		8	0.29		80	2.85		32	1.14		691	24.64		2804
	SECOND			2	25.00		0	0.00		0	0.00		2	25.00		1	12.50			Excluded		1	12.50		1	12.50		1	12.50		8
		TOTAL		81	2.89		367	13.09		18	0.64		155	5.53		1377	49.11					81	2.89		33	1.18		692	24.68		2804
	THIRD			2	11.11		9	50.00			Excluded		1	5.56		3	16.67					1	5.56		2	11.11		0	0.00		18
		TOTAL		83	2.96		376	13.41					156	5.56		1380	49.22					82	2.92		35	1.25		692	24.68		2804
	FOURTH			5	14.29		10	28.57					3	8.57		5	14.29					8	22.86			Excluded		4	11.43		35
		TOTAL		88	3.14		386	13.77					159	5.67		1385	49.39					90	3.21					696	24.82		2804
	FIFTH			15	16.67		29	32.22					16	17.78		17	18.89						Excluded					13	14.44		90
		TOTAL		103	3.67		415	14.80					175	6.24		1402	50.00											709	25.29		2804
	SIXTH				Excluded		46	44.66					17	16.50		20	19.42											20	19.42		103
		TOTAL					461	16.44					192	6.85		1422	50.71											729	26.00		2804
	SEVENTH						76	39.58						Excluded		80	41.67											36	18.75		192
		TOTAL					537	19.15								1502	53.57											765	27.28		2804
	EIGHTH							Excluded								363	67.60											174	32.40		537
		TOTAL														1865	66.51											939	33.49		2804
																Elected															
																															
Meadow Fair                                                    																															
	FIRST			39	3.37		124	10.73		8	0.69		30	2.60		718	62.11		8	0.69		16	1.38		72	6.23		141	12.20		1156
	SECOND			3	37.50		2	25.00		0	0.00		0	0.00		1	12.50			Excluded		1	12.50		1	12.50		0	0.00		8
		TOTAL		42	3.63		126	10.90		8	0.69		30	2.60		719	62.20					17	1.47		73	6.31		141	12.20		1156
	THIRD			3	37.50		2	25.00			Excluded		0	0.00		1	12.50					0	0.00		0	0.00		2	25.00		8
		TOTAL		45	3.89		128	11.07					30	2.60		720	62.28					17	1.47		73	6.31		143	12.37		1156
	FOURTH			28	38.36		13	17.81					0	0.00		20	27.40					6	8.22			Excluded		6	8.22		73
		TOTAL		73	6.31		141	12.20					30	2.60		740	64.01					23	1.99					149	12.89		1156
	FIFTH			4	17.39		3	13.04					4	17.39		9	39.13						Excluded					3	13.04		23
		TOTAL		77	6.66		144	12.46					34	2.94		749	64.79											152	13.15		1156
	SIXTH				Excluded		50	64.94					6	7.79		17	22.08											4	5.19		77
		TOTAL					194	16.78					40	3.46		766	66.26											156	13.49		1156
	SEVENTH						16	40.00						Excluded		20	50.00											4	10.00		40
		TOTAL					210	18.17								786	67.99											160	13.84		1156
	EIGHTH							Excluded								159	75.71											51	24.29		210
		TOTAL														945	81.75											211	18.25		1156
																Elected															
																															
Meadow Heights                                                 																															
	FIRST			99	2.29		353	8.18		61	1.41		127	2.94		2646	61.31		69	1.60		87	2.02		401	9.29		473	10.96		4316
	SECOND			8	11.59		15	21.74		1	1.45		0	0.00		28	40.58			Excluded		6	8.70		6	8.70		5	7.25		69
		TOTAL		107	2.48		368	8.53		62	1.44		127	2.94		2674	61.96					93	2.15		407	9.43		478	11.08		4316
	THIRD			11	17.74		10	16.13			Excluded		3	4.84		8	12.90					5	8.06		23	37.10		2	3.23		62
		TOTAL		118	2.73		378	8.76					130	3.01		2682	62.14					98	2.27		430	9.96		480	11.12		4316
	FOURTH			132	30.70		62	14.42					28	6.51		117	27.21					35	8.14			Excluded		56	13.02		430
		TOTAL		250	5.79		440	10.19					158	3.66		2799	64.85					133	3.08					536	12.42		4316
	FIFTH			20	15.04		13	9.77					38	28.57		44	33.08						Excluded					18	13.53		133
		TOTAL		270	6.26		453	10.50					196	4.54		2843	65.87											554	12.84		4316
	SIXTH				Excluded		163	60.37					33	12.22		47	17.41											27	10.00		270
		TOTAL					616	14.27					229	5.31		2890	66.96											581	13.46		4316
	SEVENTH						69	30.13						Excluded		127	55.46											33	14.41		229
		TOTAL					685	15.87								3017	69.90											614	14.23		4316
	EIGHTH							Excluded								483	70.51											202	29.49		685
		TOTAL														3500	81.09											816	18.91		4316
																Elected															
																															
Melbourne (Calwell)                                            																															
	FIRST			8	9.41		10	11.76		1	1.18		8	9.41		31	36.47		0	0.00		5	5.88		1	1.18		21	24.71		85
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		8	9.41		10	11.76		1	1.18		8	9.41		31	36.47					5	5.88		1	1.18		21	24.71		85
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1
		TOTAL		8	9.41		11	12.94					8	9.41		31	36.47					5	5.88		1	1.18		21	24.71		85
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					1	100.00			Excluded		0	0.00		1
		TOTAL		8	9.41		11	12.94					8	9.41		31	36.47					6	7.06					21	24.71		85
	FIFTH			0	0.00		3	50.00					2	33.33		0	0.00						Excluded					1	16.67		6
		TOTAL		8	9.41		14	16.47					10	11.76		31	36.47											22	25.88		85
	SIXTH				Excluded		2	25.00					3	37.50		3	37.50											0	0.00		8
		TOTAL					16	18.82					13	15.29		34	40.00											22	25.88		85
	SEVENTH						5	38.46						Excluded		6	46.15											2	15.38		13
		TOTAL					21	24.71								40	47.06											24	28.24		85
	EIGHTH							Excluded								13	61.90											8	38.10		21
		TOTAL														53	62.35											32	37.65		85
																Elected															
																															
Melbourne Airport                                              																															
	FIRST			8	4.71		7	4.12		1	0.59		8	4.71		97	57.06		0	0.00		4	2.35		1	0.59		44	25.88		170
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		8	4.71		7	4.12		1	0.59		8	4.71		97	57.06					4	2.35		1	0.59		44	25.88		170
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00		1
		TOTAL		8	4.71		7	4.12					8	4.71		98	57.65					4	2.35		1	0.59		44	25.88		170
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00					1	100.00			Excluded		0	0.00		1
		TOTAL		8	4.71		7	4.12					8	4.71		98	57.65					5	2.94					44	25.88		170
	FIFTH			2	40.00		0	0.00					1	20.00		0	0.00						Excluded					2	40.00		5
		TOTAL		10	5.88		7	4.12					9	5.29		98	57.65											46	27.06		170
	SIXTH				Excluded		2	20.00					2	20.00		4	40.00											2	20.00		10
		TOTAL					9	5.29					11	6.47		102	60.00											48	28.24		170
	SEVENTH						3	27.27						Excluded		7	63.64											1	9.09		11
		TOTAL					12	7.06								109	64.12											49	28.82		170
	EIGHTH							Excluded								8	66.67											4	33.33		12
		TOTAL														117	68.82											53	31.18		170
																Elected															
																															
Monmia                                                         																															
	FIRST			137	3.51		451	11.55		21	0.54		137	3.51		2234	57.21		9	0.23		62	1.59		42	1.08		812	20.79		3905
	SECOND			1	11.11		0	0.00		1	11.11		0	0.00		2	22.22			Excluded		1	11.11		4	44.44		0	0.00		9
		TOTAL		138	3.53		451	11.55		22	0.56		137	3.51		2236	57.26					63	1.61		46	1.18		812	20.79		3905
	THIRD			3	13.64		3	13.64			Excluded		7	31.82		5	22.73					1	4.55		0	0.00		3	13.64		22
		TOTAL		141	3.61		454	11.63					144	3.69		2241	57.39					64	1.64		46	1.18		815	20.87		3905
	FOURTH			6	13.04		11	23.91					4	8.70		17	36.96					6	13.04			Excluded		2	4.35		46
		TOTAL		147	3.76		465	11.91					148	3.79		2258	57.82					70	1.79					817	20.92		3905
	FIFTH			9	12.86		14	20.00					22	31.43		14	20.00						Excluded					11	15.71		70
		TOTAL		156	3.99		479	12.27					170	4.35		2272	58.18											828	21.20		3905
	SIXTH				Excluded		81	51.92					27	17.31		36	23.08											12	7.69		156
		TOTAL					560	14.34					197	5.04		2308	59.10											840	21.51		3905
	SEVENTH						69	35.03						Excluded		77	39.09											51	25.89		197
		TOTAL					629	16.11								2385	61.08											891	22.82		3905
	EIGHTH							Excluded								437	69.48											192	30.52		629
		TOTAL														2822	72.27											1083	27.73		3905
																Elected															
																															
Oak Park                                                       																															
