House of Representatives - 2001 Election: Victoria																																									
Distribution of Preferences																																									
By Polling Place																																									
Gippsland																																									
				JAGO			FRESHWATER			MCCUBBIN			EVANS			BUCKLEY			THORPE			WILLIAMS			BOLITHO			TREASURE			MCGAURAN			ROBINSON			AITKEN				
		TOTAL																							93	29.43		32	10.13		179	56.65					12	3.80		316	
	TENTH																								5	41.67		4	33.33		3	25.00						Excluded		12	
		TOTAL																							98	31.01		36	11.39		182	57.59								316	
	ELEVENTH																								18	50.00			Excluded		18	50.00								36	
		TOTAL																							116	36.71					200	63.29								316	
																															Elected										
																																									
Arawata                                                        																																									
	FIRST			5	3.88		3	2.33		8	6.20		6	4.65		1	0.78		0	0.00		0	0.00		15	11.63		13	10.08		71	55.04		1	0.78		6	4.65		129	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		5	3.88		3	2.33		8	6.20		6	4.65		1	0.78		0	0.00					15	11.63		13	10.08		71	55.04		1	0.78		6	4.65		129	
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		6	4.65		3	2.33		8	6.20		6	4.65		1	0.78		0	0.00					15	11.63		13	10.08		71	55.04					6	4.65		129	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		6	4.65		3	2.33		8	6.20		6	4.65		1	0.78								15	11.63		13	10.08		71	55.04					6	4.65		129	
	FIFTH			0	0.00		0	0.00		0	0.00		1	100.00			Excluded								0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		6	4.65		3	2.33		8	6.20		7	5.43											15	11.63		13	10.08		71	55.04					6	4.65		129	
	SIXTH			0	0.00		1	14.29		0	0.00			Excluded											0	0.00		5	71.43		1	14.29					0	0.00		7	
		TOTAL		6	4.65		4	3.10		8	6.20														15	11.63		18	13.95		72	55.81					6	4.65		129	
	SEVENTH				Excluded		0	0.00		2	33.33														0	0.00		3	50.00		0	0.00					1	16.67		6	
		TOTAL					4	3.10		10	7.75														15	11.63		21	16.28		72	55.81					7	5.43		129	
	EIGHTH						0	0.00			Excluded														1	10.00		2	20.00		5	50.00					2	20.00		10	
		TOTAL					4	3.10																	16	12.40		23	17.83		77	59.69					9	6.98		129	
	NINTH							Excluded																	1	25.00		1	25.00		1	25.00					1	25.00		4	
		TOTAL																							17	13.18		24	18.60		78	60.47					10	7.75		129	
	TENTH																								4	40.00		1	10.00		5	50.00						Excluded		10	
		TOTAL																							21	16.28		25	19.38		83	64.34								129	
	ELEVENTH																								9	36.00			Excluded		16	64.00								25	
		TOTAL																							30	23.26					99	76.74								129	
																															Elected										
																																									
Bairnsdale                                                     																																									
	FIRST			31	1.61		97	5.04		98	5.10		116	6.03		38	1.98		42	2.18		14	0.73		510	26.52		92	4.78		749	38.95		21	1.09		115	5.98		1923	
	SECOND			5	35.71		2	14.29		0	0.00		1	7.14		2	14.29		1	7.14			Excluded		0	0.00		0	0.00		1	7.14		2	14.29		0	0.00		14	
		TOTAL		36	1.87		99	5.15		98	5.10		117	6.08		40	2.08		43	2.24					510	26.52		92	4.78		750	39.00		23	1.20		115	5.98		1923	
	THIRD			10	43.48		1	4.35		0	0.00		3	13.04		1	4.35		0	0.00					2	8.70		3	13.04		2	8.70			Excluded		1	4.35		23	
		TOTAL		46	2.39		100	5.20		98	5.10		120	6.24		41	2.13		43	2.24					512	26.63		95	4.94		752	39.11					116	6.03		1923	
	FOURTH			15	34.88		0	0.00		5	11.63		2	4.65		7	16.28			Excluded					4	9.30		3	6.98		2	4.65					5	11.63		43	
		TOTAL		61	3.17		100	5.20		103	5.36		122	6.34		48	2.50								516	26.83		98	5.10		754	39.21					121	6.29		1923	
	FIFTH			7	14.58		4	8.33		3	6.25		7	14.58			Excluded								7	14.58		10	20.83		9	18.75					1	2.08		48	
		TOTAL		68	3.54		104	5.41		106	5.51		129	6.71											523	27.20		108	5.62		763	39.68					122	6.34		1923	
	SIXTH			21	16.28		6	4.65		7	5.43			Excluded											17	13.18		66	51.16		10	7.75					2	1.55		129	
		TOTAL		89	4.63		110	5.72		113	5.88														540	28.08		174	9.05		773	40.20					124	6.45		1923	
	SEVENTH				Excluded		20	22.47		11	12.36														9	10.11		29	32.58		6	6.74					14	15.73		89	
		TOTAL					130	6.76		124	6.45														549	28.55		203	10.56		779	40.51					138	7.18		1923	
	EIGHTH						10	8.06			Excluded														18	14.52		11	8.87		20	16.13					65	52.42		124	
		TOTAL					140	7.28																	567	29.49		214	11.13		799	41.55					203	10.56		1923	
	NINTH							Excluded																	43	30.71		66	47.14		19	13.57					12	8.57		140	
		TOTAL																							610	31.72		280	14.56		818	42.54					215	11.18		1923	
	TENTH																								110	51.16		61	28.37		44	20.47						Excluded		215	
		TOTAL																							720	37.44		341	17.73		862	44.83								1923	
	ELEVENTH																								178	52.20			Excluded		163	47.80								341	
		TOTAL																							898	46.70					1025	53.30								1923	
																															Elected										
																																									
Bairnsdale East                                                																																									
	FIRST			10	1.98		70	13.83		13	2.57		22	4.35		20	3.95		2	0.40		5	0.99		176	34.78		22	4.35		142	28.06		10	1.98		14	2.77		506	
	SECOND			1	20.00		2	40.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	20.00		0	0.00		1	20.00		0	0.00		0	0.00		5	
		TOTAL		11	2.17		72	14.23		13	2.57		22	4.35		20	3.95		2	0.40					177	34.98		22	4.35		143	28.26		10	1.98		14	2.77		506	
	THIRD			2	20.00		0	0.00		0	0.00		1	10.00		1	10.00		1	10.00					0	0.00		3	30.00		1	10.00			Excluded		1	10.00		10	
		TOTAL		13	2.57		72	14.23		13	2.57		23	4.55		21	4.15		3	0.59					177	34.98		25	4.94		144	28.46					15	2.96		506	
	FOURTH			1	33.33		0	0.00		0	0.00		1	33.33		0	0.00			Excluded					1	33.33		0	0.00		0	0.00					0	0.00		3	
		TOTAL		14	2.77		72	14.23		13	2.57		24	4.74		21	4.15								178	35.18		25	4.94		144	28.46					15	2.96		506	
	FIFTH			3	14.29		1	4.76		1	4.76		7	33.33			Excluded								1	4.76		5	23.81		2	9.52					1	4.76		21	
		TOTAL		17	3.36		73	14.43		14	2.77		31	6.13											179	35.38		30	5.93		146	28.85					16	3.16		506	
	SIXTH			5	16.13		0	0.00		3	9.68			Excluded											4	12.90		10	32.26		8	25.81					1	3.23		31	
		TOTAL		22	4.35		73	14.43		17	3.36														183	36.17		40	7.91		154	30.43					17	3.36		506	
	SEVENTH				Excluded		9	40.91		5	22.73														0	0.00		7	31.82		0	0.00					1	4.55		22	
		TOTAL					82	16.21		22	4.35														183	36.17		47	9.29		154	30.43					18	3.56		506	
	EIGHTH						8	36.36			Excluded														8	36.36		2	9.09		2	9.09					2	9.09		22	
		TOTAL					90	17.79																	191	37.75		49	9.68		156	30.83					20	3.95		506	
	NINTH							Excluded																	25	27.78		52	57.78		8	8.89					5	5.56		90	
		TOTAL																							216	42.69		101	19.96		164	32.41					25	4.94		506	
	TENTH																								11	44.00		8	32.00		6	24.00						Excluded		25	
		TOTAL																							227	44.86		109	21.54		170	33.60								506	
	ELEVENTH																								56	51.38			Excluded		53	48.62								109	
		TOTAL																							283	55.93					223	44.07								506	
																															Elected										
																																									
Bairnsdale West                                                																																									
	FIRST			45	1.63		164	5.93		107	3.87		141	5.10		76	2.75		52	1.88		15	0.54		708	25.59		155	5.60		1215	43.91		23	0.83		66	2.39		2767	
	SECOND			8	53.33		1	6.67		1	6.67		0	0.00		0	0.00		2	13.33			Excluded		0	0.00		1	6.67		0	0.00		0	0.00		2	13.33		15	
		TOTAL		53	1.92		165	5.96		108	3.90		141	5.10		76	2.75		54	1.95					708	25.59		156	5.64		1215	43.91		23	0.83		68	2.46		2767	
	THIRD			5	21.74		0	0.00		3	13.04		3	13.04		1	4.35		2	8.70					3	13.04		4	17.39		1	4.35			Excluded		1	4.35		23	
		TOTAL		58	2.10		165	5.96		111	4.01		144	5.20		77	2.78		56	2.02					711	25.70		160	5.78		1216	43.95					69	2.49		2767	
	FOURTH			24	42.86		1	1.79		3	5.36		1	1.79		5	8.93			Excluded					8	14.29		4	7.14		2	3.57					8	14.29		56	
		TOTAL		82	2.96		166	6.00		114	4.12		145	5.24		82	2.96								719	25.98		164	5.93		1218	44.02					77	2.78		2767	
	FIFTH			10	12.20		11	13.41		4	4.88		20	24.39			Excluded								8	9.76		12	14.63		13	15.85					4	4.88		82	
		TOTAL		92	3.32		177	6.40		118	4.26		165	5.96											727	26.27		176	6.36		1231	44.49					81	2.93		2767	
	SIXTH			27	16.36		11	6.67		20	12.12			Excluded											12	7.27		73	44.24		18	10.91					4	2.42		165	
		TOTAL		119	4.30		188	6.79		138	4.99														739	26.71		249	9.00		1249	45.14					85	3.07		2767	
	SEVENTH				Excluded		21	17.65		14	11.76														12	10.08		39	32.77		6	5.04					27	22.69		119	
		TOTAL					209	7.55		152	5.49														751	27.14		288	10.41		1255	45.36					112	4.05		2767	
	EIGHTH						25	16.45			Excluded														31	20.39		24	15.79		12	7.89					60	39.47		152	
		TOTAL					234	8.46																	782	28.26		312	11.28		1267	45.79					172	6.22		2767	
	NINTH							Excluded																	78	33.33		101	43.16		38	16.24					17	7.26		234	
		TOTAL																							860	31.08		413	14.93		1305	47.16					189	6.83		2767	
	TENTH																								77	40.74		55	29.10		57	30.16						Excluded		189	
		TOTAL																							937	33.86		468	16.91		1362	49.22								2767	
	ELEVENTH																								223	47.65			Excluded		245	52.35								468	
		TOTAL																							1160	41.92					1607	58.08								2767	
																															Elected										
																																									
Bemm River                                                     																																									
	FIRST			1	1.27		8	10.13		2	2.53		1	1.27		1	1.27		1	1.27		0	0.00		19	24.05		3	3.80		39	49.37		2	2.53		2	2.53		79	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.27		8	10.13		2	2.53		1	1.27		1	1.27		1	1.27					19	24.05		3	3.80		39	49.37		2	2.53		2	2.53		79	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		2	100.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		1	1.27		8	10.13		2	2.53		1	1.27		1	1.27		1	1.27					19	24.05		5	6.33		39	49.37					2	2.53		79	
	FOURTH			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		1	1.27		9	11.39		2	2.53		1	1.27		1	1.27								19	24.05		5	6.33		39	49.37					2	2.53		79	
	FIFTH			0	0.00		0	0.00		0	0.00		1	100.00			Excluded								0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		1	1.27		9	11.39		2	2.53		2	2.53											19	24.05		5	6.33		39	49.37					2	2.53		79	
	SIXTH			1	50.00		0	0.00		0	0.00			Excluded											0	0.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL		2	2.53		9	11.39		2	2.53														19	24.05		6	7.59		39	49.37					2	2.53		79	
	SEVENTH				Excluded		0	0.00		0	0.00														0	0.00		2	100.00		0	0.00					0	0.00		2	
		TOTAL					9	11.39		2	2.53														19	24.05		8	10.13		39	49.37					2	2.53		79	
	EIGHTH						1	50.00			Excluded														1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					10	12.66																	20	25.32		8	10.13		39	49.37					2	2.53		79	
	NINTH							Excluded																	3	30.00		6	60.00		1	10.00					0	0.00		10	
		TOTAL																							23	29.11		14	17.72		40	50.63					2	2.53		79	
	TENTH																								1	50.00		1	50.00		0	0.00						Excluded		2	
		TOTAL																							24	30.38		15	18.99		40	50.63								79	
	ELEVENTH																								8	53.33			Excluded		7	46.67								15	
		TOTAL																							32	40.51					47	59.49								79	
																															Elected										
																																									
Bena                                                           																																									
	FIRST			2	0.96		9	4.33		4	1.92		7	3.37		1	0.48		1	0.48		1	0.48		25	12.02		9	4.33		139	66.83		4	1.92		6	2.88		208	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		2	0.96		9	4.33		4	1.92		7	3.37		1	0.48		2	0.96					25	12.02		9	4.33		139	66.83		4	1.92		6	2.88		208	
	THIRD			1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	25.00		1	25.00		1	25.00			Excluded		0	0.00		4	
		TOTAL		3	1.44		9	4.33		4	1.92		7	3.37		1	0.48		2	0.96					26	12.50		10	4.81		140	67.31					6	2.88		208	
	FOURTH			2	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		5	2.40		9	4.33		4	1.92		7	3.37		1	0.48								26	12.50		10	4.81		140	67.31					6	2.88		208	
	FIFTH			0	0.00		1	100.00		0	0.00		0	0.00			Excluded								0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		5	2.40		10	4.81		4	1.92		7	3.37											26	12.50		10	4.81		140	67.31					6	2.88		208	
	SIXTH			1	14.29		0	0.00		0	0.00			Excluded											1	14.29		5	71.43		0	0.00					0	0.00		7	
		TOTAL		6	2.88		10	4.81		4	1.92														27	12.98		15	7.21		140	67.31					6	2.88		208	
	SEVENTH				Excluded		3	50.00		0	0.00														0	0.00		3	50.00		0	0.00					0	0.00		6	
		TOTAL					13	6.25		4	1.92														27	12.98		18	8.65		140	67.31					6	2.88		208	
	EIGHTH						0	0.00			Excluded														2	50.00		1	25.00		0	0.00					1	25.00		4	
		TOTAL					13	6.25																	29	13.94		19	9.13		140	67.31					7	3.37		208	
	NINTH							Excluded																	6	46.15		6	46.15		1	7.69					0	0.00		13	
		TOTAL																							35	16.83		25	12.02		141	67.79					7	3.37		208	
	TENTH																								4	57.14		2	28.57		1	14.29						Excluded		7	
		TOTAL																							39	18.75		27	12.98		142	68.27								208	
	ELEVENTH																								11	40.74			Excluded		16	59.26								27	
		TOTAL																							50	24.04					158	75.96								208	
																															Elected										
																																									
Benambra                                                       																																									
	FIRST			1	0.77		1	0.77		1	0.77		2	1.54		19	14.62		1	0.77		0	0.00		13	10.00		5	3.85		86	66.15		1	0.77		0	0.00		130	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	0.77		1	0.77		1	0.77		2	1.54		19	14.62		1	0.77					13	10.00		5	3.85		86	66.15		1	0.77		0	0.00		130	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		1	0.77		1	0.77		1	0.77		2	1.54		19	14.62		1	0.77					13	10.00		6	4.62		86	66.15					0	0.00		130	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		1	0.77		1	0.77		1	0.77		2	1.54		19	14.62								13	10.00		7	5.38		86	66.15					0	0.00		130	
	FIFTH			0	0.00		3	15.79		0	0.00		1	5.26			Excluded								4	21.05		5	26.32		5	26.32					1	5.26		19	
		TOTAL		1	0.77		4	3.08		1	0.77		3	2.31											17	13.08		12	9.23		91	70.00					1	0.77		130	
	SIXTH			2	66.67		0	0.00		0	0.00			Excluded											0	0.00		1	33.33		0	0.00					0	0.00		3	
		TOTAL		3	2.31		4	3.08		1	0.77														17	13.08		13	10.00		91	70.00					1	0.77		130	
	SEVENTH				Excluded		1	33.33		1	33.33														0	0.00		1	33.33		0	0.00					0	0.00		3	
		TOTAL					5	3.85		2	1.54														17	13.08		14	10.77		91	70.00					1	0.77		130	
	EIGHTH						1	50.00			Excluded														0	0.00		0	0.00		0	0.00					1	50.00		2	
		TOTAL					6	4.62																	17	13.08		14	10.77		91	70.00					2	1.54		130	
	NINTH							Excluded																	2	33.33		3	50.00		0	0.00					1	16.67		6	
		TOTAL																							19	14.62		17	13.08		91	70.00					3	2.31		130	
	TENTH																								0	0.00		1	33.33		2	66.67						Excluded		3	
		TOTAL																							19	14.62		18	13.85		93	71.54								130	
	ELEVENTH																								7	38.89			Excluded		11	61.11								18	
		TOTAL																							26	20.00					104	80.00								130	
																															Elected										
																																									
Bendoc                                                         																																									
	FIRST			3	3.57		12	14.29		1	1.19		2	2.38		6	7.14		2	2.38		0	0.00		9	10.71		4	4.76		43	51.19		0	0.00		2	2.38		84	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	3.57		12	14.29		1	1.19		2	2.38		6	7.14		2	2.38					9	10.71		4	4.76		43	51.19		0	0.00		2	2.38		84	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	3.57		12	14.29		1	1.19		2	2.38		6	7.14		2	2.38					9	10.71		4	4.76		43	51.19					2	2.38		84	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded					0	0.00		0	0.00		0	0.00					1	50.00		2	
		TOTAL		3	3.57		12	14.29		1	1.19		2	2.38		7	8.33								9	10.71		4	4.76		43	51.19					3	3.57		84	
	FIFTH			0	0.00		0	0.00		1	14.29		3	42.86			Excluded								2	28.57		1	14.29		0	0.00					0	0.00		7	
		TOTAL		3	3.57		12	14.29		2	2.38		5	5.95											11	13.10		5	5.95		43	51.19					3	3.57		84	
	SIXTH			2	40.00		1	20.00		0	0.00			Excluded											0	0.00		1	20.00		0	0.00					1	20.00		5	
		TOTAL		5	5.95		13	15.48		2	2.38														11	13.10		6	7.14		43	51.19					4	4.76		84	
	SEVENTH				Excluded		1	20.00		1	20.00														0	0.00		2	40.00		1	20.00					0	0.00		5	
		TOTAL					14	16.67		3	3.57														11	13.10		8	9.52		44	52.38					4	4.76		84	
	EIGHTH						1	33.33			Excluded														0	0.00		1	33.33		0	0.00					1	33.33		3	
		TOTAL					15	17.86																	11	13.10		9	10.71		44	52.38					5	5.95		84	
	NINTH							Excluded																	3	20.00		6	40.00		6	40.00					0	0.00		15	
		TOTAL																							14	16.67		15	17.86		50	59.52					5	5.95		84	
	TENTH																								3	60.00		2	40.00		0	0.00						Excluded		5	
		TOTAL																							17	20.24		17	20.24		50	59.52								84	
	ELEVENTH																								11	64.71			Excluded		6	35.29								17	
		TOTAL																							28	33.33					56	66.67								84	
																															Elected										
																																									
Berrys Creek                                                   																																									
	FIRST			0	0.00		3	2.83		2	1.89		0	0.00		3	2.83		3	2.83		0	0.00		3	2.83		7	6.60		76	71.70		0	0.00		9	8.49		106	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		3	2.83		2	1.89		0	0.00		3	2.83		3	2.83					3	2.83		7	6.60		76	71.70		0	0.00		9	8.49		106	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		3	2.83		2	1.89		0	0.00		3	2.83		3	2.83					3	2.83		7	6.60		76	71.70					9	8.49		106	
	FOURTH			2	66.67		0	0.00		1	33.33		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL		2	1.89		3	2.83		3	2.83		0	0.00		3	2.83								3	2.83		7	6.60		76	71.70					9	8.49		106	
	FIFTH			1	33.33		0	0.00		0	0.00		1	33.33			Excluded								0	0.00		1	33.33		0	0.00					0	0.00		3	
		TOTAL		3	2.83		3	2.83		3	2.83		1	0.94											3	2.83		8	7.55		76	71.70					9	8.49		106	
	SIXTH			0	0.00		0	0.00		0	0.00			Excluded											0	0.00		0	0.00		1	100.00					0	0.00		1	
		TOTAL		3	2.83		3	2.83		3	2.83														3	2.83		8	7.55		77	72.64					9	8.49		106	
	SEVENTH				Excluded		1	33.33		0	0.00														0	0.00		0	0.00		0	0.00					2	66.67		3	
		TOTAL					4	3.77		3	2.83														3	2.83		8	7.55		77	72.64					11	10.38		106	
	EIGHTH						1	33.33			Excluded														0	0.00		0	0.00		1	33.33					1	33.33		3	
		TOTAL					5	4.72																	3	2.83		8	7.55		78	73.58					12	11.32		106	
	NINTH							Excluded																	2	40.00		2	40.00		1	20.00					0	0.00		5	
		TOTAL																							5	4.72		10	9.43		79	74.53					12	11.32		106	
	TENTH																								2	16.67		6	50.00		4	33.33						Excluded		12	
		TOTAL																							7	6.60		16	15.09		83	78.30								106	
	ELEVENTH																								4	25.00			Excluded		12	75.00								16	
		TOTAL																							11	10.38					95	89.62								106	
																															Elected										
																																									
Boisdale                                                       																																									
	FIRST			2	1.10		8	4.42		14	7.73		4	2.21		2	1.10		1	0.55		0	0.00		24	13.26		25	13.81		90	49.72		1	0.55		10	5.52		181	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	1.10		8	4.42		14	7.73		4	2.21		2	1.10		1	0.55					24	13.26		25	13.81		90	49.72		1	0.55		10	5.52		181	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		2	1.10		8	4.42		14	7.73		4	2.21		2	1.10		1	0.55					24	13.26		25	13.81		90	49.72					11	6.08		181	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		3	1.66		8	4.42		14	7.73		4	2.21		2	1.10								24	13.26		25	13.81		90	49.72					11	6.08		181	
	FIFTH			0	0.00		1	50.00		0	0.00		0	0.00			Excluded								0	0.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL		3	1.66		9	4.97		14	7.73		4	2.21											24	13.26		26	14.36		90	49.72					11	6.08		181	
	SIXTH			0	0.00		0	0.00		0	0.00			Excluded											0	0.00		4	100.00		0	0.00					0	0.00		4	
		TOTAL		3	1.66		9	4.97		14	7.73														24	13.26		30	16.57		90	49.72					11	6.08		181	
	SEVENTH				Excluded		0	0.00		1	33.33														0	0.00		1	33.33		1	33.33					0	0.00		3	
		TOTAL					9	4.97		15	8.29														24	13.26		31	17.13		91	50.28					11	6.08		181	
	EIGHTH						2	13.33			Excluded														2	13.33		0	0.00		2	13.33					9	60.00		15	
		TOTAL					11	6.08																	26	14.36		31	17.13		93	51.38					20	11.05		181	
	NINTH							Excluded																	3	27.27		5	45.45		0	0.00					3	27.27		11	
		TOTAL																							29	16.02		36	19.89		93	51.38					23	12.71		181	
	TENTH																								15	65.22		5	21.74		3	13.04						Excluded		23	
		TOTAL																							44	24.31		41	22.65		96	53.04								181	
	ELEVENTH																								17	41.46			Excluded		24	58.54								41	
		TOTAL																							61	33.70					120	66.30								181	
																															Elected										
																																									
Bonang                                                         																																									
	FIRST			1	1.69		7	11.86		1	1.69		1	1.69		2	3.39		3	5.08		0	0.00		7	11.86		1	1.69		24	40.68		1	1.69		11	18.64		59	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.69		7	11.86		1	1.69		1	1.69		2	3.39		3	5.08					7	11.86		1	1.69		24	40.68		1	1.69		11	18.64		59	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		1	1.69		7	11.86		1	1.69		1	1.69		2	3.39		3	5.08					7	11.86		1	1.69		24	40.68					12	20.34		59	
	FOURTH			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					2	66.67		3	
		TOTAL		2	3.39		7	11.86		1	1.69		1	1.69		2	3.39								7	11.86		1	1.69		24	40.68					14	23.73		59	
	FIFTH			0	0.00		0	0.00		0	0.00		2	100.00			Excluded								0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		2	3.39		7	11.86		1	1.69		3	5.08											7	11.86		1	1.69		24	40.68					14	23.73		59	
	SIXTH			0	0.00		0	0.00		2	66.67			Excluded											0	0.00		0	0.00		1	33.33					0	0.00		3	
		TOTAL		2	3.39		7	11.86		3	5.08														7	11.86		1	1.69		25	42.37					14	23.73		59	
	SEVENTH				Excluded		0	0.00		0	0.00														0	0.00		1	50.00		0	0.00					1	50.00		2	
		TOTAL					7	11.86		3	5.08														7	11.86		2	3.39		25	42.37					15	25.42		59	
	EIGHTH						0	0.00			Excluded														0	0.00		0	0.00		3	100.00					0	0.00		3	
		TOTAL					7	11.86																	7	11.86		2	3.39		28	47.46					15	25.42		59	
