Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Goldstein (89948)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
Glenhuntly East		52	2.36		41	1.86		43	1.95		0	0.00		4	0.18		1	0.05		24	1.09		799	36.29		6	0.27		2	0.09		785	35.65		2	0.09		246	11.17		0	0.00		0	0.00		194	8.81		0	0.00		3	0.14		2202	95.04		115	4.96		2317	2.71
Hampton		59	2.28		35	1.35		24	0.93		1	0.04		2	0.08		1	0.04		17	0.66		1310	50.70		6	0.23		0	0.00		553	21.40		3	0.12		288	11.15		0	0.00		2	0.08		282	10.91		0	0.00		1	0.04		2584	96.17		103	3.83		2687	3.15
Hampton Central		30	2.04		24	1.63		25	1.70		0	0.00		0	0.00		0	0.00		22	1.50		663	45.13		4	0.27		0	0.00		389	26.48		3	0.20		141	9.60		0	0.00		0	0.00		166	11.30		1	0.07		1	0.07		1469	94.77		81	5.23		1550	1.81
Hemming		7	1.54		8	1.76		5	1.10		1	0.22		0	0.00		0	0.00		11	2.42		193	42.42		1	0.22		0	0.00		161	35.38		1	0.22		36	7.91		0	0.00		0	0.00		31	6.81		0	0.00		0	0.00		455	94.79		25	5.21		480	0.56
Highett		51	2.26		45	1.99		21	0.93		0	0.00		1	0.04		2	0.09		37	1.64		824	36.52		5	0.22		0	0.00		867	38.43		6	0.27		254	11.26		0	0.00		3	0.13		139	6.16		0	0.00		1	0.04		2256	93.18		165	6.82		2421	2.83
Highett West		34	1.81		28	1.49		19	1.01		4	0.21		0	0.00		0	0.00		27	1.44		845	44.95		11	0.59		2	0.11		540	28.72		6	0.32		210	11.17		0	0.00		0	0.00		152	8.09		1	0.05		1	0.05		1880	95.63		86	4.37		1966	2.30
Holloway		23	2.27		21	2.08		15	1.48		2	0.20		0	0.00		0	0.00		14	1.38		510	50.40		5	0.49		0	0.00		234	23.12		1	0.10		107	10.57		0	0.00		2	0.20		76	7.51		0	0.00		2	0.20		1012	94.14		63	5.86		1075	1.26
Landcox		25	1.84		12	0.88		18	1.32		0	0.00		0	0.00		0	0.00		11	0.81		651	47.83		5	0.37		1	0.07		344	25.28		6	0.44		170	12.49		0	0.00		0	0.00		116	8.52		0	0.00		2	0.15		1361	96.32		52	3.68		1413	1.65
Ludstone		52	2.48		28	1.33		23	1.10		0	0.00		1	0.05		0	0.00		17	0.81		936	44.59		5	0.24		0	0.00		597	28.44		5	0.24		271	12.91		0	0.00		1	0.05		161	7.67		0	0.00		2	0.10		2099	94.04		133	5.96		2232	2.61
McKinnon		77	2.86		41	1.52		28	1.04		1	0.04		2	0.07		1	0.04		20	0.74		1145	42.58		5	0.19		2	0.07		839	31.20		8	0.30		267	9.93		0	0.00		1	0.04		250	9.30		1	0.04		1	0.04		2689	93.47		188	6.53		2877	3.37
McKinnon East		38	2.29		27	1.62		20	1.20		16	0.96		0	0.00		0	0.00		18	1.08		631	37.94		10	0.60		0	0.00		537	32.29		3	0.18		193	11.61		0	0.00		0	0.00		168	10.10		1	0.06		1	0.06		1663	95.30		82	4.70		1745	2.04
Melbourne (Goldstein)		5	5.21		3	3.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		47	48.96		0	0.00		0	0.00		20	20.83		1	1.04		9	9.38		0	0.00		0	0.00		11	11.46		0	0.00		0	0.00		96	100.00		0	0.00		96	0.11
Middle Brighton		62	2.42		22	0.86		15	0.58		0	0.00		0	0.00		0	0.00		25	0.97		1652	64.41		6	0.23		1	0.04		324	12.63		5	0.19		249	9.71		0	0.00		2	0.08		202	7.88		0	0.00		0	0.00		2565	94.75		142	5.25		2707	3.17
Moorabbin West		40	2.56		31	1.98		14	0.90		1	0.06		2	0.13		1	0.06		30	1.92		571	36.51		4	0.26		0	0.00		592	37.85		7	0.45		182	11.64		0	0.00		1	0.06		87	5.56		0	0.00		1	0.06		1564	90.72		160	9.28		1724	2.02
Ormond		41	3.05		26	1.94		19	1.41		0	0.00		0	0.00		0	0.00		20	1.49		501	37.30		6	0.45		0	0.00		492	36.63		3	0.22		148	11.02		0	0.00		0	0.00		85	6.33		1	0.07		1	0.07		1343	93.13		99	6.87		1442	1.69
Ormond West		27	1.49		23	1.27		29	1.60		3	0.17		0	0.00		1	0.06		16	0.88		770	42.42		4	0.22		0	0.00		552	30.41		4	0.22		238	13.11		0	0.00		1	0.06		146	8.04		0	0.00		1	0.06		1815	95.23		91	4.77		1906	2.23
Sandringham		24	1.41		19	1.12		12	0.71		0	0.00		1	0.06		0	0.00		16	0.94		861	50.65		5	0.29		0	0.00		378	22.24		3	0.18		217	12.76		0	0.00		0	0.00		162	9.53		1	0.06		1	0.06		1700	93.66		115	6.34		1815	2.13
Sandringham North		22	1.34		18	1.10		28	1.71		1	0.06		0	0.00		0	0.00		15	0.92		738	45.05		3	0.18		0	0.00		402	24.54		8	0.49		204	12.45		0	0.00		2	0.12		196	11.97		0	0.00		1	0.06		1638	96.52		59	3.48		1697	1.99
Special Hospitals		12	4.11		5	1.71		2	0.68		0	0.00		0	0.00		0	0.00		3	1.03		174	59.59		0	0.00		0	0.00		79	27.05		0	0.00		9	3.08		0	0.00		0	0.00		8	2.74		0	0.00		0	0.00		292	94.19		18	5.81		310	0.36
Total Ordinary		1568	2.33		875	1.30		799	1.19		39	0.06		22	0.03		13	0.02		760	1.13		33128	49.29		219	0.33		20	0.03		16898	25.14		140	0.21		7036	10.47		5	0.01		33	0.05		5579	8.30		18	0.03		52	0.08		67204	94.45		3946	5.55		71150	83.31
ABSENT		197	3.61		118	2.16		74	1.36		5	0.09		1	0.02		2	0.04		61	1.12		2380	43.65		20	0.37		0	0.00		1372	25.17		21	0.39		603	11.06		3	0.06		6	0.11		583	10.69		3	0.06		3	0.06		5452	96.98		170	3.02		5622	6.58
POSTAL		155	3.98		56	1.44		42	1.08		1	0.03		1	0.03		0	0.00		51	1.31		2321	59.54		17	0.44		2	0.05		799	20.50		11	0.28		288	7.39		0	0.00		3	0.08		143	3.67		0	0.00		8	0.21		3898	97.99		80	2.01		3978	4.66
PRE_POLL		129	3.24		61	1.53		52	1.31		0	0.00		3	0.08		2	0.05		68	1.71		1994	50.10		20	0.50		8	0.20		968	24.32		11	0.28		381	9.57		3	0.08		3	0.08		273	6.86		1	0.03		3	0.08		3980	97.50		102	2.50		4082	4.78
PROVISIONAL		21	3.83		15	2.74		3	0.55		0	0.00		0	0.00		0	0.00		7	1.28		245	44.71		1	0.18		0	0.00		148	27.01		1	0.18		64	11.68		1	0.18		0	0.00		42	7.66		0	0.00		0	0.00		548	95.14		28	4.86		576	0.67
Division Summary		2070	2.55		1125	1.39		970	1.2		45	0.06		27	0.03		17	0.02		947	1.17		40068	49.42		277	0.34		30	0.04		20185	24.89		184	0.23		8372	10.33		12	0.01		45	0.06		6620	8.16		22	0.03		66	0.08		81082	94.93		4326	5.07		85408	94.95
