House of Representatives - 2001  Election: Victoria																																									
First Preference Votes and TCP																																									
By Candidate by Polling Place																																									

Corio (85836)																																									
	MENHEERE-THOMPSON			# O'CONNOR			GOODEN			MALESIC			HILL			TIRKOT			FAIRBROTHER			JOHNSON			FORMAL			INFORMAL			TOTAL										
	Erica			Gavan			Tim			Steve			Gareth			Herbert Georg			Cheryl			Catherine												Two Candidate Preferred							
	DEM			ALP						LP			CEC			HAN						GRN												# O'CONNOR ALP			 MALESIC LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Drysdale (Corio)	117	6.56		670	37.56		3	0.17		842	47.20		7	0.39		35	1.96		7	0.39		103	5.77		1784	96.12		72	3.88		1856	2.26		849	47.59		935	52.41
Fyans Park	49	4.53		321	29.67		5	0.46		636	58.78		0	0.00		10	0.92		5	0.46		56	5.18		1082	95.92		46	4.08		1128	1.37		396	36.60		686	63.40
Geelong East	227	9.05		1073	42.80		14	0.56		941	37.53		4	0.16		27	1.08		15	0.60		206	8.22		2507	95.72		112	4.28		2619	3.19		1418	56.56		1089	43.44
Geelong West	280	9.55		1419	48.40		38	1.30		930	31.72		6	0.20		41	1.40		11	0.38		207	7.06		2932	94.06		185	5.94		3117	3.79		1860	63.44		1072	36.56
Hamlyn Heights	322	8.90		1711	47.28		34	0.94		1386	38.30		4	0.11		42	1.16		19	0.53		101	2.79		3619	94.76		200	5.24		3819	4.65		2070	57.20		1549	42.80
Herne Hill	90	7.31		623	50.57		4	0.32		447	36.28		3	0.24		18	1.46		5	0.41		42	3.41		1232	95.36		60	4.64		1292	1.57		737	59.82		495	40.18
Kardinia Park	85	9.20		442	47.84		4	0.43		321	34.74		3	0.32		9	0.97		4	0.43		56	6.06		924	95.85		40	4.15		964	1.17		559	60.50		365	39.50
Lara	260	7.60		1469	42.92		19	0.56		1377	40.23		6	0.18		87	2.54		61	1.78		144	4.21		3423	95.30		169	4.70		3592	4.37		1811	52.91		1612	47.09
Lara Central	184	7.32		1084	43.12		9	0.36		1035	41.17		13	0.52		58	2.31		37	1.47		94	3.74		2514	95.73		112	4.27		2626	3.20		1308	52.03		1206	47.97
Leopold	196	7.78		923	36.63		12	0.48		1244	49.37		9	0.36		32	1.27		8	0.32		96	3.81		2520	95.45		120	4.55		2640	3.21		1147	45.52		1373	54.48
Leopold South	87	5.68		575	37.53		6	0.39		760	49.61		1	0.07		28	1.83		6	0.39		69	4.50		1532	94.74		85	5.26		1617	1.97		702	45.82		830	54.18
Manifold Heights	177	9.67		774	42.27		4	0.22		766	41.84		1	0.05		25	1.37		6	0.33		78	4.26		1831	95.61		84	4.39		1915	2.33		966	52.76		865	47.24			
Melbourne (Corio)	10	17.54		10	17.54		1	1.75		29	50.88		0	0.00		1	1.75		1	1.75		5	8.77		57	98.28		1	1.72		58	0.07		19	33.33		38	66.67			
Moolap	35	5.05		294	42.42		2	0.29		316	45.60		2	0.29		21	3.03		2	0.29		21	3.03		693	93.27		50	6.73		743	0.90		351	50.65		342	49.35			
Newcomb	107	4.87		1160	52.80		34	1.55		761	34.64		6	0.27		43	1.96		8	0.36		78	3.55		2197	94.37		131	5.63		2328	2.83		1360	61.90		837	38.10			
Newcomb South	82	6.67		613	49.88		24	1.95		451	36.70		1	0.08		23	1.87		4	0.33		31	2.52		1229	94.83		67	5.17		1296	1.58		733	59.64		496	40.36			
Norlane	295	6.19		3201	67.16		60	1.26		915	19.20		9	0.19		76	1.59		108	2.27		102	2.14		4766	91.53		441	8.47		5207	6.34		3630	76.16		1136	23.84			
North Shore	86	4.18		1432	69.55		51	2.48		341	16.56		7	0.34		53	2.57		37	1.80		52	2.53		2059	93.55		142	6.45		2201	2.68		1625	78.92		434	21.08			
Rollins	85	6.58		705	54.61		11	0.85		426	33.00		5	0.39		15	1.16		5	0.39		39	3.02		1291	94.86		70	5.14		1361	1.66		816	63.21		475	36.79			
St Helens	38	4.53		400	47.73		2	0.24		345	41.17		1	0.12		9	1.07		4	0.48		39	4.65		838	94.80		46	5.20		884	1.08		472	56.32		366	43.68			
Shannon	66	5.44		511	42.13		3	0.25		526	43.36		1	0.08		14	1.15		5	0.41		87	7.17		1213	96.65		42	3.35		1255	1.53		642	52.93		571	47.07			
Thomson	73	4.86		847	56.39		31	2.06		463	30.83		0	0.00		21	1.40		10	0.67		57	3.79		1502	94.52		87	5.48		1589	1.93		984	65.51		518	34.49			
Whittington	216	6.09		1965	55.38		47	1.32		1035	29.17		6	0.17		110	3.10		32	0.90		137	3.86		3548	94.61		202	5.39		3750	4.56		2297	64.74		1251	35.26			
Special Hospitals	13	6.10		105	49.30		2	0.94		88	41.31		1	0.47		1	0.47		3	1.41		0	0.00		213	93.83		14	6.17		227	0.28		120	56.34		93	43.66			
Total Ordinary	4562	6.85		32942	49.48		613	0.92		23777	35.72		138	0.21		1166	1.75		564	0.85		2808	4.22		66570	94.69		3731	5.31		70301	85.54		39483	59.31		27087	40.69			
ABSENT	356	10.57		1314	39.03		35	1.04		1227	36.44		17	0.50		71	2.11		45	1.34		302	8.97		3367	94.45		198	5.55		3565	4.34		1843	54.74		1524	45.26			
POSTAL	154	4.24		1598	43.97		17	0.47		1644	45.24		10	0.28		91	2.50		18	0.50		102	2.81		3634	97.98		75	2.02		3709	4.51		1841	50.66		1793	49.34			
PRE_POLL	250	6.60		1825	48.18		23	0.61		1435	37.88		10	0.26		81	2.14		19	0.50		145	3.83		3788	96.90		121	3.10		3909	4.76		2185	57.68		1603	42.32			
PROVISIONAL	66	10.33		342	53.52		10	1.56		171	26.76		1	0.16		11	1.72		7	1.10		31	4.85		639	91.42		60	8.58		699	0.85		435	68.08		204	31.92			
Division Summary	5388	6.91		38021	48.75		698	0.89		28254	36.22		176	0.23		1420	1.82		653	0.84		3388	4.34		77998	94.91		4185	5.09		82183	95.74		45787	58.70		32211	41.30			
																																									
																																									
																																									
																																									
																																									
