Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Gellibrand (86496)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
Melbourne (Gellibrand)		2	1.94		4	3.88		0	0.00		0	0.00		0	0.00		0	0.00		2	1.94		25	24.27		1	0.97		0	0.00		41	39.81		0	0.00		13	12.62		0	0.00		0	0.00		15	14.56		0	0.00		0	0.00		103	97.17		3	2.83		106	0.13
Newport		48	2.84		57	3.37		29	1.72		1	0.06		0	0.00		0	0.00		28	1.66		395	23.39		3	0.18		1	0.06		764	45.23		7	0.41		184	10.89		0	0.00		2	0.12		163	9.65		7	0.41		0	0.00		1689	90.90		169	9.10		1858	2.30
Newport East		16	1.10		38	2.61		22	1.51		1	0.07		0	0.00		0	0.00		23	1.58		369	25.33		6	0.41		0	0.00		672	46.12		1	0.07		151	10.36		0	0.00		1	0.07		155	10.64		1	0.07		1	0.07		1457	93.88		95	6.12		1552	1.92
Newport West		42	2.37		50	2.82		31	1.75		0	0.00		3	0.17		0	0.00		40	2.26		340	19.21		7	0.40		3	0.17		969	54.75		2	0.11		166	9.38		1	0.06		2	0.11		108	6.10		5	0.28		1	0.06		1770	90.68		182	9.32		1952	2.41
Seddon		38	1.92		57	2.88		22	1.11		0	0.00		0	0.00		0	0.00		30	1.52		399	20.15		5	0.25		0	0.00		944	47.68		6	0.30		204	10.30		1	0.05		1	0.05		270	13.64		3	0.15		0	0.00		1980	92.65		157	7.35		2137	2.64
South Kingsville		14	1.18		41	3.45		17	1.43		0	0.00		0	0.00		1	0.08		34	2.86		239	20.08		4	0.34		1	0.08		651	54.71		4	0.34		117	9.83		0	0.00		1	0.08		63	5.29		1	0.08		2	0.17		1190	90.84		120	9.16		1310	1.62
Spotswood		15	1.37		27	2.47		21	1.92		1	0.09		0	0.00		0	0.00		17	1.55		296	27.06		2	0.18		2	0.18		512	46.80		5	0.46		116	10.60		0	0.00		1	0.09		78	7.13		1	0.09		0	0.00		1094	92.24		92	7.76		1186	1.47
Sunshine		42	2.87		54	3.69		19	1.30		1	0.07		1	0.07		0	0.00		31	2.12		278	18.99		16	1.09		0	0.00		853	58.27		4	0.27		108	7.38		2	0.14		0	0.00		49	3.35		6	0.41		0	0.00		1464	90.26		158	9.74		1622	2.01
Sunshine North		66	2.32		95	3.35		14	0.49		3	0.11		3	0.11		2	0.07		50	1.76		473	16.66		18	0.63		0	0.00		1864	65.66		11	0.39		153	5.39		2	0.07		2	0.07		73	2.57		10	0.35		0	0.00		2839	86.63		438	13.37		3277	4.05
Sunvale		53	2.57		81	3.93		23	1.12		4	0.19		0	0.00		1	0.05		52	2.53		485	23.56		7	0.34		1	0.05		1136	55.17		6	0.29		141	6.85		1	0.05		3	0.15		59	2.87		6	0.29		0	0.00		2059	92.00		179	8.00		2238	2.77
Tottenham North		18	1.55		51	4.38		10	0.86		1	0.09		1	0.09		1	0.09		25	2.15		163	14.00		4	0.34		0	0.00		814	69.93		6	0.52		41	3.52		0	0.00		1	0.09		27	2.32		1	0.09		0	0.00		1164	91.01		115	8.99		1279	1.58
Western Hospital		6	1.66		12	3.31		4	1.10		0	0.00		1	0.28		0	0.00		7	1.93		76	20.99		1	0.28		1	0.28		209	57.73		1	0.28		25	6.91		0	0.00		2	0.55		17	4.70		0	0.00		0	0.00		362	91.88		32	8.12		394	0.49
Williamstown		39	1.77		28	1.27		26	1.18		2	0.09		1	0.05		0	0.00		28	1.27		719	32.71		2	0.09		3	0.14		852	38.76		6	0.27		204	9.28		2	0.09		0	0.00		284	12.92		1	0.05		1	0.05		2198	93.57		151	6.43		2349	2.90
Williamstown North		24	1.79		19	1.41		19	1.41		1	0.07		2	0.15		2	0.15		24	1.79		422	31.40		3	0.22		1	0.07		441	32.81		4	0.30		185	13.76		0	0.00		0	0.00		196	14.58		0	0.00		1	0.07		1344	96.28		52	3.72		1396	1.73
Williamstown South		37	1.58		35	1.49		56	2.39		1	0.04		1	0.04		0	0.00		44	1.88		715	30.48		4	0.17		1	0.04		875	37.30		9	0.38		209	8.91		0	0.00		2	0.09		349	14.88		6	0.26		2	0.09		2346	94.10		147	5.90		2493	3.08
Williamstown West		43	1.91		37	1.65		37	1.65		1	0.04		1	0.04		0	0.00		30	1.34		907	40.38		5	0.22		0	0.00		854	38.02		5	0.22		204	9.08		1	0.04		2	0.09		114	5.08		4	0.18		1	0.04		2246	90.46		237	9.54		2483	3.07
Yarraville		33	2.36		50	3.58		15	1.07		1	0.07		2	0.14		1	0.07		21	1.50		293	20.97		6	0.43		2	0.14		659	47.17		2	0.14		152	10.88		1	0.07		0	0.00		153	10.95		3	0.21		3	0.21		1397	93.63		95	6.37		1492	1.84
Yarraville Central		47	2.42		58	2.99		30	1.55		4	0.21		0	0.00		0	0.00		22	1.13		392	20.21		10	0.52		1	0.05		899	46.34		2	0.10		210	10.82		3	0.15		0	0.00		258	13.30		2	0.10		2	0.10		1940	93.72		130	6.28		2070	2.56
Yarraville South		26	1.85		55	3.92		18	1.28		0	0.00		1	0.07		1	0.07		22	1.57		343	24.43		8	0.57		2	0.14		714	50.85		3	0.21		123	8.76		0	0.00		0	0.00		79	5.63		9	0.64		0	0.00		1404	90.82		142	9.18		1546	1.91
Special Hospitals		10	3.88		3	1.16		1	0.39		2	0.78		0	0.00		0	0.00		2	0.78		89	34.50		0	0.00		0	0.00		132	51.16		4	1.55		5	1.94		0	0.00		0	0.00		10	3.88		0	0.00		0	0.00		258	94.85		14	5.15		272	0.34
Total Ordinary		1431	2.29		2137	3.42		761	1.22		56	0.09		33	0.05		34	0.05		1094	1.75		13764	22.02		288	0.46		46	0.07		33443	53.51		194	0.31		4859	7.78		27	0.04		39	0.06		4124	6.60		144	0.23		19	0.03		62493	90.66		6441	9.34		68934	85.21
ABSENT		160	3.32		222	4.61		72	1.49		7	0.15		3	0.06		1	0.02		84	1.74		1062	22.04		13	0.27		1	0.02		2323	48.21		14	0.29		459	9.52		1	0.02		3	0.06		385	7.99		8	0.17		1	0.02		4819	95.69		217	4.31		5036	6.23
POSTAL		122	5.07		55	2.29		38	1.58		3	0.12		0	0.00		0	0.00		72	2.99		522	21.70		3	0.12		0	0.00		1416	58.85		4	0.17		98	4.07		1	0.04		1	0.04		69	2.87		2	0.08		0	0.00		2406	97.09		72	2.91		2478	3.06
PRE_POLL		97	2.94		125	3.79		50	1.52		2	0.06		3	0.09		1	0.03		71	2.15		743	22.55		13	0.39		4	0.12		1733	52.59		9	0.27		266	8.07		0	0.00		3	0.09		170	5.16		4	0.12		1	0.03		3295	96.20		130	3.80		3425	4.23
PROVISIONAL		31	3.24		55	5.74		9	0.94		2	0.21		1	0.10		0	0.00		9	0.94		184	19.21		6	0.63		0	0.00		545	56.89		1	0.10		63	6.58		0	0.00		1	0.10		49	5.11		1	0.10		1	0.10		958	93.55		66	6.45		1024	1.27
Division Summary		1841	2.49		2594	3.51		930	1.26		70	0.09		40	0.05		36	0.05		1330	1.8		16275	22		323	0.44		51	0.07		39460	53.35		222	0.3		5745	7.77		29	0.04		47	0.06		4797	6.48		159	0.21		22	0.03		73971	91.44		6926	8.56		80897	93.53
