House of Representatives - 2001 Election: Victoria																	
Distribution of Preferences																	
By Polling Place																	
Kooyong																	
				GEORGIOU			CAMPBELL			SHARP			WILSON				
		TOTAL		1029	64.15		177	11.03					398	24.81		1604	
	THIRD			70	39.55			Excluded					107	60.45		177	
		TOTAL		1099	68.52								505	31.48		1604	
				Elected													
																	
Balwyn North East                                              																	
	FIRST			2154	56.24		362	9.45		247	6.45		1067	27.86		3830	
	SECOND			35	14.17		153	61.94			Excluded		59	23.89		247	
		TOTAL		2189	57.15		515	13.45					1126	29.40		3830	
	THIRD			159	30.87			Excluded					356	69.13		515	
		TOTAL		2348	61.31								1482	38.69		3830	
				Elected													
																	
Balwyn North West                                              																	
	FIRST			809	57.46		126	8.95		68	4.83		405	28.76		1408	
	SECOND			9	13.24		39	57.35			Excluded		20	29.41		68	
		TOTAL		818	58.10		165	11.72					425	30.18		1408	
	THIRD			51	30.91			Excluded					114	69.09		165	
		TOTAL		869	61.72								539	38.28		1408	
				Elected													
																	
Balwyn West                                                    																	
	FIRST			903	51.63		189	10.81		130	7.43		527	30.13		1749	
	SECOND			21	16.15		82	63.08			Excluded		27	20.77		130	
		TOTAL		924	52.83		271	15.49					554	31.68		1749	
	THIRD			83	30.63			Excluded					188	69.37		271	
		TOTAL		1007	57.58								742	42.42		1749	
				Elected													
																	
Boroondara                                                     																	
	FIRST			1241	56.10		166	7.50		147	6.65		658	29.75		2212	
	SECOND			35	23.81		76	51.70			Excluded		36	24.49		147	
		TOTAL		1276	57.69		242	10.94					694	31.37		2212	
	THIRD			71	29.34			Excluded					171	70.66		242	
		TOTAL		1347	60.90								865	39.10		2212	
				Elected													
																	
Camberwell East                                                																	
	FIRST			659	61.53		81	7.56		94	8.78		237	22.13		1071	
	SECOND			13	13.83		67	71.28			Excluded		14	14.89		94	
		TOTAL		672	62.75		148	13.82					251	23.44		1071	
	THIRD			46	31.08			Excluded					102	68.92		148	
		TOTAL		718	67.04								353	32.96		1071	
				Elected													
																	
Camberwell North                                               																	
	FIRST			1315	64.81		181	8.92		162	7.98		371	18.28		2029	
	SECOND			31	19.14		100	61.73			Excluded		31	19.14		162	
		TOTAL		1346	66.34		281	13.85					402	19.81		2029	
	THIRD			96	34.16			Excluded					185	65.84		281	
		TOTAL		1442	71.07								587	28.93		2029	
				Elected													
																	
Canterbury North                                               																	
	FIRST			867	54.29		169	10.58		137	8.58		424	26.55		1597	
	SECOND			21	15.33		76	55.47			Excluded		40	29.20		137	
		TOTAL		888	55.60		245	15.34					464	29.05		1597	
	THIRD			70	28.57			Excluded					175	71.43		245	
		TOTAL		958	59.99								639	40.01		1597	
				Elected													
																	
Canterbury South                                               																	
	FIRST			1596	54.32		376	12.80		229	7.79		737	25.09		2938	
	SECOND			32	13.97		146	63.76			Excluded		51	22.27		229	
		TOTAL		1628	55.41		522	17.77					788	26.82		2938	
	THIRD			169	32.38			Excluded					353	67.62		522	
		TOTAL		1797	61.16								1141	38.84		2938	
				Elected													
																	
Chatham                                                        																	
	FIRST			878	51.74		196	11.55		140	8.25		483	28.46		1697	
	SECOND			20	14.29		93	66.43			Excluded		27	19.29		140	
		TOTAL		898	52.92		289	17.03					510	30.05		1697	
	THIRD			77	26.64			Excluded					212	73.36		289	
		TOTAL		975	57.45								722	42.55		1697	
				Elected													
																	
Cotham                                                         																	
	FIRST			1427	64.48		225	10.17		166	7.50		395	17.85		2213	
	SECOND			30	18.07		99	59.64			Excluded		37	22.29		166	
		TOTAL		1457	65.84		324	14.64					432	19.52		2213	
	THIRD			117	36.11			Excluded					207	63.89		324	
		TOTAL		1574	71.13								639	28.87		2213	
				Elected													
																	
Deepdene                                                       																	
	FIRST			747	62.62		131	10.98		80	6.71		235	19.70		1193	
	SECOND			16	20.00		48	60.00			Excluded		16	20.00		80	
		TOTAL		763	63.96		179	15.00					251	21.04		1193	
	THIRD			48	26.82			Excluded					131	73.18		179	
		TOTAL		811	67.98								382	32.02		1193	
				Elected													
																	
Glenferrie                                                     																	
	FIRST			1375	47.14		429	14.71		299	10.25		814	27.91		2917	
	SECOND			40	13.38		187	62.54			Excluded		72	24.08		299	
		TOTAL		1415	48.51		616	21.12					886	30.37		2917	
	THIRD			181	29.38			Excluded					435	70.62		616	
		TOTAL		1596	54.71								1321	45.29		2917	
				Elected													
																	
Glenferrie Central                                             																	
	FIRST			708	48.63		206	14.15		151	10.37		391	26.85		1456	
	SECOND			18	11.92		93	61.59			Excluded		40	26.49		151	
		TOTAL		726	49.86		299	20.54					431	29.60		1456	
	THIRD			64	21.40			Excluded					235	78.60		299	
		TOTAL		790	54.26								666	45.74		1456	
				Elected													
																	
Glenferrie South                                               																	
	FIRST			880	63.68		153	11.07		102	7.38		247	17.87		1382	
	SECOND			25	24.51		52	50.98			Excluded		25	24.51		102	
		TOTAL		905	65.48		205	14.83					272	19.68		1382	
	THIRD			66	32.20			Excluded					139	67.80		205	
		TOTAL		971	70.26								411	29.74		1382	
				Elected													
																	
Hartwell                                                       																	
	FIRST			984	49.67		225	11.36		147	7.42		625	31.55		1981	
	SECOND			24	16.33		96	65.31			Excluded		27	18.37		147	
		TOTAL		1008	50.88		321	16.20					652	32.91		1981	
	THIRD			91	28.35			Excluded					230	71.65		321	
		TOTAL		1099	55.48								882	44.52		1981	
				Elected													
																	
Hawthorn                                                       																	
	FIRST			1335	50.08		362	13.58		222	8.33		747	28.02		2666	
	SECOND			35	15.77		138	62.16			Excluded		49	22.07		222	
		TOTAL		1370	51.39		500	18.75					796	29.86		2666	
	THIRD			137	27.40			Excluded					363	72.60		500	
		TOTAL		1507	56.53								1159	43.47		2666	
				Elected													
																	
Highfield Park                                                 																	
	FIRST			1024	52.22		209	10.66		160	8.16		568	28.96		1961	
	SECOND			24	15.00		111	69.38			Excluded		25	15.63		160	
		TOTAL		1048	53.44		320	16.32					593	30.24		1961	
	THIRD			98	30.63			Excluded					222	69.38		320	
		TOTAL		1146	58.44								815	41.56		1961	
				Elected													
																	
Hyde Park                                                      																	
	FIRST			600	48.66		148	12.00		103	8.35		382	30.98		1233	
	SECOND			16	15.53		70	67.96			Excluded		17	16.50		103	
		TOTAL		616	49.96		218	17.68					399	32.36		1233	
	THIRD			68	31.19			Excluded					150	68.81		218	
		TOTAL		684	55.47								549	44.53		1233	
				Elected													
																	
Kew                                                            																	
	FIRST			1590	45.79		402	11.58		339	9.76		1141	32.86		3472	
	SECOND			43	12.68		222	65.49			Excluded		74	21.83		339	
		TOTAL		1633	47.03		624	17.97					1215	34.99		3472	
	THIRD			153	24.52			Excluded					471	75.48		624	
		TOTAL		1786	51.44								1686	48.56		3472	
				Elected													
																	
Kew East                                                       																	
	FIRST			740	49.40		140	9.35		125	8.34		493	32.91		1498	
	SECOND			15	12.00		79	63.20			Excluded		31	24.80		125	
		TOTAL		755	50.40		219	14.62					524	34.98		1498	
	THIRD			54	24.66			Excluded					165	75.34		219	
		TOTAL		809	54.01								689	45.99		1498	
				Elected													
																	
Kew North                                                      																	
	FIRST			1179	48.82		287	11.88		178	7.37		771	31.93		2415	
	SECOND			28	15.73		109	61.24			Excluded		41	23.03		178	
		TOTAL		1207	49.98		396	16.40					812	33.62		2415	
	THIRD			110	27.78			Excluded					286	72.22		396	
		TOTAL		1317	54.53								1098	45.47		2415	
				Elected													
																	
Kew South                                                      																	
	FIRST			1298	54.20		307	12.82		200	8.35		590	24.63		2395	
	SECOND			30	15.00		131	65.50			Excluded		39	19.50		200	
		TOTAL		1328	55.45		438	18.29					629	26.26		2395	
	THIRD			126	28.77			Excluded					312	71.23		438	
		TOTAL		1454	60.71								941	39.29		2395	
				Elected													
																	
Melbourne (Kooyong)                                            																	
	FIRST			73	43.45		27	16.07		19	11.31		49	29.17		168	
	SECOND			2	10.53		14	73.68			Excluded		3	15.79		19	
		TOTAL		75	44.64		41	24.40					52	30.95		168	
	THIRD			9	21.95			Excluded					32	78.05		41	
		TOTAL		84	50.00								84	50.00		168	
				Elected													
																	
Studley Park                                                   																	
	FIRST			977	61.52		158	9.95		111	6.99		342	21.54		1588	
	SECOND			19	17.12		71	63.96			Excluded		21	18.92		111	
		TOTAL		996	62.72		229	14.42					363	22.86		1588	
	THIRD			61	26.64			Excluded					168	73.36		229	
		TOTAL		1057	66.56								531	33.44		1588	
				Elected													
																	
Surrey Hills West                                              																	
	FIRST			734	53.07		185	13.38		111	8.03		353	25.52		1383	
	SECOND			20	18.02		74	66.67			Excluded		17	15.32		111	
		TOTAL		754	54.52		259	18.73					370	26.75		1383	
	THIRD			68	26.25			Excluded					191	73.75		259	
		TOTAL		822	59.44								561	40.56		1383	
				Elected													
																	
Willison                                                       																	
	FIRST			705	60.10		96	8.18		73	6.22		299	25.49		1173	
	SECOND			7	9.59		52	71.23			Excluded		14	19.18		73	
		TOTAL		712	60.70		148	12.62					313	26.68		1173	
	THIRD			40	27.03			Excluded					108	72.97		148	
		TOTAL		752	64.11								421	35.89		1173	
				Elected													
																	
Special Hospital Team 1                                        																	
	FIRST			149	68.04		10	4.57		1	0.46		59	26.94		219	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		149	68.04		11	5.02					59	26.94		219	
	THIRD			5	45.45			Excluded					6	54.55		11	
		TOTAL		154	70.32								65	29.68		219	
				Elected													
																	
Special Hospital Team 2                                        																	
	FIRST			120	68.18		3	1.70		5	2.84		48	27.27		176	
	SECOND			1	20.00		2	40.00			Excluded		2	40.00		5	
		TOTAL		121	68.75		5	2.84					50	28.41		176	
	THIRD			2	40.00			Excluded					3	60.00		5	
		TOTAL		123	69.89								53	30.11		176	
				Elected													
																	
Special Hospital Team 3                                        																	
	FIRST			116	67.05		8	4.62		7	4.05		42	24.28		173	
	SECOND			1	14.29		5	71.43			Excluded		1	14.29		7	
		TOTAL		117	67.63		13	7.51					43	24.86		173	
	THIRD			11	84.62			Excluded					2	15.38		13	
		TOTAL		128	73.99								45	26.01		173	
				Elected													
																	
ABSENT																	
	FIRST			3125	51.83		863	14.31		670	11.11		1371	22.74		6029	
	SECOND			153	22.84		326	48.66			Excluded		191	28.51		670	
		TOTAL		3278	54.37		1189	19.72					1562	25.91		6029	
	THIRD			346	29.10			Excluded					843	70.90		1189	
		TOTAL		3624	60.11								2405	39.89		6029	
				Elected													
																	
POSTAL																	
	FIRST			2598	67.87		211	5.51		231	6.03		788	20.59		3828	
	SECOND			65	28.14		98	42.42			Excluded		68	29.44		231	
		TOTAL		2663	69.57		309	8.07					856	22.36		3828	
	THIRD			105	33.98			Excluded					204	66.02		309	
		TOTAL		2768	72.31								1060	27.69		3828	
				Elected													
																	
PRE POLL																	
	FIRST			2054	56.43		328	9.01		316	8.68		942	25.88		3640	
	SECOND			65	20.57		165	52.22			Excluded		86	27.22		316	
		TOTAL		2119	58.21		493	13.54					1028	28.24		3640	
	THIRD			146	29.61			Excluded					347	70.39		493	
		TOTAL		2265	62.23								1375	37.77		3640	
				Elected													
																	
PROVISIONAL																	
	FIRST			179	51.00		45	12.82		35	9.97		92	26.21		351	
	SECOND			6	17.14		20	57.14			Excluded		9	25.71		35	
		TOTAL		185	52.71		65	18.52					101	28.77		351	
	THIRD			15	23.08			Excluded					50	76.92		65	
		TOTAL		200	56.98								151	43.02		351	
				Elected													
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
