House of Representatives - 2001 Election: Victoria																			
Distribution of Preferences 																			
By Polling Place																			
Ballarat										COLLINS									
				KING			KELLY						CORIC			BLANCHARD			
		TOTAL		971	58.42					691	41.58								1662
				Elected															
																			
Ballarat                                                       																			
	FIRST			685	41.62		176	10.69		646	39.25		111	6.74		28	1.70		1646
	SECOND			5	17.86		4	14.29		15	53.57		4	14.29			Excluded		28
		TOTAL		690	41.92		180	10.94		661	40.16		115	6.99					1646
	THIRD			28	24.35		73	63.48		14	12.17			Excluded					115
		TOTAL		718	43.62		253	15.37		675	41.01								1646
	FOURTH			183	72.33			Excluded		70	27.67								253
		TOTAL		901	54.74					745	45.26								1646
				Elected															
																			
Ballarat North                                                 																			
	FIRST			1151	43.80		104	3.96		1231	46.84		94	3.58		48	1.83		2628
	SECOND			13	27.08		5	10.42		20	41.67		10	20.83			Excluded		48
		TOTAL		1164	44.29		109	4.15		1251	47.60		104	3.96					2628
	THIRD			32	30.77		46	44.23		26	25.00			Excluded					104
		TOTAL		1196	45.51		155	5.90		1277	48.59								2628
	FOURTH			113	72.90			Excluded		42	27.10								155
		TOTAL		1309	49.81					1319	50.19								2628
				Elected															
																			
Ballarat North West                                            																			
	FIRST			548	29.72		153	8.30		1039	56.34		89	4.83		15	0.81		1844
	SECOND			2	13.33		6	40.00		3	20.00		4	26.67			Excluded		15
		TOTAL		550	29.83		159	8.62		1042	56.51		93	5.04					1844
	THIRD			30	32.26		46	49.46		17	18.28			Excluded					93
		TOTAL		580	31.45		205	11.12		1059	57.43								1844
	FOURTH			147	71.71			Excluded		58	28.29								205
		TOTAL		727	39.43					1117	60.57								1844
				Elected															
																			
Ballarat South                                                 																			
	FIRST			691	52.91		75	5.74		460	35.22		46	3.52		34	2.60		1306
	SECOND			5	14.71		4	11.76		16	47.06		9	26.47			Excluded		34
		TOTAL		696	53.29		79	6.05		476	36.45		55	4.21					1306
	THIRD			18	32.73		23	41.82		14	25.45			Excluded					55
		TOTAL		714	54.67		102	7.81		490	37.52								1306
	FOURTH			80	78.43			Excluded		22	21.57								102
		TOTAL		794	60.80					512	39.20								1306
				Elected															
																			
Ballarat South West                                            																			
	FIRST			940	44.32		153	7.21		909	42.86		86	4.05		33	1.56		2121
	SECOND			6	18.18		5	15.15		15	45.45		7	21.21			Excluded		33
		TOTAL		946	44.60		158	7.45		924	43.56		93	4.38					2121
	THIRD			34	36.56		34	36.56		25	26.88			Excluded					93
		TOTAL		980	46.20		192	9.05		949	44.74								2121
	FOURTH			147	76.56			Excluded		45	23.44								192
		TOTAL		1127	53.14					994	46.86								2121
				Elected															
																			
Black Hill                                                     																			
	FIRST			1123	42.00		243	9.09		1069	39.98		165	6.17		74	2.77		2674
	SECOND			20	27.03		8	10.81		40	54.05		6	8.11			Excluded		74
		TOTAL		1143	42.74		251	9.39		1109	41.47		171	6.39					2674
	THIRD			43	25.15		94	54.97		34	19.88			Excluded					171
		TOTAL		1186	44.35		345	12.90		1143	42.74								2674
	FOURTH			261	75.65			Excluded		84	24.35								345
		TOTAL		1447	54.11					1227	45.89								2674
				Elected															
																			
Blackwood                                                      																			
	FIRST			119	43.27		44	16.00		89	32.36		14	5.09		9	3.27		275
	SECOND			1	11.11		2	22.22		3	33.33		3	33.33			Excluded		9
		TOTAL		120	43.64		46	16.73		92	33.45		17	6.18					275
	THIRD			2	11.76		13	76.47		2	11.76			Excluded					17
		TOTAL		122	44.36		59	21.45		94	34.18								275
	FOURTH			52	88.14			Excluded		7	11.86								59
		TOTAL		174	63.27					101	36.73								275
				Elected															
																			
Brown Hill                                                     																			
	FIRST			984	48.71		127	6.29		770	38.12		92	4.55		47	2.33		2020
	SECOND			11	23.40		6	12.77		19	40.43		11	23.40			Excluded		47
		TOTAL		995	49.26		133	6.58		789	39.06		103	5.10					2020
	THIRD			21	20.39		62	60.19		20	19.42			Excluded					103
		TOTAL		1016	50.30		195	9.65		809	40.05								2020
	FOURTH			143	73.33			Excluded		52	26.67								195
		TOTAL		1159	57.38					861	42.62								2020
				Elected															
																			
Bungaree                                                       																			
	FIRST			83	23.45		22	6.21		230	64.97		9	2.54		10	2.82		354
	SECOND			1	10.00		0	0.00		7	70.00		2	20.00			Excluded		10
		TOTAL		84	23.73		22	6.21		237	66.95		11	3.11					354
	THIRD			4	36.36		2	18.18		5	45.45			Excluded					11
		TOTAL		88	24.86		24	6.78		242	68.36								354
	FOURTH			14	58.33			Excluded		10	41.67								24
		TOTAL		102	28.81					252	71.19								354
				Elected															
																			
Buninyong                                                      																			
	FIRST			1033	42.86		210	8.71		999	41.45		121	5.02		47	1.95		2410
	SECOND			6	12.77		14	29.79		19	40.43		8	17.02			Excluded		47
		TOTAL		1039	43.11		224	9.29		1018	42.24		129	5.35					2410
	THIRD			23	17.83		84	65.12		22	17.05			Excluded					129
		TOTAL		1062	44.07		308	12.78		1040	43.15								2410
	FOURTH			225	73.05			Excluded		83	26.95								308
		TOTAL		1287	53.40					1123	46.60								2410
				Elected															
																			
Burrumbeet                                                     																			
	FIRST			37	21.64		5	2.92		122	71.35		3	1.75		4	2.34		171
	SECOND			1	25.00		0	0.00		1	25.00		2	50.00			Excluded		4
		TOTAL		38	22.22		5	2.92		123	71.93		5	2.92					171
	THIRD			3	60.00		1	20.00		1	20.00			Excluded					5
		TOTAL		41	23.98		6	3.51		124	72.51								171
	FOURTH			5	83.33			Excluded		1	16.67								6
		TOTAL		46	26.90					125	73.10								171
				Elected															
																			
Canadian                                                       																			
	FIRST			1139	56.16		122	6.02		670	33.04		57	2.81		40	1.97		2028
	SECOND			14	35.00		10	25.00		13	32.50		3	7.50			Excluded		40
		TOTAL		1153	56.85		132	6.51		683	33.68		60	2.96					2028
	THIRD			23	38.33		25	41.67		12	20.00			Excluded					60
		TOTAL		1176	57.99		157	7.74		695	34.27								2028
	FOURTH			125	79.62			Excluded		32	20.38								157
		TOTAL		1301	64.15					727	35.85								2028
				Elected															
																			
Clarkes Hill                                                   																			
	FIRST			36	19.35		5	2.69		136	73.12		5	2.69		4	2.15		186
	SECOND			0	0.00		1	25.00		2	50.00		1	25.00			Excluded		4
		TOTAL		36	19.35		6	3.23		138	74.19		6	3.23					186
	THIRD			2	33.33		2	33.33		2	33.33			Excluded					6
		TOTAL		38	20.43		8	4.30		140	75.27								186
	FOURTH			6	75.00			Excluded		2	25.00								8
		TOTAL		44	23.66					142	76.34								186
				Elected															
																			
Clunes                                                         																			
	FIRST			510	51.72		64	6.49		344	34.89		20	2.03		48	4.87		986
	SECOND			9	18.75		11	22.92		15	31.25		13	27.08			Excluded		48
		TOTAL		519	52.64		75	7.61		359	36.41		33	3.35					986
	THIRD			14	42.42		4	12.12		15	45.45			Excluded					33
		TOTAL		533	54.06		79	8.01		374	37.93								986
	FOURTH			60	75.95			Excluded		19	24.05								79
		TOTAL		593	60.14					393	39.86								986
				Elected															
																			
Concongella                                                    																			
	FIRST			74	32.60		6	2.64		132	58.15		6	2.64		9	3.96		227
	SECOND			1	11.11		1	11.11		7	77.78		0	0.00			Excluded		9
		TOTAL		75	33.04		7	3.08		139	61.23		6	2.64					227
	THIRD			1	16.67		0	0.00		5	83.33			Excluded					6
		TOTAL		76	33.48		7	3.08		144	63.44								227
	FOURTH			5	71.43			Excluded		2	28.57								7
		TOTAL		81	35.68					146	64.32								227
				Elected															
																			
Creswick                                                       																			
	FIRST			832	48.43		120	6.98		629	36.61		85	4.95		52	3.03		1718
	SECOND			12	23.08		7	13.46		15	28.85		18	34.62			Excluded		52
		TOTAL		844	49.13		127	7.39		644	37.49		103	6.00					1718
	THIRD			25	24.27		52	50.49		26	25.24			Excluded					103
		TOTAL		869	50.58		179	10.42		670	39.00								1718
	FOURTH			144	80.45			Excluded		35	19.55								179
		TOTAL		1013	58.96					705	41.04								1718
				Elected															
																			
Creswick North                                                 																			
	FIRST			219	52.27		35	8.35		143	34.13		11	2.63		11	2.63		419
	SECOND			3	27.27		4	36.36		3	27.27		1	9.09			Excluded		11
		TOTAL		222	52.98		39	9.31		146	34.84		12	2.86					419
	THIRD			2	16.67		4	33.33		6	50.00			Excluded					12
		TOTAL		224	53.46		43	10.26		152	36.28								419
	FOURTH			34	79.07			Excluded		9	20.93								43
		TOTAL		258	61.58					161	38.42								419
				Elected															
																			
Daylesford                                                     																			
	FIRST			875	42.25		395	19.07		655	31.63		76	3.67		70	3.38		2071
	SECOND			17	24.29		15	21.43		29	41.43		9	12.86			Excluded		70
		TOTAL		892	43.07		410	19.80		684	33.03		85	4.10					2071
	THIRD			13	15.29		61	71.76		11	12.94			Excluded					85
		TOTAL		905	43.70		471	22.74		695	33.56								2071
	FOURTH			396	84.08			Excluded		75	15.92								471
		TOTAL		1301	62.82					770	37.18								2071
				Elected															
																			
Delacombe                                                      																			
	FIRST			790	44.63		35	1.98		819	46.27		82	4.63		44	2.49		1770
	SECOND			14	31.82		4	9.09		15	34.09		11	25.00			Excluded		44
		TOTAL		804	45.42		39	2.20		834	47.12		93	5.25					1770
	THIRD			21	22.58		51	54.84		21	22.58			Excluded					93
		TOTAL		825	46.61		90	5.08		855	48.31								1770
	FOURTH			51	56.67			Excluded		39	43.33								90
		TOTAL		876	49.49					894	50.51								1770
				Elected															
																			
Drummond                                                       																			
	FIRST			114	53.52		30	14.08		50	23.47		8	3.76		11	5.16		213
	SECOND			6	54.55		2	18.18		1	9.09		2	18.18			Excluded		11
		TOTAL		120	56.34		32	15.02		51	23.94		10	4.69					213
	THIRD			2	20.00		5	50.00		3	30.00			Excluded					10
		TOTAL		122	57.28		37	17.37		54	25.35								213
	FOURTH			29	78.38			Excluded		8	21.62								37
		TOTAL		151	70.89					62	29.11								213
				Elected															
																			
Elaine                                                         																			
	FIRST			89	34.36		8	3.09		139	53.67		12	4.63		11	4.25		259
	SECOND			3	27.27		3	27.27		4	36.36		1	9.09			Excluded		11
		TOTAL		92	35.52		11	4.25		143	55.21		13	5.02					259
	THIRD			3	23.08		5	38.46		5	38.46			Excluded					13
		TOTAL		95	36.68		16	6.18		148	57.14								259
	FOURTH			14	87.50			Excluded		2	12.50								16
		TOTAL		109	42.08					150	57.92								259
				Elected															
																			
Glenlyon                                                       																			
	FIRST			131	38.87		80	23.74		110	32.64		8	2.37		8	2.37		337
	SECOND			0	0.00		2	25.00		5	62.50		1	12.50			Excluded		8
		TOTAL		131	38.87		82	24.33		115	34.12		9	2.67					337
	THIRD			4	44.44		4	44.44		1	11.11			Excluded					9
		TOTAL		135	40.06		86	25.52		116	34.42								337
	FOURTH			70	81.40			Excluded		16	18.60								86
		TOTAL		205	60.83					132	39.17								337
				Elected															
																			
Glenorchy                                                      																			
	FIRST			51	32.90		10	6.45		85	54.84		4	2.58		5	3.23		155
	SECOND			1	20.00		0	0.00		2	40.00		2	40.00			Excluded		5
		TOTAL		52	33.55		10	6.45		87	56.13		6	3.87					155
	THIRD			0	0.00		3	50.00		3	50.00			Excluded					6
		TOTAL		52	33.55		13	8.39		90	58.06								155
	FOURTH			10	76.92			Excluded		3	23.08								13
		TOTAL		62	40.00					93	60.00								155
				Elected															
																			
Gordon                                                         																			
	FIRST			270	48.30		35	6.26		211	37.75		22	3.94		21	3.76		559
	SECOND			4	19.05		4	19.05		9	42.86		4	19.05			Excluded		21
		TOTAL		274	49.02		39	6.98		220	39.36		26	4.65					559
	THIRD			8	30.77		13	50.00		5	19.23			Excluded					26
		TOTAL		282	50.45		52	9.30		225	40.25								559
	FOURTH			38	73.08			Excluded		14	26.92								52
		TOTAL		320	57.25					239	42.75								559
				Elected															
																			
Great Western                                                  																			
	FIRST			119	38.51		14	4.53		140	45.31		12	3.88		24	7.77		309
	SECOND			7	29.17		2	8.33		8	33.33		7	29.17			Excluded		24
		TOTAL		126	40.78		16	5.18		148	47.90		19	6.15					309
	THIRD			2	10.53		8	42.11		9	47.37			Excluded					19
		TOTAL		128	41.42		24	7.77		157	50.81								309
	FOURTH			20	83.33			Excluded		4	16.67								24
		TOTAL		148	47.90					161	52.10								309
				Elected															
																			
Haddon                                                         																			
	FIRST			431	43.76		48	4.87		429	43.55		36	3.65		41	4.16		985
	SECOND			7	17.07		13	31.71		14	34.15		7	17.07			Excluded		41
		TOTAL		438	44.47		61	6.19		443	44.97		43	4.37					985
	THIRD			14	32.56		22	51.16		7	16.28			Excluded					43
		TOTAL		452	45.89		83	8.43		450	45.69								985
	FOURTH			58	69.88			Excluded		25	30.12								83
		TOTAL		510	51.78					475	48.22								985
				Elected															
																			
Halls Gap                                                      																			
	FIRST			88	32.84		21	7.84		148	55.22		6	2.24		5	1.87		268
	SECOND			2	40.00		1	20.00		0	0.00		2	40.00			Excluded		5
		TOTAL		90	33.58		22	8.21		148	55.22		8	2.99					268
	THIRD			1	12.50		3	37.50		4	50.00			Excluded					8
		TOTAL		91	33.96		25	9.33		152	56.72								268
	FOURTH			21	84.00			Excluded		4	16.00								25
		TOTAL		112	41.79					156	58.21								268
				Elected															
																			
Hepburn Springs                                                																			
	FIRST			269	44.10		122	20.00		176	28.85		27	4.43		16	2.62		610
	SECOND			0	0.00		2	12.50		13	81.25		1	6.25			Excluded		16
		TOTAL		269	44.10		124	20.33		189	30.98		28	4.59					610
	THIRD			10	35.71		15	53.57		3	10.71			Excluded					28
		TOTAL		279	45.74		139	22.79		192	31.48								610
	FOURTH			123	88.49			Excluded		16	11.51								139
		TOTAL		402	65.90					208	34.10								610
				Elected															
																			
Landsborough                                                   																			
	FIRST			58	31.02		1	0.53		116	62.03		3	1.60		9	4.81		187
	SECOND			3	33.33		2	22.22		4	44.44		0	0.00			Excluded		9
		TOTAL		61	32.62		3	1.60		120	64.17		3	1.60					187
	THIRD			3	100.00		0	0.00		0	0.00			Excluded					3
		TOTAL		64	34.22		3	1.60		120	64.17								187
	FOURTH			1	33.33			Excluded		2	66.67								3
		TOTAL		65	34.76					122	65.24								187
				Elected															
																			
Learmonth                                                      																			
	FIRST			126	32.14		18	4.59		225	57.40		11	2.81		12	3.06		392
	SECOND			3	25.00		1	8.33		7	58.33		1	8.33			Excluded		12
		TOTAL		129	32.91		19	4.85		232	59.18		12	3.06					392
	THIRD			2	16.67		5	41.67		5	41.67			Excluded					12
		TOTAL		131	33.42		24	6.12		237	60.46								392
	FOURTH			20	83.33			Excluded		4	16.67								24
		TOTAL		151	38.52					241	61.48								392
				Elected															
																			
Lexton                                                         																			
	FIRST			92	44.44		7	3.38		89	43.00		4	1.93		15	7.25		207
	SECOND			7	46.67		0	0.00		6	40.00		2	13.33			Excluded		15
		TOTAL		99	47.83		7	3.38		95	45.89		6	2.90					207
	THIRD			3	50.00		1	16.67		2	33.33			Excluded					6
		TOTAL		102	49.28		8	3.86		97	46.86								207
	FOURTH			6	75.00			Excluded		2	25.00								8
		TOTAL		108	52.17					99	47.83								207
				Elected															
																			
Magpie                                                         																			
	FIRST			130	46.93		7	2.53		125	45.13		14	5.05		1	0.36		277
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		131	47.29		7	2.53		125	45.13		14	5.05					277
	THIRD			5	35.71		5	35.71		4	28.57			Excluded					14
		TOTAL		136	49.10		12	4.33		129	46.57								277
	FOURTH			9	75.00			Excluded		3	25.00								12
		TOTAL		145	52.35					132	47.65								277
				Elected															
																			
Marnoo                                                         																			
	FIRST			20	13.51		0	0.00		122	82.43		1	0.68		5	3.38		148
	SECOND			0	0.00		0	0.00		5	100.00		0	0.00			Excluded		5
		TOTAL		20	13.51		0	0.00		127	85.81		1	0.68					148
	THIRD			0	0.00		0	0.00		1	100.00			Excluded					1
		TOTAL		20	13.51		0	0.00		128	86.49								148
	FOURTH			0	0.00			Excluded		0	0.00								0
		TOTAL		20	13.51					128	86.49								148
				Elected															
																			
Melbourne (Ballarat)                                           																			
	FIRST			22	41.51		7	13.21		20	37.74		4	7.55		0	0.00		53
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		22	41.51		7	13.21		20	37.74		4	7.55					53
	THIRD			3	75.00		1	25.00		0	0.00			Excluded					4
		TOTAL		25	47.17		8	15.09		20	37.74								53
	FOURTH			4	50.00			Excluded		4	50.00								8
		TOTAL		29	54.72					24	45.28								53
				Elected															
																			
Miners Rest                                                    																			
	FIRST			261	36.66		18	2.53		382	53.65		24	3.37		27	3.79		712
	SECOND			4	14.81		5	18.52		11	40.74		7	25.93			Excluded		27
		TOTAL		265	37.22		23	3.23		393	55.20		31	4.35					712
	THIRD			12	38.71		11	35.48		8	25.81			Excluded					31
		TOTAL		277	38.90		34	4.78		401	56.32								712
	FOURTH			21	61.76			Excluded		13	38.24								34
		TOTAL		298	41.85					414	58.15								712
				Elected															
																			
Moonambel                                                      																			
	FIRST			94	49.21		8	4.19		75	39.27		4	2.09		10	5.24		191
	SECOND			6	60.00		0	0.00		4	40.00		0	0.00			Excluded		10
		TOTAL		100	52.36		8	4.19		79	41.36		4	2.09					191
	THIRD			2	50.00		1	25.00		1	25.00			Excluded					4
		TOTAL		102	53.40		9	4.71		80	41.88								191
	FOURTH			8	88.89			Excluded		1	11.11								9
		TOTAL		110	57.59					81	42.41								191
				Elected															
																			
Mount Clear                                                    																			
	FIRST			931	39.30		129	5.45		1155	48.75		123	5.19		31	1.31		2369
	SECOND			8	25.81		5	16.13		8	25.81		10	32.26			Excluded		31
		TOTAL		939	39.64		134	5.66		1163	49.09		133	5.61					2369
	THIRD			34	25.56		75	56.39		24	18.05			Excluded					133
		TOTAL		973	41.07		209	8.82		1187	50.11								2369
	FOURTH			136	65.07			Excluded		73	34.93								209
		TOTAL		1109	46.81					1260	53.19								2369
				Elected															
																			
Mount Egerton                                                  																			
	FIRST			132	56.17		8	3.40		70	29.79		15	6.38		10	4.26		235
	SECOND			2	20.00		1	10.00		2	20.00		5	50.00			Excluded		10
		TOTAL		134	57.02		9	3.83		72	30.64		20	8.51					235
	THIRD			7	35.00		9	45.00		4	20.00			Excluded					20
		TOTAL		141	60.00		18	7.66		76	32.34								235
	FOURTH			14	77.78			Excluded		4	22.22								18
		TOTAL		155	65.96					80	34.04								235
				Elected															
																			
Mount Pleasant                                                 																			
	FIRST			883	49.14		125	6.96		674	37.51		77	4.28		38	2.11		1797
	SECOND			7	18.42		10	26.32		14	36.84		7	18.42			Excluded		38
		TOTAL		890	49.53		135	7.51		688	38.29		84	4.67					1797
	THIRD			21	25.00		46	54.76		17	20.24			Excluded					84
		TOTAL		911	50.70		181	10.07		705	39.23								1797
	FOURTH			148	81.77			Excluded		33	18.23								181
		TOTAL		1059	58.93					738	41.07								1797
				Elected															
																			
Mount Wallace                                                  																			
	FIRST			52	37.41		3	2.16		74	53.24		9	6.47		1	0.72		139
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1
		TOTAL		52	37.41		3	2.16		75	53.96		9	6.47					139
	THIRD			5	55.56		3	33.33		1	11.11			Excluded					9
		TOTAL		57	41.01		6	4.32		76	54.68								139
	FOURTH			6	100.00			Excluded		0	0.00								6
		TOTAL		63	45.32					76	54.68								139
				Elected															
																			
Napoleons                                                      																			
	FIRST			237	45.58		30	5.77		212	40.77		20	3.85		21	4.04		520
	SECOND			4	19.05		3	14.29		11	52.38		3	14.29			Excluded		21
		TOTAL		241	46.35		33	6.35		223	42.88		23	4.42					520
	THIRD			9	39.13		12	52.17		2	8.70			Excluded					23
		TOTAL		250	48.08		45	8.65		225	43.27								520
	FOURTH			31	68.89			Excluded		14	31.11								45
		TOTAL		281	54.04					239	45.96								520
				Elected															
																			
Natte Yallock                                                  																			
	FIRST			9	12.33		2	2.74		61	83.56		0	0.00		1	1.37		73
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1
		TOTAL		9	12.33		2	2.74		62	84.93		0	0.00					73
	THIRD			0	0.00		0	0.00		0	0.00			Excluded					0
		TOTAL		9	12.33		2	2.74		62	84.93								73
	FOURTH			2	100.00			Excluded		0	0.00								2
		TOTAL		11	15.07					62	84.93								73
				Elected															
																			
Navarre                                                        																			
	FIRST			22	27.85		1	1.27		53	67.09		0	0.00		3	3.80		79
	SECOND			0	0.00		2	66.67		1	33.33		0	0.00			Excluded		3
		TOTAL		22	27.85		3	3.80		54	68.35		0	0.00					79
	THIRD			0	0.00		0	0.00		0	0.00			Excluded					0
		TOTAL		22	27.85		3	3.80		54	68.35								79
	FOURTH			1	33.33			Excluded		2	66.67								3
		TOTAL		23	29.11					56	70.89								79
				Elected															
																			
Newington                                                      																			
	FIRST			187	45.61		28	6.83		171	41.71		14	3.41		10	2.44		410
	SECOND			1	10.00		2	20.00		7	70.00		0	0.00			Excluded		10
		TOTAL		188	45.85		30	7.32		178	43.41		14	3.41					410
	THIRD			4	28.57		9	64.29		1	7.14			Excluded					14
		TOTAL		192	46.83		39	9.51		179	43.66								410
	FOURTH			34	87.18			Excluded		5	12.82								39
		TOTAL		226	55.12					184	44.88								410
				Elected															
																			
Newlyn                                                         																			
	FIRST			160	34.26		31	6.64		247	52.89		14	3.00		15	3.21		467
	SECOND			3	20.00		1	6.67		9	60.00		2	13.33			Excluded		15
		TOTAL		163	34.90		32	6.85		256	54.82		16	3.43					467
	THIRD			5	31.25		6	37.50		5	31.25			Excluded					16
		TOTAL		168	35.97		38	8.14		261	55.89								467
	FOURTH			32	84.21			Excluded		6	15.79								38
		TOTAL		200	42.83					267	57.17								467
				Elected															
																			
Redan                                                          																			
	FIRST			1016	52.24		84	4.32		702	36.09		95	4.88		48	2.47		1945
	SECOND			12	25.00		9	18.75		13	27.08		14	29.17			Excluded		48
		TOTAL		1028	52.85		93	4.78		715	36.76		109	5.60					1945
	THIRD			23	21.10		58	53.21		28	25.69			Excluded					109
		TOTAL		1051	54.04		151	7.76		743	38.20								1945
	FOURTH			110	72.85			Excluded		41	27.15								151
		TOTAL		1161	59.69					784	40.31								1945
				Elected															
																			
Redan North                                                    																			
	FIRST			311	47.48		76	11.60		225	34.35		31	4.73		12	1.83		655
	SECOND			0	0.00		3	25.00		5	41.67		4	33.33			Excluded		12
		TOTAL		311	47.48		79	12.06		230	35.11		35	5.34					655
	THIRD			14	40.00		15	42.86		6	17.14			Excluded					35
		TOTAL		325	49.62		94	14.35		236	36.03								655
	FOURTH			76	80.85			Excluded		18	19.15								94
		TOTAL		401	61.22					254	38.78								655
				Elected															
																			
Ross Creek                                                     																			
	FIRST			274	41.77		27	4.12		306	46.65		25	3.81		24	3.66		656
	SECOND			4	16.67		5	20.83		7	29.17		8	33.33			Excluded		24
		TOTAL		278	42.38		32	4.88		313	47.71		33	5.03					656
	THIRD			11	33.33		12	36.36		10	30.30			Excluded					33
		TOTAL		289	44.05		44	6.71		323	49.24								656
	FOURTH			30	68.18			Excluded		14	31.82								44
		TOTAL		319	48.63					337	51.37								656
				Elected															
																			
Sebastopol                                                     																			
	FIRST			1611	54.81		118	4.01		1079	36.71		94	3.20		37	1.26		2939
	SECOND			6	16.22		7	18.92		14	37.84		10	27.03			Excluded		37
		TOTAL		1617	55.02		125	4.25		1093	37.19		104	3.54					2939
	THIRD			41	39.42		49	47.12		14	13.46			Excluded					104
		TOTAL		1658	56.41		174	5.92		1107	37.67								2939
	FOURTH			119	68.39			Excluded		55	31.61								174
		TOTAL		1777	60.46					1162	39.54								2939
				Elected															
																			
Smeaton                                                        																			
	FIRST			87	35.80		11	4.53		126	51.85		10	4.12		9	3.70		243
	SECOND			2	22.22		0	0.00		6	66.67		1	11.11			Excluded		9
		TOTAL		89	36.63		11	4.53		132	54.32		11	4.53					243
	THIRD			5	45.45		2	18.18		4	36.36			Excluded					11
		TOTAL		94	38.68		13	5.35		136	55.97								243
	FOURTH			11	84.62			Excluded		2	15.38								13
		TOTAL		105	43.21					138	56.79								243
				Elected															
																			
Soldiers Hill                                                  																			
	FIRST			500	45.25		101	9.14		418	37.83		67	6.06		19	1.72		1105
	SECOND			1	5.26		4	21.05		10	52.63		4	21.05			Excluded		19
		TOTAL		501	45.34		105	9.50		428	38.73		71	6.43					1105
	THIRD			23	32.39		33	46.48		15	21.13			Excluded					71
		TOTAL		524	47.42		138	12.49		443	40.09								1105
	FOURTH			113	81.88			Excluded		25	18.12								138
		TOTAL		637	57.65					468	42.35								1105
				Elected															
																			
Springbank                                                     																			
	FIRST			68	36.56		8	4.30		100	53.76		8	4.30		2	1.08		186
	SECOND			0	0.00		0	0.00		2	100.00		0	0.00			Excluded		2
		TOTAL		68	36.56		8	4.30		102	54.84		8	4.30					186
	THIRD			1	12.50		4	50.00		3	37.50			Excluded					8
		TOTAL		69	37.10		12	6.45		105	56.45								186
	FOURTH			10	83.33			Excluded		2	16.67								12
		TOTAL		79	42.47					107	57.53								186
				Elected															
																			
Stawell                                                        																			
