House of Representatives - 2001 Election: Victoria																				
Distribution of Preferences																				
By Polling Place																				
Hotham																				
				BENNETT			HALL			RUFFOLO			JOSS			CREAN				
		TOTAL		65	6.10					273	25.63		49	4.60		678	63.66		1065	
	THIRD				Excluded					12	18.46		25	38.46		28	43.08		65	
		TOTAL								285	26.76		74	6.95		706	66.29		1065	
	FOURTH									27	36.49			Excluded		47	63.51		74	
		TOTAL								312	29.30					753	70.70		1065	
																Elected				
																				
Coatesville                                                    																				
	FIRST			180	4.80		29	0.77		1571	41.92		238	6.35		1730	46.16		3748	
	SECOND			14	48.28			Excluded		7	24.14		3	10.34		5	17.24		29	
		TOTAL		194	5.18					1578	42.10		241	6.43		1735	46.29		3748	
	THIRD				Excluded					39	20.10		104	53.61		51	26.29		194	
		TOTAL								1617	43.14		345	9.20		1786	47.65		3748	
	FOURTH									103	29.86			Excluded		242	70.14		345	
		TOTAL								1720	45.89					2028	54.11		3748	
																Elected				
																				
Dingley Village                                                																				
	FIRST			126	2.94		14	0.33		2529	59.01		227	5.30		1390	32.43		4286	
	SECOND			4	28.57			Excluded		7	50.00		3	21.43		0	0.00		14	
		TOTAL		130	3.03					2536	59.17		230	5.37		1390	32.43		4286	
	THIRD				Excluded					33	25.38		61	46.92		36	27.69		130	
		TOTAL								2569	59.94		291	6.79		1426	33.27		4286	
	FOURTH									120	41.24			Excluded		171	58.76		291	
		TOTAL								2689	62.74					1597	37.26		4286	
																Elected				
																				
Heatherhill                                                    																				
	FIRST			49	2.53		20	1.03		374	19.30		67	3.46		1428	73.68		1938	
	SECOND			6	30.00			Excluded		4	20.00		4	20.00		6	30.00		20	
		TOTAL		55	2.84					378	19.50		71	3.66		1434	73.99		1938	
	THIRD				Excluded					19	34.55		24	43.64		12	21.82		55	
		TOTAL								397	20.49		95	4.90		1446	74.61		1938	
	FOURTH									29	30.53			Excluded		66	69.47		95	
		TOTAL								426	21.98					1512	78.02		1938	
																Elected				
																				
Heatherton North                                               																				
	FIRST			33	2.67		4	0.32		439	35.58		39	3.16		719	58.27		1234	
	SECOND			1	25.00			Excluded		2	50.00		0	0.00		1	25.00		4	
		TOTAL		34	2.76					441	35.74		39	3.16		720	58.35		1234	
	THIRD				Excluded					8	23.53		17	50.00		9	26.47		34	
		TOTAL								449	36.39		56	4.54		729	59.08		1234	
	FOURTH									19	33.93			Excluded		37	66.07		56	
		TOTAL								468	37.93					766	62.07		1234	
																Elected				
																				
Hughesdale                                                     																				
	FIRST			181	6.54		15	0.54		874	31.58		216	7.80		1482	53.54		2768	
	SECOND			7	46.67			Excluded		1	6.67		4	26.67		3	20.00		15	
		TOTAL		188	6.79					875	31.61		220	7.95		1485	53.65		2768	
	THIRD				Excluded					26	13.83		109	57.98		53	28.19		188	
		TOTAL								901	32.55		329	11.89		1538	55.56		2768	
	FOURTH									94	28.57			Excluded		235	71.43		329	
		TOTAL								995	35.95					1773	64.05		2768	
																Elected				
																				
Hughesdale South                                               																				
	FIRST			86	4.14		10	0.48		794	38.21		129	6.21		1059	50.96		2078	
	SECOND			0	0.00			Excluded		3	30.00		4	40.00		3	30.00		10	
		TOTAL		86	4.14					797	38.35		133	6.40		1062	51.11		2078	
	THIRD				Excluded					20	23.26		40	46.51		26	30.23		86	
		TOTAL								817	39.32		173	8.33		1088	52.36		2078	
	FOURTH									64	36.99			Excluded		109	63.01		173	
		TOTAL								881	42.40					1197	57.60		2078	
																Elected				
																				
Kingston Heath                                                 																				
	FIRST			58	2.67		14	0.64		919	42.23		138	6.34		1047	48.12		2176	
	SECOND			6	42.86			Excluded		2	14.29		1	7.14		5	35.71		14	
		TOTAL		64	2.94					921	42.33		139	6.39		1052	48.35		2176	
	THIRD				Excluded					18	28.13		31	48.44		15	23.44		64	
		TOTAL								939	43.15		170	7.81		1067	49.03		2176	
	FOURTH									66	38.82			Excluded		104	61.18		170	
		TOTAL								1005	46.19					1171	53.81		2176	
																Elected				
																				
Kingswood                                                      																				
	FIRST			68	3.52		3	0.16		1079	55.82		105	5.43		678	35.08		1933	
	SECOND			1	33.33			Excluded		2	66.67		0	0.00		0	0.00		3	
		TOTAL		69	3.57					1081	55.92		105	5.43		678	35.08		1933	
	THIRD				Excluded					17	24.64		36	52.17		16	23.19		69	
		TOTAL								1098	56.80		141	7.29		694	35.90		1933	
	FOURTH									50	35.46			Excluded		91	64.54		141	
		TOTAL								1148	59.39					785	40.61		1933	
																Elected				
																				
Melbourne (Hotham)                                             																				
	FIRST			5	9.26		1	1.85		13	24.07		7	12.96		28	51.85		54	
	SECOND			0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		5	9.26					13	24.07		8	14.81		28	51.85		54	
	THIRD				Excluded					0	0.00		2	40.00		3	60.00		5	
		TOTAL								13	24.07		10	18.52		31	57.41		54	
	FOURTH									4	40.00			Excluded		6	60.00		10	
		TOTAL								17	31.48					37	68.52		54	
																Elected				
																				
Mentone Park                                                   																				
	FIRST			62	5.07		6	0.49		545	44.53		70	5.72		541	44.20		1224	
	SECOND			3	50.00			Excluded		0	0.00		2	33.33		1	16.67		6	
		TOTAL		65	5.31					545	44.53		72	5.88		542	44.28		1224	
	THIRD				Excluded					13	20.00		32	49.23		20	30.77		65	
		TOTAL								558	45.59		104	8.50		562	45.92		1224	
	FOURTH									46	44.23			Excluded		58	55.77		104	
		TOTAL								604	49.35					620	50.65		1224	
																Elected				
																				
Moorabbin Heights                                              																				
	FIRST			84	3.87		15	0.69		852	39.21		157	7.23		1065	49.01		2173	
	SECOND			5	33.33			Excluded		6	40.00		1	6.67		3	20.00		15	
		TOTAL		89	4.10					858	39.48		158	7.27		1068	49.15		2173	
	THIRD				Excluded					17	19.10		38	42.70		34	38.20		89	
		TOTAL								875	40.27		196	9.02		1102	50.71		2173	
	FOURTH									70	35.71			Excluded		126	64.29		196	
		TOTAL								945	43.49					1228	56.51		2173	
																Elected				
																				
Moorabbin South                                                																				
	FIRST			89	6.96		6	0.47		538	42.10		76	5.95		569	44.52		1278	
	SECOND			3	50.00			Excluded		2	33.33		1	16.67		0	0.00		6	
		TOTAL		92	7.20					540	42.25		77	6.03		569	44.52		1278	
	THIRD				Excluded					10	10.87		48	52.17		34	36.96		92	
		TOTAL								550	43.04		125	9.78		603	47.18		1278	
	FOURTH									40	32.00			Excluded		85	68.00		125	
		TOTAL								590	46.17					688	53.83		1278	
																Elected				
																				
Moorabbin South East                                           																				
	FIRST			125	5.89		8	0.38		895	42.16		103	4.85		992	46.73		2123	
	SECOND			1	12.50			Excluded		4	50.00		2	25.00		1	12.50		8	
		TOTAL		126	5.93					899	42.35		105	4.95		993	46.77		2123	
	THIRD				Excluded					12	9.52		83	65.87		31	24.60		126	
		TOTAL								911	42.91		188	8.86		1024	48.23		2123	
	FOURTH									53	28.19			Excluded		135	71.81		188	
		TOTAL								964	45.41					1159	54.59		2123	
																Elected				
																				
Murrumbeena South                                              																				
	FIRST			113	4.79		11	0.47		1032	43.75		158	6.70		1045	44.30		2359	
	SECOND			9	81.82			Excluded		2	18.18		0	0.00		0	0.00		11	
		TOTAL		122	5.17					1034	43.83		158	6.70		1045	44.30		2359	
	THIRD				Excluded					22	18.03		67	54.92		33	27.05		122	
		TOTAL								1056	44.76		225	9.54		1078	45.70		2359	
	FOURTH									71	31.56			Excluded		154	68.44		225	
		TOTAL								1127	47.77					1232	52.23		2359	
																Elected				
																				
Oakleigh (Hotham)                                              																				
	FIRST			30	7.44		2	0.50		120	29.78		20	4.96		231	57.32		403	
	SECOND			0	0.00			Excluded		1	50.00		0	0.00		1	50.00		2	
		TOTAL		30	7.44					121	30.02		20	4.96		232	57.57		403	
	THIRD				Excluded					6	20.00		13	43.33		11	36.67		30	
		TOTAL								127	31.51		33	8.19		243	60.30		403	
	FOURTH									12	36.36			Excluded		21	63.64		33	
		TOTAL								139	34.49					264	65.51		403	
																Elected				
																				
Oakleigh Central                                               																				
	FIRST			88	6.06		4	0.28		470	32.39		68	4.69		821	56.58		1451	
	SECOND			2	50.00			Excluded		0	0.00		1	25.00		1	25.00		4	
		TOTAL		90	6.20					470	32.39		69	4.76		822	56.65		1451	
	THIRD				Excluded					8	8.89		57	63.33		25	27.78		90	
		TOTAL								478	32.94		126	8.68		847	58.37		1451	
	FOURTH									45	35.71			Excluded		81	64.29		126	
		TOTAL								523	36.04					928	63.96		1451	
																Elected				
																				
Oakleigh South                                                 																				
	FIRST			82	4.38		28	1.50		598	31.94		78	4.17		1086	58.01		1872	
	SECOND			5	17.86			Excluded		10	35.71		5	17.86		8	28.57		28	
		TOTAL		87	4.65					608	32.48		83	4.43		1094	58.44		1872	
	THIRD				Excluded					12	13.79		52	59.77		23	26.44		87	
		TOTAL								620	33.12		135	7.21		1117	59.67		1872	
	FOURTH									34	25.19			Excluded		101	74.81		135	
		TOTAL								654	34.94					1218	65.06		1872	
																Elected				
																				
Southland                                                      																				
	FIRST			50	6.08		7	0.85		370	45.01		49	5.96		346	42.09		822	
	SECOND			2	28.57			Excluded		4	57.14		1	14.29		0	0.00		7	
		TOTAL		52	6.33					374	45.50		50	6.08		346	42.09		822	
	THIRD				Excluded					8	15.38		26	50.00		18	34.62		52	
		TOTAL								382	46.47		76	9.25		364	44.28		822	
	FOURTH									21	27.63			Excluded		55	72.37		76	
		TOTAL								403	49.03					419	50.97		822	
																Elected				
																				
Southmoor                                                      																				
	FIRST			45	5.29		7	0.82		315	37.06		41	4.82		442	52.00		850	
	SECOND			4	57.14			Excluded		1	14.29		2	28.57		0	0.00		7	
		TOTAL		49	5.76					316	37.18		43	5.06		442	52.00		850	
	THIRD				Excluded					16	32.65		17	34.69		16	32.65		49	
		TOTAL								332	39.06		60	7.06		458	53.88		850	
	FOURTH									18	30.00			Excluded		42	70.00		60	
		TOTAL								350	41.18					500	58.82		850	
																Elected				
																				
Spring Valley                                                  																				
	FIRST			30	1.78		8	0.47		320	18.97		38	2.25		1291	76.53		1687	
	SECOND			5	62.50			Excluded		3	37.50		0	0.00		0	0.00		8	
		TOTAL		35	2.07					323	19.15		38	2.25		1291	76.53		1687	
	THIRD				Excluded					15	42.86		15	42.86		5	14.29		35	
		TOTAL								338	20.04		53	3.14		1296	76.82		1687	
	FOURTH									17	32.08			Excluded		36	67.92		53	
		TOTAL								355	21.04					1332	78.96		1687	
																Elected				
																				
Springvale                                                     																				
	FIRST			67	2.80		27	1.13		399	16.67		60	2.51		1841	76.90		2394	
	SECOND			8	29.63			Excluded		5	18.52		3	11.11		11	40.74		27	
		TOTAL		75	3.13					404	16.88		63	2.63		1852	77.36		2394	
	THIRD				Excluded					23	30.67		33	44.00		19	25.33		75	
		TOTAL								427	17.84		96	4.01		1871	78.15		2394	
	FOURTH									19	19.79			Excluded		77	80.21		96	
		TOTAL								446	18.63					1948	81.37		2394	
																Elected				
																				
Springvale South                                               																				
	FIRST			81	3.62		27	1.21		497	22.22		60	2.68		1572	70.27		2237	
	SECOND			12	44.44			Excluded		7	25.93		6	22.22		2	7.41		27	
		TOTAL		93	4.16					504	22.53		66	2.95		1574	70.36		2237	
	THIRD				Excluded					34	36.56		30	32.26		29	31.18		93	
		TOTAL								538	24.05		96	4.29		1603	71.66		2237	
	FOURTH									34	35.42			Excluded		62	64.58		96	
		TOTAL								572	25.57					1665	74.43		2237	
																Elected				
																				
Springvale West                                                																				
	FIRST			31	1.53		14	0.69		291	14.32		42	2.07		1654	81.40		2032	
	SECOND			9	64.29			Excluded		3	21.43		1	7.14		1	7.14		14	
		TOTAL		40	1.97					294	14.47		43	2.12		1655	81.45		2032	
	THIRD				Excluded					24	60.00		10	25.00		6	15.00		40	
		TOTAL								318	15.65		53	2.61		1661	81.74		2032	
	FOURTH									12	22.64			Excluded		41	77.36		53	
		TOTAL								330	16.24					1702	83.76		2032	
																Elected				
																				
Valkstone                                                      																				
	FIRST			47	4.09		10	0.87		535	46.52		60	5.22		498	43.30		1150	
	SECOND			3	30.00			Excluded		2	20.00		3	30.00		2	20.00		10	
		TOTAL		50	4.35					537	46.70		63	5.48		500	43.48		1150	
	THIRD				Excluded					8	16.00		20	40.00		22	44.00		50	
		TOTAL								545	47.39		83	7.22		522	45.39		1150	
	FOURTH									32	38.55			Excluded		51	61.45		83	
		TOTAL								577	50.17					573	49.83		1150	
																Elected				
																				
Westall                                                        																				
	FIRST			67	2.25		17	0.57		493	16.59		98	3.30		2297	77.29		2972	
	SECOND			9	52.94			Excluded		6	35.29		1	5.88		1	5.88		17	
		TOTAL		76	2.56					499	16.79		99	3.33		2298	77.32		2972	
	THIRD				Excluded					18	23.68		40	52.63		18	23.68		76	
		TOTAL								517	17.40		139	4.68		2316	77.93		2972	
	FOURTH									50	35.97			Excluded		89	64.03		139	
		TOTAL								567	19.08					2405	80.92		2972	
																Elected				
																				
Special Hospital Team 1                                        																				
	FIRST			2	2.02		0	0.00		54	54.55		1	1.01		42	42.42		99	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	2.02					54	54.55		1	1.01		42	42.42		99	
	THIRD				Excluded					1	50.00		0	0.00		1	50.00		2	
		TOTAL								55	55.56		1	1.01		43	43.43		99	
	FOURTH									0	0.00			Excluded		1	100.00		1	
		TOTAL								55	55.56					44	44.44		99	
																Elected				
																				
Special Hospital Team 2                                        																				
	FIRST			27	13.64		2	1.01		89	44.95		5	2.53		75	37.88		198	
	SECOND			0	0.00			Excluded		1	50.00		1	50.00		0	0.00		2	
		TOTAL		27	13.64					90	45.45		6	3.03		75	37.88		198	
	THIRD				Excluded					17	62.96		7	25.93		3	11.11		27	
		TOTAL								107	54.04		13	6.57		78	39.39		198	
	FOURTH									8	61.54			Excluded		5	38.46		13	
		TOTAL								115	58.08					83	41.92		198	
																Elected				
																				
ABSENT																				
	FIRST			532	10.05		117	2.21		1751	33.07		529	9.99		2366	44.68		5295	
	SECOND			31	26.50			Excluded		26	22.22		41	35.04		19	16.24		117	
		TOTAL		563	10.63					1777	33.56		570	10.76		2385	45.04		5295	
	THIRD				Excluded					163	28.95		247	43.87		153	27.18		563	
		TOTAL								1940	36.64		817	15.43		2538	47.93		5295	
	FOURTH									303	37.09			Excluded		514	62.91		817	
		TOTAL								2243	42.36					3052	57.64		5295	
																Elected				
																				
POSTAL																				
	FIRST			103	2.67		18	0.47		1660	43.07		165	4.28		1908	49.51		3854	
	SECOND			3	16.67			Excluded		7	38.89		2	11.11		6	33.33		18	
		TOTAL		106	2.75					1667	43.25		167	4.33		1914	49.66		3854	
	THIRD				Excluded					24	22.64		48	45.28		34	32.08		106	
		TOTAL								1691	43.88		215	5.58		1948	50.54		3854	
	FOURTH									88	40.93			Excluded		127	59.07		215	
		TOTAL								1779	46.16					2075	53.84		3854	
																Elected				
																				
PRE POLL																				
	FIRST			143	4.52		31	0.98		1202	37.95		165	5.21		1626	51.34		3167	
	SECOND			15	48.39			Excluded		5	16.13		6	19.35		5	16.13		31	
		TOTAL		158	4.99					1207	38.11		171	5.40		1631	51.50		3167	
	THIRD				Excluded					38	24.05		74	46.84		46	29.11		158	
		TOTAL								1245	39.31		245	7.74		1677	52.95		3167	
	FOURTH									94	38.37			Excluded		151	61.63		245	
		TOTAL								1339	42.28					1828	57.72		3167	
																Elected				
																				
PROVISIONAL																				
	FIRST			28	6.25		4	0.89		106	23.66		19	4.24		291	64.96		448	
	SECOND			1	25.00			Excluded		0	0.00		2	50.00		1	25.00		4	
		TOTAL		29	6.47					106	23.66		21	4.69		292	65.18		448	
	THIRD				Excluded					13	44.83		13	44.83		3	10.34		29	
		TOTAL								119	26.56		34	7.59		295	65.85		448	
	FOURTH									13	38.24			Excluded		21	61.76		34	
		TOTAL								132	29.46					316	70.54		448	
																Elected				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
