House of Representatives - 2001 Election: Victoria																									
Distribution of Preferences 																									
By Polling Place																									
Corangamite																									
				HILLS			STRAUSS			HODGE			MCARTHUR			LYGO			ARUNDELL			BJORK-BILLINGS			
		TOTAL		42	3.03		8	0.58		103	7.43		664	47.91		84	6.06					485	34.99		1386
	THIRD			1	12.50			Excluded		2	25.00		3	37.50		2	25.00					0	0.00		8
		TOTAL		43	3.10					105	7.58		667	48.12		86	6.20					485	34.99		1386
	FOURTH				Excluded					21	48.84		10	23.26		5	11.63					7	16.28		43
		TOTAL								126	9.09		677	48.85		91	6.57					492	35.50		1386
	FIFTH										Excluded		30	23.81		82	65.08					14	11.11		126
		TOTAL											707	51.01		173	12.48					506	36.51		1386
	SIXTH												59	34.10			Excluded					114	65.90		173
		TOTAL											766	55.27								620	44.73		1386
													Elected												
																									
Barongarook                                                    																									
	FIRST			3	2.24		3	2.24		4	2.99		67	50.00		5	3.73		9	6.72		43	32.09		134
	SECOND			1	11.11		0	0.00		2	22.22		3	33.33		1	11.11			Excluded		2	22.22		9
		TOTAL		4	2.99		3	2.24		6	4.48		70	52.24		6	4.48					45	33.58		134
	THIRD			0	0.00			Excluded		1	33.33		1	33.33		1	33.33					0	0.00		3
		TOTAL		4	2.99					7	5.22		71	52.99		7	5.22					45	33.58		134
	FOURTH				Excluded					1	25.00		2	50.00		0	0.00					1	25.00		4
		TOTAL								8	5.97		73	54.48		7	5.22					46	34.33		134
	FIFTH										Excluded		3	37.50		5	62.50					0	0.00		8
		TOTAL											76	56.72		12	8.96					46	34.33		134
	SIXTH												2	16.67			Excluded					10	83.33		12
		TOTAL											78	58.21								56	41.79		134
													Elected												
																									
Barwon Heads                                                   																									
	FIRST			33	2.04		24	1.48		139	8.59		618	38.20		173	10.69		13	0.80		618	38.20		1618
	SECOND			0	0.00		2	15.38		2	15.38		3	23.08		2	15.38			Excluded		4	30.77		13
		TOTAL		33	2.04		26	1.61		141	8.71		621	38.38		175	10.82					622	38.44		1618
	THIRD			0	0.00			Excluded		3	11.54		6	23.08		17	65.38					0	0.00		26
		TOTAL		33	2.04					144	8.90		627	38.75		192	11.87					622	38.44		1618
	FOURTH				Excluded					10	30.30		12	36.36		3	9.09					8	24.24		33
		TOTAL								154	9.52		639	39.49		195	12.05					630	38.94		1618
	FIFTH										Excluded		30	19.48		99	64.29					25	16.23		154
		TOTAL											669	41.35		294	18.17					655	40.48		1618
	SIXTH												83	28.23			Excluded					211	71.77		294
		TOTAL											752	46.48								866	53.52		1618
													Elected												
																									
Beeac                                                          																									
	FIRST			17	4.91		1	0.29		4	1.16		205	59.25		9	2.60		12	3.47		98	28.32		346
	SECOND			0	0.00		0	0.00		3	25.00		4	33.33		0	0.00			Excluded		5	41.67		12
		TOTAL		17	4.91		1	0.29		7	2.02		209	60.40		9	2.60					103	29.77		346
	THIRD			1	100.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		1
		TOTAL		18	5.20					7	2.02		209	60.40		9	2.60					103	29.77		346
	FOURTH				Excluded					3	16.67		5	27.78		3	16.67					7	38.89		18
		TOTAL								10	2.89		214	61.85		12	3.47					110	31.79		346
	FIFTH										Excluded		6	60.00		2	20.00					2	20.00		10
		TOTAL											220	63.58		14	4.05					112	32.37		346
	SIXTH												4	28.57			Excluded					10	71.43		14
		TOTAL											224	64.74								122	35.26		346
													Elected												
																									
Bellbrae                                                       																									
	FIRST			1	0.18		14	2.45		33	5.78		242	42.38		72	12.61		8	1.40		201	35.20		571
	SECOND			0	0.00		1	12.50		2	25.00		3	37.50		0	0.00			Excluded		2	25.00		8
		TOTAL		1	0.18		15	2.63		35	6.13		245	42.91		72	12.61					203	35.55		571
	THIRD			1	6.67			Excluded		4	26.67		4	26.67		3	20.00					3	20.00		15
		TOTAL		2	0.35					39	6.83		249	43.61		75	13.13					206	36.08		571
	FOURTH				Excluded					2	100.00		0	0.00		0	0.00					0	0.00		2
		TOTAL								41	7.18		249	43.61		75	13.13					206	36.08		571
	FIFTH										Excluded		8	19.51		22	53.66					11	26.83		41
		TOTAL											257	45.01		97	16.99					217	38.00		571
	SIXTH												23	23.71			Excluded					74	76.29		97
		TOTAL											280	49.04								291	50.96		571
													Elected												
																									
Belmont                                                        																									
	FIRST			36	1.79		32	1.59		131	6.51		969	48.16		128	6.36		26	1.29		690	34.29		2012
	SECOND			7	26.92		0	0.00		3	11.54		9	34.62		4	15.38			Excluded		3	11.54		26
		TOTAL		43	2.14		32	1.59		134	6.66		978	48.61		132	6.56					693	34.44		2012
	THIRD			6	18.75			Excluded		6	18.75		5	15.63		12	37.50					3	9.38		32
		TOTAL		49	2.44					140	6.96		983	48.86		144	7.16					696	34.59		2012
	FOURTH				Excluded					21	42.86		17	34.69		3	6.12					8	16.33		49
		TOTAL								161	8.00		1000	49.70		147	7.31					704	34.99		2012
	FIFTH										Excluded		44	27.33		89	55.28					28	17.39		161
		TOTAL											1044	51.89		236	11.73					732	36.38		2012
	SIXTH												70	29.66			Excluded					166	70.34		236
		TOTAL											1114	55.37								898	44.63		2012
													Elected												
																									
Belmont North                                                  																									
	FIRST			32	1.42		71	3.16		184	8.18		988	43.93		138	6.14		21	0.93		815	36.24		2249
	SECOND			2	9.52		3	14.29		3	14.29		3	14.29		5	23.81			Excluded		5	23.81		21
		TOTAL		34	1.51		74	3.29		187	8.31		991	44.06		143	6.36					820	36.46		2249
	THIRD			3	4.05			Excluded		6	8.11		19	25.68		44	59.46					2	2.70		74
		TOTAL		37	1.65					193	8.58		1010	44.91		187	8.31					822	36.55		2249
	FOURTH				Excluded					13	35.14		13	35.14		5	13.51					6	16.22		37
		TOTAL								206	9.16		1023	45.49		192	8.54					828	36.82		2249
	FIFTH										Excluded		40	19.42		121	58.74					45	21.84		206
		TOTAL											1063	47.27		313	13.92					873	38.82		2249
	SIXTH												115	36.74			Excluded					198	63.26		313
		TOTAL											1178	52.38								1071	47.62		2249
													Elected												
																									
Birregurra                                                     																									
	FIRST			17	2.98		10	1.75		15	2.63		288	50.53		34	5.96		14	2.46		192	33.68		570
	SECOND			0	0.00		1	7.14		1	7.14		5	35.71		6	42.86			Excluded		1	7.14		14
		TOTAL		17	2.98		11	1.93		16	2.81		293	51.40		40	7.02					193	33.86		570
	THIRD			0	0.00			Excluded		4	36.36		5	45.45		2	18.18					0	0.00		11
		TOTAL		17	2.98					20	3.51		298	52.28		42	7.37					193	33.86		570
	FOURTH				Excluded					4	23.53		6	35.29		3	17.65					4	23.53		17
		TOTAL								24	4.21		304	53.33		45	7.89					197	34.56		570
	FIFTH										Excluded		10	41.67		11	45.83					3	12.50		24
		TOTAL											314	55.09		56	9.82					200	35.09		570
	SIXTH												16	28.57			Excluded					40	71.43		56
		TOTAL											330	57.89								240	42.11		570
													Elected												
																									
Carlisle River                                                 																									
	FIRST			3	3.09		3	3.09		4	4.12		64	65.98		4	4.12		3	3.09		16	16.49		97
	SECOND			0	0.00		0	0.00		0	0.00		2	66.67		0	0.00			Excluded		1	33.33		3
		TOTAL		3	3.09		3	3.09		4	4.12		66	68.04		4	4.12					17	17.53		97
	THIRD			0	0.00			Excluded		0	0.00		1	33.33		2	66.67					0	0.00		3
		TOTAL		3	3.09					4	4.12		67	69.07		6	6.19					17	17.53		97
	FOURTH				Excluded					0	0.00		2	66.67		1	33.33					0	0.00		3
		TOTAL								4	4.12		69	71.13		7	7.22					17	17.53		97
	FIFTH										Excluded		2	50.00		1	25.00					1	25.00		4
		TOTAL											71	73.20		8	8.25					18	18.56		97
	SIXTH												4	50.00			Excluded					4	50.00		8
		TOTAL											75	77.32								22	22.68		97
													Elected												
																									
Ceres                                                          																									
	FIRST			8	1.38		24	4.13		30	5.16		352	60.59		26	4.48		12	2.07		129	22.20		581
	SECOND			1	8.33		1	8.33		3	25.00		0	0.00		2	16.67			Excluded		5	41.67		12
		TOTAL		9	1.55		25	4.30		33	5.68		352	60.59		28	4.82					134	23.06		581
	THIRD			1	4.00			Excluded		3	12.00		3	12.00		18	72.00					0	0.00		25
		TOTAL		10	1.72					36	6.20		355	61.10		46	7.92					134	23.06		581
	FOURTH				Excluded					2	20.00		5	50.00		2	20.00					1	10.00		10
		TOTAL								38	6.54		360	61.96		48	8.26					135	23.24		581
	FIFTH										Excluded		16	42.11		14	36.84					8	21.05		38
		TOTAL											376	64.72		62	10.67					143	24.61		581
	SIXTH												28	45.16			Excluded					34	54.84		62
		TOTAL											404	69.54								177	30.46		581
													Elected												
																									
Colac                                                          																									
	FIRST			55	3.25		22	1.30		56	3.31		871	51.51		64	3.78		71	4.20		552	32.64		1691
	SECOND			8	11.27		0	0.00		8	11.27		21	29.58		10	14.08			Excluded		24	33.80		71
		TOTAL		63	3.73		22	1.30		64	3.78		892	52.75		74	4.38					576	34.06		1691
	THIRD			3	13.64			Excluded		7	31.82		4	18.18		5	22.73					3	13.64		22
		TOTAL		66	3.90					71	4.20		896	52.99		79	4.67					579	34.24		1691
	FOURTH				Excluded					36	54.55		15	22.73		2	3.03					13	19.70		66
		TOTAL								107	6.33		911	53.87		81	4.79					592	35.01		1691
	FIFTH										Excluded		45	42.06		41	38.32					21	19.63		107
		TOTAL											956	56.53		122	7.21					613	36.25		1691
	SIXTH												40	32.79			Excluded					82	67.21		122
		TOTAL											996	58.90								695	41.10		1691
													Elected												
																									
Colac East                                                     																									
	FIRST			78	3.89		30	1.50		95	4.74		1077	53.69		71	3.54		75	3.74		580	28.91		2006
	SECOND			13	17.33		6	8.00		12	16.00		21	28.00		6	8.00			Excluded		17	22.67		75
		TOTAL		91	4.54		36	1.79		107	5.33		1098	54.74		77	3.84					597	29.76		2006
	THIRD			8	22.22			Excluded		7	19.44		11	30.56		7	19.44					3	8.33		36
		TOTAL		99	4.94					114	5.68		1109	55.28		84	4.19					600	29.91		2006
	FOURTH				Excluded					28	28.28		29	29.29		17	17.17					25	25.25		99
		TOTAL								142	7.08		1138	56.73		101	5.03					625	31.16		2006
	FIFTH										Excluded		51	35.92		60	42.25					31	21.83		142
		TOTAL											1189	59.27		161	8.03					656	32.70		2006
	SIXTH												59	36.65			Excluded					102	63.35		161
		TOTAL											1248	62.21								758	37.79		2006
													Elected												
																									
Colac West                                                     																									
	FIRST			68	3.48		33	1.69		82	4.20		1059	54.20		64	3.28		84	4.30		564	28.86		1954
	SECOND			15	17.86		3	3.57		5	5.95		24	28.57		14	16.67			Excluded		23	27.38		84
		TOTAL		83	4.25		36	1.84		87	4.45		1083	55.42		78	3.99					587	30.04		1954
	THIRD			4	11.11			Excluded		4	11.11		9	25.00		12	33.33					7	19.44		36
		TOTAL		87	4.45					91	4.66		1092	55.89		90	4.61					594	30.40		1954
	FOURTH				Excluded					31	35.63		33	37.93		10	11.49					13	14.94		87
		TOTAL								122	6.24		1125	57.57		100	5.12					607	31.06		1954
	FIFTH										Excluded		50	40.98		40	32.79					32	26.23		122
		TOTAL											1175	60.13		140	7.16					639	32.70		1954
	SIXTH												55	39.29			Excluded					85	60.71		140
		TOTAL											1230	62.95								724	37.05		1954
													Elected												
																									
Collendina                                                     																									
	FIRST			58	1.85		85	2.71		243	7.75		1318	42.04		220	7.02		30	0.96		1181	37.67		3135
	SECOND			0	0.00		2	6.67		4	13.33		7	23.33		9	30.00			Excluded		8	26.67		30
		TOTAL		58	1.85		87	2.78		247	7.88		1325	42.26		229	7.30					1189	37.93		3135
	THIRD			4	4.60			Excluded		10	11.49		14	16.09		54	62.07					5	5.75		87
		TOTAL		62	1.98					257	8.20		1339	42.71		283	9.03					1194	38.09		3135
	FOURTH				Excluded					27	43.55		18	29.03		7	11.29					10	16.13		62
		TOTAL								284	9.06		1357	43.29		290	9.25					1204	38.41		3135
	FIFTH										Excluded		68	23.94		166	58.45					50	17.61		284
		TOTAL											1425	45.45		456	14.55					1254	40.00		3135
	SIXTH												168	36.84			Excluded					288	63.16		456
		TOTAL											1593	50.81								1542	49.19		3135
													Elected												
																									
Connewarre                                                     																									
	FIRST			9	3.53		2	0.78		11	4.31		110	43.14		20	7.84		3	1.18		100	39.22		255
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		1	33.33			Excluded		1	33.33		3
		TOTAL		9	3.53		2	0.78		11	4.31		111	43.53		21	8.24					101	39.61		255
	THIRD			0	0.00			Excluded		1	50.00		1	50.00		0	0.00					0	0.00		2
		TOTAL		9	3.53					12	4.71		112	43.92		21	8.24					101	39.61		255
	FOURTH				Excluded					3	33.33		2	22.22		2	22.22					2	22.22		9
		TOTAL								15	5.88		114	44.71		23	9.02					103	40.39		255
	FIFTH										Excluded		6	40.00		7	46.67					2	13.33		15
		TOTAL											120	47.06		30	11.76					105	41.18		255
	SIXTH												8	26.67			Excluded					22	73.33		30
		TOTAL											128	50.20								127	49.80		255
													Elected												
																									
Cororooke                                                      																									
	FIRST			18	4.23		4	0.94		22	5.16		223	52.35		18	4.23		25	5.87		116	27.23		426
	SECOND			6	24.00		1	4.00		1	4.00		8	32.00		3	12.00			Excluded		6	24.00		25
		TOTAL		24	5.63		5	1.17		23	5.40		231	54.23		21	4.93					122	28.64		426
	THIRD			0	0.00			Excluded		1	20.00		2	40.00		1	20.00					1	20.00		5
		TOTAL		24	5.63					24	5.63		233	54.69		22	5.16					123	28.87		426
	FOURTH				Excluded					4	16.67		14	58.33		1	4.17					5	20.83		24
		TOTAL								28	6.57		247	57.98		23	5.40					128	30.05		426
	FIFTH										Excluded		14	50.00		7	25.00					7	25.00		28
		TOTAL											261	61.27		30	7.04					135	31.69		426
	SIXTH												12	40.00			Excluded					18	60.00		30
		TOTAL											273	64.08								153	35.92		426
													Elected												
																									
Cressy                                                         																									
	FIRST			8	5.56		1	0.69		4	2.78		95	65.97		0	0.00		4	2.78		32	22.22		144
	SECOND			0	0.00		0	0.00		1	25.00		3	75.00		0	0.00			Excluded		0	0.00		4
		TOTAL		8	5.56		1	0.69		5	3.47		98	68.06		0	0.00					32	22.22		144
	THIRD			0	0.00			Excluded		0	0.00		1	100.00		0	0.00					0	0.00		1
		TOTAL		8	5.56					5	3.47		99	68.75		0	0.00					32	22.22		144
	FOURTH				Excluded					3	37.50		2	25.00		1	12.50					2	25.00		8
		TOTAL								8	5.56		101	70.14		1	0.69					34	23.61		144
	FIFTH										Excluded		0	0.00		5	62.50					3	37.50		8
		TOTAL											101	70.14		6	4.17					37	25.69		144
	SIXTH												2	33.33			Excluded					4	66.67		6
		TOTAL											103	71.53								41	28.47		144
													Elected												
																									
Deans Marsh                                                    																									
	FIRST			13	5.16		10	3.97		14	5.56		103	40.87		26	10.32		8	3.17		78	30.95		252
	SECOND			2	25.00		0	0.00		0	0.00		1	12.50		2	25.00			Excluded		3	37.50		8
		TOTAL		15	5.95		10	3.97		14	5.56		104	41.27		28	11.11					81	32.14		252
	THIRD			0	0.00			Excluded		1	10.00		4	40.00		4	40.00					1	10.00		10
		TOTAL		15	5.95					15	5.95		108	42.86		32	12.70					82	32.54		252
	FOURTH				Excluded					4	26.67		9	60.00		1	6.67					1	6.67		15
		TOTAL								19	7.54		117	46.43		33	13.10					83	32.94		252
	FIFTH										Excluded		7	36.84		7	36.84					5	26.32		19
		TOTAL											124	49.21		40	15.87					88	34.92		252
	SIXTH												6	15.00			Excluded					34	85.00		40
		TOTAL											130	51.59								122	48.41		252
													Elected												
																									
Dereel                                                         																									
	FIRST			24	9.68		2	0.81		16	6.45		72	29.03		11	4.44		5	2.02		118	47.58		248
	SECOND			2	40.00		1	20.00		2	40.00		0	0.00		0	0.00			Excluded		0	0.00		5
		TOTAL		26	10.48		3	1.21		18	7.26		72	29.03		11	4.44					118	47.58		248
	THIRD			0	0.00			Excluded		0	0.00		1	33.33		1	33.33					1	33.33		3
		TOTAL		26	10.48					18	7.26		73	29.44		12	4.84					119	47.98		248
	FOURTH				Excluded					4	15.38		11	42.31		4	15.38					7	26.92		26
		TOTAL								22	8.87		84	33.87		16	6.45					126	50.81		248
	FIFTH										Excluded		5	22.73		10	45.45					7	31.82		22
		TOTAL											89	35.89		26	10.48					133	53.63		248
	SIXTH												9	34.62			Excluded					17	65.38		26
		TOTAL											98	39.52								150	60.48		248
													Elected												
																									
Drysdale (Corangamite)                                         																									
	FIRST			25	3.26		6	0.78		49	6.40		422	55.09		44	5.74		7	0.91		213	27.81		766
	SECOND			4	57.14		1	14.29		0	0.00		0	0.00		2	28.57			Excluded		0	0.00		7
		TOTAL		29	3.79		7	0.91		49	6.40		422	55.09		46	6.01					213	27.81		766
	THIRD			1	14.29			Excluded		0	0.00		4	57.14		2	28.57					0	0.00		7
		TOTAL		30	3.92					49	6.40		426	55.61		48	6.27					213	27.81		766
	FOURTH				Excluded					6	20.00		13	43.33		3	10.00					8	26.67		30
		TOTAL								55	7.18		439	57.31		51	6.66					221	28.85		766
	FIFTH										Excluded		9	16.36		32	58.18					14	25.45		55
		TOTAL											448	58.49		83	10.84					235	30.68		766
	SIXTH												31	37.35			Excluded					52	62.65		83
		TOTAL											479	62.53								287	37.47		766
													Elected												
																									
Elliminyt                                                      																									
	FIRST			45	3.15		20	1.40		48	3.36		820	57.42		48	3.36		65	4.55		382	26.75		1428
	SECOND			18	27.69		2	3.08		7	10.77		20	30.77		6	9.23			Excluded		12	18.46		65
		TOTAL		63	4.41		22	1.54		55	3.85		840	58.82		54	3.78					394	27.59		1428
	THIRD			3	13.64			Excluded		4	18.18		9	40.91		5	22.73					1	4.55		22
		TOTAL		66	4.62					59	4.13		849	59.45		59	4.13					395	27.66		1428
	FOURTH				Excluded					24	36.36		32	48.48		5	7.58					5	7.58		66
		TOTAL								83	5.81		881	61.69		64	4.48					400	28.01		1428
	FIFTH										Excluded		33	39.76		25	30.12					25	30.12		83
		TOTAL											914	64.01		89	6.23					425	29.76		1428
	SIXTH												23	25.84			Excluded					66	74.16		89
		TOTAL											937	65.62								491	34.38		1428
													Elected												
																									
Forrest                                                        																									
	FIRST			15	5.49		8	2.93		12	4.40		111	40.66		46	16.85		13	4.76		68	24.91		273
	SECOND			2	15.38		0	0.00		2	15.38		6	46.15		1	7.69			Excluded		2	15.38		13
		TOTAL		17	6.23		8	2.93		14	5.13		117	42.86		47	17.22					70	25.64		273
	THIRD			1	12.50			Excluded		1	12.50		0	0.00		6	75.00					0	0.00		8
		TOTAL		18	6.59					15	5.49		117	42.86		53	19.41					70	25.64		273
	FOURTH				Excluded					5	27.78		7	38.89		1	5.56					5	27.78		18
		TOTAL								20	7.33		124	45.42		54	19.78					75	27.47		273
	FIFTH										Excluded		8	40.00		8	40.00					4	20.00		20
		TOTAL											132	48.35		62	22.71					79	28.94		273
	SIXTH												11	17.74			Excluded					51	82.26		62
		TOTAL											143	52.38								130	47.62		273
													Elected												
																									
Freshwater Creek                                               																									
	FIRST			4	2.19		4	2.19		12	6.56		114	62.30		9	4.92		5	2.73		35	19.13		183
	SECOND			1	20.00		0	0.00		2	40.00		1	20.00		0	0.00			Excluded		1	20.00		5
		TOTAL		5	2.73		4	2.19		14	7.65		115	62.84		9	4.92					36	19.67		183
	THIRD			0	0.00			Excluded		0	0.00		3	75.00		1	25.00					0	0.00		4
		TOTAL		5	2.73					14	7.65		118	64.48		10	5.46					36	19.67		183
	FOURTH				Excluded					2	40.00		2	40.00		0	0.00					1	20.00		5
		TOTAL								16	8.74		120	65.57		10	5.46					37	20.22		183
	FIFTH										Excluded		7	43.75		7	43.75					2	12.50		16
		TOTAL											127	69.40		17	9.29					39	21.31		183
	SIXTH												6	35.29			Excluded					11	64.71		17
		TOTAL											133	72.68								50	27.32		183
													Elected												
																									
Fyansford                                                      																									
	FIRST			5	2.67		4	2.14		12	6.42		111	59.36		14	7.49		0	0.00		41	21.93		187
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		5	2.67		4	2.14		12	6.42		111	59.36		14	7.49					41	21.93		187
	THIRD			0	0.00			Excluded		0	0.00		1	25.00		2	50.00					1	25.00		4
		TOTAL		5	2.67					12	6.42		112	59.89		16	8.56					42	22.46		187
	FOURTH				Excluded					2	40.00		3	60.00		0	0.00					0	0.00		5
		TOTAL								14	7.49		115	61.50		16	8.56					42	22.46		187
	FIFTH										Excluded		3	21.43		5	35.71					6	42.86		14
		TOTAL											118	63.10		21	11.23					48	25.67		187
	SIXTH												7	33.33			Excluded					14	66.67		21
		TOTAL											125	66.84								62	33.16		187
													Elected												
																									
Gellibrand River                                               																									
	FIRST			11	4.21		9	3.45		11	4.21		107	41.00		30	11.49		11	4.21		82	31.42		261
	SECOND			4	36.36		0	0.00		2	18.18		2	18.18		1	9.09			Excluded		2	18.18		11
		TOTAL		15	5.75		9	3.45		13	4.98		109	41.76		31	11.88					84	32.18		261
	THIRD			2	22.22			Excluded		1	11.11		4	44.44		0	0.00					2	22.22		9
		TOTAL		17	6.51					14	5.36		113	43.30		31	11.88					86	32.95		261
	FOURTH				Excluded					5	29.41		3	17.65		4	23.53					5	29.41		17
		TOTAL								19	7.28		116	44.44		35	13.41					91	34.87		261
	FIFTH										Excluded		11	57.89		3	15.79					5	26.32		19
		TOTAL											127	48.66		38	14.56					96	36.78		261
	SIXTH												7	18.42			Excluded					31	81.58		38
		TOTAL											134	51.34								127	48.66		261
													Elected												
																									
Grovedale                                                      																									
	FIRST			73	2.00		117	3.21		251	6.88		1616	44.32		140	3.84		55	1.51		1394	38.23		3646
	SECOND			7	12.73		5	9.09		9	16.36		11	20.00		8	14.55			Excluded		15	27.27		55
		TOTAL		80	2.19		122	3.35		260	7.13		1627	44.62		148	4.06					1409	38.65		3646
	THIRD			9	7.38			Excluded		10	8.20		20	16.39		79	64.75					4	3.28		122
		TOTAL		89	2.44					270	7.41		1647	45.17		227	6.23					1413	38.75		3646
	FOURTH				Excluded					31	34.83		23	25.84		11	12.36					24	26.97		89
		TOTAL								301	8.26		1670	45.80		238	6.53					1437	39.41		3646
	FIFTH										Excluded		57	18.94		178	59.14					66	21.93		301
		TOTAL											1727	47.37		416	11.41					1503	41.22		3646
	SIXTH												165	39.66			Excluded					251	60.34		416
		TOTAL											1892	51.89								1754	48.11		3646
													Elected												
																									
Grovedale East                                                 																									
	FIRST			28	2.05		73	5.34		65	4.75		635	46.42		46	3.36		16	1.17		505	36.92		1368
	SECOND			1	6.25		1	6.25		4	25.00		3	18.75		5	31.25			Excluded		2	12.50		16
		TOTAL		29	2.12		74	5.41		69	5.04		638	46.64		51	3.73					507	37.06		1368
	THIRD			1	1.35			Excluded		0	0.00		12	16.22		58	78.38					3	4.05		74
		TOTAL		30	2.19					69	5.04		650	47.51		109	7.97					510	37.28		1368
	FOURTH				Excluded					12	40.00		10	33.33		2	6.67					6	20.00		30
		TOTAL								81	5.92		660	48.25		111	8.11					516	37.72		1368
	FIFTH										Excluded		32	39.51		32	39.51					17	20.99		81
		TOTAL											692	50.58		143	10.45					533	38.96		1368
	SIXTH												61	42.66			Excluded					82	57.34		143
		TOTAL											753	55.04								615	44.96		1368
													Elected												
																									
Highton                                                        																									
	FIRST			40	1.44		108	3.89		197	7.10		1474	53.14		116	4.18		19	0.68		820	29.56		2774
	SECOND			0	0.00		3	15.79		4	21.05		3	15.79		4	21.05			Excluded		5	26.32		19
		TOTAL		40	1.44		111	4.00		201	7.25		1477	53.24		120	4.33					825	29.74		2774
	THIRD			7	6.31			Excluded		3	2.70		25	22.52		69	62.16					7	6.31		111
		TOTAL		47	1.69					204	7.35		1502	54.15		189	6.81					832	29.99		2774
	FOURTH				Excluded					21	44.68		15	31.91		4	8.51					7	14.89		47
		TOTAL								225	8.11		1517	54.69		193	6.96					839	30.25		2774
	FIFTH										Excluded		47	20.89		140	62.22					38	16.89		225
		TOTAL											1564	56.38		333	12.00					877	31.61		2774
	SIXTH												125	37.54			Excluded					208	62.46		333
