House of Representatives - 2001 Election: Victoria																																
First Preference Votes and TCP 																																
By Candidate by Polling Place																																

Scullin (88866)																																
	MAWHINNEY			CAMPBELL			KOSTADINOSKI			GRAY			# JENKINS			FORMAL			INFORMAL			TOTAL										
	Brian			Trudy			Lucas			Merinda			Harry											Two Candidate Preferred								
	DEM			CEC			LP			GRN			ALP											 KOSTADINOSKI LP				# JENKINS ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Thomastown East	121	5.48		14	0.63		348	15.76		44	1.99		1681	76.13		2208	94.24		135	5.76		2343	2.74		420	19.02		1788	80.98			
Thomastown Meadows	106	4.51		9	0.38		302	12.85		39	1.66		1894	80.60		2350	95.10		121	4.90		2471	2.89		355	15.11		1995	84.89			
Thomastown West	255	5.23		33	0.68		681	13.95		120	2.46		3791	77.68		4880	94.76		270	5.24		5150	6.02		862	17.66		4018	82.34			
Watsonia North	302	8.58		14	0.40		1258	35.76		151	4.29		1793	50.97		3518	94.95		187	5.05		3705	4.33		1390	39.51		2128	60.49			
Special Hospitals	2	1.34		1	0.67		60	40.27		2	1.34		84	56.38		149	97.39		4	2.61		153	0.18		63	42.28		86	57.72			
Total Ordinary	4559	6.34		454	0.63		18799	26.16		1955	2.72		46100	64.15		71867	95.11		3693	4.89		75560	88.37		21537	29.97		50330	70.03			
ABSENT	417	8.96		89	1.91		1431	30.75		307	6.60		2410	51.78		4654	92.86		358	7.14		5012	5.86		1796	38.59		2858	61.41			
POSTAL	148	6.35		14	0.60		723	31.00		61	2.62		1386	59.43		2332	98.56		34	1.44		2366	2.77		813	34.86		1519	65.14			
PRE_POLL	152	7.58		27	1.35		657	32.75		86	4.29		1084	54.04		2006	96.58		71	3.42		2077	2.43		779	38.83		1227	61.17			
PROVISIONAL	30	6.56		5	1.09		96	21.01		12	2.63		314	68.71		457	93.84		30	6.16		487	0.57		126	27.57		331	72.43			
Division Summary	5306	6.53		589	0.72		21706	26.69		2421	2.98		51294	63.08		81316	95.10		4186	4.90		85502	96.21		25051	30.81		56265	69.19			
																																
																																
																													
																													
																													
