Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Sturt (86359)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Holden Hill		982	40.25		77	3.16		140	5.74		4	0.16		908	37.21		1	0.04		1	0.04		7	0.29		316	12.95		4	0.16		2440	96.33		93	3.67		2533	3.06
Kensington Gardens		304	19.08		60	3.77		26	1.63		1	0.06		973	61.08		0	0.00		1	0.06		1	0.06		226	14.19		1	0.06		1593	96.08		65	3.92		1658	2.01
Kensington Park		306	22.29		80	5.83		27	1.97		0	0.00		725	52.80		0	0.00		0	0.00		6	0.44		225	16.39		4	0.29		1373	97.65		33	2.35		1406	1.70
Klemzig		949	39.94		91	3.83		113	4.76		6	0.25		914	38.47		1	0.04		0	0.00		1	0.04		299	12.58		2	0.08		2376	95.08		123	4.92		2499	3.02
Linden Park		268	19.17		67	4.79		19	1.36		3	0.21		836	59.80		0	0.00		1	0.07		4	0.29		196	14.02		4	0.29		1398	97.29		39	2.71		1437	1.74
Magill (Sturt)		668	26.86		112	4.50		68	2.73		2	0.08		1295	52.07		1	0.04		1	0.04		6	0.24		332	13.35		2	0.08		2487	96.02		103	3.98		2590	3.13
Magill North		772	42.82		66	3.66		49	2.72		3	0.17		686	38.05		2	0.11		1	0.06		2	0.11		220	12.20		2	0.11		1803	95.65		82	4.35		1885	2.28
Marden		105	26.52		22	5.56		21	5.30		1	0.25		177	44.70		0	0.00		0	0.00		2	0.51		67	16.92		1	0.25		396	94.96		21	5.04		417	0.50
Marden West (Sturt)		603	36.26		61	3.67		54	3.25		3	0.18		665	39.99		1	0.06		0	0.00		2	0.12		269	16.18		5	0.30		1663	93.85		109	6.15		1772	2.14
Marryatville		108	22.55		14	2.92		10	2.09		0	0.00		263	54.91		0	0.00		2	0.42		1	0.21		80	16.70		1	0.21		479	97.36		13	2.64		492	0.60
Maylands		553	35.68		123	7.94		29	1.87		1	0.06		574	37.03		0	0.00		0	0.00		3	0.19		265	17.10		2	0.13		1550	95.38		75	4.62		1625	1.97
Norwood		602	29.83		160	7.93		28	1.39		0	0.00		887	43.95		1	0.05		0	0.00		5	0.25		334	16.55		1	0.05		2018	96.60		71	3.40		2089	2.53
Norwood West		533	27.55		126	6.51		14	0.72		8	0.41		850	43.93		0	0.00		1	0.05		2	0.10		400	20.67		1	0.05		1935	97.43		51	2.57		1986	2.40
Paradise West		406	37.77		26	2.42		41	3.81		2	0.19		457	42.51		1	0.09		0	0.00		5	0.47		131	12.19		6	0.56		1075	95.47		51	4.53		1126	1.36
Rose Park		254	20.70		71	5.79		15	1.22		0	0.00		680	55.42		0	0.00		0	0.00		2	0.16		202	16.46		3	0.24		1227	98.79		15	1.21		1242	1.50
St Morris		435	35.51		60	4.90		54	4.41		2	0.16		497	40.57		1	0.08		0	0.00		2	0.16		172	14.04		2	0.16		1225	95.78		54	4.22		1279	1.55
Stonyfell		302	15.77		54	2.82		27	1.41		1	0.05		1291	67.42		0	0.00		1	0.05		5	0.26		233	12.17		1	0.05		1915	96.96		60	3.04		1975	2.39
Toorak Gardens		316	18.76		72	4.28		16	0.95		3	0.18		1000	59.38		0	0.00		0	0.00		6	0.36		268	15.91		3	0.18		1684	96.78		56	3.22		1740	2.10
Tranmere		449	25.82		79	4.54		43	2.47		2	0.12		878	50.49		0	0.00		4	0.23		5	0.29		277	15.93		2	0.12		1739	95.92		74	4.08		1813	2.19
Trinity Gardens		635	35.84		77	4.35		39	2.20		1	0.06		723	40.80		1	0.06		1	0.06		8	0.45		283	15.97		4	0.23		1772	95.53		83	4.47		1855	2.24
Tusmore		341	17.58		93	4.79		27	1.39		2	0.10		1173	60.46		1	0.05		1	0.05		4	0.21		295	15.21		3	0.15		1940	97.00		60	3.00		2000	2.42
Vale Park		506	28.49		58	3.27		52	2.93		1	0.06		936	52.70		2	0.11		0	0.00		4	0.23		217	12.22		0	0.00		1776	96.84		58	3.16		1834	2.22
Windsor Gardens East		299	37.47		24	3.01		28	3.51		3	0.38		310	38.85		2	0.25		1	0.13		1	0.13		129	16.17		1	0.13		798	97.67		19	2.33		817	0.99
Windsor Gardens West		446	39.09		57	5.00		59	5.17		2	0.18		423	37.07		1	0.09		2	0.18		2	0.18		147	12.88		2	0.18		1141	96.94		36	3.06		1177	1.42
Special Hospitals		178	27.47		4	0.62		11	1.70		0	0.00		420	64.81		0	0.00		0	0.00		1	0.15		34	5.25		0	0.00		648	97.15		19	2.85		667	0.81
Total Ordinary		19907	29.66		2700	4.02		1814	2.70		95	0.14		32768	48.83		35	0.05		34	0.05		148	0.22		9524	14.19		84	0.13		67109	96.20		2653	3.80		69762	84.38
ABSENT		1694	30.35		297	5.32		161	2.88		6	0.11		2396	42.92		1	0.02		2	0.04		12	0.21		1006	18.02		7	0.13		5582	98.33		95	1.67		5677	6.87
POSTAL		793	23.79		110	3.30		136	4.08		1	0.03		1927	57.82		2	0.06		2	0.06		13	0.39		340	10.20		9	0.27		3333	98.55		49	1.45		3382	4.09
PRE_POLL		838	26.18		116	3.62		54	1.69		3	0.09		1207	37.71		1	0.03		427	13.34		11	0.34		540	16.87		4	0.12		3201	98.86		37	1.14		3238	3.92
PROVISIONAL		196	32.78		47	7.86		19	3.18		2	0.33		233	38.96		1	0.17		0	0.00		0	0.00		100	16.72		0	0.00		598	97.24		17	2.76		615	0.74
Division Summary		23428	29.35		3270	4.1		2184	2.74		107	0.13		38531	48.27		40	0.05		465	0.58		184	0.23		11510	14.42		104	0.13		79823	96.55		2851	3.45		82674	95.73
