House of Representatives - 2001 Election: South Australia																									
Distribution of Preferences 																									
By Polling Place																									
																									
Barker																									
				DETCHON			RIGNEY			BALLINGER			WRIGHT			CORNISH			MILLER			SECKER			
		TOTAL		257	14.37		29	1.62		190	10.63		85	4.75					53	2.96		1174	65.66		1788
	THIRD			9	31.03			Excluded		10	34.48		2	6.90					4	13.79		4	13.79		29
		TOTAL		266	14.88					200	11.19		87	4.87					57	3.19		1178	65.88		1788
	FOURTH			36	18.00						Excluded		37	18.50					20	10.00		107	53.50		200
		TOTAL		302	16.89								124	6.94					77	4.31		1285	71.87		1788
	FIFTH			30	24.19									Excluded					34	27.42		60	48.39		124
		TOTAL		332	18.57														111	6.21		1345	75.22		1788
	SIXTH			54	48.65															Excluded		57	51.35		111
		TOTAL		386	21.59																	1402	78.41		1788
																						Elected			
																									
Cambrai                                                        																									
	FIRST			52	23.32		9	4.04		6	2.69		27	12.11		5	2.24		12	5.38		112	50.22		223
	SECOND			1	20.00		0	0.00		0	0.00		2	40.00			Excluded		0	0.00		2	40.00		5
		TOTAL		53	23.77		9	4.04		6	2.69		29	13.00					12	5.38		114	51.12		223
	THIRD			3	33.33			Excluded		1	11.11		1	11.11					4	44.44		0	0.00		9
		TOTAL		56	25.11					7	3.14		30	13.45					16	7.17		114	51.12		223
	FOURTH			0	0.00						Excluded		1	14.29					2	28.57		4	57.14		7
		TOTAL		56	25.11								31	13.90					18	8.07		118	52.91		223
	FIFTH			9	29.03									Excluded					11	35.48		11	35.48		31
		TOTAL		65	29.15														29	13.00		129	57.85		223
	SIXTH			17	58.62															Excluded		12	41.38		29
		TOTAL		82	36.77																	141	63.23		223
																						Elected			
																									
Carpenter Rocks                                                																									
	FIRST			43	21.83		6	3.05		6	3.05		48	24.37		2	1.02		1	0.51		91	46.19		197
	SECOND			1	50.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		2
		TOTAL		44	22.34		6	3.05		7	3.55		48	24.37					1	0.51		91	46.19		197
	THIRD			0	0.00			Excluded		1	16.67		0	0.00					4	66.67		1	16.67		6
		TOTAL		44	22.34					8	4.06		48	24.37					5	2.54		92	46.70		197
	FOURTH			2	25.00						Excluded		2	25.00					2	25.00		2	25.00		8
		TOTAL		46	23.35								50	25.38					7	3.55		94	47.72		197
	FIFTH			17	34.00									Excluded					5	10.00		28	56.00		50
		TOTAL		63	31.98														12	6.09		122	61.93		197
	SIXTH			9	75.00															Excluded		3	25.00		12
		TOTAL		72	36.55																	125	63.45		197
																						Elected			
																									
Compton                                                        																									
	FIRST			55	16.08		5	1.46		12	3.51		36	10.53		2	0.58		18	5.26		214	62.57		342
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	100.00		2
		TOTAL		55	16.08		5	1.46		12	3.51		36	10.53					18	5.26		216	63.16		342
	THIRD			2	40.00			Excluded		1	20.00		0	0.00					1	20.00		1	20.00		5
		TOTAL		57	16.67					13	3.80		36	10.53					19	5.56		217	63.45		342
	FOURTH			2	15.38						Excluded		7	53.85					2	15.38		2	15.38		13
		TOTAL		59	17.25								43	12.57					21	6.14		219	64.04		342
	FIFTH			11	25.58									Excluded					10	23.26		22	51.16		43
		TOTAL		70	20.47														31	9.06		241	70.47		342
	SIXTH			14	45.16															Excluded		17	54.84		31
		TOTAL		84	24.56																	258	75.44		342
																						Elected			
																									
Coomandook                                                     																									
	FIRST			8	4.68		2	1.17		13	7.60		12	7.02		1	0.58		7	4.09		128	74.85		171
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1
		TOTAL		8	4.68		2	1.17		13	7.60		12	7.02					7	4.09		129	75.44		171
	THIRD			2	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		2
		TOTAL		10	5.85					13	7.60		12	7.02					7	4.09		129	75.44		171
	FOURTH			1	7.69						Excluded		0	0.00					4	30.77		8	61.54		13
		TOTAL		11	6.43								12	7.02					11	6.43		137	80.12		171
	FIFTH			2	16.67									Excluded					5	41.67		5	41.67		12
		TOTAL		13	7.60														16	9.36		142	83.04		171
	SIXTH			9	56.25															Excluded		7	43.75		16
		TOTAL		22	12.87																	149	87.13		171
																						Elected			
																									
Coonalpyn                                                      																									
	FIRST			32	11.07		2	0.69		12	4.15		9	3.11		4	1.38		9	3.11		221	76.47		289
	SECOND			0	0.00		0	0.00		2	50.00		0	0.00			Excluded		0	0.00		2	50.00		4
		TOTAL		32	11.07		2	0.69		14	4.84		9	3.11					9	3.11		223	77.16		289
	THIRD			0	0.00			Excluded		0	0.00		1	50.00					0	0.00		1	50.00		2
		TOTAL		32	11.07					14	4.84		10	3.46					9	3.11		224	77.51		289
	FOURTH			1	7.14						Excluded		3	21.43					4	28.57		6	42.86		14
		TOTAL		33	11.42								13	4.50					13	4.50		230	79.58		289
	FIFTH			2	15.38									Excluded					8	61.54		3	23.08		13
		TOTAL		35	12.11														21	7.27		233	80.62		289
	SIXTH			14	66.67															Excluded		7	33.33		21
		TOTAL		49	16.96																	240	83.04		289
																						Elected			
																									
Coonawarra                                                     																									
	FIRST			18	8.70		6	2.90		22	10.63		8	3.86		3	1.45		7	3.38		143	69.08		207
	SECOND			0	0.00		0	0.00		1	33.33		0	0.00			Excluded		0	0.00		2	66.67		3
		TOTAL		18	8.70		6	2.90		23	11.11		8	3.86					7	3.38		145	70.05		207
	THIRD			2	33.33			Excluded		1	16.67		1	16.67					1	16.67		1	16.67		6
		TOTAL		20	9.66					24	11.59		9	4.35					8	3.86		146	70.53		207
	FOURTH			1	4.17						Excluded		2	8.33					2	8.33		19	79.17		24
		TOTAL		21	10.14								11	5.31					10	4.83		165	79.71		207
	FIFTH			5	45.45									Excluded					1	9.09		5	45.45		11
		TOTAL		26	12.56														11	5.31		170	82.13		207
	SIXTH			5	45.45															Excluded		6	54.55		11
		TOTAL		31	14.98																	176	85.02		207
																						Elected			
																									
Currency Creek                                                 																									
	FIRST			54	14.48		19	5.09		5	1.34		29	7.77		4	1.07		44	11.80		218	58.45		373
	SECOND			1	25.00		0	0.00		2	50.00		0	0.00			Excluded		1	25.00		0	0.00		4
		TOTAL		55	14.75		19	5.09		7	1.88		29	7.77					45	12.06		218	58.45		373
	THIRD			4	21.05			Excluded		3	15.79		1	5.26					9	47.37		2	10.53		19
		TOTAL		59	15.82					10	2.68		30	8.04					54	14.48		220	58.98		373
	FOURTH			2	20.00						Excluded		4	40.00					1	10.00		3	30.00		10
		TOTAL		61	16.35								34	9.12					55	14.75		223	59.79		373
	FIFTH			7	20.59									Excluded					8	23.53		19	55.88		34
		TOTAL		68	18.23														63	16.89		242	64.88		373
	SIXTH			44	69.84															Excluded		19	30.16		63
		TOTAL		112	30.03																	261	69.97		373
																						Elected			
																									
Delamere                                                       																									
	FIRST			41	19.71		13	6.25		6	2.88		20	9.62		2	0.96		23	11.06		103	49.52		208
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		1	50.00		2
		TOTAL		41	19.71		13	6.25		7	3.37		20	9.62					23	11.06		104	50.00		208
	THIRD			2	15.38			Excluded		4	30.77		1	7.69					4	30.77		2	15.38		13
		TOTAL		43	20.67					11	5.29		21	10.10					27	12.98		106	50.96		208
	FOURTH			1	9.09						Excluded		4	36.36					3	27.27		3	27.27		11
		TOTAL		44	21.15								25	12.02					30	14.42		109	52.40		208
	FIFTH			5	20.00									Excluded					8	32.00		12	48.00		25
		TOTAL		49	23.56														38	18.27		121	58.17		208
	SIXTH			23	60.53															Excluded		15	39.47		38
		TOTAL		72	34.62																	136	65.38		208
																						Elected			
																									
Frances                                                        																									
	FIRST			12	10.26		1	0.85		4	3.42		16	13.68		1	0.85		2	1.71		81	69.23		117
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1
		TOTAL		12	10.26		1	0.85		4	3.42		16	13.68					2	1.71		82	70.09		117
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					1	100.00		0	0.00		1
		TOTAL		12	10.26					4	3.42		16	13.68					3	2.56		82	70.09		117
	FOURTH			0	0.00						Excluded		1	25.00					0	0.00		3	75.00		4
		TOTAL		12	10.26								17	14.53					3	2.56		85	72.65		117
	FIFTH			1	5.88									Excluded					5	29.41		11	64.71		17
		TOTAL		13	11.11														8	6.84		96	82.05		117
	SIXTH			5	62.50															Excluded		3	37.50		8
		TOTAL		18	15.38																	99	84.62		117
																						Elected			
																									
Furner                                                         																									
	FIRST			6	4.72		2	1.57		3	2.36		6	4.72		2	1.57		4	3.15		104	81.89		127
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00		2
		TOTAL		6	4.72		2	1.57		3	2.36		8	6.30					4	3.15		104	81.89		127
	THIRD			0	0.00			Excluded		0	0.00		0	0.00					1	50.00		1	50.00		2
		TOTAL		6	4.72					3	2.36		8	6.30					5	3.94		105	82.68		127
	FOURTH			1	33.33						Excluded		1	33.33					0	0.00		1	33.33		3
		TOTAL		7	5.51								9	7.09					5	3.94		106	83.46		127
	FIFTH			2	22.22									Excluded					4	44.44		3	33.33		9
		TOTAL		9	7.09														9	7.09		109	85.83		127
	SIXTH			1	11.11															Excluded		8	88.89		9
		TOTAL		10	7.87																	117	92.13		127
																						Elected			
																									
Geranium                                                       																									
	FIRST			10	7.58		4	3.03		3	2.27		6	4.55		6	4.55		10	7.58		93	70.45		132
	SECOND			0	0.00		0	0.00		4	66.67		2	33.33			Excluded		0	0.00		0	0.00		6
		TOTAL		10	7.58		4	3.03		7	5.30		8	6.06					10	7.58		93	70.45		132
	THIRD			2	50.00			Excluded		1	25.00		0	0.00					1	25.00		0	0.00		4
		TOTAL		12	9.09					8	6.06		8	6.06					11	8.33		93	70.45		132
	FOURTH			2	25.00						Excluded		2	25.00					0	0.00		4	50.00		8
		TOTAL		14	10.61								10	7.58					11	8.33		97	73.48		132
	FIFTH			0	0.00									Excluded					3	30.00		7	70.00		10
		TOTAL		14	10.61														14	10.61		104	78.79		132
	SIXTH			5	35.71															Excluded		9	64.29		14
		TOTAL		19	14.39																	113	85.61		132
																						Elected			
																									
Glenburnie                                                     																									
	FIRST			39	19.60		3	1.51		9	4.52		35	17.59		5	2.51		6	3.02		102	51.26		199
	SECOND			0	0.00		0	0.00		1	20.00		2	40.00			Excluded		0	0.00		2	40.00		5
		TOTAL		39	19.60		3	1.51		10	5.03		37	18.59					6	3.02		104	52.26		199
	THIRD			0	0.00			Excluded		0	0.00		1	33.33					2	66.67		0	0.00		3
		TOTAL		39	19.60					10	5.03		38	19.10					8	4.02		104	52.26		199
	FOURTH			1	10.00						Excluded		2	20.00					3	30.00		4	40.00		10
		TOTAL		40	20.10								40	20.10					11	5.53		108	54.27		199
	FIFTH			12	30.00									Excluded					8	20.00		20	50.00		40
		TOTAL		52	26.13														19	9.55		128	64.32		199
	SIXTH			9	47.37															Excluded		10	52.63		19
		TOTAL		61	30.65																	138	69.35		199
																						Elected			
																									
Glencoe                                                        																									
	FIRST			95	25.75		12	3.25		18	4.88		50	13.55		4	1.08		18	4.88		172	46.61		369
	SECOND			0	0.00		0	0.00		0	0.00		1	25.00			Excluded		0	0.00		3	75.00		4
		TOTAL		95	25.75		12	3.25		18	4.88		51	13.82					18	4.88		175	47.43		369
	THIRD			3	25.00			Excluded		1	8.33		0	0.00					5	41.67		3	25.00		12
		TOTAL		98	26.56					19	5.15		51	13.82					23	6.23		178	48.24		369
	FOURTH			3	15.79						Excluded		2	10.53					6	31.58		8	42.11		19
		TOTAL		101	27.37								53	14.36					29	7.86		186	50.41		369
	FIFTH			16	30.19									Excluded					12	22.64		25	47.17		53
		TOTAL		117	31.71														41	11.11		211	57.18		369
	SIXTH			28	68.29															Excluded		13	31.71		41
		TOTAL		145	39.30																	224	60.70		369
																						Elected			
																									
Goolwa                                                         																									
	FIRST			823	27.87		175	5.93		37	1.25		181	6.13		23	0.78		298	10.09		1416	47.95		2953
	SECOND			1	4.35		0	0.00		8	34.78		5	21.74			Excluded		2	8.70		7	30.43		23
		TOTAL		824	27.90		175	5.93		45	1.52		186	6.30					300	10.16		1423	48.19		2953
	THIRD			34	19.43			Excluded		22	12.57		11	6.29					94	53.71		14	8.00		175
		TOTAL		858	29.06					67	2.27		197	6.67					394	13.34		1437	48.66		2953
	FOURTH			13	19.40						Excluded		11	16.42					29	43.28		14	20.90		67
		TOTAL		871	29.50								208	7.04					423	14.32		1451	49.14		2953
	FIFTH			50	24.04									Excluded					41	19.71		117	56.25		208
		TOTAL		921	31.19														464	15.71		1568	53.10		2953
	SIXTH			306	65.95															Excluded		158	34.05		464
		TOTAL		1227	41.55																	1726	58.45		2953
																						Elected			
																									
Gosse                                                          																									
	FIRST			5	8.33		5	8.33		3	5.00		5	8.33		0	0.00		10	16.67		32	53.33		60
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		5	8.33		5	8.33		3	5.00		5	8.33					10	16.67		32	53.33		60
	THIRD			1	20.00			Excluded		1	20.00		0	0.00					3	60.00		0	0.00		5
		TOTAL		6	10.00					4	6.67		5	8.33					13	21.67		32	53.33		60
	FOURTH			0	0.00						Excluded		1	25.00					1	25.00		2	50.00		4
		TOTAL		6	10.00								6	10.00					14	23.33		34	56.67		60
	FIFTH			1	16.67									Excluded					2	33.33		3	50.00		6
		TOTAL		7	11.67														16	26.67		37	61.67		60
	SIXTH			12	75.00															Excluded		4	25.00		16
		TOTAL		19	31.67																	41	68.33		60
																						Elected			
																									
Greenways                                                      																									
	FIRST			18	22.22		2	2.47		2	2.47		7	8.64		4	4.94		2	2.47		46	56.79		81
	SECOND			0	0.00		0	0.00		1	25.00		0	0.00			Excluded		0	0.00		3	75.00		4
		TOTAL		18	22.22		2	2.47		3	3.70		7	8.64					2	2.47		49	60.49		81
	THIRD			1	50.00			Excluded		1	50.00		0	0.00					0	0.00		0	0.00		2
		TOTAL		19	23.46					4	4.94		7	8.64					2	2.47		49	60.49		81
	FOURTH			1	25.00						Excluded		1	25.00					0	0.00		2	50.00		4
		TOTAL		20	24.69								8	9.88					2	2.47		51	62.96		81
	FIFTH			2	25.00									Excluded					3	37.50		3	37.50		8
		TOTAL		22	27.16														5	6.17		54	66.67		81
	SIXTH			3	60.00															Excluded		2	40.00		5
		TOTAL		25	30.86																	56	69.14		81
																						Elected			
																									
Hindmarsh Valley                                               																									
	FIRST			50	25.00		12	6.00		6	3.00		3	1.50		4	2.00		11	5.50		114	57.00		200
	SECOND			0	0.00		0	0.00		0	0.00		1	25.00			Excluded		0	0.00		3	75.00		4
		TOTAL		50	25.00		12	6.00		6	3.00		4	2.00					11	5.50		117	58.50		200
	THIRD			6	50.00			Excluded		2	16.67		0	0.00					3	25.00		1	8.33		12
		TOTAL		56	28.00					8	4.00		4	2.00					14	7.00		118	59.00		200
	FOURTH			0	0.00						Excluded		1	12.50					3	37.50		4	50.00		8
		TOTAL		56	28.00								5	2.50					17	8.50		122	61.00		200
	FIFTH			1	20.00									Excluded					2	40.00		2	40.00		5
		TOTAL		57	28.50														19	9.50		124	62.00		200
	SIXTH			12	63.16															Excluded		7	36.84		19
		TOTAL		69	34.50																	131	65.50		200
																						Elected			
																									
Hope Forest                                                    																									
	FIRST			26	15.29		13	7.65		0	0.00		9	5.29		2	1.18		15	8.82		105	61.76		170
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		1	50.00		2
		TOTAL		26	15.29		13	7.65		1	0.59		9	5.29					15	8.82		106	62.35		170
	THIRD			4	30.77			Excluded		2	15.38		0	0.00					6	46.15		1	7.69		13
		TOTAL		30	17.65					3	1.76		9	5.29					21	12.35		107	62.94		170
	FOURTH			0	0.00						Excluded		0	0.00					2	66.67		1	33.33		3
		TOTAL		30	17.65								9	5.29					23	13.53		108	63.53		170
	FIFTH			1	11.11									Excluded					1	11.11		7	77.78		9
		TOTAL		31	18.24														24	14.12		115	67.65		170
	SIXTH			15	62.50															Excluded		9	37.50		24
		TOTAL		46	27.06																	124	72.94		170
																						Elected			
																									
Hynam                                                          																									
	FIRST			15	10.64		4	2.84		6	4.26		13	9.22		4	2.84		5	3.55		94	66.67		141
	SECOND			0	0.00		0	0.00		1	25.00		0	0.00			Excluded		2	50.00		1	25.00		4
		TOTAL		15	10.64		4	2.84		7	4.96		13	9.22					7	4.96		95	67.38		141
	THIRD			1	25.00			Excluded		2	50.00		0	0.00					0	0.00		1	25.00		4
		TOTAL		16	11.35					9	6.38		13	9.22					7	4.96		96	68.09		141
	FOURTH			4	44.44						Excluded		1	11.11					1	11.11		3	33.33		9
		TOTAL		20	14.18								14	9.93					8	5.67		99	70.21		141
	FIFTH			2	14.29									Excluded					1	7.14		11	78.57		14
		TOTAL		22	15.60														9	6.38		110	78.01		141
	SIXTH			3	33.33															Excluded		6	66.67		9
		TOTAL		25	17.73																	116	82.27		141
																						Elected			
																									
Inman Valley                                                   																									
	FIRST			20	12.66		5	3.16		15	9.49		7	4.43		2	1.27		16	10.13		93	58.86		158
	SECOND			0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		2
		TOTAL		20	12.66		6	3.80		16	10.13		7	4.43					16	10.13		93	58.86		158
	THIRD			2	33.33			Excluded		1	16.67		0	0.00					2	33.33		1	16.67		6
		TOTAL		22	13.92					17	10.76		7	4.43					18	11.39		94	59.49		158
	FOURTH			1	5.88						Excluded		2	11.76					4	23.53		10	58.82		17
		TOTAL		23	14.56								9	5.70					22	13.92		104	65.82		158
	FIFTH			2	22.22									Excluded					3	33.33		4	44.44		9
		TOTAL		25	15.82														25	15.82		108	68.35		158
	SIXTH			15	60.00															Excluded		10	40.00		25
		TOTAL		40	25.32																	118	74.68		158
																						Elected			
																									
Jervois                                                        																									
	FIRST			12	8.39		5	3.50		2	1.40		5	3.50		2	1.40		11	7.69		106	74.13		143
	SECOND			0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		0	0.00		2
		TOTAL		12	8.39		5	3.50		4	2.80		5	3.50					11	7.69		106	74.13		143
	THIRD			0	0.00			Excluded		1	20.00		1	20.00					2	40.00		1	20.00		5
		TOTAL		12	8.39					5	3.50		6	4.20					13	9.09		107	74.83		143
	FOURTH			1	20.00						Excluded		0	0.00					0	0.00		4	80.00		5
		TOTAL		13	9.09								6	4.20					13	9.09		111	77.62		143
	FIFTH			2	33.33									Excluded					2	33.33		2	33.33		6
		TOTAL		15	10.49														15	10.49		113	79.02		143
	SIXTH			7	46.67															Excluded		8	53.33		15
		TOTAL		22	15.38																	121	84.62		143
																						Elected			
																									
Kalangadoo                                                     																									
	FIRST			79	25.32		4	1.28		10	3.21		31	9.94		11	3.53		11	3.53		166	53.21		312
	SECOND			1	9.09		0	0.00		2	18.18		1	9.09			Excluded		1	9.09		6	54.55		11
		TOTAL		80	25.64		4	1.28		12	3.85		32	10.26					12	3.85		172	55.13		312
	THIRD			1	25.00			Excluded		2	50.00		0	0.00					1	25.00		0	0.00		4
		TOTAL		81	25.96					14	4.49		32	10.26					13	4.17		172	55.13		312
	FOURTH			1	7.14						Excluded		4	28.57					5	35.71		4	28.57		14
		TOTAL		82	26.28								36	11.54					18	5.77		176	56.41		312
	FIFTH			10	27.78									Excluded					11	30.56		15	41.67		36
		TOTAL		92	29.49														29	9.29		191	61.22		312
	SIXTH			19	65.52															Excluded		10	34.48		29
		TOTAL		111	35.58																	201	64.42		312
																						Elected			
																									
Karoonda                                                       																									
	FIRST			44	9.87		5	1.12		14	3.14		34	7.62		7	1.57		21	4.71		321	71.97		446
	SECOND			0	0.00		0	0.00		1	14.29		0	0.00			Excluded		2	28.57		4	57.14		7
		TOTAL		44	9.87		5	1.12		15	3.36		34	7.62					23	5.16		325	72.87		446
	THIRD			1	20.00			Excluded		1	20.00		2	40.00					1	20.00		0	0.00		5
		TOTAL		45	10.09					16	3.59		36	8.07					24	5.38		325	72.87		446
	FOURTH			2	12.50						Excluded		4	25.00					4	25.00		6	37.50		16
		TOTAL		47	10.54								40	8.97					28	6.28		331	74.22		446
	FIFTH			8	20.00									Excluded					10	25.00		22	55.00		40
		TOTAL		55	12.33														38	8.52		353	79.15		446
	SIXTH			18	47.37															Excluded		20	52.63		38
		TOTAL		73	16.37																	373	83.63		446
																						Elected			
																									
Keith                                                          																									
	FIRST			108	10.76		12	1.20		97	9.66		55	5.48		39	3.88		29	2.89		664	66.14		1004
	SECOND			1	2.56		1	2.56		10	25.64		5	12.82			Excluded		1	2.56		21	53.85		39
		TOTAL		109	10.86		13	1.29		107	10.66		60	5.98					30	2.99		685	68.23		1004
	THIRD			3	23.08			Excluded		3	23.08		2	15.38					4	30.77		1	7.69		13
		TOTAL		112	11.16					110	10.96		62	6.18					34	3.39		686	68.33		1004
	FOURTH			12	10.91						Excluded		23	20.91					14	12.73		61	55.45		110
		TOTAL		124	12.35								85	8.47					48	4.78		747	74.40		1004
	FIFTH			17	20.00									Excluded					20	23.53		48	56.47		85
		TOTAL		141	14.04														68	6.77		795	79.18		1004
	SIXTH			40	58.82															Excluded		28	41.18		68
		TOTAL		181	18.03																	823	81.97		1004
																						Elected			
																									
Keyneton                                                       																									
	FIRST			27	18.00		9	6.00		3	2.00		5	3.33		0	0.00		23	15.33		83	55.33		150
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		27	18.00		9	6.00		3	2.00		5	3.33					23	15.33		83	55.33		150
	THIRD			2	22.22			Excluded		1	11.11		0	0.00					6	66.67		0	0.00		9
		TOTAL		29	19.33					4	2.67		5	3.33					29	19.33		83	55.33		150
	FOURTH			0	0.00						Excluded		0	0.00					3	75.00		1	25.00		4
		TOTAL		29	19.33								5	3.33					32	21.33		84	56.00		150
	FIFTH			2	40.00									Excluded					2	40.00		1	20.00		5
		TOTAL		31	20.67														34	22.67		85	56.67		150
	SIXTH			22	64.71															Excluded		12	35.29		34
		TOTAL		53	35.33																	97	64.67		150
																						Elected			
																									
Kingscote                                                      																									
	FIRST			242	18.98		38	2.98		54	4.24		76	5.96		8	0.63		187	14.67		670	52.55		1275
	SECOND			1	12.50		2	25.00		2	25.00		0	0.00			Excluded		2	25.00		1	12.50		8
		TOTAL		243	19.06		40	3.14		56	4.39		76	5.96					189	14.82		671	52.63		1275
	THIRD			8	20.00			Excluded		6	15.00		6	15.00					17	42.50		3	7.50		40
		TOTAL		251	19.69					62	4.86		82	6.43					206	16.16		674	52.86		1275
	FOURTH			12	19.35						Excluded		7	11.29					20	32.26		23	37.10		62
		TOTAL		263	20.63								89	6.98					226	17.73		697	54.67		1275
	FIFTH			19	21.35									Excluded					25	28.09		45	50.56		89
		TOTAL		282	22.12														251	19.69		742	58.20		1275
	SIXTH			136	54.18															Excluded		115	45.82		251
		TOTAL		418	32.78																	857	67.22		1275
																						Elected			
																									
Kingston                                                       																									
	FIRST			231	17.87		24	1.86		58	4.49		124	9.59		27	2.09		31	2.40		798	61.72		1293
	SECOND			0	0.00		1	3.70		10	37.04		5	18.52			Excluded		1	3.70		10	37.04		27
		TOTAL		231	17.87		25	1.93		68	5.26		129	9.98					32	2.47		808	62.49		1293
	THIRD			8	32.00			Excluded		6	24.00		4	16.00					6	24.00		1	4.00		25
		TOTAL		239	18.48					74	5.72		133	10.29					38	2.94		809	62.57		1293
	FOURTH			14	18.92						Excluded		20	27.03					20	27.03		20	27.03		74
		TOTAL		253	19.57								153	11.83					58	4.49		829	64.11		1293
	FIFTH			24	15.69									Excluded					30	19.61		99	64.71		153
		TOTAL		277	21.42														88	6.81		928	71.77		1293
	SIXTH			33	37.50															Excluded		55	62.50		88
		TOTAL		310	23.98																	983	76.02		1293
																						Elected			
																									
Kongorong                                                      																									
