House of Representatives - 2001 Election: South Australia																				
Distribution of Preferences 																				
By Polling Place																				
																				
Adelaide																				
				OSBORN			STANLEY			WORTH			PEACOCK			MANN				
	SECOND			11	52.38		1	4.76		7	33.33			Excluded		2	9.52		21	
		TOTAL		81	7.23		334	29.79		573	51.12					133	11.86		1121	
	THIRD				Excluded		27	33.33		9	11.11					45	55.56		81	
		TOTAL					361	32.20		582	51.92					178	15.88		1121	
	FOURTH						112	62.92		66	37.08						Excluded		178	
		TOTAL					473	42.19		648	57.81								1121	
										Elected										
																				
College Park                                                   																				
	FIRST			84	7.27		321	27.79		613	53.07		22	1.90		115	9.96		1155	
	SECOND			1	4.55		7	31.82		10	45.45			Excluded		4	18.18		22	
		TOTAL		85	7.36		328	28.40		623	53.94					119	10.30		1155	
	THIRD				Excluded		22	25.88		11	12.94					52	61.18		85	
		TOTAL					350	30.30		634	54.89					171	14.81		1155	
	FOURTH						114	66.67		57	33.33						Excluded		171	
		TOTAL					464	40.17		691	59.83								1155	
										Elected										
																				
Croydon (Adelaide)                                             																				
	FIRST			20	6.02		174	52.41		103	31.02		9	2.71		26	7.83		332	
	SECOND			0	0.00		4	44.44		4	44.44			Excluded		1	11.11		9	
		TOTAL		20	6.02		178	53.61		107	32.23					27	8.13		332	
	THIRD				Excluded		10	50.00		0	0.00					10	50.00		20	
		TOTAL					188	56.63		107	32.23					37	11.14		332	
	FOURTH						28	75.68		9	24.32						Excluded		37	
		TOTAL					216	65.06		116	34.94								332	
										Elected										
																				
Croydon Park                                                   																				
	FIRST			34	2.07		975	59.38		457	27.83		66	4.02		110	6.70		1642	
	SECOND			11	16.67		25	37.88		22	33.33			Excluded		8	12.12		66	
		TOTAL		45	2.74		1000	60.90		479	29.17					118	7.19		1642	
	THIRD				Excluded		19	42.22		8	17.78					18	40.00		45	
		TOTAL					1019	62.06		487	29.66					136	8.28		1642	
	FOURTH						86	63.24		50	36.76						Excluded		136	
		TOTAL					1105	67.30		537	32.70								1642	
										Elected										
																				
Croydon Park West (Adelaide)                                   																				
	FIRST			10	2.39		261	62.44		109	26.08		11	2.63		27	6.46		418	
	SECOND			1	9.09		4	36.36		4	36.36			Excluded		2	18.18		11	
		TOTAL		11	2.63		265	63.40		113	27.03					29	6.94		418	
	THIRD				Excluded		7	63.64		2	18.18					2	18.18		11	
		TOTAL					272	65.07		115	27.51					31	7.42		418	
	FOURTH						22	70.97		9	29.03						Excluded		31	
		TOTAL					294	70.33		124	29.67								418	
										Elected										
																				
Enfield                                                        																				
	FIRST			32	2.46		546	41.90		555	42.59		50	3.84		120	9.21		1303	
	SECOND			12	24.00		18	36.00		10	20.00			Excluded		10	20.00		50	
		TOTAL		44	3.38		564	43.28		565	43.36					130	9.98		1303	
	THIRD				Excluded		19	43.18		8	18.18					17	38.64		44	
		TOTAL					583	44.74		573	43.98					147	11.28		1303	
	FOURTH						92	62.59		55	37.41						Excluded		147	
		TOTAL					675	51.80		628	48.20								1303	
										Elected										
																				
Enfield North (Adelaide)                                       																				
	FIRST			39	3.43		535	47.05		411	36.15		45	3.96		107	9.41		1137	
	SECOND			7	15.56		16	35.56		17	37.78			Excluded		5	11.11		45	
		TOTAL		46	4.05		551	48.46		428	37.64					112	9.85		1137	
	THIRD				Excluded		14	30.43		13	28.26					19	41.30		46	
		TOTAL					565	49.69		441	38.79					131	11.52		1137	
	FOURTH						96	73.28		35	26.72						Excluded		131	
		TOTAL					661	58.14		476	41.86								1137	
										Elected										
																				
Enfield South                                                  																				
	FIRST			48	4.09		485	41.28		500	42.55		35	2.98		107	9.11		1175	
	SECOND			10	28.57		10	28.57		12	34.29			Excluded		3	8.57		35	
		TOTAL		58	4.94		495	42.13		512	43.57					110	9.36		1175	
	THIRD				Excluded		20	34.48		6	10.34					32	55.17		58	
		TOTAL					515	43.83		518	44.09					142	12.09		1175	
	FOURTH						91	64.08		51	35.92						Excluded		142	
		TOTAL					606	51.57		569	48.43								1175	
										Elected										
																				
Everard Park                                                   																				
	FIRST			40	5.52		260	35.86		316	43.59		20	2.76		89	12.28		725	
	SECOND			2	10.00		5	25.00		10	50.00			Excluded		3	15.00		20	
		TOTAL		42	5.79		265	36.55		326	44.97					92	12.69		725	
	THIRD				Excluded		15	35.71		5	11.90					22	52.38		42	
		TOTAL					280	38.62		331	45.66					114	15.72		725	
	FOURTH						70	61.40		44	38.60						Excluded		114	
		TOTAL					350	48.28		375	51.72								725	
										Elected										
																				
Fullarton                                                      																				
	FIRST			137	5.99		656	28.68		1222	53.43		40	1.75		232	10.14		2287	
	SECOND			4	10.00		16	40.00		18	45.00			Excluded		2	5.00		40	
		TOTAL		141	6.17		672	29.38		1240	54.22					234	10.23		2287	
	THIRD				Excluded		50	35.46		11	7.80					80	56.74		141	
		TOTAL					722	31.57		1251	54.70					314	13.73		2287	
	FOURTH						200	63.69		114	36.31						Excluded		314	
		TOTAL					922	40.31		1365	59.69								2287	
										Elected										
																				
Goodwood                                                       																				
	FIRST			181	9.44		787	41.05		667	34.79		22	1.15		260	13.56		1917	
	SECOND			3	13.64		11	50.00		4	18.18			Excluded		4	18.18		22	
		TOTAL		184	9.60		798	41.63		671	35.00					264	13.77		1917	
	THIRD				Excluded		56	30.43		8	4.35					120	65.22		184	
		TOTAL					854	44.55		679	35.42					384	20.03		1917	
	FOURTH						297	77.34		87	22.66						Excluded		384	
		TOTAL					1151	60.04		766	39.96								1917	
										Elected										
																				
Goodwood Park                                                  																				
	FIRST			40	5.90		304	44.84		262	38.64		8	1.18		64	9.44		678	
	SECOND			0	0.00		4	50.00		4	50.00			Excluded		0	0.00		8	
		TOTAL		40	5.90		308	45.43		266	39.23					64	9.44		678	
	THIRD				Excluded		10	25.00		3	7.50					27	67.50		40	
		TOTAL					318	46.90		269	39.68					91	13.42		678	
	FOURTH						61	67.03		30	32.97						Excluded		91	
		TOTAL					379	55.90		299	44.10								678	
										Elected										
																				
Greenacres                                                     																				
	FIRST			55	4.09		533	39.60		523	38.86		78	5.79		157	11.66		1346	
	SECOND			10	12.82		36	46.15		24	30.77			Excluded		8	10.26		78	
		TOTAL		65	4.83		569	42.27		547	40.64					165	12.26		1346	
	THIRD				Excluded		21	32.31		8	12.31					36	55.38		65	
		TOTAL					590	43.83		555	41.23					201	14.93		1346	
	FOURTH						139	69.15		62	30.85						Excluded		201	
		TOTAL					729	54.16		617	45.84								1346	
										Elected										
																				
Hampstead Gardens                                              																				
	FIRST			38	4.25		375	41.90		394	44.02		16	1.79		72	8.04		895	
	SECOND			3	18.75		3	18.75		7	43.75			Excluded		3	18.75		16	
		TOTAL		41	4.58		378	42.23		401	44.80					75	8.38		895	
	THIRD				Excluded		15	36.59		7	17.07					19	46.34		41	
		TOTAL					393	43.91		408	45.59					94	10.50		895	
	FOURTH						58	61.70		36	38.30						Excluded		94	
		TOTAL					451	50.39		444	49.61								895	
										Elected										
																				
Hindmarsh                                                      																				
	FIRST			11	13.41		39	47.56		26	31.71		0	0.00		6	7.32		82	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		11	13.41		39	47.56		26	31.71					6	7.32		82	
	THIRD				Excluded		3	27.27		1	9.09					7	63.64		11	
		TOTAL					42	51.22		27	32.93					13	15.85		82	
	FOURTH						10	76.92		3	23.08						Excluded		13	
		TOTAL					52	63.41		30	36.59								82	
										Elected										
																				
Hyde Park                                                      																				
	FIRST			91	5.73		365	22.98		1008	63.48		14	0.88		110	6.93		1588	
	SECOND			4	28.57		1	7.14		7	50.00			Excluded		2	14.29		14	
		TOTAL		95	5.98		366	23.05		1015	63.92					112	7.05		1588	
	THIRD				Excluded		38	40.00		11	11.58					46	48.42		95	
		TOTAL					404	25.44		1026	64.61					158	9.95		1588	
	FOURTH						101	63.92		57	36.08						Excluded		158	
		TOTAL					505	31.80		1083	68.20								1588	
										Elected										
																				
Kent Town                                                      																				
	FIRST			42	9.46		134	30.18		208	46.85		7	1.58		53	11.94		444	
	SECOND			1	14.29		1	14.29		3	42.86			Excluded		2	28.57		7	
		TOTAL		43	9.68		135	30.41		211	47.52					55	12.39		444	
	THIRD				Excluded		12	27.91		7	16.28					24	55.81		43	
		TOTAL					147	33.11		218	49.10					79	17.79		444	
	FOURTH						55	69.62		24	30.38						Excluded		79	
		TOTAL					202	45.50		242	54.50								444	
										Elected										
																				
Keswick                                                        																				
	FIRST			38	5.66		260	38.75		283	42.18		23	3.43		67	9.99		671	
	SECOND			4	17.39		3	13.04		11	47.83			Excluded		5	21.74		23	
		TOTAL		42	6.26		263	39.20		294	43.82					72	10.73		671	
	THIRD				Excluded		15	35.71		4	9.52					23	54.76		42	
		TOTAL					278	41.43		298	44.41					95	14.16		671	
	FOURTH						64	67.37		31	32.63						Excluded		95	
		TOTAL					342	50.97		329	49.03								671	
										Elected										
																				
Kilburn                                                        																				
	FIRST			43	3.42		766	60.84		298	23.67		48	3.81		104	8.26		1259	
	SECOND			10	20.83		30	62.50		5	10.42			Excluded		3	6.25		48	
		TOTAL		53	4.21		796	63.22		303	24.07					107	8.50		1259	
	THIRD				Excluded		30	56.60		5	9.43					18	33.96		53	
		TOTAL					826	65.61		308	24.46					125	9.93		1259	
	FOURTH						75	60.00		50	40.00						Excluded		125	
		TOTAL					901	71.56		358	28.44								1259	
										Elected										
																				
Kilburn South                                                  																				
	FIRST			37	4.47		484	58.52		209	25.27		25	3.02		72	8.71		827	
	SECOND			5	20.00		7	28.00		8	32.00			Excluded		5	20.00		25	
		TOTAL		42	5.08		491	59.37		217	26.24					77	9.31		827	
	THIRD				Excluded		17	40.48		4	9.52					21	50.00		42	
		TOTAL					508	61.43		221	26.72					98	11.85		827	
	FOURTH						69	70.41		29	29.59						Excluded		98	
		TOTAL					577	69.77		250	30.23								827	
										Elected										
																				
Lower North Adelaide                                           																				
	FIRST			47	7.09		207	31.22		333	50.23		5	0.75		71	10.71		663	
	SECOND			2	40.00		1	20.00		2	40.00			Excluded		0	0.00		5	
		TOTAL		49	7.39		208	31.37		335	50.53					71	10.71		663	
	THIRD				Excluded		13	26.53		6	12.24					30	61.22		49	
		TOTAL					221	33.33		341	51.43					101	15.23		663	
	FOURTH						71	70.30		30	29.70						Excluded		101	
		TOTAL					292	44.04		371	55.96								663	
										Elected										
																				
Malvern                                                        																				
	FIRST			82	4.90		456	27.26		984	58.82		9	0.54		142	8.49		1673	
	SECOND			1	11.11		0	0.00		6	66.67			Excluded		2	22.22		9	
		TOTAL		83	4.96		456	27.26		990	59.18					144	8.61		1673	
	THIRD				Excluded		22	26.51		15	18.07					46	55.42		83	
		TOTAL					478	28.57		1005	60.07					190	11.36		1673	
	FOURTH						129	67.89		61	32.11						Excluded		190	
		TOTAL					607	36.28		1066	63.72								1673	
										Elected										
																				
Marden West (Adelaide)                                         																				
	FIRST			13	6.37		72	35.29		87	42.65		6	2.94		26	12.75		204	
	SECOND			1	16.67		1	16.67		3	50.00			Excluded		1	16.67		6	
		TOTAL		14	6.86		73	35.78		90	44.12					27	13.24		204	
	THIRD				Excluded		5	35.71		1	7.14					8	57.14		14	
		TOTAL					78	38.24		91	44.61					35	17.16		204	
	FOURTH						27	77.14		8	22.86						Excluded		35	
		TOTAL					105	51.47		99	48.53								204	
										Elected										
																				
Mile End (Adelaide)                                            																				
	FIRST			139	7.59		939	51.26		502	27.40		28	1.53		224	12.23		1832	
	SECOND			4	14.29		12	42.86		6	21.43			Excluded		6	21.43		28	
		TOTAL		143	7.81		951	51.91		508	27.73					230	12.55		1832	
	THIRD				Excluded		53	37.06		5	3.50					85	59.44		143	
		TOTAL					1004	54.80		513	28.00					315	17.19		1832	
	FOURTH						228	72.38		87	27.62						Excluded		315	
		TOTAL					1232	67.25		600	32.75								1832	
										Elected										
																				
Myrtle Bank                                                    																				
	FIRST			93	5.71		373	22.91		1004	61.67		25	1.54		133	8.17		1628	
	SECOND			5	20.00		4	16.00		14	56.00			Excluded		2	8.00		25	
		TOTAL		98	6.02		377	23.16		1018	62.53					135	8.29		1628	
	THIRD				Excluded		30	30.61		12	12.24					56	57.14		98	
		TOTAL					407	25.00		1030	63.27					191	11.73		1628	
	FOURTH						128	67.02		63	32.98						Excluded		191	
		TOTAL					535	32.86		1093	67.14								1628	
										Elected										
																				
Nailsworth                                                     																				
	FIRST			69	4.91		513	36.54		617	43.95		23	1.64		182	12.96		1404	
	SECOND			5	21.74		6	26.09		6	26.09			Excluded		6	26.09		23	
		TOTAL		74	5.27		519	36.97		623	44.37					188	13.39		1404	
	THIRD				Excluded		23	31.08		7	9.46					44	59.46		74	
		TOTAL					542	38.60		630	44.87					232	16.52		1404	
	FOURTH						149	64.22		83	35.78						Excluded		232	
		TOTAL					691	49.22		713	50.78								1404	
										Elected										
																				
North Adelaide                                                 																				
	FIRST			177	6.95		646	25.35		1433	56.24		22	0.86		270	10.60		2548	
	SECOND			8	36.36		7	31.82		7	31.82			Excluded		0	0.00		22	
		TOTAL		185	7.26		653	25.63		1440	56.51					270	10.60		2548	
	THIRD				Excluded		48	25.95		17	9.19					120	64.86		185	
		TOTAL					701	27.51		1457	57.18					390	15.31		2548	
	FOURTH						275	70.51		115	29.49						Excluded		390	
		TOTAL					976	38.30		1572	61.70								2548	
										Elected										
																				
Northfield                                                     																				
	FIRST			35	3.26		588	54.80		305	28.42		59	5.50		86	8.01		1073	
	SECOND			12	20.34		23	38.98		16	27.12			Excluded		8	13.56		59	
		TOTAL		47	4.38		611	56.94		321	29.92					94	8.76		1073	
	THIRD				Excluded		17	36.17		7	14.89					23	48.94		47	
		TOTAL					628	58.53		328	30.57					117	10.90		1073	
	FOURTH						87	74.36		30	25.64						Excluded		117	
		TOTAL					715	66.64		358	33.36								1073	
										Elected										
																				
Northfield South                                               																				
	FIRST			50	3.63		620	44.96		528	38.29		60	4.35		121	8.77		1379	
	SECOND			13	21.67		18	30.00		21	35.00			Excluded		8	13.33		60	
		TOTAL		63	4.57		638	46.27		549	39.81					129	9.35		1379	
	THIRD				Excluded		20	31.75		10	15.87					33	52.38		63	
		TOTAL					658	47.72		559	40.54					162	11.75		1379	
	FOURTH						95	58.64		67	41.36						Excluded		162	
		TOTAL					753	54.60		626	45.40								1379	
										Elected										
																				
Parkside East                                                  																				
	FIRST			137	6.20		815	36.89		947	42.87		15	0.68		295	13.35		2209	
	SECOND			2	13.33		3	20.00		7	46.67			Excluded		3	20.00		15	
		TOTAL		139	6.29		818	37.03		954	43.19					298	13.49		2209	
	THIRD				Excluded		37	26.62		13	9.35					89	64.03		139	
		TOTAL					855	38.71		967	43.78					387	17.52		2209	
	FOURTH						268	69.25		119	30.75						Excluded		387	
		TOTAL					1123	50.84		1086	49.16								2209	
										Elected										
																				
Prospect                                                       																				
	FIRST			116	6.58		723	40.99		688	39.00		32	1.81		205	11.62		1764	
	SECOND			4	12.50		11	34.38		11	34.38			Excluded		6	18.75		32	
		TOTAL		120	6.80		734	41.61		699	39.63					211	11.96		1764	
	THIRD				Excluded		45	37.50		10	8.33					65	54.17		120	
		TOTAL					779	44.16		709	40.19					276	15.65		1764	
	FOURTH						200	72.46		76	27.54						Excluded		276	
		TOTAL					979	55.50		785	44.50								1764	
										Elected										
																				
Prospect Estate                                                																				
	FIRST			37	5.23		330	46.68		258	36.49		22	3.11		60	8.49		707	
	SECOND			6	27.27		6	27.27		8	36.36			Excluded		2	9.09		22	
		TOTAL		43	6.08		336	47.52		266	37.62					62	8.77		707	
	THIRD				Excluded		19	44.19		6	13.95					18	41.86		43	
		TOTAL					355	50.21		272	38.47					80	11.32		707	
	FOURTH						44	55.00		36	45.00						Excluded		80	
		TOTAL					399	56.44		308	43.56								707	
										Elected										
																				
Prospect North                                                 																				
	FIRST			92	4.89		794	42.19		732	38.89		55	2.92		209	11.11		1882	
	SECOND			15	27.27		13	23.64		21	38.18			Excluded		6	10.91		55	
		TOTAL		107	5.69		807	42.88		753	40.01					215	11.42		1882	
	THIRD				Excluded		38	35.51		12	11.21					57	53.27		107	
		TOTAL					845	44.90		765	40.65					272	14.45		1882	
	FOURTH						168	61.76		104	38.24						Excluded		272	
		TOTAL					1013	53.83		869	46.17								1882	
										Elected										
																				
Prospect South                                                 																				
	FIRST			67	5.50		429	35.19		578	47.42		22	1.80		123	10.09		1219	
	SECOND			2	9.09		7	31.82		12	54.55			Excluded		1	4.55		22	
		TOTAL		69	5.66		436	35.77		590	48.40					124	10.17		1219	
	THIRD				Excluded		27	39.13		6	8.70					36	52.17		69	
		TOTAL					463	37.98		596	48.89					160	13.13		1219	
	FOURTH						105	65.63		55	34.38						Excluded		160	
		TOTAL					568	46.60		651	53.40								1219	
										Elected										
																				
Prospect West                                                  																				
	FIRST			149	6.27		918	38.64		940	39.56		54	2.27		315	13.26		2376	
	SECOND			11	20.37		16	29.63		19	35.19			Excluded		8	14.81		54	
		TOTAL		160	6.73		934	39.31		959	40.36					323	13.59		2376	
	THIRD				Excluded		46	28.75		19	11.88					95	59.38		160	
		TOTAL					980	41.25		978	41.16					418	17.59		2376	
	FOURTH						288	68.90		130	31.10						Excluded		418	
		TOTAL					1268	53.37		1108	46.63								2376	
										Elected										
																				
Renown Park                                                    																				
	FIRST			80	4.63		945	54.72		489	28.31		44	2.55		169	9.79		1727	
	SECOND			8	18.18		7	15.91		20	45.45			Excluded		9	20.45		44	
		TOTAL		88	5.10		952	55.12		509	29.47					178	10.31		1727	
	THIRD				Excluded		27	30.68		8	9.09					53	60.23		88	
		TOTAL					979	56.69		517	29.94					231	13.38		1727	
	FOURTH						156	67.53		75	32.47						Excluded		231	
		TOTAL					1135	65.72		592	34.28								1727	
										Elected										
																				
St Peters                                                      																				
	FIRST			40	6.87		145	24.91		338	58.08		7	1.20		52	8.93		582	
	SECOND			2	28.57		3	42.86		2	28.57			Excluded		0	0.00		7	
		TOTAL		42	7.22		148	25.43		340	58.42					52	8.93		582	
	THIRD				Excluded		26	61.90		4	9.52					12	28.57		42	
		TOTAL					174	29.90		344	59.11					64	11.00		582	
	FOURTH						45	70.31		19	29.69						Excluded		64	
		TOTAL					219	37.63		363	62.37								582	
										Elected										
																				
St Peters East                                                 																				
	FIRST			120	7.15		540	32.18		838	49.94		23	1.37		157	9.36		1678	
	SECOND			3	13.04		2	8.70		18	78.26			Excluded		0	0.00		23	
		TOTAL		123	7.33		542	32.30		856	51.01					157	9.36		1678	
	THIRD				Excluded		40	32.52		11	8.94					72	58.54		123	
		TOTAL					582	34.68		867	51.67					229	13.65		1678	
	FOURTH						160	69.87		69	30.13						Excluded		229	
		TOTAL					742	44.22		936	55.78								1678	
										Elected										
																				
Unley                                                          																				
	FIRST			209	7.32		1040	36.43		1255	43.96		38	1.33		313	10.96		2855	
	SECOND			9	23.68		5	13.16		13	34.21			Excluded		11	28.95		38	
		TOTAL		218	7.64		1045	36.60		1268	44.41					324	11.35		2855	
	THIRD				Excluded		60	27.52		20	9.17					138	63.30		218	
		TOTAL					1105	38.70		1288	45.11					462	16.18		2855	
	FOURTH						331	71.65		131	28.35						Excluded		462	
		TOTAL					1436	50.30		1419	49.70								2855	
										Elected										
																				
Walkerville                                                    																				
	FIRST			116	5.13		517	22.86		1383	61.14		29	1.28		217	9.59		2262	
	SECOND			3	10.34		7	24.14		16	55.17			Excluded		3	10.34		29	
		TOTAL		119	5.26		524	23.17		1399	61.85					220	9.73		2262	
	THIRD				Excluded		44	36.97		17	14.29					58	48.74		119	
		TOTAL					568	25.11		1416	62.60					278	12.29		2262	
	FOURTH						187	67.27		91	32.73						Excluded		278	
		TOTAL					755	33.38		1507	66.62								2262	
										Elected										
																				
Walkerville North                                              																				
	FIRST			39	4.75		231	28.14		463	56.39		15	1.83		73	8.89		821	
	SECOND			7	46.67		3	20.00		3	20.00			Excluded		2	13.33		15	
		TOTAL		46	5.60		234	28.50		466	56.76					75	9.14		821	
	THIRD				Excluded		14	30.43		5	10.87					27	58.70		46	
		TOTAL					248	30.21		471	57.37					102	12.42		821	
	FOURTH						65	63.73		37	36.27						Excluded		102	
		TOTAL					313	38.12		508	61.88								821	
										Elected										
																				
Wayville                                                       																				
	FIRST			32	5.71		196	35.00		270	48.21		9	1.61		53	9.46		560	
	SECOND			0	0.00		2	22.22		5	55.56			Excluded		2	22.22		9	
		TOTAL		32	5.71		198	35.36		275	49.11					55	9.82		560	
	THIRD				Excluded		14	43.75		0	0.00					18	56.25		32	
		TOTAL					212	37.86		275	49.11					73	13.04		560	
	FOURTH						53	72.60		20	27.40						Excluded		73	
		TOTAL					265	47.32		295	52.68								560	
										Elected										
																				
Special Hospital Team 1                                        																				
	FIRST			0	0.00		18	50.00		16	44.44		2	5.56		0	0.00		36	
	SECOND			1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		1	2.78		18	50.00		16	44.44					1	2.78		36	
	THIRD				Excluded		1	100.00		0	0.00					0	0.00		1	
		TOTAL					19	52.78		16	44.44					1	2.78		36	
	FOURTH						0	0.00		1	100.00						Excluded		1	
		TOTAL					19	52.78		17	47.22								36	
										Elected										
																				
Special Hospital Team 2                                        																				
	FIRST			5	6.76		23	31.08		43	58.11		1	1.35		2	2.70		74	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		5	6.76		24	32.43		43	58.11					2	2.70		74	
	THIRD				Excluded		5	100.00		0	0.00					0	0.00		5	
		TOTAL					29	39.19		43	58.11					2	2.70		74	
	FOURTH						0	0.00		2	100.00						Excluded		2	
		TOTAL					29	39.19		45	60.81								74	
										Elected										
																				
Special Hospital Team 3                                        																				
	FIRST			5	4.63		32	29.63		67	62.04		1	0.93		3	2.78		108	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		5	4.63		32	29.63		67	62.04					4	3.70		108	
	THIRD				Excluded		4	80.00		1	20.00					0	0.00		5	
		TOTAL					36	33.33		68	62.96					4	3.70		108	
	FOURTH						2	50.00		2	50.00						Excluded		4	
		TOTAL					38	35.19		70	64.81								108	
										Elected										
																				
Special Hospital Team 4                                        																				
	FIRST			4	7.55		15	28.30		33	62.26		1	1.89		0	0.00		53	
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		4	7.55		15	28.30		34	64.15					0	0.00		53	
	THIRD				Excluded		2	50.00		2	50.00					0	0.00		4	
		TOTAL					17	32.08		36	67.92					0	0.00		53	
	FOURTH						0	0.00		0	0.00						Excluded		0	
		TOTAL					17	32.08		36	67.92								53	
										Elected										
																				
Special Hospital Team 5                                        																				
	FIRST			0	0.00		10	20.00		38	76.00		1	2.00		1	2.00		50	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		0	0.00		10	20.00		38	76.00					2	4.00		50	
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	
		TOTAL					10	20.00		38	76.00					2	4.00		50	
	FOURTH						1	50.00		1	50.00						Excluded		2	
		TOTAL					11	22.00		39	78.00								50	
										Elected										
																				
