House of Representatives - 2001 Election: South Australia																						
Distribution of Preferences																						
By Polling Place																						
																						
Bonython																						
				HUNT			BLAKE			CHOMEL			DENNIS			EVANS			MAHONEY			
		TOTAL								387	24.34		190	11.95		887	55.79		126	7.92		1590
	FOURTH									38	30.16		36	28.57		52	41.27			Excluded		126
		TOTAL								425	26.73		226	14.21		939	59.06					1590
	FIFTH									87	38.50			Excluded		139	61.50					226
		TOTAL								512	32.20					1078	67.80					1590
																Elected						
																						
Davoren Park South                                             																						
	FIRST			80	6.13		55	4.21		274	20.98		77	5.90		690	52.83		130	9.95		1306
	SECOND			20	36.36			Excluded		3	5.45		19	34.55		10	18.18		3	5.45		55
		TOTAL		100	7.66					277	21.21		96	7.35		700	53.60		133	10.18		1306
	THIRD				Excluded					37	37.00		19	19.00		32	32.00		12	12.00		100
		TOTAL								314	24.04		115	8.81		732	56.05		145	11.10		1306
	FOURTH									73	50.34		32	22.07		40	27.59			Excluded		145
		TOTAL								387	29.63		147	11.26		772	59.11					1306
	FIFTH									52	35.37			Excluded		95	64.63					147
		TOTAL								439	33.61					867	66.39					1306
																Elected						
																						
Direk                                                          																						
	FIRST			26	3.67		22	3.10		163	22.99		60	8.46		389	54.87		49	6.91		709
	SECOND			12	54.55			Excluded		2	9.09		5	22.73		2	9.09		1	4.55		22
		TOTAL		38	5.36					165	23.27		65	9.17		391	55.15		50	7.05		709
	THIRD				Excluded					9	23.68		11	28.95		14	36.84		4	10.53		38
		TOTAL								174	24.54		76	10.72		405	57.12		54	7.62		709
	FOURTH									18	33.33		13	24.07		23	42.59			Excluded		54
		TOTAL								192	27.08		89	12.55		428	60.37					709
	FIFTH									34	38.20			Excluded		55	61.80					89
		TOTAL								226	31.88					483	68.12					709
																Elected						
																						
Elizabeth                                                      																						
	FIRST			22	3.06		27	3.76		271	37.74		61	8.50		305	42.48		32	4.46		718
	SECOND			2	7.41			Excluded		0	0.00		12	44.44		10	37.04		3	11.11		27
		TOTAL		24	3.34					271	37.74		73	10.17		315	43.87		35	4.87		718
	THIRD				Excluded					12	50.00		6	25.00		5	20.83		1	4.17		24
		TOTAL								283	39.42		79	11.00		320	44.57		36	5.01		718
	FOURTH									14	38.89		13	36.11		9	25.00			Excluded		36
		TOTAL								297	41.36		92	12.81		329	45.82					718
	FIFTH									39	42.39			Excluded		53	57.61					92
		TOTAL								336	46.80					382	53.20					718
																Elected						
																						
Elizabeth Downs                                                																						
	FIRST			84	3.47		80	3.31		590	24.39		222	9.18		1252	51.76		191	7.90		2419
	SECOND			23	28.75			Excluded		7	8.75		33	41.25		11	13.75		6	7.50		80
		TOTAL		107	4.42					597	24.68		255	10.54		1263	52.21		197	8.14		2419
	THIRD				Excluded					35	32.71		25	23.36		31	28.97		16	14.95		107
		TOTAL								632	26.13		280	11.58		1294	53.49		213	8.81		2419
	FOURTH									109	51.17		51	23.94		53	24.88			Excluded		213
		TOTAL								741	30.63		331	13.68		1347	55.68					2419
	FIFTH									103	31.12			Excluded		228	68.88					331
		TOTAL								844	34.89					1575	65.11					2419
																Elected						
																						
Elizabeth East                                                 																						
	FIRST			60	2.89		41	1.97		538	25.90		213	10.26		1053	50.70		172	8.28		2077
	SECOND			17	41.46			Excluded		1	2.44		16	39.02		3	7.32		4	9.76		41
		TOTAL		77	3.71					539	25.95		229	11.03		1056	50.84		176	8.47		2077
	THIRD				Excluded					28	36.36		18	23.38		13	16.88		18	23.38		77
		TOTAL								567	27.30		247	11.89		1069	51.47		194	9.34		2077
	FOURTH									81	41.75		54	27.84		59	30.41			Excluded		194
		TOTAL								648	31.20		301	14.49		1128	54.31					2077
	FIFTH									116	38.54			Excluded		185	61.46					301
		TOTAL								764	36.78					1313	63.22					2077
																Elected						
																						
Elizabeth Grove                                                																						
	FIRST			49	4.66		39	3.71		251	23.88		59	5.61		603	57.37		50	4.76		1051
	SECOND			12	30.77			Excluded		4	10.26		17	43.59		5	12.82		1	2.56		39
		TOTAL		61	5.80					255	24.26		76	7.23		608	57.85		51	4.85		1051
	THIRD				Excluded					21	34.43		13	21.31		18	29.51		9	14.75		61
		TOTAL								276	26.26		89	8.47		626	59.56		60	5.71		1051
	FOURTH									17	28.33		24	40.00		19	31.67			Excluded		60
		TOTAL								293	27.88		113	10.75		645	61.37					1051
	FIFTH									35	30.97			Excluded		78	69.03					113
		TOTAL								328	31.21					723	68.79					1051
																Elected						
																						
Elizabeth North                                                																						
	FIRST			72	4.00		45	2.50		413	22.96		177	9.84		940	52.25		152	8.45		1799
	SECOND			17	37.78			Excluded		1	2.22		15	33.33		9	20.00		3	6.67		45
		TOTAL		89	4.95					414	23.01		192	10.67		949	52.75		155	8.62		1799
	THIRD				Excluded					35	39.33		25	28.09		20	22.47		9	10.11		89
		TOTAL								449	24.96		217	12.06		969	53.86		164	9.12		1799
	FOURTH									84	51.22		33	20.12		47	28.66			Excluded		164
		TOTAL								533	29.63		250	13.90		1016	56.48					1799
	FIFTH									88	35.20			Excluded		162	64.80					250
		TOTAL								621	34.52					1178	65.48					1799
																Elected						
																						
Elizabeth Park                                                 																						
	FIRST			60	3.26		68	3.69		454	24.65		168	9.12		881	47.83		211	11.45		1842
	SECOND			30	44.12			Excluded		4	5.88		20	29.41		10	14.71		4	5.88		68
		TOTAL		90	4.89					458	24.86		188	10.21		891	48.37		215	11.67		1842
	THIRD				Excluded					23	25.56		40	44.44		19	21.11		8	8.89		90
		TOTAL								481	26.11		228	12.38		910	49.40		223	12.11		1842
	FOURTH									129	57.85		46	20.63		48	21.52			Excluded		223
		TOTAL								610	33.12		274	14.88		958	52.01					1842
	FIFTH									111	40.51			Excluded		163	59.49					274
		TOTAL								721	39.14					1121	60.86					1842
																Elected						
																						
Elizabeth South                                                																						
	FIRST			84	4.60		57	3.12		391	21.41		180	9.86		1005	55.04		109	5.97		1826
	SECOND			19	33.33			Excluded		6	10.53		16	28.07		14	24.56		2	3.51		57
		TOTAL		103	5.64					397	21.74		196	10.73		1019	55.81		111	6.08		1826
	THIRD				Excluded					41	39.81		19	18.45		26	25.24		17	16.50		103
		TOTAL								438	23.99		215	11.77		1045	57.23		128	7.01		1826
	FOURTH									39	30.47		34	26.56		55	42.97			Excluded		128
		TOTAL								477	26.12		249	13.64		1100	60.24					1826
	FIFTH									89	35.74			Excluded		160	64.26					249
		TOTAL								566	31.00					1260	69.00					1826
																Elected						
																						
Elizabeth Vale                                                 																						
	FIRST			68	2.72		64	2.56		761	30.43		250	10.00		1163	46.50		195	7.80		2501
	SECOND			20	31.25			Excluded		5	7.81		25	39.06		10	15.63		4	6.25		64
		TOTAL		88	3.52					766	30.63		275	11.00		1173	46.90		199	7.96		2501
	THIRD				Excluded					30	34.09		20	22.73		22	25.00		16	18.18		88
		TOTAL								796	31.83		295	11.80		1195	47.78		215	8.60		2501
	FOURTH									86	40.00		53	24.65		76	35.35			Excluded		215
		TOTAL								882	35.27		348	13.91		1271	50.82					2501
	FIFTH									118	33.91			Excluded		230	66.09					348
		TOTAL								1000	39.98					1501	60.02					2501
																Elected						
																						
Hillbank                                                       																						
	FIRST			51	2.95		41	2.38		668	38.70		190	11.01		704	40.79		72	4.17		1726
	SECOND			8	19.51			Excluded		4	9.76		16	39.02		6	14.63		7	17.07		41
		TOTAL		59	3.42					672	38.93		206	11.94		710	41.14		79	4.58		1726
	THIRD				Excluded					24	40.68		16	27.12		12	20.34		7	11.86		59
		TOTAL								696	40.32		222	12.86		722	41.83		86	4.98		1726
	FOURTH									33	38.37		32	37.21		21	24.42			Excluded		86
		TOTAL								729	42.24		254	14.72		743	43.05					1726
	FIFTH									90	35.43			Excluded		164	64.57					254
		TOTAL								819	47.45					907	52.55					1726
																Elected						
																						
Munno Para                                                     																						
	FIRST			36	3.93		37	4.04		206	22.51		82	8.96		506	55.30		48	5.25		915
	SECOND			13	35.14			Excluded		3	8.11		12	32.43		5	13.51		4	10.81		37
		TOTAL		49	5.36					209	22.84		94	10.27		511	55.85		52	5.68		915
	THIRD				Excluded					15	30.61		13	26.53		12	24.49		9	18.37		49
		TOTAL								224	24.48		107	11.69		523	57.16		61	6.67		915
	FOURTH									18	29.51		24	39.34		19	31.15			Excluded		61
		TOTAL								242	26.45		131	14.32		542	59.23					915
	FIFTH									46	35.11			Excluded		85	64.89					131
		TOTAL								288	31.48					627	68.52					915
																Elected						
																						
One Tree Hill (Bonython)                                       																						
	FIRST			14	1.99		22	3.12		391	55.46		50	7.09		195	27.66		33	4.68		705
	SECOND			7	31.82			Excluded		2	9.09		7	31.82		6	27.27		0	0.00		22
		TOTAL		21	2.98					393	55.74		57	8.09		201	28.51		33	4.68		705
	THIRD				Excluded					9	42.86		8	38.10		3	14.29		1	4.76		21
		TOTAL								402	57.02		65	9.22		204	28.94		34	4.82		705
	FOURTH									21	61.76		9	26.47		4	11.76			Excluded		34
		TOTAL								423	60.00		74	10.50		208	29.50					705
	FIFTH									29	39.19			Excluded		45	60.81					74
		TOTAL								452	64.11					253	35.89					705
																Elected						
																						
Parafield Gardens                                              																						
	FIRST			65	3.55		40	2.19		438	23.95		220	12.03		937	51.23		129	7.05		1829
	SECOND			14	35.00			Excluded		6	15.00		15	37.50		4	10.00		1	2.50		40
		TOTAL		79	4.32					444	24.28		235	12.85		941	51.45		130	7.11		1829
	THIRD				Excluded					26	32.91		16	20.25		26	32.91		11	13.92		79
		TOTAL								470	25.70		251	13.72		967	52.87		141	7.71		1829
	FOURTH									73	51.77		21	14.89		47	33.33			Excluded		141
		TOTAL								543	29.69		272	14.87		1014	55.44					1829
	FIFTH									94	34.56			Excluded		178	65.44					272
		TOTAL								637	34.83					1192	65.17					1829
																Elected						
																						
Parafield Gardens Central                                      																						
	FIRST			174	4.52		101	2.62		915	23.75		412	10.70		2015	52.31		235	6.10		3852
	SECOND			24	23.76			Excluded		11	10.89		42	41.58		18	17.82		6	5.94		101
		TOTAL		198	5.14					926	24.04		454	11.79		2033	52.78		241	6.26		3852
	THIRD				Excluded					72	36.36		43	21.72		57	28.79		26	13.13		198
		TOTAL								998	25.91		497	12.90		2090	54.26		267	6.93		3852
	FOURTH									144	53.93		51	19.10		72	26.97			Excluded		267
		TOTAL								1142	29.65		548	14.23		2162	56.13					3852
	FIFTH									215	39.23			Excluded		333	60.77					548
		TOTAL								1357	35.23					2495	64.77					3852
																Elected						
																						
Parafield Gardens North West                                   																						
	FIRST			116	4.15		71	2.54		678	24.25		378	13.52		1409	50.39		144	5.15		2796
	SECOND			22	30.99			Excluded		9	12.68		19	26.76		16	22.54		5	7.04		71
		TOTAL		138	4.94					687	24.57		397	14.20		1425	50.97		149	5.33		2796
	THIRD				Excluded					60	43.48		38	27.54		35	25.36		5	3.62		138
		TOTAL								747	26.72		435	15.56		1460	52.22		154	5.51		2796
	FOURTH									53	34.42		51	33.12		50	32.47			Excluded		154
		TOTAL								800	28.61		486	17.38		1510	54.01					2796
	FIFTH									190	39.09			Excluded		296	60.91					486
		TOTAL								990	35.41					1806	64.59					2796
																Elected						
																						
Paralowie                                                      																						
	FIRST			173	4.02		109	2.53		1064	24.74		494	11.49		2177	50.62		284	6.60		4301
	SECOND			35	32.11			Excluded		11	10.09		37	33.94		16	14.68		10	9.17		109
		TOTAL		208	4.84					1075	24.99		531	12.35		2193	50.99		294	6.84		4301
	THIRD				Excluded					67	32.21		55	26.44		54	25.96		32	15.38		208
		TOTAL								1142	26.55		586	13.62		2247	52.24		326	7.58		4301
	FOURTH									145	44.48		82	25.15		99	30.37			Excluded		326
		TOTAL								1287	29.92		668	15.53		2346	54.55					4301
	FIFTH									255	38.17			Excluded		413	61.83					668
		TOTAL								1542	35.85					2759	64.15					4301
																Elected						
																						
Paralowie West                                                 																						
	FIRST			141	5.07		71	2.55		664	23.89		281	10.11		1452	52.25		170	6.12		2779
	SECOND			30	42.25			Excluded		8	11.27		15	21.13		10	14.08		8	11.27		71
		TOTAL		171	6.15					672	24.18		296	10.65		1462	52.61		178	6.41		2779
	THIRD				Excluded					54	31.58		45	26.32		52	30.41		20	11.70		171
		TOTAL								726	26.12		341	12.27		1514	54.48		198	7.12		2779
	FOURTH									90	45.45		52	26.26		56	28.28			Excluded		198
		TOTAL								816	29.36		393	14.14		1570	56.50					2779
	FIFTH									153	38.93			Excluded		240	61.07					393
		TOTAL								969	34.87					1810	65.13					2779
																Elected						
																						
Salisbury                                                      																						
	FIRST			73	4.18		45	2.58		510	29.21		197	11.28		829	47.48		92	5.27		1746
	SECOND			15	33.33			Excluded		4	8.89		19	42.22		5	11.11		2	4.44		45
		TOTAL		88	5.04					514	29.44		216	12.37		834	47.77		94	5.38		1746
	THIRD				Excluded					37	42.05		14	15.91		28	31.82		9	10.23		88
		TOTAL								551	31.56		230	13.17		862	49.37		103	5.90		1746
	FOURTH									40	38.83		29	28.16		34	33.01			Excluded		103
		TOTAL								591	33.85		259	14.83		896	51.32					1746
	FIFTH									110	42.47			Excluded		149	57.53					259
		TOTAL								701	40.15					1045	59.85					1746
																Elected						
																						
Salisbury Central                                              																						
	FIRST			46	3.16		36	2.47		479	32.85		127	8.71		653	44.79		117	8.02		1458
	SECOND			12	33.33			Excluded		2	5.56		13	36.11		7	19.44		2	5.56		36
		TOTAL		58	3.98					481	32.99		140	9.60		660	45.27		119	8.16		1458
	THIRD				Excluded					19	32.76		16	27.59		12	20.69		11	18.97		58
		TOTAL								500	34.29		156	10.70		672	46.09		130	8.92		1458
	FOURTH									73	56.15		24	18.46		33	25.38			Excluded		130
		TOTAL								573	39.30		180	12.35		705	48.35					1458
	FIFTH									69	38.33			Excluded		111	61.67					180
		TOTAL								642	44.03					816	55.97					1458
																Elected						
																						
Salisbury Downs                                                																						
	FIRST			115	4.22		57	2.09		762	27.95		310	11.37		1332	48.86		150	5.50		2726
	SECOND			17	29.82			Excluded		8	14.04		17	29.82		11	19.30		4	7.02		57
		TOTAL		132	4.84					770	28.25		327	12.00		1343	49.27		154	5.65		2726
	THIRD				Excluded					57	43.18		34	25.76		35	26.52		6	4.55		132
		TOTAL								827	30.34		361	13.24		1378	50.55		160	5.87		2726
	FOURTH									73	45.63		39	24.38		48	30.00			Excluded		160
		TOTAL								900	33.02		400	14.67		1426	52.31					2726
	FIFTH									162	40.50			Excluded		238	59.50					400
		TOTAL								1062	38.96					1664	61.04					2726
																Elected						
																						
Salisbury Heights (Bonython)                                   																						
	FIRST			61	2.70		57	2.53		1057	46.85		266	11.79		726	32.18		89	3.95		2256
	SECOND			20	35.09			Excluded		7	12.28		15	26.32		14	24.56		1	1.75		57
		TOTAL		81	3.59					1064	47.16		281	12.46		740	32.80		90	3.99		2256
	THIRD				Excluded					30	37.04		19	23.46		20	24.69		12	14.81		81
		TOTAL								1094	48.49		300	13.30		760	33.69		102	4.52		2256
	FOURTH									40	39.22		31	30.39		31	30.39			Excluded		102
		TOTAL								1134	50.27		331	14.67		791	35.06					2256
	FIFTH									149	45.02			Excluded		182	54.98					331
		TOTAL								1283	56.87					973	43.13					2256
																Elected						
																						
Salisbury Heights South                                        																						
	FIRST			28	3.32		20	2.37		308	36.54		94	11.15		341	40.45		52	6.17		843
	SECOND			4	20.00			Excluded		2	10.00		12	60.00		2	10.00		0	0.00		20
		TOTAL		32	3.80					310	36.77		106	12.57		343	40.69		52	6.17		843
	THIRD				Excluded					11	34.38		8	25.00		9	28.13		4	12.50		32
		TOTAL								321	38.08		114	13.52		352	41.76		56	6.64		843
	FOURTH									19	33.93		15	26.79		22	39.29			Excluded		56
		TOTAL								340	40.33		129	15.30		374	44.37					843
	FIFTH									57	44.19			Excluded		72	55.81					129
		TOTAL								397	47.09					446	52.91					843
																Elected						
																						
Salisbury North                                                																						
	FIRST			108	4.58		64	2.71		554	23.47		273	11.57		1221	51.74		140	5.93		2360
	SECOND			30	46.88			Excluded		4	6.25		14	21.88		13	20.31		3	4.69		64
		TOTAL		138	5.85					558	23.64		287	12.16		1234	52.29		143	6.06		2360
	THIRD				Excluded					51	36.96		26	18.84		43	31.16		18	13.04		138
		TOTAL								609	25.81		313	13.26		1277	54.11		161	6.82		2360
	FOURTH									52	32.30		45	27.95		64	39.75			Excluded		161
		TOTAL								661	28.01		358	15.17		1341	56.82					2360
	FIFTH									115	32.12			Excluded		243	67.88					358
		TOTAL								776	32.88					1584	67.12					2360
																Elected						
																						
Salisbury North West                                           																						
	FIRST			87	3.32		53	2.02		642	24.51		285	10.88		1406	53.68		146	5.57		2619
	SECOND			16	30.19			Excluded		9	16.98		13	24.53		10	18.87		5	9.43		53
		TOTAL		103	3.93					651	24.86		298	11.38		1416	54.07		151	5.77		2619
	THIRD				Excluded					35	33.98		31	30.10		25	24.27		12	11.65		103
		TOTAL								686	26.19		329	12.56		1441	55.02		163	6.22		2619
	FOURTH									57	34.97		47	28.83		59	36.20			Excluded		163
		TOTAL								743	28.37		376	14.36		1500	57.27					2619
	FIFTH									131	34.84			Excluded		245	65.16					376
		TOTAL								874	33.37					1745	66.63					2619
																Elected						
																						
Salisbury Park                                                 																						
	FIRST			64	3.37		52	2.74		655	34.47		258	13.58		787	41.42		84	4.42		1900
	SECOND			13	25.00			Excluded		2	3.85		20	38.46		13	25.00		4	7.69		52
		TOTAL		77	4.05					657	34.58		278	14.63		800	42.11		88	4.63		1900
	THIRD				Excluded					23	29.87		18	23.38		26	33.77		10	12.99		77
		TOTAL								680	35.79		296	15.58		826	43.47		98	5.16		1900
	FOURTH									34	34.69		30	30.61		34	34.69			Excluded		98
		TOTAL								714	37.58		326	17.16		860	45.26					1900
	FIFTH									127	38.96			Excluded		199	61.04					326
		TOTAL								841	44.26					1059	55.74					1900
																Elected						
																						
Smithfield                                                     																						
	FIRST			44	3.85		37	3.24		320	28.00		106	9.27		569	49.78		67	5.86		1143
	SECOND			8	21.62			Excluded		6	16.22		16	43.24		5	13.51		2	5.41		37
		TOTAL		52	4.55					326	28.52		122	10.67		574	50.22		69	6.04		1143
	THIRD				Excluded					18	34.62		17	32.69		10	19.23		7	13.46		52
		TOTAL								344	30.10		139	12.16		584	51.09		76	6.65		1143
	FOURTH									33	43.42		20	26.32		23	30.26			Excluded		76
		TOTAL								377	32.98		159	13.91		607	53.11					1143
	FIFTH									58	36.48			Excluded		101	63.52					159
		TOTAL								435	38.06					708	61.94					1143
																Elected						
																						
Smithfield Plains                                              																						
	FIRST			66	5.74		35	3.05		225	19.58		128	11.14		621	54.05		74	6.44		1149
	SECOND			20	57.14			Excluded		5	14.29		5	14.29		5	14.29		0	0.00		35
		TOTAL		86	7.48					230	20.02		133	11.58		626	54.48		74	6.44		1149
	THIRD				Excluded					23	26.74		16	18.60		32	37.21		15	17.44		86
		TOTAL								253	22.02		149	12.97		658	57.27		89	7.75		1149
	FOURTH									22	24.72		33	37.08		34	38.20			Excluded		89
		TOTAL								275	23.93		182	15.84		692	60.23					1149
	FIFTH									63	34.62			Excluded		119	65.38					182
		TOTAL								338	29.42					811	70.58					1149
																Elected						
																						
Virginia (Bonython)                                            																						
	FIRST			55	5.60		18	1.83		383	39.00		53	5.40		430	43.79		43	4.38		982
	SECOND			8	44.44			Excluded		4	22.22		0	0.00		6	33.33		0	0.00		18
		TOTAL		63	6.42					387	39.41		53	5.40		436	44.40		43	4.38		982
	THIRD				Excluded					29	46.03		15	23.81		15	23.81		4	6.35		63
		TOTAL								416	42.36		68	6.92		451	45.93		47	4.79		982
	FOURTH									22	46.81		12	25.53		13	27.66			Excluded		47
		TOTAL								438	44.60		80	8.15		464	47.25					982
	FIFTH									38	47.50			Excluded		42	52.50					80
		TOTAL								476	48.47					506	51.53					982
																Elected						
																						
Special Hospital Team 1                                        																						
	FIRST			4	2.41		2	1.20		52	31.33		11	6.63		89	53.61		8	4.82		166
	SECOND			0	0.00			Excluded		1	50.00		0	0.00		1	50.00		0	0.00		2
		TOTAL		4	2.41					53	31.93		11	6.63		90	54.22		8	4.82		166
	THIRD				Excluded					1	25.00		0	0.00		2	50.00		1	25.00		4
		TOTAL								54	32.53		11	6.63		92	55.42		9	5.42		166
	FOURTH									3	33.33		2	22.22		4	44.44			Excluded		9
		TOTAL								57	34.34		13	7.83		96	57.83					166
	FIFTH									3	23.08			Excluded		10	76.92					13
		TOTAL								60	36.14					106	63.86					166
																Elected						
																						
Special Hospital Team 2                                        																						
	FIRST			18	12.16		5	3.38		64	43.24		8	5.41		49	33.11		4	2.70		148
	SECOND			1	20.00			Excluded		1	20.00		1	20.00		2	40.00		0	0.00		5
		TOTAL		19	12.84					65	43.92		9	6.08		51	34.46		4	2.70		148
	THIRD				Excluded					17	89.47		2	10.53		0	0.00		0	0.00		19
		TOTAL								82	55.41		11	7.43		51	34.46		4	2.70		148
	FOURTH									0	0.00		1	25.00		3	75.00			Excluded		4
		TOTAL								82	55.41		12	8.11		54	36.49					148
	FIFTH									9	75.00			Excluded		3	25.00					12
		TOTAL								91	61.49					57	38.51					148
																Elected						
																						
ABSENT																						
	FIRST			294	6.40		186	4.05		1348	29.34		586	12.75		1853	40.33		328	7.14		4595
	SECOND			70	37.63			Excluded		25	13.44		65	34.95		19	10.22		7	3.76		186
		TOTAL		364	7.92					1373	29.88		651	14.17		1872	40.74		335	7.29		4595
	THIRD				Excluded					149	40.93		83	22.80		93	25.55		39	10.71		364
		TOTAL								1522	33.12		734	15.97		1965	42.76		374	8.14		4595
	FOURTH									114	30.48		126	33.69		134	35.83			Excluded		374
		TOTAL								1636	35.60		860	18.72		2099	45.68					4595
	FIFTH									335	38.95			Excluded		525	61.05					860
		TOTAL								1971	42.89					2624	57.11					4595
																Elected						
																						
POSTAL																						
	FIRST			80	4.08		40	2.04		630	32.16		150	7.66		904	46.15		155	7.91		1959
	SECOND			11	27.50			Excluded		6	15.00		16	40.00		4	10.00		3	7.50		40
		TOTAL		91	4.65					636	32.47		166	8.47		908	46.35		158	8.07		1959
	THIRD				Excluded					24	26.37		20	21.98		34	37.36		13	14.29		91
		TOTAL								660	33.69		186	9.49		942	48.09		171	8.73		1959
	FOURTH									67	39.18		51	29.82		53	30.99			Excluded		171
		TOTAL								727	37.11		237	12.10		995	50.79					1959
	FIFTH									95	40.08			Excluded		142	59.92					237
		TOTAL								822	41.96					1137	58.04					1959
																Elected						
																						
PRE POLL																						
	FIRST			90	4.62		54	2.77		625	32.10		174	8.94		867	44.53		137	7.04		1947
	SECOND			7	12.96			Excluded		6	11.11		20	37.04		13	24.07		8	14.81		54
		TOTAL		97	4.98					631	32.41		194	9.96		880	45.20		145	7.45		1947
	THIRD				Excluded					32	32.99		17	17.53		25	25.77		23	23.71		97
		TOTAL								663	34.05		211	10.84		905	46.48		168	8.63		1947
	FOURTH									51	30.36		43	25.60		74	44.05			Excluded		168
		TOTAL								714	36.67		254	13.05		979	50.28					1947
	FIFTH									113	44.49			Excluded		141	55.51					254
		TOTAL								827	42.48					1120	57.52					1947
																Elected						
																						
PROVISIONAL																						
	FIRST			40	7.38		30	5.54		99	18.27		46	8.49		287	52.95		40	7.38		542
	SECOND			17	56.67			Excluded		1	3.33		7	23.33		4	13.33		1	3.33		30
		TOTAL		57	10.52					100	18.45		53	9.78		291	53.69		41	7.56		542
