House of Representatives - 2001 Election: South Australia																										
Distribution of Preferences																										
By Polling Place																										
																										
Mayo																										
				MCLAREN			SPRAGG			DOWNER			CLARK			THOMAS			COOMBE			BRENNAN				
	SECOND			2	28.57		2	28.57		0	0.00		0	0.00		1	14.29			Excluded		2	28.57		7	
		TOTAL		172	18.78		31	3.38		452	49.34		24	2.62		34	3.71					203	22.16		916	
	THIRD			4	11.76		7	20.59		15	44.12		3	8.82			Excluded					5	14.71		34	
		TOTAL		176	19.21		38	4.15		467	50.98		27	2.95								208	22.71		916	
	FOURTH			11	28.95			Excluded		10	26.32		11	28.95								6	15.79		38	
		TOTAL		187	20.41					477	52.07		38	4.15								214	23.36		916	
	FIFTH			19	50.00					6	15.79			Excluded								13	34.21		38	
		TOTAL		206	22.49					483	52.73											227	24.78		916	
	SIXTH				Excluded					74	35.92											132	64.08		206	
		TOTAL								557	60.81											359	39.19		916	
										Elected																
																										
Adelaide (Mayo)                                                																										
	FIRST			25	23.81		3	2.86		45	42.86		4	3.81		1	0.95		1	0.95		26	24.76		105	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		25	23.81		4	3.81		45	42.86		4	3.81		1	0.95					26	24.76		105	
	THIRD			0	0.00		0	0.00		1	100.00		0	0.00			Excluded					0	0.00		1	
		TOTAL		25	23.81		4	3.81		46	43.81		4	3.81								26	24.76		105	
	FOURTH			0	0.00			Excluded		1	25.00		2	50.00								1	25.00		4	
		TOTAL		25	23.81					47	44.76		6	5.71								27	25.71		105	
	FIFTH			6	100.00					0	0.00			Excluded								0	0.00		6	
		TOTAL		31	29.52					47	44.76											27	25.71		105	
	SIXTH				Excluded					11	35.48											20	64.52		31	
		TOTAL								58	55.24											47	44.76		105	
										Elected																
																										
Aldgate                                                        																										
	FIRST			326	16.83		79	4.08		934	48.22		206	10.64		38	1.96		3	0.15		351	18.12		1937	
	SECOND			1	33.33		0	0.00		2	66.67		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		327	16.88		79	4.08		936	48.32		206	10.64		38	1.96					351	18.12		1937	
	THIRD			2	5.26		8	21.05		13	34.21		8	21.05			Excluded					7	18.42		38	
		TOTAL		329	16.99		87	4.49		949	48.99		214	11.05								358	18.48		1937	
	FOURTH			24	27.59			Excluded		14	16.09		41	47.13								8	9.20		87	
		TOTAL		353	18.22					963	49.72		255	13.16								366	18.90		1937	
	FIFTH			176	69.02					26	10.20			Excluded								53	20.78		255	
		TOTAL		529	27.31					989	51.06											419	21.63		1937	
	SIXTH				Excluded					118	22.31											411	77.69		529	
		TOTAL								1107	57.15											830	42.85		1937	
										Elected																
																										
Athelstone                                                     																										
	FIRST			537	14.64		126	3.44		1813	49.44		107	2.92		85	2.32		14	0.38		985	26.86		3667	
	SECOND			2	14.29		6	42.86		1	7.14		2	14.29		2	14.29			Excluded		1	7.14		14	
		TOTAL		539	14.70		132	3.60		1814	49.47		109	2.97		87	2.37					986	26.89		3667	
	THIRD			5	5.75		28	32.18		34	39.08		6	6.90			Excluded					14	16.09		87	
		TOTAL		544	14.84		160	4.36		1848	50.40		115	3.14								1000	27.27		3667	
	FOURTH			39	24.38			Excluded		38	23.75		63	39.38								20	12.50		160	
		TOTAL		583	15.90					1886	51.43		178	4.85								1020	27.82		3667	
	FIFTH			99	55.62					33	18.54			Excluded								46	25.84		178	
		TOTAL		682	18.60					1919	52.33											1066	29.07		3667	
	SIXTH				Excluded					263	38.56											419	61.44		682	
		TOTAL								2182	59.50											1485	40.50		3667	
										Elected																
																										
Athelstone West                                                																										
	FIRST			416	12.98		75	2.34		1571	49.00		86	2.68		59	1.84		13	0.41		986	30.75		3206	
	SECOND			1	7.69		4	30.77		0	0.00		0	0.00		1	7.69			Excluded		7	53.85		13	
		TOTAL		417	13.01		79	2.46		1571	49.00		86	2.68		60	1.87					993	30.97		3206	
	THIRD			2	3.33		13	21.67		26	43.33		6	10.00			Excluded					13	21.67		60	
		TOTAL		419	13.07		92	2.87		1597	49.81		92	2.87								1006	31.38		3206	
	FOURTH			25	27.17			Excluded		15	16.30		35	38.04								17	18.48		92	
		TOTAL		444	13.85					1612	50.28		127	3.96								1023	31.91		3206	
	FIFTH			71	55.91					16	12.60			Excluded								40	31.50		127	
		TOTAL		515	16.06					1628	50.78											1063	33.16		3206	
	SIXTH				Excluded					192	37.28											323	62.72		515	
		TOTAL								1820	56.77											1386	43.23		3206	
										Elected																
																										
Balhannah                                                      																										
	FIRST			195	13.84		50	3.55		835	59.26		55	3.90		52	3.69		4	0.28		218	15.47		1409	
	SECOND			0	0.00		1	25.00		0	0.00		3	75.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		195	13.84		51	3.62		835	59.26		58	4.12		52	3.69					218	15.47		1409	
	THIRD			3	5.77		8	15.38		31	59.62		2	3.85			Excluded					8	15.38		52	
		TOTAL		198	14.05		59	4.19		866	61.46		60	4.26								226	16.04		1409	
	FOURTH			13	22.03			Excluded		12	20.34		30	50.85								4	6.78		59	
		TOTAL		211	14.98					878	62.31		90	6.39								230	16.32		1409	
	FIFTH			58	64.44					9	10.00			Excluded								23	25.56		90	
		TOTAL		269	19.09					887	62.95											253	17.96		1409	
	SIXTH				Excluded					94	34.94											175	65.06		269	
		TOTAL								981	69.62											428	30.38		1409	
										Elected																
																										
Basket Range                                                   																										
	FIRST			23	17.97		9	7.03		64	50.00		11	8.59		4	3.13		0	0.00		17	13.28		128	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		23	17.97		9	7.03		64	50.00		11	8.59		4	3.13					17	13.28		128	
	THIRD			0	0.00		2	50.00		1	25.00		1	25.00			Excluded					0	0.00		4	
		TOTAL		23	17.97		11	8.59		65	50.78		12	9.38								17	13.28		128	
	FOURTH			5	45.45			Excluded		3	27.27		2	18.18								1	9.09		11	
		TOTAL		28	21.88					68	53.13		14	10.94								18	14.06		128	
	FIFTH			9	64.29					0	0.00			Excluded								5	35.71		14	
		TOTAL		37	28.91					68	53.13											23	17.97		128	
	SIXTH				Excluded					6	16.22											31	83.78		37	
		TOTAL								74	57.81											54	42.19		128	
										Elected																
																										
Bridgewater                                                    																										
	FIRST			290	17.98		52	3.22		810	50.22		138	8.56		32	1.98		5	0.31		286	17.73		1613	
	SECOND			0	0.00		1	20.00		2	40.00		0	0.00		1	20.00			Excluded		1	20.00		5	
		TOTAL		290	17.98		53	3.29		812	50.34		138	8.56		33	2.05					287	17.79		1613	
	THIRD			1	3.03		4	12.12		16	48.48		7	21.21			Excluded					5	15.15		33	
		TOTAL		291	18.04		57	3.53		828	51.33		145	8.99								292	18.10		1613	
	FOURTH			19	33.33			Excluded		9	15.79		25	43.86								4	7.02		57	
		TOTAL		310	19.22					837	51.89		170	10.54								296	18.35		1613	
	FIFTH			113	66.47					16	9.41			Excluded								41	24.12		170	
		TOTAL		423	26.22					853	52.88											337	20.89		1613	
	SIXTH				Excluded					112	26.48											311	73.52		423	
		TOTAL								965	59.83											648	40.17		1613	
										Elected																
																										
Brukunga                                                       																										
	FIRST			24	13.48		4	2.25		86	48.31		7	3.93		16	8.99		3	1.69		38	21.35		178	
	SECOND			0	0.00		1	33.33		0	0.00		2	66.67		0	0.00			Excluded		0	0.00		3	
		TOTAL		24	13.48		5	2.81		86	48.31		9	5.06		16	8.99					38	21.35		178	
	THIRD			2	12.50		2	12.50		5	31.25		2	12.50			Excluded					5	31.25		16	
		TOTAL		26	14.61		7	3.93		91	51.12		11	6.18								43	24.16		178	
	FOURTH			1	14.29			Excluded		4	57.14		1	14.29								1	14.29		7	
		TOTAL		27	15.17					95	53.37		12	6.74								44	24.72		178	
	FIFTH			7	58.33					0	0.00			Excluded								5	41.67		12	
		TOTAL		34	19.10					95	53.37											49	27.53		178	
	SIXTH				Excluded					15	44.12											19	55.88		34	
		TOTAL								110	61.80											68	38.20		178	
										Elected																
																										
Callington                                                     																										
	FIRST			41	14.44		7	2.46		145	51.06		13	4.58		16	5.63		3	1.06		59	20.77		284	
	SECOND			0	0.00		2	66.67		0	0.00		1	33.33		0	0.00			Excluded		0	0.00		3	
		TOTAL		41	14.44		9	3.17		145	51.06		14	4.93		16	5.63					59	20.77		284	
	THIRD			1	6.25		6	37.50		6	37.50		2	12.50			Excluded					1	6.25		16	
		TOTAL		42	14.79		15	5.28		151	53.17		16	5.63								60	21.13		284	
	FOURTH			4	26.67			Excluded		4	26.67		6	40.00								1	6.67		15	
		TOTAL		46	16.20					155	54.58		22	7.75								61	21.48		284	
	FIFTH			15	68.18					4	18.18			Excluded								3	13.64		22	
		TOTAL		61	21.48					159	55.99											64	22.54		284	
	SIXTH				Excluded					24	39.34											37	60.66		61	
		TOTAL								183	64.44											101	35.56		284	
										Elected																
																										
Charleston                                                     																										
	FIRST			26	10.92		3	1.26		158	66.39		2	0.84		21	8.82		0	0.00		28	11.76		238	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		26	10.92		3	1.26		158	66.39		2	0.84		21	8.82					28	11.76		238	
	THIRD			3	14.29		2	9.52		11	52.38		1	4.76			Excluded					4	19.05		21	
		TOTAL		29	12.18		5	2.10		169	71.01		3	1.26								32	13.45		238	
	FOURTH			2	40.00			Excluded		1	20.00		1	20.00								1	20.00		5	
		TOTAL		31	13.03					170	71.43		4	1.68								33	13.87		238	
	FIFTH			1	25.00					1	25.00			Excluded								2	50.00		4	
		TOTAL		32	13.45					171	71.85											35	14.71		238	
	SIXTH				Excluded					8	25.00											24	75.00		32	
		TOTAL								179	75.21											59	24.79		238	
										Elected																
																										
Cherry Gardens                                                 																										
	FIRST			85	15.89		6	1.12		326	60.93		27	5.05		19	3.55		2	0.37		70	13.08		535	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		85	15.89		6	1.12		327	61.12		27	5.05		19	3.55					71	13.27		535	
	THIRD			1	5.26		8	42.11		6	31.58		3	15.79			Excluded					1	5.26		19	
		TOTAL		86	16.07		14	2.62		333	62.24		30	5.61								72	13.46		535	
	FOURTH			7	50.00			Excluded		1	7.14		4	28.57								2	14.29		14	
		TOTAL		93	17.38					334	62.43		34	6.36								74	13.83		535	
	FIFTH			19	55.88					5	14.71			Excluded								10	29.41		34	
		TOTAL		112	20.93					339	63.36											84	15.70		535	
	SIXTH				Excluded					45	40.18											67	59.82		112	
		TOTAL								384	71.78											151	28.22		535	
										Elected																
																										
Clarendon                                                      																										
	FIRST			67	14.99		7	1.57		244	54.59		38	8.50		7	1.57		0	0.00		84	18.79		447	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		67	14.99		7	1.57		244	54.59		38	8.50		7	1.57					84	18.79		447	
	THIRD			0	0.00		1	14.29		3	42.86		3	42.86			Excluded					0	0.00		7	
		TOTAL		67	14.99		8	1.79		247	55.26		41	9.17								84	18.79		447	
	FOURTH			0	0.00			Excluded		4	50.00		2	25.00								2	25.00		8	
		TOTAL		67	14.99					251	56.15		43	9.62								86	19.24		447	
	FIFTH			25	58.14					13	30.23			Excluded								5	11.63		43	
		TOTAL		92	20.58					264	59.06											91	20.36		447	
	SIXTH				Excluded					30	32.61											62	67.39		92	
		TOTAL								294	65.77											153	34.23		447	
										Elected																
																										
Coromandel Valley (Mayo)                                       																										
	FIRST			232	20.19		16	1.39		640	55.70		61	5.31		15	1.31		0	0.00		185	16.10		1149	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		232	20.19		16	1.39		640	55.70		61	5.31		15	1.31					185	16.10		1149	
	THIRD			1	6.67		3	20.00		7	46.67		2	13.33			Excluded					2	13.33		15	
		TOTAL		233	20.28		19	1.65		647	56.31		63	5.48								187	16.28		1149	
	FOURTH			2	10.53			Excluded		5	26.32		9	47.37								3	15.79		19	
		TOTAL		235	20.45					652	56.74		72	6.27								190	16.54		1149	
	FIFTH			47	65.28					11	15.28			Excluded								14	19.44		72	
		TOTAL		282	24.54					663	57.70											204	17.75		1149	
	SIXTH				Excluded					101	35.82											181	64.18		282	
		TOTAL								764	66.49											385	33.51		1149	
										Elected																
																										
Crafers                                                        																										
	FIRST			217	16.19		60	4.48		688	51.34		111	8.28		20	1.49		6	0.45		238	17.76		1340	
	SECOND			1	16.67		2	33.33		0	0.00		3	50.00		0	0.00			Excluded		0	0.00		6	
		TOTAL		218	16.27		62	4.63		688	51.34		114	8.51		20	1.49					238	17.76		1340	
	THIRD			2	10.00		2	10.00		12	60.00		2	10.00			Excluded					2	10.00		20	
		TOTAL		220	16.42		64	4.78		700	52.24		116	8.66								240	17.91		1340	
	FOURTH			14	21.88			Excluded		14	21.88		30	46.88								6	9.38		64	
		TOTAL		234	17.46					714	53.28		146	10.90								246	18.36		1340	
	FIFTH			93	63.70					23	15.75			Excluded								30	20.55		146	
		TOTAL		327	24.40					737	55.00											276	20.60		1340	
	SIXTH				Excluded					74	22.63											253	77.37		327	
		TOTAL								811	60.52											529	39.48		1340	
										Elected																
																										
Cudlee Creek                                                   																										
	FIRST			21	12.73		3	1.82		102	61.82		4	2.42		15	9.09		2	1.21		18	10.91		165	
	SECOND			0	0.00		2	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		21	12.73		5	3.03		102	61.82		4	2.42		15	9.09					18	10.91		165	
	THIRD			0	0.00		2	13.33		8	53.33		2	13.33			Excluded					3	20.00		15	
		TOTAL		21	12.73		7	4.24		110	66.67		6	3.64								21	12.73		165	
	FOURTH			4	57.14			Excluded		1	14.29		1	14.29								1	14.29		7	
		TOTAL		25	15.15					111	67.27		7	4.24								22	13.33		165	
	FIFTH			4	57.14					1	14.29			Excluded								2	28.57		7	
		TOTAL		29	17.58					112	67.88											24	14.55		165	
	SIXTH				Excluded					15	51.72											14	48.28		29	
		TOTAL								127	76.97											38	23.03		165	
										Elected																
																										
Echunga                                                        																										
	FIRST			100	13.48		20	2.70		455	61.32		42	5.66		25	3.37		1	0.13		99	13.34		742	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		100	13.48		20	2.70		455	61.32		42	5.66		26	3.50					99	13.34		742	
	THIRD			2	7.69		4	15.38		14	53.85		4	15.38			Excluded					2	7.69		26	
		TOTAL		102	13.75		24	3.23		469	63.21		46	6.20								101	13.61		742	
	FOURTH			13	54.17			Excluded		4	16.67		4	16.67								3	12.50		24	
		TOTAL		115	15.50					473	63.75		50	6.74								104	14.02		742	
	FIFTH			35	70.00					8	16.00			Excluded								7	14.00		50	
		TOTAL		150	20.22					481	64.82											111	14.96		742	
	SIXTH				Excluded					57	38.00											93	62.00		150	
		TOTAL								538	72.51											204	27.49		742	
										Elected																
																										
Flagstaff Hill (Mayo)                                          																										
	FIRST			61	14.77		3	0.73		235	56.90		19	4.60		7	1.69		1	0.24		87	21.07		413	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		61	14.77		3	0.73		236	57.14		19	4.60		7	1.69					87	21.07		413	
	THIRD			0	0.00		2	28.57		1	14.29		2	28.57			Excluded					2	28.57		7	
		TOTAL		61	14.77		5	1.21		237	57.38		21	5.08								89	21.55		413	
	FOURTH			1	20.00			Excluded		1	20.00		0	0.00								3	60.00		5	
		TOTAL		62	15.01					238	57.63		21	5.08								92	22.28		413	
	FIFTH			15	71.43					3	14.29			Excluded								3	14.29		21	
		TOTAL		77	18.64					241	58.35											95	23.00		413	
	SIXTH				Excluded					33	42.86											44	57.14		77	
		TOTAL								274	66.34											139	33.66		413	
										Elected																
																										
Hahndorf                                                       																										
	FIRST			179	11.36		52	3.30		961	60.98		76	4.82		71	4.51		7	0.44		230	14.59		1576	
	SECOND			0	0.00		1	14.29		3	42.86		1	14.29		1	14.29			Excluded		1	14.29		7	
		TOTAL		179	11.36		53	3.36		964	61.17		77	4.89		72	4.57					231	14.66		1576	
	THIRD			3	4.17		9	12.50		49	68.06		2	2.78			Excluded					9	12.50		72	
		TOTAL		182	11.55		62	3.93		1013	64.28		79	5.01								240	15.23		1576	
	FOURTH			16	25.81			Excluded		11	17.74		32	51.61								3	4.84		62	
		TOTAL		198	12.56					1024	64.97		111	7.04								243	15.42		1576	
	FIFTH			67	60.36					21	18.92			Excluded								23	20.72		111	
		TOTAL		265	16.81					1045	66.31											266	16.88		1576	
	SIXTH				Excluded					85	32.08											180	67.92		265	
		TOTAL								1130	71.70											446	28.30		1576	
										Elected																
																										
Happy Valley (Mayo)                                            																										
	FIRST			198	13.88		30	2.10		796	55.82		45	3.16		49	3.44		6	0.42		302	21.18		1426	
	SECOND			2	33.33		2	33.33		0	0.00		1	16.67		0	0.00			Excluded		1	16.67		6	
		TOTAL		200	14.03		32	2.24		796	55.82		46	3.23		49	3.44					303	21.25		1426	
	THIRD			3	6.12		15	30.61		28	57.14		1	2.04			Excluded					2	4.08		49	
		TOTAL		203	14.24		47	3.30		824	57.78		47	3.30								305	21.39		1426	
	FOURTH			13	27.66			Excluded		14	29.79		16	34.04								4	8.51		47	
		TOTAL		216	15.15					838	58.77		63	4.42								309	21.67		1426	
	FIFTH			28	44.44					15	23.81			Excluded								20	31.75		63	
		TOTAL		244	17.11					853	59.82											329	23.07		1426	
	SIXTH				Excluded					95	38.93											149	61.07		244	
		TOTAL								948	66.48											478	33.52		1426	
										Elected																
																										
Harrogate                                                      																										
	FIRST			10	8.13		5	4.07		75	60.98		6	4.88		2	1.63		0	0.00		25	20.33		123	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		10	8.13		5	4.07		75	60.98		6	4.88		2	1.63					25	20.33		123	
	THIRD			0	0.00		0	0.00		0	0.00		2	100.00			Excluded					0	0.00		2	
		TOTAL		10	8.13		5	4.07		75	60.98		8	6.50								25	20.33		123	
	FOURTH			0	0.00			Excluded		0	0.00		2	40.00								3	60.00		5	
		TOTAL		10	8.13					75	60.98		10	8.13								28	22.76		123	
	FIFTH			7	70.00					2	20.00			Excluded								1	10.00		10	
		TOTAL		17	13.82					77	62.60											29	23.58		123	
	SIXTH				Excluded					5	29.41											12	70.59		17	
		TOTAL								82	66.67											41	33.33		123	
										Elected																
																										
Highbury South (Mayo)                                          																										
	FIRST			260	11.04		82	3.48		1385	58.81		52	2.21		75	3.18		4	0.17		497	21.10		2355	
	SECOND			2	50.00		0	0.00		0	0.00		1	25.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		262	11.13		82	3.48		1385	58.81		53	2.25		75	3.18					498	21.15		2355	
	THIRD			5	6.67		8	10.67		47	62.67		6	8.00			Excluded					9	12.00		75	
		TOTAL		267	11.34		90	3.82		1432	60.81		59	2.51								507	21.53		2355	
	FOURTH			30	33.33			Excluded		11	12.22		40	44.44								9	10.00		90	
		TOTAL		297	12.61					1443	61.27		99	4.20								516	21.91		2355	
	FIFTH			52	52.53					21	21.21			Excluded								26	26.26		99	
		TOTAL		349	14.82					1464	62.17											542	23.01		2355	
	SIXTH				Excluded					139	39.83											210	60.17		349	
		TOTAL								1603	68.07											752	31.93		2355	
										Elected																
																										
Houghton                                                       																										
	FIRST			94	15.88		23	3.89		364	61.49		17	2.87		18	3.04		2	0.34		74	12.50		592	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		94	15.88		24	4.05		364	61.49		17	2.87		18	3.04					75	12.67		592	
	THIRD			1	5.56		4	22.22		9	50.00		2	11.11			Excluded					2	11.11		18	
		TOTAL		95	16.05		28	4.73		373	63.01		19	3.21								77	13.01		592	
	FOURTH			10	35.71			Excluded		11	39.29		6	21.43								1	3.57		28	
		TOTAL		105	17.74					384	64.86		25	4.22								78	13.18		592	
	FIFTH			12	48.00					7	28.00			Excluded								6	24.00		25	
		TOTAL		117	19.76					391	66.05											84	14.19		592	
	SIXTH				Excluded					37	31.62											80	68.38		117	
		TOTAL								428	72.30											164	27.70		592	
										Elected																
																										
Kangarilla                                                     																										
	FIRST			102	20.16		11	2.17		276	54.55		19	3.75		16	3.16		3	0.59		79	15.61		506	
	SECOND			0	0.00		2	66.67		1	33.33		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		102	20.16		13	2.57		277	54.74		19	3.75		16	3.16					79	15.61		506	
	THIRD			0	0.00		5	31.25		4	25.00		3	18.75			Excluded					4	25.00		16	
		TOTAL		102	20.16		18	3.56		281	55.53		22	4.35								83	16.40		506	
	FOURTH			4	22.22			Excluded		4	22.22		8	44.44								2	11.11		18	
		TOTAL		106	20.95					285	56.32		30	5.93								85	16.80		506	
	FIFTH			16	53.33					4	13.33			Excluded								10	33.33		30	
		TOTAL		122	24.11					289	57.11											95	18.77		506	
	SIXTH				Excluded					36	29.51											86	70.49		122	
		TOTAL								325	64.23											181	35.77		506	
										Elected																
																										
Langhorne Creek                                                																										
	FIRST			17	6.88		6	2.43		192	77.73		4	1.62		9	3.64		1	0.40		18	7.29		247	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		17	6.88		6	2.43		192	77.73		4	1.62		10	4.05					18	7.29		247	
	THIRD			1	10.00		1	10.00		1	10.00		4	40.00			Excluded					3	30.00		10	
		TOTAL		18	7.29		7	2.83		193	78.14		8	3.24								21	8.50		247	
	FOURTH			0	0.00			Excluded		3	42.86		2	28.57								2	28.57		7	
		TOTAL		18	7.29					196	79.35		10	4.05								23	9.31		247	
	FIFTH			5	50.00					2	20.00			Excluded								3	30.00		10	
		TOTAL		23	9.31					198	80.16											26	10.53		247	
	SIXTH				Excluded					10	43.48											13	56.52		23	
		TOTAL								208	84.21											39	15.79		247	
										Elected																
																										
Lenswood                                                       																										
	FIRST			51	11.02		16	3.46		299	64.58		20	4.32		17	3.67		0	0.00		60	12.96		463	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		51	11.02		16	3.46		299	64.58		20	4.32		17	3.67					60	12.96		463	
	THIRD			3	17.65		2	11.76		10	58.82		1	5.88			Excluded					1	5.88		17	
		TOTAL		54	11.66		18	3.89		309	66.74		21	4.54								61	13.17		463	
	FOURTH			3	16.67			Excluded		4	22.22		9	50.00								2	11.11		18	
		TOTAL		57	12.31					313	67.60		30	6.48								63	13.61		463	
	FIFTH			21	70.00					4	13.33			Excluded								5	16.67		30	
		TOTAL		78	16.85					317	68.47											68	14.69		463	
	SIXTH				Excluded					24	30.77											54	69.23		78	
		TOTAL								341	73.65											122	26.35		463	
										Elected																
																										
Littlehampton                                                  																										
	FIRST			255	16.13		51	3.23		847	53.57		75	4.74		57	3.61		4	0.25		292	18.47		1581	
	SECOND			2	50.00		2	50.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		257	16.26		53	3.35		847	53.57		75	4.74		57	3.61					292	18.47		1581	
	THIRD			4	7.02		8	14.04		27	47.37		8	14.04			Excluded					10	17.54		57	
		TOTAL		261	16.51		61	3.86		874	55.28		83	5.25								302	19.10		1581	
	FOURTH			16	26.23			Excluded		9	14.75		30	49.18								6	9.84		61	
		TOTAL		277	17.52					883	55.85		113	7.15								308	19.48		1581	
	FIFTH			71	62.83					12	10.62			Excluded								30	26.55		113	
		TOTAL		348	22.01					895	56.61											338	21.38		1581	
	SIXTH				Excluded					130	37.36											218	62.64		348	
		TOTAL								1025	64.83											556	35.17		1581	
										Elected																
																										
Lobethal                                                       																										
	FIRST			184	14.23		19	1.47		790	61.10		58	4.49		69	5.34		5	0.39		168	12.99		1293	
	SECOND			2	40.00		2	40.00		0	0.00		0	0.00		1	20.00			Excluded		0	0.00		5	
		TOTAL		186	14.39		21	1.62		790	61.10		58	4.49		70	5.41					168	12.99		1293	
	THIRD			5	7.14		7	10.00		48	68.57		3	4.29			Excluded					7	10.00		70	
		TOTAL		191	14.77		28	2.17		838	64.81		61	4.72								175	13.53		1293	
	FOURTH			14	50.00			Excluded		6	21.43		5	17.86								3	10.71		28	
		TOTAL		205	15.85					844	65.27		66	5.10								178	13.77		1293	
	FIFTH			43	65.15					8	12.12			Excluded								15	22.73		66	
		TOTAL		248	19.18					852	65.89											193	14.93		1293	
	SIXTH				Excluded					93	37.50											155	62.50		248	
		TOTAL								945	73.09											348	26.91		1293	
										Elected																
																										
Longwood                                                       																										
	FIRST			41	12.58		25	7.67		173	53.07		32	9.82		3	0.92		0	0.00		52	15.95		326	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		41	12.58		25	7.67		173	53.07		32	9.82		3	0.92					52	15.95		326	
	THIRD			0	0.00		2	66.67		0	0.00		1	33.33			Excluded					0	0.00		3	
		TOTAL		41	12.58		27	8.28		173	53.07		33	10.12								52	15.95		326	
	FOURTH			9	33.33			Excluded		4	14.81		11	40.74								3	11.11		27	
		TOTAL		50	15.34					177	54.29		44	13.50								55	16.87		326	
	FIFTH			35	79.55					2	4.55			Excluded								7	15.91		44	
		TOTAL		85	26.07					179	54.91											62	19.02		326	
	SIXTH				Excluded					20	23.53											65	76.47		85	
		TOTAL								199	61.04											127	38.96		326	
										Elected																
																										
Macclesfield                                                   																										
