House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hindmarsh (84806)											
		Candidate		"GEORGANAS, Steve"		           	"GALLUS, Chris"		              	Total	
		"CASHEL, Deb (GRN)"	65	45	69.23		20	30.77		65	
		"DOWD, Caroline (DEM)"	202	136	67.33		66	32.67		202	
		Total	375	1211	53.14		1068	46.86		2279	

	Fulham										
			1st Prefs	560	36.96		955	63.04		1515	
		"FITZPATRICK, Peter (HAN)"	54	28	51.85		26	48.15		54	
		"CASHEL, Deb (GRN)"	51	43	84.31		8	15.69		51	
		"DOWD, Caroline (DEM)"	117	76	64.96		41	35.04		117	
		Total	222	707	40.70		1030	59.30		1737	

	Fulham Gardens										
			1st Prefs	1390	50.53		1361	49.47		2751	
		"FITZPATRICK, Peter (HAN)"	104	68	65.38		36	34.62		104	
		"CASHEL, Deb (GRN)"	94	67	71.28		27	28.72		94	
		"DOWD, Caroline (DEM)"	276	178	64.49		98	35.51		276	
		Total	474	1703	52.81		1522	47.19		3225	

	Glandore										
			1st Prefs	396	41.16		566	58.84		962	
		"FITZPATRICK, Peter (HAN)"	37	18	48.65		19	51.35		37	
		"CASHEL, Deb (GRN)"	56	43	76.79		13	23.21		56	
		"DOWD, Caroline (DEM)"	128	97	75.78		31	24.22		128	
		Total	221	554	46.83		629	53.17		1183	

	Glenelg Central										
			1st Prefs	466	34.62		880	65.38		1346	
		"FITZPATRICK, Peter (HAN)"	45	17	37.78		28	62.22		45	
		"CASHEL, Deb (GRN)"	75	55	73.33		20	26.67		75	
		"DOWD, Caroline (DEM)"	153	92	60.13		61	39.87		153	
		Total	273	630	38.91		989	61.09		1619	

	Glenelg East										
			1st Prefs	492	36.44		858	63.56		1350	
		"FITZPATRICK, Peter (HAN)"	43	24	55.81		19	44.19		43	
		"CASHEL, Deb (GRN)"	75	54	72.00		21	28.00		75	
		"DOWD, Caroline (DEM)"	162	97	59.88		65	40.12		162	
		Total	280	667	40.92		963	59.08		1630	

	Glenelg North										
			1st Prefs	704	32.77		1444	67.23		2148	
		"FITZPATRICK, Peter (HAN)"	75	40	53.33		35	46.67		75	
		"CASHEL, Deb (GRN)"	115	87	75.65		28	24.35		115	
		"DOWD, Caroline (DEM)"	194	115	59.28		79	40.72		194	
		Total	384	946	37.36		1586	62.64		2532	

	Glenelg South										
			1st Prefs	460	28.80		1137	71.20		1597	
		"FITZPATRICK, Peter (HAN)"	43	22	51.16		21	48.84		43	
		"CASHEL, Deb (GRN)"	92	66	71.74		26	28.26		92	
		"DOWD, Caroline (DEM)"	125	71	56.80		54	43.20		125	
		Total	260	619	33.33		1238	66.67		1857	

	Glengowrie										
			1st Prefs	505	35.94		900	64.06		1405	
		"FITZPATRICK, Peter (HAN)"	37	16	43.24		21	56.76		37	
		"CASHEL, Deb (GRN)"	34	23	67.65		11	32.35		34	
		"DOWD, Caroline (DEM)"	137	73	53.28		64	46.72		137	
		Total	208	617	38.25		996	61.75		1613	

	Grovene										
			1st Prefs	357	32.08		756	67.92		1113	
		"FITZPATRICK, Peter (HAN)"	34	20	58.82		14	41.18		34	
		"CASHEL, Deb (GRN)"	36	20	55.56		16	44.44		36	
		"DOWD, Caroline (DEM)"	94	54	57.45		40	42.55		94	
		Total	164	451	35.32		826	64.68		1277	

	Henley Beach										
			1st Prefs	768	44.63		953	55.37		1721	
		"FITZPATRICK, Peter (HAN)"	50	20	40.00		30	60.00		50	
		"CASHEL, Deb (GRN)"	133	110	82.71		23	17.29		133	
		"DOWD, Caroline (DEM)"	210	138	65.71		72	34.29		210	
		Total	393	1036	49.01		1078	50.99		2114	

	Henley South										
			1st Prefs	515	44.09		653	55.91		1168	
		"FITZPATRICK, Peter (HAN)"	42	21	50.00		21	50.00		42	
		"CASHEL, Deb (GRN)"	110	90	81.82		20	18.18		110	
		"DOWD, Caroline (DEM)"	123	76	61.79		47	38.21		123	
		Total	275	702	48.65		741	51.35		1443	

	Kidman Park										
			1st Prefs	417	50.85		403	49.15		820	
		"FITZPATRICK, Peter (HAN)"	18	11	61.11		7	38.89		18	
		"CASHEL, Deb (GRN)"	17	11	64.71		6	35.29		17	
		"DOWD, Caroline (DEM)"	67	44	65.67		23	34.33		67	
		Total	102	483	52.39		439	47.61		922	

	Kidman Park South										
			1st Prefs	997	46.79		1134	53.21		2131	
		"FITZPATRICK, Peter (HAN)"	67	39	58.21		28	41.79		67	
		"CASHEL, Deb (GRN)"	51	29	56.86		22	43.14		51	
		"DOWD, Caroline (DEM)"	178	93	52.25		85	47.75		178	
		Total	296	1158	47.71		1269	52.29		2427	

	Kurralta Park										
			1st Prefs	566	50.54		554	49.46		1120	
		"FITZPATRICK, Peter (HAN)"	49	32	65.31		17	34.69		49	
		"CASHEL, Deb (GRN)"	47	42	89.36		5	10.64		47	
		"DOWD, Caroline (DEM)"	162	91	56.17		71	43.83		162	
		Total	258	731	53.05		647	46.95		1378	

	Lockleys										
			1st Prefs	505	34.10		976	65.90		1481	
		"FITZPATRICK, Peter (HAN)"	42	25	59.52		17	40.48		42	
		"CASHEL, Deb (GRN)"	49	34	69.39		15	30.61		49	
		"DOWD, Caroline (DEM)"	136	74	54.41		62	45.59		136	
		Total	227	638	37.35		1070	62.65		1708	

	Lockleys North										
			1st Prefs	467	45.16		567	54.84		1034	
		"FITZPATRICK, Peter (HAN)"	34	19	55.88		15	44.12		34	
		"CASHEL, Deb (GRN)"	33	24	72.73		9	27.27		33	
		"DOWD, Caroline (DEM)"	98	67	68.37		31	31.63		98	
		Total	165	577	48.12		622	51.88		1199	

	Mile End (Hindmarsh)										
			1st Prefs	379	64.79		206	35.21		585	
		"FITZPATRICK, Peter (HAN)"	8	7	87.50		1	12.50		8	
		"CASHEL, Deb (GRN)"	52	39	75.00		13	25.00		52	
		"DOWD, Caroline (DEM)"	92	59	64.13		33	35.87		92	
		Total	152	484	65.67		253	34.33		737	

	Morphettville										
			1st Prefs	468	43.82		600	56.18		1068	
		"FITZPATRICK, Peter (HAN)"	59	34	57.63		25	42.37		59	
		"CASHEL, Deb (GRN)"	26	17	65.38		9	34.62		26	
		"DOWD, Caroline (DEM)"	111	72	64.86		39	35.14		111	
		Total	196	591	46.76		673	53.24		1264	

	Netley										
			1st Prefs	492	49.20		508	50.80		1000	
		"FITZPATRICK, Peter (HAN)"	38	23	60.53		15	39.47		38	
		"CASHEL, Deb (GRN)"	27	18	66.67		9	33.33		27	
		"DOWD, Caroline (DEM)"	91	52	57.14		39	42.86		91	
		Total	156	585	50.61		571	49.39		1156	

	Novar Gardens										
			1st Prefs	463	32.26		972	67.74		1435	
		"FITZPATRICK, Peter (HAN)"	57	35	61.40		22	38.60		57	
		"CASHEL, Deb (GRN)"	42	26	61.90		16	38.10		42	
		"DOWD, Caroline (DEM)"	126	68	53.97		58	46.03		126	
		Total	225	592	35.66		1068	64.34		1660	

	Park Holme										
			1st Prefs	620	51.84		576	48.16		1196	
		"FITZPATRICK, Peter (HAN)"	49	25	51.02		24	48.98		49	
		"CASHEL, Deb (GRN)"	42	33	78.57		9	21.43		42	
		"DOWD, Caroline (DEM)"	155	97	62.58		58	37.42		155	
		Total	246	775	53.74		667	46.26		1442	

	Park Holme South										
			1st Prefs	627	51.06		601	48.94		1228	
		"FITZPATRICK, Peter (HAN)"	49	24	48.98		25	51.02		49	
		"CASHEL, Deb (GRN)"	47	33	70.21		14	29.79		47	
		"DOWD, Caroline (DEM)"	143	93	65.03		50	34.97		143	
		Total	239	777	52.97		690	47.03		1467	

	Plympton										
			1st Prefs	739	47.68		811	52.32		1550	
		"FITZPATRICK, Peter (HAN)"	72	45	62.50		27	37.50		72	
		"CASHEL, Deb (GRN)"	56	39	69.64		17	30.36		56	
		"DOWD, Caroline (DEM)"	194	110	56.70		84	43.30		194	
		Total	322	933	49.84		939	50.16		1872	

	Plympton Park										
			1st Prefs	500	44.25		630	55.75		1130	
		"FITZPATRICK, Peter (HAN)"	41	17	41.46		24	58.54		41	
		"CASHEL, Deb (GRN)"	44	36	81.82		8	18.18		44	
		"DOWD, Caroline (DEM)"	123	69	56.10		54	43.90		123	
		Total	208	622	46.49		716	53.51		1338	

	Plympton West										
			1st Prefs	558	45.37		672	54.63		1230	
		"FITZPATRICK, Peter (HAN)"	49	35	71.43		14	28.57		49	
		"CASHEL, Deb (GRN)"	36	26	72.22		10	27.78		36	
		"DOWD, Caroline (DEM)"	92	49	53.26		43	46.74		92	
		Total	177	668	47.48		739	52.52		1407	

	Richmond										
			1st Prefs	887	55.20		720	44.80		1607	
		"FITZPATRICK, Peter (HAN)"	68	37	54.41		31	45.59		68	
		"CASHEL, Deb (GRN)"	90	68	75.56		22	24.44		90	
		"DOWD, Caroline (DEM)"	148	91	61.49		57	38.51		148	
		Total	306	1083	56.61		830	43.39		1913	

	Somerton Park East										
			1st Prefs	434	38.20		702	61.80		1136	
		"FITZPATRICK, Peter (HAN)"	49	29	59.18		20	40.82		49	
		"CASHEL, Deb (GRN)"	46	33	71.74		13	28.26		46	
		"DOWD, Caroline (DEM)"	116	71	61.21		45	38.79		116	
		Total	211	567	42.09		780	57.91		1347	

	South Plympton										
			1st Prefs	507	48.10		547	51.90		1054	
		"FITZPATRICK, Peter (HAN)"	43	20	46.51		23	53.49		43	
		"CASHEL, Deb (GRN)"	28	22	78.57		6	21.43		28	
		"DOWD, Caroline (DEM)"	167	102	61.08		65	38.92		167	
		Total	238	651	50.39		641	49.61		1292	

	Torrensville										
			1st Prefs	856	66.46		432	33.54		1288	
		"FITZPATRICK, Peter (HAN)"	40	24	60.00		16	40.00		40	
		"CASHEL, Deb (GRN)"	87	69	79.31		18	20.69		87	
		"DOWD, Caroline (DEM)"	163	107	65.64		56	34.36		163	
		Total	290	1056	66.92		522	33.08		1578	

	West Beach										
			1st Prefs	824	39.13		1282	60.87		2106	
		"FITZPATRICK, Peter (HAN)"	69	42	60.87		27	39.13		69	
		"CASHEL, Deb (GRN)"	70	45	64.29		25	35.71		70	
		"DOWD, Caroline (DEM)"	162	103	63.58		59	36.42		162	
		Total	301	1014	42.13		1393	57.87		2407	

	West Richmond										
			1st Prefs	472	61.94		290	38.06		762	
		"FITZPATRICK, Peter (HAN)"	29	15	51.72		14	48.28		29	
		"CASHEL, Deb (GRN)"	21	12	57.14		9	42.86		21	
		"DOWD, Caroline (DEM)"	56	39	69.64		17	30.36		56	
		Total	106	538	61.98		330	38.02		868	

	Special Hospitals										
			1st Prefs	162	40.70		236	59.30		398	
		"FITZPATRICK, Peter (HAN)"	12	8	66.67		4	33.33		12	
		"CASHEL, Deb (GRN)"	2	1	50.00		1	50.00		2	
		"DOWD, Caroline (DEM)"	6	2	33.33		4	66.67		6	
		Total	20	173	41.39		245	58.61		418	

	Total Ordinary										
			1st Prefs	25179	46.03		29525	53.97		54704	
		"FITZPATRICK, Peter (HAN)"	2063	1195	57.93		868	42.07		2063	
		"CASHEL, Deb (GRN)"	2230	1655	74.22		575	25.78		2230	
		"DOWD, Caroline (DEM)"	5500	3361	61.11		2139	38.89		5500	
		Total	9793	31390	48.67		33107	51.33		64497	

	ABSENT										
			1st Prefs	1702	45.07		2074	54.93		3776	
		"FITZPATRICK, Peter (HAN)"	182	93	51.10		89	48.90		182	
		"CASHEL, Deb (GRN)"	300	213	71.00		87	29.00		300	
		"DOWD, Caroline (DEM)"	717	422	58.86		295	41.14		717	
		Total	1199	2430	48.84		2545	51.16		4975	

	POSTAL										
			1st Prefs	1262	37.85		2072	62.15		3334	
		"FITZPATRICK, Peter (HAN)"	109	48	44.04		61	55.96		109	
		"CASHEL, Deb (GRN)"	79	52	65.82		27	34.18		79	
		"DOWD, Caroline (DEM)"	210	129	61.43		81	38.57		210	
		Total	398	1491	39.95		2241	60.05		3732	

	PRE_POLL										
			1st Prefs	893	40.78		1297	59.22		2190	
		"FITZPATRICK, Peter (HAN)"	91	48	52.75		43	47.25		91	
		"CASHEL, Deb (GRN)"	129	94	72.87		35	27.13		129	
		"DOWD, Caroline (DEM)"	284	170	59.86		114	40.14		284	
		Total	504	1205	44.73		1489	55.27		2694	

	PROVISIONAL										
			1st Prefs	151	50.33		149	49.67		300	
		"FITZPATRICK, Peter (HAN)"	13	6	46.15		7	53.85		13	
		"CASHEL, Deb (GRN)"	19	12	63.16		7	36.84		19	
		"DOWD, Caroline (DEM)"	53	34	64.15		19	35.85		53	
		Total	85	203	52.73		182	47.27		385	

	Division Summary										
			1st Prefs	29187	45.39		35117	54.61		64304	
		"FITZPATRICK, Peter (HAN)"	2458	1390	56.55		1068	43.45		2458	
		"CASHEL, Deb (GRN)"	2757	2026	73.49		731	26.51		2757	
		"DOWD, Caroline (DEM)"	6764	4116	60.85		2648	39.15		6764	
		Total	11979	36719	48.14		39564	51.86		76283	
