House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Kingston (85398)											
		Candidate		"HERSEY, Dean"		               	"COX, David"		                 	Total	
		"ARANDELOVIC, Gordon (NGST)"	22	4	18.18		18	81.82		22	
		"MCCORMACK, Charlie (HAN)"	57	37	64.91		20	35.09		57	
		"GUILDNER, Deborah (GRN)"	43	11	25.58		32	74.42		43	
		"PRATT, Graham (DEM)"	164	45	27.44		119	72.56		164	
		Total	286	565	42.20		774	57.80		1339	

	Pimpala										
			1st Prefs	823	51.73		768	48.27		1591	
		"ARANDELOVIC, Gordon (NGST)"	25	10	40.00		15	60.00		25	
		"MCCORMACK, Charlie (HAN)"	81	45	55.56		36	44.44		81	
		"GUILDNER, Deborah (GRN)"	39	16	41.03		23	58.97		39	
		"PRATT, Graham (DEM)"	232	85	36.64		147	63.36		232	
		Total	377	979	49.75		989	50.25		1968	

	Port Noarlunga										
			1st Prefs	554	47.19		620	52.81		1174	
		"ARANDELOVIC, Gordon (NGST)"	21	4	19.05		17	80.95		21	
		"MCCORMACK, Charlie (HAN)"	78	55	70.51		23	29.49		78	
		"GUILDNER, Deborah (GRN)"	84	20	23.81		64	76.19		84	
		"PRATT, Graham (DEM)"	176	60	34.09		116	65.91		176	
		Total	359	693	45.21		840	54.79		1533	

	Reynella										
			1st Prefs	1110	52.53		1003	47.47		2113	
		"ARANDELOVIC, Gordon (NGST)"	41	20	48.78		21	51.22		41	
		"MCCORMACK, Charlie (HAN)"	113	81	71.68		32	28.32		113	
		"GUILDNER, Deborah (GRN)"	43	18	41.86		25	58.14		43	
		"PRATT, Graham (DEM)"	353	135	38.24		218	61.76		353	
		Total	550	1364	51.22		1299	48.78		2663	

	Reynella East										
			1st Prefs	1461	53.93		1248	46.07		2709	
		"ARANDELOVIC, Gordon (NGST)"	37	12	32.43		25	67.57		37	
		"MCCORMACK, Charlie (HAN)"	123	86	69.92		37	30.08		123	
		"GUILDNER, Deborah (GRN)"	79	21	26.58		58	73.42		79	
		"PRATT, Graham (DEM)"	483	200	41.41		283	58.59		483	
		Total	722	1780	51.88		1651	48.12		3431	

	Reynella South										
			1st Prefs	1097	49.28		1129	50.72		2226	
		"ARANDELOVIC, Gordon (NGST)"	36	14	38.89		22	61.11		36	
		"MCCORMACK, Charlie (HAN)"	154	100	64.94		54	35.06		154	
		"GUILDNER, Deborah (GRN)"	70	26	37.14		44	62.86		70	
		"PRATT, Graham (DEM)"	324	126	38.89		198	61.11		324	
		Total	584	1363	48.51		1447	51.49		2810	

	Seaford										
			1st Prefs	804	45.24		973	54.76		1777	
		"ARANDELOVIC, Gordon (NGST)"	23	12	52.17		11	47.83		23	
		"MCCORMACK, Charlie (HAN)"	146	104	71.23		42	28.77		146	
		"GUILDNER, Deborah (GRN)"	79	14	17.72		65	82.28		79	
		"PRATT, Graham (DEM)"	220	60	27.27		160	72.73		220	
		Total	468	994	44.28		1251	55.72		2245	

	Seaford Rise										
			1st Prefs	775	48.17		834	51.83		1609	
		"ARANDELOVIC, Gordon (NGST)"	26	9	34.62		17	65.38		26	
		"MCCORMACK, Charlie (HAN)"	84	51	60.71		33	39.29		84	
		"GUILDNER, Deborah (GRN)"	53	17	32.08		36	67.92		53	
		"PRATT, Graham (DEM)"	237	74	31.22		163	68.78		237	
		Total	400	926	46.09		1083	53.91		2009	

	Sellicks Beach										
			1st Prefs	291	46.86		330	53.14		621	
		"ARANDELOVIC, Gordon (NGST)"	6	4	66.67		2	33.33		6	
		"MCCORMACK, Charlie (HAN)"	50	29	58.00		21	42.00		50	
		"GUILDNER, Deborah (GRN)"	26	6	23.08		20	76.92		26	
		"PRATT, Graham (DEM)"	75	18	24.00		57	76.00		75	
		Total	157	348	44.73		430	55.27		778	

	Sheidow Park										
			1st Prefs	1034	52.01		954	47.99		1988	
		"ARANDELOVIC, Gordon (NGST)"	39	14	35.90		25	64.10		39	
		"MCCORMACK, Charlie (HAN)"	84	52	61.90		32	38.10		84	
		"GUILDNER, Deborah (GRN)"	59	21	35.59		38	64.41		59	
		"PRATT, Graham (DEM)"	365	122	33.42		243	66.58		365	
		Total	547	1243	49.03		1292	50.97		2535	

	Trott Park										
			1st Prefs	583	51.50		549	48.50		1132	
		"ARANDELOVIC, Gordon (NGST)"	15	7	46.67		8	53.33		15	
		"MCCORMACK, Charlie (HAN)"	30	20	66.67		10	33.33		30	
		"GUILDNER, Deborah (GRN)"	31	15	48.39		16	51.61		31	
		"PRATT, Graham (DEM)"	216	74	34.26		142	65.74		216	
		Total	292	699	49.09		725	50.91		1424	

	Woodcroft										
			1st Prefs	1954	56.34		1514	43.66		3468	
		"ARANDELOVIC, Gordon (NGST)"	43	17	39.53		26	60.47		43	
		"MCCORMACK, Charlie (HAN)"	160	107	66.88		53	33.13		160	
		"GUILDNER, Deborah (GRN)"	60	19	31.67		41	68.33		60	
		"PRATT, Graham (DEM)"	508	200	39.37		308	60.63		508	
		Total	771	2297	54.19		1942	45.81		4239	

	Special Hospitals										
			1st Prefs	194	60.63		126	39.38		320	
		"ARANDELOVIC, Gordon (NGST)"	2	0	0.00		2	100.00		2	
		"MCCORMACK, Charlie (HAN)"	6	4	66.67		2	33.33		6	
		"GUILDNER, Deborah (GRN)"	2	1	50.00		1	50.00		2	
		"PRATT, Graham (DEM)"	9	3	33.33		6	66.67		9	
		Total	19	202	59.59		137	40.41		339	

	Total Ordinary										
			1st Prefs	25907	49.03		26932	50.97		52839	
		"ARANDELOVIC, Gordon (NGST)"	913	334	36.58		579	63.42		913	
		"MCCORMACK, Charlie (HAN)"	3145	2133	67.82		1012	32.18		3145	
		"GUILDNER, Deborah (GRN)"	1978	603	30.49		1375	69.51		1978	
		"PRATT, Graham (DEM)"	7848	2783	35.46		5065	64.54		7848	
		Total	13884	31760	47.60		34963	52.40		66723	

	ABSENT										
			1st Prefs	1718	51.41		1624	48.59		3342	
		"ARANDELOVIC, Gordon (NGST)"	106	46	43.40		60	56.60		106	
		"MCCORMACK, Charlie (HAN)"	191	101	52.88		90	47.12		191	
		"GUILDNER, Deborah (GRN)"	271	80	29.52		191	70.48		271	
		"PRATT, Graham (DEM)"	657	241	36.68		416	63.32		657	
		Total	1225	2186	47.87		2381	52.13		4567	

	POSTAL										
			1st Prefs	1161	51.76		1082	48.24		2243	
		"ARANDELOVIC, Gordon (NGST)"	36	9	25.00		27	75.00		36	
		"MCCORMACK, Charlie (HAN)"	131	76	58.02		55	41.98		131	
		"GUILDNER, Deborah (GRN)"	60	23	38.33		37	61.67		60	
		"PRATT, Graham (DEM)"	188	63	33.51		125	66.49		188	
		Total	415	1332	50.11		1326	49.89		2658	

	PRE_POLL										
			1st Prefs	1145	48.07		1237	51.93		2382	
		"ARANDELOVIC, Gordon (NGST)"	64	21	32.81		43	67.19		64	
		"MCCORMACK, Charlie (HAN)"	134	78	58.21		56	41.79		134	
		"GUILDNER, Deborah (GRN)"	103	34	33.01		69	66.99		103	
		"PRATT, Graham (DEM)"	304	115	37.83		189	62.17		304	
		Total	605	1393	46.64		1594	53.36		2987	

	PROVISIONAL										
			1st Prefs	149	37.16		252	62.84		401	
		"ARANDELOVIC, Gordon (NGST)"	17	6	35.29		11	64.71		17	
		"MCCORMACK, Charlie (HAN)"	33	15	45.45		18	54.55		33	
		"GUILDNER, Deborah (GRN)"	25	8	32.00		17	68.00		25	
		"PRATT, Graham (DEM)"	79	23	29.11		56	70.89		79	
		Total	154	201	36.22		354	63.78		555	

	Division Summary										
			1st Prefs	30080	49.14		31127	50.86		61207	
		"ARANDELOVIC, Gordon (NGST)"	1136	416	36.62		720	63.38		1136	
		"MCCORMACK, Charlie (HAN)"	3634	2403	66.13		1231	33.87		3634	
		"GUILDNER, Deborah (GRN)"	2437	748	30.69		1689	69.31		2437	
		"PRATT, Graham (DEM)"	9076	3225	35.53		5851	64.47		9076	
		Total	16283	36872	47.58		40618	52.42		77490	
