House of Representatives - 2001 Election: South Australia																																			
First Preference Votes and TCP																																			
By Candidate by Polling Place																																			

Bonython (85484)																																			
	HUNT			BLAKE			CHOMEL			DENNIS			# EVANS			MAHONEY			FORMAL			INFORMAL			TOTAL										
Hillbank	51	2.95		41	2.38		668	38.70		190	11.01		704	40.79		72	4.17		1726	94.68		97	5.32		1823	2.23		819	47.45		907	52.55			
Munno Para	36	3.93		37	4.04		206	22.51		82	8.96		506	55.30		48	5.25		915	92.80		71	7.20		986	1.21		288	31.48		627	68.52			
One Tree Hill (Bonython)	14	1.99		22	3.12		391	55.46		50	7.09		195	27.66		33	4.68		705	92.52		57	7.48		762	0.93		452	64.11		253	35.89			
Parafield Gardens	65	3.55		40	2.19		438	23.95		220	12.03		937	51.23		129	7.05		1829	92.51		148	7.49		1977	2.42		637	34.83		1192	65.17			
Parafield Gardens Central	174	4.52		101	2.62		915	23.75		412	10.70		2015	52.31		235	6.10		3852	90.78		391	9.22		4243	5.20		1357	35.23		2495	64.77			
Parafield Gardens North West	116	4.15		71	2.54		678	24.25		378	13.52		1409	50.39		144	5.15		2796	91.37		264	8.63		3060	3.75		990	35.41		1806	64.59			
Paralowie	173	4.02		109	2.53		1064	24.74		494	11.49		2177	50.62		284	6.60		4301	91.73		388	8.27		4689	5.75		1542	35.85		2759	64.15			
Paralowie West	141	5.07		71	2.55		664	23.89		281	10.11		1452	52.25		170	6.12		2779	91.87		246	8.13		3025	3.71		969	34.87		1810	65.13			
Salisbury	73	4.18		45	2.58		510	29.21		197	11.28		829	47.48		92	5.27		1746	91.22		168	8.78		1914	2.35		701	40.15		1045	59.85			
Salisbury Central	46	3.16		36	2.47		479	32.85		127	8.71		653	44.79		117	8.02		1458	92.22		123	7.78		1581	1.94		642	44.03		816	55.97			
Salisbury Downs	115	4.22		57	2.09		762	27.95		310	11.37		1332	48.86		150	5.50		2726	92.56		219	7.44		2945	3.61		1062	38.96		1664	61.04			
Salisbury Heights (Bonython)	61	2.70		57	2.53		1057	46.85		266	11.79		726	32.18		89	3.95		2256	93.30		162	6.70		2418	2.96		1283	56.87		973	43.13			
Salisbury Heights South	28	3.32		20	2.37		308	36.54		94	11.15		341	40.45		52	6.17		843	93.98		54	6.02		897	1.10		397	47.09		446	52.91			
Salisbury North	108	4.58		64	2.71		554	23.47		273	11.57		1221	51.74		140	5.93		2360	91.30		225	8.70		2585	3.17		776	32.88		1584	67.12			
Salisbury North West	87	3.32		53	2.02		642	24.51		285	10.88		1406	53.68		146	5.57		2619	91.67		238	8.33		2857	3.50		874	33.37		1745	66.63			
Salisbury Park	64	3.37		52	2.74		655	34.47		258	13.58		787	41.42		84	4.42		1900	93.50		132	6.50		2032	2.49		841	44.26		1059	55.74			
Smithfield	44	3.85		37	3.24		320	28.00		106	9.27		569	49.78		67	5.86		1143	92.48		93	7.52		1236	1.51		435	38.06		708	61.94			
Smithfield Plains	66	5.74		35	3.05		225	19.58		128	11.14		621	54.05		74	6.44		1149	90.47		121	9.53		1270	1.56		338	29.42		811	70.58			
Virginia (Bonython)	55	5.60		18	1.83		383	39.00		53	5.40		430	43.79		43	4.38		982	89.60		114	10.40		1096	1.34		476	48.47		506	51.53			
Special Hospitals	22	7.01		7	2.23		116	36.94		19	6.05		138	43.95		12	3.82		314	93.73		21	6.27		335	0.41		151	48.09		163	51.91			
Total Ordinary	2562	3.85		1792	2.69		19120	28.72		7028	10.56		31902	47.92		4165	6.26		66569	92.43		5453	7.57		72022	88.27		26122	39.24		40447	60.76			
ABSENT	294	6.40		186	4.05		1348	29.34		586	12.75		1853	40.33		328	7.14		4595	92.87		353	7.13		4948	6.06		1971	42.89		2624	57.11			
POSTAL	80	4.08		40	2.04		630	32.16		150	7.66		904	46.15		155	7.91		1959	97.17		57	2.83		2016	2.47		822	41.96		1137	58.04			
PRE_POLL	90	4.62		54	2.77		625	32.10		174	8.94		867	44.53		137	7.04		1947	96.24		76	3.76		2023	2.48		827	42.48		1120	57.52			
PROVISIONAL	40	7.38		30	5.54		99	18.27		46	8.49		287	52.95		40	7.38		542	92.33		45	7.67		587	0.72		182	33.58		360	66.42			
Division Summary	3066	4.05		2102	2.78		21822	28.86		7984	10.56		35813	47.36		4825	6.38		75612	92.67		5984	7.33		81596	95.45		29924	39.58		45688	60.42			
																																			
																																			
																																			
																																			
																																			
																																			
