House of Representatives - 2001 Election: South Australia																						
Distribution of Preferences																						
By Polling Place																						
																						
Sturt																						
				RICHARDS			PYNE			AITCHISON			SIMMONS			FARROW			CULLEN			
	FIRST			118	4.93		946	39.50		33	1.38		930	38.83		301	12.57		67	2.80		2395
	SECOND			5	15.15		6	18.18			Excluded		4	12.12		6	18.18		12	36.36		33
		TOTAL		123	5.14		952	39.75					934	39.00		307	12.82		79	3.30		2395
	THIRD				Excluded		62	50.41					40	32.52		11	8.94		10	8.13		123
		TOTAL					1014	42.34					974	40.67		318	13.28		89	3.72		2395
	FOURTH						9	10.11					20	22.47		60	67.42			Excluded		89
		TOTAL					1023	42.71					994	41.50		378	15.78					2395
	FIFTH						130	34.39					248	65.61			Excluded					378
		TOTAL					1153	48.14					1242	51.86								2395
							Elected															
																						
Holden Hill                                                    																						
	FIRST			171	7.25		889	37.70		35	1.48		917	38.89		265	11.24		81	3.44		2358
	SECOND			3	8.57		9	25.71			Excluded		7	20.00		10	28.57		6	17.14		35
		TOTAL		174	7.38		898	38.08					924	39.19		275	11.66		87	3.69		2358
	THIRD				Excluded		60	34.48					72	41.38		20	11.49		22	12.64		174
		TOTAL					958	40.63					996	42.24		295	12.51		109	4.62		2358
	FOURTH						11	10.09					30	27.52		68	62.39			Excluded		109
		TOTAL					969	41.09					1026	43.51		363	15.39					2358
	FIFTH						123	33.88					240	66.12			Excluded					363
		TOTAL					1092	46.31					1266	53.69								2358
							Elected															
																						
Kensington Gardens                                             																						
	FIRST			30	1.89		1022	64.24		13	0.82		331	20.80		147	9.24		48	3.02		1591
	SECOND			2	15.38		2	15.38			Excluded		1	7.69		4	30.77		4	30.77		13
		TOTAL		32	2.01		1024	64.36					332	20.87		151	9.49		52	3.27		1591
	THIRD				Excluded		23	71.88					3	9.38		1	3.13		5	15.63		32
		TOTAL					1047	65.81					335	21.06		152	9.55		57	3.58		1591
	FOURTH						8	14.04					12	21.05		37	64.91			Excluded		57
		TOTAL					1055	66.31					347	21.81		189	11.88					1591
	FIFTH						78	41.27					111	58.73			Excluded					189
		TOTAL					1133	71.21					458	28.79								1591
							Elected															
																						
Kensington Park                                                																						
	FIRST			22	1.62		747	55.09		16	1.18		348	25.66		151	11.14		72	5.31		1356
	SECOND			0	0.00		3	18.75			Excluded		6	37.50		4	25.00		3	18.75		16
		TOTAL		22	1.62		750	55.31					354	26.11		155	11.43		75	5.53		1356
	THIRD				Excluded		13	59.09					2	9.09		2	9.09		5	22.73		22
		TOTAL					763	56.27					356	26.25		157	11.58		80	5.90		1356
	FOURTH						4	5.00					19	23.75		57	71.25			Excluded		80
		TOTAL					767	56.56					375	27.65		214	15.78					1356
	FIFTH						75	35.05					139	64.95			Excluded					214
		TOTAL					842	62.09					514	37.91								1356
							Elected															
																						
Klemzig                                                        																						
	FIRST			116	4.95		923	39.38		50	2.13		915	39.04		252	10.75		88	3.75		2344
	SECOND			6	12.00		14	28.00			Excluded		9	18.00		9	18.00		12	24.00		50
		TOTAL		122	5.20		937	39.97					924	39.42		261	11.13		100	4.27		2344
	THIRD				Excluded		49	40.16					46	37.70		7	5.74		20	16.39		122
		TOTAL					986	42.06					970	41.38		268	11.43		120	5.12		2344
	FOURTH						11	9.17					34	28.33		75	62.50			Excluded		120
		TOTAL					997	42.53					1004	42.83		343	14.63					2344
	FIFTH						115	33.53					228	66.47			Excluded					343
		TOTAL					1112	47.44					1232	52.56								2344
							Elected															
																						
Linden Park                                                    																						
	FIRST			19	1.37		889	64.33		17	1.23		283	20.48		114	8.25		60	4.34		1382
	SECOND			2	11.76		5	29.41			Excluded		3	17.65		5	29.41		2	11.76		17
		TOTAL		21	1.52		894	64.69					286	20.69		119	8.61		62	4.49		1382
	THIRD				Excluded		13	61.90					3	14.29		1	4.76		4	19.05		21
		TOTAL					907	65.63					289	20.91		120	8.68		66	4.78		1382
	FOURTH						3	4.55					20	30.30		43	65.15			Excluded		66
		TOTAL					910	65.85					309	22.36		163	11.79					1382
	FIFTH						57	34.97					106	65.03			Excluded					163
		TOTAL					967	69.97					415	30.03								1382
							Elected															
																						
Magill (Sturt)                                                 																						
	FIRST			66	2.72		1294	53.34		29	1.20		657	27.08		269	11.09		111	4.58		2426
	SECOND			5	17.24		9	31.03			Excluded		5	17.24		3	10.34		7	24.14		29
		TOTAL		71	2.93		1303	53.71					662	27.29		272	11.21		118	4.86		2426
	THIRD				Excluded		34	47.89					26	36.62		5	7.04		6	8.45		71
		TOTAL					1337	55.11					688	28.36		277	11.42		124	5.11		2426
	FOURTH						8	6.45					43	34.68		73	58.87			Excluded		124
		TOTAL					1345	55.44					731	30.13		350	14.43					2426
	FIFTH						110	31.43					240	68.57			Excluded					350
		TOTAL					1455	59.98					971	40.02								2426
							Elected															
																						
Magill North                                                   																						
	FIRST			61	3.48		690	39.38		25	1.43		748	42.69		170	9.70		58	3.31		1752
	SECOND			2	8.00		11	44.00			Excluded		5	20.00		5	20.00		2	8.00		25
		TOTAL		63	3.60		701	40.01					753	42.98		175	9.99		60	3.42		1752
	THIRD				Excluded		28	44.44					17	26.98		7	11.11		11	17.46		63
		TOTAL					729	41.61					770	43.95		182	10.39		71	4.05		1752
	FOURTH						8	11.27					19	26.76		44	61.97			Excluded		71
		TOTAL					737	42.07					789	45.03		226	12.90					1752
	FIFTH						72	31.86					154	68.14			Excluded					226
		TOTAL					809	46.18					943	53.82								1752
							Elected															
																						
Marden                                                         																						
	FIRST			27	6.77		187	46.87		10	2.51		119	29.82		37	9.27		19	4.76		399
	SECOND			0	0.00		4	40.00			Excluded		3	30.00		2	20.00		1	10.00		10
		TOTAL		27	6.77		191	47.87					122	30.58		39	9.77		20	5.01		399
	THIRD				Excluded		15	55.56					7	25.93		3	11.11		2	7.41		27
		TOTAL					206	51.63					129	32.33		42	10.53		22	5.51		399
	FOURTH						3	13.64					3	13.64		16	72.73			Excluded		22
		TOTAL					209	52.38					132	33.08		58	14.54					399
	FIFTH						18	31.03					40	68.97			Excluded					58
		TOTAL					227	56.89					172	43.11								399
							Elected															
																						
Marden West (Sturt)                                            																						
	FIRST			77	4.76		693	42.80		20	1.24		551	34.03		196	12.11		82	5.06		1619
	SECOND			2	10.00		7	35.00			Excluded		1	5.00		6	30.00		4	20.00		20
		TOTAL		79	4.88		700	43.24					552	34.10		202	12.48		86	5.31		1619
	THIRD				Excluded		49	62.03					17	21.52		5	6.33		8	10.13		79
		TOTAL					749	46.26					569	35.15		207	12.79		94	5.81		1619
	FOURTH						10	10.64					27	28.72		57	60.64			Excluded		94
		TOTAL					759	46.88					596	36.81		264	16.31					1619
	FIFTH						86	32.58					178	67.42			Excluded					264
		TOTAL					845	52.19					774	47.81								1619
							Elected															
																						
Marryatville                                                   																						
	FIRST			7	1.48		279	58.86		9	1.90		102	21.52		53	11.18		24	5.06		474
	SECOND			0	0.00		2	22.22			Excluded		5	55.56		0	0.00		2	22.22		9
		TOTAL		7	1.48		281	59.28					107	22.57		53	11.18		26	5.49		474
	THIRD				Excluded		4	57.14					3	42.86		0	0.00		0	0.00		7
		TOTAL					285	60.13					110	23.21		53	11.18		26	5.49		474
	FOURTH						2	7.69					9	34.62		15	57.69			Excluded		26
		TOTAL					287	60.55					119	25.11		68	14.35					474
	FIFTH						23	33.82					45	66.18			Excluded					68
		TOTAL					310	65.40					164	34.60								474
							Elected															
																						
Maylands                                                       																						
	FIRST			32	2.11		578	38.15		15	0.99		589	38.88		191	12.61		110	7.26		1515
	SECOND			2	13.33		5	33.33			Excluded		3	20.00		0	0.00		5	33.33		15
		TOTAL		34	2.24		583	38.48					592	39.08		191	12.61		115	7.59		1515
	THIRD				Excluded		23	67.65					5	14.71		2	5.88		4	11.76		34
		TOTAL					606	40.00					597	39.41		193	12.74		119	7.85		1515
	FOURTH						12	10.08					40	33.61		67	56.30			Excluded		119
		TOTAL					618	40.79					637	42.05		260	17.16					1515
	FIFTH						56	21.54					204	78.46			Excluded					260
		TOTAL					674	44.49					841	55.51								1515
							Elected															
																						
Norwood                                                        																						
	FIRST			34	1.71		925	46.51		18	0.90		633	31.83		223	11.21		156	7.84		1989
	SECOND			0	0.00		5	27.78			Excluded		3	16.67		4	22.22		6	33.33		18
		TOTAL		34	1.71		930	46.76					636	31.98		227	11.41		162	8.14		1989
	THIRD				Excluded		15	44.12					9	26.47		7	20.59		3	8.82		34
		TOTAL					945	47.51					645	32.43		234	11.76		165	8.30		1989
	FOURTH						9	5.45					67	40.61		89	53.94			Excluded		165
		TOTAL					954	47.96					712	35.80		323	16.24					1989
	FIFTH						95	29.41					228	70.59			Excluded					323
		TOTAL					1049	52.74					940	47.26								1989
							Elected															
																						
Norwood West                                                   																						
	FIRST			19	1.00		886	46.41		23	1.20		580	30.38		268	14.04		133	6.97		1909
	SECOND			3	13.04		11	47.83			Excluded		0	0.00		7	30.43		2	8.70		23
		TOTAL		22	1.15		897	46.99					580	30.38		275	14.41		135	7.07		1909
	THIRD				Excluded		13	59.09					2	9.09		3	13.64		4	18.18		22
		TOTAL					910	47.67					582	30.49		278	14.56		139	7.28		1909
	FOURTH						9	6.47					62	44.60		68	48.92			Excluded		139
		TOTAL					919	48.14					644	33.73		346	18.12					1909
	FIFTH						95	27.46					251	72.54			Excluded					346
		TOTAL					1014	53.12					895	46.88								1909
							Elected															
																						
Paradise West                                                  																						
	FIRST			36	3.38		483	45.39		26	2.44		408	38.35		88	8.27		23	2.16		1064
	SECOND			1	3.85		5	19.23			Excluded		7	26.92		4	15.38		9	34.62		26
		TOTAL		37	3.48		488	45.86					415	39.00		92	8.65		32	3.01		1064
	THIRD				Excluded		23	62.16					6	16.22		2	5.41		6	16.22		37
		TOTAL					511	48.03					421	39.57		94	8.83		38	3.57		1064
	FOURTH						6	15.79					5	13.16		27	71.05			Excluded		38
		TOTAL					517	48.59					426	40.04		121	11.37					1064
	FIFTH						34	28.10					87	71.90			Excluded					121
		TOTAL					551	51.79					513	48.21								1064
							Elected															
																						
Rose Park                                                      																						
	FIRST			12	0.99		700	58.00		14	1.16		269	22.29		155	12.84		57	4.72		1207
	SECOND			0	0.00		3	21.43			Excluded		2	14.29		1	7.14		8	57.14		14
		TOTAL		12	0.99		703	58.24					271	22.45		156	12.92		65	5.39		1207
	THIRD				Excluded		7	58.33					3	25.00		0	0.00		2	16.67		12
		TOTAL					710	58.82					274	22.70		156	12.92		67	5.55		1207
	FOURTH						6	8.96					24	35.82		37	55.22			Excluded		67
		TOTAL					716	59.32					298	24.69		193	15.99					1207
	FIFTH						48	24.87					145	75.13			Excluded					193
		TOTAL					764	63.30					443	36.70								1207
							Elected															
																						
St Morris                                                      																						
	FIRST			69	5.72		508	42.09		15	1.24		429	35.54		125	10.36		61	5.05		1207
	SECOND			2	13.33		3	20.00			Excluded		2	13.33		2	13.33		6	40.00		15
		TOTAL		71	5.88		511	42.34					431	35.71		127	10.52		67	5.55		1207
	THIRD				Excluded		27	38.03					31	43.66		6	8.45		7	9.86		71
		TOTAL					538	44.57					462	38.28		133	11.02		74	6.13		1207
	FOURTH						6	8.11					20	27.03		48	64.86			Excluded		74
		TOTAL					544	45.07					482	39.93		181	15.00					1207
	FIFTH						54	29.83					127	70.17			Excluded					181
		TOTAL					598	49.54					609	50.46								1207
							Elected															
																						
Stonyfell                                                      																						
	FIRST			23	1.21		1308	69.02		22	1.16		338	17.84		148	7.81		56	2.96		1895
	SECOND			3	13.64		8	36.36			Excluded		2	9.09		5	22.73		4	18.18		22
		TOTAL		26	1.37		1316	69.45					340	17.94		153	8.07		60	3.17		1895
	THIRD				Excluded		18	69.23					4	15.38		1	3.85		3	11.54		26
		TOTAL					1334	70.40					344	18.15		154	8.13		63	3.32		1895
	FOURTH						6	9.52					20	31.75		37	58.73			Excluded		63
		TOTAL					1340	70.71					364	19.21		191	10.08					1895
	FIFTH						76	39.79					115	60.21			Excluded					191
		TOTAL					1416	74.72					479	25.28								1895
							Elected															
																						
Toorak Gardens                                                 																						
	FIRST			22	1.31		1032	61.39		25	1.49		340	20.23		189	11.24		73	4.34		1681
	SECOND			1	4.00		10	40.00			Excluded		1	4.00		8	32.00		5	20.00		25
		TOTAL		23	1.37		1042	61.99					341	20.29		197	11.72		78	4.64		1681
	THIRD				Excluded		14	60.87					3	13.04		2	8.70		4	17.39		23
		TOTAL					1056	62.82					344	20.46		199	11.84		82	4.88		1681
	FOURTH						9	10.98					25	30.49		48	58.54			Excluded		82
		TOTAL					1065	63.36					369	21.95		247	14.69					1681
	FIFTH						83	33.60					164	66.40			Excluded					247
		TOTAL					1148	68.29					533	31.71								1681
							Elected															
																						
Tranmere                                                       																						
	FIRST			47	2.71		911	52.60		14	0.81		489	28.23		189	10.91		82	4.73		1732
	SECOND			2	14.29		3	21.43			Excluded		2	14.29		4	28.57		3	21.43		14
		TOTAL		49	2.83		914	52.77					491	28.35		193	11.14		85	4.91		1732
	THIRD				Excluded		25	51.02					16	32.65		1	2.04		7	14.29		49
		TOTAL					939	54.21					507	29.27		194	11.20		92	5.31		1732
	FOURTH						14	15.22					28	30.43		50	54.35			Excluded		92
		TOTAL					953	55.02					535	30.89		244	14.09					1732
	FIFTH						87	35.66					157	64.34			Excluded					244
		TOTAL					1040	60.05					692	39.95								1732
							Elected															
																						
Trinity Gardens                                                																						
	FIRST			48	2.78		735	42.63		32	1.86		646	37.47		182	10.56		81	4.70		1724
	SECOND			3	9.38		11	34.38			Excluded		3	9.38		8	25.00		7	21.88		32
		TOTAL		51	2.96		746	43.27					649	37.65		190	11.02		88	5.10		1724
	THIRD				Excluded		30	58.82					13	25.49		2	3.92		6	11.76		51
		TOTAL					776	45.01					662	38.40		192	11.14		94	5.45		1724
	FOURTH						4	4.26					27	28.72		63	67.02			Excluded		94
		TOTAL					780	45.24					689	39.97		255	14.79					1724
	FIFTH						75	29.41					180	70.59			Excluded					255
		TOTAL					855	49.59					869	50.41								1724
							Elected															
																						
Tusmore                                                        																						
	FIRST			30	1.56		1167	60.88		31	1.62		389	20.29		208	10.85		92	4.80		1917
	SECOND			4	12.90		10	32.26			Excluded		2	6.45		9	29.03		6	19.35		31
		TOTAL		34	1.77		1177	61.40					391	20.40		217	11.32		98	5.11		1917
	THIRD				Excluded		19	55.88					8	23.53		3	8.82		4	11.76		34
		TOTAL					1196	62.39					399	20.81		220	11.48		102	5.32		1917
	FOURTH						13	12.75					38	37.25		51	50.00			Excluded		102
		TOTAL					1209	63.07					437	22.80		271	14.14					1917
	FIFTH						104	38.38					167	61.62			Excluded					271
		TOTAL					1313	68.49					604	31.51								1917
							Elected															
																						
Vale Park                                                      																						
	FIRST			50	2.86		973	55.57		20	1.14		500	28.56		161	9.19		47	2.68		1751
	SECOND			1	5.00		4	20.00			Excluded		6	30.00		4	20.00		5	25.00		20
		TOTAL		51	2.91		977	55.80					506	28.90		165	9.42		52	2.97		1751
	THIRD				Excluded		28	54.90					7	13.73		7	13.73		9	17.65		51
		TOTAL					1005	57.40					513	29.30		172	9.82		61	3.48		1751
	FOURTH						6	9.84					14	22.95		41	67.21			Excluded		61
		TOTAL					1011	57.74					527	30.10		213	12.16					1751
	FIFTH						80	37.56					133	62.44			Excluded					213
		TOTAL					1091	62.31					660	37.69								1751
							Elected															
																						
Windsor Gardens East                                           																						
	FIRST			29	3.77		297	38.57		12	1.56		310	40.26		94	12.21		28	3.64		770
	SECOND			1	8.33		1	8.33			Excluded		4	33.33		4	33.33		2	16.67		12
		TOTAL		30	3.90		298	38.70					314	40.78		98	12.73		30	3.90		770
	THIRD				Excluded		15	50.00					11	36.67		1	3.33		3	10.00		30
		TOTAL					313	40.65					325	42.21		99	12.86		33	4.29		770
	FOURTH						3	9.09					8	24.24		22	66.67			Excluded		33
		TOTAL					316	41.04					333	43.25		121	15.71					770
	FIFTH						41	33.88					80	66.12			Excluded					121
		TOTAL					357	46.36					413	53.64								770
							Elected															
																						
Windsor Gardens West                                           																						
	FIRST			69	6.22		410	36.97		26	2.34		408	36.79		130	11.72		66	5.95		1109
	SECOND			3	11.54		12	46.15			Excluded		2	7.69		2	7.69		7	26.92		26
		TOTAL		72	6.49		422	38.05					410	36.97		132	11.90		73	6.58		1109
	THIRD				Excluded		20	27.78					36	50.00		11	15.28		5	6.94		72
		TOTAL					442	39.86					446	40.22		143	12.89		78	7.03		1109
	FOURTH						7	8.97					26	33.33		45	57.69			Excluded		78
		TOTAL					449	40.49					472	42.56		188	16.95					1109
	FIFTH						64	34.04					124	65.96			Excluded					188
		TOTAL					513	46.26					596	53.74								1109
							Elected															
																						
Special Hospital Team 1                                        																						
	FIRST			10	2.47		269	66.42		3	0.74		109	26.91		12	2.96		2	0.49		405
	SECOND			0	0.00		2	66.67			Excluded		0	0.00		1	33.33		0	0.00		3
		TOTAL		10	2.47		271	66.91					109	26.91		13	3.21		2	0.49		405
	THIRD				Excluded		6	60.00					3	30.00		0	0.00		1	10.00		10
