Senate - 2001 Election: South Australia																																							
First Preference Votes by Group																																							
By Polling Place																																							

Bonython (85484)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Hillbank		663	37.12		40	2.24		67	3.75		3	0.17		767	42.95		1	0.06		1	0.06		3	0.17		239	13.38		2	0.11		1786	97.92		38	2.08		1824	2.22
Munno Para		506	53.26		19	2.00		61	6.42		2	0.21		232	24.42		0	0.00		0	0.00		4	0.42		126	13.26		0	0.00		950	96.54		34	3.46		984	1.20
One Tree Hill (Bonython)		170	22.85		21	2.82		38	5.11		1	0.13		422	56.72		0	0.00		0	0.00		0	0.00		92	12.37		0	0.00		744	97.64		18	2.36		762	0.93
Parafield Gardens		963	50.66		23	1.21		126	6.63		2	0.11		559	29.41		2	0.11		0	0.00		5	0.26		216	11.36		5	0.26		1901	96.11		77	3.89		1978	2.41
Parafield Gardens Central		2157	53.13		95	2.34		219	5.39		6	0.15		1108	27.29		12	0.30		1	0.02		6	0.15		453	11.16		3	0.07		4060	95.57		188	4.43		4248	5.18
Parafield Gardens North West		1538	51.91		55	1.86		153	5.16		3	0.10		816	27.54		2	0.07		0	0.00		10	0.34		385	12.99		1	0.03		2963	96.74		100	3.26		3063	3.73
Paralowie		2316	51.18		91	2.01		302	6.67		7	0.15		1254	27.71		8	0.18		1	0.02		11	0.24		534	11.80		1	0.02		4525	96.40		169	3.60		4694	5.72
Paralowie West		1557	53.43		58	1.99		138	4.74		5	0.17		803	27.56		2	0.07		2	0.07		9	0.31		337	11.56		3	0.10		2914	96.30		112	3.70		3026	3.69
Salisbury		858	46.83		56	3.06		87	4.75		3	0.16		617	33.68		1	0.05		1	0.05		3	0.16		204	11.14		2	0.11		1832	95.72		82	4.28		1914	2.33
Salisbury Central		661	43.69		29	1.92		98	6.48		1	0.07		571	37.74		0	0.00		0	0.00		0	0.00		151	9.98		2	0.13		1513	95.82		66	4.18		1579	1.93
Salisbury Downs		1372	48.38		62	2.19		152	5.36		4	0.14		939	33.11		4	0.14		0	0.00		8	0.28		294	10.37		1	0.04		2836	96.33		108	3.67		2944	3.59
Salisbury Heights (Bonython)		706	29.93		52	2.20		95	4.03		4	0.17		1179	49.98		5	0.21		0	0.00		3	0.13		314	13.31		1	0.04		2359	97.60		58	2.40		2417	2.95
Salisbury Heights South		342	39.22		19	2.18		46	5.28		0	0.00		357	40.94		2	0.23		1	0.11		5	0.57		99	11.35		1	0.11		872	97.10		26	2.90		898	1.09
Salisbury North		1306	52.98		60	2.43		153	6.21		4	0.16		642	26.04		3	0.12		1	0.04		8	0.32		287	11.64		1	0.04		2465	95.28		122	4.72		2587	3.15
Salisbury North West		1491	53.98		46	1.67		153	5.54		3	0.11		783	28.35		1	0.04		1	0.04		6	0.22		278	10.07		0	0.00		2762	96.54		99	3.46		2861	3.49
Salisbury Park		765	39.07		45	2.30		97	4.95		1	0.05		752	38.41		1	0.05		0	0.00		2	0.10		292	14.91		3	0.15		1958	96.41		73	3.59		2031	2.48
Smithfield		564	47.39		27	2.27		79	6.64		1	0.08		377	31.68		0	0.00		0	0.00		1	0.08		140	11.76		1	0.08		1190	96.28		46	3.72		1236	1.51
Smithfield Plains		667	55.08		33	2.73		81	6.69		6	0.50		284	23.45		1	0.08		2	0.17		2	0.17		133	10.98		2	0.17		1211	95.35		59	4.65		1270	1.55
Virginia (Bonython)		451	44.04		11	1.07		31	3.03		1	0.10		446	43.55		1	0.10		0	0.00		2	0.20		77	7.52		4	0.39		1024	93.26		74	6.74		1098	1.34
Special Hospitals		151	48.40		4	1.28		16	5.13		0	0.00		125	40.06		0	0.00		0	0.00		0	0.00		16	5.13		0	0.00		312	93.13		23	6.87		335	0.41
Total Ordinary		32708	47.08		1519	2.19		4174	6.01		103	0.15		22625	32.57		79	0.11		19	0.03		161	0.23		8015	11.54		67	0.10		69470	96.41		2590	3.59		72060	87.86
ABSENT		2124	42.01		138	2.73		320	6.33		6	0.12		1732	34.26		4	0.08		0	0.00		17	0.34		711	14.06		4	0.08		5056	98.06		100	1.94		5156	6.29
POSTAL		878	44.41		42	2.12		163	8.24		2	0.10		686	34.70		1	0.05		1	0.05		12	0.61		191	9.66		1	0.05		1977	98.65		27	1.35		2004	2.44
PRE_POLL		874	42.70		47	2.30		150	7.33		2	0.10		743	36.30		2	0.10		1	0.05		8	0.39		218	10.65		2	0.10		2047	98.60		29	1.40		2076	2.53
PROVISIONAL		393	55.43		27	3.81		41	5.78		2	0.28		170	23.98		1	0.14		0	0.00		1	0.14		73	10.30		1	0.14		709	98.06		14	1.94		723	0.88
Division Summary		36977	46.65		1773	2.24		4848	6.12		115	0.15		25956	32.75		87	0.11		21	0.03		199	0.25		9208	11.62		75	0.09		79259	96.63		2760	3.37		82019	95.95
