House of Representatives - 2001 Election: South Australia																							
Distribution of Preferences																							
By Polling Place																							
																							
Port Adelaide																							
				PHILLIPS			BAWDEN			NOONE			SAWFORD			PERTH			KRIEG				
		TOTAL		94	4.88		231	11.99		147	7.63		1112	57.71					343	17.80		1927	
	THIRD			10	6.80		70	47.62			Excluded		65	44.22					2	1.36		147	
		TOTAL		104	5.40		301	15.62					1177	61.08					345	17.90		1927	
	FOURTH				Excluded		42	40.38					41	39.42					21	20.19		104	
		TOTAL					343	17.80					1218	63.21					366	18.99		1927	
	FIFTH							Excluded					254	74.05					89	25.95		343	
		TOTAL											1472	76.39					455	23.61		1927	
													Elected										
																							
Cheltenham                                                     																							
	FIRST			67	4.83		184	13.28		72	5.19		640	46.18		12	0.87		411	29.65		1386	
	SECOND			0	0.00		1	8.33		4	33.33		7	58.33			Excluded		0	0.00		12	
		TOTAL		67	4.83		185	13.35		76	5.48		647	46.68					411	29.65		1386	
	THIRD			6	7.89		23	30.26			Excluded		44	57.89					3	3.95		76	
		TOTAL		73	5.27		208	15.01					691	49.86					414	29.87		1386	
	FOURTH				Excluded		31	42.47					23	31.51					19	26.03		73	
		TOTAL					239	17.24					714	51.52					433	31.24		1386	
	FIFTH							Excluded					179	74.90					60	25.10		239	
		TOTAL											893	64.43					493	35.57		1386	
													Elected										
																							
Croydon (Port Adelaide)                                        																							
	FIRST			36	3.98		98	10.83		78	8.62		472	52.15		5	0.55		216	23.87		905	
	SECOND			0	0.00		0	0.00		2	40.00		2	40.00			Excluded		1	20.00		5	
		TOTAL		36	3.98		98	10.83		80	8.84		474	52.38					217	23.98		905	
	THIRD			3	3.75		27	33.75			Excluded		44	55.00					6	7.50		80	
		TOTAL		39	4.31		125	13.81					518	57.24					223	24.64		905	
	FOURTH				Excluded		25	64.10					7	17.95					7	17.95		39	
		TOTAL					150	16.57					525	58.01					230	25.41		905	
	FIFTH							Excluded					117	78.00					33	22.00		150	
		TOTAL											642	70.94					263	29.06		905	
													Elected										
																							
Croydon Park West (Port Adelaide)                              																							
	FIRST			25	7.53		30	9.04		12	3.61		191	57.53		3	0.90		71	21.39		332	
	SECOND			2	66.67		0	0.00		1	33.33		0	0.00			Excluded		0	0.00		3	
		TOTAL		27	8.13		30	9.04		13	3.92		191	57.53					71	21.39		332	
	THIRD			3	23.08		3	23.08			Excluded		6	46.15					1	7.69		13	
		TOTAL		30	9.04		33	9.94					197	59.34					72	21.69		332	
	FOURTH				Excluded		20	66.67					3	10.00					7	23.33		30	
		TOTAL					53	15.96					200	60.24					79	23.80		332	
	FIFTH							Excluded					40	75.47					13	24.53		53	
		TOTAL											240	72.29					92	27.71		332	
													Elected										
																							
Ethelton                                                       																							
	FIRST			39	4.29		74	8.14		57	6.27		472	51.93		12	1.32		255	28.05		909	
	SECOND			1	8.33		2	16.67		3	25.00		5	41.67			Excluded		1	8.33		12	
		TOTAL		40	4.40		76	8.36		60	6.60		477	52.48					256	28.16		909	
	THIRD			5	8.33		25	41.67			Excluded		27	45.00					3	5.00		60	
		TOTAL		45	4.95		101	11.11					504	55.45					259	28.49		909	
	FOURTH				Excluded		16	35.56					11	24.44					18	40.00		45	
		TOTAL					117	12.87					515	56.66					277	30.47		909	
	FIFTH							Excluded					93	79.49					24	20.51		117	
		TOTAL											608	66.89					301	33.11		909	
													Elected										
																							
Ferryden Park                                                  																							
	FIRST			58	6.09		89	9.34		27	2.83		615	64.53		5	0.52		159	16.68		953	
	SECOND			0	0.00		0	0.00		2	40.00		2	40.00			Excluded		1	20.00		5	
		TOTAL		58	6.09		89	9.34		29	3.04		617	64.74					160	16.79		953	
	THIRD			3	10.34		16	55.17			Excluded		10	34.48					0	0.00		29	
		TOTAL		61	6.40		105	11.02					627	65.79					160	16.79		953	
	FOURTH				Excluded		35	57.38					21	34.43					5	8.20		61	
		TOTAL					140	14.69					648	68.00					165	17.31		953	
	FIFTH							Excluded					111	79.29					29	20.71		140	
		TOTAL											759	79.64					194	20.36		953	
													Elected										
																							
Findon                                                         																							
	FIRST			90	5.51		161	9.86		41	2.51		857	52.48		5	0.31		479	29.33		1633	
	SECOND			0	0.00		0	0.00		2	40.00		1	20.00			Excluded		2	40.00		5	
		TOTAL		90	5.51		161	9.86		43	2.63		858	52.54					481	29.45		1633	
	THIRD			4	9.30		17	39.53			Excluded		14	32.56					8	18.60		43	
		TOTAL		94	5.76		178	10.90					872	53.40					489	29.94		1633	
	FOURTH				Excluded		47	50.00					24	25.53					23	24.47		94	
		TOTAL					225	13.78					896	54.87					512	31.35		1633	
	FIFTH							Excluded					165	73.33					60	26.67		225	
		TOTAL											1061	64.97					572	35.03		1633	
													Elected										
																							
Findon North                                                   																							
	FIRST			51	4.87		130	12.40		31	2.96		515	49.14		7	0.67		314	29.96		1048	
	SECOND			1	14.29		0	0.00		1	14.29		3	42.86			Excluded		2	28.57		7	
		TOTAL		52	4.96		130	12.40		32	3.05		518	49.43					316	30.15		1048	
	THIRD			0	0.00		18	56.25			Excluded		13	40.63					1	3.13		32	
		TOTAL		52	4.96		148	14.12					531	50.67					317	30.25		1048	
	FOURTH				Excluded		28	53.85					12	23.08					12	23.08		52	
		TOTAL					176	16.79					543	51.81					329	31.39		1048	
	FIFTH							Excluded					106	60.23					70	39.77		176	
		TOTAL											649	61.93					399	38.07		1048	
													Elected										
																							
Grange                                                         																							
	FIRST			94	2.90		366	11.30		148	4.57		1222	37.72		23	0.71		1387	42.81		3240	
	SECOND			3	13.04		3	13.04		7	30.43		7	30.43			Excluded		3	13.04		23	
		TOTAL		97	2.99		369	11.39		155	4.78		1229	37.93					1390	42.90		3240	
	THIRD			8	5.16		67	43.23			Excluded		61	39.35					19	12.26		155	
		TOTAL		105	3.24		436	13.46					1290	39.81					1409	43.49		3240	
	FOURTH				Excluded		41	39.05					32	30.48					32	30.48		105	
		TOTAL					477	14.72					1322	40.80					1441	44.48		3240	
	FIFTH							Excluded					323	67.71					154	32.29		477	
		TOTAL											1645	50.77					1595	49.23		3240	
													Elected										
																							
Kilkenny                                                       																							
	FIRST			46	4.56		115	11.40		60	5.95		532	52.73		12	1.19		244	24.18		1009	
	SECOND			2	16.67		0	0.00		5	41.67		3	25.00			Excluded		2	16.67		12	
		TOTAL		48	4.76		115	11.40		65	6.44		535	53.02					246	24.38		1009	
	THIRD			2	3.08		33	50.77			Excluded		26	40.00					4	6.15		65	
		TOTAL		50	4.96		148	14.67					561	55.60					250	24.78		1009	
	FOURTH				Excluded		16	32.00					11	22.00					23	46.00		50	
		TOTAL					164	16.25					572	56.69					273	27.06		1009	
	FIFTH							Excluded					109	66.46					55	33.54		164	
		TOTAL											681	67.49					328	32.51		1009	
													Elected										
																							
Largs Bay                                                      																							
	FIRST			180	5.63		314	9.82		144	4.50		1665	52.08		56	1.75		838	26.21		3197	
	SECOND			2	3.57		9	16.07		26	46.43		13	23.21			Excluded		6	10.71		56	
		TOTAL		182	5.69		323	10.10		170	5.32		1678	52.49					844	26.40		3197	
	THIRD			7	4.12		67	39.41			Excluded		88	51.76					8	4.71		170	
		TOTAL		189	5.91		390	12.20					1766	55.24					852	26.65		3197	
	FOURTH				Excluded		88	46.56					39	20.63					62	32.80		189	
		TOTAL					478	14.95					1805	56.46					914	28.59		3197	
	FIFTH							Excluded					335	70.08					143	29.92		478	
		TOTAL											2140	66.94					1057	33.06		3197	
													Elected										
																							
Largs Bay Central                                              																							
	FIRST			32	3.88		75	9.10		57	6.92		388	47.09		15	1.82		257	31.19		824	
	SECOND			3	20.00		1	6.67		4	26.67		4	26.67			Excluded		3	20.00		15	
		TOTAL		35	4.25		76	9.22		61	7.40		392	47.57					260	31.55		824	
	THIRD			2	3.28		24	39.34			Excluded		27	44.26					8	13.11		61	
		TOTAL		37	4.49		100	12.14					419	50.85					268	32.52		824	
	FOURTH				Excluded		16	43.24					10	27.03					11	29.73		37	
		TOTAL					116	14.08					429	52.06					279	33.86		824	
	FIFTH							Excluded					82	70.69					34	29.31		116	
		TOTAL											511	62.01					313	37.99		824	
													Elected										
																							
Mansfield Park                                                 																							
	FIRST			92	5.53		110	6.61		41	2.47		1207	72.58		19	1.14		194	11.67		1663	
	SECOND			2	10.53		1	5.26		11	57.89		3	15.79			Excluded		2	10.53		19	
		TOTAL		94	5.65		111	6.67		52	3.13		1210	72.76					196	11.79		1663	
	THIRD			6	11.54		13	25.00			Excluded		29	55.77					4	7.69		52	
		TOTAL		100	6.01		124	7.46					1239	74.50					200	12.03		1663	
	FOURTH				Excluded		55	55.00					19	19.00					26	26.00		100	
		TOTAL					179	10.76					1258	75.65					226	13.59		1663	
	FIFTH							Excluded					133	74.30					46	25.70		179	
		TOTAL											1391	83.64					272	16.36		1663	
													Elected										
																							
North Haven                                                    																							
	FIRST			125	5.36		209	8.97		79	3.39		1134	48.67		10	0.43		773	33.18		2330	
	SECOND			2	20.00		2	20.00		2	20.00		3	30.00			Excluded		1	10.00		10	
		TOTAL		127	5.45		211	9.06		81	3.48		1137	48.80					774	33.22		2330	
	THIRD			8	9.88		29	35.80			Excluded		35	43.21					9	11.11		81	
		TOTAL		135	5.79		240	10.30					1172	50.30					783	33.61		2330	
	FOURTH				Excluded		69	51.11					29	21.48					37	27.41		135	
		TOTAL					309	13.26					1201	51.55					820	35.19		2330	
	FIFTH							Excluded					231	74.76					78	25.24		309	
		TOTAL											1432	61.46					898	38.54		2330	
													Elected										
																							
Ottoway                                                        																							
	FIRST			98	6.37		146	9.49		39	2.53		962	62.51		10	0.65		284	18.45		1539	
	SECOND			1	10.00		2	20.00		3	30.00		4	40.00			Excluded		0	0.00		10	
		TOTAL		99	6.43		148	9.62		42	2.73		966	62.77					284	18.45		1539	
	THIRD			5	11.90		18	42.86			Excluded		16	38.10					3	7.14		42	
		TOTAL		104	6.76		166	10.79					982	63.81					287	18.65		1539	
	FOURTH				Excluded		53	50.96					21	20.19					30	28.85		104	
		TOTAL					219	14.23					1003	65.17					317	20.60		1539	
	FIFTH							Excluded					170	77.63					49	22.37		219	
		TOTAL											1173	76.22					366	23.78		1539	
													Elected										
																							
Pennington                                                     																							
	FIRST			58	3.71		120	7.67		43	2.75		1056	67.52		8	0.51		279	17.84		1564	
	SECOND			0	0.00		1	12.50		5	62.50		2	25.00			Excluded		0	0.00		8	
		TOTAL		58	3.71		121	7.74		48	3.07		1058	67.65					279	17.84		1564	
	THIRD			6	12.50		11	22.92			Excluded		27	56.25					4	8.33		48	
		TOTAL		64	4.09		132	8.44					1085	69.37					283	18.09		1564	
	FOURTH				Excluded		22	34.38					21	32.81					21	32.81		64	
		TOTAL					154	9.85					1106	70.72					304	19.44		1564	
	FIFTH							Excluded					122	79.22					32	20.78		154	
		TOTAL											1228	78.52					336	21.48		1564	
													Elected										
																							
Port Adelaide                                                  																							
	FIRST			37	6.29		57	9.69		29	4.93		313	53.23		8	1.36		144	24.49		588	
	SECOND			0	0.00		1	12.50		6	75.00		1	12.50			Excluded		0	0.00		8	
		TOTAL		37	6.29		58	9.86		35	5.95		314	53.40					144	24.49		588	
	THIRD			1	2.86		8	22.86			Excluded		24	68.57					2	5.71		35	
		TOTAL		38	6.46		66	11.22					338	57.48					146	24.83		588	
	FOURTH				Excluded		20	52.63					10	26.32					8	21.05		38	
		TOTAL					86	14.63					348	59.18					154	26.19		588	
	FIFTH							Excluded					52	60.47					34	39.53		86	
		TOTAL											400	68.03					188	31.97		588	
													Elected										
																							
Queenstown                                                     																							
	FIRST			80	5.03		159	10.01		72	4.53		886	55.76		19	1.20		373	23.47		1589	
	SECOND			3	15.79		3	15.79		12	63.16		1	5.26			Excluded		0	0.00		19	
		TOTAL		83	5.22		162	10.20		84	5.29		887	55.82					373	23.47		1589	
	THIRD			9	10.71		40	47.62			Excluded		33	39.29					2	2.38		84	
		TOTAL		92	5.79		202	12.71					920	57.90					375	23.60		1589	
	FOURTH				Excluded		49	53.26					24	26.09					19	20.65		92	
		TOTAL					251	15.80					944	59.41					394	24.80		1589	
	FIFTH							Excluded					177	70.52					74	29.48		251	
		TOTAL											1121	70.55					468	29.45		1589	
													Elected										
																							
Rosewater                                                      																							
	FIRST			112	5.54		217	10.73		86	4.25		1128	55.76		24	1.19		456	22.54		2023	
	SECOND			1	4.17		1	4.17		12	50.00		8	33.33			Excluded		2	8.33		24	
		TOTAL		113	5.59		218	10.78		98	4.84		1136	56.15					458	22.64		2023	
	THIRD			4	4.08		31	31.63			Excluded		60	61.22					3	3.06		98	
		TOTAL		117	5.78		249	12.31					1196	59.12					461	22.79		2023	
	FOURTH				Excluded		61	52.14					21	17.95					35	29.91		117	
		TOTAL					310	15.32					1217	60.16					496	24.52		2023	
	FIFTH							Excluded					224	72.26					86	27.74		310	
		TOTAL											1441	71.23					582	28.77		2023	
													Elected										
																							
Royal Park                                                     																							
	FIRST			78	4.20		117	6.30		58	3.13		974	52.48		19	1.02		610	32.87		1856	
	SECOND			1	5.26		1	5.26		12	63.16		3	15.79			Excluded		2	10.53		19	
		TOTAL		79	4.26		118	6.36		70	3.77		977	52.64					612	32.97		1856	
	THIRD			7	10.00		21	30.00			Excluded		41	58.57					1	1.43		70	
		TOTAL		86	4.63		139	7.49					1018	54.85					613	33.03		1856	
	FOURTH				Excluded		40	46.51					26	30.23					20	23.26		86	
		TOTAL					179	9.64					1044	56.25					633	34.11		1856	
	FIFTH							Excluded					114	63.69					65	36.31		179	
		TOTAL											1158	62.39					698	37.61		1856	
													Elected										
																							
Royal Park South                                               																							
	FIRST			69	4.11		160	9.52		35	2.08		836	49.76		13	0.77		567	33.75		1680	
	SECOND			0	0.00		1	7.69		8	61.54		4	30.77			Excluded		0	0.00		13	
		TOTAL		69	4.11		161	9.58		43	2.56		840	50.00					567	33.75		1680	
	THIRD			6	13.95		19	44.19			Excluded		14	32.56					4	9.30		43	
		TOTAL		75	4.46		180	10.71					854	50.83					571	33.99		1680	
	FOURTH				Excluded		28	37.33					20	26.67					27	36.00		75	
		TOTAL					208	12.38					874	52.02					598	35.60		1680	
	FIFTH							Excluded					150	72.12					58	27.88		208	
		TOTAL											1024	60.95					656	39.05		1680	
													Elected										
																							
Seaton                                                         																							
	FIRST			127	6.08		201	9.63		75	3.59		952	45.59		5	0.24		728	34.87		2088	
	SECOND			0	0.00		2	40.00		3	60.00		0	0.00			Excluded		0	0.00		5	
		TOTAL		127	6.08		203	9.72		78	3.74		952	45.59					728	34.87		2088	
	THIRD			8	10.26		28	35.90			Excluded		34	43.59					8	10.26		78	
		TOTAL		135	6.47		231	11.06					986	47.22					736	35.25		2088	
	FOURTH				Excluded		86	63.70					21	15.56					28	20.74		135	
		TOTAL					317	15.18					1007	48.23					764	36.59		2088	
	FIFTH							Excluded					251	79.18					66	20.82		317	
		TOTAL											1258	60.25					830	39.75		2088	
													Elected										
																							
Seaton Park                                                    																							
	FIRST			144	6.26		223	9.69		64	2.78		1170	50.83		8	0.35		693	30.10		2302	
	SECOND			1	12.50		1	12.50		2	25.00		3	37.50			Excluded		1	12.50		8	
		TOTAL		145	6.30		224	9.73		66	2.87		1173	50.96					694	30.15		2302	
	THIRD			3	4.55		30	45.45			Excluded		29	43.94					4	6.06		66	
		TOTAL		148	6.43		254	11.03					1202	52.22					698	30.32		2302	
	FOURTH				Excluded		87	58.78					31	20.95					30	20.27		148	
		TOTAL					341	14.81					1233	53.56					728	31.62		2302	
	FIFTH							Excluded					253	74.19					88	25.81		341	
		TOTAL											1486	64.55					816	35.45		2302	
													Elected										
																							
Seaton West                                                    																							
	FIRST			50	3.60		133	9.59		27	1.95		572	41.24		8	0.58		597	43.04		1387	
	SECOND			2	25.00		1	12.50		1	12.50		3	37.50			Excluded		1	12.50		8	
		TOTAL		52	3.75		134	9.66		28	2.02		575	41.46					598	43.11		1387	
	THIRD			2	7.14		14	50.00			Excluded		10	35.71					2	7.14		28	
		TOTAL		54	3.89		148	10.67					585	42.18					600	43.26		1387	
	FOURTH				Excluded		19	35.19					12	22.22					23	42.59		54	
		TOTAL					167	12.04					597	43.04					623	44.92		1387	
	FIFTH							Excluded					113	67.66					54	32.34		167	
		TOTAL											710	51.19					677	48.81		1387	
													Elected										
																							
Semaphore                                                      																							
	FIRST			83	4.56		211	11.58		241	13.23		780	42.81		44	2.41		463	25.41		1822	
	SECOND			0	0.00		3	6.82		26	59.09		12	27.27			Excluded		3	6.82		44	
		TOTAL		83	4.56		214	11.75		267	14.65		792	43.47					466	25.58		1822	
	THIRD			7	2.62		114	42.70			Excluded		135	50.56					11	4.12		267	
		TOTAL		90	4.94		328	18.00					927	50.88					477	26.18		1822	
	FOURTH				Excluded		35	38.89					21	23.33					34	37.78		90	
		TOTAL					363	19.92					948	52.03					511	28.05		1822	
	FIFTH							Excluded					284	78.24					79	21.76		363	
		TOTAL											1232	67.62					590	32.38		1822	
													Elected										
																							
Semaphore Park                                                 																							
	FIRST			71	5.27		148	10.98		47	3.49		643	47.70		6	0.45		433	32.12		1348	
	SECOND			0	0.00		0	0.00		1	16.67		3	50.00			Excluded		2	33.33		6	
		TOTAL		71	5.27		148	10.98		48	3.56		646	47.92					435	32.27		1348	
	THIRD			3	6.25		9	18.75			Excluded		30	62.50					6	12.50		48	
		TOTAL		74	5.49		157	11.65					676	50.15					441	32.72		1348	
	FOURTH				Excluded		29	39.19					24	32.43					21	28.38		74	
		TOTAL					186	13.80					700	51.93					462	34.27		1348	
	FIFTH							Excluded					131	70.43					55	29.57		186	
		TOTAL											831	61.65					517	38.35		1348	
													Elected										
																							
Semaphore Park South                                           																							
	FIRST			68	5.82		106	9.08		52	4.45		666	57.02		4	0.34		272	23.29		1168	
	SECOND			1	25.00		1	25.00		1	25.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		69	5.91		107	9.16		53	4.54		666	57.02					273	23.37		1168	
	THIRD			3	5.66		14	26.42			Excluded		29	54.72					7	13.21		53	
		TOTAL		72	6.16		121	10.36					695	59.50					280	23.97		1168	
	FOURTH				Excluded		28	38.89					20	27.78					24	33.33		72	
		TOTAL					149	12.76					715	61.22					304	26.03		1168	
	FIFTH							Excluded					117	78.52					32	21.48		149	
		TOTAL											832	71.23					336	28.77		1168	
													Elected										
																							
Semaphore South                                                																							
	FIRST			68	4.96		131	9.56		88	6.42		660	48.14		17	1.24		407	29.69		1371	
	SECOND			2	11.76		0	0.00		9	52.94		5	29.41			Excluded		1	5.88		17	
		TOTAL		70	5.11		131	9.56		97	7.08		665	48.50					408	29.76		1371	
	THIRD			7	7.22		31	31.96			Excluded		52	53.61					7	7.22		97	
		TOTAL		77	5.62		162	11.82					717	52.30					415	30.27		1371	
	FOURTH				Excluded		35	45.45					22	28.57					20	25.97		77	
		TOTAL					197	14.37					739	53.90					435	31.73		1371	
	FIFTH							Excluded					152	77.16					45	22.84		197	
		TOTAL											891	64.99					480	35.01		1371	
													Elected										
																							
Taperoo                                                        																							
	FIRST			180	7.10		184	7.26		93	3.67		1356	53.47		18	0.71		705	27.80		2536	
	SECOND			1	5.56		1	5.56		10	55.56		4	22.22			Excluded		2	11.11		18	
		TOTAL		181	7.14		185	7.29		103	4.06		1360	53.63					707	27.88		2536	
	THIRD			15	14.56		31	30.10			Excluded		44	42.72					13	12.62		103	
		TOTAL		196	7.73		216	8.52					1404	55.36					720	28.39		2536	
	FOURTH				Excluded		118	60.20					37	18.88					41	20.92		196	
		TOTAL					334	13.17					1441	56.82					761	30.01		2536	
	FIFTH							Excluded					255	76.35					79	23.65		334	
		TOTAL											1696	66.88					840	33.12		2536	
													Elected										
																							
Taperoo East                                                   																							
	FIRST			83	6.65		70	5.61		47	3.77		825	66.11		10	0.80		213	17.07		1248	
	SECOND			1	10.00		1	10.00		3	30.00		3	30.00			Excluded		2	20.00		10	
		TOTAL		84	6.73		71	5.69		50	4.01		828	66.35					215	17.23		1248	
	THIRD			5	10.00		22	44.00			Excluded		17	34.00					6	12.00		50	
		TOTAL		89	7.13		93	7.45					845	67.71					221	17.71		1248	
	FOURTH				Excluded		50	56.18					24	26.97					15	16.85		89	
		TOTAL					143	11.46					869	69.63					236	18.91		1248	
	FIFTH							Excluded					118	82.52					25	17.48		143	
		TOTAL											987	79.09					261	20.91		1248	
													Elected										
																							
Virginia (Port Adelaide)                                       																							
	FIRST			64	13.11		34	6.97		14	2.87		175	35.86		11	2.25		190	38.93		488	
	SECOND			1	9.09		0	0.00		2	18.18		6	54.55			Excluded		2	18.18		11	
		TOTAL		65	13.32		34	6.97		16	3.28		181	37.09					192	39.34		488	
	THIRD			1	6.25		7	43.75			Excluded		5	31.25					3	18.75		16	
		TOTAL		66	13.52		41	8.40					186	38.11					195	39.96		488	
	FOURTH				Excluded		26	39.39					12	18.18					28	42.42		66	
		TOTAL					67	13.73					198	40.57					223	45.70		488	
	FIFTH							Excluded					47	70.15					20	29.85		67	
		TOTAL											245	50.20					243	49.80		488	
													Elected										
																							
West Croydon                                                   																							
	FIRST			70	3.71		186	9.87		118	6.26		1035	54.91		10	0.53		466	24.72		1885	
	SECOND			1	10.00		1	10.00		4	40.00		4	40.00			Excluded		0	0.00		10	
		TOTAL		71	3.77		187	9.92		122	6.47		1039	55.12					466	24.72		1885	
	THIRD			7	5.74		45	36.89			Excluded		61	50.00					9	7.38		122	
		TOTAL		78	4.14		232	12.31					1100	58.36					475	25.20		1885	
	FOURTH				Excluded		36	46.15					18	23.08					24	30.77		78	
		TOTAL					268	14.22					1118	59.31					499	26.47		1885	
	FIFTH							Excluded					189	70.52					79	29.48		268	
		TOTAL											1307	69.34					578	30.66		1885	
													Elected										
																							
West Lakes Shore                                               																							
	FIRST			185	4.25		421	9.67		116	2.66		1364	31.33		26	0.60		2242	51.49		4354	
	SECOND			1	3.85		7	26.92		12	46.15		4	15.38			Excluded		2	7.69		26	
		TOTAL		186	4.27		428	9.83		128	2.94		1368	31.42					2244	51.54		4354	
	THIRD			7	5.47		53	41.41			Excluded		57	44.53					11	8.59		128	
		TOTAL		193	4.43		481	11.05					1425	32.73					2255	51.79		4354	
	FOURTH				Excluded		86	44.56					33	17.10					74	38.34		193	
		TOTAL					567	13.02					1458	33.49					2329	53.49		4354	
	FIFTH							Excluded					345	60.85					222	39.15		567	
		TOTAL											1803	41.41					2551	58.59		4354	
													Elected										
																							
Woodville                                                      																							
	FIRST			64	3.98		208	12.94		62	3.86		731	45.46		13	0.81		530	32.96		1608	
	SECOND			0	0.00		0	0.00		4	30.77		5	38.46			Excluded		4	30.77		13	
		TOTAL		64	3.98		208	12.94		66	4.10		736	45.77					534	33.21		1608	
	THIRD			2	3.03		31	46.97			Excluded		26	39.39					7	10.61		66	
		TOTAL		66	4.10		239	14.86					762	47.39					541	33.64		1608	
	FOURTH				Excluded		31	46.97					14	21.21					21	31.82		66	
		TOTAL					270	16.79					776	48.26					562	34.95		1608	
	FIFTH							Excluded					185	68.52					85	31.48		270	
		TOTAL											961	59.76					647	40.24		1608	
													Elected										
																							
Woodville Gardens                                              																							
	FIRST			115	4.76		134	5.54		67	2.77		1764	72.98		28	1.16		309	12.78		2417	
	SECOND			4	14.29		3	10.71		14	50.00		3	10.71			Excluded		4	14.29		28	
		TOTAL		119	4.92		137	5.67		81	3.35		1767	73.11					313	12.95		2417	
	THIRD			15	18.52		30	37.04			Excluded		34	41.98					2	2.47		81	
		TOTAL		134	5.54		167	6.91					1801	74.51					315	13.03		2417	
	FOURTH				Excluded		73	54.48					21	15.67					40	29.85		134	
		TOTAL					240	9.93					1822	75.38					355	14.69		2417	
	FIFTH							Excluded					181	75.42					59	24.58		240	
		TOTAL											2003	82.87					414	17.13		2417	
													Elected										
																							
Woodville North                                                																							
	FIRST			70	5.92		125	10.58		25	2.12		618	52.28		6	0.51		338	28.60		1182	
	SECOND			1	16.67		1	16.67		1	16.67		1	16.67			Excluded		2	33.33		6	
		TOTAL		71	6.01		126	10.66		26	2.20		619	52.37					340	28.76		1182	
	THIRD			5	19.23		11	42.31			Excluded		9	34.62					1	3.85		26	
		TOTAL		76	6.43		137	11.59					628	53.13					341	28.85		1182	
	FOURTH				Excluded		42	55.26					24	31.58					10	13.16		76	
		TOTAL					179	15.14					652	55.16					351	29.70		1182	
	FIFTH							Excluded					140	78.21					39	21.79		179	
		TOTAL											792	67.01					390	32.99		1182	
													Elected										
																							
Woodville South                                                																							
	FIRST			84	5.30		166	10.47		61	3.85		751	47.38		10	0.63		513	32.37		1585	
	SECOND			1	10.00		1	10.00		5	50.00		1	10.00			Excluded		2	20.00		10	
		TOTAL		85	5.36		167	10.54		66	4.16		752	47.44					515	32.49		1585	
