House of Representatives - 2001 South Australia								
Swing to ALP								
By Division by Polling Place								
								
Adelaide								
								
Polling Place	Formal	STANLEY		WORTH		Swing		
Special Hospital Team 1	166	106	63.86	60	36.14	-		
Special Hospital Team 2	148	57	38.51	91	61.49	-		
Virginia (Bonython)	982	506	51.53	476	48.47	-2.41		
ABSENT	4595	2624	57.11	1971	42.89	-		
POSTAL	1959	1137	58.04	822	41.96	-		
PRE POLL	1947	1120	57.52	827	42.48	-		
PROVISIONAL	542	360	66.42	182	33.58	-		
Division Total	75612	45688	60.42	29924	39.58	-2.88		
								
								
Boothby								
								
Polling Place	Formal	MURPHY		SOUTHCOTT		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Aberfoyle Park North (Boothby)	542	206	38.01	336	61.99	-2.10		
Adelaide (Boothby)	114	52	45.61	62	54.39	-10.82		
Bedford Park	709	339	47.81	370	52.19	2.78		
Belair	3969	1692	42.63	2277	57.37	3.47		
Bellevue Heights	1882	725	38.52	1157	61.48	2.58		
Blackwood	2312	935	40.44	1377	59.56	1.96		
Blackwood Central	1352	586	43.34	766	56.66	-0.01		
Brighton	3270	1248	38.17	2022	61.83	-1.88		
Brighton South	1021	410	40.16	611	59.84	-3.22		
Clapham	1952	728	37.30	1224	62.70	2.47		
Clarence Gardens	837	354	42.29	483	57.71	0.17		
Colonel Light Gardens	1818	809	44.50	1009	55.50	1.37		
Coromandel Valley (Boothby)	627	276	44.02	351	55.98	-0.62		
Darlington	1837	882	48.01	955	51.99	-4.78		
Daw Park	1778	836	47.02	942	52.98	-2.25		
Dover Gardens	1774	931	52.48	843	47.52	-2.18		
Eden Hills	1323	569	43.01	754	56.99	-1.72		
Flagstaff Hill (Boothby)	3930	1483	37.74	2447	62.26	-2.37		
Flagstaff Hill East	770	266	34.55	504	65.45	-5.52		
Hawthorn	645	231	35.81	414	64.19	2.87		
Hawthorn West	1418	507	35.75	911	64.25	-0.56		
Hawthorndene	1605	700	43.61	905	56.39	1.93		
Kingswood	1441	596	41.36	845	58.64	0.62		
Marino	1412	590	41.78	822	58.22	2.04		
Marion	1102	495	44.92	607	55.08	-3.39		
Melrose Park	2093	1009	48.21	1084	51.79	1.81		
Mitcham	2318	797	34.38	1521	65.62	2.72		
Mitchell Park	2055	1127	54.84	928	45.16	-1.27		
Netherby	1172	242	20.65	930	79.35	-0.20		
North Brighton	1341	563	41.98	778	58.02	0.89		
Oaklands Park	1332	607	45.57	725	54.43	2.31		
Panorama	1317	488	37.05	829	62.95	3.07		
Pasadena	2596	1188	45.76	1408	54.24	-1.16		
Seacliff	1990	866	43.52	1124	56.48	2.62		
Seacombe Heights	2734	1353	49.49	1381	50.51	-1.64		
Seaview Downs	1450	586	40.41	864	59.59	-1.97		
Special Hospital Team 1	167	44	26.35	123	73.65	-		
Special Hospital Team 2	115	29	25.22	86	74.78	-		
Special Hospital Team 3	217	73	33.64	144	66.36	-		
Special Hospital Team 4	57	28	49.12	29	50.88	-		
Special Hospital Team 5	37	18	48.65	19	51.35	-		
St Marys	1678	920	54.83	758	45.17	1.58		
Sturt	726	331	45.59	395	54.41	0.98		
Tonsley Park	1254	779	62.12	475	37.88	-3.10		
Warradale	2913	1316	45.18	1597	54.82	1.00		
West Brighton	1563	507	32.44	1056	67.56	0.66		
Westbourne Park	1810	788	43.54	1022	56.46	1.01		
ABSENT	4794	2176	45.39	2618	54.61	-		
POSTAL	3068	1069	34.84	1999	65.16	-		
PRE POLL	3359	1411	42.01	1948	57.99	-		
PROVISIONAL	319	172	53.92	147	46.08	-		
Division Total	81915	34933	42.65	46982	57.35	0.25		
								
								
Grey								
								
Polling Place	Formal	O'NEILL		WAKELIN		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Andamooka	221	114	51.58	107	48.42	6.09		
Arno Bay	235	55	23.40	180	76.60	2.13		
Auburn	390	126	32.31	264	67.69	-1.80		
Blyth	347	73	21.04	274	78.96	3.14		
Booborowie	166	36	21.69	130	78.31	0.26		
Booleroo Centre	368	45	12.23	323	87.77	2.98		
Brinkworth	223	32	14.35	191	85.65	-7.11		
Burra	739	265	35.86	474	64.14	4.14		
Ceduna	1455	462	31.75	993	68.25	-1.68		
Clare	2405	701	29.15	1704	70.85	-1.18		
Cleve	734	64	8.72	670	91.28	-0.74		
Coffin Bay	365	92	25.21	273	74.79	2.72		
Coober Pedy	984	535	54.37	449	45.63	4.47		
Cowell	725	133	18.34	592	81.66	-3.23		
Crystal Brook	943	290	30.75	653	69.25	-2.29		
Cummins	826	103	12.47	723	87.53	-2.87		
Darke Peak	102	7	6.86	95	93.14	-2.92		
Elliston	236	73	30.93	163	69.07	3.91		
Eudunda	734	229	31.20	505	68.80	4.06		
Farrell Flat	153	33	21.57	120	78.43	2.02		
Georgetown	147	55	37.41	92	62.58	9.14		
Gladstone	451	204	45.23	247	54.77	-0.48		
Hallett	122	25	20.49	97	79.51	-6.65		
Hawker	246	78	31.71	168	68.29	7.16		
Iron Knob	109	67	61.47	42	38.53	2.82		
Jamestown	1238	268	21.65	970	78.35	1.60		
Karkoo	73	0	0.00	73	100.00	-4.23		
Kimba	725	88	12.14	637	87.86	-0.61		
Kirton Point	1539	619	40.22	920	59.78	-0.43		
Laura	485	134	27.63	351	72.37	0.95		
Leigh Creek	358	162	45.25	196	54.75	-6.87		
Lochiel	100	22	22.00	78	78.00	0.65		
Lock	295	27	9.15	268	90.85	-3.74		
Manoora	196	43	21.94	153	78.06	-0.71		
Marrabel	112	23	20.54	89	79.46	2.99		
Melrose	227	48	21.15	179	78.85	1.62		
Minnipa	166	31	18.67	135	81.33	1.45		
Napperby	423	199	47.04	224	52.96	-2.18		
North Shields	313	66	21.09	247	78.91	-1.84		
Orroroo	493	100	20.28	393	79.72	3.20		
Peterborough	1083	582	53.74	501	46.26	2.75		
Point Pass	107	37	34.58	70	65.42	8.22		
Poochera	122	11	9.02	111	90.98	-2.75		
Port Augusta Central	1102	522	47.37	580	52.63	-2.63		
Port Augusta East	1911	937	49.03	974	50.97	-3.18		
Port Augusta West	1801	921	51.14	880	48.86	-7.17		
Port Broughton	974	313	32.14	661	67.86	-0.80		
Port Germein	283	137	48.41	146	51.59	4.88		
Port Kenny	146	25	17.12	121	82.88	-4.13		
Port Lincoln	2784	935	33.58	1849	66.42	1.78		
Port Lincoln Central	2257	525	23.26	1732	76.74	-2.17		
Port Lincoln South	1058	497	46.98	561	53.02	-0.25		
Port Neill	206	31	15.05	175	84.95	-8.06		
Port Pirie South	468	209	44.66	259	55.34	-0.86		
Port Pirie West	2477	1546	62.41	931	37.59	-1.14		
Quorn	724	235	32.46	489	67.54	-2.63		
Redhill	204	51	25.00	153	75.00	2.54		
Remote Mobile Team 1	859	600	69.85	259	30.15	-		
Remote Mobile Team 2	292	151	51.71	141	48.29	-		
Remote Mobile Team 3	41	15	36.59	26	63.41	-		
Remote Mobile Team 4	75	20	26.67	55	73.33	-		
Remote Mobile Team 5	80	77	96.25	3	3.75	-		
Risdon Park East	2639	1278	48.43	1361	51.57	-5.07		
Risdon Park South	939	528	56.23	411	43.77	-1.62		
Riverton	603	163	27.03	440	72.97	-2.12		
Robertstown	240	92	38.33	148	61.67	8.18		
Roxby Downs	1387	458	33.02	929	66.98	-1.86		
Saddleworth	340	99	29.12	241	70.88	-4.69		
Smoky Bay	159	19	11.95	140	88.05	-2.63		
Snowtown	375	102	27.20	273	72.80	-3.73		
Solomontown	1612	971	60.24	641	39.76	-3.94		
Spalding	256	67	26.17	189	73.83	1.56		
Special Hospital Team 1	43	11	25.58	32	74.42	-		
Special Hospital Team 2	109	37	33.94	72	66.05	-		
Special Hospital Team 3	36	5	13.89	31	86.11	-		
Special Hospital Team 4	83	21	25.30	62	74.70	-		
Special Hospital Team 5	87	52	59.77	35	40.23	-		
Special Hospital Team 6	107	25	23.36	82	76.64	-		
Special Hospital Team 7	317	169	53.31	148	46.69	-		
Special Hospital Team 8	100	69	69.00	31	31.00	-		
Stirling North	897	446	49.72	451	50.28	-5.48		
Streaky Bay	769	170	22.11	599	77.89	-0.92		
Tarlee	251	50	19.92	201	80.08	-13.16		
Terowie	93	39	41.94	54	58.06	-6.06		
Tumby Bay	1060	183	17.26	877	82.74	-2.63		
Ungarra	152	22	14.47	130	85.53	3.82		
Wangary	239	65	27.20	174	72.80	5.91		
Warramboo	130	7	5.38	123	94.62	-4.42		
Watervale	275	95	34.55	180	65.45	7.23		
Whyalla Central East	949	416	43.84	533	56.16	-1.51		
Whyalla Central West	1753	859	49.00	894	51.00	-4.77		
Whyalla Norrie East	1731	888	51.30	843	48.70	-6.09		
Whyalla Norrie North	1419	831	58.56	588	41.44	-5.60		
Whyalla Norrie North-West	940	577	61.38	363	38.62	-1.90		
Whyalla Norrie South	1395	824	59.07	571	40.93	-6.74		
Whyalla Stuart South	1808	1172	64.82	636	35.18	-5.07		
Whyalla Stuart West	1144	656	57.34	488	42.66	-7.46		
Willsden	1119	624	55.76	495	44.24	-5.69		
Wilmington	383	101	26.37	282	73.63	-1.72		
Wirrabara	379	86	22.69	293	77.31	-0.06		
Wirrulla	117	8	6.84	109	93.16	-0.57		
Woomera	191	94	49.21	97	50.79	4.12		
Wudinna	565	67	11.86	498	88.14	-0.01		
Yacka	113	28	24.78	85	75.22	3.99		
ABSENT	4339	1614	37.20	2725	62.80	-		
POSTAL	3115	772	24.78	2343	75.22	-		
PRE POLL	2935	1303	44.40	1632	55.60	-		
PROVISIONAL	492	265	53.86	227	46.14	-		
Division Total	77408	30532	39.44	46876	60.56	-1.53		
								
								
Hindmarsh								
								
Polling Place	Formal	GEORGANAS		GALLUS		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Adelaide (Hindmarsh)	136	76	55.88	60	44.12	-1.26		
Ascot Park South	921	508	55.16	413	44.84	-1.36		
Brooklyn Park	1978	1139	57.58	839	42.42	0.62		
Brooklyn Park South	1151	565	49.09	586	50.91	1.94		
Camden Park	1079	523	48.47	556	51.53	0.93		
Cowandilla	1819	1237	68.00	582	32.00	-1.90		
Cowandilla West	657	381	57.99	276	42.01	-0.69		
Edwardstown	1480	777	52.50	703	47.50	-3.54		
Flinders Park	2967	1645	55.44	1322	44.56	-2.93		
Forbes	2279	1211	53.14	1068	46.86	-1.38		
Fulham	1737	707	40.70	1030	59.30	1.23		
Fulham Gardens	3225	1703	52.81	1522	47.19	-1.72		
Glandore	1183	554	46.83	629	53.17	-2.50		
Glenelg Central	1619	630	38.91	989	61.09	-1.52		
Glenelg East	1630	667	40.92	963	59.08	-1.44		
Glenelg North	2532	946	37.36	1586	62.64	0.33		
Glenelg South	1857	619	33.33	1238	66.67	0.34		
Glengowrie	1613	617	38.25	996	61.75	-1.85		
Grovene	1277	451	35.32	826	64.68	0.52		
Henley Beach	2114	1036	49.01	1078	50.99	-0.58		
Henley South	1443	702	48.65	741	51.35	-0.69		
Kidman Park	922	483	52.39	439	47.61	1.57		
Kidman Park South	2427	1158	47.71	1269	52.29	-2.10		
Kurralta Park	1378	731	53.05	647	46.95	-0.42		
Lockleys	1708	638	37.35	1070	62.65	-2.17		
Lockleys North	1199	577	48.12	622	51.88	1.50		
Mile End (Hindmarsh)	737	484	65.67	253	34.33	6.77		
Morphettville	1264	591	46.76	673	53.24	-2.53		
Netley	1156	585	50.61	571	49.39	-4.58		
Novar Gardens	1660	592	35.66	1068	64.34	-2.13		
Park Holme	1442	775	53.74	667	46.26	-2.99		
Park Holme South	1467	777	52.97	690	47.03	-1.73		
Plympton	1872	933	49.84	939	50.16	-1.09		
Plympton Park	1338	622	46.49	716	53.51	2.35		
Plympton West	1407	668	47.48	739	52.52	-0.25		
Richmond	1913	1083	56.61	830	43.39	-1.50		
Somerton Park East	1347	567	42.09	780	57.91	1.04		
South Plympton	1292	651	50.39	641	49.61	-0.44		
Special Hospital Team 1	117	44	37.61	73	62.39	-4.77		
Special Hospital Team 2	122	46	37.70	76	62.30	-6.74		
Special Hospital Team 3	179	83	46.37	96	53.63	-1.85		
Torrensville	1578	1056	66.92	522	33.08	-0.97		
West Beach	2407	1014	42.13	1393	57.87	0.15		
West Richmond	868	538	61.98	330	38.02	1.30		
ABSENT	4975	2430	48.84	2545	51.16	-		
POSTAL	3732	1491	39.95	2241	60.05	-		
PRE POLL	2694	1205	44.73	1489	55.27	-		
PROVISIONAL	385	203	52.73	182	47.27	-		
Division Total	76283	36719	48.14	39564	51.86	-0.64		
								
								
Kingston								
								
Polling Place	Formal	COX		HERSEY		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Adelaide (Kingston)	98	49	50.00	49	50.00	-10.38		
Aldinga Beach	3123	1646	52.71	1477	47.29	-0.22		
Christie Downs	2076	1318	63.49	758	36.51	-0.16		
Christies Beach	2201	1236	56.16	965	43.84	1.59		
Christies North	408	239	58.58	169	41.42	0.45		
Hackham	2044	1266	61.94	778	38.06	-0.49		
Hackham East	3277	1690	51.57	1587	48.43	-1.39		
Hackham South	1505	916	60.86	589	39.14	0.76		
Hallett Cove	2806	1313	46.79	1493	53.21	-0.39		
Happy Valley (Kingston)	1336	536	40.12	800	59.88	4.26		
Karrara	3467	1602	46.21	1865	53.79	0.79		
Lonsdale	872	532	61.01	340	38.99	0.43		
Maslin Beach	537	321	59.78	216	40.22	2.45		
Moana	2251	1199	53.27	1052	46.73	0.96		
Morphett Vale	3439	1950	56.70	1489	43.30	0.62		
Morphett Vale East	2508	1276	50.88	1232	49.12	-2.42		
Morphett Vale North	1497	771	51.50	726	48.50	-1.49		
Morphett Vale South	551	331	60.07	220	39.93	-3.89		
Noarlunga Downs	1163	739	63.54	424	36.46	-0.83		
O'Halloran Hill	2913	1351	46.38	1562	53.62	1.54		
O'Sullivan Beach	1338	822	61.43	516	38.57	-2.09		
Onkaparinga Hills	1339	774	57.80	565	42.20	1.84		
Pimpala	1968	989	50.25	979	49.75	-0.82		
Port Noarlunga	1533	840	54.79	693	45.21	1.71		
Reynella	2663	1299	48.78	1364	51.22	0.90		
Reynella East	3431	1651	48.12	1780	51.88	0.29		
Reynella South	2810	1447	51.49	1363	48.51	-0.62		
Seaford	2245	1251	55.72	994	44.28	-3.06		
Seaford Rise	2009	1083	53.91	926	46.09	-1.87		
Sellicks Beach	778	430	55.27	348	44.73	2.01		
Sheidow Park	2535	1292	50.97	1243	49.03	4.34		
Special Hospital Team 1	166	58	34.94	108	65.06	-		
Special Hospital Team 2	94	44	46.81	50	53.19	-		
Special Hospital Team 3	79	35	44.30	44	55.70	-		
Trott Park	1424	725	50.91	699	49.09	2.51		
Woodcroft	4239	1942	45.81	2297	54.19	0.62		
ABSENT	4567	2381	52.13	2186	47.87	-		
POSTAL	2658	1326	49.89	1332	50.11	-		
PRE POLL	2987	1594	53.36	1393	46.64	-		
PROVISIONAL	555	354	63.78	201	36.22	-		
Division Total	77490	40618	52.42	36872	47.58	0.54		
								
								
Makin								
								
Polling Place	Formal	WOODMAN		DRAPER		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Adelaide (Makin)	137	57	41.61	80	58.39	-6.78		
Banksia Park	2210	909	41.13	1301	58.87	-1.44		
Enfield North (Makin)	583	325	55.75	258	44.25	-1.77		
Fairview Park	1774	619	34.89	1155	65.11	-3.61		
Golden Grove	441	150	34.01	291	65.99	-7.25		
Golden Grove Central	2386	1022	42.83	1364	57.17	0.92		
Golden Grove East	1900	763	40.16	1137	59.84	-2.37		
Greenwith	4178	1729	41.38	2449	58.62	-2.48		
Holden Hill North	1384	654	47.25	730	52.75	-4.60		
Hope Valley	1217	561	46.10	656	53.90	-0.62		
Ingle Farm	3837	2158	56.24	1679	43.76	-4.55		
Ingle Farm North	999	619	61.96	380	38.04	-0.76		
