Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Makin (88248)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Para Hills East		590	38.56		26	1.70		82	5.36		0	0.00		599	39.15		1	0.07		0	0.00		2	0.13		227	14.84		3	0.20		1530	96.47		56	3.53		1586	1.86
Para Hills West		762	44.72		28	1.64		92	5.40		2	0.12		611	35.86		2	0.12		0	0.00		3	0.18		202	11.85		2	0.12		1704	96.33		65	3.67		1769	2.07
Para Vista		1214	39.24		63	2.04		171	5.53		2	0.06		1253	40.50		2	0.06		2	0.06		7	0.23		377	12.18		3	0.10		3094	96.66		107	3.34		3201	3.75
Pooraka		1836	50.61		49	1.35		153	4.22		0	0.00		1221	33.65		2	0.06		2	0.06		7	0.19		354	9.76		4	0.11		3628	95.83		158	4.17		3786	4.44
Redwood Park		739	31.55		56	2.39		74	3.16		1	0.04		1129	48.21		2	0.09		3	0.13		6	0.26		330	14.09		2	0.09		2342	96.98		73	3.02		2415	2.83
Ridgehaven		1040	32.20		90	2.79		136	4.21		1	0.03		1520	47.06		2	0.06		2	0.06		3	0.09		435	13.47		1	0.03		3230	97.23		92	2.77		3322	3.89
St Agnes		847	29.35		87	3.01		102	3.53		1	0.03		1457	50.49		0	0.00		0	0.00		4	0.14		381	13.20		7	0.24		2886	97.24		82	2.76		2968	3.48
St Agnes West		488	30.25		44	2.73		62	3.84		1	0.06		793	49.16		0	0.00		0	0.00		2	0.12		223	13.83		0	0.00		1613	97.11		48	2.89		1661	1.95
Salisbury East		1040	38.66		53	1.97		143	5.32		3	0.11		1123	41.75		3	0.11		1	0.04		3	0.11		317	11.78		4	0.15		2690	97.15		79	2.85		2769	3.24
Salisbury East Central		856	38.56		41	1.85		121	5.45		2	0.09		921	41.49		2	0.09		0	0.00		3	0.14		271	12.21		3	0.14		2220	96.69		76	3.31		2296	2.69
Salisbury Heights (Makin)		86	23.37		6	1.63		18	4.89		1	0.27		215	58.42		3	0.82		0	0.00		0	0.00		38	10.33		1	0.27		368	97.10		11	2.90		379	0.44
Surrey Downs		775	32.44		49	2.05		115	4.81		1	0.04		1122	46.97		2	0.08		3	0.13		5	0.21		317	13.27		0	0.00		2389	97.59		59	2.41		2448	2.87
Tea Tree Gully		392	26.72		49	3.34		57	3.89		1	0.07		747	50.92		1	0.07		0	0.00		3	0.20		215	14.66		2	0.14		1467	97.60		36	2.40		1503	1.76
Valley View		533	38.74		31	2.25		65	4.72		1	0.07		569	41.35		0	0.00		0	0.00		0	0.00		177	12.86		0	0.00		1376	95.82		60	4.18		1436	1.68
Wynn Vale		1451	31.70		80	1.75		176	3.85		0	0.00		2303	50.32		7	0.15		1	0.02		1	0.02		552	12.06		6	0.13		4577	97.40		122	2.60		4699	5.51
Special Hospitals		60	35.71		1	0.60		7	4.17		0	0.00		97	57.74		0	0.00		0	0.00		0	0.00		3	1.79		0	0.00		168	96.55		6	3.45		174	0.20
Total Ordinary		25587	35.68		1530	2.13		3068	4.28		45	0.06		32085	44.74		67	0.09		28	0.04		102	0.14		9116	12.71		79	0.11		71707	97.05		2176	2.95		73883	86.58
ABSENT		1863	35.19		177	3.34		237	4.48		10	0.19		2198	41.52		4	0.08		3	0.06		9	0.17		787	14.87		6	0.11		5294	98.13		101	1.87		5395	6.32
POSTAL		867	30.63		45	1.59		117	4.13		5	0.18		1495	52.81		1	0.04		0	0.00		3	0.11		294	10.39		4	0.14		2831	99.19		23	0.81		2854	3.34
PRE_POLL		770	31.21		57	2.31		127	5.15		1	0.04		1173	47.55		0	0.00		1	0.04		1	0.04		333	13.50		4	0.16		2467	98.72		32	1.28		2499	2.93
PROVISIONAL		266	38.95		14	2.05		34	4.98		2	0.29		261	38.21		3	0.44		0	0.00		2	0.29		101	14.79		0	0.00		683	97.16		20	2.84		703	0.82
Division Summary		29353	35.37		1823	2.2		3583	4.32		63	0.08		37212	44.84		75	0.09		32	0.04		117	0.14		10631	12.81		93	0.11		82982	97.24		2352	2.76		85334	96.7
