House of Representatives - 2001 Election: South Australia																				
Distribution of Preferences																				
By Polling Place																				
																				
Grey																				
				O'NEILL			ROBERTSON			HOLLAND			MARTIN			WAKELIN				
		TOTAL		103	12.47											723	87.53		826	
																Elected				
																				
Darke Peak                                                     																				
	FIRST			4	3.92		2	1.96		6	5.88		0	0.00		90	88.24		102	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	3.92		2	1.96		6	5.88					90	88.24		102	
	THIRD			2	100.00			Excluded		0	0.00					0	0.00		2	
		TOTAL		6	5.88					6	5.88					90	88.24		102	
	FOURTH			1	16.67						Excluded					5	83.33		6	
		TOTAL		7	6.86											95	93.14		102	
																Elected				
																				
Elliston                                                       																				
	FIRST			45	19.07		17	7.20		7	2.97		19	8.05		148	62.71		236	
	SECOND			2	10.53		13	68.42		1	5.26			Excluded		3	15.79		19	
		TOTAL		47	19.92		30	12.71		8	3.39					151	63.98		236	
	THIRD			21	70.00			Excluded		4	13.33					5	16.67		30	
		TOTAL		68	28.81					12	5.08					156	66.10		236	
	FOURTH			5	41.67						Excluded					7	58.33		12	
		TOTAL		73	30.93											163	69.07		236	
																Elected				
																				
Eudunda                                                        																				
	FIRST			93	12.67		61	8.31		137	18.66		19	2.59		424	57.77		734	
	SECOND			3	15.79		12	63.16		3	15.79			Excluded		1	5.26		19	
		TOTAL		96	13.08		73	9.95		140	19.07					425	57.90		734	
	THIRD			37	50.68			Excluded		11	15.07					25	34.25		73	
		TOTAL		133	18.12					151	20.57					450	61.31		734	
	FOURTH			96	63.58						Excluded					55	36.42		151	
		TOTAL		229	31.20											505	68.80		734	
																Elected				
																				
Farrell Flat                                                   																				
	FIRST			21	13.73		8	5.23		15	9.80		3	1.96		106	69.28		153	
	SECOND			0	0.00		2	66.67		0	0.00			Excluded		1	33.33		3	
		TOTAL		21	13.73		10	6.54		15	9.80					107	69.93		153	
	THIRD			7	70.00			Excluded		1	10.00					2	20.00		10	
		TOTAL		28	18.30					16	10.46					109	71.24		153	
	FOURTH			5	31.25						Excluded					11	68.75		16	
		TOTAL		33	21.57											120	78.43		153	
																Elected				
																				
Georgetown                                                     																				
	FIRST			44	29.93		5	3.40		9	6.12		1	0.68		88	59.86		147	
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		44	29.93		5	3.40		10	6.80					88	59.86		147	
	THIRD			4	80.00			Excluded		0	0.00					1	20.00		5	
		TOTAL		48	32.65					10	6.80					89	60.54		147	
	FOURTH			7	70.00						Excluded					3	30.00		10	
		TOTAL		55	37.41											92	62.59		147	
																Elected				
																				
Gladstone                                                      																				
	FIRST			169	37.47		12	2.66		38	8.43		6	1.33		226	50.11		451	
	SECOND			3	50.00		2	33.33		0	0.00			Excluded		1	16.67		6	
		TOTAL		172	38.14		14	3.10		38	8.43					227	50.33		451	
	THIRD			9	64.29			Excluded		1	7.14					4	28.57		14	
		TOTAL		181	40.13					39	8.65					231	51.22		451	
	FOURTH			23	58.97						Excluded					16	41.03		39	
		TOTAL		204	45.23											247	54.77		451	
																Elected				
																				
Hallett                                                        																				
	FIRST			19	15.57		4	3.28		13	10.66		2	1.64		84	68.85		122	
	SECOND			0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		19	15.57		5	4.10		13	10.66					85	69.67		122	
	THIRD			2	40.00			Excluded		1	20.00					2	40.00		5	
		TOTAL		21	17.21					14	11.48					87	71.31		122	
	FOURTH			4	28.57						Excluded					10	71.43		14	
		TOTAL		25	20.49											97	79.51		122	
																Elected				
																				
Hawker                                                         																				
	FIRST			59	23.98		13	5.28		14	5.69		7	2.85		153	62.20		246	
	SECOND			1	14.29		4	57.14		1	14.29			Excluded		1	14.29		7	
		TOTAL		60	24.39		17	6.91		15	6.10					154	62.60		246	
	THIRD			10	58.82			Excluded		2	11.76					5	29.41		17	
		TOTAL		70	28.46					17	6.91					159	64.63		246	
	FOURTH			8	47.06						Excluded					9	52.94		17	
		TOTAL		78	31.71											168	68.29		246	
																Elected				
																				
Iron Knob                                                      																				
	FIRST			52	47.71		8	7.34		9	8.26		5	4.59		35	32.11		109	
	SECOND			2	40.00		2	40.00		1	20.00			Excluded		0	0.00		5	
		TOTAL		54	49.54		10	9.17		10	9.17					35	32.11		109	
	THIRD			6	60.00			Excluded		3	30.00					1	10.00		10	
		TOTAL		60	55.05					13	11.93					36	33.03		109	
	FOURTH			7	53.85						Excluded					6	46.15		13	
		TOTAL		67	61.47											42	38.53		109	
																Elected				
																				
Jamestown                                                      																				
	FIRST			202	16.32		52	4.20		50	4.04		29	2.34		905	73.10		1238	
	SECOND			6	20.69		14	48.28		3	10.34			Excluded		6	20.69		29	
		TOTAL		208	16.80		66	5.33		53	4.28					911	73.59		1238	
	THIRD			35	53.03			Excluded		8	12.12					23	34.85		66	
		TOTAL		243	19.63					61	4.93					934	75.44		1238	
	FOURTH			25	40.98						Excluded					36	59.02		61	
		TOTAL		268	21.65											970	78.35		1238	
																Elected				
																				
Karkoo                                                         																				
	FIRST			0	0.00		1	1.37		2	2.74		0	0.00		70	95.89		73	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		1	1.37		2	2.74					70	95.89		73	
	THIRD			0	0.00			Excluded		0	0.00					1	100.00		1	
		TOTAL		0	0.00					2	2.74					71	97.26		73	
	FOURTH			0	0.00						Excluded					2	100.00		2	
		TOTAL		0	0.00											73	100.00		73	
																Elected				
																				
Kimba                                                          																				
	FIRST			58	8.00		14	1.93		47	6.48		6	0.83		600	82.76		725	
	SECOND			0	0.00		4	66.67		1	16.67			Excluded		1	16.67		6	
		TOTAL		58	8.00		18	2.48		48	6.62					601	82.90		725	
	THIRD			9	50.00			Excluded		3	16.67					6	33.33		18	
		TOTAL		67	9.24					51	7.03					607	83.72		725	
	FOURTH			21	41.18						Excluded					30	58.82		51	
		TOTAL		88	12.14											637	87.86		725	
																Elected				
																				
Kirton Point                                                   																				
	FIRST			485	31.51		78	5.07		98	6.37		50	3.25		828	53.80		1539	
	SECOND			10	20.00		27	54.00		8	16.00			Excluded		5	10.00		50	
		TOTAL		495	32.16		105	6.82		106	6.89					833	54.13		1539	
	THIRD			76	72.38			Excluded		6	5.71					23	21.90		105	
		TOTAL		571	37.10					112	7.28					856	55.62		1539	
	FOURTH			48	42.86						Excluded					64	57.14		112	
		TOTAL		619	40.22											920	59.78		1539	
																Elected				
																				
Laura                                                          																				
	FIRST			88	18.14		34	7.01		33	6.80		21	4.33		309	63.71		485	
	SECOND			6	28.57		8	38.10		4	19.05			Excluded		3	14.29		21	
		TOTAL		94	19.38		42	8.66		37	7.63					312	64.33		485	
	THIRD			25	59.52			Excluded		2	4.76					15	35.71		42	
		TOTAL		119	24.54					39	8.04					327	67.42		485	
	FOURTH			15	38.46						Excluded					24	61.54		39	
		TOTAL		134	27.63											351	72.37		485	
																Elected				
																				
Leigh Creek                                                    																				
	FIRST			127	35.47		20	5.59		27	7.54		13	3.63		171	47.77		358	
	SECOND			3	23.08		4	30.77		3	23.08			Excluded		3	23.08		13	
		TOTAL		130	36.31		24	6.70		30	8.38					174	48.60		358	
	THIRD			17	70.83			Excluded		1	4.17					6	25.00		24	
		TOTAL		147	41.06					31	8.66					180	50.28		358	
	FOURTH			15	48.39						Excluded					16	51.61		31	
		TOTAL		162	45.25											196	54.75		358	
																Elected				
																				
Lochiel                                                        																				
	FIRST			18	18.00		2	2.00		3	3.00		2	2.00		75	75.00		100	
	SECOND			1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		19	19.00		3	3.00		3	3.00					75	75.00		100	
	THIRD			2	66.67			Excluded		0	0.00					1	33.33		3	
		TOTAL		21	21.00					3	3.00					76	76.00		100	
	FOURTH			1	33.33						Excluded					2	66.67		3	
		TOTAL		22	22.00											78	78.00		100	
																Elected				
																				
Lock                                                           																				
	FIRST			24	8.14		6	2.03		18	6.10		4	1.36		243	82.37		295	
	SECOND			0	0.00		1	25.00		0	0.00			Excluded		3	75.00		4	
		TOTAL		24	8.14		7	2.37		18	6.10					246	83.39		295	
	THIRD			2	28.57			Excluded		2	28.57					3	42.86		7	
		TOTAL		26	8.81					20	6.78					249	84.41		295	
	FOURTH			1	5.00						Excluded					19	95.00		20	
		TOTAL		27	9.15											268	90.85		295	
																Elected				
																				
Manoora                                                        																				
	FIRST			32	16.33		7	3.57		14	7.14		3	1.53		140	71.43		196	
	SECOND			0	0.00		1	33.33		0	0.00			Excluded		2	66.67		3	
		TOTAL		32	16.33		8	4.08		14	7.14					142	72.45		196	
	THIRD			4	50.00			Excluded		0	0.00					4	50.00		8	
		TOTAL		36	18.37					14	7.14					146	74.49		196	
	FOURTH			7	50.00						Excluded					7	50.00		14	
		TOTAL		43	21.94											153	78.06		196	
																Elected				
																				
Marrabel                                                       																				
	FIRST			15	13.39		6	5.36		12	10.71		2	1.79		77	68.75		112	
	SECOND			0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		15	13.39		7	6.25		12	10.71					78	69.64		112	
	THIRD			4	57.14			Excluded		1	14.29					2	28.57		7	
		TOTAL		19	16.96					13	11.61					80	71.43		112	
	FOURTH			4	30.77						Excluded					9	69.23		13	
		TOTAL		23	20.54											89	79.46		112	
																Elected				
																				
Melrose                                                        																				
	FIRST			36	15.86		7	3.08		16	7.05		6	2.64		162	71.37		227	
	SECOND			2	33.33		3	50.00		0	0.00			Excluded		1	16.67		6	
		TOTAL		38	16.74		10	4.41		16	7.05					163	71.81		227	
	THIRD			5	50.00			Excluded		2	20.00					3	30.00		10	
		TOTAL		43	18.94					18	7.93					166	73.13		227	
	FOURTH			5	27.78						Excluded					13	72.22		18	
		TOTAL		48	21.15											179	78.85		227	
																Elected				
																				
Minnipa                                                        																				
	FIRST			18	10.84		6	3.61		22	13.25		2	1.20		118	71.08		166	
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		18	10.84		6	3.61		23	13.86					119	71.69		166	
	THIRD			2	33.33			Excluded		0	0.00					4	66.67		6	
		TOTAL		20	12.05					23	13.86					123	74.10		166	
	FOURTH			11	47.83						Excluded					12	52.17		23	
		TOTAL		31	18.67											135	81.33		166	
																Elected				
																				
Napperby                                                       																				
	FIRST			166	39.24		19	4.49		24	5.67		7	1.65		207	48.94		423	
	SECOND			1	14.29		1	14.29		4	57.14			Excluded		1	14.29		7	
		TOTAL		167	39.48		20	4.73		28	6.62					208	49.17		423	
	THIRD			14	70.00			Excluded		3	15.00					3	15.00		20	
		TOTAL		181	42.79					31	7.33					211	49.88		423	
	FOURTH			18	58.06						Excluded					13	41.94		31	
		TOTAL		199	47.04											224	52.96		423	
																Elected				
																				
North Shields                                                  																				
	FIRST			48	15.34		11	3.51		29	9.27		5	1.60		220	70.29		313	
	SECOND			2	40.00		2	40.00		0	0.00			Excluded		1	20.00		5	
		TOTAL		50	15.97		13	4.15		29	9.27					221	70.61		313	
	THIRD			7	53.85			Excluded		2	15.38					4	30.77		13	
		TOTAL		57	18.21					31	9.90					225	71.88		313	
	FOURTH			9	29.03						Excluded					22	70.97		31	
		TOTAL		66	21.09											247	78.91		313	
																Elected				
																				
Orroroo                                                        																				
	FIRST			82	16.63		13	2.64		12	2.43		11	2.23		375	76.06		493	
	SECOND			2	18.18		9	81.82		0	0.00			Excluded		0	0.00		11	
		TOTAL		84	17.04		22	4.46		12	2.43					375	76.06		493	
	THIRD			11	50.00			Excluded		2	9.09					9	40.91		22	
		TOTAL		95	19.27					14	2.84					384	77.89		493	
	FOURTH			5	35.71						Excluded					9	64.29		14	
		TOTAL		100	20.28											393	79.72		493	
																Elected				
																				
Peterborough                                                   																				
	FIRST			471	43.49		62	5.72		79	7.29		37	3.42		434	40.07		1083	
	SECOND			8	21.62		9	24.32		13	35.14			Excluded		7	18.92		37	
		TOTAL		479	44.23		71	6.56		92	8.49					441	40.72		1083	
	THIRD			41	57.75			Excluded		14	19.72					16	22.54		71	
		TOTAL		520	48.01					106	9.79					457	42.20		1083	
	FOURTH			62	58.49						Excluded					44	41.51		106	
		TOTAL		582	53.74											501	46.26		1083	
																Elected				
																				
Point Pass                                                     																				
	FIRST			14	13.08		8	7.48		25	23.36		3	2.80		57	53.27		107	
	SECOND			0	0.00		3	100.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		14	13.08		11	10.28		25	23.36					57	53.27		107	
	THIRD			2	18.18			Excluded		4	36.36					5	45.45		11	
		TOTAL		16	14.95					29	27.10					62	57.94		107	
	FOURTH			21	72.41						Excluded					8	27.59		29	
		TOTAL		37	34.58											70	65.42		107	
																Elected				
																				
Poochera                                                       																				
	FIRST			6	4.92		6	4.92		9	7.38		2	1.64		99	81.15		122	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		6	4.92		6	4.92		9	7.38					101	82.79		122	
	THIRD			3	50.00			Excluded		1	16.67					2	33.33		6	
		TOTAL		9	7.38					10	8.20					103	84.43		122	
	FOURTH			2	20.00						Excluded					8	80.00		10	
		TOTAL		11	9.02											111	90.98		122	
																Elected				
																				
Port Augusta Central                                           																				
	FIRST			420	38.11		34	3.09		80	7.26		27	2.45		541	49.09		1102	
	SECOND			4	14.81		11	40.74		9	33.33			Excluded		3	11.11		27	
		TOTAL		424	38.48		45	4.08		89	8.08					544	49.36		1102	
	THIRD			32	71.11			Excluded		6	13.33					7	15.56		45	
		TOTAL		456	41.38					95	8.62					551	50.00		1102	
	FOURTH			66	69.47						Excluded					29	30.53		95	
		TOTAL		522	47.37											580	52.63		1102	
																Elected				
																				
Port Augusta East                                              																				
	FIRST			798	41.76		50	2.62		177	9.26		43	2.25		843	44.11		1911	
	SECOND			11	25.58		12	27.91		11	25.58			Excluded		9	20.93		43	
		TOTAL		809	42.33		62	3.24		188	9.84					852	44.58		1911	
	THIRD			29	46.77			Excluded		17	27.42					16	25.81		62	
		TOTAL		838	43.85					205	10.73					868	45.42		1911	
	FOURTH			99	48.29						Excluded					106	51.71		205	
		TOTAL		937	49.03											974	50.97		1911	
																Elected				
																				
Port Augusta West                                              																				
	FIRST			705	39.14		112	6.22		180	9.99		44	2.44		760	42.20		1801	
	SECOND			8	18.18		14	31.82		11	25.00			Excluded		11	25.00		44	
		TOTAL		713	39.59		126	7.00		191	10.61					771	42.81		1801	
	THIRD			77	61.11			Excluded		16	12.70					33	26.19		126	
		TOTAL		790	43.86					207	11.49					804	44.64		1801	
	FOURTH			131	63.29						Excluded					76	36.71		207	
		TOTAL		921	51.14											880	48.86		1801	
																Elected				
																				
Port Broughton                                                 																				
	FIRST			267	27.41		31	3.18		40	4.11		15	1.54		621	63.76		974	
	SECOND			2	13.33		4	26.67		6	40.00			Excluded		3	20.00		15	
		TOTAL		269	27.62		35	3.59		46	4.72					624	64.07		974	
	THIRD			19	54.29			Excluded		6	17.14					10	28.57		35	
		TOTAL		288	29.57					52	5.34					634	65.09		974	
	FOURTH			25	48.08						Excluded					27	51.92		52	
		TOTAL		313	32.14											661	67.86		974	
																Elected				
																				
Port Germein                                                   																				
	FIRST			99	34.98		11	3.89		43	15.19		6	2.12		124	43.82		283	
	SECOND			0	0.00		6	100.00		0	0.00			Excluded		0	0.00		6	
		TOTAL		99	34.98		17	6.01		43	15.19					124	43.82		283	
	THIRD			11	64.71			Excluded		2	11.76					4	23.53		17	
		TOTAL		110	38.87					45	15.90					128	45.23		283	
	FOURTH			27	60.00						Excluded					18	40.00		45	
		TOTAL		137	48.41											146	51.59		283	
																Elected				
																				
Port Kenny                                                     																				
	FIRST			18	12.33		6	4.11		11	7.53		3	2.05		108	73.97		146	
	SECOND			1	33.33		2	66.67		0	0.00			Excluded		0	0.00		3	
		TOTAL		19	13.01		8	5.48		11	7.53					108	73.97		146	
	THIRD			0	0.00			Excluded		1	12.50					7	87.50		8	
		TOTAL		19	13.01					12	8.22					115	78.77		146	
	FOURTH			6	50.00						Excluded					6	50.00		12	
		TOTAL		25	17.12											121	82.88		146	
																Elected				
																				
Port Lincoln                                                   																				
	FIRST			715	25.68		170	6.11		164	5.89		90	3.23		1645	59.09		2784	
	SECOND			22	24.44		41	45.56		8	8.89			Excluded		19	21.11		90	
		TOTAL		737	26.47		211	7.58		172	6.18					1664	59.77		2784	
	THIRD			115	54.50			Excluded		27	12.80					69	32.70		211	
		TOTAL		852	30.60					199	7.15					1733	62.25		2784	
	FOURTH			83	41.71						Excluded					116	58.29		199	
		TOTAL		935	33.58											1849	66.42		2784	
																Elected				
																				
Port Lincoln Central                                           																				
	FIRST			417	18.48		70	3.10		95	4.21		51	2.26		1624	71.95		2257	
	SECOND			14	27.45		21	41.18		5	9.80			Excluded		11	21.57		51	
		TOTAL		431	19.10		91	4.03		100	4.43					1635	72.44		2257	
	THIRD			48	52.75			Excluded		12	13.19					31	34.07		91	
		TOTAL		479	21.22					112	4.96					1666	73.81		2257	
	FOURTH			46	41.07						Excluded					66	58.93		112	
		TOTAL		525	23.26											1732	76.74		2257	
																Elected				
																				
Port Lincoln South                                             																				
	FIRST			388	36.67		63	5.95		84	7.94		24	2.27		499	47.16		1058	
	SECOND			9	37.50		10	41.67		2	8.33			Excluded		3	12.50		24	
		TOTAL		397	37.52		73	6.90		86	8.13					502	47.45		1058	
	THIRD			44	60.27			Excluded		10	13.70					19	26.03		73	
		TOTAL		441	41.68					96	9.07					521	49.24		1058	
	FOURTH			56	58.33						Excluded					40	41.67		96	
		TOTAL		497	46.98											561	53.02		1058	
																Elected				
																				
Port Neill                                                     																				
	FIRST			25	12.14		5	2.43		6	2.91		2	0.97		168	81.55		206	
	SECOND			0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		25	12.14		6	2.91		7	3.40					168	81.55		206	
	THIRD			4	66.67			Excluded		0	0.00					2	33.33		6	
		TOTAL		29	14.08					7	3.40					170	82.52		206	
	FOURTH			2	28.57						Excluded					5	71.43		7	
		TOTAL		31	15.05											175	84.95		206	
																Elected				
																				
Port Pirie South                                               																				
	FIRST			188	40.17		17	3.63		23	4.91		6	1.28		234	50.00		468	
	SECOND			1	16.67		3	50.00		0	0.00			Excluded		2	33.33		6	
		TOTAL		189	40.38		20	4.27		23	4.91					236	50.43		468	
	THIRD			6	30.00			Excluded		7	35.00					7	35.00		20	
		TOTAL		195	41.67					30	6.41					243	51.92		468	
	FOURTH			14	46.67						Excluded					16	53.33		30	
		TOTAL		209	44.66											259	55.34		468	
																Elected				
																				
Port Pirie West                                                																				
	FIRST			1351	54.54		74	2.99		163	6.58		48	1.94		841	33.95		2477	
	SECOND			12	25.00		18	37.50		10	20.83			Excluded		8	16.67		48	
		TOTAL		1363	55.03		92	3.71		173	6.98					849	34.28		2477	
	THIRD			50	54.35			Excluded		21	22.83					21	22.83		92	
		TOTAL		1413	57.04					194	7.83					870	35.12		2477	
	FOURTH			133	68.56						Excluded					61	31.44		194	
		TOTAL		1546	62.41											931	37.59		2477	
																Elected				
																				
Quorn                                                          																				
	FIRST			182	25.14		33	4.56		53	7.32		19	2.62		437	60.36		724	
	SECOND			4	21.05		8	42.11		1	5.26			Excluded		6	31.58		19	
		TOTAL		186	25.69		41	5.66		54	7.46					443	61.19		724	
	THIRD			26	63.41			Excluded		5	12.20					10	24.39		41	
		TOTAL		212	29.28					59	8.15					453	62.57		724	
	FOURTH			23	38.98						Excluded					36	61.02		59	
		TOTAL		235	32.46											489	67.54		724	
																Elected				
																				
Redhill                                                        																				
	FIRST			36	17.65		8	3.92		14	6.86		4	1.96		142	69.61		204	
	SECOND			1	25.00		2	50.00		1	25.00			Excluded		0	0.00		4	
		TOTAL		37	18.14		10	4.90		15	7.35					142	69.61		204	
	THIRD			2	20.00			Excluded		4	40.00					4	40.00		10	
