House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Grey (85745)											
		Candidate		"O'NEILL, Con"		               	"WAKELIN, Barry"		             	Total	
		"HOLLAND, Sylvia (HAN)"	119	64	53.78		55	46.22		119	
		"MARTIN, Felicity (GRN)"	73	45	61.64		28	38.36		73	
		Total	346	701	29.15		1704	70.85		2405	

	Cleve										
			1st Prefs	53	7.63		642	92.37		695	
		"ROBERTSON, Gil John (DEM)"	8	3	37.50		5	62.50		8	
		"HOLLAND, Sylvia (HAN)"	25	7	28.00		18	72.00		25	
		"MARTIN, Felicity (GRN)"	6	1	16.67		5	83.33		6	
		Total	39	64	8.72		670	91.28		734	

	Coffin Bay										
			1st Prefs	69	21.56		251	78.44		320	
		"ROBERTSON, Gil John (DEM)"	12	7	58.33		5	41.67		12	
		"HOLLAND, Sylvia (HAN)"	15	7	46.67		8	53.33		15	
		"MARTIN, Felicity (GRN)"	18	9	50.00		9	50.00		18	
		Total	45	92	25.21		273	74.79		365	

	Coober Pedy										
			1st Prefs	396	51.63		371	48.37		767	
		"ROBERTSON, Gil John (DEM)"	74	54	72.97		20	27.03		74	
		"HOLLAND, Sylvia (HAN)"	122	72	59.02		50	40.98		122	
		"MARTIN, Felicity (GRN)"	21	13	61.90		8	38.10		21	
		Total	217	535	54.37		449	45.63		984	

	Cowell										
			1st Prefs	108	16.12		562	83.88		670	
		"ROBERTSON, Gil John (DEM)"	15	10	66.67		5	33.33		15	
		"HOLLAND, Sylvia (HAN)"	30	9	30.00		21	70.00		30	
		"MARTIN, Felicity (GRN)"	10	6	60.00		4	40.00		10	
		Total	55	133	18.34		592	81.66		725	

	Crystal Brook										
			1st Prefs	217	26.21		611	73.79		828	
		"ROBERTSON, Gil John (DEM)"	29	20	68.97		9	31.03		29	
		"HOLLAND, Sylvia (HAN)"	68	43	63.24		25	36.76		68	
		"MARTIN, Felicity (GRN)"	18	10	55.56		8	44.44		18	
		Total	115	290	30.75		653	69.25		943	

	Cummins										
			1st Prefs	82	10.78		679	89.22		761	
		"ROBERTSON, Gil John (DEM)"	16	4	25.00		12	75.00		16	
		"HOLLAND, Sylvia (HAN)"	38	14	36.84		24	63.16		38	
		"MARTIN, Felicity (GRN)"	11	3	27.27		8	72.73		11	
		Total	65	103	12.47		723	87.53		826	

	Darke Peak										
			1st Prefs	4	4.26		90	95.74		94	
		"ROBERTSON, Gil John (DEM)"	2	2	100.00		0	0.00		2	
		"HOLLAND, Sylvia (HAN)"	6	1	16.67		5	83.33		6	
		"MARTIN, Felicity (GRN)"	0	0	0.00		0	0.00		0	
		Total	8	7	6.86		95	93.14		102	

	Elliston										
			1st Prefs	45	23.32		148	76.68		193	
		"ROBERTSON, Gil John (DEM)"	17	13	76.47		4	23.53		17	
		"HOLLAND, Sylvia (HAN)"	7	2	28.57		5	71.43		7	
		"MARTIN, Felicity (GRN)"	19	13	68.42		6	31.58		19	
		Total	43	73	30.93		163	69.07		236	

	Eudunda										
			1st Prefs	93	17.99		424	82.01		517	
		"ROBERTSON, Gil John (DEM)"	61	34	55.74		27	44.26		61	
		"HOLLAND, Sylvia (HAN)"	137	89	64.96		48	35.04		137	
		"MARTIN, Felicity (GRN)"	19	13	68.42		6	31.58		19	
		Total	217	229	31.20		505	68.80		734	

	Farrell Flat										
			1st Prefs	21	16.54		106	83.46		127	
		"ROBERTSON, Gil John (DEM)"	8	6	75.00		2	25.00		8	
		"HOLLAND, Sylvia (HAN)"	15	5	33.33		10	66.67		15	
		"MARTIN, Felicity (GRN)"	3	1	33.33		2	66.67		3	
		Total	26	33	21.57		120	78.43		153	

	Georgetown										
			1st Prefs	44	33.33		88	66.67		132	
		"ROBERTSON, Gil John (DEM)"	5	4	80.00		1	20.00		5	
		"HOLLAND, Sylvia (HAN)"	9	6	66.67		3	33.33		9	
		"MARTIN, Felicity (GRN)"	1	1	100.00		0	0.00		1	
		Total	15	55	37.41		92	62.59		147	

	Gladstone										
			1st Prefs	169	42.78		226	57.22		395	
		"ROBERTSON, Gil John (DEM)"	12	8	66.67		4	33.33		12	
		"HOLLAND, Sylvia (HAN)"	38	23	60.53		15	39.47		38	
		"MARTIN, Felicity (GRN)"	6	4	66.67		2	33.33		6	
		Total	56	204	45.23		247	54.77		451	

	Hallett										
			1st Prefs	19	18.45		84	81.55		103	
		"ROBERTSON, Gil John (DEM)"	4	2	50.00		2	50.00		4	
		"HOLLAND, Sylvia (HAN)"	13	4	30.77		9	69.23		13	
		"MARTIN, Felicity (GRN)"	2	0	0.00		2	100.00		2	
		Total	19	25	20.49		97	79.51		122	

	Hawker										
			1st Prefs	59	27.83		153	72.17		212	
		"ROBERTSON, Gil John (DEM)"	13	8	61.54		5	38.46		13	
		"HOLLAND, Sylvia (HAN)"	14	5	35.71		9	64.29		14	
		"MARTIN, Felicity (GRN)"	7	6	85.71		1	14.29		7	
		Total	34	78	31.71		168	68.29		246	

	Iron Knob										
			1st Prefs	52	59.77		35	40.23		87	
		"ROBERTSON, Gil John (DEM)"	8	7	87.50		1	12.50		8	
		"HOLLAND, Sylvia (HAN)"	9	4	44.44		5	55.56		9	
		"MARTIN, Felicity (GRN)"	5	4	80.00		1	20.00		5	
		Total	22	67	61.47		42	38.53		109	

	Jamestown										
			1st Prefs	202	18.25		905	81.75		1107	
		"ROBERTSON, Gil John (DEM)"	52	28	53.85		24	46.15		52	
		"HOLLAND, Sylvia (HAN)"	50	21	42.00		29	58.00		50	
		"MARTIN, Felicity (GRN)"	29	17	58.62		12	41.38		29	
		Total	131	268	21.65		970	78.35		1238	

	Karkoo										
			1st Prefs	0	0.00		70	100.00		70	
		"ROBERTSON, Gil John (DEM)"	1	0	0.00		1	100.00		1	
		"HOLLAND, Sylvia (HAN)"	2	0	0.00		2	100.00		2	
		"MARTIN, Felicity (GRN)"	0	0	0.00		0	0.00		0	
		Total	3	0	0.00		73	100.00		73	

	Kimba										
			1st Prefs	58	8.81		600	91.19		658	
		"ROBERTSON, Gil John (DEM)"	14	10	71.43		4	28.57		14	
		"HOLLAND, Sylvia (HAN)"	47	18	38.30		29	61.70		47	
		"MARTIN, Felicity (GRN)"	6	2	33.33		4	66.67		6	
		Total	67	88	12.14		637	87.86		725	

	Kirton Point										
			1st Prefs	485	36.94		828	63.06		1313	
		"ROBERTSON, Gil John (DEM)"	78	60	76.92		18	23.08		78	
		"HOLLAND, Sylvia (HAN)"	98	42	42.86		56	57.14		98	
		"MARTIN, Felicity (GRN)"	50	32	64.00		18	36.00		50	
		Total	226	619	40.22		920	59.78		1539	

	Laura										
			1st Prefs	88	22.17		309	77.83		397	
		"ROBERTSON, Gil John (DEM)"	34	20	58.82		14	41.18		34	
		"HOLLAND, Sylvia (HAN)"	33	12	36.36		21	63.64		33	
		"MARTIN, Felicity (GRN)"	21	14	66.67		7	33.33		21	
		Total	88	134	27.63		351	72.37		485	

	Leigh Creek										
			1st Prefs	127	42.62		171	57.38		298	
		"ROBERTSON, Gil John (DEM)"	20	14	70.00		6	30.00		20	
		"HOLLAND, Sylvia (HAN)"	27	14	51.85		13	48.15		27	
		"MARTIN, Felicity (GRN)"	13	7	53.85		6	46.15		13	
		Total	60	162	45.25		196	54.75		358	

	Lochiel										
			1st Prefs	18	19.35		75	80.65		93	
		"ROBERTSON, Gil John (DEM)"	2	1	50.00		1	50.00		2	
		"HOLLAND, Sylvia (HAN)"	3	1	33.33		2	66.67		3	
		"MARTIN, Felicity (GRN)"	2	2	100.00		0	0.00		2	
		Total	7	22	22.00		78	78.00		100	

	Lock										
			1st Prefs	24	8.99		243	91.01		267	
		"ROBERTSON, Gil John (DEM)"	6	2	33.33		4	66.67		6	
		"HOLLAND, Sylvia (HAN)"	18	1	5.56		17	94.44		18	
		"MARTIN, Felicity (GRN)"	4	0	0.00		4	100.00		4	
		Total	28	27	9.15		268	90.85		295	

	Manoora										
			1st Prefs	32	18.60		140	81.40		172	
		"ROBERTSON, Gil John (DEM)"	7	4	57.14		3	42.86		7	
		"HOLLAND, Sylvia (HAN)"	14	7	50.00		7	50.00		14	
		"MARTIN, Felicity (GRN)"	3	0	0.00		3	100.00		3	
		Total	24	43	21.94		153	78.06		196	

	Marrabel										
			1st Prefs	15	16.30		77	83.70		92	
		"ROBERTSON, Gil John (DEM)"	6	4	66.67		2	33.33		6	
		"HOLLAND, Sylvia (HAN)"	12	3	25.00		9	75.00		12	
		"MARTIN, Felicity (GRN)"	2	1	50.00		1	50.00		2	
		Total	20	23	20.54		89	79.46		112	

	Melrose										
			1st Prefs	36	18.18		162	81.82		198	
		"ROBERTSON, Gil John (DEM)"	7	3	42.86		4	57.14		7	
		"HOLLAND, Sylvia (HAN)"	16	4	25.00		12	75.00		16	
		"MARTIN, Felicity (GRN)"	6	5	83.33		1	16.67		6	
		Total	29	48	21.15		179	78.85		227	

	Minnipa										
			1st Prefs	18	13.24		118	86.76		136	
		"ROBERTSON, Gil John (DEM)"	6	2	33.33		4	66.67		6	
		"HOLLAND, Sylvia (HAN)"	22	11	50.00		11	50.00		22	
		"MARTIN, Felicity (GRN)"	2	0	0.00		2	100.00		2	
		Total	30	31	18.67		135	81.33		166	

	Napperby										
			1st Prefs	166	44.50		207	55.50		373	
		"ROBERTSON, Gil John (DEM)"	19	13	68.42		6	31.58		19	
		"HOLLAND, Sylvia (HAN)"	24	15	62.50		9	37.50		24	
		"MARTIN, Felicity (GRN)"	7	5	71.43		2	28.57		7	
		Total	50	199	47.04		224	52.96		423	

	North Shields										
			1st Prefs	48	17.91		220	82.09		268	
		"ROBERTSON, Gil John (DEM)"	11	7	63.64		4	36.36		11	
		"HOLLAND, Sylvia (HAN)"	29	8	27.59		21	72.41		29	
		"MARTIN, Felicity (GRN)"	5	3	60.00		2	40.00		5	
		Total	45	66	21.09		247	78.91		313	

	Orroroo										
			1st Prefs	82	17.94		375	82.06		457	
		"ROBERTSON, Gil John (DEM)"	13	6	46.15		7	53.85		13	
		"HOLLAND, Sylvia (HAN)"	12	3	25.00		9	75.00		12	
		"MARTIN, Felicity (GRN)"	11	9	81.82		2	18.18		11	
		Total	36	100	20.28		393	79.72		493	

	Peterborough										
			1st Prefs	471	52.04		434	47.96		905	
		"ROBERTSON, Gil John (DEM)"	62	44	70.97		18	29.03		62	
		"HOLLAND, Sylvia (HAN)"	79	47	59.49		32	40.51		79	
		"MARTIN, Felicity (GRN)"	37	20	54.05		17	45.95		37	
		Total	178	582	53.74		501	46.26		1083	

	Point Pass										
			1st Prefs	14	19.72		57	80.28		71	
		"ROBERTSON, Gil John (DEM)"	8	3	37.50		5	62.50		8	
		"HOLLAND, Sylvia (HAN)"	25	19	76.00		6	24.00		25	
		"MARTIN, Felicity (GRN)"	3	1	33.33		2	66.67		3	
		Total	36	37	34.58		70	65.42		107	

	Poochera										
			1st Prefs	6	5.71		99	94.29		105	
		"ROBERTSON, Gil John (DEM)"	6	3	50.00		3	50.00		6	
		"HOLLAND, Sylvia (HAN)"	9	2	22.22		7	77.78		9	
		"MARTIN, Felicity (GRN)"	2	0	0.00		2	100.00		2	
		Total	17	11	9.02		111	90.98		122	

	Port Augusta Central										
			1st Prefs	420	43.70		541	56.30		961	
		"ROBERTSON, Gil John (DEM)"	34	27	79.41		7	20.59		34	
		"HOLLAND, Sylvia (HAN)"	80	55	68.75		25	31.25		80	
		"MARTIN, Felicity (GRN)"	27	20	74.07		7	25.93		27	
		Total	141	522	47.37		580	52.63		1102	

	Port Augusta East										
			1st Prefs	798	48.63		843	51.37		1641	
		"ROBERTSON, Gil John (DEM)"	50	29	58.00		21	42.00		50	
		"HOLLAND, Sylvia (HAN)"	177	85	48.02		92	51.98		177	
		"MARTIN, Felicity (GRN)"	43	25	58.14		18	41.86		43	
		Total	270	937	49.03		974	50.97		1911	

	Port Augusta West										
			1st Prefs	705	48.12		760	51.88		1465	
		"ROBERTSON, Gil John (DEM)"	112	77	68.75		35	31.25		112	
		"HOLLAND, Sylvia (HAN)"	180	110	61.11		70	38.89		180	
		"MARTIN, Felicity (GRN)"	44	29	65.91		15	34.09		44	
		Total	336	921	51.14		880	48.86		1801	

	Port Broughton										
			1st Prefs	267	30.07		621	69.93		888	
		"ROBERTSON, Gil John (DEM)"	31	19	61.29		12	38.71		31	
		"HOLLAND, Sylvia (HAN)"	40	17	42.50		23	57.50		40	
		"MARTIN, Felicity (GRN)"	15	10	66.67		5	33.33		15	
		Total	86	313	32.14		661	67.86		974	

	Port Germein										
			1st Prefs	99	44.39		124	55.61		223	
		"ROBERTSON, Gil John (DEM)"	11	6	54.55		5	45.45		11	
		"HOLLAND, Sylvia (HAN)"	43	27	62.79		16	37.21		43	
		"MARTIN, Felicity (GRN)"	6	5	83.33		1	16.67		6	
		Total	60	137	48.41		146	51.59		283	

	Port Kenny										
			1st Prefs	18	14.29		108	85.71		126	
		"ROBERTSON, Gil John (DEM)"	6	1	16.67		5	83.33		6	
		"HOLLAND, Sylvia (HAN)"	11	5	45.45		6	54.55		11	
		"MARTIN, Felicity (GRN)"	3	1	33.33		2	66.67		3	
		Total	20	25	17.12		121	82.88		146	

	Port Lincoln										
			1st Prefs	715	30.30		1645	69.70		2360	
		"ROBERTSON, Gil John (DEM)"	170	101	59.41		69	40.59		170	
		"HOLLAND, Sylvia (HAN)"	164	63	38.41		101	61.59		164	
		"MARTIN, Felicity (GRN)"	90	56	62.22		34	37.78		90	
		Total	424	935	33.58		1849	66.42		2784	

	Port Lincoln Central										
			1st Prefs	417	20.43		1624	79.57		2041	
		"ROBERTSON, Gil John (DEM)"	70	41	58.57		29	41.43		70	
		"HOLLAND, Sylvia (HAN)"	95	34	35.79		61	64.21		95	
		"MARTIN, Felicity (GRN)"	51	33	64.71		18	35.29		51	
		Total	216	525	23.26		1732	76.74		2257	

	Port Lincoln South										
			1st Prefs	388	43.74		499	56.26		887	
		"ROBERTSON, Gil John (DEM)"	63	42	66.67		21	33.33		63	
		"HOLLAND, Sylvia (HAN)"	84	48	57.14		36	42.86		84	
		"MARTIN, Felicity (GRN)"	24	19	79.17		5	20.83		24	
		Total	171	497	46.98		561	53.02		1058	

	Port Neill										
			1st Prefs	25	12.95		168	87.05		193	
		"ROBERTSON, Gil John (DEM)"	5	4	80.00		1	20.00		5	
		"HOLLAND, Sylvia (HAN)"	6	2	33.33		4	66.67		6	
		"MARTIN, Felicity (GRN)"	2	0	0.00		2	100.00		2	
		Total	13	31	15.05		175	84.95		206	

	Port Pirie South										
			1st Prefs	188	44.55		234	55.45		422	
		"ROBERTSON, Gil John (DEM)"	17	7	41.18		10	58.82		17	
		"HOLLAND, Sylvia (HAN)"	23	12	52.17		11	47.83		23	
		"MARTIN, Felicity (GRN)"	6	2	33.33		4	66.67		6	
		Total	46	209	44.66		259	55.34		468	

	Port Pirie West										
			1st Prefs	1351	61.63		841	38.37		2192	
		"ROBERTSON, Gil John (DEM)"	74	50	67.57		24	32.43		74	
		"HOLLAND, Sylvia (HAN)"	163	111	68.10		52	31.90		163	
		"MARTIN, Felicity (GRN)"	48	34	70.83		14	29.17		48	
		Total	285	1546	62.41		931	37.59		2477	

	Quorn										
			1st Prefs	182	29.40		437	70.60		619	
		"ROBERTSON, Gil John (DEM)"	33	22	66.67		11	33.33		33	
		"HOLLAND, Sylvia (HAN)"	53	19	35.85		34	64.15		53	
		"MARTIN, Felicity (GRN)"	19	12	63.16		7	36.84		19	
		Total	105	235	32.46		489	67.54		724	

	Redhill										
			1st Prefs	36	20.22		142	79.78		178	
		"ROBERTSON, Gil John (DEM)"	8	4	50.00		4	50.00		8	
		"HOLLAND, Sylvia (HAN)"	14	8	57.14		6	42.86		14	
		"MARTIN, Felicity (GRN)"	4	3	75.00		1	25.00		4	
		Total	26	51	25.00		153	75.00		204	

	Risdon Park East										
			1st Prefs	1127	47.02		1270	52.98		2397	
		"ROBERTSON, Gil John (DEM)"	83	57	68.67		26	31.33		83	
		"HOLLAND, Sylvia (HAN)"	120	65	54.17		55	45.83		120	
		"MARTIN, Felicity (GRN)"	39	29	74.36		10	25.64		39	
		Total	242	1278	48.43		1361	51.57		2639	

	Risdon Park South										
			1st Prefs	481	55.74		382	44.26		863	
		"ROBERTSON, Gil John (DEM)"	24	17	70.83		7	29.17		24	
		"HOLLAND, Sylvia (HAN)"	30	18	60.00		12	40.00		30	
		"MARTIN, Felicity (GRN)"	22	12	54.55		10	45.45		22	
		Total	76	528	56.23		411	43.77		939	

	Riverton										
			1st Prefs	109	22.24		381	77.76		490	
		"ROBERTSON, Gil John (DEM)"	42	23	54.76		19	45.24		42	
		"HOLLAND, Sylvia (HAN)"	60	25	41.67		35	58.33		60	
		"MARTIN, Felicity (GRN)"	11	6	54.55		5	45.45		11	
		Total	113	163	27.03		440	72.97		603	

	Robertstown										
			1st Prefs	45	27.61		118	72.39		163	
		"ROBERTSON, Gil John (DEM)"	11	6	54.55		5	45.45		11	
		"HOLLAND, Sylvia (HAN)"	62	37	59.68		25	40.32		62	
		"MARTIN, Felicity (GRN)"	4	4	100.00		0	0.00		4	
		Total	77	92	38.33		148	61.67		240	

	Roxby Downs										
			1st Prefs	340	28.72		844	71.28		1184	
		"ROBERTSON, Gil John (DEM)"	72	36	50.00		36	50.00		72	
		"HOLLAND, Sylvia (HAN)"	101	65	64.36		36	35.64		101	
		"MARTIN, Felicity (GRN)"	30	17	56.67		13	43.33		30	
		Total	203	458	33.02		929	66.98		1387	

	Saddleworth										
			1st Prefs	64	24.06		202	75.94		266	
		"ROBERTSON, Gil John (DEM)"	23	7	30.43		16	69.57		23	
		"HOLLAND, Sylvia (HAN)"	42	20	47.62		22	52.38		42	
		"MARTIN, Felicity (GRN)"	9	8	88.89		1	11.11		9	
		Total	74	99	29.12		241	70.88		340	

	Smoky Bay										
			1st Prefs	14	10.61		118	89.39		132	
		"ROBERTSON, Gil John (DEM)"	5	2	40.00		3	60.00		5	
		"HOLLAND, Sylvia (HAN)"	19	2	10.53		17	89.47		19	
		"MARTIN, Felicity (GRN)"	3	1	33.33		2	66.67		3	
		Total	27	19	11.95		140	88.05		159	

	Snowtown										
			1st Prefs	80	23.60		259	76.40		339	
		"ROBERTSON, Gil John (DEM)"	10	6	60.00		4	40.00		10	
		"HOLLAND, Sylvia (HAN)"	21	12	57.14		9	42.86		21	
		"MARTIN, Felicity (GRN)"	5	4	80.00		1	20.00		5	
		Total	36	102	27.20		273	72.80		375	

	Solomontown										
			1st Prefs	872	60.14		578	39.86		1450	
		"ROBERTSON, Gil John (DEM)"	41	28	68.29		13	31.71		41	
		"HOLLAND, Sylvia (HAN)"	94	51	54.26		43	45.74		94	
		"MARTIN, Felicity (GRN)"	27	20	74.07		7	25.93		27	
		Total	162	971	60.24		641	39.76		1612	

	Spalding										
			1st Prefs	59	24.69		180	75.31		239	
		"ROBERTSON, Gil John (DEM)"	5	2	40.00		3	60.00		5	
		"HOLLAND, Sylvia (HAN)"	9	4	44.44		5	55.56		9	
		"MARTIN, Felicity (GRN)"	3	2	66.67		1	33.33		3	
		Total	17	67	26.17		189	73.83		256	

	Stirling North										
			1st Prefs	322	45.35		388	54.65		710	
		"ROBERTSON, Gil John (DEM)"	41	25	60.98		16	39.02		41	
		"HOLLAND, Sylvia (HAN)"	130	90	69.23		40	30.77		130	
		"MARTIN, Felicity (GRN)"	16	9	56.25		7	43.75		16	
		Total	187	446	49.72		451	50.28		897	

	Streaky Bay										
			1st Prefs	98	15.68		527	84.32		625	
		"ROBERTSON, Gil John (DEM)"	36	24	66.67		12	33.33		36	
		"HOLLAND, Sylvia (HAN)"	72	24	33.33		48	66.67		72	
		"MARTIN, Felicity (GRN)"	36	24	66.67		12	33.33		36	
		Total	144	170	22.11		599	77.89		769	

	Tarlee										
			1st Prefs	29	14.87		166	85.13		195	
		"ROBERTSON, Gil John (DEM)"	25	11	44.00		14	56.00		25	
		"HOLLAND, Sylvia (HAN)"	27	9	33.33		18	66.67		27	
		"MARTIN, Felicity (GRN)"	4	1	25.00		3	75.00		4	
		Total	56	50	19.92		201	80.08		251	

	Terowie										
			1st Prefs	24	33.80		47	66.20		71	
		"ROBERTSON, Gil John (DEM)"	5	5	100.00		0	0.00		5	
		"HOLLAND, Sylvia (HAN)"	13	6	46.15		7	53.85		13	
		"MARTIN, Felicity (GRN)"	4	4	100.00		0	0.00		4	
		Total	22	39	41.94		54	58.06		93	

	Tumby Bay										
			1st Prefs	130	13.82		811	86.18		941	
		"ROBERTSON, Gil John (DEM)"	25	12	48.00		13	52.00		25	
		"HOLLAND, Sylvia (HAN)"	75	34	45.33		41	54.67		75	
		"MARTIN, Felicity (GRN)"	19	7	36.84		12	63.16		19	
		Total	119	183	17.26		877	82.74		1060	

	Ungarra										
			1st Prefs	19	13.97		117	86.03		136	
		"ROBERTSON, Gil John (DEM)"	2	1	50.00		1	50.00		2	
		"HOLLAND, Sylvia (HAN)"	13	1	7.69		12	92.31		13	
		"MARTIN, Felicity (GRN)"	1	1	100.00		0	0.00		1	
		Total	16	22	14.47		130	85.53		152	

	Wangary										
			1st Prefs	38	19.19		160	80.81		198	
		"ROBERTSON, Gil John (DEM)"	10	9	90.00		1	10.00		10	
		"HOLLAND, Sylvia (HAN)"	17	6	35.29		11	64.71		17	
		"MARTIN, Felicity (GRN)"	14	12	85.71		2	14.29		14	
		Total	41	65	27.20		174	72.80		239	

	Warramboo										
			1st Prefs	3	2.59		113	97.41		116	
		"ROBERTSON, Gil John (DEM)"	0	0	0.00		0	0.00		0	
		"HOLLAND, Sylvia (HAN)"	12	2	16.67		10	83.33		12	
		"MARTIN, Felicity (GRN)"	2	2	100.00		0	0.00		2	
		Total	14	7	5.38		123	94.62		130	

	Watervale										
			1st Prefs	66	29.33		159	70.67		225	
		"ROBERTSON, Gil John (DEM)"	24	16	66.67		8	33.33		24	
		"HOLLAND, Sylvia (HAN)"	15	5	33.33		10	66.67		15	
		"MARTIN, Felicity (GRN)"	11	8	72.73		3	27.27		11	
		Total	50	95	34.55		180	65.45		275	

	Whyalla Central East										
			1st Prefs	356	42.69		478	57.31		834	
		"ROBERTSON, Gil John (DEM)"	57	30	52.63		27	47.37		57	
		"HOLLAND, Sylvia (HAN)"	43	19	44.19		24	55.81		43	
		"MARTIN, Felicity (GRN)"	15	11	73.33		4	26.67		15	
		Total	115	416	43.84		533	56.16		949	

	Whyalla Central West										
			1st Prefs	714	47.44		791	52.56		1505	
		"ROBERTSON, Gil John (DEM)"	126	79	62.70		47	37.30		126	
		"HOLLAND, Sylvia (HAN)"	82	39	47.56		43	52.44		82	
		"MARTIN, Felicity (GRN)"	40	27	67.50		13	32.50		40	
		Total	248	859	49.00		894	51.00		1753	

	Whyalla Norrie East										
			1st Prefs	709	48.56		751	51.44		1460	
		"ROBERTSON, Gil John (DEM)"	130	92	70.77		38	29.23		130	
		"HOLLAND, Sylvia (HAN)"	95	51	53.68		44	46.32		95	
		"MARTIN, Felicity (GRN)"	46	36	78.26		10	21.74		46	
		Total	271	888	51.30		843	48.70		1731	

	Whyalla Norrie North										
			1st Prefs	689	56.71		526	43.29		1215	
		"ROBERTSON, Gil John (DEM)"	85	58	68.24		27	31.76		85	
		"HOLLAND, Sylvia (HAN)"	83	58	69.88		25	30.12		83	
		"MARTIN, Felicity (GRN)"	36	26	72.22		10	27.78		36	
		Total	204	831	58.56		588	41.44		1419	

	Whyalla Norrie North-West										
			1st Prefs	477	59.85		320	40.15		797	
		"ROBERTSON, Gil John (DEM)"	66	49	74.24		17	25.76		66	
		"HOLLAND, Sylvia (HAN)"	52	33	63.46		19	36.54		52	
		"MARTIN, Felicity (GRN)"	25	18	72.00		7	28.00		25	
		Total	143	577	61.38		363	38.62		940	

	Whyalla Norrie South										
			1st Prefs	696	58.54		493	41.46		1189	
		"ROBERTSON, Gil John (DEM)"	112	71	63.39		41	36.61		112	
		"HOLLAND, Sylvia (HAN)"	64	35	54.69		29	45.31		64	
		"MARTIN, Felicity (GRN)"	30	22	73.33		8	26.67		30	
		Total	206	824	59.07		571	40.93		1395	

	Whyalla Stuart South										
			1st Prefs	997	63.58		571	36.42		1568	
		"ROBERTSON, Gil John (DEM)"	96	75	78.13		21	21.88		96	
		"HOLLAND, Sylvia (HAN)"	99	69	69.70		30	30.30		99	
