Senate - 2001 Election															
First Preference Votes by Candidate															
By Vote Type by Division															
															

South Australia															

Adelaide (86538)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
		Group Total	ALP	17905	25.13	918	21.64	285	33.73	777	27.48	518	17.07	20403	24.82
B		TICKET VOTES	GRN	1652	2.32	142	3.35	53	6.27	95	3.36	47	1.55	1989	2.42
		"FAEHRMANN, Cate"	GRN	424	0.60	35	0.82	4	0.47	9	0.32	20	0.66	492	0.60
		"DOUGLAS, Jim"	GRN	20	0.03	3	0.07	0	0.00	2	0.07	4	0.13	29	0.04
		Group Total	GRN	2096	2.94	180	4.24	57	6.75	106	3.75	71	2.34	2510	3.05
C		TICKET VOTES	HAN	4130	5.80	200	4.71	63	7.46	160	5.66	158	5.21	4711	5.73
		"RUSSELL-TAYLOR, Neil"	HAN	622	0.87	29	0.68	1	0.12	27	0.95	49	1.62	728	0.89
		"GIBSON, Colin"	HAN	17	0.02	1	0.02	4	0.47	0	0.00	7	0.23	29	0.04
		Group Total	HAN	4769	6.69	230	5.42	68	8.05	187	6.61	214	7.05	5468	6.65
D		TICKET VOTES		73	0.10	5	0.12	1	0.12	4	0.14	2	0.07	85	0.10
		"NEWNAM, Kathy"		12	0.02	1	0.02	0	0.00	1	0.04	0	0.00	14	0.02
		"LINES, Lisa"		5	0.01	2	0.05	0	0.00	0	0.00	0	0.00	7	0.01
		Group Total		90	0.13	8	0.19	1	0.12	5	0.18	2	0.07	106	0.13
E		TICKET VOTES	LP	38632	54.23	2182	51.43	351	41.54	1399	49.47	1809	59.62	44373	53.99
		"HILL, Robert"	LP	1196	1.68	92	2.17	6	0.71	43	1.52	106	3.49	1443	1.76
		"FERRIS, Jeannie"	LP	84	0.12	3	0.07	1	0.12	4	0.14	15	0.49	107	0.13
		"CHAPMAN, Grant"	LP	78	0.11	5	0.12	0	0.00	7	0.25	19	0.63	109	0.13
		"LENSINK, Michelle"	LP	47	0.07	4	0.09	1	0.12	5	0.18	6	0.20	63	0.08
		Group Total	LP	40037	56.20	2286	53.88	359	42.49	1458	51.56	1955	64.44	46095	56.08
F		TICKET VOTES		28	0.04	6	0.14	1	0.12	1	0.04	0	0.00	36	0.04
		"ALDRIDGE, Mark"		21	0.03	0	0.00	0	0.00	0	0.00	0	0.00	21	0.03
		"ALDRIDGE, Helen"		3	0.00	1	0.02	0	0.00	0	0.00	0	0.00	4	0.00
		Group Total		52	0.07	7	0.16	1	0.12	1	0.04	0	0.00	61	0.07
G		TICKET VOTES		27	0.04	0	0.00	0	0.00	0	0.00	0	0.00	27	0.03
		"HARTE, Kerry"		14	0.02	0	0.00	0	0.00	0	0.00	2	0.07	16	0.02
		"PHILLIPS, Colin"		5	0.01	0	0.00	0	0.00	0	0.00	1	0.03	6	0.01
		Group Total		46	0.06	0	0.00	0	0.00	0	0.00	3	0.10	49	0.06
H		TICKET VOTES	RPA	140	0.20	15	0.35	2	0.24	11	0.39	6	0.20	174	0.21
		"CROZIER, Patrick"	RPA	29	0.04	0	0.00	0	0.00	1	0.04	2	0.07	32	0.04
		"EASSON, Robert"	RPA	1	0.00	0	0.00	0	0.00	0	0.00	1	0.03	2	0.00
		Group Total	RPA	170	0.24	15	0.35	2	0.24	12	0.42	9	0.30	208	0.25
I		TICKET VOTES	DEM	5032	7.06	483	11.38	67	7.93	233	8.24	188	6.20	6003	7.30
		"STOTT DESPOJA, Natasha"	DEM	923	1.30	105	2.47	3	0.36	43	1.52	61	2.01	1135	1.38
		"HEATH, Jeff"	DEM	23	0.03	3	0.07	1	0.12	4	0.14	1	0.03	32	0.04
		"PILLING, Michael"	DEM	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		"HASSAN, Haroon"	DEM	11	0.02	0	0.00	0	0.00	0	0.00	1	0.03	12	0.01
		Group Total	DEM	5990	8.41	591	13.93	71	8.40	280	9.90	251	8.27	7183	8.74
UNGROUPED															
		"FISHLOCK, Kym"	IND	51	0.07	4	0.09	0	0.00	1	0.04	4	0.13	60	0.07
		"BEHN, Ervyn C"	CEC	10	0.01	0	0.00	0	0.00	1	0.04	2	0.07	13	0.02
		"McSHANE, Nicholas"	IND	24	0.03	4	0.09	1	0.12	0	0.00	5	0.16	34	0.04
		Ungrouped Total		85	0.12	8	0.19	1	0.12	2	0.07	11	0.36	107	0.13
			FORMAL	71240	96.72	4243	98.56	845	97.46	2828	99.05	3034	98.80	82190	96.97
			INFORMAL	2418	3.28	62	1.44	22	2.54	27	0.95	37	1.20	2566	3.03
			TOTAL	73658	86.91	4305	5.08	867	1.02	2855	3.37	3071	3.62	84756	96.49



Bonython (85484)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ALP	31561	45.43	2054	40.63	381	53.74	835	40.79	843	42.64	35674	45.01
		"WONG, Penny"	ALP	697	1.00	51	1.01	8	1.13	27	1.32	18	0.91	801	1.01
		"KIRK, Linda"	ALP	139	0.20	6	0.12	2	0.28	7	0.34	4	0.20	158	0.20
		"SCHACHT, Chris"	ALP	311	0.45	13	0.26	2	0.28	5	0.24	13	0.66	344	0.43
		Group Total	ALP	32708	47.08	2124	42.01	393	55.43	874	42.70	878	44.41	36977	46.65
B		TICKET VOTES	GRN	1274	1.83	122	2.41	24	3.39	40	1.95	34	1.72	1494	1.88
		"FAEHRMANN, Cate"	GRN	227	0.33	16	0.32	3	0.42	7	0.34	8	0.40	261	0.33
		"DOUGLAS, Jim"	GRN	18	0.03	0	0.00	0	0.00	0	0.00	0	0.00	18	0.02
		Group Total	GRN	1519	2.19	138	2.73	27	3.81	47	2.30	42	2.12	1773	2.24
C		TICKET VOTES	HAN	3663	5.27	293	5.80	39	5.50	129	6.30	128	6.47	4252	5.36
		"RUSSELL-TAYLOR, Neil"	HAN	484	0.70	26	0.51	2	0.28	20	0.98	33	1.67	565	0.71
		"GIBSON, Colin"	HAN	27	0.04	1	0.02	0	0.00	1	0.05	2	0.10	31	0.04
		Group Total	HAN	4174	6.01	320	6.33	41	5.78	150	7.33	163	8.24	4848	6.12
D		TICKET VOTES		85	0.12	5	0.10	2	0.28	2	0.10	2	0.10	96	0.12
		"NEWNAM, Kathy"		9	0.01	1	0.02	0	0.00	0	0.00	0	0.00	10	0.01
		"LINES, Lisa"		9	0.01	0	0.00	0	0.00	0	0.00	0	0.00	9	0.01
		Group Total		103	0.15	6	0.12	2	0.28	2	0.10	2	0.10	115	0.15
E		TICKET VOTES	LP	21889	31.51	1681	33.25	167	23.55	714	34.88	649	32.83	25100	31.67
		"HILL, Robert"	LP	629	0.91	45	0.89	1	0.14	27	1.32	33	1.67	735	0.93
		"FERRIS, Jeannie"	LP	29	0.04	1	0.02	2	0.28	2	0.10	2	0.10	36	0.05
		"CHAPMAN, Grant"	LP	57	0.08	1	0.02	0	0.00	0	0.00	2	0.10	60	0.08
		"LENSINK, Michelle"	LP	21	0.03	4	0.08	0	0.00	0	0.00	0	0.00	25	0.03
		Group Total	LP	22625	32.57	1732	34.26	170	23.98	743	36.30	686	34.70	25956	32.75
F		TICKET VOTES		61	0.09	2	0.04	1	0.14	2	0.10	1	0.05	67	0.08
		"ALDRIDGE, Mark"		18	0.03	2	0.04	0	0.00	0	0.00	0	0.00	20	0.03
		"ALDRIDGE, Helen"		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total		79	0.11	4	0.08	1	0.14	2	0.10	1	0.05	87	0.11
G		TICKET VOTES		12	0.02	0	0.00	0	0.00	0	0.00	1	0.05	13	0.02
		"HARTE, Kerry"		5	0.01	0	0.00	0	0.00	1	0.05	0	0.00	6	0.01
		"PHILLIPS, Colin"		2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		Group Total		19	0.03	0	0.00	0	0.00	1	0.05	1	0.05	21	0.03
H		TICKET VOTES	RPA	137	0.20	14	0.28	1	0.14	8	0.39	11	0.56	171	0.22
		"CROZIER, Patrick"	RPA	22	0.03	3	0.06	0	0.00	0	0.00	1	0.05	26	0.03
		"EASSON, Robert"	RPA	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		Group Total	RPA	161	0.23	17	0.34	1	0.14	8	0.39	12	0.61	199	0.25
I		TICKET VOTES	DEM	7141	10.28	619	12.24	66	9.31	192	9.38	172	8.70	8190	10.33
		"STOTT DESPOJA, Natasha"	DEM	851	1.22	86	1.70	7	0.99	25	1.22	18	0.91	987	1.25
		"HEATH, Jeff"	DEM	14	0.02	0	0.00	0	0.00	0	0.00	0	0.00	14	0.02
		"PILLING, Michael"	DEM	2	0.00	5	0.10	0	0.00	1	0.05	0	0.00	8	0.01
		"HASSAN, Haroon"	DEM	7	0.01	1	0.02	0	0.00	0	0.00	1	0.05	9	0.01
		Group Total	DEM	8015	11.54	711	14.06	73	10.30	218	10.65	191	9.66	9208	11.62
UNGROUPED															
		"FISHLOCK, Kym"	IND	40	0.06	3	0.06	0	0.00	2	0.10	1	0.05	46	0.06
		"BEHN, Ervyn C"	CEC	7	0.01	1	0.02	0	0.00	0	0.00	0	0.00	8	0.01
		"McSHANE, Nicholas"	IND	20	0.03	0	0.00	1	0.14	0	0.00	0	0.00	21	0.03
		Ungrouped Total		67	0.10	4	0.08	1	0.14	2	0.10	1	0.05	75	0.09
			FORMAL	69470	96.41	5056	98.06	709	98.06	2047	98.60	1977	98.65	79259	96.63
			INFORMAL	2590	3.59	100	1.94	14	1.94	29	1.40	27	1.35	2760	3.37
			TOTAL	72060	87.86	5156	6.29	723	0.88	2076	2.53	2004	2.44	82019	95.95



Boothby (89617)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ALP	17416	24.28	1312	25.08	164	30.20	784	22.72	689	22.74	20365	24.24
		"WONG, Penny"	ALP	1045	1.46	64	1.22	14	2.58	41	1.19	34	1.12	1198	1.43
		"KIRK, Linda"	ALP	106	0.15	10	0.19	0	0.00	4	0.12	1	0.03	121	0.14
		"SCHACHT, Chris"	ALP	498	0.69	24	0.46	0	0.00	17	0.49	28	0.92	567	0.68
		Group Total	ALP	19065	26.57	1410	26.95	178	32.78	846	24.51	752	24.82	22251	26.49
B		TICKET VOTES	GRN	1806	2.52	201	3.84	25	4.60	103	2.98	40	1.32	2175	2.59
		"FAEHRMANN, Cate"	GRN	874	1.22	74	1.41	4	0.74	37	1.07	26	0.86	1015	1.21
		"DOUGLAS, Jim"	GRN	66	0.09	5	0.10	0	0.00	1	0.03	3	0.10	75	0.09
		Group Total	GRN	2746	3.83	280	5.35	29	5.34	141	4.09	69	2.28	3265	3.89
C		TICKET VOTES	HAN	1697	2.37	101	1.93	17	3.13	88	2.55	78	2.57	1981	2.36
		"RUSSELL-TAYLOR, Neil"	HAN	420	0.59	18	0.34	2	0.37	18	0.52	25	0.83	483	0.58
		"GIBSON, Colin"	HAN	27	0.04	2	0.04	0	0.00	2	0.06	1	0.03	32	0.04
		Group Total	HAN	2144	2.99	121	2.31	19	3.50	108	3.13	104	3.43	2496	2.97
D		TICKET VOTES		52	0.07	7	0.13	0	0.00	3	0.09	2	0.07	64	0.08
		"NEWNAM, Kathy"		29	0.04	1	0.02	0	0.00	2	0.06	0	0.00	32	0.04
		"LINES, Lisa"		9	0.01	2	0.04	0	0.00	0	0.00	0	0.00	11	0.01
		Group Total		90	0.13	10	0.19	0	0.00	5	0.14	2	0.07	107	0.13
E		TICKET VOTES	LP	32832	45.76	2237	42.76	192	35.36	1617	46.86	1635	53.96	38513	45.85
		"HILL, Robert"	LP	1402	1.95	74	1.41	2	0.37	50	1.45	84	2.77	1612	1.92
		"FERRIS, Jeannie"	LP	41	0.06	7	0.13	0	0.00	3	0.09	4	0.13	55	0.07
		"CHAPMAN, Grant"	LP	129	0.18	8	0.15	1	0.18	5	0.14	2	0.07	145	0.17
		"LENSINK, Michelle"	LP	65	0.09	7	0.13	1	0.18	2	0.06	4	0.13	79	0.09
		Group Total	LP	34469	48.04	2333	44.60	196	36.10	1677	48.59	1729	57.06	40404	48.10
F		TICKET VOTES		26	0.04	1	0.02	0	0.00	1	0.03	0	0.00	28	0.03
		"ALDRIDGE, Mark"		14	0.02	1	0.02	0	0.00	0	0.00	0	0.00	15	0.02
		"ALDRIDGE, Helen"		7	0.01	0	0.00	1	0.18	0	0.00	0	0.00	8	0.01
		Group Total		47	0.07	2	0.04	1	0.18	1	0.03	0	0.00	51	0.06
G		TICKET VOTES		12	0.02	1	0.02	2	0.37	0	0.00	1	0.03	16	0.02
		"HARTE, Kerry"		11	0.02	2	0.04	0	0.00	0	0.00	1	0.03	14	0.02
		"PHILLIPS, Colin"		8	0.01	0	0.00	0	0.00	0	0.00	0	0.00	8	0.01
		Group Total		31	0.04	3	0.06	2	0.37	0	0.00	2	0.07	38	0.05
H		TICKET VOTES	RPA	103	0.14	5	0.10	1	0.18	10	0.29	4	0.13	123	0.15
		"CROZIER, Patrick"	RPA	22	0.03	0	0.00	0	0.00	1	0.03	3	0.10	26	0.03
		"EASSON, Robert"	RPA	5	0.01	0	0.00	0	0.00	0	0.00	0	0.00	5	0.01
		Group Total	RPA	130	0.18	5	0.10	1	0.18	11	0.32	7	0.23	154	0.18
I		TICKET VOTES	DEM	9969	13.90	863	16.50	98	18.05	519	15.04	268	8.84	11717	13.95
		"STOTT DESPOJA, Natasha"	DEM	2863	3.99	183	3.50	19	3.50	135	3.91	87	2.87	3287	3.91
		"HEATH, Jeff"	DEM	63	0.09	4	0.08	0	0.00	2	0.06	8	0.26	77	0.09
		"PILLING, Michael"	DEM	17	0.02	4	0.08	0	0.00	1	0.03	0	0.00	22	0.03
		"HASSAN, Haroon"	DEM	27	0.04	2	0.04	0	0.00	2	0.06	0	0.00	31	0.04
		Group Total	DEM	12939	18.03	1056	20.19	117	21.55	659	19.10	363	11.98	15134	18.02
UNGROUPED															
		"FISHLOCK, Kym"	IND	54	0.08	6	0.11	0	0.00	2	0.06	1	0.03	63	0.08
		"BEHN, Ervyn C"	CEC	13	0.02	1	0.02	0	0.00	0	0.00	0	0.00	14	0.02
		"McSHANE, Nicholas"	IND	16	0.02	4	0.08	0	0.00	1	0.03	1	0.03	22	0.03
		Ungrouped Total		83	0.12	11	0.21	0	0.00	3	0.09	2	0.07	99	0.12
			FORMAL	71744	97.09	5231	98.70	543	97.66	3451	98.71	3030	99.12	83999	97.33
			INFORMAL	2149	2.91	69	1.30	13	2.34	45	1.29	27	0.88	2303	2.67
			TOTAL	73893	85.62	5300	6.14	556	0.64	3496	4.05	3057	3.54	86302	96.30



Grey (85745)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ALP	21553	31.81	1182	25.67	286	45.54	1023	33.81	542	17.29	24586	31.06
		"WONG, Penny"	ALP	569	0.84	55	1.19	2	0.32	32	1.06	26	0.83	684	0.86
		"KIRK, Linda"	ALP	59	0.09	8	0.17	0	0.00	3	0.10	3	0.10	73	0.09
		"SCHACHT, Chris"	ALP	345	0.51	26	0.56	4	0.64	20	0.66	13	0.41	408	0.52
		Group Total	ALP	22526	33.24	1271	27.61	292	46.50	1078	35.62	584	18.63	25751	32.53
B		TICKET VOTES	GRN	1224	1.81	125	2.72	17	2.71	57	1.88	40	1.28	1463	1.85
		"FAEHRMANN, Cate"	GRN	311	0.46	31	0.67	3	0.48	10	0.33	11	0.35	366	0.46
		"DOUGLAS, Jim"	GRN	22	0.03	3	0.07	0	0.00	1	0.03	0	0.00	26	0.03
		Group Total	GRN	1557	2.30	159	3.45	20	3.18	68	2.25	51	1.63	1855	2.34
C		TICKET VOTES	HAN	4001	5.90	253	5.50	42	6.69	235	7.77	172	5.49	4703	5.94
		"RUSSELL-TAYLOR, Neil"	HAN	662	0.98	38	0.83	2	0.32	27	0.89	58	1.85	787	0.99
		"GIBSON, Colin"	HAN	32	0.05	1	0.02	1	0.16	1	0.03	3	0.10	38	0.05
		Group Total	HAN	4695	6.93	292	6.34	45	7.17	263	8.69	233	7.43	5528	6.98
D		TICKET VOTES		52	0.08	5	0.11	1	0.16	0	0.00	0	0.00	58	0.07
		"NEWNAM, Kathy"		9	0.01	2	0.04	0	0.00	1	0.03	0	0.00	12	0.02
		"LINES, Lisa"		1	0.00	1	0.02	0	0.00	0	0.00	1	0.03	3	0.00
		Group Total		62	0.09	8	0.17	1	0.16	1	0.03	1	0.03	73	0.09
E		TICKET VOTES	LP	33098	48.84	2187	47.50	218	34.71	1320	43.62	1922	61.31	38745	48.95
		"HILL, Robert"	LP	1014	1.50	76	1.65	5	0.80	38	1.26	115	3.67	1248	1.58
		"FERRIS, Jeannie"	LP	43	0.06	7	0.15	0	0.00	1	0.03	12	0.38	63	0.08
		"CHAPMAN, Grant"	LP	69	0.10	12	0.26	3	0.48	2	0.07	7	0.22	93	0.12
		"LENSINK, Michelle"	LP	40	0.06	3	0.07	0	0.00	1	0.03	5	0.16	49	0.06
		Group Total	LP	34264	50.56	2285	49.63	226	35.99	1362	45.01	2061	65.74	40198	50.78
F		TICKET VOTES		33	0.05	2	0.04	0	0.00	1	0.03	4	0.13	40	0.05
		"ALDRIDGE, Mark"		10	0.01	0	0.00	0	0.00	1	0.03	0	0.00	11	0.01
		"ALDRIDGE, Helen"		7	0.01	1	0.02	0	0.00	0	0.00	0	0.00	8	0.01
		Group Total		50	0.07	3	0.07	0	0.00	2	0.07	4	0.13	59	0.07
G		TICKET VOTES		13	0.02	0	0.00	0	0.00	3	0.10	1	0.03	17	0.02
		"HARTE, Kerry"		11	0.02	1	0.02	0	0.00	0	0.00	0	0.00	12	0.02
		"PHILLIPS, Colin"		7	0.01	0	0.00	0	0.00	0	0.00	1	0.03	8	0.01
		Group Total		31	0.05	1	0.02	0	0.00	3	0.10	2	0.06	37	0.05
H		TICKET VOTES	RPA	108	0.16	9	0.20	2	0.32	12	0.40	3	0.10	134	0.17
		"CROZIER, Patrick"	RPA	18	0.03	2	0.04	0	0.00	0	0.00	1	0.03	21	0.03
		"EASSON, Robert"	RPA	1	0.00	0	0.00	0	0.00	1	0.03	0	0.00	2	0.00
		Group Total	RPA	127	0.19	11	0.24	2	0.32	13	0.43	4	0.13	157	0.20
I		TICKET VOTES	DEM	3559	5.25	448	9.73	33	5.25	197	6.51	149	4.75	4386	5.54
		"STOTT DESPOJA, Natasha"	DEM	810	1.20	118	2.56	7	1.11	36	1.19	38	1.21	1009	1.27
		"HEATH, Jeff"	DEM	12	0.02	2	0.04	0	0.00	0	0.00	1	0.03	15	0.02
		"PILLING, Michael"	DEM	3	0.00	0	0.00	0	0.00	0	0.00	1	0.03	4	0.01
		"HASSAN, Haroon"	DEM	2	0.00	0	0.00	0	0.00	0	0.00	1	0.03	3	0.00
		Group Total	DEM	4386	6.47	568	12.34	40	6.37	233	7.70	190	6.06	5417	6.84
UNGROUPED															
		"FISHLOCK, Kym"	IND	36	0.05	4	0.09	1	0.16	1	0.03	1	0.03	43	0.05
		"BEHN, Ervyn C"	CEC	10	0.01	0	0.00	0	0.00	0	0.00	3	0.10	13	0.02
		"McSHANE, Nicholas"	IND	19	0.03	2	0.04	1	0.16	2	0.07	1	0.03	25	0.03
		Ungrouped Total		65	0.10	6	0.13	2	0.32	3	0.10	5	0.16	81	0.10
			FORMAL	67763	96.99	4604	98.40	628	97.82	3026	98.86	3135	99.33	79156	97.24
			INFORMAL	2103	3.01	75	1.60	14	2.18	35	1.14	21	0.67	2248	2.76
			TOTAL	69866	85.83	4679	5.75	642	0.79	3061	3.76	3156	3.88	81404	94.94



Hindmarsh (84806)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ALP	23150	34.97	1733	31.98	233	36.93	816	29.08	1128	30.85	27060	34.38
		"WONG, Penny"	ALP	688	1.04	60	1.11	10	1.58	34	1.21	40	1.09	832	1.06
		"KIRK, Linda"	ALP	84	0.13	10	0.18	2	0.32	5	0.18	3	0.08	104	0.13
		"SCHACHT, Chris"	ALP	386	0.58	28	0.52	0	0.00	14	0.50	23	0.63	451	0.57
		Group Total	ALP	24308	36.72	1831	33.79	245	38.83	869	30.97	1194	32.66	28447	36.14
B		TICKET VOTES	GRN	1641	2.48	204	3.76	29	4.60	100	3.56	48	1.31	2022	2.57
		"FAEHRMANN, Cate"	GRN	628	0.95	77	1.42	9	1.43	32	1.14	20	0.55	766	0.97
		"DOUGLAS, Jim"	GRN	71	0.11	5	0.09	0	0.00	4	0.14	5	0.14	85	0.11
		Group Total	GRN	2340	3.53	286	5.28	38	6.02	136	4.85	73	2.00	2873	3.65
C		TICKET VOTES	HAN	1574	2.38	150	2.77	16	2.54	63	2.25	86	2.35	1889	2.40
		"RUSSELL-TAYLOR, Neil"	HAN	328	0.50	23	0.42	3	0.48	14	0.50	32	0.88	400	0.51
		"GIBSON, Colin"	HAN	19	0.03	2	0.04	0	0.00	1	0.04	4	0.11	26	0.03
		Group Total	HAN	1921	2.90	175	3.23	19	3.01	78	2.78	122	3.34	2315	2.94
D		TICKET VOTES		50	0.08	7	0.13	0	0.00	2	0.07	2	0.05	61	0.08
		"NEWNAM, Kathy"		14	0.02	1	0.02	0	0.00	1	0.04	2	0.05	18	0.02
		"LINES, Lisa"		5	0.01	0	0.00	0	0.00	0	0.00	0	0.00	5	0.01
		Group Total		69	0.10	8	0.15	0	0.00	3	0.11	4	0.11	84	0.11
E		TICKET VOTES	LP	28581	43.18	2103	38.81	222	35.18	1275	45.44	1863	50.96	34044	43.25
		"HILL, Robert"	LP	849	1.28	62	1.14	5	0.79	32	1.14	65	1.78	1013	1.29
		"FERRIS, Jeannie"	LP	45	0.07	2	0.04	0	0.00	3	0.11	7	0.19	57	0.07
