House of Representatives - 2001 Election: South Australia																							
Distribution of Preferences																							
By Polling Place																							
																							
Kingston																							
				HERSEY			ARANDELOVIC			MCCORMACK			GUILDNER			PRATT			COX				
	SECOND			5	31.25			Excluded		2	12.50		1	6.25		2	12.50		6	37.50		16	
		TOTAL		372	27.80					126	9.42		41	3.06		151	11.29		648	48.43		1338	
	THIRD			1	2.44					5	12.20			Excluded		21	51.22		14	34.15		41	
		TOTAL		373	27.88					131	9.79					172	12.86		662	49.48		1338	
	FOURTH			76	58.02						Excluded					34	25.95		21	16.03		131	
		TOTAL		449	33.56											206	15.40		683	51.05		1338	
	FIFTH			67	32.52												Excluded		139	67.48		206	
		TOTAL		516	38.57														822	61.43		1338	
																			Elected				
																							
Onkaparinga Hills                                              																							
	FIRST			468	34.95		22	1.64		57	4.26		43	3.21		164	12.25		585	43.69		1339	
	SECOND			3	13.64			Excluded		5	22.73		3	13.64		4	18.18		7	31.82		22	
		TOTAL		471	35.18					62	4.63		46	3.44		168	12.55		592	44.21		1339	
	THIRD			3	6.52					8	17.39			Excluded		21	45.65		14	30.43		46	
		TOTAL		474	35.40					70	5.23					189	14.12		606	45.26		1339	
	FOURTH			32	45.71						Excluded					27	38.57		11	15.71		70	
		TOTAL		506	37.79											216	16.13		617	46.08		1339	
	FIFTH			59	27.31												Excluded		157	72.69		216	
		TOTAL		565	42.20														774	57.80		1339	
																			Elected				
																							
Pimpala                                                        																							
	FIRST			823	41.82		25	1.27		81	4.12		39	1.98		232	11.79		768	39.02		1968	
	SECOND			7	28.00			Excluded		1	4.00		5	20.00		1	4.00		11	44.00		25	
		TOTAL		830	42.17					82	4.17		44	2.24		233	11.84		779	39.58		1968	
	THIRD			7	15.91					6	13.64			Excluded		21	47.73		10	22.73		44	
		TOTAL		837	42.53					88	4.47					254	12.91		789	40.09		1968	
	FOURTH			38	43.18						Excluded					31	35.23		19	21.59		88	
		TOTAL		875	44.46											285	14.48		808	41.06		1968	
	FIFTH			104	36.49												Excluded		181	63.51		285	
		TOTAL		979	49.75														989	50.25		1968	
																			Elected				
																							
Port Noarlunga                                                 																							
	FIRST			554	36.14		21	1.37		78	5.09		84	5.48		176	11.48		620	40.44		1533	
	SECOND			2	9.52			Excluded		5	23.81		6	28.57		1	4.76		7	33.33		21	
		TOTAL		556	36.27					83	5.41		90	5.87		177	11.55		627	40.90		1533	
	THIRD			6	6.67					13	14.44			Excluded		50	55.56		21	23.33		90	
		TOTAL		562	36.66					96	6.26					227	14.81		648	42.27		1533	
	FOURTH			54	56.25						Excluded					24	25.00		18	18.75		96	
		TOTAL		616	40.18											251	16.37		666	43.44		1533	
	FIFTH			77	30.68												Excluded		174	69.32		251	
		TOTAL		693	45.21														840	54.79		1533	
																			Elected				
																							
Reynella                                                       																							
	FIRST			1110	41.68		41	1.54		113	4.24		43	1.61		353	13.26		1003	37.66		2663	
	SECOND			11	26.83			Excluded		8	19.51		7	17.07		9	21.95		6	14.63		41	
		TOTAL		1121	42.10					121	4.54		50	1.88		362	13.59		1009	37.89		2663	
	THIRD			3	6.00					9	18.00			Excluded		31	62.00		7	14.00		50	
		TOTAL		1124	42.21					130	4.88					393	14.76		1016	38.15		2663	
	FOURTH			74	56.92						Excluded					37	28.46		19	14.62		130	
		TOTAL		1198	44.99											430	16.15		1035	38.87		2663	
	FIFTH			166	38.60												Excluded		264	61.40		430	
		TOTAL		1364	51.22														1299	48.78		2663	
																			Elected				
																							
Reynella East                                                  																							
	FIRST			1461	42.58		37	1.08		123	3.58		79	2.30		483	14.08		1248	36.37		3431	
	SECOND			4	10.81			Excluded		10	27.03		7	18.92		6	16.22		10	27.03		37	
		TOTAL		1465	42.70					133	3.88		86	2.51		489	14.25		1258	36.67		3431	
	THIRD			8	9.30					9	10.47			Excluded		51	59.30		18	20.93		86	
		TOTAL		1473	42.93					142	4.14					540	15.74		1276	37.19		3431	
	FOURTH			80	56.34						Excluded					39	27.46		23	16.20		142	
		TOTAL		1553	45.26											579	16.88		1299	37.86		3431	
	FIFTH			227	39.21												Excluded		352	60.79		579	
		TOTAL		1780	51.88														1651	48.12		3431	
																			Elected				
																							
Reynella South                                                 																							
	FIRST			1097	39.04		36	1.28		154	5.48		70	2.49		324	11.53		1129	40.18		2810	
	SECOND			7	19.44			Excluded		3	8.33		11	30.56		6	16.67		9	25.00		36	
		TOTAL		1104	39.29					157	5.59		81	2.88		330	11.74		1138	40.50		2810	
	THIRD			9	11.11					13	16.05			Excluded		46	56.79		13	16.05		81	
		TOTAL		1113	39.61					170	6.05					376	13.38		1151	40.96		2810	
	FOURTH			85	50.00						Excluded					53	31.18		32	18.82		170	
		TOTAL		1198	42.63											429	15.27		1183	42.10		2810	
	FIFTH			165	38.46												Excluded		264	61.54		429	
		TOTAL		1363	48.51														1447	51.49		2810	
																			Elected				
																							
Seaford                                                        																							
	FIRST			804	35.81		23	1.02		146	6.50		79	3.52		220	9.80		973	43.34		2245	
	SECOND			7	30.43			Excluded		4	17.39		6	26.09		3	13.04		3	13.04		23	
		TOTAL		811	36.12					150	6.68		85	3.79		223	9.93		976	43.47		2245	
	THIRD			6	7.06					9	10.59			Excluded		52	61.18		18	21.18		85	
		TOTAL		817	36.39					159	7.08					275	12.25		994	44.28		2245	
	FOURTH			95	59.75						Excluded					34	21.38		30	18.87		159	
		TOTAL		912	40.62											309	13.76		1024	45.61		2245	
	FIFTH			82	26.54												Excluded		227	73.46		309	
		TOTAL		994	44.28														1251	55.72		2245	
																			Elected				
																							
Seaford Rise                                                   																							
	FIRST			775	38.58		26	1.29		84	4.18		53	2.64		237	11.80		834	41.51		2009	
	SECOND			7	26.92			Excluded		7	26.92		1	3.85		3	11.54		8	30.77		26	
		TOTAL		782	38.92					91	4.53		54	2.69		240	11.95		842	41.91		2009	
	THIRD			7	12.96					6	11.11			Excluded		33	61.11		8	14.81		54	
		TOTAL		789	39.27					97	4.83					273	13.59		850	42.31		2009	
	FOURTH			44	45.36						Excluded					28	28.87		25	25.77		97	
		TOTAL		833	41.46											301	14.98		875	43.55		2009	
	FIFTH			93	30.90												Excluded		208	69.10		301	
		TOTAL		926	46.09														1083	53.91		2009	
																			Elected				
																							
Sellicks Beach                                                 																							
	FIRST			291	37.40		6	0.77		50	6.43		26	3.34		75	9.64		330	42.42		778	
	SECOND			2	33.33			Excluded		2	33.33		0	0.00		0	0.00		2	33.33		6	
		TOTAL		293	37.66					52	6.68		26	3.34		75	9.64		332	42.67		778	
	THIRD			1	3.85					2	7.69			Excluded		20	76.92		3	11.54		26	
		TOTAL		294	37.79					54	6.94					95	12.21		335	43.06		778	
	FOURTH			27	50.00						Excluded					13	24.07		14	25.93		54	
		TOTAL		321	41.26											108	13.88		349	44.86		778	
	FIFTH			27	25.00												Excluded		81	75.00		108	
		TOTAL		348	44.73														430	55.27		778	
																			Elected				
																							
Sheidow Park                                                   																							
	FIRST			1034	40.79		39	1.54		84	3.31		59	2.33		365	14.40		954	37.63		2535	
	SECOND			6	15.38			Excluded		9	23.08		8	20.51		4	10.26		12	30.77		39	
		TOTAL		1040	41.03					93	3.67		67	2.64		369	14.56		966	38.11		2535	
	THIRD			6	8.96					13	19.40			Excluded		36	53.73		12	17.91		67	
		TOTAL		1046	41.26					106	4.18					405	15.98		978	38.58		2535	
	FOURTH			46	43.40						Excluded					39	36.79		21	19.81		106	
		TOTAL		1092	43.08											444	17.51		999	39.41		2535	
	FIFTH			151	34.01												Excluded		293	65.99		444	
		TOTAL		1243	49.03														1292	50.97		2535	
																			Elected				
																							
Trott Park                                                     																							
	FIRST			583	40.94		15	1.05		30	2.11		31	2.18		216	15.17		549	38.55		1424	
	SECOND			3	20.00			Excluded		2	13.33		4	26.67		4	26.67		2	13.33		15	
		TOTAL		586	41.15					32	2.25		35	2.46		220	15.45		551	38.69		1424	
	THIRD			5	14.29					5	14.29			Excluded		19	54.29		6	17.14		35	
		TOTAL		591	41.50					37	2.60					239	16.78		557	39.12		1424	
	FOURTH			19	51.35						Excluded					12	32.43		6	16.22		37	
		TOTAL		610	42.84											251	17.63		563	39.54		1424	
	FIFTH			89	35.46												Excluded		162	64.54		251	
		TOTAL		699	49.09														725	50.91		1424	
																			Elected				
																							
Woodcroft                                                      																							
	FIRST			1954	46.10		43	1.01		160	3.77		60	1.42		508	11.98		1514	35.72		4239	
	SECOND			11	25.58			Excluded		9	20.93		8	18.60		4	9.30		11	25.58		43	
		TOTAL		1965	46.36					169	3.99		68	1.60		512	12.08		1525	35.98		4239	
	THIRD			6	8.82					9	13.24			Excluded		40	58.82		13	19.12		68	
		TOTAL		1971	46.50					178	4.20					552	13.02		1538	36.28		4239	
	FOURTH			94	52.81						Excluded					48	26.97		36	20.22		178	
		TOTAL		2065	48.71											600	14.15		1574	37.13		4239	
	FIFTH			232	38.67												Excluded		368	61.33		600	
		TOTAL		2297	54.19														1942	45.81		4239	
																			Elected				
																							
Special Hospital Team 1                                        																							
	FIRST			103	62.05		2	1.20		3	1.81		1	0.60		8	4.82		49	29.52		166	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		1	50.00		1	50.00		2	
		TOTAL		103	62.05					3	1.81		1	0.60		9	5.42		50	30.12		166	
	THIRD			0	0.00					0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		103	62.05					3	1.81					10	6.02		50	30.12		166	
	FOURTH			2	66.67						Excluded					1	33.33		0	0.00		3	
		TOTAL		105	63.25											11	6.63		50	30.12		166	
	FIFTH			3	27.27												Excluded		8	72.73		11	
		TOTAL		108	65.06														58	34.94		166	
																			Elected				
																							
Special Hospital Team 2                                        																							
	FIRST			50	53.19		0	0.00		0	0.00		0	0.00		1	1.06		43	45.74		94	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		50	53.19					0	0.00		0	0.00		1	1.06		43	45.74		94	
	THIRD			0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		50	53.19					0	0.00					1	1.06		43	45.74		94	
	FOURTH			0	0.00						Excluded					0	0.00		0	0.00		0	
		TOTAL		50	53.19											1	1.06		43	45.74		94	
	FIFTH			0	0.00												Excluded		1	100.00		1	
		TOTAL		50	53.19														44	46.81		94	
																			Elected				
																							
Special Hospital Team 3                                        																							
	FIRST			41	51.90		0	0.00		3	3.80		1	1.27		0	0.00		34	43.04		79	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		41	51.90					3	3.80		1	1.27		0	0.00		34	43.04		79	
	THIRD			0	0.00					1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		41	51.90					4	5.06					0	0.00		34	43.04		79	
	FOURTH			3	75.00						Excluded					1	25.00		0	0.00		4	
		TOTAL		44	55.70											1	1.27		34	43.04		79	
	FIFTH			0	0.00												Excluded		1	100.00		1	
		TOTAL		44	55.70														35	44.30		79	
																			Elected				
																							
ABSENT																							
	FIRST			1718	37.62		106	2.32		191	4.18		271	5.93		657	14.39		1624	35.56		4567	
	SECOND			28	26.42			Excluded		13	12.26		22	20.75		15	14.15		28	26.42		106	
		TOTAL		1746	38.23					204	4.47		293	6.42		672	14.71		1652	36.17		4567	
	THIRD			31	10.58					35	11.95			Excluded		167	57.00		60	20.48		293	
		TOTAL		1777	38.91					239	5.23					839	18.37		1712	37.49		4567	
	FOURTH			88	36.82						Excluded					85	35.56		66	27.62		239	
		TOTAL		1865	40.84											924	20.23		1778	38.93		4567	
	FIFTH			321	34.74												Excluded		603	65.26		924	
		TOTAL		2186	47.87														2381	52.13		4567	
																			Elected				
																							
POSTAL																							
	FIRST			1161	43.68		36	1.35		131	4.93		60	2.26		188	7.07		1082	40.71		2658	
	SECOND			4	11.11			Excluded		8	22.22		6	16.67		6	16.67		12	33.33		36	
		TOTAL		1165	43.83					139	5.23		66	2.48		194	7.30		1094	41.16		2658	
	THIRD			11	16.67					12	18.18			Excluded		25	37.88		18	27.27		66	
		TOTAL		1176	44.24					151	5.68					219	8.24		1112	41.84		2658	
	FOURTH			62	41.06						Excluded					53	35.10		36	23.84		151	
		TOTAL		1238	46.58											272	10.23		1148	43.19		2658	
	FIFTH			94	34.56												Excluded		178	65.44		272	
		TOTAL		1332	50.11														1326	49.89		2658	
																			Elected				
																							
PRE POLL																							
	FIRST			1145	38.33		64	2.14		134	4.49		103	3.45		304	10.18		1237	41.41		2987	
	SECOND			14	21.88			Excluded		11	17.19		23	35.94		6	9.38		10	15.63		64	
		TOTAL		1159	38.80					145	4.85		126	4.22		310	10.38		1247	41.75		2987	
	THIRD			13	10.32					17	13.49			Excluded		66	52.38		30	23.81		126	
		TOTAL		1172	39.24					162	5.42					376	12.59		1277	42.75		2987	
	FOURTH			74	45.68						Excluded					48	29.63		40	24.69		162	
		TOTAL		1246	41.71											424	14.19		1317	44.09		2987	
	FIFTH			147	34.67												Excluded		277	65.33		424	
		TOTAL		1393	46.64														1594	53.36		2987	
																			Elected				
																							
PROVISIONAL																							
	FIRST			149	26.85		17	3.06		33	5.95		25	4.50		79	14.23		252	45.41		555	
	SECOND			2	11.76			Excluded		4	23.53		5	29.41		2	11.76		4	23.53		17	
		TOTAL		151	27.21					37	6.67		30	5.41		81	14.59		256	46.13		555	
	THIRD			0	0.00					3	10.00			Excluded		19	63.33		8	26.67		30	
		TOTAL		151	27.21					40	7.21					100	18.02		264	47.57		555	
	FOURTH			11	27.50						Excluded					17	42.50		12	30.00		40	
		TOTAL		162	29.19											117	21.08		276	49.73		555	
	FIFTH			39	33.33												Excluded		78	66.67		117	
		TOTAL		201	36.22														354	63.78		555	
																			Elected				
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
