House of Representatives - 2001 Election: South Australia																																
First Preference Votes and TCP																																
By Candidate by Polling Place																																

Makin (88248)																																
	KOWALD			POSTA			REEVES			# DRAPER			WOODMAN			FORMAL			INFORMAL			TOTAL										
	Rod			Christine			Allon			Trish			Julie												Two Candidate Preferred							
	HAN			DEM			GRN			LP			ALP												# DRAPER LP			 WOODMAN ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Ingle Farm North	53	5.31		119	11.91		22	2.20		298	29.83		507	50.75		999	94.51		58	5.49		1057	1.24		380	38.04		619	61.96
Modbury Central	102	4.87		226	10.79		60	2.87		946	45.18		760	36.29		2094	94.71		117	5.29		2211	2.60		1116	53.30		978	46.70
Modbury Heights	134	4.11		391	11.98		74	2.27		1509	46.25		1155	35.40		3263	95.52		153	4.48		3416	4.02		1774	54.37		1489	45.63
Modbury North	122	4.66		244	9.33		73	2.79		1206	46.10		971	37.12		2616	94.54		151	5.46		2767	3.26		1394	53.29		1222	46.71
Modbury West	128	4.38		314	10.74		59	2.02		1338	45.77		1084	37.09		2923	94.84		159	5.16		3082	3.63		1572	53.78		1351	46.22
Para Hills	189	5.31		358	10.06		96	2.70		1456	40.92		1459	41.01		3558	93.21		259	6.79		3817	4.50		1710	48.06		1848	51.94
Para Hills East	78	5.22		157	10.50		21	1.40		609	40.74		630	42.14		1495	94.26		91	5.74		1586	1.87		725	48.49		770	51.51
Para Hills West	93	5.71		181	11.12		27	1.66		584	35.87		743	45.64		1628	92.08		140	7.92		1768	2.08		717	44.04		911	55.96
Para Vista	183	6.04		317	10.47		80	2.64		1221	40.32		1227	40.52		3028	94.51		176	5.49		3204	3.77		1455	48.05		1573	51.95
Pooraka	199	5.60		305	8.59		71	2.00		1205	33.92		1772	49.89		3552	93.77		236	6.23		3788	4.46		1450	40.82		2102	59.18
Redwood Park	77	3.39		284	12.52		48	2.12		1122	49.45		738	32.53		2269	93.99		145	6.01		2414	2.84		1302	57.38		967	42.62
Ridgehaven	165	5.23		348	11.03		79	2.50		1500	47.54		1063	33.69		3155	95.03		165	4.97		3320	3.91		1775	56.26		1380	43.74
St Agnes	110	3.90		276	9.78		89	3.15		1445	51.20		902	31.96		2822	95.18		143	4.82		2965	3.49		1660	58.82		1162	41.18			
St Agnes West	64	4.03		154	9.70		38	2.39		809	50.98		522	32.89		1587	95.72		71	4.28		1658	1.95		926	58.35		661	41.65			
Salisbury East	139	5.34		257	9.88		47	1.81		1109	42.64		1049	40.33		2601	93.87		170	6.13		2771	3.26		1293	49.71		1308	50.29			
Salisbury East Central	119	5.59		226	10.61		44	2.07		903	42.39		838	39.34		2130	92.73		167	7.27		2297	2.71		1091	51.22		1039	48.78			
Salisbury Heights (Makin)	21	6.23		32	9.50		4	1.19		201	59.64		79	23.44		337	88.92		42	11.08		379	0.45		230	68.25		107	31.75			
Surrey Downs	122	5.20		259	11.04		54	2.30		1142	48.66		770	32.81		2347	95.76		104	4.24		2451	2.89		1349	57.48		998	42.52			
Tea Tree Gully	64	4.44		162	11.24		33	2.29		754	52.32		428	29.70		1441	95.75		64	4.25		1505	1.77		880	61.07		561	38.93			
Valley View	66	4.87		142	10.48		38	2.80		570	42.07		539	39.78		1355	94.36		81	5.64		1436	1.69		668	49.30		687	50.70			
Wynn Vale	174	3.92		410	9.23		73	1.64		2277	51.26		1508	33.95		4442	94.47		260	5.53		4702	5.54		2580	58.08		1862	41.92			
Special Hospitals	7	4.32		4	2.47		1	0.62		92	56.79		58	35.80		162	93.10		12	6.90		174	0.20		98	60.49		64	39.51			
Total Ordinary	3237	4.63		7199	10.31		1546	2.21		31897	45.66		25972	37.18		69851	94.55		4023	5.45		73874	87.00		37245	53.32		32606	46.68			
ABSENT	257	5.24		630	12.84		195	3.97		2145	43.70		1681	34.25		4908	95.02		257	4.98		5165	6.08		2650	53.99		2258	46.01			
POSTAL	124	4.31		200	6.96		42	1.46		1565	54.45		943	32.81		2874	98.12		55	1.88		2929	3.45		1740	60.54		1134	39.46			
PRE_POLL	130	5.40		255	10.59		53	2.20		1191	49.48		778	32.32		2407	97.53		61	2.47		2468	2.91		1402	58.25		1005	41.75			
PROVISIONAL	31	6.89		59	13.11		14	3.11		181	40.22		165	36.67		450	94.94		24	5.06		474	0.56		234	52.00		216	48.00			
Division Summary	3779	4.69		8343	10.37		1850	2.30		36979	45.94		29539	36.70		80490	94.79		4420	5.21		84910	96.22		43271	53.76		37219	46.24			
																													
																													
																													
																													
																													
