House of Representatives - 2001 Election: South Australia																				
Distribution of Preferences																				
By Polling Place																				
																				
Hindmarsh																				
				FITZPATRICK			GEORGANAS			GALLUS			CASHEL			DOWD				
		TOTAL					523	48.47		556	51.53								1079	
										Elected										
																				
Cowandilla                                                     																				
	FIRST			60	3.30		1043	57.34		512	28.15		76	4.18		128	7.04		1819	
	SECOND				Excluded		39	65.00		13	21.67		4	6.67		4	6.67		60	
		TOTAL					1082	59.48		525	28.86		80	4.40		132	7.26		1819	
	THIRD						25	31.25		5	6.25			Excluded		50	62.50		80	
		TOTAL					1107	60.86		530	29.14					182	10.01		1819	
	FOURTH						130	71.43		52	28.57						Excluded		182	
		TOTAL					1237	68.00		582	32.00								1819	
										Elected										
																				
Cowandilla West                                                																				
	FIRST			13	1.98		319	48.55		243	36.99		25	3.81		57	8.68		657	
	SECOND				Excluded		7	53.85		3	23.08		1	7.69		2	15.38		13	
		TOTAL					326	49.62		246	37.44		26	3.96		59	8.98		657	
	THIRD						7	26.92		4	15.38			Excluded		15	57.69		26	
		TOTAL					333	50.68		250	38.05					74	11.26		657	
	FOURTH						48	64.86		26	35.14						Excluded		74	
		TOTAL					381	57.99		276	42.01								657	
										Elected										
																				
Edwardstown                                                    																				
	FIRST			74	5.00		600	40.54		613	41.42		47	3.18		146	9.86		1480	
	SECOND				Excluded		44	59.46		19	25.68		4	5.41		7	9.46		74	
		TOTAL					644	43.51		632	42.70		51	3.45		153	10.34		1480	
	THIRD						13	25.49		5	9.80			Excluded		33	64.71		51	
		TOTAL					657	44.39		637	43.04					186	12.57		1480	
	FOURTH						120	64.52		66	35.48						Excluded		186	
		TOTAL					777	52.50		703	47.50								1480	
										Elected										
																				
Flinders Park                                                  																				
	FIRST			99	3.34		1390	46.85		1193	40.21		79	2.66		206	6.94		2967	
	SECOND				Excluded		60	60.61		18	18.18		17	17.17		4	4.04		99	
		TOTAL					1450	48.87		1211	40.82		96	3.24		210	7.08		2967	
	THIRD						27	28.13		13	13.54			Excluded		56	58.33		96	
		TOTAL					1477	49.78		1224	41.25					266	8.97		2967	
	FOURTH						168	63.16		98	36.84						Excluded		266	
		TOTAL					1645	55.44		1322	44.56								2967	
										Elected										
																				
Forbes                                                         																				
	FIRST			108	4.74		966	42.39		938	41.16		65	2.85		202	8.86		2279	
	SECOND				Excluded		54	50.00		35	32.41		11	10.19		8	7.41		108	
		TOTAL					1020	44.76		973	42.69		76	3.33		210	9.21		2279	
	THIRD						17	22.37		11	14.47			Excluded		48	63.16		76	
		TOTAL					1037	45.50		984	43.18					258	11.32		2279	
	FOURTH						174	67.44		84	32.56						Excluded		258	
		TOTAL					1211	53.14		1068	46.86								2279	
										Elected										
																				
Fulham                                                         																				
	FIRST			54	3.11		560	32.24		955	54.98		51	2.94		117	6.74		1737	
	SECOND				Excluded		25	46.30		23	42.59		6	11.11		0	0.00		54	
		TOTAL					585	33.68		978	56.30		57	3.28		117	6.74		1737	
	THIRD						19	33.33		5	8.77			Excluded		33	57.89		57	
		TOTAL					604	34.77		983	56.59					150	8.64		1737	
	FOURTH						103	68.67		47	31.33						Excluded		150	
		TOTAL					707	40.70		1030	59.30								1737	
										Elected										
																				
Fulham Gardens                                                 																				
	FIRST			104	3.22		1390	43.10		1361	42.20		94	2.91		276	8.56		3225	
	SECOND				Excluded		58	55.77		30	28.85		10	9.62		6	5.77		104	
		TOTAL					1448	44.90		1391	43.13		104	3.22		282	8.74		3225	
	THIRD						29	27.88		17	16.35			Excluded		58	55.77		104	
		TOTAL					1477	45.80		1408	43.66					340	10.54		3225	
	FOURTH						226	66.47		114	33.53						Excluded		340	
		TOTAL					1703	52.81		1522	47.19								3225	
										Elected										
																				
Glandore                                                       																				
	FIRST			37	3.13		396	33.47		566	47.84		56	4.73		128	10.82		1183	
	SECOND				Excluded		12	32.43		15	40.54		5	13.51		5	13.51		37	
		TOTAL					408	34.49		581	49.11		61	5.16		133	11.24		1183	
	THIRD						10	16.39		5	8.20			Excluded		46	75.41		61	
		TOTAL					418	35.33		586	49.54					179	15.13		1183	
	FOURTH						136	75.98		43	24.02						Excluded		179	
		TOTAL					554	46.83		629	53.17								1183	
										Elected										
																				
Glenelg Central                                                																				
	FIRST			45	2.78		466	28.78		880	54.35		75	4.63		153	9.45		1619	
	SECOND				Excluded		14	31.11		25	55.56		2	4.44		4	8.89		45	
		TOTAL					480	29.65		905	55.90		77	4.76		157	9.70		1619	
	THIRD						16	20.78		11	14.29			Excluded		50	64.94		77	
		TOTAL					496	30.64		916	56.58					207	12.79		1619	
	FOURTH						134	64.73		73	35.27						Excluded		207	
		TOTAL					630	38.91		989	61.09								1619	
										Elected										
																				
Glenelg East                                                   																				
	FIRST			43	2.64		492	30.18		858	52.64		75	4.60		162	9.94		1630	
	SECOND				Excluded		21	48.84		14	32.56		5	11.63		3	6.98		43	
		TOTAL					513	31.47		872	53.50		80	4.91		165	10.12		1630	
	THIRD						13	16.25		11	13.75			Excluded		56	70.00		80	
		TOTAL					526	32.27		883	54.17					221	13.56		1630	
	FOURTH						141	63.80		80	36.20						Excluded		221	
		TOTAL					667	40.92		963	59.08								1630	
										Elected										
																				
Glenelg North                                                  																				
	FIRST			75	2.96		704	27.80		1444	57.03		115	4.54		194	7.66		2532	
	SECOND				Excluded		31	41.33		27	36.00		9	12.00		8	10.67		75	
		TOTAL					735	29.03		1471	58.10		124	4.90		202	7.98		2532	
	THIRD						32	25.81		14	11.29			Excluded		78	62.90		124	
		TOTAL					767	30.29		1485	58.65					280	11.06		2532	
	FOURTH						179	63.93		101	36.07						Excluded		280	
		TOTAL					946	37.36		1586	62.64								2532	
										Elected										
																				
Glenelg South                                                  																				
	FIRST			43	2.32		460	24.77		1137	61.23		92	4.95		125	6.73		1857	
	SECOND				Excluded		18	41.86		17	39.53		4	9.30		4	9.30		43	
		TOTAL					478	25.74		1154	62.14		96	5.17		129	6.95		1857	
	THIRD						34	35.42		11	11.46			Excluded		51	53.13		96	
		TOTAL					512	27.57		1165	62.74					180	9.69		1857	
	FOURTH						107	59.44		73	40.56						Excluded		180	
		TOTAL					619	33.33		1238	66.67								1857	
										Elected										
																				
Glengowrie                                                     																				
	FIRST			37	2.29		505	31.31		900	55.80		34	2.11		137	8.49		1613	
	SECOND				Excluded		13	35.14		17	45.95		4	10.81		3	8.11		37	
		TOTAL					518	32.11		917	56.85		38	2.36		140	8.68		1613	
	THIRD						9	23.68		10	26.32			Excluded		19	50.00		38	
		TOTAL					527	32.67		927	57.47					159	9.86		1613	
	FOURTH						90	56.60		69	43.40						Excluded		159	
		TOTAL					617	38.25		996	61.75								1613	
										Elected										
																				
Grovene                                                        																				
	FIRST			34	2.66		357	27.96		756	59.20		36	2.82		94	7.36		1277	
	SECOND				Excluded		15	44.12		12	35.29		3	8.82		4	11.76		34	
		TOTAL					372	29.13		768	60.14		39	3.05		98	7.67		1277	
	THIRD						9	23.08		7	17.95			Excluded		23	58.97		39	
		TOTAL					381	29.84		775	60.69					121	9.48		1277	
	FOURTH						70	57.85		51	42.15						Excluded		121	
		TOTAL					451	35.32		826	64.68								1277	
										Elected										
																				
Henley Beach                                                   																				
	FIRST			50	2.37		768	36.33		953	45.08		133	6.29		210	9.93		2114	
	SECOND				Excluded		12	24.00		26	52.00		6	12.00		6	12.00		50	
		TOTAL					780	36.90		979	46.31		139	6.58		216	10.22		2114	
	THIRD						30	21.58		11	7.91			Excluded		98	70.50		139	
		TOTAL					810	38.32		990	46.83					314	14.85		2114	
	FOURTH						226	71.97		88	28.03						Excluded		314	
		TOTAL					1036	49.01		1078	50.99								2114	
										Elected										
																				
Henley South                                                   																				
	FIRST			42	2.91		515	35.69		653	45.25		110	7.62		123	8.52		1443	
	SECOND				Excluded		16	38.10		16	38.10		5	11.90		5	11.90		42	
		TOTAL					531	36.80		669	46.36		115	7.97		128	8.87		1443	
	THIRD						31	26.96		10	8.70			Excluded		74	64.35		115	
		TOTAL					562	38.95		679	47.05					202	14.00		1443	
	FOURTH						140	69.31		62	30.69						Excluded		202	
		TOTAL					702	48.65		741	51.35								1443	
										Elected										
																				
Kidman Park                                                    																				
	FIRST			18	1.95		417	45.23		403	43.71		17	1.84		67	7.27		922	
	SECOND				Excluded		9	50.00		7	38.89		1	5.56		1	5.56		18	
		TOTAL					426	46.20		410	44.47		18	1.95		68	7.38		922	
	THIRD						3	16.67		1	5.56			Excluded		14	77.78		18	
		TOTAL					429	46.53		411	44.58					82	8.89		922	
	FOURTH						54	65.85		28	34.15						Excluded		82	
		TOTAL					483	52.39		439	47.61								922	
										Elected										
																				
Kidman Park South                                              																				
	FIRST			67	2.76		997	41.08		1134	46.72		51	2.10		178	7.33		2427	
	SECOND				Excluded		32	47.76		23	34.33		9	13.43		3	4.48		67	
		TOTAL					1029	42.40		1157	47.67		60	2.47		181	7.46		2427	
	THIRD						14	23.33		10	16.67			Excluded		36	60.00		60	
		TOTAL					1043	42.97		1167	48.08					217	8.94		2427	
	FOURTH						115	53.00		102	47.00						Excluded		217	
		TOTAL					1158	47.71		1269	52.29								2427	
										Elected										
																				
Kurralta Park                                                  																				
	FIRST			49	3.56		566	41.07		554	40.20		47	3.41		162	11.76		1378	
	SECOND				Excluded		19	38.78		16	32.65		7	14.29		7	14.29		49	
		TOTAL					585	42.45		570	41.36		54	3.92		169	12.26		1378	
	THIRD						14	25.93		4	7.41			Excluded		36	66.67		54	
		TOTAL					599	43.47		574	41.65					205	14.88		1378	
	FOURTH						132	64.39		73	35.61						Excluded		205	
		TOTAL					731	53.05		647	46.95								1378	
										Elected										
																				
Lockleys                                                       																				
	FIRST			42	2.46		505	29.57		976	57.14		49	2.87		136	7.96		1708	
	SECOND				Excluded		21	50.00		12	28.57		5	11.90		4	9.52		42	
		TOTAL					526	30.80		988	57.85		54	3.16		140	8.20		1708	
	THIRD						11	20.37		8	14.81			Excluded		35	64.81		54	
		TOTAL					537	31.44		996	58.31					175	10.25		1708	
	FOURTH						101	57.71		74	42.29						Excluded		175	
		TOTAL					638	37.35		1070	62.65								1708	
										Elected										
																				
Lockleys North                                                 																				
	FIRST			34	2.84		467	38.95		567	47.29		33	2.75		98	8.17		1199	
	SECOND				Excluded		14	41.18		10	29.41		7	20.59		3	8.82		34	
		TOTAL					481	40.12		577	48.12		40	3.34		101	8.42		1199	
	THIRD						10	25.00		3	7.50			Excluded		27	67.50		40	
		TOTAL					491	40.95		580	48.37					128	10.68		1199	
	FOURTH						86	67.19		42	32.81						Excluded		128	
		TOTAL					577	48.12		622	51.88								1199	
										Elected										
																				
Mile End (Hindmarsh)                                           																				
	FIRST			8	1.09		379	51.42		206	27.95		52	7.06		92	12.48		737	
	SECOND				Excluded		5	62.50		1	12.50		2	25.00		0	0.00		8	
		TOTAL					384	52.10		207	28.09		54	7.33		92	12.48		737	
	THIRD						11	20.37		5	9.26			Excluded		38	70.37		54	
		TOTAL					395	53.60		212	28.77					130	17.64		737	
	FOURTH						89	68.46		41	31.54						Excluded		130	
		TOTAL					484	65.67		253	34.33								737	
										Elected										
																				
Morphettville                                                  																				
	FIRST			59	4.67		468	37.03		600	47.47		26	2.06		111	8.78		1264	
	SECOND				Excluded		23	38.98		19	32.20		5	8.47		12	20.34		59	
		TOTAL					491	38.84		619	48.97		31	2.45		123	9.73		1264	
	THIRD						5	16.13		5	16.13			Excluded		21	67.74		31	
		TOTAL					496	39.24		624	49.37					144	11.39		1264	
	FOURTH						95	65.97		49	34.03						Excluded		144	
		TOTAL					591	46.76		673	53.24								1264	
										Elected										
																				
Netley                                                         																				
	FIRST			38	3.29		492	42.56		508	43.94		27	2.34		91	7.87		1156	
	SECOND				Excluded		20	52.63		12	31.58		2	5.26		4	10.53		38	
		TOTAL					512	44.29		520	44.98		29	2.51		95	8.22		1156	
	THIRD						13	44.83		5	17.24			Excluded		11	37.93		29	
		TOTAL					525	45.42		525	45.42					106	9.17		1156	
	FOURTH						60	56.60		46	43.40						Excluded		106	
		TOTAL					585	50.61		571	49.39								1156	
										Elected										
																				
Novar Gardens                                                  																				
	FIRST			57	3.43		463	27.89		972	58.55		42	2.53		126	7.59		1660	
	SECOND				Excluded		27	47.37		18	31.58		8	14.04		4	7.02		57	
		TOTAL					490	29.52		990	59.64		50	3.01		130	7.83		1660	
	THIRD						11	22.00		7	14.00			Excluded		32	64.00		50	
		TOTAL					501	30.18		997	60.06					162	9.76		1660	
	FOURTH						91	56.17		71	43.83						Excluded		162	
		TOTAL					592	35.66		1068	64.34								1660	
										Elected										
																				
Park Holme                                                     																				
	FIRST			49	3.40		620	43.00		576	39.94		42	2.91		155	10.75		1442	
	SECOND				Excluded		21	42.86		19	38.78		2	4.08		7	14.29		49	
		TOTAL					641	44.45		595	41.26		44	3.05		162	11.23		1442	
	THIRD						10	22.73		5	11.36			Excluded		29	65.91		44	
		TOTAL					651	45.15		600	41.61					191	13.25		1442	
	FOURTH						124	64.92		67	35.08						Excluded		191	
		TOTAL					775	53.74		667	46.26								1442	
										Elected										
																				
Park Holme South                                               																				
	FIRST			49	3.34		627	42.74		601	40.97		47	3.20		143	9.75		1467	
	SECOND				Excluded		18	36.73		17	34.69		9	18.37		5	10.20		49	
		TOTAL					645	43.97		618	42.13		56	3.82		148	10.09		1467	
	THIRD						12	21.43		10	17.86			Excluded		34	60.71		56	
		TOTAL					657	44.79		628	42.81					182	12.41		1467	
	FOURTH						120	65.93		62	34.07						Excluded		182	
		TOTAL					777	52.97		690	47.03								1467	
										Elected										
																				
Plympton                                                       																				
	FIRST			72	3.85		739	39.48		811	43.32		56	2.99		194	10.36		1872	
	SECOND				Excluded		31	43.06		21	29.17		13	18.06		7	9.72		72	
		TOTAL					770	41.13		832	44.44		69	3.69		201	10.74		1872	
	THIRD						22	31.88		10	14.49			Excluded		37	53.62		69	
		TOTAL					792	42.31		842	44.98					238	12.71		1872	
	FOURTH						141	59.24		97	40.76						Excluded		238	
		TOTAL					933	49.84		939	50.16								1872	
										Elected										
																				
Plympton Park                                                  																				
	FIRST			41	3.06		500	37.37		630	47.09		44	3.29		123	9.19		1338	
	SECOND				Excluded		11	26.83		16	39.02		9	21.95		5	12.20		41	
		TOTAL					511	38.19		646	48.28		53	3.96		128	9.57		1338	
	THIRD						17	32.08		6	11.32			Excluded		30	56.60		53	
		TOTAL					528	39.46		652	48.73					158	11.81		1338	
	FOURTH						94	59.49		64	40.51						Excluded		158	
		TOTAL					622	46.49		716	53.51								1338	
										Elected										
																				
Plympton West                                                  																				
	FIRST			49	3.48		558	39.66		672	47.76		36	2.56		92	6.54		1407	
	SECOND				Excluded		28	57.14		8	16.33		8	16.33		5	10.20		49	
		TOTAL					586	41.65		680	48.33		44	3.13		97	6.89		1407	
	THIRD						6	13.64		5	11.36			Excluded		33	75.00		44	
		TOTAL					592	42.08		685	48.69					130	9.24		1407	
	FOURTH						76	58.46		54	41.54						Excluded		130	
		TOTAL					668	47.48		739	52.52								1407	
										Elected										
																				
Richmond                                                       																				
	FIRST			68	3.55		887	46.37		720	37.64		90	4.70		148	7.74		1913	
	SECOND				Excluded		32	47.06		21	30.88		7	10.29		8	11.76		68	
		TOTAL					919	48.04		741	38.73		97	5.07		156	8.15		1913	
	THIRD						15	15.46		11	11.34			Excluded		71	73.20		97	
		TOTAL					934	48.82		752	39.31					227	11.87		1913	
	FOURTH						149	65.64		78	34.36						Excluded		227	
		TOTAL					1083	56.61		830	43.39								1913	
										Elected										
																				
Somerton Park East                                             																				
	FIRST			49	3.64		434	32.22		702	52.12		46	3.41		116	8.61		1347	
	SECOND				Excluded		24	48.98		13	26.53		7	14.29		5	10.20		49	
		TOTAL					458	34.00		715	53.08		53	3.93		121	8.98		1347	
	THIRD						9	16.98		5	9.43			Excluded		39	73.58		53	
		TOTAL					467	34.67		720	53.45					160	11.88		1347	
	FOURTH						100	62.50		60	37.50						Excluded		160	
		TOTAL					567	42.09		780	57.91								1347	
										Elected										
																				
South Plympton                                                 																				
	FIRST			43	3.33		507	39.24		547	42.34		28	2.17		167	12.93		1292	
	SECOND				Excluded		15	34.88		14	32.56		10	23.26		4	9.30		43	
		TOTAL					522	40.40		561	43.42		38	2.94		171	13.24		1292	
	THIRD						12	31.58		5	13.16			Excluded		21	55.26		38	
		TOTAL					534	41.33		566	43.81					192	14.86		1292	
	FOURTH						117	60.94		75	39.06						Excluded		192	
		TOTAL					651	50.39		641	49.61								1292	
										Elected										
																				
Torrensville                                                   																				
	FIRST			40	2.53		856	54.25		432	27.38		87	5.51		163	10.33		1578	
	SECOND				Excluded		20	50.00		8	20.00		8	20.00		4	10.00		40	
		TOTAL					876	55.51		440	27.88		95	6.02		167	10.58		1578	
	THIRD						27	28.42		10	10.53			Excluded		58	61.05		95	
		TOTAL					903	57.22		450	28.52					225	14.26		1578	
	FOURTH						153	68.00		72	32.00						Excluded		225	
		TOTAL					1056	66.92		522	33.08								1578	
										Elected										
																				
West Beach                                                     																				
	FIRST			69	2.87		824	34.23		1282	53.26		70	2.91		162	6.73		2407	
	SECOND				Excluded		35	50.72		20	28.99		7	10.14		7	10.14		69	
		TOTAL					859	35.69		1302	54.09		77	3.20		169	7.02		2407	
	THIRD						15	19.48		16	20.78			Excluded		46	59.74		77	
		TOTAL					874	36.31		1318	54.76					215	8.93		2407	
	FOURTH						140	65.12		75	34.88						Excluded		215	
		TOTAL					1014	42.13		1393	57.87								2407	
										Elected										
																				
West Richmond                                                  																				
	FIRST			29	3.34		472	54.38		290	33.41		21	2.42		56	6.45		868	
	SECOND				Excluded		12	41.38		12	41.38		1	3.45		4	13.79		29	
		TOTAL					484	55.76		302	34.79		22	2.53		60	6.91		868	
	THIRD						4	18.18		4	18.18			Excluded		14	63.64		22	
		TOTAL					488	56.22		306	35.25					74	8.53		868	
	FOURTH						50	67.57		24	32.43						Excluded		74	
		TOTAL					538	61.98		330	38.02								868	
										Elected										
																				
Special Hospital Team 1                                        																				
	FIRST			2	1.71		42	35.90		70	59.83		0	0.00		3	2.56		117	
	SECOND				Excluded		1	50.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL					43	36.75		70	59.83		0	0.00		4	3.42		117	
	THIRD						0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL					43	36.75		70	59.83					4	3.42		117	
	FOURTH						1	25.00		3	75.00						Excluded		4	
		TOTAL					44	37.61		73	62.39								117	
										Elected										
																				
Special Hospital Team 2                                        																				
	FIRST			3	2.46		42	34.43		73	59.84		2	1.64		2	1.64		122	
	SECOND				Excluded		3	100.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL					45	36.89		73	59.84		2	1.64		2	1.64		122	
	THIRD						0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL					45	36.89		74	60.66					3	2.46		122	
	FOURTH						1	33.33		2	66.67						Excluded		3	
		TOTAL					46	37.70		76	62.30								122	
										Elected										
																				
Special Hospital Team 3                                        																				
	FIRST			7	3.91		78	43.58		93	51.96		0	0.00		1	0.56		179	
	SECOND				Excluded		4	57.14		3	42.86		0	0.00		0	0.00		7	
		TOTAL					82	45.81		96	53.63		0	0.00		1	0.56		179	
	THIRD						0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL					82	45.81		96	53.63					1	0.56		179	
	FOURTH						1	100.00		0	0.00						Excluded		1	
		TOTAL					83	46.37		96	53.63								179	
										Elected										
																				
ABSENT																				
	FIRST			182	3.66		1702	34.21		2074	41.69		300	6.03		717	14.41		4975	
	SECOND				Excluded		66	36.26		64	35.16		33	18.13		19	10.44		182	
		TOTAL					1768	35.54		2138	42.97		333	6.69		736	14.79		4975	
	THIRD						74	22.22		42	12.61			Excluded		217	65.17		333	
		TOTAL					1842	37.03		2180	43.82					953	19.16		4975	
	FOURTH						588	61.70		365	38.30						Excluded		953	
		TOTAL					2430	48.84		2545	51.16								4975	
										Elected										
																				
POSTAL																				
	FIRST			109	2.92		1262	33.82		2072	55.52		79	2.12		210	5.63		3732	
	SECOND				Excluded		36	33.03		44	40.37		20	18.35		9	8.26		109	
		TOTAL					1298	34.78		2116	56.70		99	2.65		219	5.87		3732	
	THIRD						24	24.24		20	20.20			Excluded		55	55.56		99	
		TOTAL					1322	35.42		2136	57.23					274	7.34		3732	
	FOURTH						169	61.68		105	38.32						Excluded		274	
		TOTAL					1491	39.95		2241	60.05								3732	
										Elected										
																				
PRE POLL																				
	FIRST			91	3.38		893	33.15		1297	48.14		129	4.79		284	10.54		2694	
	SECOND				Excluded		32	35.16		33	36.26		17	18.68		9	9.89		91	
		TOTAL					925	34.34		1330	49.37		146	5.42		293	10.88		2694	
	THIRD						34	23.29		14	9.59			Excluded		98	67.12		146	
		TOTAL					959	35.60		1344	49.89					391	14.51		2694	
	FOURTH						246	62.92		145	37.08						Excluded		391	
		TOTAL					1205	44.73		1489	55.27								2694	
										Elected										
																				
PROVISIONAL																				
	FIRST			13	3.38		151	39.22		149	38.70		19	4.94		53	13.77		385	
	SECOND				Excluded		5	38.46		6	46.15		1	7.69		1	7.69		13	
		TOTAL					156	40.52		155	40.26		20	5.19		54	14.03		385	
	THIRD						2	10.00		5	25.00			Excluded		13	65.00		20	
		TOTAL					158	41.04		160	41.56					67	17.40		385	
	FOURTH						45	67.16		22	32.84						Excluded		67	
		TOTAL					203	52.73		182	47.27								385	
										Elected										
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
