House of Representatives - 2001 Election: South Australia																				
Distribution of Preferences																				
By Polling Place																				
																				
Makin																				
				KOWALD			POSTA			REEVES			DRAPER			WOODMAN				
													Elected							
																				
Greenwith                                                      																				
	FIRST			128	3.06		427	10.22		65	1.56		2160	51.70		1398	33.46		4178	
	SECOND			8	12.31		30	46.15			Excluded		8	12.31		19	29.23		65	
		TOTAL		136	3.26		457	10.94					2168	51.89		1417	33.92		4178	
	THIRD				Excluded		39	28.68					52	38.24		45	33.09		136	
		TOTAL					496	11.87					2220	53.14		1462	34.99		4178	
	FOURTH							Excluded					229	46.17		267	53.83		496	
		TOTAL											2449	58.62		1729	41.38		4178	
													Elected							
																				
Holden Hill North                                              																				
	FIRST			47	3.40		129	9.32		31	2.24		637	46.03		540	39.02		1384	
	SECOND			5	16.13		15	48.39			Excluded		6	19.35		5	16.13		31	
		TOTAL		52	3.76		144	10.40					643	46.46		545	39.38		1384	
	THIRD				Excluded		24	46.15					21	40.38		7	13.46		52	
		TOTAL					168	12.14					664	47.98		552	39.88		1384	
	FOURTH							Excluded					66	39.29		102	60.71		168	
		TOTAL											730	52.75		654	47.25		1384	
													Elected							
																				
Hope Valley                                                    																				
	FIRST			50	4.11		135	11.09		31	2.55		555	45.60		446	36.65		1217	
	SECOND			6	19.35		16	51.61			Excluded		3	9.68		6	19.35		31	
		TOTAL		56	4.60		151	12.41					558	45.85		452	37.14		1217	
	THIRD				Excluded		28	50.00					15	26.79		13	23.21		56	
		TOTAL					179	14.71					573	47.08		465	38.21		1217	
	FOURTH							Excluded					83	46.37		96	53.63		179	
		TOTAL											656	53.90		561	46.10		1217	
													Elected							
																				
Ingle Farm                                                     																				
	FIRST			223	5.81		385	10.03		99	2.58		1380	35.97		1750	45.61		3837	
	SECOND			7	7.07		62	62.63			Excluded		10	10.10		20	20.20		99	
		TOTAL		230	5.99		447	11.65					1390	36.23		1770	46.13		3837	
	THIRD				Excluded		74	32.17					56	24.35		100	43.48		230	
		TOTAL					521	13.58					1446	37.69		1870	48.74		3837	
	FOURTH							Excluded					233	44.72		288	55.28		521	
		TOTAL											1679	43.76		2158	56.24		3837	
													Elected							
																				
Ingle Farm North                                               																				
	FIRST			53	5.31		119	11.91		22	2.20		298	29.83		507	50.75		999	
	SECOND			2	9.09		13	59.09			Excluded		2	9.09		5	22.73		22	
		TOTAL		55	5.51		132	13.21					300	30.03		512	51.25		999	
	THIRD				Excluded		23	41.82					15	27.27		17	30.91		55	
		TOTAL					155	15.52					315	31.53		529	52.95		999	
	FOURTH							Excluded					65	41.94		90	58.06		155	
		TOTAL											380	38.04		619	61.96		999	
													Elected							
																				
Modbury Central                                                																				
	FIRST			102	4.87		226	10.79		60	2.87		946	45.18		760	36.29		2094	
	SECOND			9	15.00		31	51.67			Excluded		7	11.67		13	21.67		60	
		TOTAL		111	5.30		257	12.27					953	45.51		773	36.91		2094	
	THIRD				Excluded		44	39.64					37	33.33		30	27.03		111	
		TOTAL					301	14.37					990	47.28		803	38.35		2094	
	FOURTH							Excluded					126	41.86		175	58.14		301	
		TOTAL											1116	53.30		978	46.70		2094	
													Elected							
																				
Modbury Heights                                                																				
	FIRST			134	4.11		391	11.98		74	2.27		1509	46.25		1155	35.40		3263	
	SECOND			9	12.16		38	51.35			Excluded		10	13.51		17	22.97		74	
		TOTAL		143	4.38		429	13.15					1519	46.55		1172	35.92		3263	
	THIRD				Excluded		53	37.06					44	30.77		46	32.17		143	
		TOTAL					482	14.77					1563	47.90		1218	37.33		3263	
	FOURTH							Excluded					211	43.78		271	56.22		482	
		TOTAL											1774	54.37		1489	45.63		3263	
													Elected							
																				
Modbury North                                                  																				
	FIRST			122	4.66		244	9.33		73	2.79		1206	46.10		971	37.12		2616	
	SECOND			10	13.70		43	58.90			Excluded		6	8.22		14	19.18		73	
		TOTAL		132	5.05		287	10.97					1212	46.33		985	37.65		2616	
	THIRD				Excluded		37	28.03					46	34.85		49	37.12		132	
		TOTAL					324	12.39					1258	48.09		1034	39.53		2616	
	FOURTH							Excluded					136	41.98		188	58.02		324	
		TOTAL											1394	53.29		1222	46.71		2616	
													Elected							
																				
Modbury West                                                   																				
	FIRST			128	4.38		314	10.74		59	2.02		1338	45.77		1084	37.09		2923	
	SECOND			11	18.64		29	49.15			Excluded		9	15.25		10	16.95		59	
		TOTAL		139	4.76		343	11.73					1347	46.08		1094	37.43		2923	
	THIRD				Excluded		47	33.81					55	39.57		37	26.62		139	
		TOTAL					390	13.34					1402	47.96		1131	38.69		2923	
	FOURTH							Excluded					170	43.59		220	56.41		390	
		TOTAL											1572	53.78		1351	46.22		2923	
													Elected							
																				
Para Hills                                                     																				
	FIRST			189	5.31		358	10.06		96	2.70		1456	40.92		1459	41.01		3558	
	SECOND			9	9.38		52	54.17			Excluded		12	12.50		23	23.96		96	
		TOTAL		198	5.56		410	11.52					1468	41.26		1482	41.65		3558	
	THIRD				Excluded		76	38.38					58	29.29		64	32.32		198	
		TOTAL					486	13.66					1526	42.89		1546	43.45		3558	
	FOURTH							Excluded					184	37.86		302	62.14		486	
		TOTAL											1710	48.06		1848	51.94		3558	
													Elected							
																				
Para Hills East                                                																				
	FIRST			78	5.22		157	10.50		21	1.40		609	40.74		630	42.14		1495	
	SECOND			3	14.29		11	52.38			Excluded		2	9.52		5	23.81		21	
		TOTAL		81	5.42		168	11.24					611	40.87		635	42.47		1495	
	THIRD				Excluded		18	22.22					33	40.74		30	37.04		81	
		TOTAL					186	12.44					644	43.08		665	44.48		1495	
	FOURTH							Excluded					81	43.55		105	56.45		186	
		TOTAL											725	48.49		770	51.51		1495	
													Elected							
																				
Para Hills West                                                																				
	FIRST			93	5.71		181	11.12		27	1.66		584	35.87		743	45.64		1628	
	SECOND			5	18.52		11	40.74			Excluded		3	11.11		8	29.63		27	
		TOTAL		98	6.02		192	11.79					587	36.06		751	46.13		1628	
	THIRD				Excluded		31	31.63					42	42.86		25	25.51		98	
		TOTAL					223	13.70					629	38.64		776	47.67		1628	
	FOURTH							Excluded					88	39.46		135	60.54		223	
		TOTAL											717	44.04		911	55.96		1628	
													Elected							
																				
Para Vista                                                     																				
	FIRST			183	6.04		317	10.47		80	2.64		1221	40.32		1227	40.52		3028	
	SECOND			8	10.00		45	56.25			Excluded		12	15.00		15	18.75		80	
		TOTAL		191	6.31		362	11.96					1233	40.72		1242	41.02		3028	
	THIRD				Excluded		59	30.89					57	29.84		75	39.27		191	
		TOTAL					421	13.90					1290	42.60		1317	43.49		3028	
	FOURTH							Excluded					165	39.19		256	60.81		421	
		TOTAL											1455	48.05		1573	51.95		3028	
													Elected							
																				
Pooraka                                                        																				
	FIRST			199	5.60		305	8.59		71	2.00		1205	33.92		1772	49.89		3552	
	SECOND			9	12.68		28	39.44			Excluded		14	19.72		20	28.17		71	
		TOTAL		208	5.86		333	9.38					1219	34.32		1792	50.45		3552	
	THIRD				Excluded		66	31.73					53	25.48		89	42.79		208	
		TOTAL					399	11.23					1272	35.81		1881	52.96		3552	
	FOURTH							Excluded					178	44.61		221	55.39		399	
		TOTAL											1450	40.82		2102	59.18		3552	
													Elected							
																				
Redwood Park                                                   																				
	FIRST			77	3.39		284	12.52		48	2.12		1122	49.45		738	32.53		2269	
	SECOND			6	12.50		28	58.33			Excluded		2	4.17		12	25.00		48	
		TOTAL		83	3.66		312	13.75					1124	49.54		750	33.05		2269	
	THIRD				Excluded		39	46.99					22	26.51		22	26.51		83	
		TOTAL					351	15.47					1146	50.51		772	34.02		2269	
	FOURTH							Excluded					156	44.44		195	55.56		351	
		TOTAL											1302	57.38		967	42.62		2269	
													Elected							
																				
Ridgehaven                                                     																				
	FIRST			165	5.23		348	11.03		79	2.50		1500	47.54		1063	33.69		3155	
	SECOND			4	5.06		51	64.56			Excluded		11	13.92		13	16.46		79	
		TOTAL		169	5.36		399	12.65					1511	47.89		1076	34.10		3155	
	THIRD				Excluded		58	34.32					62	36.69		49	28.99		169	
		TOTAL					457	14.48					1573	49.86		1125	35.66		3155	
	FOURTH							Excluded					202	44.20		255	55.80		457	
		TOTAL											1775	56.26		1380	43.74		3155	
													Elected							
																				
Salisbury East                                                 																				
	FIRST			139	5.34		257	9.88		47	1.81		1109	42.64		1049	40.33		2601	
	SECOND			4	8.51		18	38.30			Excluded		10	21.28		15	31.91		47	
		TOTAL		143	5.50		275	10.57					1119	43.02		1064	40.91		2601	
	THIRD				Excluded		53	37.06					49	34.27		41	28.67		143	
		TOTAL					328	12.61					1168	44.91		1105	42.48		2601	
	FOURTH							Excluded					125	38.11		203	61.89		328	
		TOTAL											1293	49.71		1308	50.29		2601	
													Elected							
																				
Salisbury East Central                                         																				
	FIRST			119	5.59		226	10.61		44	2.07		903	42.39		838	39.34		2130	
	SECOND			5	11.36		23	52.27			Excluded		11	25.00		5	11.36		44	
		TOTAL		124	5.82		249	11.69					914	42.91		843	39.58		2130	
	THIRD				Excluded		36	29.03					48	38.71		40	32.26		124	
		TOTAL					285	13.38					962	45.16		883	41.46		2130	
	FOURTH							Excluded					129	45.26		156	54.74		285	
		TOTAL											1091	51.22		1039	48.78		2130	
													Elected							
																				
Salisbury Heights (Makin)                                      																				
	FIRST			21	6.23		32	9.50		4	1.19		201	59.64		79	23.44		337	
	SECOND			1	25.00		2	50.00			Excluded		0	0.00		1	25.00		4	
		TOTAL		22	6.53		34	10.09					201	59.64		80	23.74		337	
	THIRD				Excluded		10	45.45					8	36.36		4	18.18		22	
		TOTAL					44	13.06					209	62.02		84	24.93		337	
	FOURTH							Excluded					21	47.73		23	52.27		44	
		TOTAL											230	68.25		107	31.75		337	
													Elected							
																				
St Agnes                                                       																				
	FIRST			110	3.90		276	9.78		89	3.15		1445	51.20		902	31.96		2822	
	SECOND			5	5.62		56	62.92			Excluded		11	12.36		17	19.10		89	
		TOTAL		115	4.08		332	11.76					1456	51.59		919	32.57		2822	
	THIRD				Excluded		45	39.13					41	35.65		29	25.22		115	
		TOTAL					377	13.36					1497	53.05		948	33.59		2822	
	FOURTH							Excluded					163	43.24		214	56.76		377	
		TOTAL											1660	58.82		1162	41.18		2822	
													Elected							
																				
St Agnes West                                                  																				
	FIRST			64	4.03		154	9.70		38	2.39		809	50.98		522	32.89		1587	
	SECOND			2	5.26		24	63.16			Excluded		2	5.26		10	26.32		38	
		TOTAL		66	4.16		178	11.22					811	51.10		532	33.52		1587	
	THIRD				Excluded		27	40.91					26	39.39		13	19.70		66	
		TOTAL					205	12.92					837	52.74		545	34.34		1587	
	FOURTH							Excluded					89	43.41		116	56.59		205	
		TOTAL											926	58.35		661	41.65		1587	
													Elected							
																				
Surrey Downs                                                   																				
	FIRST			122	5.20		259	11.04		54	2.30		1142	48.66		770	32.81		2347	
	SECOND			7	12.96		24	44.44			Excluded		12	22.22		11	20.37		54	
		TOTAL		129	5.50		283	12.06					1154	49.17		781	33.28		2347	
	THIRD				Excluded		40	31.01					56	43.41		33	25.58		129	
		TOTAL					323	13.76					1210	51.56		814	34.68		2347	
	FOURTH							Excluded					139	43.03		184	56.97		323	
		TOTAL											1349	57.48		998	42.52		2347	
													Elected							
																				
Tea Tree Gully                                                 																				
	FIRST			64	4.44		162	11.24		33	2.29		754	52.32		428	29.70		1441	
	SECOND			2	6.06		17	51.52			Excluded		5	15.15		9	27.27		33	
		TOTAL		66	4.58		179	12.42					759	52.67		437	30.33		1441	
	THIRD				Excluded		18	27.27					25	37.88		23	34.85		66	
		TOTAL					197	13.67					784	54.41		460	31.92		1441	
	FOURTH							Excluded					96	48.73		101	51.27		197	
		TOTAL											880	61.07		561	38.93		1441	
													Elected							
																				
Valley View                                                    																				
	FIRST			66	4.87		142	10.48		38	2.80		570	42.07		539	39.78		1355	
	SECOND			3	7.89		15	39.47			Excluded		8	21.05		12	31.58		38	
		TOTAL		69	5.09		157	11.59					578	42.66		551	40.66		1355	
	THIRD				Excluded		30	43.48					18	26.09		21	30.43		69	
		TOTAL					187	13.80					596	43.99		572	42.21		1355	
	FOURTH							Excluded					72	38.50		115	61.50		187	
		TOTAL											668	49.30		687	50.70		1355	
													Elected							
																				
Wynn Vale                                                      																				
	FIRST			174	3.92		410	9.23		73	1.64		2277	51.26		1508	33.95		4442	
	SECOND			6	8.22		34	46.58			Excluded		14	19.18		19	26.03		73	
		TOTAL		180	4.05		444	10.00					2291	51.58		1527	34.38		4442	
	THIRD				Excluded		58	32.22					71	39.44		51	28.33		180	
		TOTAL					502	11.30					2362	53.17		1578	35.52		4442	
	FOURTH							Excluded					218	43.43		284	56.57		502	
		TOTAL											2580	58.08		1862	41.92		4442	
													Elected							
																				
Special Hospital Team 1                                        																				
	FIRST			3	3.03		2	2.02		1	1.01		56	56.57		37	37.37		99	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1	
		TOTAL		3	3.03		2	2.02					56	56.57		38	38.38		99	
	THIRD				Excluded		1	33.33					0	0.00		2	66.67		3	
		TOTAL					3	3.03					56	56.57		40	40.40		99	
	FOURTH							Excluded					1	33.33		2	66.67		3	
		TOTAL											57	57.58		42	42.42		99	
													Elected							
																				
Special Hospital Team 2                                        																				
	FIRST			4	6.35		2	3.17		0	0.00		36	57.14		21	33.33		63	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		4	6.35		2	3.17					36	57.14		21	33.33		63	
	THIRD				Excluded		2	50.00					2	50.00		0	0.00		4	
		TOTAL					4	6.35					38	60.32		21	33.33		63	
	FOURTH							Excluded					3	75.00		1	25.00		4	
		TOTAL											41	65.08		22	34.92		63	
													Elected							
																				
ABSENT																				
	FIRST			257	5.24		630	12.84		195	3.97		2145	43.70		1681	34.25		4908	
	SECOND			18	9.23		89	45.64			Excluded		37	18.97		51	26.15		195	
		TOTAL		275	5.60		719	14.65					2182	44.46		1732	35.29		4908	
	THIRD				Excluded		131	47.64					84	30.55		60	21.82		275	
		TOTAL					850	17.32					2266	46.17		1792	36.51		4908	
	FOURTH							Excluded					384	45.18		466	54.82		850	
		TOTAL											2650	53.99		2258	46.01		4908	
													Elected							
																				
POSTAL																				
	FIRST			124	4.31		200	6.96		42	1.46		1565	54.45		943	32.81		2874	
	SECOND			3	7.14		25	59.52			Excluded		9	21.43		5	11.90		42	
		TOTAL		127	4.42		225	7.83					1574	54.77		948	32.99		2874	
	THIRD				Excluded		44	34.65					54	42.52		29	22.83		127	
		TOTAL					269	9.36					1628	56.65		977	33.99		2874	
	FOURTH							Excluded					112	41.64		157	58.36		269	
		TOTAL											1740	60.54		1134	39.46		2874	
													Elected							
																				
PRE POLL																				
	FIRST			130	5.40		255	10.59		53	2.20		1191	49.48		778	32.32		2407	
	SECOND			5	9.43		21	39.62			Excluded		14	26.42		13	24.53		53	
		TOTAL		135	5.61		276	11.47					1205	50.06		791	32.86		2407	
	THIRD				Excluded		52	38.52					50	37.04		33	24.44		135	
		TOTAL					328	13.63					1255	52.14		824	34.23		2407	
	FOURTH							Excluded					147	44.82		181	55.18		328	
		TOTAL											1402	58.25		1005	41.75		2407	
													Elected							
																				
PROVISIONAL																				
	FIRST			31	6.89		59	13.11		14	3.11		181	40.22		165	36.67		450	
	SECOND			2	14.29		9	64.29			Excluded		3	21.43		0	0.00		14	
		TOTAL		33	7.33		68	15.11					184	40.89		165	36.67		450	
	THIRD				Excluded		11	33.33					11	33.33		11	33.33		33	
		TOTAL					79	17.56					195	43.33		176	39.11		450	
	FOURTH							Excluded					39	49.37		40	50.63		79	
		TOTAL											234	52.00		216	48.00		450	
													Elected							
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
