General Information - 2001 Election: South Australia				
Polling Places				
				
Adelaide				
Polling Place Name	Premises	Address	Suburb	
Adelaide (Adelaide)	Millers Arcade	28-30 Hindley Street	ADELAIDE	
Adelaide East	Christian Brothers College	214 Wakefield St	ADELAIDE	
Adelaide Hospital	Royal Adelaide Hospital	North Tce	ADELAIDE	
Adelaide South	Gilles St Primary School	91 Gilles St	ADELAIDE	
Adelaide West	St Mary's College	253 Franklin St	ADELAIDE	
Black Forest East	Clarence Park Community Centre	Cnr Canterbury Tce & East Ave	BLACK FOREST	
Blair Athol North	Gepps Cross Primary School	Stanley Ave	BLAIR ATHOL	
Broadview	Broadview Baptist Church Hall	Collingrove Ave	BROADVIEW	
Brompton	Bowden Brompton Community Centre	19 Green St	BROMPTON	
Clarence Park	Church of the Trinity	318 Goodwood Rd	CLARENCE PARK	
College Park	Hackney Kindergarten	68 Richmond St	COLLEGE PARK	
Croydon (Adelaide)	St Barnabas Hall	William St	CROYDON
Kilburn	St Brigid's Parish Hall	43 Le Hunte St	KILBURN
Kilburn South	Kilburn Community Centre	59 Gladstone Ave	KILBURN
Lower North Adelaide	Uni Gym	127 Mackinnon Pde	NORTH ADELAIDE
Malvern	Malvern Uniting Church Hall	Cnr Marlborough St & Cambridge Tce	MALVERN
Marden West (Adelaide)	Marden Uniting Church Hall	343 Payneham Rd	MARDEN
Mile End (Adelaide)	St George's College	Rose St	MILE END
Myrtle Bank	Fullarton Scout Hall	Culross Ave	MYRTLE BANK
Nailsworth	Nailsworth Primary School	2 Balfour St	NAILSWORTH
North Adelaide	Christ Church	Jeffcott St	NORTH ADELAIDE
Northfield	Northfield Primary School	North Ave	NORTHFIELD
Northfield South	Ross Smith Secondary School	Hampstead Rd	NORTHFIELD
Parkside East	Parkside Primary School	12 Robsart St	PARKSIDE
Prospect	Prospect Senior Citizens Hall	2 Vine St	PROSPECT
Prospect Estate	Islington Uniting Church Hall	King St	PROSPECT
Prospect North	Blair Athol Primary School	29 Arthur St	PROSPECT
Prospect South	Blackfriars Church Hall	Highbury St	PROSPECT
Prospect West	St John's Church Hall	172 Prospect Rd	PROSPECT
Renown Park	Brompton Primary School	Napier St	RENOWN PARK
St Peters	All Souls Anglican Church Hall	Third Ave	ST PETERS
St Peters East	East Adelaide Primary School	Second Ave	ST PETERS
Unley	Unley Citizens Centre	18 Arthur Street	UNLEY
Walkerville	Walkerville Primary School	Stephen Tce	WALKERVILLE
Walkerville North	St Monica's Hall	90 North East Rd	WALKERVILLE
Wayville	Latvian Evangelican Lutheran Hall	23 Rose Tce	WAYVILLE


Barker			
Polling Place Name	Premises	Address	Suburb
Allendale East	Allendale East Public Hall		ALLENDALE EAST
American River	American River Medical Centre		AMERICAN RIVER
Ashbourne	Ashbourne Campus - Eastern Fleurieu School	Strathalbyn Rd	ASHBOURNE
Beachport	Beachport Recreation Centre	Golf Course Rd	BEACHPORT
Bordertown	Bordertown High School	South Tce	BORDERTOWN
Cambrai	Cambrai Hall	Skinner St	CAMBRAI
Carpenter Rocks	Carpenter Rocks Recreation Hall	Recreation Res	CARPENTER ROCKS
Compton	Compton Primary School	Millicent Rd	COMPTON
Coomandook	Coomandook Uniting Church Hall	Dukes Hwy	COOMANDOOK
Coonalpyn	Coonalpyn Hall		COONALPYN
Coonawarra	Coonawarra Soldiers Memorial Hall	Helen Rd	COONAWARRA
Currency Creek	Currency Creek Hall	Goolwa-Strathalbyn Rd	CURRENCY CREEK
Delamere	St James Church Hall	Main Rd	DELAMERE
Frances	Frances Soldiers Memorial Institute	Railway Tce	FRANCES
Furner	Furner Community Hall		FURNER
Geranium	Geranium Institute	Railway Tce	GERANIUM
Glenburnie	Glenburnie Memorial Hall	Casterton Rd	GLENBURNIE
Glencoe	Glencoe Central Primary School	Kirrup Rd	GLENCOE
Goolwa	Goolwa Primary School	Gardiner St	GOOLWA
Gosse	Western Districts Community Sports Club	Playford Hwy	GOSSE
Greenways	Greenways Memorial Hall	3 Pearson St	GREENWAYS
Hindmarsh Valley	Hindmarsh Valley Memorial Hall	Main Rd	HINDMARSH VALLEY
Hope Forest	Hope Forest Soldiers Memorial Hall	Meadows Rd	HOPE FOREST
Hynam	Hynam Hall	Wimmera Hwy	HYNAM
Inman Valley	Inman Valley Uniting Church Hall	Victor Harbor-Yankalilla Rd	INMAN VALLEY
Jervois	Jervois Sporting Club	Jervois Rd	JERVOIS
Kalangadoo	Kalangadoo Primary School	Millicent Rd	KALANGADOO
Karoonda	Karoonda Institute	Peake St	KAROONDA
Keith	Keith Area School	Tolmer Tce	KEITH
Keyneton	Keyneton Primary School		KEYNETON
Kingscote	Kingscote Town Hall	43 Dauncey St	KINGSCOTE
Kingston	Kingston Community School	East Tce	KINGSTON SE
Kongorong	Kongorong Soldiers Memorial Institute		KONGORONG
Kybybolite	Kybybolite Institute	Lacey Tce	KYBYBOLITE
Lameroo	St Johns Ambulance Centre		LAMEROO
Lucindale	Lucindale Senior Citizens Centre		LUCINDALE
Mannum	Mannum Primary School	Walker Ave	MANNUM
Meningie	Meningie Uniting Church Hall	Princes Hwy	MENINGIE
Middleton	Middleton Old School Room	Walker Pl	MIDDLETON
Milang	Milang Campus - Eastern Fleurieu School	Coxe St	MILANG
Mil Lel	Mil Lel Primary School	Kennedy Ave	MIL LEL
Millicent	Millicent RSL Hall	North Tce	MILLICENT
Millicent South	Millicent South Primary School	Bridges St	MILLICENT
Moorak	Moorak Public Hall	Yells Rd	MOORAK
Mount Burr	Mount Burr Primary School		MOUNT BURR
Mount Compass	Mount Compass Area School	Peters Tce	MOUNT COMPASS
Mount Gambier	Mount Gambier Christ Church Hall	Bay Rd	MOUNT GAMBIER
Mount Gambier East	Mount Gambier East Primary School	Boandik Tce	MOUNT GAMBIER
Mount Gambier North	Mount Gambier North Primary School	Heath St	MOUNT GAMBIER
Mount Gambier Park	McDonald Park Primary School	57 North Tce	MOUNT GAMBIER
Mount Gambier West	Mount Gambier High School	Brownes Rd	MOUNT GAMBIER
Mundulla	Mundulla Primary School	Cnr Hinge & Kennedy Sts	MUNDULLA
Murray Bridge	Murray Bridge Primary School	Mannum Rd	MURRAY BRIDGE
Murray Bridge East	Murray Bridge Showgrounds	Princes Hwy	MURRAY BRIDGE
Murray Bridge South	Murray Bridge High School	Lohmann St	MURRAY BRIDGE
Murray Bridge West	Johnstone Park Combined Clubs Hall	Adelaide Rd	MURRAY BRIDGE
Mypolonga	Mypolonga Institute	Green St	MYPOLONGA
Myponga	Myponga Primary School	Hutchinson St	MYPONGA
Nangula	Nangula Soldiers Memorial Hall	Mt Gambier Rd	NANGULA
Nangwarry	Nangwarry Primary School	Whitford Cres	NANGWARRY
Naracoorte	Naracoorte Lucindale Council Chambers	De Garis Pl	NARACOORTE
Naracoorte South	Naracoorte South Primary School	Cedar Ave	NARACOORTE
Narrung	Narrung Primary School		NARRUNG
Nildottie	Nildottie Hall		NILDOTTIE
O B Flat	O B Flat Primary School	O B Flat Rd	O B FLAT
Padthaway	Padthaway Primary School	Vogelsang Rd	PADTHAWAY
Parawa	Parawa Recreation Hall	Range Rd	PARAWA
Parilla	Parilla Institute	Mallee Hwy	PARILLA
Parndana	Soldier Settlement Museum	Wedgewood Rd	PARNDANA
Peake	Peake & District Sporting Club		PEAKE
Penneshaw	Penneshaw District Hall	Middle Tce	PENNESHAW
Penola	Penola RSL Hall	Young St	PENOLA
Pinnaroo	Pinnaroo Institute	Day St	PINNAROO
Ponde	Ponde Hall		PONDE
Port Elliot	Port Elliot RSL Hall	10 The Strand	PORT ELLIOT
Port MacDonnell	Port MacDonnell Senior Citizens Club	Elizabeth St	PORT MACDONNELL
Purnong	Purnong District Hall		PURNONG LANDING
Rendelsham	Rendelsham Community Hall		RENDELSHAM
Robe	Robe Institute	Smillie St	ROBE
Salt Creek	Salt Creek Primary School	Salt Creek Rd	SALT CREEK
Second Valley	Second Valley Soldiers Memorial Institute	Main Rd	SECOND VALLEY
Sedan	Sedan Hall	Swan Reach Rd	SEDAN
Southend	Southend Community Hall	Eliza St	SOUTHEND
Suttontown	Suttontown Primary School	Pine Hall Ave	SUTTONTOWN
Swan Reach	Swan Reach Area School		SWAN REACH
Tailem Bend	Tailem Bend Town Hall	Railway Tce West	TAILEM BEND
Tantanoola	Tantanoola Primary School	Randall St	TANTANOOLA
Tarpeena	Tarpeena Primary School	Edward St	TARPEENA
Tintinara	Tintinara War Memorial Institute	Becker Tce	TINTINARA
Victor Harbor	Victor Harbor Town Hall	Coral St	VICTOR HARBOR
Victor Harbor East	Adare Uniting Church Hall	The Drive	VICTOR HARBOR
Victor Harbor South	Community Recreation Centre	George Main Rd	VICTOR HARBOR
Walker Flat	Walker Flat Hall		WALKER FLAT
Wanbi	Wanbi Hall		WANBI
Wellington West	Wellington West Community Hall	Jervois Rd	WELLINGTON
Western Flat	Western Flat Hall		WESTERN FLAT
Willalooka	Willalooka Hall		WILLALOOKA
Wolseley	Wolseley Community Club		WOLSELEY
Woods Point	Woods Point Community Hall		WOODS POINT
Yahl	Yahl Primary School	Lange Rd	YAHL
Yankalilla	Jubilee Hall	Main Rd	YANKALILLA


Bonython			
Polling Place Name	Premises	Address	Suburb
Adelaide (Bonython)	Millers Arcade	28-30 Hindley Street	ADELAIDE
Andrews Farm	St Columba College	President Ave	ANDREWS FARM
Angle Vale	Angle Vale Primary School	Heaslip Rd	ANGLE VALE
Brahma Lodge	Brahma Lodge Primary School	Mortess St	BRAHMA LODGE
Craigmore	Craigmore High School	Uley Rd	CRAIGMORE
Craigmore South	Craigmore South Primary School	Turner Dr	CRAIGMORE
Davoren Park North	Davoren Park Primary School	Mitchell St	DAVOREN PARK
Davoren Park South	Swallowcliffe Primary School	Swallowcliffe Rd	DAVOREN PARK
Direk	Direk Primary School	Uraidla Ave	SALISBURY NORTH
Elizabeth	Magistrates Court	Frobisher Rd	ELIZABETH
Elizabeth Downs	Girl Guides Association Hall	Coleman Rd	ELIZABETH DOWNS
Elizabeth East	Elizabeth East Primary School	Dolphin St	ELIZABETH EAST
Elizabeth Grove	Elizabeth Grove Primary School	Haynes St	ELIZABETH GROVE
Elizabeth North	Elizabeth North Primary School	Woodford Rd	ELIZABETH NORTH
Elizabeth Park	Elizabeth Park Junior Primary School	Bowman St	ELIZABETH PARK
Elizabeth South	Elizabeth South Primary School	Chivell St	ELIZABETH SOUTH
Elizabeth Vale	Elizabeth Vale Primary School	Rollison Rd	ELIZABETH VALE
Hillbank	Canterbury Close	37 Blamey Rd	ELIZABETH EAST
Munno Para	Munno Para Primary School	Maltarra Rd	MUNNO PARA
One Tree Hill (Bonython)	One Tree Hill Primary School	McGilp Rd	ONE TREE HILL
Parafield Gardens	Karrendi Primary School	Bradman Rd	PARAFIELD GARDENS
Parafield Gardens Central	Parafield Gdns High School	Shepherdson Rd	PARAFIELD GARDENS
Parafield Gardens North West	The Pines Primary School	Andrew Smith Dr	PARAFIELD GARDENS
Paralowie	Paralowie R-12 School	Halba Cres	PARALOWIE
Paralowie West	Settlers Farm Primary School	Barassi St	PARALOWIE
Salisbury	Salisbury Primary School	Compuda St	SALISBURY
Salisbury Central	"Regency Institute, Salisbury Campus"	Wiltshire St	SALISBURY
Salisbury Downs	Salisbury Downs Primary School	Paramount Rd	SALISBURY DOWNS
Salisbury Heights (Bonython)	Salisbury Heights Primary School	Ward Street	SALISBURY HEIGHTS
Salisbury Heights South	Tyndale Christian School	London Dr	SALISBURY EAST
Salisbury North	Salisbury North R-7 School	38 Bagster Rd	SALISBURY NORTH
Salisbury North West	Salisbury North West Primary School	McCormack Cres	SALISBURY NORTH
Salisbury Park	Salisbury Park Primary School	Goddard Dr	SALISBURY PARK
Smithfield	Smith Creek Primary School	Anderson Walk	SMITHFIELD
Smithfield Plains	Smithfield Plains Primary School	1 Heddle St	SMITHFIELD PLAINS
Virginia (Bonython)	Virginia Primary School	Park Rd	VIRGINIA


Boothby			
Polling Place Name	Premises	Address	Suburb
Aberfoyle Park North (Boothby)	Southern Hills Baptist Church Hall	Cnr Manning Rd & Lyn St	ABERFOYLE PARK
Adelaide (Boothby)	Millers Arcade	28-30 Hindley Street	ADELAIDE
Bedford Park	Flinders Medical Centre	Flinders Dr	BEDFORD PARK
Belair	Belair Schools	Main Rd	BELAIR
Bellevue Heights	Bellevue Heights Primary School	Vaucluse Cres	BELLEVUE HEIGHTS
Blackwood	Blackwood All Hallows Church Hall	Coromandel Parade	BLACKWOOD
Blackwood Central	Blackwood Church of Christ Hall	Shepherds Hill Rd	BLACKWOOD
Brighton	Brighton Uniting Church Hall	443 Brighton Rd	BRIGHTON
Brighton South	South Brighton Community Hall	Dover Square	SOUTH BRIGHTON
Clapham	Mitcham Council Chambers	131 Belair Rd	TORRENS PARK
Clarence Gardens	Clarence Gardens Kindergarten	45 Dinwoodie Ave	CLARENCE GARDENS
Colonel Light Gardens	Colonel Light Gardens Primary School	Windsor Av	COLONEL LIGHT GARDENS
Coromandel Valley (Boothby)	Coromandel Valley Primary School	Main Rd	COROMANDEL VALLEY
Darlington	Marion Council Chambers	245 Sturt Rd	STURT
Daw Park	Colonel Light Gardens Uniting Church Hall	Goodwood Rd	DAW PARK
Dover Gardens	Dover Gardens Primary School - Art Room	Folkestone Rd	DOVER GARDENS
Eden Hills	Blackwood Primary School	Seymour St	EDEN HILLS
Flagstaff Hill (Boothby)	Flagstaff Hill Primary School	Black Rd	FLAGSTAFF HILL
Flagstaff Hill East	Craigburn Primary School	Murrays Hill Rd	FLAGSTAFF HILL
Hawthorn	Hawthorn Uniting Church Hall	Hampton St	HAWTHORN
Hawthorndene	Hawthorndene Primary School	Suffolk Rd	HAWTHORNDENE
Hawthorn West	Hawthorn Church of Christ	42 Angas Road	HAWTHORN
Kingswood	Mitcham Girls' High School	Seafield Av	KINGSWOOD
Marino	Marino Community Hall	Newland Av	MARINO
Marion	Marion Primary School	Malcolm Av	MARION
Melrose Park	Edwardstown Primary School	Maria St	MELROSE PARK
Mitcham	Mitcham Village Institute	103b Princes Rd	MITCHAM
Mitchell Park	Hamilton Secondary College	815 Marion Rd	MITCHELL PARK
Netherby	University of Adelaide - Waite Campus	Gate 3 Waite Road	NETHERBY
North Brighton	Paringa Park Primary School	Bowker St	NORTH BRIGHTON
Oaklands Park	Warradale Anglican Church	Dwyer Rd	OAKLANDS PARK
Panorama	Clapham Primary School	Barretts Road	PANORAMA
Pasadena	Pasadena High School	Daws Rd	PASADENA
St Marys	St Marys Anglican Church Hall	1167 South Rd	ST MARYS
Seacliff	Seacliff Uniting Church Hall	Wheatland St	SEACLIFF
Seacombe Heights	Seaview High School	Seacombe Rd	SEACOMBE HEIGHTS
Seaview Downs	Seaview Downs Primary School	Ross St	SEAVIEW DOWNS
Sturt	Marion Uniting Church	Township Rd	MARION
Tonsley Park	Tonsley Hall	30-48 Bradley Grove	MITCHELL PARK
Warradale	Warradale Primary School	Keynes Av	WARRADALE
Westbourne Park	Westbourne Park Primary School	373 Goodwood Rd	WESTBOURNE PARK
West Brighton	Brighton High School	Ilfracombe Av	NORTH BRIGHTON


Grey			
Polling Place Name	Premises	Address	Suburb
Andamooka	Andamooka Primary School		ANDAMOOKA
Arno Bay	Arno Bay Memorial Hall	Telelkebir Tce	ARNO BAY
Auburn	Auburn RSL Hall	Main Street	AUBURN
Blyth	Blyth Community Hall	Harley St	BLYTH
Booborowie	Booborowie Town Hall	North Tce	BOOBOROWIE
Booleroo Centre	Booleroo Centre Civic Centre	Stephens St	BOOLEROO CENTRE
Brinkworth	Brinkworth Memorial Hall	Main St	BRINKWORTH
Burra	Burra Community Activity Centre	Cnr Morehead & Young Sts	BURRA
Ceduna	Ceduna Memorial Hall	31 Poynton St	CEDUNA
Clare	Clare Sport & Recreation Centre	180 Main North Rd	CLARE
Cleve	Cleve St John's Centre	20 Fourth St	CLEVE
Coffin Bay	Coffin Bay Civic Hall	The Esplanade	COFFIN BAY
Coober Pedy	Spencer Institute of TAFE - Coober Pedy Campus	Hutchison St	COOBER PEDY
Cowell	Cowell Institute	Third St	COWELL
Crystal Brook	Crystal Brook Institute	Bowman St	CRYSTAL BROOK
Cummins	Cummins Community Hall	Railway Tce	CUMMINS
Darke Peak	Darke Peake War Memorial Hall	Railway Tce	DARKE PEAK
Elliston	Elliston CWA Rooms	Beach Tce	ELLISTON
Eudunda	Eudunda CWA Hall	Bruce St	EUDUNDA
Farrell Flat	Farrell Flat Primary School	Love St	FARRELL FLAT
Georgetown	Georgetown Memorial Hall	Pitt St	GEORGETOWN
Gladstone	Gladstone Memorial Hall	Cross St	GLADSTONE
Hallett	Hallett Institute Hall	Alfred St	HALLETT
Hawker	Hawker Council Office	72 Cradock Rd	HAWKER
Iron Knob	Iron Knob Institute Hall	Seventh St	IRON KNOB
Jamestown	Jamestown Health Centre	66 Irvine St	JAMESTOWN
Karkoo	Karkoo Hall	Archie Griffiths Rd	KARKOO
Kimba	Kimba Emergency Services	Cross St	KIMBA
Kirton Point	Kirton Point Primary School	Matthew Pl	PORT LINCOLN
Laura	Laura RSL Hall	Herbert St	LAURA
Leigh Creek	Leigh Creek Area School	Black Oak Dr	LEIGH CREEK
Lochiel	Lochiel Hall	Frances Tce	LOCHIEL
Lock	Lock Hall	Railway Tce	LOCK
Manoora	Manoora Hall	Weymouth St	MANOORA
Marrabel	Marrabel District Hall	Main St	MARRABEL
Melrose	Melrose Primary School	Stuart St	MELROSE
Minnipa	Minnipa Kindergarten	Clive St	MINNIPA
Napperby	Napperby School	North Tce	NAPPERBY
North Shields	North Shields Hall	Dorward Street	NORTH SHIELDS
Orroroo	Orroroo Town Hall	17 Second St	ORROROO
Peterborough	Peterborough Senior Citizens Rooms	Main St	PETERBOROUGH
Point Pass	Point Pass District Hall	Main St	POINT PASS
Poochera	Poochera Hall	Railway Tce	POOCHERA
Port Augusta Central	Cooinda Conference Room	32 Flinders Tce	PORT AUGUSTA
Port Augusta East	Spencer Institute of TAFE - Pt Augusta Campus	9-39 Carlton Pde	PORT AUGUSTA
Port Augusta West	Flinders View Primary School	Chinnery St	PORT AUGUSTA
Port Broughton	Port Broughton Institute	Bay St	PORT BROUGHTON
Port Germein	Port Germein School	Fifth St	PORT GERMEIN
Port Kenny	Port Kenny Hall	Flinders Hwy	PORT KENNY
Port Lincoln	Port Lincoln RSL Hall	Hallett Pl	PORT LINCOLN
Port Lincoln Central	Port Lincoln Lutheran Church Hall	Flinders Hwy	PORT LINCOLN
Port Lincoln South	Lincoln South Football Club	Tennant St	PORT LINCOLN
Port Neill	Port Neill War Memorial Hall	Wallis St	PORT NEILL
Port Pirie South	Risdon Park Primary School	Kingston Rd	PORT PIRIE
Port Pirie West	Spencer Institute of TAFE-Port Pirie Campus	Mary Elie St	PORT PIRIE
Quorn	Flinders Ranges Council Chamber	1 Seventh St	QUORN
Redhill	Redhill Council Chambers	Moorhouse St	REDHILL
Risdon Park East	Port Pirie Uniting Church Hall	390 The Terrace	PORT PIRIE
Risdon Park South	Baptist Church Hall	Hannan St	PORT PIRIE
Riverton	Riverton Primary School	21 Swinden St	RIVERTON
Robertstown	Robertstown Peace Hall	32 Commercial St	ROBERTSTOWN
Roxby Downs	Roxby Downs Christian Community Church	Cnr Burgoyne & Tutop Sts.	ROXBY DOWNS
Saddleworth	Saddleworth RSL Hall	16 Belvidere Rd	SADDLEWORTH
Smoky Bay	Smoky Bay CFS Hall	Tremaine St	SMOKY BAY
Snowtown	Snowtown Soldiers Memorial Hall	Railway Tce	SNOWTOWN
Solomontown	Solomontown Primary School	79 Three Chain Road	PORT PIRIE
Spalding	Spalding RSL Hall	Main St	SPALDING
Stirling North	Stirling North Kindergarten	Quorn Rd	STIRLING NORTH
Streaky Bay	Streaky Bay RSL Hall	Flinders Highway	STREAKY BAY
Tarlee	Tarlee Community Hall	Main North Rd	TARLEE
Terowie	Terowie Institute	Main St	TEROWIE
Tumby Bay	Tumby Bay Uniting Church Hall	Spencer St	TUMBY BAY
Ungarra	Ungarra Hall	Main St	UNGARRA
Wangary	Marble Range Comm & Sport Cent	Flinders Highway	WANGARY
Warramboo	Warramboo Primary School	Barns St	WARRAMBOO
Watervale	Watervale Primary School	Main North Rd	WATERVALE
Whyalla Central East	Whyalla Town Primary School	1 Wall St	WHYALLA
Whyalla Central West	Whyalla Memorial Oval Primary School	Bradford St	WHYALLA
Whyalla Norrie East	Whyalla Nicolson Avenue Primary School	Nicolson Ave	WHYALLA NORRIE
Whyalla Norrie North	Whyalla Hincks Avenue Primary School	Hincks Ave	WHYALLA NORRIE
Whyalla Norrie North-West	Whyalla Fisk Street Primary School	Pattinson Close	WHYALLA NORRIE
Whyalla Norrie South	Whyalla Long Street Primary School	Long St	WHYALLA NORRIE
Whyalla Stuart South	Whyalla Stuart Campus	Scott St	WHYALLA STUART
Whyalla Stuart West	Stuart High School	Bastyan Cres	WHYALLA STUART
Willsden	Willsden Primary School	Elizabeth Tce	PORT AUGUSTA
Wilmington	Wilmington CWA Rooms	Main St	WILMINGTON
Wirrabara	Wirrabara Institute	High St	WIRRABARA
Wirrulla	Wirrulla Memorial Hall	Chapman Tce	WIRRULLA
Woomera	Woomera Area School	Dewrang Ave	WOOMERA
Wudinna	Wudinna Senior Citizens Hall	Naylor Tce	WUDINNA
Yacka	Yacka Hall	Hawker St	YACKA


Hindmarsh			
Polling Place Name	Premises	Address	Suburb
Adelaide (Hindmarsh)	Millers Arcade	28-30 Hindley Street	ADELAIDE
Ascot Park South	Active Elders Association Rooms	Cnr Charles and Albert Sts	ASCOT PARK
Brooklyn Park	Brooklyn Park Church of Christ Hall	9 Allen Ave	BROOKLYN PARK
Brooklyn Park South	Lockleys Primary School	29 Elston St	BROOKLYN PARK
Camden Park	Camden Park Scout Hall	Cnr Deeds Rd & Bristol Ave	CAMDEN PARK
Cowandilla	Cowandilla Primary School	1 Jenkins St	COWANDILLA
Cowandilla West	Flora Mcdonald Lodge	206 Sir Donald Bradman Dr	COWANDILLA
Edwardstown	Edwardstown Community Church Hall	Cnr Delaine Ave & Towers Tce	EDWARDSTOWN
Flinders Park	Flinders Park Church of Christ Hall	Drake Ave	FLINDERS PARK
Forbes	Forbes Primary School	80 Thomas St	SOUTH PLYMPTON
Fulham	Fulham Sea Scouts Hall	Coral Sea Rd	FULHAM
Fulham Gardens	Fulham Gardens Primary School	Mitton Ave	HENLEY BEACH
Glandore	Black Forest Baptist Church Hall	614 South Rd	GLANDORE
Glenelg Central	St Mary's Hall	17 High St	GLENELG
Glenelg East	Glenelg Primary School	Diagonal Rd	GLENELG EAST
Glenelg North	St Leonards Primary School	Jervois St	GLENELG NORTH
Glenelg South	St Martin's Church Hall	45 Hastings St	GLENELG SOUTH
Glengowrie	Glengowrie Uniting Church Hall	Beadnall Tce	GLENGOWRIE
Grovene	Dunbar Tce Kindergarten	38B Dunbar Tce	GLENELG EAST
Henley Beach	Temple Uniting Church Hall	214 Military Rd	HENLEY BEACH
Henley South	Henley Beach Primary School	38 Hazel Tce	HENLEY BEACH SOUTH
Kidman Park	Kidman Park Primary School	Dean Ave	KIDMAN PARK
Kidman Park South	S.A. Sports Institute	27 Valetta Rd	KIDMAN PARK
Kurralta Park	Hayhurst Guide Hall	Cnr Daly Ave & Cross Tce	KURRALTA PARK
Lockleys	Lockleys Baptist Church Hall	Cross St	LOCKLEYS
Lockleys North	Lockleys North Primary School	55 Malurus Ave	LOCKLEYS
Mile End (Hindmarsh)	St George's College	Rose St	MILE END
Morphettville	St Swithuns Church Hall	Morphett Rd	MORPHETTVILLE
Netley	Netley Kindergarten	Comet Ave	NETLEY
Novar Gardens	Immanuel Primary School	Cnr Morphett Rd & Saratoga Dr	NOVAR GARDENS
Park Holme	Park Holme Baptist Church Hall	80 Hendrie St	PARK HOLME
Park Holme South	Ascot Park Primary School	Duncan Ave	PARK HOLME
Plympton	Plympton Primary School	19 Owen St	PLYMPTON
Plympton Park	Plympton RSL Hall	464 Marion Rd	PLYMPTON PARK
Plympton West	William Light R-12 School	21 Errington St	PLYMPTON
Richmond	Tenison Woods Catholic School	68 Brooker Tce	RICHMOND
Somerton Park East	Masonic Homes Inc Hall	91 Diagonal Rd	SOMERTON PARK
South Plympton	Vermont Uniting Church Hall	Cross Rd	SOUTH PLYMPTON
Torrensville	Thebarton Senior College Gymnasium	40 Ashley St	TORRENSVILLE
West Beach	West Beach Primary School	3 Woodhead St	WEST BEACH
West Richmond	West Richmond Uniting Church Hall	Trennery St	WEST RICHMOND


Kingston			
Polling Place Name	Premises	Address	Suburb
Adelaide (Kingston)	Millers Arcade	28-30 Hindley Street	ADELAIDE
Aldinga Beach	Aldinga Primary School	Quinliven Rd	ALDINGA
Christie Downs	Christie Downs Primary School	Elizabeth Rd	CHRISTIE DOWNS
Christies Beach	Christies Beach Primary School	Maturin Ave	CHRISTIES BEACH
Christies North	St John the Apostle Parish School	Winnerah Road	CHRISTIES BEACH
Hackham	Hackham West Primary School	Glynville Dr	HACKHAM WEST
Hackham East	Hackham East Primary School	Collins Pde	HACKHAM
Hackham South	Hackham South Primary School	Melsetter Rd	HUNTFIELD HEIGHTS
Hallett Cove	Hallett Cove South Primary School	Livonia St	HALLETT COVE
Happy Valley (Kingston)	Happy Valley Primary School	Education Rd	HAPPY VALLEY
Karrara	Hallett Cove East Primary School	Quailo Ave	HALLETT COVE
Lonsdale	Lonsdale Heights Primary School	Sunningdale Dr	CHRISTIE DOWNS
Maslin Beach	Maslin Beach Community Hall	Parkway Dr	MASLIN BEACH
Moana	Moana Primary School	Schooner Rd	MOANA
Morphett Vale	Flaxmill Primary School	Flaxmill Rd	MORPHETT VALE
Morphett Vale East	Morphett Vale East Primary School	Monarch St	MORPHETT VALE
