Senate - 2001 Election: Australian Capital Territory																														
First Preference Votes by Group - Polling Place																														
Australian Capital Territory																														

Fraser (112225)																														
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Evatt		304	9.40		75	2.32		169	5.22		1450	44.82		1057	32.67		110	3.40		70	2.16		3235	97.32		89	2.68		3324	3.12
Evatt South		161	10.94		29	1.97		74	5.03		656	44.57		510	34.65		21	1.43		21	1.43		1472	98.26		26	1.74		1498	1.41
Florey		218	9.96		37	1.69		108	4.93		1061	48.47		688	31.43		44	2.01		33	1.51		2189	96.39		82	3.61		2271	2.13
Flynn		170	10.00		23	1.35		99	5.82		800	47.06		543	31.94		29	1.71		36	2.12		1700	97.25		48	2.75		1748	1.64
Fraser		159	10.42		29	1.90		102	6.68		641	42.01		524	34.34		47	3.08		24	1.57		1526	97.88		33	2.12		1559	1.47
Giralang		233	11.09		69	3.28		116	5.52		928	44.17		666	31.70		55	2.62		34	1.62		2101	96.78		70	3.22		2171	2.04
Griffith		201	10.81		19	1.02		175	9.41		773	41.58		629	33.84		24	1.29		38	2.04		1859	97.23		53	2.77		1912	1.80
Gungahlin		206	12.75		28	1.73		47	2.91		598	37.00		672	41.58		38	2.35		27	1.67		1616	98.66		22	1.34		1638	1.54
Hall		24	6.98		6	1.74		33	9.59		104	30.23		157	45.64		9	2.62		11	3.20		344	98.57		5	1.43		349	0.33
Higgins		226	10.20		44	1.99		149	6.72		955	43.10		741	33.44		61	2.75		40	1.81		2216	97.36		60	2.64		2276	2.14
Holt		250	10.70		76	3.25		108	4.62		1038	44.42		772	33.03		70	3.00		23	0.98		2337	96.93		74	3.07		2411	2.27
Jervis Bay		7	6.42		2	1.83		6	5.50		40	36.70		49	44.95		5	4.59		0	0.00		109	100.00		0	0.00		109	0.10
Kaleen		281	9.67		58	2.00		151	5.19		1364	46.92		948	32.61		80	2.75		25	0.86		2907	96.58		103	3.42		3010	2.83
Kaleen South		184	10.97		49	2.92		107	6.38		725	43.23		540	32.20		48	2.86		24	1.43		1677	96.88		54	3.12		1731	1.63
Latham		177	9.06		45	2.30		86	4.40		854	43.73		698	35.74		53	2.71		40	2.05		1953	97.46		51	2.54		2004	1.88
Lyneham		435	11.89		40	1.09		642	17.55		1557	42.55		845	23.09		52	1.42		88	2.41		3659	96.49		133	3.51		3792	3.56
Macgregor		187	10.54		32	1.80		109	6.14		819	46.17		537	30.27		56	3.16		34	1.92		1774	98.34		30	1.66		1804	1.70
Macquarie		237	13.78		45	2.62		176	10.23		709	41.22		468	27.21		41	2.38		44	2.56		1720	97.23		49	2.77		1769	1.66
Melba		265	11.61		45	1.97		138	6.04		969	42.44		781	34.21		39	1.71		46	2.01		2283	97.73		53	2.27		2336	2.20
Narrabundah		199	10.86		16	0.87		142	7.75		925	50.46		473	25.80		44	2.40		34	1.85		1833	95.82		80	4.18		1913	1.80
Ngunnawal		306	10.72		61	2.14		120	4.20		1211	42.42		1084	37.97		57	2.00		16	0.56		2855	98.01		58	1.99		2913	2.74
Ngunnawal South		127	11.91		25	2.35		43	4.03		411	38.56		420	39.40		26	2.44		14	1.31		1066	99.44		6	0.56		1072	1.01
Nicholls		328	12.02		39	1.43		61	2.24		1088	39.88		1116	40.91		44	1.61		52	1.91		2728	98.16		51	1.84		2779	2.61
Page		205	12.75		52	3.23		107	6.65		677	42.10		501	31.16		31	1.93		35	2.18		1608	96.81		53	3.19		1661	1.56
Palmerston		327	10.29		51	1.60		105	3.30		1373	43.20		1222	38.45		52	1.64		48	1.51		3178	97.07		96	2.93		3274	3.08
Reid		70	10.45		6	0.90		79	11.79		264	39.40		216	32.24		6	0.90		29	4.33		670	96.82		22	3.18		692	0.65
Scullin		238	11.50		42	2.03		161	7.78		918	44.35		632	30.53		50	2.42		29	1.40		2070	97.05		63	2.95		2133	2.00
Turner		244	13.36		21	1.15		409	22.39		761	41.65		321	17.57		22	1.20		49	2.68		1827	96.92		58	3.08		1885	1.77
Watson		278	9.71		39	1.36		393	13.73		1214	42.42		795	27.78		72	2.52		71	2.48		2862	97.18		83	2.82		2945	2.77
Weetangera		315	12.52		37	1.47		165	6.56		933	37.10		954	37.93		30	1.19		81	3.22		2515	98.24		45	1.76		2560	2.41
Wreck Bay		0	0.00		0	0.00		8	10.26		70	89.74		0	0.00		0	0.00		0	0.00		78	100.00		0	0.00		78	0.07
Special Hospitals		34	6.68		6	1.18		14	2.75		188	36.94		251	49.31		10	1.96		6	1.18		509	96.40		19	3.60		528	0.50
Prison Mobiles		2	13.33		1	6.67		0	0.00		7	46.67		3	20.00		2	13.33		0	0.00		15	100.00		0	0.00		15	0.01
Total Ordinary		9138	11.12		1494	1.82		6855	8.34		35259	42.89		26119	31.77		1708	2.08		1636	1.99		82209	97.36		2226	2.64		84435	79.36
ABSENT		302	12.29		38	1.55		251	10.21		986	40.11		793	32.26		55	2.24		33	1.34		2458	97.73		57	2.27		2515	2.36
POSTAL		305	9.34		50	1.53		187	5.73		1317	40.34		1263	38.68		99	3.03		44	1.35		3265	99.03		32	0.97		3297	3.10
PRE_POLL		1796	11.85		200	1.32		1381	9.11		6269	41.35		4992	32.93		344	2.27		179	1.18		15161	98.57		220	1.43		15381	14.46
PROVISIONAL		85	11.13		10	1.31		75	9.82		357	46.73		209	27.36		21	2.75		7	0.92		764	98.84		9	1.16		773	0.73
Division Summary		11626	11.19		1792	1.73		8749	8.42		44188	42.55		33376	32.14		2227	2.14		1899	1.83		103857	97.61		2544	2.39		106401	94.81
