Senate - 2001 Election: Australian Capital Territory																														
First Preference Votes by Group 																														
By  Polling Place																														

Canberra (108959)																														
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Gilmore		237	10.13		29	1.24		91	3.89		980	41.90		879	37.58		83	3.55		40	1.71		2339	98.24		42	1.76		2381	2.29
Gordon		383	9.87		64	1.65		116	2.99		1654	42.62		1549	39.91		80	2.06		35	0.90		3881	98.05		77	1.95		3958	3.81
Gowrie		194	9.99		41	2.11		72	3.71		842	43.38		725	37.35		32	1.65		35	1.80		1941	97.34		53	2.66		1994	1.92
Holder		159	9.89		30	1.87		139	8.65		691	43.00		524	32.61		30	1.87		34	2.12		1607	97.51		41	2.49		1648	1.58
Hughes		304	10.17		49	1.64		279	9.33		1136	38.01		1096	36.67		35	1.17		90	3.01		2989	97.55		75	2.45		3064	2.95
Isabella Plains		271	10.42		64	2.46		81	3.11		1135	43.64		953	36.64		81	3.11		16	0.62		2601	97.56		65	2.44		2666	2.56
Kambah East		252	12.54		49	2.44		87	4.33		886	44.10		659	32.80		45	2.24		31	1.54		2009	97.57		50	2.43		2059	1.98
Kambah North		200	12.11		40	2.42		91	5.51		722	43.73		544	32.95		30	1.82		24	1.45		1651	97.40		44	2.60		1695	1.63
Kambah South		180	10.82		43	2.58		102	6.13		759	45.61		526	31.61		36	2.16		18	1.08		1664	97.65		40	2.35		1704	1.64
Kambah West		328	9.25		92	2.60		237	6.69		1513	42.68		1234	34.81		87	2.45		54	1.52		3545	97.36		96	2.64		3641	3.50
Lyons		167	11.69		18	1.26		135	9.45		639	44.75		405	28.36		35	2.45		29	2.03		1428	97.74		33	2.26		1461	1.40
Mawson		307	10.57		32	1.10		201	6.92		1146	39.45		1100	37.87		54	1.86		65	2.24		2905	96.22		114	3.78		3019	2.90
Monash		272	8.92		58	1.90		121	3.97		1368	44.85		1121	36.75		75	2.46		35	1.15		3050	97.04		93	2.96		3143	3.02
Oaks Estate		16	9.47		4	2.37		15	8.88		69	40.83		53	31.36		9	5.33		3	1.78		169	96.02		7	3.98		176	0.17
Pearce		272	11.15		50	2.05		126	5.17		952	39.03		920	37.72		63	2.58		56	2.30		2439	97.40		65	2.60		2504	2.41
Red Hill		149	8.00		16	0.86		140	7.52		687	36.90		803	43.13		15	0.81		52	2.79		1862	97.64		45	2.36		1907	1.83
Richardson		151	8.34		33	1.82		55	3.04		820	45.30		675	37.29		59	3.26		17	0.94		1810	97.52		46	2.48		1856	1.78
Rivett		227	12.05		48	2.55		111	5.89		813	43.15		604	32.06		54	2.87		27	1.43		1884	97.52		48	2.48		1932	1.86
Tharwa		22	16.18		3	2.21		15	11.03		35	25.74		51	37.50		6	4.41		4	2.94		136	97.84		3	2.16		139	0.13
Theodore		168	10.69		32	2.04		55	3.50		706	44.91		551	35.05		42	2.67		18	1.15		1572	97.88		34	2.12		1606	1.54
Wanniassa		330	11.64		72	2.54		126	4.45		1276	45.02		925	32.64		73	2.58		32	1.13		2834	97.09		85	2.91		2919	2.81
Wanniassa Hills		294	10.65		81	2.93		162	5.87		1131	40.98		986	35.72		65	2.36		41	1.49		2760	98.05		55	1.95		2815	2.71
Waramanga		348	10.66		61	1.87		222	6.80		1424	43.61		1038	31.79		75	2.30		97	2.97		3265	97.11		97	2.89		3362	3.23
Weston		178	9.51		40	2.14		173	9.25		762	40.73		640	34.21		35	1.87		43	2.30		1871	97.55		47	2.45		1918	1.84
Yarralumla		172	9.82		16	0.91		189	10.79		689	39.35		589	33.64		16	0.91		80	4.57		1751	97.28		49	2.72		1800	1.73
Special Hospitals		22	3.42		5	0.78		20	3.11		201	31.21		388	60.25		6	0.93		2	0.31		644	92.00		56	8.00		700	0.67
Total Ordinary		8313	10.29		1457	1.80		4752	5.88		33619	41.60		29370	36.34		1740	2.15		1559	1.93		80810	97.48		2090	2.52		82900	79.71
ABSENT		306	11.07		52	1.88		334	12.08		1070	38.70		893	32.30		63	2.28		47	1.70		2765	98.08		54	1.92		2819	2.71
POSTAL		248	9.47		64	2.44		89	3.40		959	36.60		1146	43.74		85	3.24		29	1.11		2620	98.57		38	1.43		2658	2.56
PRE_POLL		1509	10.20		224	1.51		865	5.85		6200	41.93		5496	37.17		348	2.35		146	0.99		14788	98.77		184	1.23		14972	14.40
PROVISIONAL		70	11.04		13	2.05		36	5.68		295	46.53		194	30.60		22	3.47		4	0.63		634	97.84		14	2.16		648	0.62
Division Summary		10446	10.28		1810	1.78		6076	5.98		42143	41.47		37099	36.51		2258	2.22		1785	1.76		101617	97.71		2380	2.29		103997	95.45
