Senate - 2001 Election: Australian Capital Territory																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												


Canberra (108959)																																																																																																																																																																																																																																																												

	   		 A Australian Democrats												 B Christian Democratic Party (Fred Nile Group)												 C Australian Greens												 D Australian Labor Party (ACT Branch)												 E Liberal Party of Australia - ACT Division												 F Pauline Hanson's One Nation												Ungrouped																																																																																																																																																																																	
    			TICKET VOTES			SIEVERS			DUNDAS			Group Total			TICKET VOTES			MCCLURE			JANES			Group Total			TICKET VOTES			CORR			FAHEY			Group Total			TICKET VOTES			# LUNDY			POKE			Group Total			TICKET VOTES			# REID			HANLON			Group Total			TICKET VOTES			TARLINTON			TARLINTON			Group Total			ARNOLD			HELM			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																																																																																		
    						Wayne			Roslyn Jane									Ian			Tim									Gary			Felicity									Kate			Robin									Margaret			Bill									Don			Ted						James T A			Ken																																																																																																																																																																														
Polling Places			Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																																																																																	
Fadden			157	6.86		72	3.15		20	0.87		249	10.88		15	0.66		8	0.35		2	0.09		25	1.09		42	1.83		39	1.70		7	0.31		88	3.84		679	29.66		143	6.25		6	0.26		828	36.17		907	39.62		105	4.59		9	0.39		1021	44.60		18	0.79		7	0.31		1	0.04		26	1.14		1	0.04		51	2.23		52	2.27		2289	98.62		32	1.38		2321	2.23																																																																																																																																																															
Farrer			174	6.22		77	2.75		19	0.68		270	9.66		34	1.22		9	0.32		2	0.07		45	1.61		78	2.79		52	1.86		9	0.32		139	4.97		823	29.43		201	7.19		8	0.29		1032	36.91		1056	37.77		141	5.04		9	0.32		1206	43.13		22	0.79		13	0.46		1	0.04		36	1.29		1	0.04		67	2.40		68	2.43		2796	97.32		77	2.68		2873	2.76																																																																																																																																																															
Gilmore			176	7.52		44	1.88		17	0.73		237	10.13		22	0.94		6	0.26		1	0.04		29	1.24		48	2.05		33	1.41		10	0.43		91	3.89		828	35.40		144	6.16		8	0.34		980	41.90		783	33.48		87	3.72		9	0.38		879	37.58		66	2.82		16	0.68		1	0.04		83	3.55		1	0.04		39	1.67		40	1.71		2339	98.24		42	1.76		2381	2.29																																																																																																																																																															
Gordon			298	7.68		64	1.65		21	0.54		383	9.87		37	0.95		22	0.57		5	0.13		64	1.65		82	2.11		22	0.57		12	0.31		116	2.99		1412	36.38		222	5.72		20	0.52		1654	42.62		1402	36.12		130	3.35		17	0.44		1549	39.91		65	1.67		13	0.33		2	0.05		80	2.06		1	0.03		34	0.88		35	0.90		3881	98.05		77	1.95		3958	3.81																																																																																																																																																															
Gowrie			125	6.44		50	2.58		19	0.98		194	9.99		19	0.98		19	0.98		3	0.15		41	2.11		34	1.75		32	1.65		6	0.31		72	3.71		699	36.01		130	6.70		13	0.67		842	43.38		632	32.56		79	4.07		14	0.72		725	37.35		27	1.39		5	0.26		0	0.00		32	1.65		0	0.00		35	1.80		35	1.80		1941	97.34		53	2.66		1994	1.92																																																																																																																																																															
Holder			103	6.41		37	2.30		19	1.18		159	9.89		16	1.00		12	0.75		2	0.12		30	1.87		88	5.48		35	2.18		16	1.00		139	8.65		567	35.28		119	7.41		5	0.31		691	43.00		454	28.25		66	4.11		4	0.25		524	32.61		20	1.24		10	0.62		0	0.00		30	1.87		1	0.06		33	2.05		34	2.12		1607	97.51		41	2.49		1648	1.58																																																																																																																																																															
Hughes			169	5.65		107	3.58		28	0.94		304	10.17		17	0.57		30	1.00		2	0.07		49	1.64		130	4.35		115	3.85		34	1.14		279	9.33		888	29.71		232	7.76		16	0.54		1136	38.01		938	31.38		147	4.92		11	0.37		1096	36.67		28	0.94		6	0.20		1	0.03		35	1.17		2	0.07		88	2.94		90	3.01		2989	97.55		75	2.45		3064	2.95																																																																																																																																																															
Isabella Plains			197	7.57		57	2.19		17	0.65		271	10.42		37	1.42		20	0.77		7	0.27		64	2.46		54	2.08		16	0.62		11	0.42		81	3.11		1005	38.64		121	4.65		9	0.35		1135	43.64		849	32.64		91	3.50		13	0.50		953	36.64		67	2.58		12	0.46		2	0.08		81	3.11		0	0.00		16	0.62		16	0.62		2601	97.56		65	2.44		2666	2.56																																																																																																																																																															
Kambah East			162	8.06		66	3.29		24	1.19		252	12.54		31	1.54		15	0.75		3	0.15		49	2.44		65	3.24		19	0.95		3	0.15		87	4.33		727	36.19		149	7.42		10	0.50		886	44.10		583	29.02		66	3.29		10	0.50		659	32.80		35	1.74		9	0.45		1	0.05		45	2.24		2	0.10		29	1.44		31	1.54		2009	97.57		50	2.43		2059	1.98																																																																																																																																																															
Kambah North			130	7.87		56	3.39		14	0.85		200	12.11		15	0.91		20	1.21		5	0.30		40	2.42		46	2.79		29	1.76		16	0.97		91	5.51		601	36.40		115	6.97		6	0.36		722	43.73		478	28.95		60	3.63		6	0.36		544	32.95		24	1.45		5	0.30		1	0.06		30	1.82		1	0.06		23	1.39		24	1.45		1651	97.40		44	2.60		1695	1.63																																																																																																																																																															
Kambah South			124	7.45		42	2.52		14	0.84		180	10.82		22	1.32		19	1.14		2	0.12		43	2.58		51	3.06		40	2.40		11	0.66		102	6.13		631	37.92		123	7.39		5	0.30		759	45.61		461	27.70		55	3.31		10	0.60		526	31.61		32	1.92		4	0.24		0	0.00		36	2.16		0	0.00		18	1.08		18	1.08		1664	97.65		40	2.35		1704	1.64																																																																																																																																																															
Kambah West			211	5.95		77	2.17		40	1.13		328	9.25		49	1.38		38	1.07		5	0.14		92	2.60		131	3.70		78	2.20		28	0.79		237	6.69		1237	34.89		258	7.28		18	0.51		1513	42.68		1087	30.66		135	3.81		12	0.34		1234	34.81		67	1.89		18	0.51		2	0.06		87	2.45		0	0.00		54	1.52		54	1.52		3545	97.36		96	2.64		3641	3.50																																																																																																																																																															
Lyons			113	7.91		38	2.66		16	1.12		167	11.69		8	0.56		5	0.35		5	0.35		18	1.26		71	4.97		47	3.29		17	1.19		135	9.45		528	36.97		106	7.42		5	0.35		639	44.75		358	25.07		44	3.08		3	0.21		405	28.36		26	1.82		8	0.56		1	0.07		35	2.45		2	0.14		27	1.89		29	2.03		1428	97.74		33	2.26		1461	1.40																																																																																																																																																															
Mawson			210	7.23		72	2.48		25	0.86		307	10.57		20	0.69		10	0.34		2	0.07		32	1.10		121	4.17		56	1.93		24	0.83		201	6.92		930	32.01		207	7.13		9	0.31		1146	39.45		986	33.94		99	3.41		15	0.52		1100	37.87		40	1.38		13	0.45		1	0.03		54	1.86		2	0.07		63	2.17		65	2.24		2905	96.22		114	3.78		3019	2.90																																																																																																																																																															
Monash			188	6.16		65	2.13		19	0.62		272	8.92		29	0.95		22	0.72		7	0.23		58	1.90		77	2.52		27	0.89		17	0.56		121	3.97		1168	38.30		183	6.00		17	0.56		1368	44.85		997	32.69		110	3.61		14	0.46		1121	36.75		63	2.07		10	0.33		2	0.07		75	2.46		2	0.07		33	1.08		35	1.15		3050	97.04		93	2.96		3143	3.02																																																																																																																																																															
Oaks Estate			10	5.92		5	2.96		1	0.59		16	9.47		3	1.78		1	0.59		0	0.00		4	2.37		8	4.73		6	3.55		1	0.59		15	8.88		59	34.91		8	4.73		2	1.18		69	40.83		49	28.99		4	2.37		0	0.00		53	31.36		6	3.55		3	1.78		0	0.00		9	5.33		0	0.00		3	1.78		3	1.78		169	96.02		7	3.98		176	0.17																																																																																																																																																															
Pearce			160	6.56		80	3.28		32	1.31		272	11.15		25	1.03		23	0.94		2	0.08		50	2.05		67	2.75		42	1.72		17	0.70		126	5.17		771	31.61		168	6.89		13	0.53		952	39.03		792	32.47		117	4.80		11	0.45		920	37.72		40	1.64		23	0.94		0	0.00		63	2.58		3	0.12		53	2.17		56	2.30		2439	97.40		65	2.60		2504	2.41																																																																																																																																																															
Red Hill			93	4.99		48	2.58		8	0.43		149	8.00		9	0.48		7	0.38		0	0.00		16	0.86		69	3.71		60	3.22		11	0.59		140	7.52		550	29.54		133	7.14		4	0.21		687	36.90		700	37.59		94	5.05		9	0.48		803	43.13		13	0.70		2	0.11		0	0.00		15	0.81		1	0.05		51	2.74		52	2.79		1862	97.64		45	2.36		1907	1.83																																																																																																																																																															
Richardson			106	5.86		34	1.88		11	0.61		151	8.34		17	0.94		13	0.72		3	0.17		33	1.82		32	1.77		15	0.83		8	0.44		55	3.04		717	39.61		97	5.36		6	0.33		820	45.30		604	33.37		64	3.54		7	0.39		675	37.29		48	2.65		11	0.61		0	0.00		59	3.26		0	0.00		17	0.94		17	0.94		1810	97.52		46	2.48		1856	1.78																																																																																																																																																															
Rivett			165	8.76		48	2.55		14	0.74		227	12.05		30	1.59		16	0.85		2	0.11		48	2.55		59	3.13		30	1.59		22	1.17		111	5.89		667	35.40		144	7.64		2	0.11		813	43.15		537	28.50		65	3.45		2	0.11		604	32.06		48	2.55		6	0.32		0	0.00		54	2.87		3	0.16		24	1.27		27	1.43		1884	97.52		48	2.48		1932	1.86																																																																																																																																																															
Tharwa			12	8.82		7	5.15		3	2.21		22	16.18		2	1.47		0	0.00		1	0.74		3	2.21		8	5.88		6	4.41		1	0.74		15	11.03		28	20.59		7	5.15		0	0.00		35	25.74		46	33.82		4	2.94		1	0.74		51	37.50		3	2.21		3	2.21		0	0.00		6	4.41		0	0.00		4	2.94		4	2.94		136	97.84		3	2.16		139	0.13																																																																																																																																																															
Theodore			120	7.63		39	2.48		9	0.57		168	10.69		20	1.27		11	0.70		1	0.06		32	2.04		34	2.16		17	1.08		4	0.25		55	3.50		607	38.61		88	5.60		11	0.70		706	44.91		490	31.17		54	3.44		7	0.45		551	35.05		30	1.91		11	0.70		1	0.06		42	2.67		1	0.06		17	1.08		18	1.15		1572	97.88		34	2.12		1606	1.54																																																																																																																																																															
Wanniassa			210	7.41		87	3.07		33	1.16		330	11.64		30	1.06		31	1.09		11	0.39		72	2.54		69	2.43		41	1.45		16	0.56		126	4.45		1084	38.25		182	6.42		10	0.35		1276	45.02		820	28.93		94	3.32		11	0.39		925	32.64		62	2.19		11	0.39		0	0.00		73	2.58		2	0.07		30	1.06		32	1.13		2834	97.09		85	2.91		2919	2.81																																																																																																																																																															
Wanniassa Hills			181	6.56		87	3.15		26	0.94		294	10.65		47	1.70		26	0.94		8	0.29		81	2.93		94	3.41		50	1.81		18	0.65		162	5.87		933	33.80		186	6.74		12	0.43		1131	40.98		848	30.72		124	4.49		14	0.51		986	35.72		44	1.59		20	0.72		1	0.04		65	2.36		1	0.04		40	1.45		41	1.49		2760	98.05		55	1.95		2815	2.71																																																																																																																																																															
Waramanga			236	7.23		82	2.51		30	0.92		348	10.66		34	1.04		24	0.74		3	0.09		61	1.87		112	3.43		85	2.60		25	0.77		222	6.80		1149	35.19		265	8.12		10	0.31		1424	43.61		900	27.57		127	3.89		11	0.34		1038	31.79		54	1.65		19	0.58		2	0.06		75	2.30		3	0.09		94	2.88		97	2.97		3265	97.11		97	2.89		3362	3.23																																																																																																																																																															
Weston			102	5.45		50	2.67		26	1.39		178	9.51		27	1.44		11	0.59		2	0.11		40	2.14		94	5.02		66	3.53		13	0.69		173	9.25		608	32.50		149	7.96		5	0.27		762	40.73		556	29.72		81	4.33		3	0.16		640	34.21		21	1.12		13	0.69		1	0.05		35	1.87		1	0.05		42	2.24		43	2.30		1871	97.55		47	2.45		1918	1.84																																																																																																																																																															
Yarralumla			97	5.54		59	3.37		16	0.91		172	9.82		10	0.57		4	0.23		2	0.11		16	0.91		88	5.03		84	4.80		17	0.97		189	10.79		525	29.98		156	8.91		8	0.46		689	39.35		497	28.38		90	5.14		2	0.11		589	33.64		9	0.51		7	0.40		0	0.00		16	0.91		0	0.00		80	4.57		80	4.57		1751	97.28		49	2.72		1800	1.73																																																																																																																																																															
Special Hospitals			19	2.95		3	0.47		0	0.00		22	3.42		4	0.62		1	0.16		0	0.00		5	0.78		19	2.95		1	0.16		0	0.00		20	3.11		190	29.50		11	1.71		0	0.00		201	31.21		371	57.61		14	2.17		3	0.47		388	60.25		6	0.93		0	0.00		0	0.00		6	0.93		0	0.00		2	0.31		2	0.31		644	92.00		56	8.00		700	0.67																																																																																																																																																																	
Total Ordinary			5519	6.83		2080	2.57		714	0.88		8313	10.29		811	1.00		532	0.66		114	0.14		1457	1.80		2576	3.19		1645	2.04		531	0.66		4752	5.88		27762	34.35		5536	6.85		321	0.40		33619	41.60		25901	32.05		3155	3.90		314	0.39		29370	36.34		1319	1.63		392	0.49		29	0.04		1740	2.15		37	0.05		1522	1.88		1559	1.93		80810	97.48		2090	2.52		82900	79.71																																																																																																																																																																	
ABSENT			186	6.73		87	3.15		33	1.19		306	11.07		38	1.37		11	0.40		3	0.11		52	1.88		222	8.03		82	2.97		30	1.08		334	12.08		860	31.10		193	6.98		17	0.61		1070	38.70		785	28.39		93	3.36		15	0.54		893	32.30		46	1.66		17	0.61		0	0.00		63	2.28		0	0.00		47	1.70		47	1.70		2765	98.08		54	1.92		2819	2.71																																																																																																																																																																	
POSTAL			160	6.11		55	2.10		33	1.26		248	9.47		55	2.10		7	0.27		2	0.08		64	2.44		31	1.18		33	1.26		25	0.95		89	3.40		760	29.01		183	6.98		16	0.61		959	36.60		989	37.75		149	5.69		8	0.31		1146	43.74		55	2.10		28	1.07		2	0.08		85	3.24		1	0.04		28	1.07		29	1.11		2620	98.57		38	1.43		2658	2.56																																																																																																																																																																	
PRE_POLL			1025	6.93		333	2.25		151	1.02		1509	10.20		128	0.87		89	0.60		7	0.05		224	1.51		517	3.50		256	1.73		92	0.62		865	5.85		5168	34.95		979	6.62		53	0.36		6200	41.93		4852	32.81		586	3.96		58	0.39		5496	37.17		273	1.85		71	0.48		4	0.03		348	2.35		4	0.03		142	0.96		146	0.99		14788	98.77		184	1.23		14972	14.40																																																																																																																																																																	
PROVISIONAL			50	7.89		15	2.37		5	0.79		70	11.04		9	1.42		2	0.32		2	0.32		13	2.05		25	3.94		4	0.63		7	1.10		36	5.68		260	41.01		35	5.52		0	0.00		295	46.53		178	28.08		14	2.21		2	0.32		194	30.60		16	2.52		6	0.95		0	0.00		22	3.47		1	0.16		3	0.47		4	0.63		634	97.84		14	2.16		648	0.62																																																																																																																																																																	
Division Summary			6940	6.83		2570	2.53		936	0.92		10446	10.28		1041	1.02		641	0.63		128	0.13		1810	1.78		3371	3.32		2020	1.99		685	0.67		6076	5.98		34810	34.26		6926	6.82		407	0.40		42143	41.47		32705	32.18		3997	3.93		397	0.39		37099	36.51		1709	1.68		514	0.51		35	0.03		2258	2.22		43	0.04		1742	1.71		1785	1.76		101617	97.71		2380	2.29		103997	95.45																																																																																																																																																																	
																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																												
																																																																																																																																																																																																																																																												
																																																																																											
