Senate - 2001 Election																
First Preference Votes by Candidate																
By Vote Type by Division																
																
Australian Capital Territory																

Canberra (108959)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
		"JANES, Tim"	CTA	82	0.10	3	0.12	0	0.00	8	0.05	2	0.06	0	95	0.09
		Group Total	CTA	1494	1.82	38	1.55	10	1.31	200	1.32	50	1.53	0	1792	1.73
C		TICKET VOTES	GRN	3494	4.25	148	6.02	48	6.28	750	4.95	87	2.66	0	4527	4.36
		"CORR, Gary"	GRN	2550	3.10	72	2.93	17	2.23	462	3.05	71	2.17	0	3172	3.05
		"FAHEY, Felicity"	GRN	811	0.99	31	1.26	10	1.31	169	1.11	29	0.89	0	1050	1.01
		Group Total	GRN	6855	8.34	251	10.21	75	9.82	1381	9.11	187	5.73	0	8749	8.42
D		TICKET VOTES	ALP	28589	34.78	816	33.20	292	38.22	5133	33.86	1054	32.28	0	35884	34.55
	#	"LUNDY, Kate"	ALP	6347	7.72	161	6.55	61	7.98	1073	7.08	248	7.60	0	7890	7.60
		"POKE, Robin"	ALP	323	0.39	9	0.37	4	0.52	63	0.42	15	0.46	0	414	0.40
		Group Total	ALP	35259	42.89	986	40.11	357	46.73	6269	41.35	1317	40.34	0	44188	42.55
E		TICKET VOTES	LP	22762	27.69	689	28.03	185	24.21	4374	28.85	1068	32.71	0	29078	28.00
	#	"REID, Margaret"	LP	3020	3.67	89	3.62	21	2.75	553	3.65	171	5.24	0	3854	3.71
		"HANLON, Bill"	LP	337	0.41	15	0.61	3	0.39	65	0.43	24	0.74	0	444	0.43
		Group Total	LP	26119	31.77	793	32.26	209	27.36	4992	32.93	1263	38.68	0	33376	32.14
F		TICKET VOTES	HAN	1287	1.57	46	1.87	19	2.49	257	1.70	65	1.99	0	1674	1.61
		"TARLINTON, Don"	HAN	383	0.47	9	0.37	2	0.26	81	0.53	29	0.89	0	504	0.49
		"TARLINTON, Ted"	HAN	38	0.05	0	0.00	0	0.00	6	0.04	5	0.15	0	49	0.05
		Group Total	HAN	1708	2.08	55	2.24	21	2.75	344	2.27	99	3.03	0	2227	2.14
UNGROUPED																
		"ARNOLD, James T A"	CEC	46	0.06	2	0.08	0	0.00	9	0.06	4	0.12	0	61	0.06
		"HELM, Ken"	IND	1590	1.93	31	1.26	7	0.92	170	1.12	40	1.23	0	1838	1.77
		Ungrouped Total		1636	1.99	33	1.34	7	0.92	179	1.18	44	1.35	0	1899	1.83
			FORMAL	82209	97.36	2458	97.73	764	98.84	15161	98.57	3265	99.03	0	103857	97.61
			INFORMAL	2226	2.64	57	2.27	9	1.16	220	1.43	32	0.97	0	2544	2.39
			TOTAL	84435	79.36	2515	2.36	773	0.73	15381	14.46	3297	3.10	0	106401	94.81
