House of Representatives - 2001 Election: Australian Capital Territory																						
Distribution of Preferences																						
By Polling Place																						
																						
Canberra																						
					COX			BARNIER			ELLIS			MILLER			KOOREY			MATTHEWS		
	FIRST			67	3.53		648	34.14		927	48.84		36	1.90		74	3.90		146	7.69		1898
	SECOND			2	5.56		19	52.78		7	19.44			Excluded		3	8.33		5	13.89		36
		TOTAL		69	3.64		667	35.14		934	49.21					77	4.06		151	7.96		1898
	THIRD				Excluded		29	42.03		24	34.78					12	17.39		4	5.80		69
		TOTAL					696	36.67		958	50.47					89	4.69		155	8.17		1898
	FOURTH						8	8.99		30	33.71						Excluded		51	57.30		89
		TOTAL					704	37.09		988	52.05								206	10.85		1898
	FIFTH						49	23.79		157	76.21									Excluded		206
		TOTAL					753	39.67		1145	60.33											1898
										Elected												
																						
Conder                                                         																						
	FIRST			143	5.12		877	31.39		1408	50.39		44	1.57		121	4.33		201	7.19		2794
	SECOND			7	15.91		19	43.18		4	9.09			Excluded		7	15.91		7	15.91		44
		TOTAL		150	5.37		896	32.07		1412	50.54					128	4.58		208	7.44		2794
	THIRD				Excluded		76	50.67		45	30.00					15	10.00		14	9.33		150
		TOTAL					972	34.79		1457	52.15					143	5.12		222	7.95		2794
	FOURTH						21	14.69		38	26.57						Excluded		84	58.74		143
		TOTAL					993	35.54		1495	53.51								306	10.95		2794
	FIFTH						84	27.45		222	72.55									Excluded		306
		TOTAL					1077	38.55		1717	61.45											2794
										Elected												
																						
Curtin                                                         																						
	FIRST			101	3.33		948	31.29		1386	45.74		47	1.55		294	9.70		254	8.38		3030
	SECOND			6	12.77		21	44.68		12	25.53			Excluded		4	8.51		4	8.51		47
		TOTAL		107	3.53		969	31.98		1398	46.14					298	9.83		258	8.51		3030
	THIRD				Excluded		66	61.68		26	24.30					8	7.48		7	6.54		107
		TOTAL					1035	34.16		1424	47.00					306	10.10		265	8.75		3030
	FOURTH						17	5.56		106	34.64						Excluded		183	59.80		306
		TOTAL					1052	34.72		1530	50.50								448	14.79		3030
	FIFTH						84	18.75		364	81.25									Excluded		448
		TOTAL					1136	37.49		1894	62.51											3030
										Elected												
																						
Deakin                                                         																						
	FIRST			22	1.50		704	48.09		492	33.61		14	0.96		141	9.63		91	6.22		1464
	SECOND			2	14.29		9	64.29		1	7.14			Excluded		1	7.14		1	7.14		14
		TOTAL		24	1.64		713	48.70		493	33.67					142	9.70		92	6.28		1464
	THIRD				Excluded		13	54.17		7	29.17					2	8.33		2	8.33		24
		TOTAL					726	49.59		500	34.15					144	9.84		94	6.42		1464
	FOURTH						12	8.33		40	27.78						Excluded		92	63.89		144
		TOTAL					738	50.41		540	36.89								186	12.70		1464
	FIFTH						41	22.04		145	77.96									Excluded		186
		TOTAL					779	53.21		685	46.79											1464
										Elected												
																						
Duffy                                                          																						
	FIRST			49	2.43		553	27.38		991	49.06		43	2.13		195	9.65		189	9.36		2020
	SECOND			1	2.33		27	62.79		7	16.28			Excluded		4	9.30		4	9.30		43
		TOTAL		50	2.48		580	28.71		998	49.41					199	9.85		193	9.55		2020
	THIRD				Excluded		26	52.00		15	30.00					1	2.00		8	16.00		50
		TOTAL					606	30.00		1013	50.15					200	9.90		201	9.95		2020
	FOURTH						14	7.00		73	36.50						Excluded		113	56.50		200
		TOTAL					620	30.69		1086	53.76								314	15.54		2020
	FIFTH						67	21.34		247	78.66									Excluded		314
		TOTAL					687	34.01		1333	65.99											2020
										Elected												
																						
Fadden                                                         																						
	FIRST			44	1.95		937	41.44		977	43.21		31	1.37		92	4.07		180	7.96		2261
	SECOND			2	6.45		18	58.06		6	19.35			Excluded		2	6.45		3	9.68		31
		TOTAL		46	2.03		955	42.24		983	43.48					94	4.16		183	8.09		2261
	THIRD				Excluded		26	56.52		13	28.26					2	4.35		5	10.87		46
		TOTAL					981	43.39		996	44.05					96	4.25		188	8.31		2261
	FOURTH						9	9.38		26	27.08						Excluded		61	63.54		96
		TOTAL					990	43.79		1022	45.20								249	11.01		2261
	FIFTH						64	25.70		185	74.30									Excluded		249
		TOTAL					1054	46.62		1207	53.38											2261
										Elected												
																						
Farrer                                                         																						
	FIRST			54	1.94		1141	41.03		1170	42.07		42	1.51		176	6.33		198	7.12		2781
	SECOND			2	4.76		19	45.24		6	14.29			Excluded		8	19.05		7	16.67		42
		TOTAL		56	2.01		1160	41.71		1176	42.29					184	6.62		205	7.37		2781
	THIRD				Excluded		33	58.93		12	21.43					5	8.93		6	10.71		56
		TOTAL					1193	42.90		1188	42.72					189	6.80		211	7.59		2781
	FOURTH						21	11.11		64	33.86						Excluded		104	55.03		189
		TOTAL					1214	43.65		1252	45.02								315	11.33		2781
	FIFTH						76	24.13		239	75.87									Excluded		315
		TOTAL					1290	46.39		1491	53.61											2781
										Elected												
																						
Gilmore                                                        																						
	FIRST			104	4.60		777	34.37		1049	46.40		43	1.90		93	4.11		195	8.62		2261
	SECOND			5	11.63		20	46.51		4	9.30			Excluded		7	16.28		7	16.28		43
		TOTAL		109	4.82		797	35.25		1053	46.57					100	4.42		202	8.93		2261
	THIRD				Excluded		57	52.29		31	28.44					10	9.17		11	10.09		109
		TOTAL					854	37.77		1084	47.94					110	4.87		213	9.42		2261
	FOURTH						17	15.45		30	27.27						Excluded		63	57.27		110
		TOTAL					871	38.52		1114	49.27								276	12.21		2261
	FIFTH						78	28.26		198	71.74									Excluded		276
		TOTAL					949	41.97		1312	58.03											2261
										Elected												
																						
Gordon                                                         																						
	FIRST			143	3.76		1359	35.74		1772	46.61		86	2.26		150	3.95		292	7.68		3802
	SECOND			5	5.81		45	52.33		17	19.77			Excluded		11	12.79		8	9.30		86
		TOTAL		148	3.89		1404	36.93		1789	47.05					161	4.23		300	7.89		3802
	THIRD				Excluded		83	56.08		42	28.38					9	6.08		14	9.46		148
		TOTAL					1487	39.11		1831	48.16					170	4.47		314	8.26		3802
	FOURTH						28	16.47		50	29.41						Excluded		92	54.12		170
		TOTAL					1515	39.85		1881	49.47								406	10.68		3802
	FIFTH						133	32.76		273	67.24									Excluded		406
		TOTAL					1648	43.35		2154	56.65											3802
										Elected												
																						
Gowrie                                                         																						
	FIRST			51	2.66		675	35.21		930	48.51		41	2.14		77	4.02		143	7.46		1917
	SECOND			3	7.32		17	41.46		15	36.59			Excluded		2	4.88		4	9.76		41
		TOTAL		54	2.82		692	36.10		945	49.30					79	4.12		147	7.67		1917
	THIRD				Excluded		30	55.56		12	22.22					7	12.96		5	9.26		54
		TOTAL					722	37.66		957	49.92					86	4.49		152	7.93		1917
	FOURTH						10	11.63		21	24.42						Excluded		55	63.95		86
		TOTAL					732	38.18		978	51.02								207	10.80		1917
	FIFTH						70	33.82		137	66.18									Excluded		207
		TOTAL					802	41.84		1115	58.16											1917
										Elected												
																						
Holder                                                         																						
	FIRST			45	2.81		472	29.43		788	49.13		38	2.37		121	7.54		140	8.73		1604
	SECOND			1	2.63		21	55.26		10	26.32			Excluded		1	2.63		5	13.16		38
		TOTAL		46	2.87		493	30.74		798	49.75					122	7.61		145	9.04		1604
	THIRD				Excluded		26	56.52		10	21.74					6	13.04		4	8.70		46
		TOTAL					519	32.36		808	50.37					128	7.98		149	9.29		1604
	FOURTH						6	4.69		46	35.94						Excluded		76	59.38		128
		TOTAL					525	32.73		854	53.24								225	14.03		1604
	FIFTH						52	23.11		173	76.89									Excluded		225
		TOTAL					577	35.97		1027	64.03											1604
										Elected												
																						
Hughes                                                         																						
	FIRST			64	2.15		1037	34.88		1315	44.23		48	1.61		288	9.69		221	7.43		2973
	SECOND			3	6.25		26	54.17		7	14.58			Excluded		9	18.75		3	6.25		48
		TOTAL		67	2.25		1063	35.76		1322	44.47					297	9.99		224	7.53		2973
	THIRD				Excluded		41	61.19		10	14.93					7	10.45		9	13.43		67
		TOTAL					1104	37.13		1332	44.80					304	10.23		233	7.84		2973
	FOURTH						27	8.88		99	32.57						Excluded		178	58.55		304
		TOTAL					1131	38.04		1431	48.13								411	13.82		2973
	FIFTH						87	21.17		324	78.83									Excluded		411
		TOTAL					1218	40.97		1755	59.03											2973
										Elected												
																						
Isabella Plains                                                																						
	FIRST			104	4.07		862	33.76		1220	47.79		71	2.78		85	3.33		211	8.26		2553
	SECOND			6	8.45		22	30.99		21	29.58			Excluded		10	14.08		12	16.90		71
		TOTAL		110	4.31		884	34.63		1241	48.61					95	3.72		223	8.73		2553
	THIRD				Excluded		62	56.36		24	21.82					10	9.09		14	12.73		110
		TOTAL					946	37.05		1265	49.55					105	4.11		237	9.28		2553
	FOURTH						16	15.24		26	24.76						Excluded		63	60.00		105
		TOTAL					962	37.68		1291	50.57								300	11.75		2553
	FIFTH						89	29.67		211	70.33									Excluded		300
		TOTAL					1051	41.17		1502	58.83											2553
										Elected												
																						
Kambah East                                                    																						
	FIRST			63	3.19		614	31.04		982	49.65		52	2.63		90	4.55		177	8.95		1978
	SECOND			4	7.69		26	50.00		10	19.23			Excluded		5	9.62		7	13.46		52
		TOTAL		67	3.39		640	32.36		992	50.15					95	4.80		184	9.30		1978
	THIRD				Excluded		35	52.24		19	28.36					5	7.46		8	11.94		67
		TOTAL					675	34.13		1011	51.11					100	5.06		192	9.71		1978
	FOURTH						8	8.00		33	33.00						Excluded		59	59.00		100
		TOTAL					683	34.53		1044	52.78								251	12.69		1978
	FIFTH						66	26.29		185	73.71									Excluded		251
		TOTAL					749	37.87		1229	62.13											1978
										Elected												
																						
Kambah North                                                   																						
	FIRST			48	2.91		484	29.32		817	49.49		44	2.67		102	6.18		156	9.45		1651
	SECOND			1	2.27		28	63.64		7	15.91			Excluded		4	9.09		4	9.09		44
		TOTAL		49	2.97		512	31.01		824	49.91					106	6.42		160	9.69		1651
	THIRD				Excluded		20	40.82		19	38.78					1	2.04		9	18.37		49
		TOTAL					532	32.22		843	51.06					107	6.48		169	10.24		1651
	FOURTH						7	6.54		43	40.19						Excluded		57	53.27		107
		TOTAL					539	32.65		886	53.66								226	13.69		1651
	FIFTH						61	26.99		165	73.01									Excluded		226
		TOTAL					600	36.34		1051	63.66											1651
										Elected												
																						
Kambah South                                                   																						
	FIRST			44	2.69		475	29.00		843	51.47		58	3.54		96	5.86		122	7.45		1638
	SECOND			3	5.17		28	48.28		9	15.52			Excluded		9	15.52		9	15.52		58
		TOTAL		47	2.87		503	30.71		852	52.01					105	6.41		131	8.00		1638
	THIRD				Excluded		22	46.81		15	31.91					4	8.51		6	12.77		47
		TOTAL					525	32.05		867	52.93					109	6.65		137	8.36		1638
	FOURTH						8	7.34		43	39.45						Excluded		58	53.21		109
		TOTAL					533	32.54		910	55.56								195	11.90		1638
	FIFTH						52	26.67		143	73.33									Excluded		195
		TOTAL					585	35.71		1053	64.29											1638
										Elected												
																						
Kambah West                                                    																						
	FIRST			112	3.21		1119	32.09		1682	48.24		101	2.90		214	6.14		259	7.43		3487
	SECOND			4	3.96		46	45.54		28	27.72			Excluded		12	11.88		11	10.89		101
		TOTAL		116	3.33		1165	33.41		1710	49.04					226	6.48		270	7.74		3487
	THIRD				Excluded		56	48.28		32	27.59					16	13.79		12	10.34		116
		TOTAL					1221	35.02		1742	49.96					242	6.94		282	8.09		3487
	FOURTH						21	8.68		91	37.60						Excluded		130	53.72		242
		TOTAL					1242	35.62		1833	52.57								412	11.82		3487
	FIFTH						101	24.51		311	75.49									Excluded		412
		TOTAL					1343	38.51		2144	61.49											3487
										Elected												
																						
Lyons                                                          																						
	FIRST			47	3.31		373	26.25		711	50.04		23	1.62		140	9.85		127	8.94		1421
	SECOND			2	8.70		6	26.09		11	47.83			Excluded		3	13.04		1	4.35		23
		TOTAL		49	3.45		379	26.67		722	50.81					143	10.06		128	9.01		1421
	THIRD				Excluded		28	57.14		10	20.41					4	8.16		7	14.29		49
		TOTAL					407	28.64		732	51.51					147	10.34		135	9.50		1421
	FOURTH						10	6.80		50	34.01						Excluded		87	59.18		147
		TOTAL					417	29.35		782	55.03								222	15.62		1421
	FIFTH						38	17.12		184	82.88									Excluded		222
		TOTAL					455	32.02		966	67.98											1421
										Elected												
																						
Mawson                                                         																						
	FIRST			78	2.69		1065	36.76		1282	44.25		32	1.10		209	7.21		231	7.97		2897
	SECOND			3	9.38		11	34.38		11	34.38			Excluded		3	9.38		4	12.50		32
		TOTAL		81	2.80		1076	37.14		1293	44.63					212	7.32		235	8.11		2897
	THIRD				Excluded		39	48.15		23	28.40					13	16.05		6	7.41		81
		TOTAL					1115	38.49		1316	45.43					225	7.77		241	8.32		2897
	FOURTH						17	7.56		74	32.89						Excluded		134	59.56		225
		TOTAL					1132	39.07		1390	47.98								375	12.94		2897
	FIFTH						92	24.53		283	75.47									Excluded		375
		TOTAL					1224	42.25		1673	57.75											2897
										Elected												
																						
Monash                                                         																						
	FIRST			106	3.51		1004	33.27		1505	49.87		68	2.25		127	4.21		208	6.89		3018
	SECOND			1	1.47		35	51.47		20	29.41			Excluded		5	7.35		7	10.29		68
		TOTAL		107	3.55		1039	34.43		1525	50.53					132	4.37		215	7.12		3018
	THIRD				Excluded		52	48.60		31	28.97					14	13.08		10	9.35		107
		TOTAL					1091	36.15		1556	51.56					146	4.84		225	7.46		3018
	FOURTH						19	13.01		44	30.14						Excluded		83	56.85		146
		TOTAL					1110	36.78		1600	53.02								308	10.21		3018
	FIFTH						79	25.65		229	74.35									Excluded		308
		TOTAL					1189	39.40		1829	60.60											3018
										Elected												
																						
Oaks Estate                                                    																						
	FIRST			21	12.35		47	27.65		74	43.53		5	2.94		13	7.65		10	5.88		170
	SECOND			0	0.00		2	40.00		0	0.00			Excluded		2	40.00		1	20.00		5
		TOTAL		21	12.35		49	28.82		74	43.53					15	8.82		11	6.47		170
	THIRD				Excluded		9	42.86		4	19.05					3	14.29		5	23.81		21
		TOTAL					58	34.12		78	45.88					18	10.59		16	9.41		170
	FOURTH						1	5.56		3	16.67						Excluded		14	77.78		18
		TOTAL					59	34.71		81	47.65								30	17.65		170
	FIFTH						8	26.67		22	73.33									Excluded		30
		TOTAL					67	39.41		103	60.59											170
										Elected												
																						
Pearce                                                         																						
	FIRST			87	3.60		846	35.00		1081	44.72		45	1.86		157	6.50		201	8.32		2417
	SECOND			0	0.00		19	42.22		14	31.11			Excluded		6	13.33		6	13.33		45
		TOTAL		87	3.60		865	35.79		1095	45.30					163	6.74		207	8.56		2417
	THIRD				Excluded		50	57.47		22	25.29					7	8.05		8	9.20		87
		TOTAL					915	37.86		1117	46.21					170	7.03		215	8.90		2417
	FOURTH						17	10.00		54	31.76						Excluded		99	58.24		170
		TOTAL					932	38.56		1171	48.45								314	12.99		2417
	FIFTH						78	24.84		236	75.16									Excluded		314
		TOTAL					1010	41.79		1407	58.21											2417
										Elected												
																						
Red Hill                                                       																						
	FIRST			28	1.51		785	42.34		767	41.37		21	1.13		144	7.77		109	5.88		1854
	SECOND			3	14.29		11	52.38		4	19.05			Excluded		2	9.52		1	4.76		21
		TOTAL		31	1.67		796	42.93		771	41.59					146	7.87		110	5.93		1854
	THIRD				Excluded		21	67.74		5	16.13					3	9.68		2	6.45		31
		TOTAL					817	44.07		776	41.86					149	8.04		112	6.04		1854
	FOURTH						17	11.41		60	40.27						Excluded		72	48.32		149
		TOTAL					834	44.98		836	45.09								184	9.92		1854
	FIFTH						47	25.54		137	74.46									Excluded		184
		TOTAL					881	47.52		973	52.48											1854
										Elected												
																						
Richardson                                                     																						
	FIRST			82	4.61		605	34.01		869	48.85		33	1.85		70	3.93		120	6.75		1779
	SECOND			2	6.06		16	48.48		8	24.24			Excluded		2	6.06		5	15.15		33
		TOTAL		84	4.72		621	34.91		877	49.30					72	4.05		125	7.03		1779
	THIRD				Excluded		44	52.38		26	30.95					7	8.33		7	8.33		84
		TOTAL					665	37.38		903	50.76					79	4.44		132	7.42		1779
	FOURTH						11	13.92		27	34.18						Excluded		41	51.90		79
		TOTAL					676	38.00		930	52.28								173	9.72		1779
	FIFTH						47	27.17		126	72.83									Excluded		173
		TOTAL					723	40.64		1056	59.36											1779
										Elected												
																						
Rivett                                                         																						
	FIRST			65	3.47		576	30.72		894	47.68		65	3.47		105	5.60		170	9.07		1875
	SECOND			6	9.23		39	60.00		9	13.85			Excluded		5	7.69		6	9.23		65
		TOTAL		71	3.79		615	32.80		903	48.16					110	5.87		176	9.39		1875
	THIRD				Excluded		36	50.70		24	33.80					7	9.86		4	5.63		71
		TOTAL					651	34.72		927	49.44					117	6.24		180	9.60		1875
	FOURTH						7	5.98		41	35.04						Excluded		69	58.97		117
		TOTAL					658	35.09		968	51.63								249	13.28		1875
	FIFTH						55	22.09		194	77.91									Excluded		249
		TOTAL					713	38.03		1162	61.97											1875
										Elected												
																						
Tharwa                                                         																						
	FIRST			5	3.70		50	37.04		41	30.37		4	2.96		18	13.33		17	12.59		135
	SECOND			0	0.00		1	25.00		1	25.00			Excluded		0	0.00		2	50.00		4
		TOTAL		5	3.70		51	37.78		42	31.11					18	13.33		19	14.07		135
	THIRD				Excluded		4	80.00		1	20.00					0	0.00		0	0.00		5
		TOTAL					55	40.74		43	31.85					18	13.33		19	14.07		135
	FOURTH						1	5.56		6	33.33						Excluded		11	61.11		18
		TOTAL					56	41.48		49	36.30								30	22.22		135
	FIFTH						6	20.00		24	80.00									Excluded		30
		TOTAL					62	45.93		73	54.07											135
										Elected												
																						
Theodore                                                       																						
	FIRST			48	3.11		489	31.73		763	49.51		36	2.34		67	4.35		138	8.96		1541
	SECOND			3	8.33		16	44.44		9	25.00			Excluded		6	16.67		2	5.56		36
		TOTAL		51	3.31		505	32.77		772	50.10					73	4.74		140	9.09		1541
	THIRD				Excluded		28	54.90		12	23.53					7	13.73		4	7.84		51
		TOTAL					533	34.59		784	50.88					80	5.19		144	9.34		1541
	FOURTH						8	10.00		18	22.50						Excluded		54	67.50		80
		TOTAL					541	35.11		802	52.04								198	12.85		1541
	FIFTH						59	29.80		139	70.20									Excluded		198
		TOTAL					600	38.94		941	61.06											1541
										Elected												
																						
Wanniassa                                                      																						
	FIRST			104	3.72		843	30.19		1385	49.61		81	2.90		134	4.80		245	8.78		2792
	SECOND			7	8.64		43	53.09		17	20.99			Excluded		5	6.17		9	11.11		81
		TOTAL		111	3.98		886	31.73		1402	50.21					139	4.98		254	9.10		2792
	THIRD				Excluded		39	35.14		35	31.53					24	21.62		13	11.71		111
		TOTAL					925	33.13		1437	51.47					163	5.84		267	9.56		2792
	FOURTH						9	5.52		54	33.13						Excluded		100	61.35		163
		TOTAL					934	33.45		1491	53.40								367	13.14		2792
	FIFTH						105	28.61		262	71.39									Excluded		367
		TOTAL					1039	37.21		1753	62.79											2792
										Elected												
																						
Wanniassa Hills                                                																						
	FIRST			91	3.35		869	31.98		1276	46.96		102	3.75		163	6.00		216	7.95		2717
	SECOND			6	5.88		57	55.88		25	24.51			Excluded		8	7.84		6	5.88		102
		TOTAL		97	3.57		926	34.08		1301	47.88					171	6.29		222	8.17		2717
	THIRD				Excluded		64	65.98		15	15.46					8	8.25		10	10.31		97
		TOTAL					990	36.44		1316	48.44					179	6.59		232	8.54		2717
	FOURTH						23	12.85		57	31.84						Excluded		99	55.31		179
		TOTAL					1013	37.28		1373	50.53								331	12.18		2717
	FIFTH						95	28.70		236	71.30									Excluded		331
		TOTAL					1108	40.78		1609	59.22											2717
										Elected												
																						
Waramanga                                                      																						
	FIRST			104	3.22		986	30.51		1572	48.64		62	1.92		232	7.18		276	8.54		3232
	SECOND			5	8.06		31	50.00		20	32.26			Excluded		3	4.84		3	4.84		62
		TOTAL		109	3.37		1017	31.47		1592	49.26					235	7.27		279	8.63		3232
	THIRD				Excluded		50	45.87		35	32.11					13	11.93		11	10.09		109
		TOTAL					1067	33.01		1627	50.34					248	7.67		290	8.97		3232
	FOURTH						18	7.26		73	29.44						Excluded		157	63.31		248
		TOTAL					1085	33.57		1700	52.60								447	13.83		3232
	FIFTH						104	23.27		343	76.73									Excluded		447
		TOTAL					1189	36.79		2043	63.21											3232
										Elected												
																						
Weston                                                         																						
	FIRST			53	2.85		602	32.37		865	46.51		35	1.88		166	8.92		139	7.47		1860
	SECOND			4	11.43		19	54.29		4	11.43			Excluded		4	11.43		4	11.43		35
		TOTAL		57	3.06		621	33.39		869	46.72					170	9.14		143	7.69		1860
	THIRD				Excluded		32	56.14		13	22.81					4	7.02		8	14.04		57
		TOTAL					653	35.11		882	47.42					174	9.35		151	8.12		1860
	FOURTH						9	5.17		60	34.48						Excluded		105	60.34		174
		TOTAL					662	35.59		942	50.65								256	13.76		1860
	FIFTH						61	23.83		195	76.17									Excluded		256
		TOTAL					723	38.87		1137	61.13											1860
										Elected												
																						
Yarralumla                                                     																						
	FIRST			32	1.83		571	32.65		827	47.28		22	1.26		172	9.83		125	7.15		1749
	SECOND			4	18.18		8	36.36		2	9.09			Excluded		4	18.18		4	18.18		22
		TOTAL		36	2.06		579	33.10		829	47.40					176	10.06		129	7.38		1749
	THIRD				Excluded		18	50.00		13	36.11					4	11.11		1	2.78		36
		TOTAL					597	34.13		842	48.14					180	10.29		130	7.43		1749
	FOURTH						21	11.67		71	39.44						Excluded		88	48.89		180
		TOTAL					618	35.33		913	52.20								218	12.46		1749
	FIFTH						43	19.72		175	80.28									Excluded		218
		TOTAL					661	37.79		1088	62.21											1749
										Elected												
																						
Special Hospital Team 1                                        																						
	FIRST			6	2.02		186	62.63		83	27.95		2	0.67		9	3.03		11	3.70		297
	SECOND			0	0.00		1	50.00		0	0.00			Excluded		1	50.00		0	0.00		2
		TOTAL		6	2.02		187	62.96		83	27.95					10	3.37		11	3.70		297
	THIRD				Excluded		2	33.33		2	33.33					0	0.00		2	33.33		6
		TOTAL					189	63.64		85	28.62					10	3.37		13	4.38		297
	FOURTH						2	20.00		2	20.00						Excluded		6	60.00		10
		TOTAL					191	64.31		87	29.29								19	6.40		297
	FIFTH						5	26.32		14	73.68									Excluded		19
		TOTAL					196	65.99		101	34.01											297
										Elected												
																						
Special Hospital Team 2                                        																						
	FIRST			12	3.24		197	53.24		142	38.38		3	0.81		5	1.35		11	2.97		370
	SECOND			0	0.00		1	33.33		2	66.67			Excluded		0	0.00		0	0.00		3
		TOTAL		12	3.24		198	53.51		144	38.92					5	1.35		11	2.97		370
	THIRD				Excluded		7	58.33		2	16.67					0	0.00		3	25.00		12
		TOTAL					205	55.41		146	39.46					5	1.35		14	3.78		370
	FOURTH						1	20.00		2	40.00						Excluded		2	40.00		5
		TOTAL					206	55.68		148	40.00								16	4.32		370
	FIFTH						3	18.75		13	81.25									Excluded		16
		TOTAL					209	56.49		161	43.51											370
										Elected												
																						
ABSENT																						
	FIRST			93	3.48		809	30.25		1108	41.44		64	2.39		295	11.03		305	11.41		2674
	SECOND			5	7.81		26	40.63		17	26.56			Excluded		8	12.50		8	12.50		64
		TOTAL		98	3.66		835	31.23		1125	42.07					303	11.33		313	11.71		2674
	THIRD				Excluded		35	35.71		44	44.90					10	10.20		9	9.18		98
		TOTAL					870	32.54		1169	43.72					313	11.71		322	12.04		2674
	FOURTH						26	8.31		96	30.67						Excluded		191	61.02		313
		TOTAL					896	33.51		1265	47.31								513	19.18		2674
	FIFTH						130	25.34		383	74.66									Excluded		513
		TOTAL					1026	38.37		1648	61.63											2674
										Elected												
																						
POSTAL																						
	FIRST			108	4.06		1078	40.51		1099	41.30		28	1.05		130	4.89		218	8.19		2661
	SECOND			1	3.57		16	57.14		7	25.00			Excluded		3	10.71		1	3.57		28
		TOTAL		109	4.10		1094	41.11		1106	41.56					133	5.00		219	8.23		2661
	THIRD				Excluded		53	48.62		35	32.11					7	6.42		14	12.84		109
		TOTAL					1147	43.10		1141	42.88					140	5.26		233	8.76		2661
	FOURTH						12	8.57		39	27.86						Excluded		89	63.57		140
		TOTAL					1159	43.56		1180	44.34								322	12.10		2661
	FIFTH						76	23.60		246	76.40									Excluded		322
		TOTAL					1235	46.41		1426	53.59											2661
										Elected												
																						
PRE POLL																						
	FIRST			460	3.16		5023	34.53		6739	46.33		256	1.76		888	6.10		1181	8.12		14547
	SECOND			14	5.47		112	43.75		55	21.48			Excluded		30	11.72		45	17.58		256
		TOTAL		474	3.26		5135	35.30		6794	46.70					918	6.31		1226	8.43		14547
