House of Representatives - 2001 Election: Australian Capital Territory																									
Distribution of Preferences 																									
By Polling Place																									
																									
																									
Fraser																									
					DUNN			O'CALLAGHAN			KEMP			MCMULLAN			WIMBORNE			VASSILOPOULOS			O'SULLIVAN		
	SECOND			3	6.67		28	62.22		2	4.44		3	6.67		5	11.11			Excluded		4	8.89		45
		TOTAL		684	24.45		375	13.40		54	1.93		1391	49.71		237	8.47					57	2.04		2798
	THIRD			23	40.35		4	7.02		9	15.79		11	19.30		10	17.54						Excluded		57
		TOTAL		707	25.27		379	13.55		63	2.25		1402	50.11		247	8.83								2798
	FOURTH			30	47.62		13	20.63			Excluded		11	17.46		9	14.29								63
		TOTAL		737	26.34		392	14.01					1413	50.50		256	9.15								2798
	FIFTH			31	12.11		137	53.52					88	34.38			Excluded								256
		TOTAL		768	27.45		529	18.91					1501	53.65											2798
	SIXTH			73	13.80			Excluded					456	86.20											529
		TOTAL		841	30.06								1957	69.94											2798
													Elected												
																									
Baker Gardens                                                  																									
	FIRST			156	21.46		100	13.76		13	1.79		407	55.98		37	5.09		11	1.51		3	0.41		727
	SECOND			0	0.00		9	81.82		0	0.00		1	9.09		1	9.09			Excluded		0	0.00		11
		TOTAL		156	21.46		109	14.99		13	1.79		408	56.12		38	5.23					3	0.41		727
	THIRD			0	0.00		2	66.67		0	0.00		1	33.33		0	0.00						Excluded		3
		TOTAL		156	21.46		111	15.27		13	1.79		409	56.26		38	5.23								727
	FOURTH			8	61.54		1	7.69			Excluded		1	7.69		3	23.08								13
		TOTAL		164	22.56		112	15.41					410	56.40		41	5.64								727
	FIFTH			4	9.76		25	60.98					12	29.27			Excluded								41
		TOTAL		168	23.11		137	18.84					422	58.05											727
	SIXTH			13	9.49			Excluded					124	90.51											137
		TOTAL		181	24.90								546	75.10											727
													Elected												
																									
Barton                                                         																									
	FIRST			486	34.57		133	9.46		23	1.64		618	43.95		115	8.18		18	1.28		13	0.92		1406
	SECOND			2	11.11		8	44.44		1	5.56		2	11.11		4	22.22			Excluded		1	5.56		18
		TOTAL		488	34.71		141	10.03		24	1.71		620	44.10		119	8.46					14	1.00		1406
	THIRD			4	28.57		5	35.71		0	0.00		0	0.00		5	35.71						Excluded		14
		TOTAL		492	34.99		146	10.38		24	1.71		620	44.10		124	8.82								1406
	FOURTH			8	33.33		8	33.33			Excluded		3	12.50		5	20.83								24
		TOTAL		500	35.56		154	10.95					623	44.31		129	9.17								1406
	FIFTH			16	12.40		70	54.26					43	33.33			Excluded								129
		TOTAL		516	36.70		224	15.93					666	47.37											1406
	SIXTH			52	23.21			Excluded					172	76.79											224
		TOTAL		568	40.40								838	59.60											1406
													Elected												
																									
Belconnen                                                      																									
	FIRST			655	26.97		204	8.40		42	1.73		1139	46.89		272	11.20		52	2.14		65	2.68		2429
	SECOND			6	11.54		23	44.23		3	5.77		10	19.23		6	11.54			Excluded		4	7.69		52
		TOTAL		661	27.21		227	9.35		45	1.85		1149	47.30		278	11.45					69	2.84		2429
	THIRD			30	43.48		5	7.25		6	8.70		13	18.84		15	21.74						Excluded		69
		TOTAL		691	28.45		232	9.55		51	2.10		1162	47.84		293	12.06								2429
	FOURTH			23	45.10		13	25.49			Excluded		10	19.61		5	9.80								51
		TOTAL		714	29.39		245	10.09					1172	48.25		298	12.27								2429
	FIFTH			43	14.43		150	50.34					105	35.23			Excluded								298
		TOTAL		757	31.17		395	16.26					1277	52.57											2429
	SIXTH			117	29.62			Excluded					278	70.38											395
		TOTAL		874	35.98								1555	64.02											2429
													Elected												
																									
Bruce                                                          																									
	FIRST			243	37.27		37	5.67		9	1.38		286	43.87		41	6.29		7	1.07		29	4.45		652
	SECOND			0	0.00		0	0.00		1	14.29		5	71.43		1	14.29			Excluded		0	0.00		7
		TOTAL		243	37.27		37	5.67		10	1.53		291	44.63		42	6.44					29	4.45		652
	THIRD			15	51.72		2	6.90		1	3.45		3	10.34		8	27.59						Excluded		29
		TOTAL		258	39.57		39	5.98		11	1.69		294	45.09		50	7.67								652
	FOURTH			2	18.18		2	18.18			Excluded		6	54.55		1	9.09								11
		TOTAL		260	39.88		41	6.29					300	46.01		51	7.82								652
	FIFTH			8	15.69		24	47.06					19	37.25			Excluded								51
		TOTAL		268	41.10		65	9.97					319	48.93											652
	SIXTH			9	13.85			Excluded					56	86.15											65
		TOTAL		277	42.48								375	57.52											652
													Elected												
																									
Campbell                                                       																									
	FIRST			979	42.73		205	8.95		25	1.09		871	38.02		147	6.42		26	1.13		38	1.66		2291
	SECOND			1	3.85		10	38.46		2	7.69		3	11.54		6	23.08			Excluded		4	15.38		26
		TOTAL		980	42.78		215	9.38		27	1.18		874	38.15		153	6.68					42	1.83		2291
	THIRD			18	42.86		8	19.05		5	11.90		6	14.29		5	11.90						Excluded		42
		TOTAL		998	43.56		223	9.73		32	1.40		880	38.41		158	6.90								2291
	FOURTH			15	46.88		8	25.00			Excluded		3	9.38		6	18.75								32
		TOTAL		1013	44.22		231	10.08					883	38.54		164	7.16								2291
	FIFTH			31	18.90		83	50.61					50	30.49			Excluded								164
		TOTAL		1044	45.57		314	13.71					933	40.72											2291
	SIXTH			59	18.79			Excluded					255	81.21											314
		TOTAL		1103	48.14								1188	51.86											2291
													Elected												
																									
Charnwood                                                      																									
	FIRST			995	30.61		145	4.46		112	3.45		1619	49.80		240	7.38		37	1.14		103	3.17		3251
	SECOND			3	8.11		20	54.05		2	5.41		2	5.41		6	16.22			Excluded		4	10.81		37
		TOTAL		998	30.70		165	5.08		114	3.51		1621	49.86		246	7.57					107	3.29		3251
	THIRD			46	42.99		9	8.41		11	10.28		14	13.08		27	25.23						Excluded		107
		TOTAL		1044	32.11		174	5.35		125	3.84		1635	50.29		273	8.40								3251
	FOURTH			38	30.40		19	15.20			Excluded		48	38.40		20	16.00								125
		TOTAL		1082	33.28		193	5.94					1683	51.77		293	9.01								3251
	FIFTH			36	12.29		143	48.81					114	38.91			Excluded								293
		TOTAL		1118	34.39		336	10.34					1797	55.28											3251
	SIXTH			115	34.23			Excluded					221	65.77											336
		TOTAL		1233	37.93								2018	62.07											3251
													Elected												
																									
City                                                           																									
	FIRST			301	25.27		187	15.70		12	1.01		487	40.89		149	12.51		30	2.52		25	2.10		1191
	SECOND			1	3.33		15	50.00		2	6.67		3	10.00		9	30.00			Excluded		0	0.00		30
		TOTAL		302	25.36		202	16.96		14	1.18		490	41.14		158	13.27					25	2.10		1191
	THIRD			11	44.00		1	4.00		2	8.00		2	8.00		9	36.00						Excluded		25
		TOTAL		313	26.28		203	17.04		16	1.34		492	41.31		167	14.02								1191
	FOURTH			8	50.00		1	6.25			Excluded		2	12.50		5	31.25								16
		TOTAL		321	26.95		204	17.13					494	41.48		172	14.44								1191
	FIFTH			18	10.47		91	52.91					63	36.63			Excluded								172
		TOTAL		339	28.46		295	24.77					557	46.77											1191
	SIXTH			47	15.93			Excluded					248	84.07											295
		TOTAL		386	32.41								805	67.59											1191
													Elected												
																									
Dickson                                                        																									
	FIRST			350	23.65		196	13.24		22	1.49		711	48.04		145	9.80		23	1.55		33	2.23		1480
	SECOND			1	4.35		11	47.83		0	0.00		3	13.04		5	21.74			Excluded		3	13.04		23
		TOTAL		351	23.72		207	13.99		22	1.49		714	48.24		150	10.14					36	2.43		1480
	THIRD			18	50.00		1	2.78		3	8.33		6	16.67		8	22.22						Excluded		36
		TOTAL		369	24.93		208	14.05		25	1.69		720	48.65		158	10.68								1480
	FOURTH			8	32.00		7	28.00			Excluded		7	28.00		3	12.00								25
		TOTAL		377	25.47		215	14.53					727	49.12		161	10.88								1480
	FIFTH			22	13.66		86	53.42					53	32.92			Excluded								161
		TOTAL		399	26.96		301	20.34					780	52.70											1480
	SIXTH			38	12.62			Excluded					263	87.38											301
		TOTAL		437	29.53								1043	70.47											1480
													Elected												
																									
Downer                                                         																									
	FIRST			374	25.49		133	9.07		18	1.23		796	54.26		95	6.48		29	1.98		22	1.50		1467
	SECOND			1	3.45		21	72.41		0	0.00		4	13.79		2	6.90			Excluded		1	3.45		29
		TOTAL		375	25.56		154	10.50		18	1.23		800	54.53		97	6.61					23	1.57		1467
	THIRD			11	47.83		1	4.35		4	17.39		2	8.70		5	21.74						Excluded		23
		TOTAL		386	26.31		155	10.57		22	1.50		802	54.67		102	6.95								1467
	FOURTH			12	54.55		2	9.09			Excluded		5	22.73		3	13.64								22
		TOTAL		398	27.13		157	10.70					807	55.01		105	7.16								1467
	FIFTH			16	15.24		55	52.38					34	32.38			Excluded								105
		TOTAL		414	28.22		212	14.45					841	57.33											1467
	SIXTH			22	10.38			Excluded					190	89.62											212
		TOTAL		436	29.72								1031	70.28											1467
													Elected												
																									
Evatt                                                          																									
	FIRST			978	30.76		177	5.57		128	4.03		1524	47.94		235	7.39		37	1.16		100	3.15		3179
	SECOND			3	8.11		9	24.32		2	5.41		12	32.43		5	13.51			Excluded		6	16.22		37
		TOTAL		981	30.86		186	5.85		130	4.09		1536	48.32		240	7.55					106	3.33		3179
	THIRD			57	53.77		8	7.55		5	4.72		11	10.38		25	23.58						Excluded		106
		TOTAL		1038	32.65		194	6.10		135	4.25		1547	48.66		265	8.34								3179
	FOURTH			46	34.07		23	17.04			Excluded		50	37.04		16	11.85								135
		TOTAL		1084	34.10		217	6.83					1597	50.24		281	8.84								3179
	FIFTH			44	15.66		122	43.42					115	40.93			Excluded								281
		TOTAL		1128	35.48		339	10.66					1712	53.85											3179
	SIXTH			95	28.02			Excluded					244	71.98											339
		TOTAL		1223	38.47								1956	61.53											3179
													Elected												
																									
Evatt South                                                    																									
	FIRST			485	33.54		75	5.19		21	1.45		687	47.51		121	8.37		20	1.38		37	2.56		1446
	SECOND			3	15.00		7	35.00		1	5.00		5	25.00		0	0.00			Excluded		4	20.00		20
		TOTAL		488	33.75		82	5.67		22	1.52		692	47.86		121	8.37					41	2.84		1446
	THIRD			20	48.78		2	4.88		1	2.44		4	9.76		14	34.15						Excluded		41
		TOTAL		508	35.13		84	5.81		23	1.59		696	48.13		135	9.34								1446
	FOURTH			13	56.52		2	8.70			Excluded		5	21.74		3	13.04								23
		TOTAL		521	36.03		86	5.95					701	48.48		138	9.54								1446
	FIFTH			24	17.39		58	42.03					56	40.58			Excluded								138
		TOTAL		545	37.69		144	9.96					757	52.35											1446
	SIXTH			33	22.92			Excluded					111	77.08											144
		TOTAL		578	39.97								868	60.03											1446
													Elected												
																									
Florey                                                         																									
	FIRST			639	29.80		102	4.76		46	2.15		1150	53.64		128	5.97		37	1.73		42	1.96		2144
	SECOND			4	10.81		11	29.73		2	5.41		11	29.73		8	21.62			Excluded		1	2.70		37
		TOTAL		643	29.99		113	5.27		48	2.24		1161	54.15		136	6.34					43	2.01		2144
	THIRD			18	41.86		6	13.95		0	0.00		10	23.26		9	20.93						Excluded		43
		TOTAL		661	30.83		119	5.55		48	2.24		1171	54.62		145	6.76								2144
	FOURTH			23	47.92		10	20.83			Excluded		9	18.75		6	12.50								48
		TOTAL		684	31.90		129	6.02					1180	55.04		151	7.04								2144
	FIFTH			31	20.53		64	42.38					56	37.09			Excluded								151
		TOTAL		715	33.35		193	9.00					1236	57.65											2144
	SIXTH			56	29.02			Excluded					137	70.98											193
		TOTAL		771	35.96								1373	64.04											2144
													Elected												
																									
Flynn                                                          																									
	FIRST			510	30.09		92	5.43		41	2.42		859	50.68		129	7.61		32	1.89		32	1.89		1695
	SECOND			3	9.38		17	53.13		1	3.13		4	12.50		4	12.50			Excluded		3	9.38		32
		TOTAL		513	30.27		109	6.43		42	2.48		863	50.91		133	7.85					35	2.06		1695
	THIRD			17	48.57		2	5.71		3	8.57		8	22.86		5	14.29						Excluded		35
		TOTAL		530	31.27		111	6.55		45	2.65		871	51.39		138	8.14								1695
	FOURTH			19	42.22		9	20.00			Excluded		12	26.67		5	11.11								45
		TOTAL		549	32.39		120	7.08					883	52.09		143	8.44								1695
	FIFTH			13	9.09		81	56.64					49	34.27			Excluded								143
		TOTAL		562	33.16		201	11.86					932	54.99											1695
	SIXTH			50	24.88			Excluded					151	75.12											201
		TOTAL		612	36.11								1083	63.89											1695
													Elected												
																									
Fraser                                                         																									
	FIRST			497	32.98		97	6.44		43	2.85		694	46.05		122	8.10		13	0.86		41	2.72		1507
	SECOND			2	15.38		3	23.08		1	7.69		4	30.77		1	7.69			Excluded		2	15.38		13
		TOTAL		499	33.11		100	6.64		44	2.92		698	46.32		123	8.16					43	2.85		1507
	THIRD			19	44.19		6	13.95		5	11.63		6	13.95		7	16.28						Excluded		43
		TOTAL		518	34.37		106	7.03		49	3.25		704	46.72		130	8.63								1507
	FOURTH			23	46.94		10	20.41			Excluded		11	22.45		5	10.20								49
		TOTAL		541	35.90		116	7.70					715	47.45		135	8.96								1507
	FIFTH			26	19.26		63	46.67					46	34.07			Excluded								135
		TOTAL		567	37.62		179	11.88					761	50.50											1507
	SIXTH			56	31.28			Excluded					123	68.72											179
		TOTAL		623	41.34								884	58.66											1507
													Elected												
																									
Giralang                                                       																									
	FIRST			630	30.58		114	5.53		68	3.30		987	47.91		169	8.20		22	1.07		70	3.40		2060
	SECOND			5	22.73		10	45.45		2	9.09		1	4.55		1	4.55			Excluded		3	13.64		22
		TOTAL		635	30.83		124	6.02		70	3.40		988	47.96		170	8.25					73	3.54		2060
	THIRD			38	52.05		7	9.59		7	9.59		12	16.44		9	12.33						Excluded		73
		TOTAL		673	32.67		131	6.36		77	3.74		1000	48.54		179	8.69								2060
	FOURTH			37	48.05		10	12.99			Excluded		21	27.27		9	11.69								77
		TOTAL		710	34.47		141	6.84					1021	49.56		188	9.13								2060
	FIFTH			30	15.96		92	48.94					66	35.11			Excluded								188
		TOTAL		740	35.92		233	11.31					1087	52.77											2060
	SIXTH			62	26.61			Excluded					171	73.39											233
		TOTAL		802	38.93								1258	61.07											2060
													Elected												
																									
Griffith                                                       																									
	FIRST			590	31.74		144	7.75		28	1.51		922	49.60		133	7.15		17	0.91		25	1.34		1859
	SECOND			0	0.00		8	47.06		1	5.88		4	23.53		3	17.65			Excluded		1	5.88		17
		TOTAL		590	31.74		152	8.18		29	1.56		926	49.81		136	7.32					26	1.40		1859
	THIRD			10	38.46		1	3.85		1	3.85		6	23.08		8	30.77						Excluded		26
		TOTAL		600	32.28		153	8.23		30	1.61		932	50.13		144	7.75								1859
	FOURTH			12	40.00		8	26.67			Excluded		5	16.67		5	16.67								30
		TOTAL		612	32.92		161	8.66					937	50.40		149	8.02								1859
	FIFTH			18	12.08		78	52.35					53	35.57			Excluded								149
		TOTAL		630	33.89		239	12.86					990	53.25											1859
	SIXTH			35	14.64			Excluded					204	85.36											239
		TOTAL		665	35.77								1194	64.23											1859
													Elected												
																									
Gungahlin                                                      																									
	FIRST			657	41.32		56	3.52		37	2.33		641	40.31		150	9.43		14	0.88		35	2.20		1590
	SECOND			3	21.43		3	21.43		0	0.00		2	14.29		4	28.57			Excluded		2	14.29		14
		TOTAL		660	41.51		59	3.71		37	2.33		643	40.44		154	9.69					37	2.33		1590
	THIRD			12	32.43		2	5.41		5	13.51		9	24.32		9	24.32						Excluded		37
		TOTAL		672	42.26		61	3.84		42	2.64		652	41.01		163	10.25								1590
	FOURTH			21	50.00		5	11.90			Excluded		11	26.19		5	11.90								42
		TOTAL		693	43.58		66	4.15					663	41.70		168	10.57								1590
	FIFTH			32	19.05		71	42.26					65	38.69			Excluded								168
		TOTAL		725	45.60		137	8.62					728	45.79											1590
	SIXTH			47	34.31			Excluded					90	65.69											137
		TOTAL		772	48.55								818	51.45											1590
													Elected												
																									
Hall                                                           																									
	FIRST			152	44.57		33	9.68		8	2.35		115	33.72		21	6.16		4	1.17		8	2.35		341
	SECOND			1	25.00		1	25.00		0	0.00		0	0.00		1	25.00			Excluded		1	25.00		4
		TOTAL		153	44.87		34	9.97		8	2.35		115	33.72		22	6.45					9	2.64		341
	THIRD			5	55.56		0	0.00		0	0.00		3	33.33		1	11.11						Excluded		9
		TOTAL		158	46.33		34	9.97		8	2.35		118	34.60		23	6.74								341
	FOURTH			4	50.00		2	25.00			Excluded		2	25.00		0	0.00								8
		TOTAL		162	47.51		36	10.56					120	35.19		23	6.74								341
	FIFTH			5	21.74		9	39.13					9	39.13			Excluded								23
		TOTAL		167	48.97		45	13.20					129	37.83											341
	SIXTH			13	28.89			Excluded					32	71.11											45
		TOTAL		180	52.79								161	47.21											341
													Elected												
																									
Higgins                                                        																									
	FIRST			686	31.69		175	8.08		72	3.33		973	44.94		162	7.48		32	1.48		65	3.00		2165
	SECOND			6	18.75		7	21.88		1	3.13		11	34.38		3	9.38			Excluded		4	12.50		32
		TOTAL		692	31.96		182	8.41		73	3.37		984	45.45		165	7.62					69	3.19		2165
	THIRD			33	47.83		4	5.80		4	5.80		10	14.49		18	26.09						Excluded		69
		TOTAL		725	33.49		186	8.59		77	3.56		994	45.91		183	8.45								2165
	FOURTH			36	46.75		15	19.48			Excluded		16	20.78		10	12.99								77
		TOTAL		761	35.15		201	9.28					1010	46.65		193	8.91								2165
	FIFTH			28	14.51		96	49.74					69	35.75			Excluded								193
		TOTAL		789	36.44		297	13.72					1079	49.84											2165
	SIXTH			71	23.91			Excluded					226	76.09											297
		TOTAL		860	39.72								1305	60.28											2165
													Elected												
																									
Holt                                                           																									
	FIRST			689	29.90		117	5.08		83	3.60		1113	48.31		188	8.16		26	1.13		88	3.82		2304
	SECOND			2	7.69		10	38.46		1	3.85		3	11.54		2	7.69			Excluded		8	30.77		26
		TOTAL		691	29.99		127	5.51		84	3.65		1116	48.44		190	8.25					96	4.17		2304
	THIRD			43	44.79		6	6.25		11	11.46		19	19.79		17	17.71						Excluded		96
		TOTAL		734	31.86		133	5.77		95	4.12		1135	49.26		207	8.98								2304
	FOURTH			33	34.74		19	20.00			Excluded		30	31.58		13	13.68								95
		TOTAL		767	33.29		152	6.60					1165	50.56		220	9.55								2304
	FIFTH			34	15.45		112	50.91					74	33.64			Excluded								220
		TOTAL		801	34.77		264	11.46					1239	53.78											2304
	SIXTH			76	28.79			Excluded					188	71.21											264
		TOTAL		877	38.06								1427	61.94											2304
													Elected												
																									
Jervis Bay                                                     																									
	FIRST			48	44.44		8	7.41		4	3.70		43	39.81		3	2.78		0	0.00		2	1.85		108
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		48	44.44		8	7.41		4	3.70		43	39.81		3	2.78					2	1.85		108
	THIRD			0	0.00		2	100.00		0	0.00		0	0.00		0	0.00						Excluded		2
		TOTAL		48	44.44		10	9.26		4	3.70		43	39.81		3	2.78								108
	FOURTH			4	100.00		0	0.00			Excluded		0	0.00		0	0.00								4
		TOTAL		52	48.15		10	9.26					43	39.81		3	2.78								108
	FIFTH			0	0.00		0	0.00					3	100.00			Excluded								3
		TOTAL		52	48.15		10	9.26					46	42.59											108
	SIXTH			4	40.00			Excluded					6	60.00											10
		TOTAL		56	51.85								52	48.15											108
													Elected												
																									
Kaleen                                                         																									
	FIRST			886	30.88		153	5.33		79	2.75		1441	50.23		189	6.59		47	1.64		74	2.58		2869
	SECOND			7	14.89		20	42.55		0	0.00		10	21.28		6	12.77			Excluded		4	8.51		47
		TOTAL		893	31.13		173	6.03		79	2.75		1451	50.58		195	6.80					78	2.72		2869
	THIRD			35	44.87		5	6.41		7	8.97		21	26.92		10	12.82						Excluded		78
		TOTAL		928	32.35		178	6.20		86	3.00		1472	51.31		205	7.15								2869
	FOURTH			32	37.21		23	26.74			Excluded		23	26.74		8	9.30								86
		TOTAL		960	33.46		201	7.01					1495	52.11		213	7.42								2869
	FIFTH			33	15.49		95	44.60					85	39.91			Excluded								213
		TOTAL		993	34.61		296	10.32					1580	55.07											2869
	SIXTH			67	22.64			Excluded					229	77.36											296
		TOTAL		1060	36.95								1809	63.05											2869
													Elected												
																									
Kaleen South                                                   																									
	FIRST			507	30.75		104	6.31		49	2.97		778	47.18		132	8.00		22	1.33		57	3.46		1649
	SECOND			1	4.55		8	36.36		1	4.55		5	22.73		3	13.64			Excluded		4	18.18		22
		TOTAL		508	30.81		112	6.79		50	3.03		783	47.48		135	8.19					61	3.70		1649
	THIRD			27	44.26		3	4.92		2	3.28		13	21.31		16	26.23						Excluded		61
		TOTAL		535	32.44		115	6.97		52	3.15		796	48.27		151	9.16								1649
	FOURTH			21	40.38		7	13.46			Excluded		16	30.77		8	15.38								52
		TOTAL		556	33.72		122	7.40					812	49.24		159	9.64								1649
	FIFTH			32	20.13		77	48.43					50	31.45			Excluded								159
		TOTAL		588	35.66		199	12.07					862	52.27											1649
	SIXTH			48	24.12			Excluded					151	75.88											199
		TOTAL		636	38.57								1013	61.43											1649
													Elected												
																									
Latham                                                         																									
	FIRST			669	34.70		91	4.72		55	2.85		901	46.73		148	7.68		15	0.78		49	2.54		1928
	SECOND			2	13.33		6	40.00		0	0.00		4	26.67		2	13.33			Excluded		1	6.67		15
		TOTAL		671	34.80		97	5.03		55	2.85		905	46.94		150	7.78					50	2.59		1928
	THIRD			30	60.00		1	2.00		6	12.00		7	14.00		6	12.00						Excluded		50
		TOTAL		701	36.36		98	5.08		61	3.16		912	47.30		156	8.09								1928
	FOURTH			24	39.34		13	21.31			Excluded		15	24.59		9	14.75								61
		TOTAL		725	37.60		111	5.76					927	48.08		165	8.56								1928
	FIFTH			30	18.18		70	42.42					65	39.39			Excluded								165
		TOTAL		755	39.16		181	9.39					992	51.45											1928
	SIXTH			50	27.62			Excluded					131	72.38											181
		TOTAL		805	41.75								1123	58.25											1928
													Elected												
																									
Lyneham                                                        																									
	FIRST			792	21.88		535	14.78		66	1.82		1784	49.30		279	7.71		110	3.04		53	1.46		3619
	SECOND			4	3.64		59	53.64		2	1.82		22	20.00		13	11.82			Excluded		10	9.09		110
		TOTAL		796	22.00		594	16.41		68	1.88		1806	49.90		292	8.07					63	1.74		3619
	THIRD			26	41.27		8	12.70		5	7.94		14	22.22		10	15.87						Excluded		63
		TOTAL		822	22.71		602	16.63		73	2.02		1820	50.29		302	8.34								3619
	FOURTH			23	31.51		14	19.18			Excluded		28	38.36		8	10.96								73
		TOTAL		845	23.35		616	17.02					1848	51.06		310	8.57								3619
	FIFTH			40	12.90		161	51.94					109	35.16			Excluded								310
		TOTAL		885	24.45		777	21.47					1957	54.08											3619
	SIXTH			64	8.24			Excluded					713	91.76											777
		TOTAL		949	26.22								2670	73.78											3619
													Elected												
																									
Macgregor                                                      																									
	FIRST			513	29.50		103	5.92		58	3.34		841	48.36		152	8.74		21	1.21		51	2.93		1739
	SECOND			0	0.00		8	38.10		1	4.76		7	33.33		3	14.29			Excluded		2	9.52		21
		TOTAL		513	29.50		111	6.38		59	3.39		848	48.76		155	8.91					53	3.05		1739
	THIRD			22	41.51		5	9.43		6	11.32		10	18.87		10	18.87						Excluded		53
		TOTAL		535	30.76		116	6.67		65	3.74		858	49.34		165	9.49								1739
	FOURTH			19	29.23		13	20.00			Excluded		28	43.08		5	7.69								65
		TOTAL		554	31.86		129	7.42					886	50.95		170	9.78								1739
	FIFTH			32	18.82		82	48.24					56	32.94			Excluded								170
		TOTAL		586	33.70		211	12.13					942	54.17											1739
	SIXTH			62	29.38			Excluded					149	70.62											211
		TOTAL		648	37.26								1091	62.74											1739
													Elected												
																									
Macquarie                                                      																									
	FIRST			437	25.74		185	10.90		51	3.00		803	47.29		157	9.25		21	1.24		44	2.59		1698
	SECOND			1	4.76		12	57.14		0	0.00		5	23.81		2	9.52			Excluded		1	4.76		21
		TOTAL		438	25.80		197	11.60		51	3.00		808	47.59		159	9.36					45	2.65		1698
	THIRD			29	64.44		0	0.00		6	13.33		5	11.11		5	11.11						Excluded		45
		TOTAL		467	27.50		197	11.60		57	3.36		813	47.88		164	9.66								1698
	FOURTH			24	42.11		13	22.81			Excluded		13	22.81		7	12.28								57
		TOTAL		491	28.92		210	12.37					826	48.65		171	10.07								1698
	FIFTH			19	11.11		98	57.31					54	31.58			Excluded								171
		TOTAL		510	30.04		308	18.14					880	51.83											1698
	SIXTH			55	17.86			Excluded					253	82.14											308
		TOTAL		565	33.27								1133	66.73											1698
													Elected												
																									
Melba                                                          																									
	FIRST			743	32.82		141	6.23		37	1.63		1079	47.66		193	8.52		17	0.75		54	2.39		2264
	SECOND			1	5.88		8	47.06		0	0.00		7	41.18		0	0.00			Excluded		1	5.88		17
		TOTAL		744	32.86		149	6.58		37	1.63		1086	47.97		193	8.52					55	2.43		2264
	THIRD			32	58.18		2	3.64		4	7.27		11	20.00		6	10.91						Excluded		55
		TOTAL		776	34.28		151	6.67		41	1.81		1097	48.45		199	8.79								2264
	FOURTH			17	41.46		9	21.95			Excluded		11	26.83		4	9.76								41
		TOTAL		793	35.03		160	7.07					1108	48.94		203	8.97								2264
	FIFTH			34	16.75		100	49.26					69	33.99			Excluded								203
		TOTAL		827	36.53		260	11.48					1177	51.99											2264
	SIXTH			64	24.62			Excluded					196	75.38											260
		TOTAL		891	39.36								1373	60.64											2264
													Elected												
																									
Narrabundah                                                    																									
	FIRST			451	24.99		124	6.87		45	2.49		1016	56.29		132	7.31		21	1.16		16	0.89		1805
	SECOND			3	14.29		12	57.14		0	0.00		2	9.52		3	14.29			Excluded		1	4.76		21
		TOTAL		454	25.15		136	7.53		45	2.49		1018	56.40		135	7.48					17	0.94		1805
	THIRD			8	47.06		2	11.76		1	5.88		3	17.65		3	17.65						Excluded		17
		TOTAL		462	25.60		138	7.65		46	2.55		1021	56.57		138	7.65								1805
