Senate - 1993 Election: Queensland																																														
First Preference Votes by Group																																														
By Polling Place																																														


Bowman (75360)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Cleveland School		                           	36	1.1	 	229	7.02	 	1505	46.15	 	24	0.74	 	4	0.12	 	103	3.16	 	1142	35.02	 	2	0.06	 	9	0.28	 	2	0.06	 	202	6.19	 	3	0.09	 	3261	98.02	 	66	1.98	 	3327	4.57
Coochiemudlo Island		                        	1	0.45	 	9	4.07	 	98	44.34	 	0	0	 	0	0	 	6	2.71	 	88	39.82	 	0	0	 	2	0.9	 	0	0	 	17	7.69	 	0	0	 	221	99.1	 	2	0.9	 	223	0.31
Coolnwynpin		                                	12	0.94	 	66	5.18	 	472	37.08	 	7	0.55	 	0	0	 	24	1.89	 	602	47.29	 	0	0	 	1	0.08	 	0	0	 	88	6.91	 	1	0.08	 	1273	98.3	 	22	1.7	 	1295	1.78
Dunwich		                                    	12	2.29	 	40	7.62	 	125	23.81	 	2	0.38	 	1	0.19	 	20	3.81	 	294	56	 	1	0.19	 	5	0.95	 	0	0	 	25	4.76	 	0	0	 	525	98.87	 	6	1.13	 	531	0.73
Hilliard		                                   	8	0.57	 	66	4.72	 	553	39.53	 	8	0.57	 	0	0	 	41	2.93	 	592	42.32	 	1	0.07	 	2	0.14	 	1	0.07	 	125	8.93	 	2	0.14	 	1399	99.08	 	13	0.92	 	1412	1.94
Lake Sherrin		                               	12	1.68	 	87	12.18	 	328	45.94	 	6	0.84	 	0	0	 	17	2.38	 	204	28.57	 	0	0	 	2	0.28	 	1	0.14	 	55	7.7	 	2	0.28	 	714	98.35	 	12	1.65	 	726	1
Lindum		                                     	8	0.78	 	50	4.87	 	258	25.12	 	7	0.68	 	0	0	 	27	2.63	 	585	56.96	 	0	0	 	4	0.39	 	2	0.19	 	86	8.37	 	0	0	 	1027	98	 	21	2	 	1048	1.44
Lota		                                       	15	1.12	 	72	5.35	 	295	21.93	 	13	0.97	 	1	0.07	 	75	5.58	 	782	58.14	 	0	0	 	5	0.37	 	1	0.07	 	85	6.32	 	1	0.07	 	1345	97.46	 	35	2.54	 	1380	1.9
Macleay Island		                             	9	1.65	 	33	6.06	 	174	31.93	 	4	0.73	 	0	0	 	16	2.94	 	247	45.32	 	0	0	 	2	0.37	 	0	0	 	60	11.01	 	0	0	 	545	96.12	 	22	3.88	 	567	0.78
Manly		                                      	8	0.73	 	81	7.42	 	346	31.68	 	4	0.37	 	1	0.09	 	34	3.11	 	521	47.71	 	0	0	 	6	0.55	 	2	0.18	 	88	8.06	 	1	0.09	 	1092	97.85	 	24	2.15	 	1116	1.53
Manly School		                               	13	0.75	 	104	5.97	 	586	33.66	 	13	0.75	 	0	0	 	75	4.31	 	800	45.95	 	0	0	 	6	0.34	 	3	0.17	 	136	7.81	 	5	0.29	 	1741	98.42	 	28	1.58	 	1769	2.43
Manly West		                                 	25	1.15	 	127	5.84	 	745	34.24	 	18	0.83	 	1	0.05	 	69	3.17	 	1039	47.75	 	0	0	 	1	0.05	 	1	0.05	 	149	6.85	 	1	0.05	 	2176	98.77	 	27	1.23	 	2203	3.03
Ormiston		                                   	7	0.38	 	150	8.23	 	773	42.43	 	13	0.71	 	1	0.05	 	56	3.07	 	666	36.55	 	1	0.05	 	5	0.27	 	5	0.27	 	142	7.79	 	3	0.16	 	1822	98.81	 	22	1.19	 	1844	2.53
Point Lookout		                              	4	0.95	 	17	4.02	 	103	24.35	 	2	0.47	 	1	0.24	 	32	7.57	 	217	51.3	 	0	0	 	3	0.71	 	1	0.24	 	42	9.93	 	1	0.24	 	423	97.92	 	9	2.08	 	432	0.59
Russell Island		                             	6	1.34	 	33	7.38	 	136	30.43	 	2	0.45	 	1	0.22	 	12	2.68	 	231	51.68	 	0	0	 	0	0	 	0	0	 	26	5.82	 	0	0	 	447	95.72	 	20	4.28	 	467	0.64
Tangalooma		                                 	6	9.23	 	7	10.77	 	23	35.38	 	0	0	 	0	0	 	3	4.62	 	18	27.69	 	0	0	 	1	1.54	 	1	1.54	 	6	9.23	 	0	0	 	65	100	 	0	0	 	65	0.09
Thorneside		                                 	17	1.41	 	71	5.89	 	336	27.88	 	11	0.91	 	2	0.17	 	59	4.9	 	596	49.46	 	0	0	 	0	0	 	0	0	 	112	9.29	 	1	0.08	 	1205	97.81	 	27	2.19	 	1232	1.69
Thornlands		                                 	44	1.27	 	231	6.65	 	1409	40.57	 	25	0.72	 	1	0.03	 	71	2.04	 	1346	38.76	 	2	0.06	 	10	0.29	 	4	0.12	 	329	9.47	 	1	0.03	 	3473	98.61	 	49	1.39	 	3522	4.84
Victoria Point		                             	34	0.93	 	257	7.02	 	1518	41.46	 	40	1.09	 	3	0.08	 	130	3.55	 	1417	38.71	 	2	0.05	 	10	0.27	 	4	0.11	 	242	6.61	 	4	0.11	 	3661	98.28	 	64	1.72	 	3725	5.12
Vienna Woods		                               	29	1.13	 	133	5.18	 	839	32.7	 	21	0.82	 	2	0.08	 	50	1.95	 	1268	49.42	 	1	0.04	 	4	0.16	 	3	0.12	 	214	8.34	 	2	0.08	 	2566	98.81	 	31	1.19	 	2597	3.57
Wellington Point		                           	29	1.04	 	156	5.57	 	1011	36.12	 	24	0.86	 	3	0.11	 	143	5.11	 	1205	43.05	 	0	0	 	4	0.14	 	6	0.21	 	217	7.75	 	1	0.04	 	2799	98.42	 	45	1.58	 	2844	3.91
Wondall Heights		                            	30	1.14	 	132	5.01	 	834	31.66	 	10	0.38	 	2	0.08	 	93	3.53	 	1301	49.39	 	0	0	 	8	0.3	 	2	0.08	 	214	8.12	 	8	0.3	 	2634	98.21	 	48	1.79	 	2682	3.69
Wynnum		                                     	18	1.43	 	87	6.92	 	377	29.97	 	7	0.56	 	2	0.16	 	33	2.62	 	618	49.13	 	4	0.32	 	1	0.08	 	4	0.32	 	102	8.11	 	5	0.4	 	1258	97.75	 	29	2.25	 	1287	1.77
Wynnum Central		                             	28	1.44	 	73	3.77	 	480	24.77	 	12	0.62	 	6	0.31	 	83	4.28	 	1099	56.71	 	0	0	 	8	0.41	 	0	0	 	146	7.53	 	3	0.15	 	1938	97.29	 	54	2.71	 	1992	2.74
Wynnum High		                                	8	1.08	 	43	5.8	 	199	26.86	 	9	1.21	 	0	0	 	20	2.7	 	382	51.55	 	0	0	 	1	0.13	 	3	0.4	 	76	10.26	 	0	0	 	741	98.93	 	8	1.07	 	749	1.03
Wynnum North		                               	35	1.64	 	110	5.15	 	567	26.57	 	12	0.56	 	2	0.09	 	67	3.14	 	1124	52.67	 	0	0	 	4	0.19	 	3	0.14	 	204	9.56	 	6	0.28	 	2134	97.76	 	49	2.24	 	2183	3
Wynnum North High		                          	17	1.46	 	54	4.62	 	294	25.17	 	4	0.34	 	0	0	 	39	3.34	 	652	55.82	 	1	0.09	 	3	0.26	 	1	0.09	 	101	8.65	 	2	0.17	 	1168	97.41	 	31	2.59	 	1199	1.65
Wynnum West		                                	21	0.8	 	131	4.98	 	713	27.11	 	12	0.46	 	3	0.11	 	82	3.12	 	1416	53.84	 	1	0.04	 	11	0.42	 	3	0.11	 	237	9.01	 	0	0	 	2630	98.1	 	51	1.9	 	2681	3.68
Special Hospitals		                          	2	0.54	 	23	6.27	 	149	40.6	 	1	0.27	 	0	0	 	1	0.27	 	181	49.32	 	0	0	 	0	0	 	0	0	 	10	2.72	 	0	0	 	367	98.92	 	4	1.08	 	371	0.51
Total Ordinary		                             	700	1.11	 	3613	5.75	 	21293	33.88	 	448	0.71	 	50	0.08	 	2145	3.41	 	29257	46.55	 	23	0.04	 	168	0.27	 	79	0.13	 	5002	7.96	 	75	0.12	 	62853	98.17	 	1173	1.83	 	64026	87.99
ABSENT		                                     	81	2.06	 	265	6.75	 	1297	33.02	 	25	0.64	 	5	0.13	 	207	5.27	 	1710	43.53	 	7	0.18	 	13	0.33	 	10	0.25	 	301	7.66	 	7	0.18	 	3928	98.59	 	56	1.41	 	3984	5.47
POSTAL		                                     	26	1.18	 	183	8.31	 	664	30.15	 	31	1.41	 	1	0.05	 	56	2.54	 	1082	49.14	 	3	0.14	 	6	0.27	 	8	0.36	 	140	6.36	 	2	0.09	 	2202	99.14	 	19	0.86	 	2221	3.05
PRE_POLL		                                   	25	1.07	 	150	6.43	 	983	42.13	 	25	1.07	 	4	0.17	 	76	3.26	 	929	39.82	 	1	0.04	 	2	0.09	 	4	0.17	 	133	5.7	 	1	0.04	 	2333	98.9	 	26	1.1	 	2359	3.24
PROVISIONAL		                                	4	2.29	 	9	5.14	 	57	32.57	 	2	1.14	 	1	0.57	 	12	6.86	 	75	42.86	 	0	0	 	1	0.57	 	2	1.14	 	12	6.86	 	0	0	 	175	98.31	 	3	1.69	 	178	0.24
ADJUSTMENT		                                 	-1		       	0		       	0		       	0		       	1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	835	1.17	 	4220	5.9	 	24294	33.98	 	531	0.74	 	62	0.09	 	2496	3.49	 	33053	46.23	 	34	0.05	 	190	0.27	 	103	0.14	 	5588	7.82	 	85	0.12	 	71491	98.25	 	1277	1.75	 	72768	96.56
 																																														


Brisbane (80653)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alderley		                                   	23	1.23	 	97	5.19	 	625	33.46	 	10	0.54	 	6	0.32	 	68	3.64	 	828	44.33	 	1	0.05	 	8	0.43	 	8	0.43	 	192	10.28	 	2	0.11	 	1868	96.99	 	58	3.01	 	1926	2.49
Arana Hills (Brisbane)		                     	10	1.03	 	42	4.33	 	287	29.56	 	6	0.62	 	1	0.1	 	33	3.4	 	488	50.26	 	0	0	 	2	0.21	 	4	0.41	 	96	9.89	 	2	0.21	 	971	98.38	 	16	1.62	 	987	1.28
Ashgrove		                                   	19	0.7	 	124	4.59	 	1033	38.23	 	20	0.74	 	4	0.15	 	123	4.55	 	1106	40.93	 	1	0.04	 	15	0.56	 	3	0.11	 	251	9.29	 	3	0.11	 	2702	98.18	 	50	1.82	 	2752	3.56
Ashgrove West (Brisbane)		                   	2	0.19	 	38	3.53	 	496	46.1	 	8	0.74	 	0	0	 	54	5.02	 	369	34.29	 	2	0.19	 	3	0.28	 	1	0.09	 	102	9.48	 	1	0.09	 	1076	99.26	 	8	0.74	 	1084	1.4
Ballymore		                                  	8	1.26	 	24	3.79	 	251	39.59	 	3	0.47	 	0	0	 	34	5.36	 	260	41.01	 	0	0	 	0	0	 	3	0.47	 	49	7.73	 	2	0.32	 	634	97.24	 	18	2.76	 	652	0.84
Brisbane City (Brisbane)		                   	12	0.88	 	50	3.68	 	396	29.18	 	8	0.59	 	0	0	 	100	7.37	 	625	46.06	 	1	0.07	 	9	0.66	 	6	0.44	 	148	10.91	 	2	0.15	 	1357	96.93	 	43	3.07	 	1400	1.81
Dorrington		                                 	12	0.86	 	54	3.88	 	531	38.17	 	9	0.65	 	1	0.07	 	46	3.31	 	576	41.41	 	1	0.07	 	4	0.29	 	6	0.43	 	147	10.57	 	4	0.29	 	1391	99.14	 	12	0.86	 	1403	1.82
Enoggera		                                   	11	2.42	 	30	6.61	 	136	29.96	 	4	0.88	 	2	0.44	 	16	3.52	 	236	51.98	 	0	0	 	0	0	 	1	0.22	 	18	3.96	 	0	0	 	454	98.06	 	9	1.94	 	463	0.6
Enoggera West		                              	6	0.84	 	40	5.59	 	247	34.5	 	6	0.84	 	0	0	 	35	4.89	 	320	44.69	 	0	0	 	3	0.42	 	0	0	 	59	8.24	 	0	0	 	716	98.62	 	10	1.38	 	726	0.94
Everton Hills (Brisbane)		                   	37	1.93	 	74	3.86	 	734	38.33	 	13	0.68	 	1	0.05	 	52	2.72	 	779	40.68	 	0	0	 	4	0.21	 	3	0.16	 	216	11.28	 	2	0.1	 	1915	97.95	 	40	2.05	 	1955	2.53
Everton Park		                               	13	0.86	 	81	5.34	 	547	36.06	 	10	0.66	 	2	0.13	 	28	1.85	 	693	45.68	 	0	0	 	11	0.73	 	4	0.26	 	127	8.37	 	1	0.07	 	1517	97.31	 	42	2.69	 	1559	2.02
Everton Park North		                         	22	0.95	 	121	5.24	 	1001	43.33	 	14	0.61	 	3	0.13	 	54	2.34	 	872	37.75	 	1	0.04	 	4	0.17	 	1	0.04	 	212	9.18	 	5	0.22	 	2310	98.42	 	37	1.58	 	2347	3.04
Fortitude Valley		                           	4	1.19	 	10	2.99	 	124	37.01	 	2	0.6	 	0	0	 	15	4.48	 	159	47.46	 	0	0	 	3	0.9	 	0	0	 	17	5.07	 	1	0.3	 	335	97.95	 	7	2.05	 	342	0.44
Gaythorne		                                  	11	0.75	 	79	5.4	 	467	31.92	 	5	0.34	 	1	0.07	 	52	3.55	 	724	49.49	 	1	0.07	 	6	0.41	 	6	0.41	 	111	7.59	 	0	0	 	1463	97.53	 	37	2.47	 	1500	1.94
Gordon Park		                                	21	1.18	 	98	5.52	 	560	31.57	 	12	0.68	 	1	0.06	 	72	4.06	 	835	47.07	 	2	0.11	 	9	0.51	 	3	0.17	 	154	8.68	 	7	0.39	 	1774	98.56	 	26	1.44	 	1800	2.33
Grange		                                     	14	0.93	 	79	5.23	 	578	38.28	 	4	0.26	 	3	0.2	 	68	4.5	 	625	41.39	 	1	0.07	 	9	0.6	 	4	0.26	 	121	8.01	 	4	0.26	 	1510	97.23	 	43	2.77	 	1553	2.01
Grange West		                                	6	0.75	 	35	4.38	 	318	39.75	 	3	0.38	 	1	0.13	 	27	3.38	 	319	39.88	 	0	0	 	5	0.63	 	8	1	 	77	9.63	 	1	0.13	 	800	97.92	 	17	2.08	 	817	1.06
Grovely		                                    	15	1.22	 	33	2.69	 	263	21.4	 	7	0.57	 	3	0.24	 	34	2.77	 	785	63.87	 	0	0	 	4	0.33	 	3	0.24	 	81	6.59	 	1	0.08	 	1229	98.32	 	21	1.68	 	1250	1.62
Ithaca Creek		                               	12	0.81	 	65	4.37	 	487	32.77	 	3	0.2	 	0	0	 	77	5.18	 	680	45.76	 	0	0	 	11	0.74	 	4	0.27	 	145	9.76	 	2	0.13	 	1486	98.35	 	25	1.65	 	1511	1.96
Ithaca South		                               	11	0.69	 	47	2.96	 	537	33.77	 	6	0.38	 	2	0.13	 	121	7.61	 	671	42.2	 	0	0	 	7	0.44	 	10	0.63	 	174	10.94	 	4	0.25	 	1590	97.25	 	45	2.75	 	1635	2.12
Kedron Heights		                             	26	1.43	 	70	3.86	 	611	33.7	 	9	0.5	 	0	0	 	53	2.92	 	889	49.03	 	5	0.28	 	10	0.55	 	6	0.33	 	133	7.34	 	1	0.06	 	1813	98.27	 	32	1.73	 	1845	2.39
Kelvin Grove		                               	17	1.15	 	51	3.46	 	543	36.86	 	6	0.41	 	3	0.2	 	87	5.91	 	625	42.43	 	1	0.07	 	6	0.41	 	4	0.27	 	124	8.42	 	6	0.41	 	1473	97.04	 	45	2.96	 	1518	1.96
Keperra (Brisbane)		                         	16	1.01	 	60	3.79	 	507	31.99	 	8	0.5	 	6	0.38	 	32	2.02	 	787	49.65	 	0	0	 	9	0.57	 	3	0.19	 	152	9.59	 	5	0.32	 	1585	98.14	 	30	1.86	 	1615	2.09
Lutwyche (Brisbane)		                        	24	1.59	 	70	4.64	 	498	33.05	 	9	0.6	 	0	0	 	66	4.38	 	683	45.32	 	3	0.2	 	11	0.73	 	1	0.07	 	140	9.29	 	2	0.13	 	1507	96.6	 	53	3.4	 	1560	2.02
McDowall (Brisbane)		                        	4	0.58	 	31	4.5	 	316	45.86	 	4	0.58	 	1	0.15	 	21	3.05	 	264	38.32	 	0	0	 	0	0	 	0	0	 	47	6.82	 	1	0.15	 	689	99.14	 	6	0.86	 	695	0.9
Merthyr		                                    	13	0.67	 	78	4.01	 	721	37.07	 	3	0.15	 	2	0.1	 	68	3.5	 	886	45.55	 	2	0.1	 	10	0.51	 	7	0.36	 	155	7.97	 	0	0	 	1945	95.44	 	93	4.56	 	2038	2.64
Mitchelton		                                 	19	1.28	 	74	4.97	 	455	30.56	 	5	0.34	 	1	0.07	 	38	2.55	 	723	48.56	 	0	0	 	8	0.54	 	4	0.27	 	157	10.54	 	5	0.34	 	1489	97.96	 	31	2.04	 	1520	1.97
Mitchelton East		                            	10	1.03	 	39	4.01	 	359	36.93	 	8	0.82	 	0	0	 	18	1.85	 	451	46.4	 	1	0.1	 	5	0.51	 	1	0.1	 	80	8.23	 	0	0	 	972	99.39	 	6	0.61	 	978	1.27
Moonyah		                                    	7	1.19	 	32	5.45	 	198	33.73	 	1	0.17	 	0	0	 	28	4.77	 	261	44.46	 	0	0	 	3	0.51	 	1	0.17	 	55	9.37	 	1	0.17	 	587	96.86	 	19	3.14	 	606	0.78
New Farm		                                   	18	0.68	 	88	3.31	 	836	31.45	 	8	0.3	 	1	0.04	 	150	5.64	 	1298	48.83	 	0	0	 	21	0.79	 	7	0.26	 	227	8.54	 	4	0.15	 	2658	96.03	 	110	3.97	 	2768	3.58
Newmarket		                                  	12	0.7	 	84	4.88	 	607	35.25	 	8	0.46	 	2	0.12	 	94	5.46	 	741	43.03	 	0	0	 	1	0.06	 	1	0.06	 	170	9.87	 	2	0.12	 	1722	97.73	 	40	2.27	 	1762	2.28
Newmarket South		                            	10	1.16	 	58	6.75	 	277	32.25	 	3	0.35	 	0	0	 	32	3.73	 	411	47.85	 	0	0	 	2	0.23	 	1	0.12	 	64	7.45	 	1	0.12	 	859	98.28	 	15	1.72	 	874	1.13
Oxford Park		                                	15	0.99	 	68	4.48	 	424	27.91	 	8	0.53	 	4	0.26	 	48	3.16	 	803	52.86	 	0	0	 	7	0.46	 	3	0.2	 	138	9.08	 	1	0.07	 	1519	97.81	 	34	2.19	 	1553	2.01
Petrie Terrace		                             	14	1.84	 	28	3.67	 	216	28.35	 	3	0.39	 	0	0	 	66	8.66	 	368	48.29	 	0	0	 	5	0.66	 	2	0.26	 	59	7.74	 	1	0.13	 	762	96.58	 	27	3.42	 	789	1.02
Royal Brisbane Hospital		                    	6	1.4	 	28	6.51	 	105	24.42	 	1	0.23	 	0	0	 	20	4.65	 	229	53.26	 	0	0	 	0	0	 	0	0	 	41	9.53	 	0	0	 	430	97.51	 	11	2.49	 	441	0.57
Somerset Hills (Brisbane)		                  	27	1.38	 	78	3.97	 	682	34.74	 	8	0.41	 	3	0.15	 	69	3.52	 	921	46.92	 	1	0.05	 	5	0.25	 	0	0	 	166	8.46	 	3	0.15	 	1963	98.3	 	34	1.7	 	1997	2.58
Spring Hill		                                	11	1.11	 	51	5.16	 	353	35.73	 	2	0.2	 	1	0.1	 	47	4.76	 	451	45.65	 	0	0	 	3	0.3	 	4	0.4	 	65	6.58	 	0	0	 	988	97.24	 	28	2.76	 	1016	1.32
Stafford		                                   	16	0.76	 	61	2.89	 	685	32.5	 	18	0.85	 	3	0.14	 	68	3.23	 	1060	50.28	 	1	0.05	 	10	0.47	 	7	0.33	 	178	8.44	 	1	0.05	 	2108	97.19	 	61	2.81	 	2169	2.81
Stafford Central		                           	17	1.03	 	82	4.95	 	507	30.58	 	9	0.54	 	0	0	 	56	3.38	 	835	50.36	 	0	0	 	7	0.42	 	3	0.18	 	139	8.38	 	3	0.18	 	1658	98.51	 	25	1.49	 	1683	2.18
Stafford Heights		                           	24	0.93	 	102	3.95	 	1052	40.71	 	17	0.66	 	6	0.23	 	49	1.9	 	1053	40.75	 	2	0.08	 	13	0.5	 	4	0.15	 	258	9.98	 	4	0.15	 	2584	98.25	 	46	1.75	 	2630	3.4
Stafford West		                              	14	1.12	 	60	4.78	 	461	36.76	 	7	0.56	 	3	0.24	 	33	2.63	 	559	44.58	 	2	0.16	 	7	0.56	 	3	0.24	 	102	8.13	 	3	0.24	 	1254	97.59	 	31	2.41	 	1285	1.66
West Paddington (Brisbane)		                 	4	0.58	 	17	2.46	 	258	37.34	 	1	0.14	 	0	0	 	38	5.5	 	303	43.85	 	0	0	 	2	0.29	 	9	1.3	 	59	8.54	 	0	0	 	691	98.43	 	11	1.57	 	702	0.91
Wilston School		                             	17	0.79	 	112	5.2	 	775	35.96	 	7	0.32	 	2	0.09	 	109	5.06	 	914	42.41	 	0	0	 	8	0.37	 	4	0.19	 	204	9.47	 	3	0.14	 	2155	98.09	 	42	1.91	 	2197	2.84
Windsor		                                    	19	1.14	 	70	4.22	 	516	31.08	 	13	0.78	 	3	0.18	 	68	4.1	 	845	50.9	 	1	0.06	 	7	0.42	 	4	0.24	 	111	6.69	 	3	0.18	 	1660	96.68	 	57	3.32	 	1717	2.22
Special Hospitals		                          	3	0.63	 	26	5.45	 	170	35.64	 	2	0.42	 	0	0	 	2	0.42	 	255	53.46	 	2	0.42	 	4	0.84	 	1	0.21	 	12	2.52	 	0	0	 	477	97.95	 	10	2.05	 	487	0.63
Total Ordinary		                             	632	1.01	 	2739	4.37	 	21750	34.72	 	321	0.51	 	72	0.11	 	2469	3.94	 	28565	45.6	 	32	0.05	 	281	0.45	 	158	0.25	 	5533	8.83	 	94	0.15	 	62646	97.72	 	1461	2.28	 	64107	82.97
ABSENT		                                     	77	1.18	 	307	4.72	 	2226	34.21	 	44	0.68	 	9	0.14	 	430	6.61	 	2803	43.08	 	5	0.08	 	36	0.55	 	25	0.38	 	536	8.24	 	9	0.14	 	6507	98.92	 	71	1.08	 	6578	8.51
POSTAL		                                     	22	0.63	 	186	5.36	 	1194	34.42	 	19	0.55	 	2	0.06	 	59	1.7	 	1763	50.82	 	0	0	 	22	0.63	 	6	0.17	 	193	5.56	 	3	0.09	 	3469	98.69	 	46	1.31	 	3515	4.55
PRE_POLL		                                   	19	0.7	 	130	4.78	 	1116	41	 	11	0.4	 	5	0.18	 	157	5.77	 	1068	39.24	 	3	0.11	 	9	0.33	 	11	0.4	 	191	7.02	 	2	0.07	 	2722	99.02	 	27	0.98	 	2749	3.56
PROVISIONAL		                                	4	1.31	 	7	2.3	 	84	27.54	 	0	0	 	1	0.33	 	21	6.89	 	154	50.49	 	0	0	 	4	1.31	 	1	0.33	 	29	9.51	 	0	0	 	305	97.44	 	8	2.56	 	313	0.41
ADJUSTMENT		                                 	0		       	-1		       	-5		       	0		       	0		       	0		       	3		       	0		       	0		       	0		       	0		       	0		       	-3		       	2		       	-1	
Division Summary		                           	754	1	 	3368	4.45	 	26365	34.85	 	395	0.52	 	89	0.12	 	3136	4.15	 	34356	45.42	 	40	0.05	 	352	0.47	 	201	0.27	 	6482	8.57	 	108	0.14	 	75646	97.91	 	1615	2.09	 	77261	95.79
 																																														


Capricornia (80450)																																														

	   		Group Total CAP			Group Total NP			Group Total LP			Group Total CTA			Group Total - Unendorsed Group E			Group Total QG			Group Total ALP			Group Total - Unendorsed Group H			Group Total AIP			Group Total NLP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allenstown		                                 	40	1.5	 	449	16.87	 	633	23.78	 	20	0.75	 	12	0.45	 	82	3.08	 	1220	45.83	 	3	0.11	 	23	0.86	 	3	0.11	 	171	6.42	 	6	0.23	 	2662	97.8	 	60	2.2	 	2722	3.51
Alpha		                                      	8	2.15	 	171	45.97	 	41	11.02	 	1	0.27	 	1	0.27	 	2	0.54	 	132	35.48	 	0	0	 	4	1.08	 	1	0.27	 	11	2.96	 	0	0	 	372	96.88	 	12	3.13	 	384	0.5
Alton Downs		                                	8	1.79	 	155	34.6	 	112	25	 	6	1.34	 	2	0.45	 	6	1.34	 	130	29.02	 	0	0	 	4	0.89	 	2	0.45	 	23	5.13	 	0	0	 	448	98.25	 	8	1.75	 	456	0.59
Applegarth		                                 	1	0.52	 	33	17.28	 	47	24.61	 	1	0.52	 	0	0	 	3	1.57	 	90	47.12	 	0	0	 	1	0.52	 	1	0.52	 	14	7.33	 	0	0	 	191	97.95	 	4	2.05	 	195	0.25
