Senate - 1993 Election: Australian Capital Territory																															
First Preference Votes by Group																															
By Polling Place																															


Canberra (95277)																															

	   		Group Total DEM			Group Total ALP			Group Total ASG			Group Total GRN			Group Total LP			Group Total NLP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Theodore		                                   	86	6.56	 	741	56.52	 	16	1.22	 	47	3.59	 	389	29.67	 	4	0.31	 	28	2.14	 	1311	99.09	 	12	0.91	 	1323	1.43
Uriarra		                                    	2	3.85	 	44	84.62	 	0	0	 	0	0	 	6	11.54	 	0	0	 	0	0	 	52	100	 	0	0	 	52	0.06
Wanniassa		                                  	208	6.58	 	1671	52.9	 	37	1.17	 	129	4.08	 	1010	31.97	 	6	0.19	 	98	3.1	 	3159	98.53	 	47	1.47	 	3206	3.46
Wanniassa Hills		                            	185	7.4	 	1094	43.78	 	20	0.8	 	135	5.4	 	994	39.78	 	4	0.16	 	67	2.68	 	2499	98.81	 	30	1.19	 	2529	2.73
Waramanga		                                  	254	6.8	 	1897	50.8	 	43	1.15	 	215	5.76	 	1212	32.46	 	14	0.37	 	99	2.65	 	3734	98.19	 	69	1.81	 	3803	4.1
Weston		                                     	138	6.38	 	1002	46.3	 	22	1.02	 	147	6.79	 	799	36.92	 	8	0.37	 	48	2.22	 	2164	98.86	 	25	1.14	 	2189	2.36
Woden Valley Hospital		                      	66	6.56	 	446	44.33	 	7	0.7	 	53	5.27	 	407	40.46	 	5	0.5	 	22	2.19	 	1006	98.15	 	19	1.85	 	1025	1.11
Special Hospitals		                          	24	8.45	 	86	30.28	 	3	1.06	 	2	0.7	 	166	58.45	 	0	0	 	3	1.06	 	284	96.6	 	10	3.4	 	294	0.32
Total Ordinary		                             	4795	6.67	 	34680	48.26	 	662	0.92	 	3630	5.05	 	26076	36.29	 	255	0.35	 	1762	2.45	 	71860	98.59	 	1031	1.41	 	72891	78.63
ABSENT		                                     	180	7.76	 	1151	49.63	 	25	1.08	 	152	6.55	 	761	32.82	 	15	0.65	 	35	1.51	 	2319	98.51	 	35	1.49	 	2354	2.54
POSTAL		                                     	168	6.52	 	1121	43.48	 	33	1.28	 	119	4.62	 	1089	42.24	 	13	0.5	 	35	1.36	 	2578	99.23	 	20	0.77	 	2598	2.8
PRE_POLL		                                   	889	6.43	 	6587	47.64	 	155	1.12	 	677	4.9	 	5285	38.23	 	65	0.47	 	168	1.22	 	13826	98.9	 	154	1.1	 	13980	15.08
PROVISIONAL		                                	45	5.18	 	528	60.76	 	7	0.81	 	40	4.6	 	230	26.47	 	4	0.46	 	15	1.73	 	869	99.09	 	8	0.91	 	877	0.95
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	6077	6.65	 	44067	48.19	 	882	0.96	 	4618	5.05	 	33441	36.57	 	352	0.38	 	2015	2.2	 	91452	98.65	 	1248	1.35	 	92700	97.3
 																															


Fraser (97210)																															

	   		Group Total DEM			Group Total ALP			Group Total ASG			Group Total GRN			Group Total LP			Group Total NLP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ainslie		                                    	110	6.46	 	873	51.26	 	12	0.7	 	175	10.28	 	500	29.36	 	9	0.53	 	24	1.41	 	1703	96.87	 	55	3.13	 	1758	1.87
Ainslie North		                              	175	6.38	 	1473	53.68	 	17	0.62	 	286	10.42	 	722	26.31	 	10	0.36	 	61	2.22	 	2744	98.04	 	55	1.96	 	2799	2.97
Aranda		                                     	256	8.07	 	1414	44.58	 	24	0.76	 	300	9.46	 	1074	33.86	 	10	0.32	 	94	2.96	 	3172	98.27	 	56	1.73	 	3228	3.43
Baker Gardens		                              	44	5.98	 	429	58.29	 	6	0.82	 	69	9.38	 	173	23.51	 	2	0.27	 	13	1.77	 	736	97.61	 	18	2.39	 	754	0.8
Belconnen		                                  	115	7.38	 	794	50.96	 	9	0.58	 	108	6.93	 	486	31.19	 	10	0.64	 	36	2.31	 	1558	98.48	 	24	1.52	 	1582	1.68
Bruce		                                      	13	5.63	 	88	38.1	 	3	1.3	 	12	5.19	 	109	47.19	 	2	0.87	 	4	1.73	 	231	97.88	 	5	2.12	 	236	0.25
Campbell		                                   	170	5.78	 	984	33.48	 	17	0.58	 	220	7.49	 	1481	50.39	 	16	0.54	 	51	1.74	 	2939	98.66	 	40	1.34	 	2979	3.17
Charnwood		                                  	284	8.98	 	1697	53.63	 	36	1.14	 	133	4.2	 	947	29.93	 	8	0.25	 	59	1.86	 	3164	98.35	 	53	1.65	 	3217	3.42
City		                                       	70	8.45	 	417	50.36	 	6	0.72	 	102	12.32	 	210	25.36	 	10	1.21	 	13	1.57	 	828	97.87	 	18	2.13	 	846	0.9
Dickson		                                    	93	8.64	 	527	48.93	 	7	0.65	 	124	11.51	 	296	27.48	 	5	0.46	 	25	2.32	 	1077	97.2	 	31	2.8	 	1108	1.18
Downer		                                     	128	7.31	 	940	53.65	 	10	0.57	 	150	8.56	 	486	27.74	 	4	0.23	 	34	1.94	 	1752	97.5	 	45	2.5	 	1797	1.91
Evatt		                                      	204	6.69	 	1611	52.82	 	23	0.75	 	125	4.1	 	989	32.43	 	9	0.3	 	89	2.92	 	3050	97.98	 	63	2.02	 	3113	3.31
Evatt South		                                	97	7.97	 	618	50.78	 	12	0.99	 	53	4.35	 	412	33.85	 	4	0.33	 	21	1.73	 	1217	98.78	 	15	1.22	 	1232	1.31
Florey		                                     	130	6.19	 	1115	53.1	 	25	1.19	 	89	4.24	 	674	32.1	 	7	0.33	 	60	2.86	 	2100	97.63	 	51	2.37	 	2151	2.29
Flynn		                                      	166	9.05	 	911	49.67	 	14	0.76	 	87	4.74	 	629	34.3	 	4	0.22	 	23	1.25	 	1834	98.66	 	25	1.34	 	1859	1.98
Giralang		                                   	171	7.37	 	1179	50.84	 	16	0.69	 	130	5.61	 	745	32.13	 	11	0.47	 	67	2.89	 	2319	98.01	 	47	1.99	 	2366	2.51
Griffith		                                   	79	5.08	 	718	46.2	 	12	0.77	 	104	6.69	 	595	38.29	 	11	0.71	 	35	2.25	 	1554	97.55	 	39	2.45	 	1593	1.69
Hall		                                       	16	5.86	 	120	43.96	 	2	0.73	 	23	8.42	 	105	38.46	 	3	1.1	 	4	1.47	 	273	98.2	 	5	1.8	 	278	0.3
Higgins		                                    	182	7.69	 	1250	52.83	 	18	0.76	 	140	5.92	 	724	30.6	 	8	0.34	 	44	1.86	 	2366	98.01	 	48	1.99	 	2414	2.56
Holt		                                       	173	7.82	 	1111	50.2	 	18	0.81	 	153	6.91	 	695	31.41	 	10	0.45	 	53	2.39	 	2213	98.88	 	25	1.12	 	2238	2.38
Jervis Bay		                                 	14	5.91	 	98	41.35	 	2	0.84	 	15	6.33	 	106	44.73	 	0	0	 	2	0.84	 	237	100	 	0	0	 	237	0.25
Kaleen		                                     	210	7.51	 	1428	51.05	 	27	0.97	 	106	3.79	 	971	34.72	 	6	0.21	 	49	1.75	 	2797	97.15	 	82	2.85	 	2879	3.06
Kaleen South		                               	111	7.87	 	675	47.87	 	18	1.28	 	98	6.95	 	479	33.97	 	3	0.21	 	26	1.84	 	1410	97.38	 	38	2.62	 	1448	1.54
Latham		                                     	178	8.3	 	1067	49.74	 	13	0.61	 	96	4.48	 	734	34.22	 	4	0.19	 	53	2.47	 	2145	98.39	 	35	1.61	 	2180	2.32
Lyneham		                                    	297	7.67	 	2031	52.47	 	30	0.77	 	403	10.41	 	997	25.76	 	23	0.59	 	90	2.32	 	3871	96.94	 	122	3.06	 	3993	4.24
Macgregor		                                  	142	8.33	 	860	50.47	 	21	1.23	 	98	5.75	 	551	32.34	 	9	0.53	 	23	1.35	 	1704	98.61	 	24	1.39	 	1728	1.84
Macquarie		                                  	141	7.08	 	1046	52.54	 	21	1.05	 	128	6.43	 	626	31.44	 	2	0.1	 	27	1.36	 	1991	98.13	 	38	1.87	 	2029	2.16
Manuka		                                     	81	6.96	 	516	44.33	 	11	0.95	 	100	8.59	 	414	35.57	 	6	0.52	 	36	3.09	 	1164	97.24	 	33	2.76	 	1197	1.27
Melba		                                      	116	7.28	 	743	46.64	 	13	0.82	 	121	7.6	 	558	35.03	 	7	0.44	 	35	2.2	 	1593	98.45	 	25	1.55	 	1618	1.72
Narrabundah		                                	116	6.56	 	1067	60.35	 	21	1.19	 	90	5.09	 	426	24.1	 	5	0.28	 	43	2.43	 	1768	96.19	 	70	3.81	 	1838	1.95
Page		                                       	106	6.94	 	770	50.39	 	18	1.18	 	87	5.69	 	500	32.72	 	5	0.33	 	42	2.75	 	1528	98.45	 	24	1.55	 	1552	1.65
Red Hill		                                   	126	5.69	 	816	36.84	 	11	0.5	 	145	6.55	 	1048	47.31	 	6	0.27	 	63	2.84	 	2215	98.44	 	35	1.56	 	2250	2.39
Reid		                                       	27	5.04	 	241	44.96	 	3	0.56	 	56	10.45	 	192	35.82	 	3	0.56	 	14	2.61	 	536	98.35	 	9	1.65	 	545	0.58
Scullin		                                    	177	7.23	 	1312	53.59	 	25	1.02	 	133	5.43	 	740	30.23	 	9	0.37	 	52	2.12	 	2448	97.8	 	55	2.2	 	2503	2.66
Spence		                                     	123	7.52	 	805	49.21	 	22	1.34	 	102	6.23	 	533	32.58	 	9	0.55	 	42	2.57	 	1636	98.26	 	29	1.74	 	1665	1.77
Turner		                                     	166	8.02	 	1096	52.95	 	10	0.48	 	293	14.15	 	466	22.51	 	19	0.92	 	20	0.97	 	2070	97.64	 	50	2.36	 	2120	2.25
Watson		                                     	215	7.12	 	1524	50.5	 	31	1.03	 	246	8.15	 	942	31.21	 	11	0.36	 	49	1.62	 	3018	97.8	 	68	2.2	 	3086	3.28
Weetangera		                                 	181	6.29	 	1096	38.07	 	25	0.87	 	209	7.26	 	1310	45.5	 	7	0.24	 	51	1.77	 	2879	98.77	 	36	1.23	 	2915	3.1
Wreck Bay		                                  	1	1.89	 	48	90.57	 	0	0	 	1	1.89	 	3	5.66	 	0	0	 	0	0	 	53	100	 	0	0	 	53	0.06
Yarralumla		                                 	104	6.59	 	736	46.64	 	7	0.44	 	108	6.84	 	583	36.95	 	6	0.38	 	34	2.15	 	1578	98.38	 	26	1.62	 	1604	1.7
Special Hospitals		                          	31	7.62	 	170	41.77	 	7	1.72	 	0	0	 	195	47.91	 	3	0.74	 	1	0.25	 	407	97.37	 	11	2.63	 	418	0.44
Total Ordinary		                             	5339	7.23	 	36414	49.29	 	623	0.84	 	5218	7.06	 	24426	33.06	 	296	0.4	 	1562	2.11	 	73878	97.97	 	1528	2.03	 	75406	80.12
ABSENT		                                     	100	7.03	 	757	53.2	 	17	1.19	 	111	7.8	 	402	28.25	 	9	0.63	 	27	1.9	 	1423	98.89	 	16	1.11	 	1439	1.53
POSTAL		                                     	203	6.59	 	1366	44.35	 	31	1.01	 	167	5.42	 	1230	39.94	 	21	0.68	 	62	2.01	 	3080	98.84	 	36	1.16	 	3116	3.31
PRE_POLL		                                   	858	6.63	 	6171	47.66	 	141	1.09	 	982	7.58	 	4571	35.3	 	49	0.38	 	177	1.37	 	12949	98.92	 	142	1.08	 	13091	13.91
PROVISIONAL		                                	79	7.57	 	605	57.95	 	14	1.34	 	72	6.9	 	248	23.75	 	6	0.57	 	20	1.92	 	1044	98.31	 	18	1.69	 	1062	1.13
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	6579	7.12	 	45313	49.05	 	826	0.89	 	6550	7.09	 	30877	33.43	 	381	0.41	 	1848	2	 	92374	98.15	 	1740	1.85	 	94114	96.82
 																															
