Senate - 1993 Election: New South Wales																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												


Banks (79242)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Oatley (Banks)		                             	4	0.67	 	0	0	 	0	0	 	0	0	 	1	0.17	 	0	0	 	3	0.5	 	0	0	 	268	44.82	 	2	0.33	 	58	9.7	 	217	36.29	 	0	0	 	26	4.35	 	14	2.34	 	2	0.33	 	0	0	 	1	0.17	 	1	0.17	 	0	0	 	0	0	 	1	0.17	 	598	97.39	 	16	2.61	 	614	0.8
Oatley West		                                	14	0.57	 	2	0.08	 	2	0.08	 	2	0.08	 	14	0.57	 	0	0	 	17	0.69	 	0	0	 	1105	45.1	 	0	0	 	212	8.65	 	916	37.39	 	2	0.08	 	74	3.02	 	45	1.84	 	22	0.9	 	0	0	 	13	0.53	 	3	0.12	 	0	0	 	1	0.04	 	6	0.24	 	2450	98.04	 	49	1.96	 	2499	3.26
Padstow		                                    	33	0.91	 	8	0.22	 	4	0.11	 	2	0.05	 	15	0.41	 	1	0.03	 	38	1.04	 	5	0.14	 	1006	27.59	 	2	0.05	 	202	5.54	 	2110	57.87	 	4	0.11	 	38	1.04	 	87	2.39	 	38	1.04	 	0	0	 	46	1.26	 	2	0.05	 	0	0	 	0	0	 	5	0.14	 	3646	96.69	 	125	3.31	 	3771	4.91
Padstow East		                               	8	0.91	 	0	0	 	0	0	 	0	0	 	2	0.23	 	0	0	 	8	0.91	 	0	0	 	266	30.3	 	1	0.11	 	31	3.53	 	535	60.93	 	0	0	 	9	1.03	 	9	1.03	 	2	0.23	 	1	0.11	 	6	0.68	 	0	0	 	0	0	 	0	0	 	0	0	 	878	96.48	 	32	3.52	 	910	1.19
Padstow North		                              	12	0.96	 	1	0.08	 	1	0.08	 	1	0.08	 	4	0.32	 	0	0	 	12	0.96	 	0	0	 	378	30.17	 	0	0	 	59	4.71	 	716	57.14	 	0	0	 	16	1.28	 	32	2.55	 	13	1.04	 	0	0	 	5	0.4	 	0	0	 	0	0	 	0	0	 	3	0.24	 	1253	96.02	 	52	3.98	 	1305	1.7
Padstow South		                              	28	0.97	 	4	0.14	 	0	0	 	4	0.14	 	24	0.83	 	1	0.03	 	26	0.9	 	0	0	 	1134	39.4	 	4	0.14	 	146	5.07	 	1325	46.04	 	1	0.03	 	93	3.23	 	49	1.7	 	16	0.56	 	0	0	 	13	0.45	 	1	0.03	 	0	0	 	3	0.1	 	6	0.21	 	2878	96.61	 	101	3.39	 	2979	3.88
Panania		                                    	45	1.93	 	6	0.26	 	2	0.09	 	3	0.13	 	6	0.26	 	0	0	 	24	1.03	 	0	0	 	733	31.39	 	3	0.13	 	93	3.98	 	1338	57.3	 	0	0	 	27	1.16	 	31	1.33	 	19	0.81	 	0	0	 	3	0.13	 	0	0	 	0	0	 	0	0	 	2	0.09	 	2335	96.57	 	83	3.43	 	2418	3.15
Panania Central		                            	24	1.25	 	1	0.05	 	1	0.05	 	3	0.16	 	16	0.83	 	2	0.1	 	19	0.99	 	1	0.05	 	551	28.61	 	1	0.05	 	87	4.52	 	1134	58.88	 	2	0.1	 	16	0.83	 	41	2.13	 	19	0.99	 	0	0	 	7	0.36	 	0	0	 	0	0	 	1	0.05	 	0	0	 	1926	97.52	 	49	2.48	 	1975	2.57
Panania North		                              	21	1.07	 	1	0.05	 	1	0.05	 	2	0.1	 	12	0.61	 	10	0.51	 	23	1.18	 	0	0	 	561	28.67	 	2	0.1	 	96	4.91	 	1149	58.71	 	3	0.15	 	16	0.82	 	35	1.79	 	15	0.77	 	0	0	 	9	0.46	 	0	0	 	0	0	 	1	0.05	 	0	0	 	1957	96.98	 	61	3.02	 	2018	2.63
Panania South		                              	32	1.06	 	4	0.13	 	1	0.03	 	3	0.1	 	24	0.79	 	1	0.03	 	35	1.16	 	3	0.1	 	1045	34.5	 	5	0.17	 	168	5.55	 	1552	51.24	 	2	0.07	 	44	1.45	 	65	2.15	 	31	1.02	 	0	0	 	11	0.36	 	0	0	 	1	0.03	 	1	0.03	 	1	0.03	 	3029	97.58	 	75	2.42	 	3104	4.04
Peakhurst		                                  	7	0.99	 	0	0	 	1	0.14	 	0	0	 	5	0.71	 	0	0	 	1	0.14	 	0	0	 	206	29.1	 	0	0	 	44	6.21	 	403	56.92	 	0	0	 	11	1.55	 	13	1.84	 	12	1.69	 	0	0	 	4	0.56	 	0	0	 	0	0	 	1	0.14	 	0	0	 	708	97.66	 	17	2.34	 	725	0.94
Peakhurst East		                             	14	0.95	 	0	0	 	4	0.27	 	0	0	 	14	0.95	 	2	0.14	 	12	0.82	 	2	0.14	 	509	34.6	 	0	0	 	75	5.1	 	758	51.53	 	1	0.07	 	17	1.16	 	22	1.5	 	35	2.38	 	0	0	 	1	0.07	 	0	0	 	0	0	 	1	0.07	 	4	0.27	 	1471	96.65	 	51	3.35	 	1522	1.98
Peakhurst South		                            	27	1.39	 	2	0.1	 	1	0.05	 	1	0.05	 	10	0.51	 	2	0.1	 	8	0.41	 	1	0.05	 	998	51.36	 	3	0.15	 	123	6.33	 	660	33.97	 	0	0	 	30	1.54	 	42	2.16	 	20	1.03	 	2	0.1	 	10	0.51	 	2	0.1	 	1	0.05	 	0	0	 	0	0	 	1943	97.69	 	46	2.31	 	1989	2.59
Peakhurst West		                             	32	1.12	 	7	0.25	 	1	0.04	 	2	0.07	 	13	0.46	 	0	0	 	31	1.09	 	2	0.07	 	1123	39.46	 	3	0.11	 	154	5.41	 	1347	47.33	 	0	0	 	35	1.23	 	58	2.04	 	25	0.88	 	0	0	 	11	0.39	 	0	0	 	1	0.04	 	0	0	 	1	0.04	 	2846	97.37	 	77	2.63	 	2923	3.81
Penshurst Central		                          	27	1.23	 	3	0.14	 	2	0.09	 	1	0.05	 	11	0.5	 	1	0.05	 	23	1.05	 	0	0	 	709	32.32	 	2	0.09	 	111	5.06	 	1209	55.1	 	1	0.05	 	32	1.46	 	36	1.64	 	15	0.68	 	1	0.05	 	6	0.27	 	0	0	 	1	0.05	 	3	0.14	 	0	0	 	2194	96.87	 	71	3.13	 	2265	2.95
Picnic Point		                               	0	0	 	1	0.75	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.75	 	0	0	 	67	50.38	 	0	0	 	3	2.26	 	57	42.86	 	0	0	 	2	1.5	 	2	1.5	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	133	97.79	 	3	2.21	 	136	0.18
Picnic Point North		                         	17	0.84	 	2	0.1	 	1	0.05	 	1	0.05	 	31	1.53	 	1	0.05	 	18	0.89	 	1	0.05	 	720	35.45	 	0	0	 	109	5.37	 	1000	49.24	 	1	0.05	 	40	1.97	 	52	2.56	 	31	1.53	 	0	0	 	5	0.25	 	0	0	 	0	0	 	0	0	 	1	0.05	 	2031	97.55	 	51	2.45	 	2082	2.71
Punchbowl (Banks)		                          	27	1.21	 	4	0.18	 	1	0.04	 	3	0.13	 	3	0.13	 	0	0	 	19	0.85	 	4	0.18	 	478	21.38	 	3	0.13	 	74	3.31	 	1562	69.86	 	3	0.13	 	12	0.54	 	16	0.72	 	12	0.54	 	0	0	 	10	0.45	 	0	0	 	1	0.04	 	0	0	 	4	0.18	 	2236	94.91	 	120	5.09	 	2356	3.07
Revesby		                                    	20	1.34	 	5	0.33	 	1	0.07	 	3	0.2	 	5	0.33	 	1	0.07	 	22	1.47	 	1	0.07	 	357	23.83	 	2	0.13	 	69	4.61	 	959	64.02	 	1	0.07	 	17	1.13	 	13	0.87	 	15	1	 	1	0.07	 	2	0.13	 	0	0	 	0	0	 	4	0.27	 	0	0	 	1498	95.96	 	63	4.04	 	1561	2.03
Revesby North		                              	48	1.49	 	3	0.09	 	2	0.06	 	2	0.06	 	17	0.53	 	1	0.03	 	35	1.09	 	6	0.19	 	909	28.22	 	3	0.09	 	170	5.28	 	1882	58.43	 	3	0.09	 	62	1.92	 	45	1.4	 	19	0.59	 	0	0	 	9	0.28	 	0	0	 	0	0	 	0	0	 	5	0.16	 	3221	96.32	 	123	3.68	 	3344	4.36
Revesby South		                              	19	0.76	 	4	0.16	 	3	0.12	 	3	0.12	 	15	0.6	 	0	0	 	18	0.72	 	3	0.12	 	795	31.94	 	3	0.12	 	126	5.06	 	1378	55.36	 	2	0.08	 	30	1.21	 	50	2.01	 	24	0.96	 	0	0	 	14	0.56	 	0	0	 	0	0	 	0	0	 	2	0.08	 	2489	97.72	 	58	2.28	 	2547	3.32
Riverwood North		                            	40	2.43	 	1	0.06	 	4	0.24	 	4	0.24	 	9	0.55	 	1	0.06	 	10	0.61	 	1	0.06	 	289	17.54	 	1	0.06	 	55	3.34	 	1178	71.48	 	2	0.12	 	15	0.91	 	16	0.97	 	11	0.67	 	0	0	 	4	0.24	 	1	0.06	 	0	0	 	1	0.06	 	5	0.3	 	1648	94.82	 	90	5.18	 	1738	2.26
Riverwood South		                            	21	1.59	 	1	0.08	 	0	0	 	1	0.08	 	4	0.3	 	1	0.08	 	8	0.61	 	0	0	 	472	35.7	 	0	0	 	55	4.16	 	687	51.97	 	0	0	 	12	0.91	 	34	2.57	 	13	0.98	 	0	0	 	12	0.91	 	1	0.08	 	0	0	 	0	0	 	0	0	 	1322	96.57	 	47	3.43	 	1369	1.78
Sydney (Banks)		                             	0	0	 	1	1.45	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	16	23.19	 	0	0	 	5	7.25	 	40	57.97	 	0	0	 	5	7.25	 	2	2.9	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	69	98.57	 	1	1.43	 	70	0.09
Special Hospitals		                          	2	1.21	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	62	37.58	 	0	0	 	10	6.06	 	88	53.33	 	0	0	 	0	0	 	3	1.82	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	165	99.4	 	1	0.6	 	166	0.22
Total Ordinary		                             	763	1.17	 	89	0.14	 	44	0.07	 	72	0.11	 	367	0.56	 	36	0.06	 	616	0.94	 	35	0.05	 	22219	34.01	 	56	0.09	 	3309	5.06	 	34571	52.91	 	31	0.05	 	982	1.5	 	1193	1.83	 	570	0.87	 	8	0.01	 	273	0.42	 	12	0.02	 	7	0.01	 	23	0.04	 	61	0.09	 	65337	96.89	 	2095	3.11	 	67432	87.84
ABSENT		                                     	68	1.42	 	13	0.27	 	3	0.06	 	8	0.17	 	38	0.79	 	9	0.19	 	72	1.5	 	2	0.04	 	1600	33.31	 	7	0.15	 	257	5.35	 	2474	51.51	 	2	0.04	 	97	2.02	 	78	1.62	 	55	1.15	 	0	0	 	12	0.25	 	2	0.04	 	1	0.02	 	0	0	 	5	0.1	 	4803	98.24	 	86	1.76	 	4889	6.37
POSTAL		                                     	8	0.38	 	0	0	 	0	0	 	1	0.05	 	24	1.15	 	0	0	 	17	0.82	 	0	0	 	730	35.13	 	4	0.19	 	100	4.81	 	1098	52.84	 	0	0	 	17	0.82	 	39	1.88	 	18	0.87	 	0	0	 	19	0.91	 	0	0	 	0	0	 	0	0	 	3	0.14	 	2078	98.76	 	26	1.24	 	2104	2.74
PRE_POLL		                                   	20	1.01	 	1	0.05	 	3	0.15	 	2	0.1	 	5	0.25	 	3	0.15	 	25	1.26	 	2	0.1	 	785	39.49	 	4	0.2	 	113	5.68	 	917	46.13	 	0	0	 	37	1.86	 	53	2.67	 	12	0.6	 	0	0	 	1	0.05	 	1	0.05	 	2	0.1	 	0	0	 	2	0.1	 	1988	98.51	 	30	1.49	 	2018	2.63
PROVISIONAL		                                	4	1.29	 	0	0	 	0	0	 	1	0.32	 	0	0	 	0	0	 	4	1.29	 	0	0	 	71	22.98	 	0	0	 	7	2.27	 	203	65.7	 	1	0.32	 	9	2.91	 	1	0.32	 	7	2.27	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.32	 	309	94.79	 	17	5.21	 	326	0.42
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	1		       	0		       	0		       	1		       	0		       	1		       	2		       	7		       	0		       	1		       	1		       	0		       	0		       	0		       	0		       	0		       	2		       	0		       	16		       	-14		       	2	
Division Summary		                           	863	1.16	 	103	0.14	 	50	0.07	 	84	0.11	 	435	0.58	 	48	0.06	 	734	0.98	 	40	0.05	 	25405	34.09	 	72	0.1	 	3788	5.08	 	39270	52.69	 	34	0.05	 	1143	1.53	 	1365	1.83	 	662	0.89	 	8	0.01	 	305	0.41	 	15	0.02	 	10	0.01	 	25	0.03	 	72	0.1	 	74531	97.08	 	2240	2.92	 	76771	96.88


Barton (80185)																																																																												

	   		Group Total GA			Group Total NLP			Group Total CEG			Group Total RPA			Group Total - Unendorsed Group E			Group Total CAP			Group Total ASP			Group Ttotal - Unendorsed Group H			Group Total LNP			Group Ttotal - Unendorsed Group J			Group Total DEM			Group Total ALP			Group Ttotal - Unendorsed Group M			Group Total GRN			Group Total CTA			Group Total AFI			Group Ttotal - Unendorsed Group Q			Group Total GRY			Group Ttotal - Unendorsed Group S			Group Ttotal - Unendorsed Group T			Group Ttotal - Unendorsed Group U			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allawah		                                    	22	1.43	 	4	0.26	 	2	0.13	 	3	0.2	 	15	0.98	 	0	0	 	11	0.72	 	0	0	 	533	34.75	 	0	0	 	60	3.91	 	815	53.13	 	0	0	 	21	1.37	 	34	2.22	 	9	0.59	 	0	0	 	3	0.2	 	0	0	 	0	0	 	0	0	 	2	0.13	 	1534	96.84	 	50	3.16	 	1584	2.04
Arncliffe		                                  	22	2.24	 	1	0.1	 	0	0	 	0	0	 	5	0.51	 	2	0.2	 	10	1.02	 	0	0	 	298	30.32	 	0	0	 	46	4.68	 	559	56.87	 	0	0	 	8	0.81	 	18	1.83	 	8	0.81	 	0	0	 	4	0.41	 	0	0	 	0	0	 	2	0.2	 	0	0	 	983	95.07	 	51	4.93	 	1034	1.33
Arncliffe East		                             	31	2.61	 	5	0.42	 	1	0.08	 	0	0	 	2	0.17	 	1	0.08	 	5	0.42	 	1	0.08	 	222	18.66	 	0	0	 	40	3.36	 	822	69.08	 	0	0	 	16	1.34	 	12	1.01	 	20	1.68	 	0	0	 	4	0.34	 	0	0	 	0	0	 	0	0	 	8	0.67	 	1190	94	 	76	6	 	1266	1.63
Arncliffe West		                             	27	2.83	 	1	0.1	 	0	0	 	0	0	 	2	0.21	 	0	0	 	3	0.31	 	0	0	 	144	15.11	 	4	0.42	 	43	4.51	 	697	73.14	 	2	0.21	 	16	1.68	 	4	0.42	 	6	0.63	 	0	0	 	1	0.1	 	0	0	 	0	0	 	3	0.31	 	0	0	 	953	95.49	 	45	4.51	 	998	1.29
Athelstane		                                 	41	1.33	 	3	0.1	 	4	0.13	 	1	0.03	 	7	0.23	 	0	0	 	21	0.68	 	1	0.03	 	720	23.34	 	5	0.16	 	117	3.79	 	2065	66.94	 	2	0.06	 	45	1.46	 	12	0.39	 	23	0.75	 	0	0	 	8	0.26	 	0	0	 	2	0.06	 	0	0	 	8	0.26	 	3085	96.2	 	122	3.8	 	3207	4.13
Bald Face		                                  	13	0.92	 	1	0.07	 	0	0	 	0	0	 	10	0.71	 	1	0.07	 	7	0.5	 	4	0.28	 	988	70.27	 	0	0	 	59	4.2	 	259	18.42	 	0	0	 	21	1.49	 	36	2.56	 	3	0.21	 	0	0	 	2	0.14	 	0	0	 	0	0	 	0	0	 	2	0.14	 	1406	97.64	 	34	2.36	 	1440	1.86
Banksia		                                    	42	2.18	 	5	0.26	 	0	0	 	4	0.21	 	3	0.16	 	1	0.05	 	14	0.73	 	3	0.16	 	443	22.94	 	4	0.21	 	50	2.59	 	1307	67.69	 	1	0.05	 	24	1.24	 	5	0.26	 	12	0.62	 	0	0	 	11	0.57	 	0	0	 	0	0	 	1	0.05	 	1	0.05	 	1931	95.22	 	97	4.78	 	2028	2.61
Bell Park		                                  	16	1.54	 	1	0.1	 	2	0.19	 	3	0.29	 	6	0.58	 	2	0.19	 	14	1.35	 	0	0	 	407	39.29	 	2	0.19	 	50	4.83	 	492	47.49	 	1	0.1	 	19	1.83	 	17	1.64	 	4	0.39	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1036	96.73	 	35	3.27	 	1071	1.38
Bexley		                                     	32	1.46	 	3	0.14	 	5	0.23	 	3	0.14	 	7	0.32	 	0	0	 	7	0.32	 	7	0.32	 	668	30.42	 	0	0	 	113	5.15	 	1253	57.06	 	1	0.05	 	39	1.78	 	30	1.37	 	22	1	 	0	0	 	4	0.18	 	1	0.05	 	0	0	 	0	0	 	1	0.05	 	2196	95.11	 	113	4.89	 	2309	2.98
Bexley Central		                             	22	2.44	 	4	0.44	 	0	0	 	2	0.22	 	1	0.11	 	0	0	 	8	0.89	 	2	0.22	 	275	30.52	 	1	0.11	 	41	4.55	 	519	57.6	 	0	0	 	7	0.78	 	14	1.55	 	1	0.11	 	0	0	 	0	0	 	1	0.11	 	1	0.11	 	0	0	 	2	0.22	 	901	96.57	 	32	3.43	 	933	1.2
Blakehurst		                                 	18	1.84	 	4	0.41	 	0	0	 	1	0.1	 	8	0.82	 	0	0	 	2	0.2	 	1	0.1	 	467	47.85	 	0	0	 	57	5.84	 	389	39.86	 	0	0	 	5	0.51	 	17	1.74	 	5	0.51	 	0	0	 	2	0.2	 	0	0	 	0	0	 	0	0	 	0	0	 	976	95.41	 	47	4.59	 	1023	1.32
Bona Park		                                  	11	1.33	 	1	0.12	 	0	0	 	0	0	 	3	0.36	 	0	0	 	18	2.18	 	0	0	 	304	36.89	 	1	0.12	 	29	3.52	 	415	50.36	 	0	0	 	15	1.82	 	7	0.85	 	9	1.09	 	0	0	 	6	0.73	 	0	0	 	0	0	 	0	0	 	5	0.61	 	824	97.17	 	24	2.83	 	848	1.09
Brighton-Le-Sands		                          	28	1.28	 	8	0.36	 	2	0.09	 	1	0.05	 	13	0.59	 	0	0	 	9	0.41	 	1	0.05	 	763	34.79	 	3	0.14	 	60	2.74	 	1228	56	 	0	0	 	27	1.23	 	16	0.73	 	17	0.78	 	1	0.05	 	8	0.36	 	0	0	 	0	0	 	0	0	 	8	0.36	 	2193	96.61	 	77	3.39	 	2270	2.93
Brighton North		                             	27	1.11	 	3	0.12	 	5	0.21	 	6	0.25	 	16	0.66	 	1	0.04	 	12	0.49	 	2	0.08	 	806	33.22	 	1	0.04	 	77	3.17	 	1393	57.42	 	0	0	 	31	1.28	 	21	0.87	 	11	0.45	 	1	0.04	 	8	0.33	 	2	0.08	 	0	0	 	1	0.04	 	2	0.08	 	2426	95.55	 	113	4.45	 	2539	3.27
Broadford Street		                           	6	0.69	 	2	0.23	 	0	0	 	0	0	 	8	0.92	 	0	0	 	10	1.15	 	0	0	 	202	23.33	 	0	0	 	32	3.7	 	576	66.51	 	0	0	 	9	1.04	 	13	1.5	 	6	0.69	 	0	0	 	2	0.23	 	0	0	 	0	0	 	0	0	 	0	0	 	866	95.9	 	37	4.1	 	903	1.16
Carlton (Barton)		                           	27	1.27	 	2	0.09	 	1	0.05	 	2	0.09	 	7	0.33	 	1	0.05	 	16	0.75	 	2	0.09	 	564	26.54	 	1	0.05	 	93	4.38	 	1349	63.48	 	0	0	 	24	1.13	 	17	0.8	 	7	0.33	 	2	0.09	 	4	0.19	 	0	0	 	0	0	 	1	0.05	 	5	0.24	 	2125	95.46	 	101	4.54	 	2226	2.87
Carlton North		                              	24	1.98	 	2	0.17	 	1	0.08	 	1	0.08	 	3	0.25	 	3	0.25	 	6	0.5	 	0	0	 	341	28.16	 	1	0.08	 	37	3.06	 	751	62.01	 	0	0	 	10	0.83	 	18	1.49	 	6	0.5	 	0	0	 	5	0.41	 	0	0	 	0	0	 	0	0	 	2	0.17	 	1211	95.73	 	54	4.27	 	1265	1.63
Carss Park		                                 	10	1.04	 	0	0	 	0	0	 	1	0.1	 	3	0.31	 	1	0.1	 	3	0.31	 	0	0	 	531	55.43	 	1	0.1	 	68	7.1	 	303	31.63	 	0	0	 	10	1.04	 	14	1.46	 	6	0.63	 	0	0	 	5	0.52	 	2	0.21	 	0	0	 	0	0	 	0	0	 	958	98.46	 	15	1.54	 	973	1.25
Clareville Park		                            	35	1.64	 	3	0.14	 	3	0.14	 	2	0.09	 	10	0.47	 	2	0.09	 	17	0.8	 	2	0.09	 	938	43.91	 	2	0.09	 	73	3.42	 	976	45.69	 	2	0.09	 	28	1.31	 	20	0.94	 	17	0.8	 	0	0	 	5	0.23	 	1	0.05	 	0	0	 	0	0	 	0	0	 	2136	95.96	 	90	4.04	 	2226	2.87
Connells Point		                             	28	0.92	 	6	0.2	 	1	0.03	 	4	0.13	 	23	0.76	 	3	0.1	 	25	0.82	 	1	0.03	 	1849	60.96	 	1	0.03	 	136	4.48	 	853	28.12	 	0	0	 	31	1.02	 	34	1.12	 	22	0.73	 	0	0	 	14	0.46	 	1	0.03	 	1	0.03	 	0	0	 	0	0	 	3033	97.59	 	75	2.41	 	3108	4.01
Connells Point North		                       	8	1	 	2	0.25	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.13	 	0	0	 	361	45.13	 	0	0	 	26	3.25	 	360	45	 	0	0	 	13	1.63	 	20	2.5	 	7	0.88	 	0	0	 	2	0.25	 	0	0	 	0	0	 	0	0	 	0	0	 	800	97.09	 	24	2.91	 	824	1.06
Hurstville Central		                         	7	0.72	 	5	0.51	 	0	0	 	1	0.1	 	17	1.74	 	0	0	 	7	0.72	 	0	0	 	413	42.36	 	0	0	 	62	6.36	 	422	43.28	 	1	0.1	 	10	1.03	 	17	1.74	 	5	0.51	 	0	0	 	2	0.21	 	4	0.41	 	0	0	 	0	0	 	2	0.21	 	975	98.09	 	19	1.91	 	994	1.28
Hurstville Grove		                           	33	1.5	 	3	0.14	 	1	0.05	 	5	0.23	 	23	1.05	 	1	0.05	 	15	0.68	 	2	0.09	 	884	40.2	 	0	0	 	141	6.41	 	985	44.79	 	1	0.05	 	27	1.23	 	42	1.91	 	25	1.14	 	0	0	 	7	0.32	 	1	0.05	 	0	0	 	0	0	 	3	0.14	 	2199	97.13	 	65	2.87	 	2264	2.92
