Senate - 1993 Election																
First Preference Votes By Candidate																
By Vote Type by Division																


New South Wales																

Banks (79242)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
		"SANTA CLAUS, O"		11	0.02	0	0	0	0	0	0	2	0.1	0	13	0.02
		"ROLO, Lord"		1	0	0	0	0	0	1	0.05	1	0.05	0	3	0
		Group Total		56	0.09	7	0.15	0	0	4	0.2	4	0.19	1	72	0.1
K		TICKET VOTES	DEM	2866	4.39	221	4.6	4	1.29	102	5.13	87	4.19	3	3283	4.4
		"SOWADA, Karin"	DEM	423	0.65	32	0.67	3	0.97	10	0.5	12	0.58	-1	479	0.64
		"GRIFFITHS, Ray Ian"	DEM	14	0.02	3	0.06	0	0	0	0	1	0.05	0	18	0.02
		"CHESTERFIELD-EVANS, Arthur"	DEM	6	0.01	1	0.02	0	0	1	0.05	0	0	0	8	0.01
		Group Total	DEM	3309	5.06	257	5.35	7	2.27	113	5.68	100	4.81	2	3788	5.08
L		TICKET VOTES	ALP	34039	52.1	2435	50.7	199	64.4	891	44.82	1075	51.73	7	38646	51.85
	#	"RICHARDSON, Graham Frederick"	ALP	453	0.69	35	0.73	2	0.65	23	1.16	17	0.82	0	530	0.71
	#	"FAULKNER, John"	ALP	27	0.04	3	0.06	1	0.32	1	0.05	2	0.1	0	34	0.05
	#	"SIBRAA, Kerry"	ALP	14	0.02	1	0.02	1	0.32	1	0.05	0	0	0	17	0.02
		"ARMSTRONG, Mary-Anne"	ALP	38	0.06	0	0	0	0	1	0.05	4	0.19	0	43	0.06
		Group Total	ALP	34571	52.91	2474	51.51	203	65.7	917	46.13	1098	52.84	7	39270	52.69
M		TICKET VOTES		31	0.05	2	0.04	1	0.32	0	0	0	0	0	34	0.05
		"STEVENS, David Richard"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"HARRISON, Yvonne"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		31	0.05	2	0.04	1	0.32	0	0	0	0	0	34	0.05
N		TICKET VOTES	GRN	814	1.25	87	1.81	9	2.91	27	1.36	16	0.77	1	954	1.28
		"BRIGHAM, Steve"	GRN	145	0.22	10	0.21	0	0	10	0.5	1	0.05	0	166	0.22
		"WALLACE, Joy"	GRN	8	0.01	0	0	0	0	0	0	0	0	0	8	0.01
		"COHEN, Ian"	GRN	11	0.02	0	0	0	0	0	0	0	0	0	11	0.01
		"STEAD, Cecily"	GRN	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		Group Total	GRN	982	1.5	97	2.02	9	2.91	37	1.86	17	0.82	1	1143	1.53
O		TICKET VOTES	CTA	1006	1.54	72	1.5	1	0.32	42	2.11	36	1.73	1	1158	1.55
		"COLEMAN, Bruce"	CTA	181	0.28	5	0.1	0	0	11	0.55	3	0.14	0	200	0.27
		"McLENNAN, Graham Clarke"	CTA	1	0	0	0	0	0	0	0	0	0	0	1	0
		"GRIGG, Shirley J"	CTA	2	0	0	0	0	0	0	0	0	0	0	2	0
		"RYAN, Glen"	CTA	3	0	1	0.02	0	0	0	0	0	0	0	4	0.01
		Group Total	CTA	1193	1.83	78	1.62	1	0.32	53	2.67	39	1.88	1	1365	1.83
P		TICKET VOTES	AFI	514	0.79	53	1.1	7	2.27	9	0.45	16	0.77	0	599	0.8
		"KITSON, David A L"	AFI	54	0.08	2	0.04	0	0	3	0.15	2	0.1	0	61	0.08
		"WEATHERLAKE, Ian A"	AFI	2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total	AFI	570	0.87	55	1.15	7	2.27	12	0.6	18	0.87	0	662	0.89
Q		TICKET VOTES		7	0.01	0	0	0	0	0	0	0	0	0	7	0.01
		"LAVERY, Rosemarie"		1	0	0	0	0	0	0	0	0	0	0	1	0
		"JOHN, Robert"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"LAVERY, Priscilla"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		8	0.01	0	0	0	0	0	0	0	0	0	8	0.01
R		TICKET VOTES	GRY	240	0.37	12	0.25	0	0	1	0.05	18	0.87	0	271	0.36
		"ROYLANCE, Frances"	GRY	32	0.05	0	0	0	0	0	0	1	0.05	0	33	0.04
		"GROUNDS, Gay"	GRY	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	GRY	273	0.42	12	0.25	0	0	1	0.05	19	0.91	0	305	0.41
S		TICKET VOTES		6	0.01	2	0.04	0	0	1	0.05	0	0	0	9	0.01
		"BASS, Walter"		5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
		"HALES, Paul"		1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total		12	0.02	2	0.04	0	0	1	0.05	0	0	0	15	0.02
T		TICKET VOTES		7	0.01	1	0.02	0	0	2	0.1	0	0	0	10	0.01
		"VESCIO, Michael"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"WHEATLEY, Pamela Eileen"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		7	0.01	1	0.02	0	0	2	0.1	0	0	0	10	0.01
U		TICKET VOTES		21	0.03	0	0	0	0	0	0	0	0	2	23	0.03
		"SCHOLLBACH, Robert"		1	0	0	0	0	0	0	0	0	0	0	1	0
		"STIRLING, Karen"		1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total		23	0.04	0	0	0	0	0	0	0	0	2	25	0.03
UNGROUPED																
		"GAJIN, Milorad"	IND	44	0.07	5	0.1	1	0.32	2	0.1	1	0.05	0	53	0.07
		"ANDERSON, Michael J"	IND	3	0	0	0	0	0	0	0	0	0	0	3	0
		"DE BRY, Katherine V"	IND	2	0	0	0	0	0	0	0	2	0.1	0	4	0.01
		"POULSEN, Ron"		4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"ELLIS, Bryan T"	IND	1	0	0	0	0	0	0	0	0	0	0	1	0
		"MILTON, Malcolm Joshua"	IND	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"DECKER, Dianne"	IND	1	0	0	0	0	0	0	0	0	0	0	1	0
		"BELETICH, Argy"	IND	2	0	0	0	0	0	0	0	0	0	0	2	0
		Ungrouped Total		61	0.09	5	0.1	1	0.32	2	0.1	3	0.14	0	72	0.1
			FORMAL	65337	96.89	4803	98.24	309	94.79	1988	98.51	2078	98.76	16	74531	97.08
			INFORMAL	2095	3.11	86	1.76	17	5.21	30	1.49	26	1.24	-14	2240	2.92
			TOTAL	67432	87.84	4889	6.37	326	0.42	2018	2.63	2104	2.74	2	76771	96.88



Barton (80185)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	GA	840	1.27	35	0.9	9	1.51	25	1	9	0.46	0	918	1.23
		"BECKMANN, Jane"	GA	110	0.17	6	0.15	3	0.5	7	0.28	2	0.1	2	130	0.17
		"BRIAN, Bernie"	GA	4	0.01	1	0.03	0	0	0	0	0	0	0	5	0.01
		Group Total	GA	954	1.45	42	1.08	12	2.01	32	1.29	11	0.57	2	1053	1.41
B		TICKET VOTES	NLP	91	0.14	13	0.33	5	0.84	8	0.32	2	0.1	0	119	0.16
		"KERR, Doreen"	NLP	20	0.03	1	0.03	2	0.34	2	0.08	0	0	0	25	0.03
		"SMITH, Mike"	NLP	1	0	0	0	0	0	0	0	0	0	0	1	0
		"JUDD, Ines"	NLP	2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total	NLP	114	0.17	14	0.36	7	1.17	10	0.4	2	0.1	0	147	0.2
C		TICKET VOTES	CEG	41	0.06	5	0.13	0	0	4	0.16	2	0.1	0	52	0.07
		"HAY, Leone"	CEG	9	0.01	0	0	0	0	0	0	0	0	0	9	0.01
		"BUTLER, Robert"	CEG	0	0	0	0	0	0	0	0	0	0	0	0	0
		"WOOD, Gloria"	CEG	1	0	0	0	0	0	0	0	0	0	-1	0	0
		Group Total	CEG	51	0.08	5	0.13	0	0	4	0.16	2	0.1	-1	61	0.08
D		TICKET VOTES	RPA	66	0.1	4	0.1	1	0.17	2	0.08	3	0.15	1	77	0.1
		"CONSANDINE, Peter"	RPA	8	0.01	0	0	0	0	0	0	1	0.05	0	9	0.01
		"KLEIN, Gennie"	RPA	2	0	0	0	0	0	0	0	0	0	-1	1	0
		Group Total	RPA	76	0.12	4	0.1	1	0.17	2	0.08	4	0.21	0	87	0.12
E		TICKET VOTES		204	0.31	15	0.38	1	0.17	6	0.24	6	0.31	1	233	0.31
		"TEALE, Leonard"		118	0.18	5	0.13	1	0.17	2	0.08	2	0.1	0	128	0.17
		"WARD, Colin"		1	0	0	0	0	0	0	0	0	0	-1	0	0
		Group Total		323	0.49	20	0.51	2	0.34	8	0.32	8	0.41	0	361	0.48
F		TICKET VOTES	CAP	42	0.06	3	0.08	0	0	2	0.08	4	0.21	1	52	0.07
		"UEBERGANG, K John"	CAP	3	0	1	0.03	0	0	0	0	0	0	0	4	0.01
		"HAWKINS, Doug"	CAP	4	0.01	0	0	0	0	0	0	0	0	-4	0	0
		Group Total	CAP	49	0.07	4	0.1	0	0	2	0.08	4	0.21	-3	56	0.07
G		TICKET VOTES	ASP	378	0.57	30	0.77	5	0.84	20	0.8	6	0.31	4	443	0.59
		"ASCHER, Michael"	ASP	56	0.08	3	0.08	0	0	6	0.24	2	0.1	4	71	0.09
		"ORR, Ted"	ASP	2	0	0	0	0	0	0	0	0	0	0	2	0
		"WILKIE, Jeff"	ASP	1	0	0	0	0	0	0	0	0	0	0	1	0
		"O'CONNELL, Suzanne"	ASP	0	0	0	0	0	0	0	0	0	0	0	0	0
		"BOURKE, Robyn Lee"	ASP	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	ASP	437	0.66	33	0.85	5	0.84	26	1.04	8	0.41	8	517	0.69
H		TICKET VOTES		42	0.06	3	0.08	0	0	0	0	0	0	0	45	0.06
		"POULOS, Patricia"		3	0	0	0	0	0	2	0.08	0	0	0	5	0.01
		"ARCHER, Peter B"		4	0.01	0	0	0	0	0	0	0	0	-4	0	0
		"HOLLEY, John"		1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total		50	0.08	3	0.08	0	0	2	0.08	0	0	-4	51	0.07
I		TICKET VOTES	LNP	23302	35.35	1356	34.72	151	25.34	1015	40.76	802	41.3	-2	26624	35.57
	#	"BAUME, Michael"	LP	377	0.57	26	0.67	2	0.34	14	0.56	20	1.03	-4	435	0.58
	#	"TIERNEY, John"	LP	9	0.01	0	0	1	0.17	0	0	1	0.05	0	11	0.01
	#	"MACDONALD, Sandy"	NP	6	0.01	2	0.05	0	0	2	0.08	0	0	0	10	0.01
		"PAYNE, Marise Ann"	LP	12	0.02	1	0.03	0	0	1	0.04	0	0	1	15	0.02
		Group Total	LNP	23706	35.97	1385	35.47	154	25.84	1032	41.45	823	42.38	-5	27095	36.2
J		TICKET VOTES		52	0.08	2	0.05	0	0	1	0.04	2	0.1	0	57	0.08
		"SANTA CLAUS, O"		6	0.01	1	0.03	0	0	1	0.04	1	0.05	0	9	0.01
		"ROLO, Lord"		1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total		59	0.09	3	0.08	0	0	2	0.08	3	0.15	0	67	0.09
K		TICKET VOTES	DEM	2317	3.52	173	4.43	11	1.85	111	4.46	61	3.14	0	2673	3.57
		"SOWADA, Karin"	DEM	382	0.58	17	0.44	2	0.34	17	0.68	10	0.51	0	428	0.57
		"GRIFFITHS, Ray Ian"	DEM	11	0.02	1	0.03	0	0	0	0	0	0	0	12	0.02
		"CHESTERFIELD-EVANS, Arthur"	DEM	8	0.01	0	0	0	0	1	0.04	0	0	0	9	0.01
		Group Total	DEM	2718	4.12	191	4.89	13	2.18	129	5.18	71	3.66	0	3122	4.17
L		TICKET VOTES	ALP	34389	52.18	1908	48.86	372	62.42	1110	44.58	891	45.88	0	38670	51.67
	#	"RICHARDSON, Graham Frederick"	ALP	454	0.69	48	1.23	3	0.5	21	0.84	21	1.08	-1	546	0.73
	#	"FAULKNER, John"	ALP	10	0.02	0	0	1	0.17	1	0.04	0	0	3	15	0.02
	#	"SIBRAA, Kerry"	ALP	9	0.01	0	0	0	0	0	0	0	0	1	10	0.01
		"ARMSTRONG, Mary-Anne"	ALP	35	0.05	7	0.18	0	0	1	0.04	1	0.05	0	44	0.06
		Group Total	ALP	34897	52.95	1963	50.27	376	63.09	1133	45.5	913	47.01	3	39285	52.49
M		TICKET VOTES		22	0.03	3	0.08	2	0.34	0	0	0	0	0	27	0.04
		"STEVENS, David Richard"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"HARRISON, Yvonne"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		22	0.03	3	0.08	2	0.34	0	0	0	0	0	27	0.04
N		TICKET VOTES	GRN	721	1.09	92	2.36	12	2.01	40	1.61	15	0.77	0	880	1.18
		"BRIGHAM, Steve"	GRN	138	0.21	13	0.33	1	0.17	10	0.4	0	0	1	163	0.22
		"WALLACE, Joy"	GRN	4	0.01	1	0.03	0	0	0	0	0	0	0	5	0.01
		"COHEN, Ian"	GRN	5	0.01	0	0	0	0	1	0.04	0	0	0	6	0.01
		"STEAD, Cecily"	GRN	4	0.01	1	0.03	0	0	0	0	0	0	0	5	0.01
		Group Total	GRN	872	1.32	107	2.74	13	2.18	51	2.05	15	0.77	1	1059	1.41
O		TICKET VOTES	CTA	615	0.93	56	1.43	2	0.34	19	0.76	30	1.54	0	722	0.96
		"COLEMAN, Bruce"	CTA	140	0.21	10	0.26	0	0	6	0.24	5	0.26	0	161	0.22
		"McLENNAN, Graham Clarke"	CTA	5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
		"GRIGG, Shirley J"	CTA	3	0	0	0	0	0	1	0.04	0	0	0	4	0.01
		"RYAN, Glen"	CTA	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	CTA	764	1.16	66	1.69	2	0.34	26	1.04	35	1.8	0	893	1.19
P		TICKET VOTES	AFI	381	0.58	43	1.1	6	1.01	18	0.72	16	0.82	0	464	0.62
		"KITSON, David A L"	AFI	52	0.08	3	0.08	0	0	2	0.08	2	0.1	0	59	0.08
		"WEATHERLAKE, Ian A"	AFI	2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total	AFI	435	0.66	46	1.18	6	1.01	20	0.8	18	0.93	0	525	0.7
Q		TICKET VOTES		7	0.01	1	0.03	0	0	0	0	0	0	6	14	0.02
		"LAVERY, Rosemarie"		1	0	1	0.03	0	0	0	0	0	0	-1	1	0
		"JOHN, Robert"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"LAVERY, Priscilla"		0	0	0	0	0	0	0	0	0	0	1	1	0
		Group Total		8	0.01	2	0.05	0	0	0	0	0	0	6	16	0.02
R		TICKET VOTES	GRY	165	0.25	7	0.18	0	0	7	0.28	19	0.98	-6	192	0.26
		"ROYLANCE, Frances"	GRY	25	0.04	2	0.05	0	0	1	0.04	0	0	0	28	0.04
		"GROUNDS, Gay"	GRY	2	0	0	0	0	0	0	0	1	0.05	0	3	0
		Group Total	GRY	192	0.29	9	0.23	0	0	8	0.32	20	1.03	-6	223	0.3
S		TICKET VOTES		14	0.02	0	0	0	0	0	0	0	0	0	14	0.02
		"BASS, Walter"		4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"HALES, Paul"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		18	0.03	0	0	0	0	0	0	0	0	0	18	0.02
T		TICKET VOTES		5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
		"VESCIO, Michael"		1	0	0	0	0	0	0	0	1	0.05	0	2	0
		"WHEATLEY, Pamela Eileen"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		6	0.01	0	0	0	0	0	0	1	0.05	0	7	0.01
U		TICKET VOTES		24	0.04	0	0	0	0	0	0	0	0	0	24	0.03
		"SCHOLLBACH, Robert"		2	0	0	0	0	0	0	0	0	0	0	2	0
		"STIRLING, Karen"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		26	0.04	0	0	0	0	0	0	0	0	0	26	0.03
UNGROUPED																
		"GAJIN, Milorad"	IND	116	0.18	2	0.05	3	0.5	2	0.08	3	0.15	0	126	0.17
		"ANDERSON, Michael J"	IND	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"DE BRY, Katherine V"	IND	0	0	1	0.03	0	0	1	0.04	1	0.05	0	3	0
		"POULSEN, Ron"		5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
		"ELLIS, Bryan T"	IND	1	0	0	0	0	0	0	0	0	0	0	1	0
		"MILTON, Malcolm Joshua"	IND	3	0	0	0	0	0	0	0	0	0	0	3	0
		"DECKER, Dianne"	IND	1	0	2	0.05	0	0	0	0	0	0	0	3	0
		"BELETICH, Argy"	IND	2	0	0	0	0	0	0	0	0	0	0	2	0
		Ungrouped Total		132	0.2	5	0.13	3	0.5	3	0.12	4	0.21	0	147	0.2
			FORMAL	65909	96.28	3905	97.85	596	93.27	2490	97.95	1942	98.63	1	74843	96.44
			INFORMAL	2549	3.72	86	2.15	43	6.73	52	2.05	27	1.37	2	2759	3.56
			TOTAL	68458	88.22	3991	5.14	639	0.82	2542	3.28	1969	2.54	3	77602	96.78



Bennelong (79036)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	GA	759	1.17	45	0.96	2	0.51	30	1.27	12	0.54	0	848	1.14
		"BECKMANN, Jane"	GA	161	0.25	12	0.26	0	0	4	0.17	4	0.18	0	181	0.24
		"BRIAN, Bernie"	GA	6	0.01	1	0.02	0	0	1	0.04	0	0	0	8	0.01
		Group Total	GA	926	1.43	58	1.24	2	0.51	35	1.49	16	0.72	0	1037	1.39
B		TICKET VOTES	NLP	126	0.19	8	0.17	1	0.25	4	0.17	4	0.18	0	143	0.19
		"KERR, Doreen"	NLP	34	0.05	0	0	1	0.25	2	0.08	2	0.09	0	39	0.05
		"SMITH, Mike"	NLP	1	0	0	0	0	0	0	0	0	0	0	1	0
		"JUDD, Ines"	NLP	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	NLP	161	0.25	8	0.17	2	0.51	6	0.25	6	0.27	0	183	0.25
C		TICKET VOTES	CEG	43	0.07	2	0.04	0	0	4	0.17	0	0	0	49	0.07
		"HAY, Leone"	CEG	9	0.01	2	0.04	0	0	0	0	0	0	0	11	0.01
		"BUTLER, Robert"	CEG	2	0	0	0	0	0	0	0	0	0	0	2	0
		"WOOD, Gloria"	CEG	2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total	CEG	56	0.09	4	0.09	0	0	4	0.17	0	0	0	64	0.09
D		TICKET VOTES	RPA	91	0.14	6	0.13	0	0	7	0.3	3	0.14	0	107	0.14
		"CONSANDINE, Peter"	RPA	23	0.04	3	0.06	0	0	0	0	0	0	0	26	0.03
		"KLEIN, Gennie"	RPA	2	0	0	0	0	0	1	0.04	0	0	0	3	0
		Group Total	RPA	116	0.18	9	0.19	0	0	8	0.34	3	0.14	0	136	0.18
E		TICKET VOTES		306	0.47	30	0.64	1	0.25	7	0.3	7	0.32	0	351	0.47
		"TEALE, Leonard"		167	0.26	6	0.13	0	0	1	0.04	5	0.23	0	179	0.24
		"WARD, Colin"		1	0	0	0	0	0	0	0	1	0.05	0	2	0
		Group Total		474	0.73	36	0.77	1	0.25	8	0.34	13	0.59	0	532	0.71
F		TICKET VOTES	CAP	32	0.05	1	0.02	1	0.25	2	0.08	1	0.05	0	37	0.05
		"UEBERGANG, K John"	CAP	13	0.02	1	0.02	0	0	1	0.04	0	0	0	15	0.02
		"HAWKINS, Doug"	CAP	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	CAP	45	0.07	2	0.04	1	0.25	3	0.13	1	0.05	0	52	0.07
G		TICKET VOTES	ASP	355	0.55	43	0.92	2	0.51	12	0.51	7	0.32	0	419	0.56
		"ASCHER, Michael"	ASP	56	0.09	2	0.04	0	0	1	0.04	1	0.05	0	60	0.08
		"ORR, Ted"	ASP	2	0	0	0	0	0	0	0	0	0	0	2	0
		"WILKIE, Jeff"	ASP	0	0	0	0	0	0	0	0	0	0	0	0	0
		"O'CONNELL, Suzanne"	ASP	1	0	0	0	0	0	0	0	0	0	0	1	0
		"BOURKE, Robyn Lee"	ASP	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	ASP	414	0.64	45	0.96	2	0.51	13	0.55	8	0.36	0	482	0.65
H		TICKET VOTES		22	0.03	2	0.04	1	0.25	1	0.04	1	0.05	0	27	0.04
		"POULOS, Patricia"		1	0	0	0	0	0	0	0	0	0	0	1	0
		"ARCHER, Peter B"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"HOLLEY, John"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		23	0.04	2	0.04	1	0.25	1	0.04	1	0.05	0	28	0.04
I		TICKET VOTES	LNP	27857	42.98	1935	41.35	165	41.77	1097	46.6	1219	55.06	0	32273	43.35
	#	"BAUME, Michael"	LP	620	0.96	31	0.66	0	0	16	0.68	38	1.72	0	705	0.95
	#	"TIERNEY, John"	LP	18	0.03	1	0.02	0	0	1	0.04	0	0	0	20	0.03
	#	"MACDONALD, Sandy"	NP	18	0.03	3	0.06	0	0	1	0.04	1	0.05	0	23	0.03
		"PAYNE, Marise Ann"	LP	28	0.04	4	0.09	0	0	1	0.04	2	0.09	0	35	0.05
		Group Total	LNP	28541	44.04	1974	42.19	165	41.77	1116	47.41	1260	56.91	0	33056	44.4
J		TICKET VOTES		53	0.08	3	0.06	0	0	3	0.13	3	0.14	0	62	0.08
		"SANTA CLAUS, O"		22	0.03	1	0.02	1	0.25	0	0	0	0	0	24	0.03
		"ROLO, Lord"		3	0	0	0	0	0	0	0	0	0	0	3	0
		Group Total		78	0.12	4	0.09	1	0.25	3	0.13	3	0.14	0	89	0.12
K		TICKET VOTES	DEM	3707	5.72	260	5.56	20	5.06	117	4.97	96	4.34	0	4200	5.64
		"SOWADA, Karin"	DEM	786	1.21	56	1.2	1	0.25	24	1.02	27	1.22	0	894	1.2
		"GRIFFITHS, Ray Ian"	DEM	12	0.02	0	0	0	0	0	0	0	0	0	12	0.02
		"CHESTERFIELD-EVANS, Arthur"	DEM	23	0.04	3	0.06	0	0	2	0.08	3	0.14	0	31	0.04
		Group Total	DEM	4528	6.99	319	6.82	21	5.32	143	6.07	126	5.69	0	5137	6.9
L		TICKET VOTES	ALP	25067	38.68	1816	38.81	181	45.82	858	36.45	610	27.55	0	28532	38.32
	#	"RICHARDSON, Graham Frederick"	ALP	650	1	60	1.28	3	0.76	26	1.1	21	0.95	0	760	1.02
	#	"FAULKNER, John"	ALP	23	0.04	1	0.02	0	0	1	0.04	1	0.05	0	26	0.03
	#	"SIBRAA, Kerry"	ALP	20	0.03	1	0.02	0	0	3	0.13	1	0.05	0	25	0.03
		"ARMSTRONG, Mary-Anne"	ALP	68	0.1	7	0.15	1	0.25	4	0.17	4	0.18	0	84	0.11
		Group Total	ALP	25828	39.85	1885	40.29	185	46.84	892	37.89	637	28.77	0	29427	39.53
M		TICKET VOTES		13	0.02	1	0.02	0	0	2	0.08	0	0	0	16	0.02
