Senate - 1993 Election																
First Preference Votes by Candidate																
By Vote Type by State																


New South Wales																
Enrolment 3814932																
				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
U		TICKET VOTES		995	0.03	42	0.02	11	0.04	15	0.01	24	0.03	10	1097	0.03
		"SCHOLLBACH, Robert"		21	0.00	1	0.00	1	0.00	1	0.00	0	0.00	0	24	0.00
		"STIRLING, Karen"		8	0.00	1	0.00	0	0.00	2	0.00	1	0.00	0	12	0.00
		Group Total		1024	0.03	44	0.02	12	0.04	18	0.02	25	0.03	10	1133	0.03
UNGROUPED																
		"GAJIN, Milorad"	IND	4903	0.16	141	0.06	64	0.21	55	0.05	39	0.04	6	5208	0.15
		"ANDERSON, Michael J"	IND	464	0.01	33	0.01	4	0.01	12	0.01	15	0.02	5	533	0.01
		"DE BRY, Katherine V"	IND	113	0.00	18	0.01	2	0.01	11	0.01	10	0.01	-4	150	0.00
		"POULSEN, Ron"		71	0.00	9	0.00	0	0.00	3	0.00	1	0.00	2	86	0.00
		"ELLIS, Bryan T"	IND	72	0.00	8	0.00	1	0.00	5	0.00	2	0.00	-2	86	0.00
		"MILTON, Malcolm Joshua"	IND	138	0.00	13	0.01	1	0.00	4	0.00	11	0.01	1	168	0.00
		"DECKER, Dianne"	IND	457	0.01	38	0.02	2	0.01	11	0.01	19	0.02	1	528	0.01
		"BELETICH, Argy"	IND	275	0.01	19	0.01	0	0.00	13	0.01	10	0.01	0	317	0.01
		Ungrouped Total		6493	0.21	279	0.13	74	0.24	114	0.10	107	0.11	9	7076	0.20
			FORMAL	3121550	97.19	221248	98.34	31036	96.86	115638	98.59	94605	98.87	2	3584079	97.35
			INFORMAL	90185	2.81	3729	1.66	1007	3.14	1659	1.41	1081	1.13	-127	97534	2.65
			TOTAL	3211735	87.24	224977	6.11	32043	0.87	117297	3.19	95686	2.60	-125	3681613	96.51



Victoria																
Enrolment 2932640																
				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	CIR	15386	0.64	805	0.52	113	1.05	559	0.67	1212	1.45	6	18081	0.66
		"McKAY, Neil"	CIR	3297	0.14	206	0.13	30	0.28	97	0.12	243	0.29	3	3876	0.14
		"McKAY, Alistair"	CIR	202	0.01	19	0.01	1	0.01	12	0.01	23	0.03	-5	252	0.01
		Group Total	CIR	18885	0.78	1030	0.67	144	1.34	668	0.80	1478	1.76	4	22209	0.81
B		TICKET VOTES	JPI	23372	0.97	1491	0.97	126	1.17	540	0.64	524	0.63	45	26098	0.95
		"POWELL, Janet"	JPI	6236	0.26	534	0.35	14	0.13	169	0.20	129	0.15	-3	7079	0.26
		"HAMEL-GREEN, Michael"	JPI	135	0.01	27	0.02	1	0.01	4	0.00	4	0.00	-8	163	0.01
		"O'ROURKE, Anne"	JPI	54	0.00	6	0.00	1	0.01	1	0.00	3	0.00	1	66	0.00
		"LEVY, Laurie"	JPI	245	0.01	26	0.02	0	0.00	10	0.01	20	0.02	3	304	0.01
		Group Total	JPI	30042	1.24	2084	1.36	142	1.32	724	0.86	680	0.81	38	33710	1.23
C		TICKET VOTES	AFI	13438	0.56	1289	0.84	113	1.05	751	0.90	849	1.01	22	16462	0.60
		"McCORMACK, Denis"	AFI	1891	0.08	167	0.11	9	0.08	76	0.09	130	0.16	-14	2259	0.08
		"SPENCER, Robyn Marion"	AFI	165	0.01	11	0.01	3	0.03	8	0.01	18	0.02	0	205	0.01
		Group Total	AFI	15494	0.64	1467	0.96	125	1.16	835	1.00	997	1.19	8	18926	0.69
D		TICKET VOTES	NLP	8737	0.36	973	0.63	58	0.54	395	0.47	213	0.25	-1	10375	0.38
		"GRIFFITH, Steve"	NLP	1493	0.06	144	0.09	7	0.07	53	0.06	42	0.05	8	1747	0.06
		"SCURFIELD, Lorna"	NLP	116	0.00	17	0.01	1	0.01	4	0.00	4	0.00	0	142	0.01
		"MASON, Ngaire"	NLP	63	0.00	14	0.01	0	0.00	6	0.01	1	0.00	-1	83	0.00
		Group Total	NLP	10409	0.43	1148	0.75	66	0.61	458	0.55	260	0.31	6	12347	0.45
E		TICKET VOTES	CTA	13723	0.57	1042	0.68	42	0.39	637	0.76	563	0.67	-31	15976	0.58
		"COOK, Ken"	CTA	3499	0.14	209	0.14	14	0.13	107	0.13	143	0.17	13	3985	0.15
		"GRAHAM, Murray"	CTA	120	0.00	15	0.01	0	0.00	4	0.00	5	0.01	0	144	0.01
		Group Total	CTA	17342	0.72	1266	0.82	56	0.52	748	0.89	711	0.85	-18	20105	0.73
F		TICKET VOTES	DLP	30245	1.25	2540	1.65	258	2.40	1363	1.63	986	1.18	28	35420	1.29
		"MULHOLLAND, John"	DLP	2106	0.09	190	0.12	15	0.14	72	0.09	105	0.13	-19	2469	0.09
		"ROWE, Michael"	DLP	133	0.01	14	0.01	1	0.01	2	0.00	2	0.00	-2	150	0.01
		"CREA, Pat"	DLP	77	0.00	8	0.01	0	0.00	6	0.01	5	0.01	0	96	0.00
		"DODD, Christine"	DLP	67	0.00	8	0.01	0	0.00	7	0.01	4	0.00	2	88	0.00
		"CODY, Matthew"	DLP	82	0.00	5	0.00	0	0.00	4	0.00	3	0.00	0	94	0.00
		Group Total	DLP	32710	1.35	2765	1.80	274	2.55	1454	1.74	1105	1.32	9	38317	1.40
G		TICKET VOTES	LNP	1026589	42.51	63483	41.34	3550	32.98	39996	47.73	41751	49.80	-70	1175299	42.79
	#	"SHORT, Jim"	LP	27638	1.14	1390	0.91	86	0.80	1109	1.32	1479	1.76	56	31758	1.16
	#	"McGAURAN, Julian John"	NP	1646	0.07	165	0.11	7	0.07	83	0.10	157	0.19	1	2059	0.07
	#	"TROETH, Judith"	LP	550	0.02	81	0.05	0	0.00	34	0.04	56	0.07	14	735	0.03
		"TCHEN, Tsebin"	LP	331	0.01	25	0.02	3	0.03	16	0.02	13	0.02	0	388	0.01
		"CURTIS, Ian Ronald"	LP	204	0.01	18	0.01	0	0.00	21	0.03	32	0.04	-3	272	0.01
		"WALL, Bill"	LP	411	0.02	45	0.03	2	0.02	17	0.02	52	0.06	8	535	0.02
		Group Total	LNP	1057369	43.79	65207	42.47	3648	33.89	41276	49.26	43540	51.94	6	1211046	44.09
H		TICKET VOTES	RPA	3688	0.15	248	0.16	27	0.25	155	0.18	110	0.13	-29	4199	0.15
		"BUCKLEY, Brian"	RPA	417	0.02	45	0.03	0	0.00	28	0.03	22	0.03	1	513	0.02
		"GIDLEY, Brendan Frederick"	RPA	40	0.00	4	0.00	2	0.02	0	0.00	2	0.00	0	48	0.00
		Group Total	RPA	4145	0.17	297	0.19	29	0.27	183	0.22	134	0.16	-28	4760	0.17
I		TICKET VOTES	ALP	1059141	43.86	64135	41.77	5455	50.67	30618	36.54	29142	34.76	-60	1188431	43.27
	#	"EVANS, Gareth"	ALP	39103	1.62	2326	1.51	206	1.91	986	1.18	1351	1.61	33	44005	1.60
	#	"CARR, Kim"	ALP	683	0.03	101	0.07	5	0.05	42	0.05	66	0.08	4	901	0.03
	#	"ZAKHAROV, Olive"	ALP	894	0.04	95	0.06	5	0.05	37	0.04	36	0.04	7	1074	0.04
		"McKENZIE, David"	ALP	736	0.03	66	0.04	6	0.06	37	0.04	80	0.10	8	933	0.03
		Group Total	ALP	1100557	45.58	66723	43.45	5677	52.74	31720	37.85	30675	36.59	-8	1235344	44.98
J		TICKET VOTES	DEM	82383	3.41	6393	4.16	335	3.11	3236	3.86	2480	2.96	267	95094	3.46
		"WOOD, Robert"	DEM	11422	0.47	1018	0.66	30	0.28	390	0.47	361	0.43	-262	12959	0.47
		"KAYAK, Maria"	DEM	301	0.01	55	0.04	1	0.01	14	0.02	16	0.02	-25	362	0.01
		"WHITE, Marj"	DEM	102	0.00	20	0.01	1	0.01	6	0.01	12	0.01	0	141	0.01
		"PINNIGER, John"	DEM	88	0.00	9	0.01	1	0.01	5	0.01	10	0.01	0	113	0.00
		"CASBOLT, Diane"	DEM	139	0.01	11	0.01	0	0.00	7	0.01	10	0.01	3	170	0.01
		"STEAR, Kathryn"	DEM	295	0.01	45	0.03	0	0.00	27	0.03	18	0.02	-1	384	0.01
		Group Total	DEM	94730	3.92	7551	4.92	368	3.42	3685	4.40	2907	3.47	-18	109223	3.98
K		TICKET VOTES		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0	0.00
		"TOSCANO, Joe"		146	0.01	18	0.01	0	0.00	3	0.00	4	0.00	0	171	0.01
		"ROPER, Stephen"		29	0.00	1	0.00	0	0.00	0	0.00	0	0.00	-2	28	0.00
		Group Total		175	0.01	19	0.01	0	0.00	3	0.00	4	0.00	-2	199	0.01
L		TICKET VOTES	VGA	20163	0.84	2913	1.90	167	1.55	1584	1.89	896	1.07	-17	25706	0.94
		"DAVIDSON, Francesca"	VGA	5314	0.22	610	0.40	26	0.24	284	0.34	224	0.27	9	6467	0.24
		"ASQUINI, Loretta"	VGA	228	0.01	36	0.02	2	0.02	16	0.02	17	0.02	0	299	0.01
		Group Total	VGA	25705	1.06	3559	2.32	195	1.81	1884	2.25	1137	1.36	-8	32472	1.18
UNGROUPED																
		"MOFFATT, Gordon"	IND	308	0.01	26	0.02	1	0.01	15	0.02	16	0.02	-1	365	0.01
		"BANJANIN, Toma"		2110	0.09	58	0.04	17	0.16	11	0.01	22	0.03	-2	2216	0.08
		"HARDY, Frank"	IND	3093	0.13	211	0.14	11	0.10	89	0.11	123	0.15	-4	3523	0.13
		"BELL, Laurie"	IND	45	0.00	3	0.00	0	0.00	0	0.00	2	0.00	-1	49	0.00
		"ROTARU, Alex"	CEG	37	0.00	6	0.00	0	0.00	1	0.00	1	0.00	0	45	0.00
		"FLORIN, Steve"	IND	71	0.00	11	0.01	1	0.01	3	0.00	5	0.01	-1	90	0.00
		"GOOD, Michael"	IND	132	0.01	17	0.01	0	0.00	7	0.01	11	0.01	0	167	0.01
		"ISHERWOOD, Noelene"	CEG	41	0.00	5	0.00	0	0.00	3	0.00	3	0.00	0	52	0.00
		"PETHERBRIDGE, Tim"	IND	690	0.03	70	0.05	2	0.02	20	0.02	11	0.01	-3	790	0.03
		"PAVLEKOVICH-SMITH, Ivan"	IND	53	0.00	5	0.00	0	0.00	4	0.00	2	0.00	0	64	0.00
		"FAZAL, Abdul Khaliq"	IND	521	0.02	21	0.01	9	0.08	7	0.01	6	0.01	1	565	0.02
		Ungrouped Total		7101	0.29	433	0.28	41	0.38	160	0.19	202	0.24	-11	7926	0.29
			FORMAL	2414664	96.79	153549	98.00	10765	96.43	83798	98.09	83830	98.33	-22	2746584	96.94
			INFORMAL	80121	3.21	3133	2.00	398	3.57	1630	1.91	1421	1.67	-69	86634	3.06
			TOTAL	2494785	88.05	156682	5.53	11163	0.39	85428	3.02	85251	3.01	-91	2833218	96.61



Queensland																
Enrolment 1971729																
				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	CAP	40068	2.51	3034	2.50	166	2.99	1109	1.77	976	1.50	4	45357	2.45
		"JEWELL, Perry J.B."	CAP	5753	0.36	397	0.33	20	0.36	146	0.23	213	0.33	-9	6520	0.35
		"PITT, A. R."	CAP	434	0.03	40	0.03	0	0.00	24	0.04	29	0.04	1	528	0.03
		"HILL, Sandra"	CAP	226	0.01	19	0.02	1	0.02	5	0.01	10	0.02	1	262	0.01
		"GEISSMANN, Mark S."	CAP	99	0.01	9	0.01	0	0.00	5	0.01	4	0.01	-1	116	0.01
		"GILL, Ryland E."	CAP	48	0.00	5	0.00	0	0.00	1	0.00	1	0.00	0	55	0.00
		"TEAGUE, Richard C."	CAP	85	0.01	10	0.01	1	0.02	4	0.01	5	0.01	-1	104	0.01
		Group Total	CAP	46713	2.93	3514	2.89	188	3.38	1294	2.06	1238	1.90	-5	52942	2.86
B		TICKET VOTES	NP	216689	13.58	14679	12.09	423	7.61	7024	11.18	13110	20.09	6	251931	13.61
	#	"O'CHEE, Bill"	NP	12833	0.80	1109	0.91	23	0.41	468	0.74	1404	2.15	-8	15829	0.86
		"KELLY, De-Anne"	NP	493	0.03	67	0.06	0	0.00	13	0.02	46	0.07	-1	618	0.03
		"COBB, Teresa M."	NP	304	0.02	27	0.02	1	0.02	18	0.03	81	0.12	0	431	0.02
		Group Total	NP	230319	14.44	15882	13.08	447	8.04	7523	11.97	14641	22.43	-3	268809	14.53
C		TICKET VOTES	LP	464371	29.10	36050	29.69	1595	28.68	23870	37.99	18425	28.23	30	544341	29.41
	#	"MacGIBBON, David"	LP	32086	2.01	1646	1.36	65	1.17	952	1.52	1238	1.90	-25	35962	1.94
	#	"PARER, Warwick"	LP	495	0.03	46	0.04	0	0.00	26	0.04	61	0.09	3	631	0.03
		"CUNNINGHAM, Ross Alan"	LP	364	0.02	46	0.04	1	0.02	20	0.03	33	0.05	2	466	0.03
		"BUCHANAN, Ann"	LP	513	0.03	87	0.07	5	0.09	42	0.07	53	0.08	0	700	0.04
		"BIRD, Henry Walter"	LP	132	0.01	16	0.01	1	0.02	1	0.00	9	0.01	-11	148	0.01
		"DAVIES, Owen"	LP	415	0.03	47	0.04	1	0.02	26	0.04	24	0.04	5	518	0.03
		Group Total	LP	498376	31.24	37938	31.24	1668	29.99	24937	39.69	19843	30.40	4	582766	31.49
D		TICKET VOTES	CTA	7095	0.44	768	0.63	24	0.43	450	0.72	412	0.63	0	8749	0.47
		"SIMS, Alan"	CTA	1905	0.12	150	0.12	0	0.00	88	0.14	118	0.18	-2	2259	0.12
		"JOYNER, Rona"	CTA	449	0.03	39	0.03	0	0.00	19	0.03	29	0.04	2	538	0.03
		Group Total	CTA	9449	0.59	957	0.79	24	0.43	557	0.89	559	0.86	0	11546	0.62
E		TICKET VOTES		1411	0.09	150	0.12	5	0.09	89	0.14	47	0.07	11	1713	0.09
		"WEEDON, Barry"		231	0.01	17	0.01	3	0.05	10	0.02	5	0.01	-7	259	0.01
		"CROMPTON, Margaret"		49	0.00	4	0.00	2	0.04	1	0.00	2	0.00	0	58	0.00
		Group Total		1691	0.11	171	0.14	10	0.18	100	0.16	54	0.08	4	2030	0.11
F		TICKET VOTES	QG	40764	2.55	6918	5.70	296	5.32	1938	3.08	1051	1.61	1	50968	2.75
		"HUTTON, Drew"	QG	6408	0.40	640	0.53	20	0.36	331	0.53	173	0.27	2	7574	0.41
		"HUNT, Colin"	QG	131	0.01	8	0.01	0	0.00	4	0.01	4	0.01	-7	140	0.01
		"SPENCER, Naomi"	QG	487	0.03	69	0.06	5	0.09	30	0.05	26	0.04	4	621	0.03
		Group Total	QG	47790	3.00	7635	6.29	321	5.77	2303	3.67	1254	1.92	0	59303	3.20
G		TICKET VOTES	ALP	616033	38.61	43808	36.08	2433	43.75	21062	33.52	22934	35.14	24	706294	38.16
	#	"REYNOLDS, Margaret"	ALP	16719	1.05	1478	1.22	50	0.90	581	0.92	791	1.21	7	19626	1.06
	#	"COLSTON, Malcolm"	ALP	849	0.05	83	0.07	3	0.05	29	0.05	84	0.13	5	1053	0.06
		"BIRD, John"	ALP	676	0.04	83	0.07	4	0.07	32	0.05	35	0.05	2	832	0.04
		"McLEAN, Ian"	ALP	1202	0.08	129	0.11	5	0.09	49	0.08	64	0.10	11	1460	0.08
		Group Total	ALP	635479	39.83	45581	37.54	2495	44.87	21753	34.62	23908	36.63	49	729265	39.41
H		TICKET VOTES		958	0.06	79	0.07	5	0.09	38	0.06	30	0.05	-3	1107	0.06
		"ALFORD, Ronald James"		98	0.01	9	0.01	1	0.02	1	0.00	4	0.01	0	113	0.01
		"SMITH, Sylvia Dianne"		43	0.00	4	0.00	0	0.00	2	0.00	3	0.00	0	52	0.00
		Group Total		1099	0.07	92	0.08	6	0.11	41	0.07	37	0.06	-3	1272	0.07
I		TICKET VOTES	AIP	4721	0.30	338	0.28	28	0.50	144	0.23	136	0.21	-6	5361	0.29
		"McCARTHY, Darby"	AIP	891	0.06	76	0.06	3	0.05	18	0.03	13	0.02	0	1001	0.05
		"BRANFIELD, Una"	AIP	54	0.00	1	0.00	0	0.00	3	0.00	2	0.00	0	60	0.00
		Group Total	AIP	5666	0.36	415	0.34	31	0.56	165	0.26	151	0.23	-6	6422	0.35
J		TICKET VOTES	NLP	2493	0.16	305	0.25	12	0.22	141	0.22	59	0.09	-2	3008	0.16
		"WILSON, Geoff"	NLP	420	0.03	42	0.03	2	0.04	18	0.03	15	0.02	-1	496	0.03
		"JACKSON, Peter"	NLP	55	0.00	11	0.01	1	0.02	3	0.00	1	0.00	0	71	0.00
		Group Total	NLP	2968	0.19	358	0.29	15	0.27	162	0.26	75	0.11	-3	3575	0.19
K		TICKET VOTES	DEM	99166	6.22	7604	6.26	316	5.68	3388	5.39	2976	4.56	3	113453	6.13
	#	"WOODLEY, John"	DEM	13682	0.86	979	0.81	27	0.49	467	0.74	370	0.57	15	15540	0.84
