Senate - 1993 Election: Norrthern Territory																			
First Preference Votes by Group																			
By Polling Place																			


Northern Territory (91563)																			

	   		Group Total CLP			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Sadadeen		                                   	1268	48.07	 	1370	51.93	 	0	0	 	2638	97.85	 	58	2.15	 	2696	3.31
Stuart Park		                                	593	46	 	696	54	 	0	0	 	1289	97.06	 	39	2.94	 	1328	1.63
Tennant Creek		                              	720	50.67	 	701	49.33	 	0	0	 	1421	95.69	 	64	4.31	 	1485	1.82
Tindal		                                     	256	67.55	 	123	32.45	 	0	0	 	379	98.44	 	6	1.56	 	385	0.47
Tiwi		                                       	385	38.19	 	623	61.81	 	0	0	 	1008	96.55	 	36	3.45	 	1044	1.28
Wanguri		                                    	727	42.84	 	970	57.16	 	0	0	 	1697	97.7	 	40	2.3	 	1737	2.13
West Island		                                	27	54	 	23	46	 	0	0	 	50	90.91	 	5	9.09	 	55	0.07
Wulagi		                                     	561	41.93	 	777	58.07	 	0	0	 	1338	98.31	 	23	1.69	 	1361	1.67
Yirara		                                     	297	58.35	 	212	41.65	 	0	0	 	509	94.79	 	28	5.21	 	537	0.66
Yulara		                                     	124	41.75	 	173	58.25	 	0	0	 	297	98.34	 	5	1.66	 	302	0.37
Special Hospitals		                          	115	47.33	 	128	52.67	 	0	0	 	243	95.67	 	11	4.33	 	254	0.31
Remote Mobiles		                             	3280	30.14	 	7602	69.86	 	0	0	 	10882	95.26	 	541	4.74	 	11423	14.02
Prison Mobiles		                             	7	25.93	 	20	74.07	 	0	0	 	27	100	 	0	0	 	27	0.03
Total Ordinary		                             	31350	43.99	 	39910	56.01	 	0	0	 	71260	97.08	 	2145	2.92	 	73405	90.12
POSTAL		                                     	1271	59.73	 	857	40.27	 	0	0	 	2128	98.25	 	38	1.75	 	2166	2.66
PRE_POLL		                                   	2518	50.64	 	2454	49.36	 	0	0	 	4972	97.97	 	103	2.03	 	5075	6.23
PROVISIONAL		                                	266	33.89	 	519	66.11	 	0	0	 	785	96.79	 	26	3.21	 	811	1
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	35405	44.73	 	43740	55.27	 	0	0	 	79145	97.16	 	2312	2.84	 	81457	88.96
 																			
