LNP	4	3	1205776	38.63	82794	37.42	9286	29.92	52387	45.30	43879	46.38	-11	1394111	38.90
ALP	4	3	1478310	47.36	102008	46.11	17191	55.39	46107	39.87	37958	40.12	-46	1681528	46.92
DEM	3	0	152702	4.89	11792	5.33	1217	3.92	6144	5.31	4469	4.72	0	176324	4.92
GRN	4	0	62145	1.99	7257	3.28	888	2.86	2958	2.56	1344	1.42	28	74620	2.08
CTA	4	0	46039	1.47	3540	1.60	278	0.90	1874	1.62	1720	1.82	-6	53445	1.49
Other	47	0	176578	5.66	13857	6.26	2176	7.01	6168	5.33	5235	5.53	37	204051	5.69
FORMAL			3121550	97.19	221248	98.34	31036	96.86	115638	98.59	94605	98.87	2	3584079	97.35
INFORMAL			90185	2.81	3729	1.66	1007	3.14	1659	1.41	1081	1.13	-127	97534	2.65
TOTAL			3211735	87.24	224977	6.11	32043	0.87	117297	3.19	95686	2.60	-125	3681613	96.51


Victoria															
Enrolment 2932640															

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LNP	6	3	1057369	43.79	65207	42.47	3648	33.89	41276	49.26	43540	51.94	6	1211046	44.09
ALP	4	3	1100557	45.58	66723	43.45	5677	52.74	31720	37.85	30675	36.59	-8	1235344	44.98
DEM	6	0	94730	3.92	7551	4.92	368	3.42	3685	4.40	2907	3.47	-18	109223	3.98
CTA	2	0	17342	0.72	1266	0.82	56	0.52	748	0.89	711	0.85	-18	20105	0.73
DLP	5	0	32710	1.35	2765	1.80	274	2.55	1454	1.74	1105	1.32	9	38317	1.40
NLP	3	0	10409	0.43	1148	0.75	66	0.61	458	0.55	260	0.31	6	12347	0.45
Other	25	0	101547	4.21	8889	5.79	676	6.28	4457	5.32	4632	5.53	1	120202	4.38
FORMAL			2414664	96.79	153549	98.00	10765	96.43	83798	98.09	83830	98.33	-22	2746584	96.94
INFORMAL			80121	3.21	3133	2.00	398	3.57	1630	1.91	1421	1.67	-69	86634	3.06
TOTAL			2494785	88.05	156682	5.53	11163	0.39	85428	3.02	85251	3.01	-91	2833218	96.61


Queensland															
Enrolment 1971729															

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LP	6	2	498376	31.24	37938	31.24	1668	29.99	24937	39.69	19843	30.40	4	582766	31.49
NP	3	1	230319	14.44	15882	13.08	447	8.04	7523	11.97	14641	22.43	-3	268809	14.53
ALP	4	2	635479	39.83	45581	37.54	2495	44.87	21753	34.62	23908	36.63	49	729265	39.41
DEM	4	1	114026	7.15	8702	7.17	348	6.26	3914	6.23	3397	5.20	18	130405	7.05
CTA	2	0	9449	0.59	957	0.79	24	0.43	557	0.89	559	0.86	0	11546	0.62
Other	23	0	107866	6.76	12375	10.19	579	10.41	4144	6.60	2919	4.47	-13	127870	6.91
FORMAL			1595515	97.84	121435	98.78	5561	97.60	62828	98.85	65267	98.68	55	1850661	97.96
INFORMAL			35185	2.16	1501	1.22	137	2.40	733	1.15	871	1.32	64	38491	2.04
TOTAL			1630700	86.32	122936	6.51	5698	0.30	63561	3.36	66138	3.50	119	1889152	95.81


Western Australia															
Enrolment 1038968															

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LP	6	3	411944	48.24	34475	48.09	1839	37.20	13624	52.56	10221	53.21	28	472131	48.39
NP	3	0	14198	1.66	1876	2.62	60	1.21	385	1.49	546	2.84	10	17075	1.75
ALP	4	2	330168	38.67	25316	35.32	2359	47.71	8801	33.95	6579	34.25	24	373247	38.25
DEM	2	0	34975	4.10	2975	4.15	173	3.50	1059	4.09	667	3.47	0	39849	4.08
GWA	2	1	45541	5.33	5449	7.60	405	8.19	1565	6.04	773	4.02	24	53757	5.51
CTA	2	0	10150	1.19	898	1.25	54	1.09	249	0.96	211	1.10	6	11568	1.19
Other	14	0	6918	0.81	695	0.97	54	1.09	239	0.92	212	1.10	27	8145	0.83
FORMAL			853894	97.75	71684	98.66	4944	97.13	25922	99.18	19209	99.05	119	975772	97.89
INFORMAL			19614	2.25	971	1.34	146	2.87	213	0.81	185	0.95	-146	20983	2.11
TOTAL			873508	87.64	72655	7.29	5090	0.51	26135	2.62	19394	1.95	-27	996755	95.94


South Australia															
Enrolment 1014400															

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LP	4	3	381432	45.56	23888	43.34	1206	39.67	11409	47.23	13722	51.64	-15	431642	45.63
NP	2	0	3793	0.45	267	0.48	26	0.86	188	0.78	228	0.86	-4	4498	0.48
ALP	4	2	319572	38.17	20894	37.91	1303	42.86	8768	36.30	8964	33.73	-10	359491	38.00
DEM	4	1	83215	9.94	5936	10.77	275	9.05	2007	8.31	1901	7.15	-9	93325	9.87
CTA	2	0	9490	1.13	668	1.21	28	0.92	259	1.07	318	1.20	-1	10762	1.14
Other	20	0	39634	4.73	3467	6.29	202	6.64	1525	6.31	1441	5.42	-12	46257	4.89
FORMAL			837136	97.59	55120	98.34	3040	97.53	24156	98.59	26574	98.89	-51	945975	97.69
INFORMAL			20715	2.41	932	1.66	77	2.47	346	1.41	299	1.11	21	22390	2.31
TOTAL			857851	88.59	56052	5.79	3117	0.32	24502	2.53	26873	2.78	-30	968365	95.46


Tasmania															
Enrolment 327919															

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LP	3	2	100583	36.62	5724	35.60	200	28.33	3148	38.73	3698	40.09	-6	113347	36.71
ALP	4	3	117957	42.95	6772	42.12	375	53.12	3030	37.28	3745	40.60	-3	131876	42.71
DEM	2	0	4514	1.64	291	1.81	19	2.69	195	2.40	143	1.55	0	5162	1.67
HAR	1	1	29071	10.59	1486	9.24	49	6.94	667	8.21	934	10.12	-5	32202	10.43
CTA	2	0	1347	0.49	61	0.38	8	1.13	53	0.65	50	0.54	0	1519	0.49
Other	8	0	21169	7.71	1745	10.85	55	7.79	1035	12.73	655	7.10	-2	24657	7.99
FORMAL			274641	97.31	16079	98.40	706	96.58	8128	98.74	9225	98.59	-16	308763	97.44
INFORMAL			7583	2.69	261	1.60	25	3.42	104	1.26	132	1.41	16	8121	2.56
TOTAL			282224	89.06	16340	5.16	731	0.23	8232	2.60	9357	2.95	0	316884	96.63


Australian Capital Territory															
Enrolment 192487															

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
LP	2	1	50502	34.65	1163	31.08	478	24.99	9856	36.81	2319	40.99	0	64318	34.99
ALP	2	1	71094	48.78	1908	50.99	1133	59.23	12758	47.65	2487	43.96	0	89380	48.62
DEM	2	0	10134	6.95	280	7.48	124	6.48	1747	6.52	371	6.56	0	12656	6.88
GRN	2	0	8848	6.07	263	7.03	112	5.85	1659	6.20	286	5.05	0	11168	6.08
Other	6	0	5160	3.54	128	3.42	66	3.45	755	2.82	195	3.45	0	6304	3.43
FORMAL			145738	98.27	3742	98.66	1913	98.66	26775	98.91	5658	99.02	0	183826	98.40
INFORMAL			2559	1.73	51	1.34	26	1.34	296	1.09	56	0.98	0	2988	1.60
TOTAL			148297	79.38	3793	2.03	1939	1.04	27071	14.49	5714	3.06	0	186814	97.05


Northern Territory															
Enrolment 91563															

Group	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Adj	Total	
	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
CLP	2	1	31350	43.99	0	0.00	266	33.89	2518	50.64	1271	59.73	0	35405	44.73
ALP	2	1	39910	56.01	0	0.00	519	66.11	2454	49.36	857	40.27	0	43740	55.27
FORMAL			71260	97.08	0	0.00	785	96.79	4972	97.97	2128	98.25	0	79145	97.16
INFORMAL			2145	2.92	0	0.00	26	3.21	103	2.03	38	1.75	0	2312	2.84
TOTAL			73405	90.12	0	0.00	811	1.00	5075	6.23	2166	2.66	0	81457	88.96
