INFORMAL				74771	2.99	4820	3.36	1041	5.11	1943	2.05	1040	1.09	83615	2.93
TOTAL				2502794	87.60	143464	5.02	20352	0.71	94925	3.32	95401	3.34	2856936	96.11


Queensland															
Enrolment 2091384															
															
Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	22	22	17	648125	39.48	44691	36.19	2757	29.38	33939	45.48	28109	35.54	757621	39.29
NP	13	13	6	259381	15.80	18027	14.60	1300	13.85	9096	12.19	19182	24.25	306986	15.92
ALP	26	26	2	548952	33.44	39192	31.74	3725	39.69	22238	29.80	25403	32.12	639510	33.17
DEM	26	26	0	108994	6.64	10894	8.82	695	7.41	4774	6.40	3887	4.91	129244	6.70
GRN	21	21	0	37547	2.29	5734	4.64	438	4.67	2504	3.36	1156	1.46	47379	2.46
CTA	1	1	0	403	0.02	43	0.03	5	0.05	31	0.04	12	0.02	494	0.03
Other	26	71	1	38182	2.33	4915	3.98	465	4.95	2037	2.73	1337	1.69	46936	2.43
FORMAL				1641584	97.33	123496	97.49	9385	95.46	74619	98.44	79086	99.09	1928170	97.44
INFORMAL				45071	2.67	3181	2.51	446	4.54	1179	1.56	728	0.91	50605	2.56
TOTAL				1686655	85.24	126677	6.40	9831	0.50	75798	3.83	79814	4.03	1978775	94.62


Western Australia															
Enrolment 1088487															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	14	14	8	374576	43.96	32646	43.62	3506	34.05	17662	46.18	12257	48.15	440647	44.02
NP	2	2	0	11080	1.30	1441	1.93	110	1.07	304	0.79	398	1.56	13333	1.33
ALP	14	14	3	300278	35.24	23668	31.62	4292	41.69	11771	30.78	7574	29.75	347583	34.73
DEM	14	14	0	46731	5.48	5063	6.76	539	5.24	2144	5.61	1385	5.44	55862	5.58
GWA	14	14	0	42539	4.99	6188	8.27	899	8.73	2382	6.23	1093	4.29	53101	5.31
Other	11	22	3	76906	9.03	5844	7.81	950	9.23	3979	10.40	2751	10.81	90430	9.03
FORMAL				852110	96.77	74850	96.62	10296	95.66	38242	98.14	25458	98.63	1000956	96.84
INFORMAL				28453	3.23	2619	3.38	467	4.34	723	1.86	354	1.37	32616	3.16
TOTAL				880563	85.20	77469	7.50	10763	1.04	38965	3.77	25812	2.50	1033572	94.95


South Australia															
Enrolment 1001006															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	12	12	10	404468	50.20	23003	45.50	3586	36.59	12975	49.97	16214	56.38	460246	49.99
ALP	12	12	2	282241	35.03	16831	33.29	4096	41.79	8569	33.00	8941	31.09	320678	34.83
DEM	12	12	0	81063	10.06	6535	12.93	1173	11.97	2647	10.19	2481	8.63	93899	10.20
GRN	12	12	0	22056	2.74	2628	5.20	599	6.11	1207	4.65	656	2.28	27146	2.95
Other	11	26	0	15817	1.96	1555	3.08	347	3.54	567	2.18	464	1.61	18750	2.04
FORMAL				805645	95.77	50552	96.06	9801	94.24	25965	97.68	28756	98.87	920719	95.92
INFORMAL				35552	4.23	2076	3.94	599	5.76	616	2.32	329	1.13	39172	4.08
TOTAL				841197	87.63	52628	5.48	10400	1.08	26581	2.77	29085	3.03	959891	95.89


Tasmania															
Enrolment 329304															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	5	5	2	116801	44.74	8955	42.94	956	31.18	5279	42.76	6096	45.99	138087	44.46
ALP	5	5	3	116714	44.71	8957	42.95	1670	54.47	4802	38.89	5464	41.22	137607	44.31
DEM	5	5	0	10346	3.96	959	4.60	131	4.27	671	5.43	589	4.44	12696	4.09
Other	5	8	0	17188	6.58	1982	9.50	309	10.08	1595	12.92	1107	8.35	22181	7.14
FORMAL				261049	97.54	20853	98.01	3066	95.84	12347	98.30	13256	99.09	310571	97.65
INFORMAL				6580	2.46	424	1.99	133	4.16	213	1.70	122	0.91	7472	2.35
TOTAL				267629	84.15	21277	6.69	3199	1.01	12560	3.95	13378	4.21	318043	96.58


Australian Capital Territory															
Enrolment 203170															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	3	3	0	63748	41.30	1699	34.34	509	30.39	9606	39.09	2547	47.96	78109	40.92
ALP	3	3	3	74137	48.03	2479	50.10	874	52.18	11735	47.76	2222	41.84	91447	47.91
GRN	3	3	0	12861	8.33	583	11.78	223	13.31	2533	10.31	396	7.46	16596	8.70
Other	2	4	0	3610	2.34	187	3.78	69	4.12	699	2.84	146	2.75	4711	2.47
FORMAL				154356	97.13	4948	95.45	1675	95.12	24573	97.75	5311	98.37	190863	97.18
INFORMAL				4567	2.87	236	4.55	86	4.88	566	2.25	88	1.63	5543	2.82
TOTAL				158923	80.92	5184	2.64	1761	0.90	25139	12.80	5399	2.75	196406	96.67


Northern Territory															
Enrolment 98800															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
CLP	1	1	1	33331	44.42	0	0.00	340	29.49	3050	48.89	1581	60.51	38302	45.04
ALP	1	1	0	33262	44.33	0	0.00	647	56.11	2365	37.91	720	27.55	36994	43.50
GRN	1	1	0	4617	6.15	0	0.00	61	5.29	481	7.71	165	6.31	5324	6.26
Other	1	2	0	3828	5.10	0	0.00	105	9.11	343	5.50	147	5.63	4423	5.20
FORMAL				75038	96.46	0	0.00	1153	93.66	6239	97.96	2613	99.09	85043	96.61
INFORMAL				2753	3.54	0	0.00	78	6.34	130	2.04	24	0.91	2985	3.39
TOTAL				77791	88.37	0	0.00	1231	1.40	6369	7.24	2637	3.00	88028	89.10
