House of Representatives - 1996 election 								
Votes Counted by Vote Type								
By Division								

National Summary								
		Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
Watson	78312	66744	4376	1788	1746	561	75215	96.05
Wentworth	81437	64265	4796	3065	4625	950	77701	95.41
Werriwa	77592	65858	4562	1340	2020	568	74348	95.82
TOTAL	3955782	3317034	211290	104499	149246	30297	3812366	96.37


Victoria								

Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Aston	79887	68356	4281	2474	2134	260	77505	97.02
Ballarat	80259	67779	3525	3203	2557	639	77703	96.82
Batman	85556	72377	3613	2627	2193	669	81479	95.23
Bendigo	81674	69274	3340	3389	2666	499	79168	96.93
Bruce	84187	71632	3933	2628	2683	321	81197	96.45
Burke	75578	64358	4297	1693	1832	533	72713	96.21
Calwell	77922	67390	3641	1199	1897	389	74516	95.63
Casey	76437	64542	4003	2605	2305	429	73884	96.66
Chisholm	84024	70189	4422	3204	2738	264	80817	96.18
Corangamite	77211	65558	3758	2044	2866	435	74661	96.7
Corio	81232	69567	2750	2778	2480	963	78538	96.68
Deakin	81673	68709	4150	3212	2606	261	78938	96.65
Dunkley	79798	67853	3322	2773	2466	531	76945	96.42
Flinders	78553	66061	3729	2684	2784	469	75727	96.4
Gellibrand	82190	69207	3245	2016	2254	826	77548	94.35
Gippsland	79898	67921	4081	2503	2297	617	77419	96.9
Goldstein	85433	70963	4038	3368	2875	486	81730	95.67
Higgins	82327	65109	5525	3693	3403	506	78236	95.03
Holt	75283	64388	3300	1618	1987	738	72031	95.68
Hotham	86329	73068	4362	2518	2246	551	82745	95.85
Indi	80291	66830	3391	2432	3802	568	77023	95.93
Isaacs	75249	64021	3582	2303	2100	389	72395	96.21
Jagajaga	83902	71040	3825	3059	3007	359	81290	96.89
Kooyong	81757	67215	4458	3853	2887	387	78800	96.38
Lalor	75097	64688	2973	1352	2737	586	72336	96.32
La Trobe	73704	62054	4318	2352	1915	450	71089	96.45
McEwen	77351	64598	4631	2987	1926	685	74827	96.74
McMillan	80827	68249	3395	2801	3136	687	78268	96.83
Mallee	80506	68360	3508	2445	3049	503	77865	96.72
Maribyrnong	79690	68724	3717	1607	1946	491	76485	95.98
Melbourne	83845	64786	5804	2149	3540	1134	77413	92.33
Melbourne Ports	79962	60675	4407	4846	3628	1160	74716	93.44
Menzies	79272	67581	3841	1871	2958	356	76607	96.64
Murray	82336	71486	3700	1963	2052	584	79785	96.9
Scullin	76772	67772	3102	1405	1501	430	74210	96.66
Wannon	81331	68749	3623	3064	3231	644	79311	97.52
Wills	85292	71665	3874	2683	2241	553	81016	94.99
TOTAL	2972635	2502794	143464	95401	94925	20352	2856936	96.11


Queensland								

Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Bowman	76117	63415	3924	2632	2447	286	72704	95.52
Brisbane	85822	63880	7312	4086	3760	560	79598	92.75
Capricornia	83664	68063	5087	4089	2160	431	79830	95.42
Dawson	85486	70614	4096	2674	3201	577	81162	94.94
Dickson	82357	68426	5244	2867	2341	201	79079	96.02
Fadden	76352	61526	5328	2080	3224	238	72396	94.82
Fairfax	78659	63678	3930	2420	3629	411	74068	94.16
Fisher	74148	58706	4925	3224	3138	367	70360	94.89
Forde	75874	60370	5591	2396	2295	299	70951	93.51
Griffith	82151	65408	5833	3811	2520	274	77846	94.76
Groom	82724	67519	5255	2546	3253	449	79022	95.52
Herbert	82765	68122	3518	2392	3373	491	77896	94.12
Hinkler	84175	68632	4573	3406	3409	338	80358	95.47
Kennedy	82701	65860	5211	4145	1656	584	77456	93.66
Leichhardt	83222	67278	3554	2176	3131	692	76831	92.32
Lilley	84410	67573	5359	3898	2738	249	79817	94.56
Longman	76863	63918	4925	2230	2100	294	73467	95.58
McPherson	75851	60661	2915	1994	5312	380	71262	93.95
Maranoa	82569	63101	5954	7651	1684	376	78766	95.39
Moncrieff	73656	57723	3479	2327	4697	403	68629	93.18
Moreton	84927	68031	5927	3452	2817	308	80535	94.83
Oxley	75751	63098	4042	2406	2205	165	71916	94.94
Petrie	80918	66059	5300	3099	2161	283	76902	95.04
Rankin	78393	63443	5226	2181	1934	521	73305	93.51
Ryan	83079	67241	5584	2153	3845	257	79080	95.19
Wide Bay	78750	64310	4585	3479	2768	397	75539	95.92
TOTAL	2091384	1686655	126677	79814	75798	9831	1978775	94.62


Western Australia								

Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Brand	92099	75943	5315	1925	3402	1091	87676	95.2
Canning	76087	63071	5459	1477	1940	775	72722	95.58
Cowan	81739	67796	6111	1689	2312	504	78412	95.93
Curtin	73941	58694	4659	2187	4066	824	70430	95.25
Forrest	80961	67752	5112	1551	2384	830	77629	95.88
Fremantle	77870	64942	4094	1710	2991	822	74559	95.75
Kalgoorlie	72168	51852	5414	2384	3108	1348	64106	88.83
Moore	89429	74359	5529	1810	3380	619	85697	95.83
O'Connor	74785	57734	8595	2258	1746	797	71130	95.11
Pearce	75614	62106	5617	1519	2765	493	72500	95.88
Perth	74499	59155	6030	1897	2199	712	69993	93.95
Stirling	73749	59196	5522	1837	2900	599	70054	94.99
Swan	72465	57719	5286	1943	2707	845	68500	94.53
Tangney	73081	60244	4726	1625	3065	504	70164	96.01
TOTAL	1088487	880563	77469	25812	38965	10763	1033572	94.95


South Australia								

Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Adelaide	81751	66234	4604	3125	2426	906	77295	94.55
Barker	84479	71919	4195	2384	1995	1013	81506	96.48
Bonython	76904	66495	3477	1465	1708	876	74021	96.25
Boothby	81511	68284	4133	2386	2630	582	78015	95.71
Grey	83573	68780	4295	3111	2125	1103	79414	95.02
Hindmarsh	83918	69274	4972	3094	2345	689	80374	95.78
Kingston	85936	73132	4140	2278	2257	1240	83047	96.64
Makin	87567	74384	4783	2336	2156	834	84493	96.49
Mayo	88305	74336	5655	1592	2631	720	84934	96.18
Port Adelaide	82175	69063	3834	2587	2146	954	78584	95.63
Sturt	78400	64338	4191	2770	2557	786	74642	95.21
Wakefield	86487	74958	4349	1957	1605	697	83566	96.62
TOTAL	1001006	841197	52628	29085	26581	10400	959891	95.89


Tasmania								

Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Bass	66017	52905	4608	2460	2895	676	63544	96.25
Braddon	63449	52055	3642	2593	2296	841	61427	96.81
Denison	67097	53174	4397	2998	3315	674	64558	96.22
Franklin	64967	52699	4794	2415	2488	519	62915	96.84
Lyons	67774	56796	3836	2912	1566	489	65599	96.79
TOTAL	329304	267629	21277	13378	12560	3199	318043	96.58


Australian Capital Territory								

Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Canberra	71932	54470	1679	2287	9892	632	68960	95.87
Fraser	64374	51317	1677	1543	7275	526	62338	96.84
Namadgi	66864	53136	1828	1569	7972	603	65108	97.37
TOTAL	203170	158923	5184	5399	25139	1761	196406	96.67


Northern Territory								

Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Northern Territory	98800	77791	0	2637	6369	1231	88028	89.1
TOTAL	98800	77791	0	2637	6369	1231	88028	89.1

NATIONAL TOTAL	11740568	9732586	637989	356025	429583	87834	11244017	95.77
