Senate: Election 2001 - National															
First Preference Votes by Candidate															
By Vote Type by Division															

New South Wales															
															
Banks (83122)															
				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
		"EVANS, Julian"	DEM	9	0.01	0	0.00	0	0.00	0	0.00	0	0.00	9	0.01
		Group Total	DEM	3061	4.75	322	6.02	21	3.75	173	5.63	88	3.25	3665	4.81
H		TICKET VOTES	HMP	414	0.64	54	1.01	6	1.07	29	0.94	5	0.18	508	0.67
		"BALDERSTONE, Michael"	HMP	28	0.04	7	0.13	1	0.18	5	0.16	0	0.00	41	0.05
		"FUGGLE, Don"	HMP	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		Group Total	HMP	444	0.69	61	1.14	7	1.25	34	1.11	5	0.18	551	0.72
I		TICKET VOTES	RLS	135	0.21	12	0.22	1	0.18	3	0.10	4	0.15	155	0.20
		"GREENAWAY, Denise"	RLS	6	0.01	1	0.02	0	0.00	0	0.00	0	0.00	7	0.01
		"ARMSTRONG, Valerie"	RLS	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	RLS	141	0.22	13	0.24	1	0.18	3	0.10	4	0.15	162	0.21
J		TICKET VOTES	ACL	25530	39.59	1924	36.00	266	47.50	1077	35.04	1019	37.66	29816	39.14
	#	"STEPHENS, Ursula"	CLR	156	0.24	19	0.36	0	0.00	6	0.20	8	0.30	189	0.25
	#	"CAMPBELL, George"	ALP	53	0.08	3	0.06	0	0.00	2	0.07	2	0.07	60	0.08
		"MUNDINE, Warren"	CLR	12	0.02	0	0.00	0	0.00	0	0.00	2	0.07	14	0.02
		"WOODS, Joanna"	ALP	40	0.06	1	0.02	0	0.00	3	0.10	4	0.15	48	0.06
		Group Total	ACL	25791	39.99	1947	36.43	266	47.50	1088	35.39	1035	38.25	30127	39.55
K		TICKET VOTES	LEF	241	0.37	26	0.49	4	0.71	17	0.55	9	0.33	297	0.39
		"O'LOUGHLIN, David"	LEF	8	0.01	1	0.02	0	0.00	1	0.03	1	0.04	11	0.01
		"FREEMAN, Paul"	LEF	1	0.00	0	0.00	0	0.00	0	0.00	2	0.07	3	0.00
		Group Total	LEF	250	0.39	27	0.51	4	0.71	18	0.59	12	0.44	311	0.41
L		TICKET VOTES		32	0.05	1	0.02	0	0.00	1	0.03	0	0.00	34	0.04
		"STEWART, Lex"		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		"STEWART, Joe"		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total		32	0.05	1	0.02	0	0.00	1	0.03	0	0.00	34	0.04
M		TICKET VOTES	FPY	281	0.44	54	1.01	3	0.54	14	0.46	5	0.18	357	0.47
		"SMITH, Robert"	FPY	12	0.02	1	0.02	0	0.00	0	0.00	0	0.00	13	0.02
		"WISEMAN, David"	FPY	0	0.00	0	0.00	0	0.00	1	0.03	0	0.00	1	0.00
		Group Total	FPY	293	0.45	55	1.03	3	0.54	15	0.49	5	0.18	371	0.49
N		TICKET VOTES		15	0.02	2	0.04	0	0.00	0	0.00	0	0.00	17	0.02
		"SMITH, Warren"		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		"LAWLER, Geoff"		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		"ANTHONY, Dora"		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total		15	0.02	2	0.04	0	0.00	0	0.00	0	0.00	17	0.02
O		TICKET VOTES	NCP	69	0.11	8	0.15	1	0.18	1	0.03	0	0.00	79	0.10
		"THOMPSON, Andy"	NCP	5	0.01	0	0.00	0	0.00	0	0.00	0	0.00	5	0.01
		"McKEEGAN, Annette"	NCP	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	NCP	74	0.11	8	0.15	1	0.18	1	0.03	0	0.00	84	0.11
P		TICKET VOTES	NDP	69	0.11	6	0.11	0	0.00	3	0.10	0	0.00	78	0.10
		"DENBOROUGH, Michael"	NDP	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		"FRANCIS, Yvonne"	NDP	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	NDP	71	0.11	6	0.11	0	0.00	3	0.10	0	0.00	80	0.11
Q		TICKET VOTES	LNP	24029	37.26	1906	35.66	156	27.86	1147	37.31	1128	41.69	28366	37.24
	#	"COONAN, Helen"	LP	294	0.46	19	0.36	2	0.36	15	0.49	15	0.55	345	0.45
	#	"MACDONALD, Sandy"	NP	9	0.01	1	0.02	0	0.00	0	0.00	0	0.00	10	0.01
	#	"PAYNE, Marise"	LP	10	0.02	1	0.02	0	0.00	1	0.03	0	0.00	12	0.02
		"NASH, Fiona"	NP	6	0.01	0	0.00	0	0.00	0	0.00	0	0.00	6	0.01
		"MacDONALD, Scot"	LP	20	0.03	2	0.04	0	0.00	1	0.03	3	0.11	26	0.03
		"TANG, Terence"	LP	7	0.01	1	0.02	0	0.00	1	0.03	0	0.00	9	0.01
		Group Total	LNP	24375	37.80	1930	36.11	158	28.21	1165	37.90	1146	42.35	28774	37.77
R		TICKET VOTES	NGST	256	0.40	49	0.92	3	0.54	23	0.75	7	0.26	338	0.44
		"GALLAGHER, Mick"	NGST	11	0.02	0	0.00	0	0.00	0	0.00	0	0.00	11	0.01
		"MARTIN, Charles H"	NGST	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		Group Total	NGST	269	0.42	49	0.92	3	0.54	23	0.75	7	0.26	351	0.46
S		TICKET VOTES	RPA	53	0.08	7	0.13	1	0.18	9	0.29	3	0.11	73	0.10
		"McNALLY, Kerry"	RPA	5	0.01	0	0.00	0	0.00	2	0.07	0	0.00	7	0.01
		"JORDAN, Tom"	RPA	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		Group Total	RPA	59	0.09	7	0.13	1	0.18	11	0.36	3	0.11	81	0.11
T		TICKET VOTES	GRN	1322	2.05	208	3.89	11	1.96	72	2.34	21	0.78	1634	2.15
	#	"NETTLE, Kerry"	GRN	214	0.33	14	0.26	2	0.36	5	0.16	5	0.18	240	0.32
		"KAYE, John"	GRN	5	0.01	0	0.00	0	0.00	0	0.00	0	0.00	5	0.01
		"DAVIS, Jan"	GRN	3	0.00	1	0.02	1	0.18	0	0.00	1	0.04	6	0.01
		"RYAN, James"	GRN	6	0.01	1	0.02	0	0.00	1	0.03	0	0.00	8	0.01
		Group Total	GRN	1550	2.40	224	4.19	14	2.50	78	2.54	27	1.00	1893	2.49
U		TICKET VOTES		8	0.01	1	0.02	0	0.00	1	0.03	1	0.04	11	0.01
		"HINMAN, Pip"		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		"RINTOUL, Ian"		1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		Group Total		9	0.01	1	0.02	0	0.00	1	0.03	1	0.04	12	0.02
V		TICKET VOTES	AAP	31	0.05	4	0.07	0	0.00	0	0.00	2	0.07	37	0.05
		"CONNOR, Rex"	AAP	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00
		"ASTRIDGE, Robert"	AAP	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		"GUY, Shirley"	AAP	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	AAP	34	0.05	4	0.07	0	0.00	0	0.00	2	0.07	40	0.05
W		TICKET VOTES	AFI	550	0.85	70	1.31	10	1.79	34	1.11	33	1.22	697	0.92
		"KITSON, David"	AFI	35	0.05	0	0.00	3	0.54	2	0.07	0	0.00	40	0.05
		"WOODGER, Edwin"	AFI	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00
		Group Total	AFI	588	0.91	70	1.31	13	2.32	36	1.17	33	1.22	740	0.97
UNGROUPED															
		"IVOR, F"	IND	2	0.00	1	0.02	0	0.00	0	0.00	1	0.04	4	0.01
		"TINYOW, Walter"	IND	2	0.00	1	0.02	0	0.00	0	0.00	0	0.00	3	0.00
		"BAKER, Beverly"	IND	10	0.02	0	0.00	0	0.00	0	0.00	0	0.00	10	0.01
		"LORD, Jack"	IND	4	0.01	1	0.02	0	0.00	0	0.00	0	0.00	5	0.01
		Ungrouped Total		18	0.03	3	0.06	0	0.00	0	0.00	1	0.04	22	0.03
			FORMAL	64489	95.57	5345	97.18	560	95.08	3074	98.78	2706	98.44	76174	95.90
			INFORMAL	2990	4.43	155	2.82	29	4.92	38	1.22	43	1.56	3255	4.10
			TOTAL	67479	84.96	5500	6.92	589	0.74	3112	3.92	2749	3.46	79429	95.56



Barton (84752)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	HAN	2470	3.83	211	4.02	27	3.10	121	3.67	129	5.55	2958	3.88
		"McKINNON, Don"	HAN	217	0.34	9	0.17	0	0.00	11	0.33	12	0.52	249	0.33
		"PUTRA, Rick"	HAN	4	0.01	0	0.00	0	0.00	0	0.00	1	0.04	5	0.01
		"DEENEY, Carol"	HAN	9	0.01	0	0.00	0	0.00	0	0.00	1	0.04	10	0.01
		Group Total	HAN	2700	4.19	220	4.19	27	3.10	132	4.00	143	6.15	3222	4.23
B		TICKET VOTES	CTA	908	1.41	91	1.73	11	1.26	53	1.61	41	1.76	1104	1.45
		"CAPSIS, George"	CTA	150	0.23	12	0.23	3	0.34	8	0.24	5	0.22	178	0.23
		"HUME, Kevin"	CTA	7	0.01	0	0.00	0	0.00	2	0.06	0	0.00	9	0.01
		Group Total	CTA	1065	1.65	103	1.96	14	1.61	63	1.91	46	1.98	1291	1.69
C		TICKET VOTES	UNI	753	1.17	55	1.05	14	1.61	43	1.30	18	0.77	883	1.16
		"NGO, Thang"	UNI	25	0.04	1	0.02	0	0.00	1	0.03	0	0.00	27	0.04
		"McLEOD, Robert"	UNI	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		Group Total	UNI	779	1.21	56	1.07	14	1.61	44	1.33	18	0.77	911	1.20
D		TICKET VOTES	CEC	24	0.04	1	0.02	0	0.00	5	0.15	1	0.04	31	0.04
		"BUTLER, Robert"	CEC	2	0.00	0	0.00	1	0.11	0	0.00	0	0.00	3	0.00
		"COLLINS, Glenys"	CEC	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	CEC	26	0.04	1	0.02	1	0.11	5	0.15	1	0.04	34	0.04
E		TICKET VOTES	PLP	1192	1.85	149	2.84	29	3.33	97	2.94	19	0.82	1486	1.95
		"WOLDRING, Klaas"	PLP	18	0.03	0	0.00	0	0.00	2	0.06	2	0.09	22	0.03
		"LEE, Shona"	PLP	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	PLP	1210	1.88	149	2.84	29	3.33	99	3.00	21	0.90	1508	1.98
F		TICKET VOTES	OCF	48	0.07	2	0.04	0	0.00	0	0.00	0	0.00	50	0.07
		"CALDICOTT, Helen"	OCF	10	0.02	1	0.02	0	0.00	2	0.06	0	0.00	13	0.02
		"POTTS, Ted"	OCF	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		Group Total	OCF	59	0.09	3	0.06	0	0.00	2	0.06	0	0.00	64	0.08
G		TICKET VOTES	DEM	3400	5.28	320	6.09	45	5.17	190	5.76	84	3.61	4039	5.30
		"BOURNE, Vicki"	DEM	211	0.33	14	0.27	0	0.00	11	0.33	9	0.39	245	0.32
		"YATES, Joanne"	DEM	1	0.00	1	0.02	0	0.00	0	0.00	0	0.00	2	0.00
		"CHUNG, Craig"	DEM	9	0.01	3	0.06	0	0.00	0	0.00	0	0.00	12	0.02
		"MAYFIELD, E Caroline"	DEM	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		"PRINCE, Janine"	DEM	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		"EVANS, Julian"	DEM	9	0.01	0	0.00	0	0.00	0	0.00	0	0.00	9	0.01
		Group Total	DEM	3632	5.64	338	6.44	45	5.17	201	6.10	93	4.00	4309	5.66
H		TICKET VOTES	HMP	325	0.50	60	1.14	9	1.03	10	0.30	6	0.26	410	0.54
		"BALDERSTONE, Michael"	HMP	25	0.04	2	0.04	2	0.23	2	0.06	1	0.04	32	0.04
		"FUGGLE, Don"	HMP	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		Group Total	HMP	351	0.54	62	1.18	11	1.26	12	0.36	7	0.30	443	0.58
I		TICKET VOTES	RLS	163	0.25	8	0.15	2	0.23	4	0.12	4	0.17	181	0.24
		"GREENAWAY, Denise"	RLS	2	0.00	0	0.00	0	0.00	1	0.03	0	0.00	3	0.00
		"ARMSTRONG, Valerie"	RLS	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	RLS	165	0.26	8	0.15	2	0.23	5	0.15	4	0.17	184	0.24
J		TICKET VOTES	ACL	27814	43.16	1924	36.63	460	52.87	1209	36.67	807	34.72	32214	42.28
	#	"STEPHENS, Ursula"	CLR	129	0.20	15	0.29	3	0.34	5	0.15	4	0.17	156	0.20
	#	"CAMPBELL, George"	ALP	31	0.05	0	0.00	0	0.00	2	0.06	3	0.13	36	0.05
		"MUNDINE, Warren"	CLR	12	0.02	2	0.04	0	0.00	0	0.00	1	0.04	15	0.02
		"WOODS, Joanna"	ALP	24	0.04	2	0.04	1	0.11	3	0.09	3	0.13	33	0.04
		Group Total	ACL	28010	43.46	1943	37.00	464	53.33	1219	36.97	818	35.20	32454	42.60
K		TICKET VOTES	LEF	143	0.22	21	0.40	3	0.34	14	0.42	3	0.13	184	0.24
		"O'LOUGHLIN, David"	LEF	5	0.01	1	0.02	0	0.00	1	0.03	0	0.00	7	0.01
		"FREEMAN, Paul"	LEF	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	LEF	148	0.23	22	0.42	3	0.34	15	0.45	3	0.13	191	0.25
L		TICKET VOTES		52	0.08	4	0.08	1	0.11	1	0.03	1	0.04	59	0.08
		"STEWART, Lex"		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		"STEWART, Joe"		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total		52	0.08	4	0.08	1	0.11	1	0.03	1	0.04	59	0.08
M		TICKET VOTES	FPY	276	0.43	47	0.89	3	0.34	9	0.27	9	0.39	344	0.45
		"SMITH, Robert"	FPY	4	0.01	0	0.00	0	0.00	0	0.00	0	0.00	4	0.01
		"WISEMAN, David"	FPY	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		Group Total	FPY	281	0.44	47	0.89	3	0.34	9	0.27	9	0.39	349	0.46
N		TICKET VOTES		15	0.02	0	0.00	0	0.00	0	0.00	0	0.00	15	0.02
		"SMITH, Warren"		1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		"LAWLER, Geoff"		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		"ANTHONY, Dora"		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total		16	0.02	0	0.00	0	0.00	0	0.00	0	0.00	16	0.02
O		TICKET VOTES	NCP	38	0.06	6	0.11	2	0.23	2	0.06	0	0.00	48	0.06
		"THOMPSON, Andy"	NCP	7	0.01	1	0.02	0	0.00	0	0.00	0	0.00	8	0.01
		"McKEEGAN, Annette"	NCP	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	NCP	45	0.07	7	0.13	2	0.23	2	0.06	0	0.00	56	0.07
P		TICKET VOTES	NDP	57	0.09	12	0.23	3	0.34	4	0.12	3	0.13	79	0.10
		"DENBOROUGH, Michael"	NDP	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		"FRANCIS, Yvonne"	NDP	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		Group Total	NDP	60	0.09	12	0.23	3	0.34	4	0.12	3	0.13	82	0.11
Q		TICKET VOTES	LNP	23174	35.96	1901	36.20	216	24.83	1293	39.22	1072	46.13	27656	36.30
	#	"COONAN, Helen"	LP	229	0.36	12	0.23	2	0.23	7	0.21	13	0.56	263	0.35
	#	"MACDONALD, Sandy"	NP	6	0.01	2	0.04	1	0.11	0	0.00	0	0.00	9	0.01
	#	"PAYNE, Marise"	LP	5	0.01	0	0.00	0	0.00	0	0.00	0	0.00	5	0.01
		"NASH, Fiona"	NP	2	0.00	2	0.04	0	0.00	0	0.00	0	0.00	4	0.01
		"MacDONALD, Scot"	LP	11	0.02	3	0.06	0	0.00	0	0.00	0	0.00	14	0.02
		"TANG, Terence"	LP	10	0.02	1	0.02	0	0.00	1	0.03	1	0.04	13	0.02
		Group Total	LNP	23437	36.37	1921	36.58	219	25.17	1301	39.46	1086	46.73	27964	36.70
R		TICKET VOTES	NGST	336	0.52	39	0.74	7	0.80	15	0.45	12	0.52	409	0.54
		"GALLAGHER, Mick"	NGST	4	0.01	1	0.02	0	0.00	2	0.06	0	0.00	7	0.01
		"MARTIN, Charles H"	NGST	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	NGST	340	0.53	40	0.76	7	0.80	17	0.52	12	0.52	416	0.55
S		TICKET VOTES	RPA	72	0.11	10	0.19	0	0.00	7	0.21	2	0.09	91	0.12
		"McNALLY, Kerry"	RPA	9	0.01	1	0.02	0	0.00	0	0.00	0	0.00	10	0.01
		"JORDAN, Tom"	RPA	0	0.00	0	0.00	0	0.00	0	0.00	1	0.04	1	0.00
		Group Total	RPA	81	0.13	11	0.21	0	0.00	7	0.21	3	0.13	102	0.13
T		TICKET VOTES	GRN	1477	2.29	253	4.82	22	2.53	116	3.52	37	1.59	1905	2.50
	#	"NETTLE, Kerry"	GRN	219	0.34	11	0.21	1	0.11	13	0.39	6	0.26	250	0.33
		"KAYE, John"	GRN	4	0.01	2	0.04	1	0.11	0	0.00	0	0.00	7	0.01
		"DAVIS, Jan"	GRN	2	0.00	2	0.04	0	0.00	0	0.00	0	0.00	4	0.01
		"RYAN, James"	GRN	11	0.02	0	0.00	0	0.00	0	0.00	1	0.04	12	0.02
		Group Total	GRN	1713	2.66	268	5.10	24	2.76	129	3.91	44	1.89	2178	2.86
U		TICKET VOTES		8	0.01	3	0.06	0	0.00	0	0.00	0	0.00	11	0.01
		"HINMAN, Pip"		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		"RINTOUL, Ian"		2	0.00	1	0.02	0	0.00	0	0.00	0	0.00	3	0.00
		Group Total		10	0.02	4	0.08	0	0.00	0	0.00	0	0.00	14	0.02
V		TICKET VOTES	AAP	25	0.04	3	0.06	0	0.00	5	0.15	1	0.04	34	0.04
		"CONNOR, Rex"	AAP	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		"ASTRIDGE, Robert"	AAP	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		"GUY, Shirley"	AAP	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	AAP	26	0.04	3	0.06	0	0.00	5	0.15	1	0.04	35	0.05
W		TICKET VOTES	AFI	211	0.33	27	0.51	1	0.11	23	0.70	10	0.43	272	0.36
		"KITSON, David"	AFI	15	0.02	2	0.04	0	0.00	0	0.00	0	0.00	17	0.02
		"WOODGER, Edwin"	AFI	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		Group Total	AFI	227	0.35	29	0.55	1	0.11	23	0.70	10	0.43	290	0.38
UNGROUPED															
		"IVOR, F"	IND	10	0.02	0	0.00	0	0.00	1	0.03	1	0.04	12	0.02
		"TINYOW, Walter"	IND	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		"BAKER, Beverly"	IND	4	0.01	0	0.00	0	0.00	1	0.03	0	0.00	5	0.01
		"LORD, Jack"	IND	2	0.00	1	0.02	0	0.00	0	0.00	0	0.00	3	0.00
		Ungrouped Total		16	0.02	1	0.02	0	0.00	2	0.06	1	0.04	20	0.03
			FORMAL	64449	94.15	5252	97.04	870	94.16	3297	97.75	2324	98.43	76192	94.62
			INFORMAL	4004	5.85	160	2.96	54	5.84	76	2.25	37	1.57	4331	5.38
			TOTAL	68453	85.01	5412	6.72	924	1.15	3373	4.19	2361	2.93	80523	95.01



Bennelong (86896)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	HAN	1648	2.47	142	2.51	6	1.23	64	1.83	107	3.12	1967	2.47
		"McKINNON, Don"	HAN	245	0.37	12	0.21	2	0.41	6	0.17	11	0.32	276	0.35
		"PUTRA, Rick"	HAN	2	0.00	0	0.00	0	0.00	0	0.00	1	0.03	3	0.00
		"DEENEY, Carol"	HAN	7	0.01	2	0.04	0	0.00	1	0.03	0	0.00	10	0.01
		Group Total	HAN	1902	2.85	156	2.75	8	1.64	71	2.03	119	3.47	2256	2.83
B		TICKET VOTES	CTA	1003	1.51	89	1.57	6	1.23	51	1.45	48	1.40	1197	1.50
		"CAPSIS, George"	CTA	264	0.40	11	0.19	2	0.41	12	0.34	8	0.23	297	0.37
		"HUME, Kevin"	CTA	4	0.01	1	0.02	0	0.00	1	0.03	0	0.00	6	0.01
		Group Total	CTA	1271	1.91	101	1.78	8	1.64	64	1.83	56	1.63	1500	1.88
C		TICKET VOTES	UNI	1089	1.63	31	0.55	7	1.43	92	2.62	38	1.11	1257	1.58
		"NGO, Thang"	UNI	33	0.05	0	0.00	0	0.00	4	0.11	1	0.03	38	0.05
		"McLEOD, Robert"	UNI	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00
		Group Total	UNI	1125	1.69	31	0.55	7	1.43	96	2.74	39	1.14	1298	1.63
D		TICKET VOTES	CEC	27	0.04	1	0.02	0	0.00	1	0.03	0	0.00	29	0.04
		"BUTLER, Robert"	CEC	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00
		"COLLINS, Glenys"	CEC	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		Group Total	CEC	32	0.05	1	0.02	0	0.00	1	0.03	0	0.00	34	0.04
E		TICKET VOTES	PLP	659	0.99	76	1.34	11	2.25	61	1.74	20	0.58	827	1.04
		"WOLDRING, Klaas"	PLP	7	0.01	2	0.04	0	0.00	1	0.03	1	0.03	11	0.01
		"LEE, Shona"	PLP	1	0.00	1	0.02	0	0.00	1	0.03	0	0.00	3	0.00
		Group Total	PLP	667	1.00	79	1.39	11	2.25	63	1.80	21	0.61	841	1.05
F		TICKET VOTES	OCF	42	0.06	13	0.23	0	0.00	4	0.11	1	0.03	60	0.08
		"CALDICOTT, Helen"	OCF	16	0.02	3	0.05	0	0.00	2	0.06	1	0.03	22	0.03
		"POTTS, Ted"	OCF	1	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00
		Group Total	OCF	59	0.09	16	0.28	0	0.00	6	0.17	2	0.06	83	0.10
G		TICKET VOTES	DEM	5241	7.86	504	8.89	39	7.99	303	8.64	186	5.42	6273	7.87
		"BOURNE, Vicki"	DEM	567	0.85	51	0.90	3	0.61	36	1.03	26	0.76	683	0.86
		"YATES, Joanne"	DEM	9	0.01	0	0.00	0	0.00	0	0.00	1	0.03	10	0.01
		"CHUNG, Craig"	DEM	13	0.02	1	0.02	0	0.00	3	0.09	1	0.03	18	0.02
		"MAYFIELD, E Caroline"	DEM	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00
		"PRINCE, Janine"	DEM	7	0.01	1	0.02	0	0.00	0	0.00	0	0.00	8	0.01
		"EVANS, Julian"	DEM	24	0.04	4	0.07	0	0.00	1	0.03	0	0.00	29	0.04
		Group Total	DEM	5864	8.80	561	9.90	42	8.61	343	9.78	214	6.24	7024	8.81
H		TICKET VOTES	HMP	407	0.61	70	1.24	4	0.82	16	0.46	5	0.15	502	0.63
		"BALDERSTONE, Michael"	HMP	34	0.05	4	0.07	0	0.00	2	0.06	1	0.03	41	0.05
