Senate: Election 2001 - National															
First Preference Votes by Candidate															
By Vote Type by State															
				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
		"BOURNE, Vicki"	DEM	14512	0.45	1274	0.49	91	0.26	1059	0.51	594	0.46	17530	0.45
		"YATES, Joanne"	DEM	311	0.01	65	0.02	2	0.01	23	0.01	17	0.01	418	0.01
		"CHUNG, Craig"	DEM	311	0.01	30	0.01	0	0.00	23	0.01	17	0.01	381	0.01
		"MAYFIELD, E Caroline"	DEM	122	0.00	19	0.01	2	0.01	16	0.01	8	0.01	167	0.00
		"PRINCE, Janine"	DEM	190	0.01	25	0.01	3	0.01	17	0.01	9	0.01	244	0.01
		"EVANS, Julian"	DEM	538	0.02	65	0.02	6	0.02	52	0.03	31	0.02	692	0.02
		Group Total	DEM	196864	6.06	20223	7.76	1999	5.62	14778	7.13	7003	5.38	240867	6.21
H		TICKET VOTES	HMP	26614	0.82	3617	1.39	666	1.87	1370	0.66	390	0.30	32657	0.84
		"BALDERSTONE, Michael"	HMP	2144	0.07	287	0.11	35	0.10	164	0.08	64	0.05	2694	0.07
		"FUGGLE, Don"	HMP	129	0.00	31	0.01	3	0.01	6	0.00	6	0.00	175	0.00
		Group Total	HMP	28887	0.89	3935	1.51	704	1.98	1540	0.74	460	0.35	35526	0.92
I		TICKET VOTES	RLS	6579	0.20	401	0.15	81	0.23	381	0.18	388	0.30	7830	0.20
		"GREENAWAY, Denise"	RLS	272	0.01	20	0.01	2	0.01	17	0.01	20	0.02	331	0.01
		"ARMSTRONG, Valerie"	RLS	31	0.00	2	0.00	0	0.00	3	0.00	2	0.00	38	0.00
		Group Total	RLS	6882	0.21	423	0.16	83	0.23	401	0.19	410	0.32	8199	0.21
J		TICKET VOTES	ACL	1096189	33.77	75943	29.15	13774	38.72	61108	29.48	36622	28.15	1283636	33.09
	#	"STEPHENS, Ursula"	CLR	8425	0.26	690	0.26	72	0.20	582	0.28	475	0.37	10244	0.26
	#	"CAMPBELL, George"	ALP	1637	0.05	198	0.08	12	0.03	129	0.06	137	0.11	2113	0.05
		"MUNDINE, Warren"	CLR	818	0.03	82	0.03	1	0.00	59	0.03	28	0.02	988	0.03
		"WOODS, Joanna"	ALP	1947	0.06	232	0.09	17	0.05	173	0.08	138	0.11	2507	0.06
		Group Total	ACL	1109016	34.17	77145	29.61	13876	39.01	62051	29.93	37400	28.75	1299488	33.50
K		TICKET VOTES	LEF	18192	0.56	2408	0.92	402	1.13	1282	0.62	483	0.37	22767	0.59
		"O'LOUGHLIN, David"	LEF	711	0.02	98	0.04	4	0.01	49	0.02	44	0.03	906	0.02
		"FREEMAN, Paul"	LEF	68	0.00	8	0.00	2	0.01	6	0.00	10	0.01	94	0.00
		Group Total	LEF	18971	0.58	2514	0.96	408	1.15	1337	0.64	537	0.41	23767	0.61
L		TICKET VOTES		2027	0.06	133	0.05	38	0.11	85	0.04	42	0.03	2325	0.06
		"STEWART, Lex"		60	0.00	4	0.00	0	0.00	3	0.00	4	0.00	71	0.00
		"STEWART, Joe"		5	0.00	0	0.00	0	0.00	1	0.00	0	0.00	6	0.00
		Group Total		2092	0.06	137	0.05	38	0.11	89	0.04	46	0.04	2402	0.06
M		TICKET VOTES	FPY	21715	0.67	2638	1.01	433	1.22	1398	0.67	464	0.36	26648	0.69
		"SMITH, Robert"	FPY	679	0.02	84	0.03	4	0.01	57	0.03	43	0.03	867	0.02
		"WISEMAN, David"	FPY	51	0.00	8	0.00	1	0.00	8	0.00	8	0.01	76	0.00
		Group Total	FPY	22445	0.69	2730	1.05	438	1.23	1463	0.71	515	0.40	27591	0.71
N		TICKET VOTES		944	0.03	78	0.03	14	0.04	43	0.02	20	0.02	1099	0.03
		"SMITH, Warren"		69	0.00	10	0.00	1	0.00	1	0.00	2	0.00	83	0.00
		"LAWLER, Geoff"		24	0.00	3	0.00	0	0.00	3	0.00	0	0.00	30	0.00
		"ANTHONY, Dora"		21	0.00	2	0.00	1	0.00	4	0.00	1	0.00	29	0.00
		Group Total		1058	0.03	93	0.04	16	0.04	51	0.02	23	0.02	1241	0.03
O		TICKET VOTES	NCP	3148	0.10	326	0.13	44	0.12	162	0.08	80	0.06	3760	0.10
		"THOMPSON, Andy"	NCP	224	0.01	26	0.01	6	0.02	14	0.01	24	0.02	294	0.01
		"McKEEGAN, Annette"	NCP	12	0.00	2	0.00	0	0.00	2	0.00	1	0.00	17	0.00
		Group Total	NCP	3384	0.10	354	0.14	50	0.14	178	0.09	105	0.08	4071	0.10
P		TICKET VOTES	NDP	3414	0.11	439	0.17	84	0.24	264	0.13	73	0.06	4274	0.11
		"DENBOROUGH, Michael"	NDP	221	0.01	21	0.01	3	0.01	24	0.01	6	0.00	275	0.01
		"FRANCIS, Yvonne"	NDP	37	0.00	5	0.00	1	0.00	3	0.00	1	0.00	47	0.00
		Group Total	NDP	3672	0.11	465	0.18	88	0.25	291	0.14	80	0.06	4596	0.12
Q		TICKET VOTES	LNP	1330616	40.99	104347	40.05	11285	31.72	91033	43.91	64058	49.24	1601339	41.28
	#	"COONAN, Helen"	LP	11816	0.36	912	0.35	74	0.21	797	0.38	860	0.66	14459	0.37
	#	"MACDONALD, Sandy"	NP	1045	0.03	99	0.04	5	0.01	90	0.04	118	0.09	1357	0.03
	#	"PAYNE, Marise"	LP	634	0.02	84	0.03	2	0.01	58	0.03	45	0.03	823	0.02
		"NASH, Fiona"	NP	374	0.01	47	0.02	0	0.00	31	0.01	31	0.02	483	0.01
		"MacDONALD, Scot"	LP	832	0.03	103	0.04	8	0.02	42	0.02	97	0.07	1082	0.03
		"TANG, Terence"	LP	551	0.02	43	0.02	8	0.02	44	0.02	46	0.04	692	0.02
		Group Total	LNP	1345868	41.46	105635	40.54	11382	32.00	92095	44.42	65255	50.16	1620235	41.76
R		TICKET VOTES	NGST	20239	0.62	2223	0.85	450	1.27	1343	0.65	785	0.60	25040	0.65
		"GALLAGHER, Mick"	NGST	516	0.02	52	0.02	8	0.02	34	0.02	36	0.03	646	0.02
		"MARTIN, Charles H"	NGST	40	0.00	3	0.00	0	0.00	4	0.00	1	0.00	48	0.00
		Group Total	NGST	20795	0.64	2278	0.87	458	1.29	1381	0.67	822	0.63	25734	0.66
S		TICKET VOTES	RPA	3530	0.11	401	0.15	56	0.16	347	0.17	184	0.14	4518	0.12
		"McNALLY, Kerry"	RPA	425	0.01	42	0.02	5	0.01	40	0.02	27	0.02	539	0.01
		"JORDAN, Tom"	RPA	29	0.00	4	0.00	0	0.00	4	0.00	7	0.01	44	0.00
		Group Total	RPA	3984	0.12	447	0.17	61	0.17	391	0.19	218	0.17	5101	0.13
T		TICKET VOTES	GRN	120785	3.72	14365	5.51	1712	4.81	7668	3.70	2781	2.14	147311	3.80
	#	"NETTLE, Kerry"	GRN	16810	0.52	1715	0.66	127	0.36	1049	0.51	555	0.43	20256	0.52
		"KAYE, John"	GRN	235	0.01	34	0.01	5	0.01	17	0.01	8	0.01	299	0.01
		"DAVIS, Jan"	GRN	448	0.01	71	0.03	6	0.02	52	0.03	35	0.03	612	0.02
		"RYAN, James"	GRN	514	0.02	72	0.03	4	0.01	42	0.02	29	0.02	661	0.02
		Group Total	GRN	138792	4.28	16257	6.24	1854	5.21	8828	4.26	3408	2.62	169139	4.36
U		TICKET VOTES		918	0.03	133	0.05	5	0.01	40	0.02	12	0.01	1108	0.03
		"HINMAN, Pip"		156	0.00	20	0.01	5	0.01	3	0.00	5	0.00	189	0.00
		"RINTOUL, Ian"		54	0.00	7	0.00	0	0.00	3	0.00	3	0.00	67	0.00
		Group Total		1128	0.03	160	0.06	10	0.03	46	0.02	20	0.02	1364	0.04
V		TICKET VOTES	AAP	1441	0.04	146	0.06	32	0.09	92	0.04	68	0.05	1779	0.05
		"CONNOR, Rex"	AAP	103	0.00	10	0.00	0	0.00	9	0.00	11	0.01	133	0.00
		"ASTRIDGE, Robert"	AAP	7	0.00	1	0.00	0	0.00	0	0.00	1	0.00	9	0.00
		"GUY, Shirley"	AAP	13	0.00	1	0.00	0	0.00	0	0.00	1	0.00	15	0.00
		Group Total	AAP	1564	0.05	158	0.06	32	0.09	101	0.05	81	0.06	1936	0.05
W		TICKET VOTES	AFI	15731	0.48	1904	0.73	276	0.78	1097	0.53	889	0.68	19897	0.51
		"KITSON, David"	AFI	809	0.02	82	0.03	8	0.02	61	0.03	90	0.07	1050	0.03
		"WOODGER, Edwin"	AFI	48	0.00	5	0.00	1	0.00	6	0.00	5	0.00	65	0.00
		Group Total	AFI	16588	0.51	1991	0.76	285	0.80	1164	0.56	984	0.76	21012	0.54
UNGROUPED															
		"IVOR, F"	IND	584	0.02	45	0.02	5	0.01	39	0.02	30	0.02	703	0.02
		"TINYOW, Walter"	IND	90	0.00	7	0.00	0	0.00	2	0.00	3	0.00	102	0.00
		"BAKER, Beverly"	IND	838	0.03	55	0.02	2	0.01	48	0.02	28	0.02	971	0.03
		"LORD, Jack"	IND	197	0.01	21	0.01	1	0.00	8	0.00	10	0.01	237	0.01
		Ungrouped Total		1709	0.05	128	0.05	8	0.02	97	0.05	71	0.05	2013	0.05
			FORMAL	3245906	96.14	260547	97.84	35573	96.32	207311	98.43	130106	98.78	3879443	96.46
			INFORMAL	130250	3.86	5742	2.16	1359	3.68	3317	1.57	1613	1.22	142281	3.54
			TOTAL	3376156	83.95	266289	6.62	36932	0.92	210628	5.24	131719	3.28	4021724	95.12

Victoria															
Enrolment 3234874															

A		TICKET VOTES	LFF	52382	2.15	5286	2.80	764	3.00	4105	2.87	3987	3.30	66524	2.28
		"PATHY, Suresh"	LFF	2657	0.11	270	0.14	48	0.19	137	0.10	156	0.13	3268	0.11
		"LUGG, John"	LFF	254	0.01	41	0.02	9	0.04	16	0.01	26	0.02	346	0.01
		Group Total	LFF	55293	2.27	5597	2.96	821	3.22	4258	2.97	4169	3.46	70138	2.40
B		TICKET VOTES	DLP	52528	2.15	5721	3.03	1125	4.41	3012	2.10	1780	1.48	64166	2.20
		"MULHOLLAND, John"	DLP	1581	0.06	170	0.09	28	0.11	85	0.06	78	0.06	1942	0.07
		"CREA, Pat"	DLP	88	0.00	10	0.01	3	0.01	6	0.00	5	0.00	112	0.00
		"KING, Gail"	DLP	130	0.01	21	0.01	4	0.02	3	0.00	8	0.01	166	0.01
		"MAURUS, Rosemary"	DLP	65	0.00	4	0.00	2	0.01	0	0.00	4	0.00	75	0.00
		"WELLS, Ken"	DLP	72	0.00	7	0.00	0	0.00	4	0.00	7	0.01	90	0.00
		Group Total	DLP	54464	2.23	5933	3.14	1162	4.56	3110	2.17	1882	1.56	66551	2.28
C		TICKET VOTES	PCA	24532	1.01	2436	1.29	226	0.89	1663	1.16	1571	1.30	30428	1.04
		"CLEARY, Phil"	PCA	4789	0.20	333	0.18	23	0.09	255	0.18	223	0.18	5623	0.19
		"ZOMBOLAS, Eileen"	PCA	71	0.00	9	0.00	3	0.01	5	0.00	3	0.00	91	0.00
		Group Total	PCA	29392	1.20	2778	1.47	252	0.99	1923	1.34	1797	1.49	36142	1.24
D		TICKET VOTES	CEC	2051	0.08	167	0.09	45	0.18	122	0.09	75	0.06	2460	0.08
		"ISHERWOOD, Noelene"	CEC	130	0.01	10	0.01	2	0.01	9	0.01	7	0.01	158	0.01
		"BARWICK, Robert"	CEC	37	0.00	2	0.00	0	0.00	3	0.00	1	0.00	43	0.00
		Group Total	CEC	2218	0.09	179	0.09	47	0.18	134	0.09	83	0.07	2661	0.09
E		TICKET VOTES		954	0.04	88	0.05	18	0.07	67	0.05	25	0.02	1152	0.04
		"TOSCANO, Joseph"		163	0.01	20	0.01	3	0.01	10	0.01	16	0.01	212	0.01
		"REGHENZANI, Stephen"		25	0.00	1	0.00	0	0.00	0	0.00	1	0.00	27	0.00
		Group Total		1142	0.05	109	0.06	21	0.08	77	0.05	42	0.03	1391	0.05
F		TICKET VOTES		1180	0.05	61	0.03	16	0.06	48	0.03	19	0.02	1324	0.05
		"RASKOVY, Steve"		101	0.00	11	0.01	1	0.00	9	0.01	9	0.01	131	0.00
		"KENNEDY, Elizabeth"		34	0.00	4	0.00	0	0.00	2	0.00	1	0.00	41	0.00
		Group Total		1315	0.05	76	0.04	17	0.07	59	0.04	29	0.02	1496	0.05
G		TICKET VOTES	HAN	55124	2.26	3550	1.88	515	2.02	3866	2.70	3125	2.59	66180	2.27
		"SPENCER, Robyn"	HAN	4205	0.17	258	0.14	24	0.09	278	0.19	376	0.31	5141	0.18
		"McINTYRE, Neville"	HAN	219	0.01	10	0.01	1	0.00	20	0.01	34	0.03	284	0.01
		Group Total	HAN	59548	2.44	3818	2.02	540	2.12	4164	2.91	3535	2.93	71605	2.45
H		TICKET VOTES	LNP	948171	38.86	68176	36.06	7846	30.78	59011	41.19	54831	45.45	1138035	39.00
	#	"ALSTON, Richard Kenneth Robert"	LP	12381	0.51	810	0.43	99	0.39	665	0.46	999	0.83	14954	0.51
	#	"KEMP, Rod"	LP	527	0.02	62	0.03	6	0.02	44	0.03	63	0.05	702	0.02
	#	"PATTERSON, Kay"	LP	740	0.03	70	0.04	4	0.02	61	0.04	77	0.06	952	0.03
		"HAWKER, Tim"	NP	490	0.02	51	0.03	2	0.01	35	0.02	60	0.05	638	0.02
		"DE MARCHI, Dino"	LP	102	0.00	10	0.01	0	0.00	5	0.00	11	0.01	128	0.00
		"TRAN, Duc-Dung"	LP	344	0.01	36	0.02	2	0.01	32	0.02	31	0.03	445	0.02
		Group Total	LNP	962755	39.46	69215	36.61	7959	31.22	59853	41.78	56072	46.47	1155854	39.61
I		TICKET VOTES	UNI	7477	0.31	668	0.35	102	0.40	537	0.37	331	0.27	9115	0.31
		"LEE, Wellington"	UNI	326	0.01	39	0.02	2	0.01	33	0.02	31	0.03	431	0.01
		"WOLOWSKI, Diana"	UNI	39	0.00	6	0.00	0	0.00	3	0.00	4	0.00	52	0.00
		"COPE, Bill"	UNI	42	0.00	3	0.00	1	0.00	3	0.00	4	0.00	53	0.00
		Group Total	UNI	7884	0.32	716	0.38	105	0.41	576	0.40	370	0.31	9651	0.33
J		TICKET VOTES		1707	0.07	317	0.17	21	0.08	228	0.16	63	0.05	2336	0.08
		"BAKER, A.T."		183	0.01	11	0.01	0	0.00	6	0.00	12	0.01	212	0.01
		"BARBER, Pam"		32	0.00	2	0.00	0	0.00	2	0.00	1	0.00	37	0.00
		Group Total		1922	0.08	330	0.17	21	0.08	236	0.16	76	0.06	2585	0.09
K		TICKET VOTES	ALP	898523	36.83	61309	32.43	10553	41.40	48076	33.56	39210	32.50	1057671	36.24
	#	"RAY, Robert"	ALP	10953	0.45	883	0.47	135	0.53	674	0.47	781	0.65	13426	0.46
	#	"MARSHALL, Gavin"	ALP	561	0.02	58	0.03	8	0.03	31	0.02	63	0.05	721	0.02
		"MURPHY, Ted"	ALP	746	0.03	62	0.03	4	0.02	40	0.03	51	0.04	903	0.03
		"CHONG, Robert"	ALP	742	0.03	78	0.04	3	0.01	68	0.05	55	0.05	946	0.03
		Group Total	ALP	911525	37.36	62390	33.00	10703	41.98	48889	34.13	40160	33.29	1073667	36.79
L		TICKET VOTES	CTA	11753	0.48	979	0.52	99	0.39	792	0.55	582	0.48	14205	0.49
		"GRAHAM, Murray"	CTA	2301	0.09	146	0.08	9	0.04	114	0.08	90	0.07	2660	0.09
		"JAGO, Arnold Hartley"	CTA	248	0.01	21	0.01	3	0.01	12	0.01	13	0.01	297	0.01
		Group Total	CTA	14302	0.59	1146	0.61	111	0.44	918	0.64	685	0.57	17162	0.59
M		TICKET VOTES	DEM	174516	7.15	18533	9.80	1873	7.35	10489	7.32	6775	5.62	212186	7.27
	#	"ALLISON, Lyn"	DEM	12177	0.50	1081	0.57	70	0.27	759	0.53	576	0.48	14663	0.50
		"HARCOURT, Pierre"	DEM	342	0.01	59	0.03	5	0.02	28	0.02	24	0.02	458	0.02
		"WARK, David"	DEM	155	0.01	22	0.01	2	0.01	5	0.00	9	0.01	193	0.01
		"ALESICH, Simone"	DEM	580	0.02	100	0.05	4	0.02	48	0.03	40	0.03	772	0.03
		Group Total	DEM	187770	7.70	19795	10.47	1954	7.66	11329	7.91	7424	6.15	228272	7.82
N		TICKET VOTES		448	0.02	41	0.02	31	0.12	84	0.06	13	0.01	617	0.02
		"DAVIS, Craig"		40	0.00	2	0.00	0	0.00	7	0.00	5	0.00	54	0.00
		"BROCAS, Donna"		23	0.00	1	0.00	1	0.00	2	0.00	2	0.00	29	0.00
		Group Total		511	0.02	44	0.02	32	0.13	93	0.06	20	0.02	700	0.02
O		TICKET VOTES	HPA	1839	0.08	261	0.14	44	0.17	113	0.08	94	0.08	2351	0.08
		"PETHERBRIDGE, Tim"	HPA	181	0.01	25	0.01	0	0.00	9	0.01	7	0.01	222	0.01
		"POYNTON, Lee-anne"	HPA	17	0.00	2	0.00	0	0.00	0	0.00	0	0.00	19	0.00
		Group Total	HPA	2037	0.08	288	0.15	44	0.17	122	0.09	101	0.08	2592	0.09
P		TICKET VOTES	GRN	127777	5.24	14616	7.73	1567	6.15	6357	4.44	3365	2.79	153682	5.27
		"KINNEAR, Scott"	GRN	16135	0.66	1512	0.80	94	0.37	845	0.59	588	0.49	19174	0.66
		"MULLANE, Eleisha"	GRN	499	0.02	75	0.04	8	0.03	40	0.03	41	0.03	663	0.02
		"MATHEW, Dinesh"	GRN	176	0.01	30	0.02	1	0.00	19	0.01	16	0.01	242	0.01
		"CONOR, Liz"	GRN	790	0.03	130	0.07	7	0.03	70	0.05	59	0.05	1056	0.04
		Group Total	GRN	145377	5.96	16363	8.66	1677	6.58	7331	5.12	4069	3.37	174817	5.99
Q		TICKET VOTES		1098	0.05	133	0.07	15	0.06	98	0.07	39	0.03	1383	0.05
		"THORNE, Alison"		211	0.01	23	0.01	1	0.00	19	0.01	7	0.01	261	0.01
		"PEART, Sarah"		31	0.00	6	0.00	0	0.00	4	0.00	1	0.00	42	0.00
		"DEWBERRY, Tony"		31	0.00	8	0.00	1	0.00	3	0.00	1	0.00	44	0.00
		Group Total		1371	0.06	170	0.09	17	0.07	124	0.09	48	0.04	1730	0.06
UNGROUPED															
		"FLOOD, Daniel"	IND	459	0.02	57	0.03	2	0.01	30	0.02	41	0.03	589	0.02
		"MASLOWSKI, Richard M."	IND	89	0.00	9	0.00	0	0.00	3	0.00	4	0.00	105	0.00
		"GNIESLAW, Isaac"	IND	433	0.02	44	0.02	8	0.03	31	0.02	43	0.04	559	0.02
		Ungrouped Total		981	0.04	110	0.06	10	0.04	64	0.04	88	0.07	1253	0.04
			FORMAL	2439807	93.84	189057	96.87	25493	94.30	143260	97.62	120650	98.08	2918267	94.39
			INFORMAL	160095	6.16	6108	3.13	1542	5.70	3490	2.38	2357	1.92	173592	5.61
			TOTAL	2599902	84.09	195165	6.31	27035	0.87	146750	4.75	123007	3.98	3091859	95.58

Queensland															
Enrolment 2336698															

A		TICKET VOTES		5838	0.33	386	0.28	73	0.37	264	0.27	280	0.26	6841	0.32
		"WATSON, Sam"		1225	0.07	135	0.10	32	0.16	51	0.05	28	0.03	1471	0.07
		"FLETCHER, Karen"		198	0.01	17	0.01	1	0.01	16	0.02	9	0.01	241	0.01
		Group Total		7261	0.41	538	0.39	106	0.54	331	0.34	317	0.30	8553	0.40
B		TICKET VOTES	ALP	559966	31.29	39699	29.05	7321	37.18	27908	28.49	30564	28.79	665458	30.95
	#	"HOGG, John"	ALP	10953	0.61	870	0.64	113	0.57	570	0.58	756	0.71	13262	0.62
	#	"MOORE, Claire"	ALP	1571	0.09	141	0.10	17	0.09	92	0.09	132	0.12	1953	0.09
		"GIBBS, Brenda"	ALP	1251	0.07	107	0.08	21	0.11	72	0.07	115	0.11	1566	0.07
		Group Total	ALP	573741	32.06	40817	29.87	7472	37.95	28642	29.24	31567	29.74	682239	31.73
C		TICKET VOTES	CEC	1625	0.09	139	0.10	25	0.13	77	0.08	90	0.08	1956	0.09
		"HOPE, Danny"	CEC	182	0.01	16	0.01	3	0.02	9	0.01	20	0.02	230	0.01
		"CONTARINO, Nick"	CEC	28	0.00	3	0.00	3	0.02	2	0.00	4	0.00	40	0.00
		Group Total	CEC	1835	0.10	158	0.12	31	0.16	88	0.09	114	0.11	2226	0.10
D		TICKET VOTES	NP	155294	8.68	9638	7.05	988	5.02	6911	7.06	13376	12.60	186207	8.66
	#	"BOSWELL, Ron"	NP	7975	0.45	575	0.42	36	0.18	374	0.38	847	0.80	9807	0.46
		"STALLMAN, Pam"	NP	409	0.02	45	0.03	3	0.02	17	0.02	105	0.10	579	0.03
		"JOYCE, Barnaby"	NP	181	0.01	19	0.01	3	0.02	10	0.01	39	0.04	252	0.01
		Group Total	NP	163859	9.16	10277	7.52	1030	5.23	7312	7.47	14367	13.54	196845	9.16
E		TICKET VOTES	CTA	15560	0.87	1394	1.02	164	0.83	845	0.86	864	0.81	18827	0.88
		"BLACKMAN, Kerry"	CTA	2688	0.15	197	0.14	14	0.07	113	0.12	170	0.16	3182	0.15
		"BULLOCK, Geoffrey"	CTA	548	0.03	61	0.04	5	0.03	32	0.03	48	0.05	694	0.03
		Group Total	CTA	18796	1.05	1652	1.21	183	0.93	990	1.01	1082	1.02	22703	1.06
F		TICKET VOTES	GRN	50151	2.80	5604	4.10	879	4.46	2934	3.00	1559	1.47	61127	2.84
		"MOLES, Sarah"	GRN	7520	0.42	659	0.48	62	0.31	459	0.47	306	0.29	9006	0.42
		"MAHONEY, Desiree"	GRN	259	0.01	29	0.02	4	0.02	18	0.02	24	0.02	334	0.02
		"TAYLOR, Mark"	GRN	512	0.03	51	0.04	10	0.05	26	0.03	36	0.03	635	0.03
		Group Total	GRN	58442	3.27	6343	4.64	955	4.85	3437	3.51	1925	1.81	71102	3.31
G		TICKET VOTES	HMP	20444	1.14	2711	1.98	511	2.60	985	1.01	491	0.46	25142	1.17
		"FREEMARIJUANA, Nigel David"	HMP	2218	0.12	287	0.21	39	0.20	124	0.13	90	0.08	2758	0.13
		"FREEMARIJUANA, Guy"	HMP	183	0.01	22	0.02	4	0.02	8	0.01	5	0.00	222	0.01
		Group Total	HMP	22845	1.28	3020	2.21	554	2.81	1117	1.14	586	0.55	28122	1.31
H		TICKET VOTES	RPA	1797	0.10	188	0.14	31	0.16	129	0.13	98	0.09	2243	0.10
		"PYKE, John Richard"	RPA	211	0.01	19	0.01	1	0.01	16	0.02	11	0.01	258	0.01
		"SIMPSON, Malcolm J"	RPA	39	0.00	5	0.00	0	0.00	5	0.01	3	0.00	52	0.00
		Group Total	RPA	2047	0.11	212	0.16	32	0.16	150	0.15	112	0.11	2553	0.12
I		TICKET VOTES	HAN	165788	9.26	11125	8.14	1738	8.83	7986	8.15	10049	9.47	196686	9.15
		"HANSON, Pauline"	HAN	14924	0.83	972	0.71	83	0.42	836	0.85	1634	1.54	18449	0.86
		"HANSEN, Trevor"	HAN	125	0.01	4	0.00	3	0.02	6	0.01	4	0.00	142	0.01
		"MARSDEN, Morrie"	HAN	23	0.00	5	0.00	1	0.01	1	0.00	0	0.00	30	0.00
		"SLACK-SMITH, John"	HAN	79	0.00	7	0.01	1	0.01	1	0.00	5	0.00	93	0.00
		Group Total	HAN	180939	10.11	12113	8.87	1826	9.27	8830	9.02	11692	11.01	215400	10.02
J		TICKET VOTES	LP	607767	33.96	46896	34.32	5675	28.82	38210	39.01	36937	34.80	735485	34.21
	#	"MACDONALD, Ian"	LP	9087	0.51	804	0.59	59	0.30	623	0.64	920	0.87	11493	0.53
	#	"HERRON, John"	LP	1658	0.09	174	0.13	16	0.08	108	0.11	267	0.25	2223	0.10
		"TROOD, Russell"	LP	182	0.01	27	0.02	0	0.00	21	0.02	10	0.01	240	0.01
		"KEMBER, Deborah"	LP	747	0.04	89	0.07	8	0.04	46	0.05	85	0.08	975	0.05
		Group Total	LP	619441	34.61	47990	35.12	5758	29.24	39008	39.83	38219	36.01	750416	34.90
K		TICKET VOTES	NGST	19057	1.06	2092	1.53	475	2.41	1022	1.04	924	0.87	23570	1.10
		"ETTRIDGE, David"	NGST	516	0.03	68	0.05	14	0.07	30	0.03	49	0.05	677	0.03
		"GOOCH, Richard John"	NGST	54	0.00	9	0.01	2	0.01	1	0.00	6	0.01	72	0.00
		Group Total	NGST	19627	1.10	2169	1.59	491	2.49	1053	1.08	979	0.92	24319	1.13
L		TICKET VOTES	DEM	108045	6.04	10239	7.49	1158	5.88	6230	6.36	4504	4.24	130176	6.05
	#	"BARTLETT, Andrew"	DEM	10022	0.56	826	0.60	67	0.34	564	0.58	482	0.45	11961	0.56
		"OSS-EMER, Liz"	DEM	498	0.03	48	0.04	10	0.05	36	0.04	27	0.03	619	0.03
		"BATHURST, Megan"	DEM	909	0.05	120	0.09	10	0.05	72	0.07	75	0.07	1186	0.06
